,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2006-06,4.867B,4.867B,3.743B,1.124B,,,400.00M,15.00M,,-3.00M,,,,-15.00M,635.00M,489.00M,,,,18.00M,,401.00M,92.00M,309.00M,-11.00M,,,,298.00M,311.31M,802.00M,313.00M,489.00M,,0.496,-0.016,,,0.4997,0.48,,0.492,-0.016,,,0.4957,0.476,,620.83M,626.05M,0.20,,,
2006-03,4.452B,4.452B,3.43B,1.022B,,,402.00M,16.00M,,-29.00M,,,,28.00M,682.00M,340.00M,,,,-5.00M,,280.00M,100.00M,180.00M,-756.00M,,,,-576.00M,198.64M,655.00M,315.00M,340.00M,,0.292,-1.228,,,0.3223,-0.936,,0.292,-1.228,,,0.3222,-0.936,,614.48M,617.42M,0.20,,,
2005-12,2.516B,2.516B,2.902B,-386.00M,,,278.00M,17.00M,,726.00M,,,,-605.00M,-316.00M,-70.00M,,,,734.00M,,202.00M,61.00M,141.00M,-352.00M,,,,-211.00M,-365.76M,268.00M,338.00M,-70.00M,,0.228,-0.572,,,-0.6039,-0.344,,0.224,-0.572,,,-0.5923,-0.348,,609.14M,620.77M,0.20,,,
2005-09,5.432B,5.432B,4.201B,1.231B,,,413.00M,18.00M,,4.00M,,,,41.00M,796.00M,435.00M,,,,20.00M,,406.00M,119.00M,287.00M,-2.00M,,,,285.00M,284.17M,768.00M,333.00M,435.00M,,0.468,-0.004,,,0.4634,0.464,,0.468,-0.004,,,0.4634,0.464,,614.22M,614.22M,0.20,,,
2005-06,5.69B,5.69B,4.287B,1.403B,,,395.00M,12.00M,,35.00M,,,,6.00M,738.00M,665.00M,,,,52.00M,,516.00M,225.00M,291.00M,129.00M,,,,420.00M,270.00M,997.00M,332.00M,665.00M,,0.48,0.208,,,0.4456,0.688,,0.476,0.208,,,0.4418,0.684,,610.47M,614.04M,0.20,,,
2005-03,5.371B,5.371B,4.047B,1.324B,,,396.00M,14.00M,,-5.00M,,,,66.00M,802.00M,522.00M,,,,5.00M,,368.00M,129.00M,239.00M,,,,,239.00M,242.25M,856.00M,334.00M,522.00M,,0.392,0.00,,,0.3973,0.392,,0.392,0.00,,,0.3973,0.392,,607.16M,610.46M,0.16,,,
2004-12,5.613B,5.613B,4.282B,1.331B,,,423.00M,17.00M,,-10.00M,,,,55.00M,812.00M,519.00M,,,,4.00M,,313.00M,94.00M,219.00M,-20.00M,,,,199.00M,226.00M,853.00M,334.00M,519.00M,,0.348,-0.028,,,0.3596,0.32,,0.348,-0.028,,,0.3596,0.32,,605.74M,605.74M,0.16,,,
2004-09,5.679B,5.679B,4.172B,1.507B,,,399.00M,13.00M,,298.00M,,,,-254.00M,477.00M,1.03B,,,,314.00M,,862.00M,293.00M,569.00M,25.00M,,,,594.00M,372.29M,1.359B,329.00M,1.03B,,0.944,0.04,,,0.6181,0.984,,0.94,0.04,,,0.6155,0.98,,603.66M,606.12M,0.16,,,
2004-06,5.728B,5.728B,4.215B,1.513B,,,404.00M,13.00M,,-13.00M,,,,47.00M,786.00M,727.00M,,,,14.00M,,559.00M,183.00M,355.00M,14.00M,,,,369.00M,363.74M,1.059B,332.00M,727.00M,,0.604,0.024,,,0.6189,0.628,,0.604,0.024,,,0.6189,0.628,,587.58M,587.58M,0.16,,,
2004-03,4.911B,4.911B,3.753B,1.158B,,,403.00M,12.00M,,-37.00M,,,,67.00M,801.00M,357.00M,,,,-28.00M,,169.00M,57.00M,112.00M,9.00M,,,,121.00M,136.52M,684.00M,327.00M,357.00M,,0.20,0.016,,,0.2438,0.216,,0.20,0.016,,,0.2436,0.216,,559.32M,562.68M,0.16,,,
2003-12,4.521B,4.521B,3.576B,945.00M,,,391.00M,17.00M,,118.00M,,,,-151.00M,571.00M,374.00M,,,,114.00M,,158.00M,51.00M,107.00M,,0.00,,,92.00M,27.09M,730.00M,356.00M,374.00M,,0.42,-0.232,0.00,,0.2732,0.168,,0.42,-0.232,-0.0001,,0.2764,0.168,,544.31M,556.36M,0.16,,,
2003-09,5.184B,5.184B,4.022B,1.162B,,,408.00M,10.00M,,-56.00M,,,,93.00M,834.00M,328.00M,,,,-48.00M,,124.00M,42.00M,82.00M,,,,,82.00M,119.03M,651.00M,323.00M,328.00M,,0.148,0.00,,,0.2148,0.148,,0.148,0.00,,,0.2148,0.148,,554.05M,554.05M,0.16,,,
2003-06,4.93B,4.93B,3.927B,1.003B,,,349.00M,12.00M,,199.00M,,,,-111.00M,565.00M,438.00M,,,,209.00M,,238.00M,81.00M,157.00M,,,,,157.00M,25.73M,753.00M,315.00M,438.00M,,0.284,0.00,,,0.0465,0.284,,0.284,0.00,,,0.0467,0.284,,552.82M,553.21M,0.16,,,
2003-03,4.614B,4.614B,3.682B,932.00M,,,398.00M,12.00M,,-29.00M,,,,48.00M,782.00M,150.00M,,,,-29.00M,,-65.00M,-22.00M,-43.00M,,-11.00M,,,-54.00M,-23.82M,474.00M,324.00M,150.00M,,-0.076,-0.02,0.00,,-0.0413,-0.096,,-0.076,-0.02,-0.0199,,-0.0413,-0.096,,553.21M,553.21M,0.16,,,
2002-12,4.718B,4.718B,3.648B,1.07B,,,379.00M,16.00M,,-4.00M,,,,-197.00M,540.00M,530.00M,,,,4.00M,,194.00M,68.00M,126.00M,,,,,126.00M,128.60M,872.00M,342.00M,530.00M,,0.148,0.08,,,0.1527,0.228,,0.148,0.08,,,0.1527,0.228,,554.87M,554.87M,0.16,,,
2002-09,4.89B,4.89B,3.96B,930.00M,,,354.00M,11.00M,,11.00M,,,,66.00M,736.00M,194.00M,,,,15.00M,,20.00M,7.00M,13.00M,,,,,13.00M,5.85M,499.00M,305.00M,194.00M,,0.024,0.00,,,0.0111,0.024,,0.024,0.00,,,0.0111,0.024,,553.13M,554.06M,0.16,,,
2002-06,4.949B,4.949B,3.863B,1.086B,,,382.00M,13.00M,,-26.00M,,,,80.00M,787.00M,299.00M,,,,-22.00M,,111.00M,39.00M,72.00M,,,,,72.00M,88.86M,611.00M,312.00M,299.00M,,0.128,0.00,,,0.1580,0.128,,0.128,0.00,,,0.1580,0.128,,562.50M,562.50M,0.16,,,
2002-03,3.991B,3.991B,3.118B,873.00M,,,347.00M,12.00M,,-2.00M,,,,39.00M,664.00M,209.00M,,,,2.00M,,46.00M,16.00M,30.00M,,,,,7.00M,31.30M,475.00M,266.00M,209.00M,,0.056,-0.04,,-0.0418,0.0584,0.016,,0.056,-0.04,,-0.0418,0.0584,0.016,,550.46M,552.78M,0.16,,,
2001-12,3.398B,3.398B,2.812B,586.00M,,,183.00M,17.00M,,-24.00M,,,,-19.00M,404.00M,182.00M,,,,-80.00M,,-24.00M,-9.00M,-15.00M,,,,,-15.00M,0.00,406.00M,224.00M,182.00M,,-0.016,-0.012,,,0.0112,-0.028,,-0.016,-0.012,,,0.0112,-0.028,,551.93M,551.93M,0.16,,,
2001-09,3.752B,3.752B,2.96B,792.00M,,,292.00M,11.00M,,-36.00M,,,,75.00M,603.00M,189.00M,,,,-27.00M,,122.00M,31.00M,91.00M,,,,,91.00M,117.85M,416.00M,227.00M,189.00M,,0.164,0.00,,,0.2129,0.164,,0.164,0.00,,,0.2128,0.164,,549.50M,550.76M,0.16,,,
2001-06,3.852B,3.852B,2.939B,913.00M,110.00M,198.00M,308.00M,14.00M,,-30.00M,,,,65.00M,604.00M,309.00M,,,,-12.00M,,248.00M,77.00M,171.00M,,,,,171.00M,191.69M,526.00M,217.00M,309.00M,,0.312,0.00,,,0.3497,0.312,,0.312,0.00,,,0.3497,0.312,,548.08M,548.08M,0.16,,,
2001-03,3.553B,3.553B,2.744B,809.00M,103.00M,184.00M,287.00M,13.00M,,-42.00M,,,,74.00M,582.00M,227.00M,,,,-13.00M,,170.00M,63.00M,107.00M,,,,,107.00M,133.44M,435.00M,208.00M,227.00M,,0.196,0.00,,,0.2442,0.196,,0.196,0.00,,,0.2442,0.196,,548.30M,548.88M,0.16,,,
2000-12,4.042B,4.042B,3.053B,989.00M,,,327.00M,15.00M,,116.00M,,,,-127.00M,445.00M,544.00M,,,,12.00M,,306.00M,112.00M,194.00M,,,,,194.00M,120.46M,806.00M,262.00M,544.00M,,0.352,0.00,,,0.2184,0.352,,0.352,0.00,,,0.2184,0.352,,550.49M,550.49M,0.16,,,
2000-09,3.934B,3.934B,3.045B,889.00M,,,259.00M,14.00M,,-14.00M,,,,48.00M,526.00M,363.00M,,,,12.00M,,313.00M,114.00M,199.00M,,,,,199.00M,207.90M,568.00M,195.00M,363.00M,,0.36,0.00,,,0.3761,0.36,,0.36,0.00,,,0.3761,0.36,,551.24M,551.36M,0.16,,,
2000-06,4.187B,4.187B,3.17B,1.017B,,,273.00M,15.00M,,-94.00M,,,,37.00M,526.00M,491.00M,,,,-94.00M,,317.00M,114.00M,203.00M,,,,,203.00M,263.20M,692.00M,195.00M,491.00M,,0.356,0.00,,,0.4616,0.356,,0.356,0.00,,,0.4616,0.356,,570.22M,570.22M,0.16,,,
2000-03,3.925B,3.925B,2.921B,1.004B,,,280.00M,12.00M,,-33.00M,,,,59.00M,558.00M,446.00M,,,,-9.00M,,387.00M,143.00M,244.00M,,,,,244.00M,264.81M,653.00M,207.00M,446.00M,,0.416,0.00,,,0.4515,0.416,,0.416,0.00,,,0.4514,0.416,,585.53M,587.34M,0.16,,,
1999-12,3.951B,3.951B,3.111B,840.00M,,,295.00M,17.00M,,-9.00M,,,,36.00M,524.00M,316.00M,,,,-9.00M,,273.00M,100.00M,173.00M,,1.00M,,,174.00M,178.70M,492.00M,176.00M,316.00M,,0.312,0.008,0.00,,0.3223,0.32,,0.308,0.008,0.0066,,0.3181,0.316,,554.33M,562.41M,0.16,,,
1999-09,3.12B,3.12B,2.303B,817.00M,,,203.00M,12.00M,,22.00M,,,,34.00M,403.00M,414.00M,,,,22.00M,,373.00M,136.00M,237.00M,,,,,237.00M,223.02M,568.00M,154.00M,414.00M,,0.472,0.00,,,0.4442,0.472,,0.472,0.00,,,0.4442,0.472,,502.12M,502.12M,0.16,,,
1999-06,3.044B,3.044B,2.317B,727.00M,,,207.00M,13.00M,,7.00M,,,,35.00M,409.00M,318.00M,,,,7.00M,,258.00M,94.00M,164.00M,,,,,164.00M,159.55M,472.00M,154.00M,318.00M,,0.328,0.00,,,0.3191,0.328,,0.324,0.00,,,0.3152,0.324,,500.00M,506.17M,0.16,,,
1999-03,2.665B,2.665B,2.058B,607.00M,,,179.00M,13.00M,,-89.00M,,,,34.00M,382.00M,225.00M,,,,-89.00M,,66.00M,24.00M,42.00M,,-90.00M,,,-48.00M,98.64M,381.00M,156.00M,225.00M,,0.084,-0.18,0.00,,0.1973,-0.096,,0.084,-0.18,-0.18,,0.1973,-0.096,,500.00M,500.00M,0.16,,,
1998-12,3.227B,3.227B,2.616B,611.00M,,,197.00M,16.00M,,-154.00M,,,,32.00M,422.00M,189.00M,,,,-154.00M,,44.00M,14.00M,30.00M,,,,,30.00M,135.00M,366.00M,177.00M,189.00M,,0.06,0.00,,,0.2709,0.06,,0.06,0.00,,,0.27,0.06,,497.76M,500.00M,0.16,,,
1998-09,2.736B,2.736B,2.124B,612.00M,,,194.00M,12.00M,,34.00M,,,,35.00M,387.00M,225.00M,,,,34.00M,,175.00M,65.00M,110.00M,,,,,110.00M,88.63M,371.00M,146.00M,225.00M,,0.224,0.00,,,0.1805,0.224,,0.22,0.00,,,0.1773,0.22,,491.07M,500.00M,0.16,,,
1998-06,2.676B,2.676B,2.153B,523.00M,,,168.00M,15.00M,,14.00M,,,,35.00M,362.00M,161.00M,,,,14.00M,,109.00M,40.00M,69.00M,,,,,69.00M,60.14M,305.00M,144.00M,161.00M,,0.136,0.00,,,0.1185,0.136,,0.136,0.00,,,0.1185,0.136,,507.35M,507.35M,0.16,,,
1998-03,2.603B,2.603B,2.039B,564.00M,,,177.00M,14.00M,,19.00M,,,,36.00M,376.00M,188.00M,,,,19.00M,,135.00M,50.00M,85.00M,,,,,85.00M,73.04M,337.00M,149.00M,188.00M,,0.172,0.00,,,0.1478,0.172,,0.172,0.00,,,0.1478,0.172,,494.19M,494.19M,0.16,,,
1997-12,2.87B,2.87B,2.266B,604.00M,,,161.00M,15.00M,,-9.00M,,,,35.00M,369.00M,235.00M,,,,-9.00M,,154.00M,56.00M,98.00M,,,,,98.00M,103.73M,393.00M,158.00M,235.00M,,0.196,0.00,,,0.2074,0.196,,0.192,0.00,,,0.2032,0.192,,500.57M,512.20M,0.16,,,
1997-09,2.823B,2.823B,2.22B,603.00M,,,165.00M,13.00M,,6.00M,,,,36.00M,360.00M,243.00M,,,,6.00M,,180.00M,66.00M,114.00M,,,,,114.00M,110.20M,389.00M,146.00M,243.00M,,0.228,0.00,,,0.2204,0.228,,0.228,0.00,,,0.2204,0.228,,500.00M,500.00M,0.16,,,
1997-06,2.909B,2.909B,2.248B,661.00M,,,220.00M,15.00M,,21.00M,,,,40.00M,434.00M,227.00M,,,,21.00M,,172.00M,63.00M,109.00M,,,,,109.00M,95.69M,386.00M,159.00M,227.00M,,0.224,0.00,,,0.1967,0.224,,0.22,0.00,,,0.1931,0.22,,486.61M,495.45M,0.16,,,
1997-03,2.608B,2.608B,2.041B,567.00M,,,197.00M,13.00M,,-40.00M,,,,39.00M,414.00M,153.00M,,,,-40.00M,,33.00M,12.00M,21.00M,,,,,21.00M,46.45M,318.00M,165.00M,153.00M,,0.04,0.00,,,0.0885,0.04,,0.04,0.00,,,0.0885,0.04,,525.00M,525.00M,0.16,,,
1996-12,2.771B,2.771B,2.082B,689.00M,,,247.00M,,,-4.00M,,,,42.00M,457.00M,232.00M,,,,-4.00M,,150.10M,52.00M,98.10M,,,,,98.10M,100.71M,400.00M,168.00M,232.00M,,0.20,0.00,,,0.2053,0.20,,0.20,0.00,,,0.2053,0.20,,491.27M,491.63M,0.16,,,
1996-09,2.852B,2.852B,2.143B,709.00M,,,232.00M,,,-16.00M,,,,39.00M,423.00M,286.00M,,,,-16.00M,,187.00M,67.00M,120.00M,,,,,120.00M,130.27M,438.00M,152.00M,286.00M,,0.24,0.00,,,0.2605,0.24,,0.24,0.00,,,0.2605,0.24,,500.00M,500.00M,0.16,,,
1996-06,2.886B,2.886B,2.208B,678.00M,,,224.00M,,,-18.00M,,,,42.00M,416.00M,262.00M,,,,-18.00M,,161.00M,58.00M,103.00M,,,,,103.00M,114.52M,412.00M,150.00M,262.00M,,0.208,0.00,,,0.2313,0.208,,0.208,0.00,,,0.2313,0.208,,495.19M,495.19M,0.16,,,
1996-03,2.605B,2.605B,1.903B,702.00M,,,229.00M,,,10.00M,,,,39.00M,415.00M,287.00M,,,,10.00M,,222.00M,80.00M,142.00M,,,,,142.00M,135.60M,434.00M,147.00M,287.00M,,0.288,0.00,,,0.2750,0.288,,0.284,0.00,,,0.2712,0.284,,493.06M,500.00M,0.16,,,
1995-12,2.857B,2.857B,1.90B,957.00M,,,245.00M,,,-7.00M,,,,44.00M,489.00M,468.00M,,,,-7.00M,,380.90M,130.00M,250.90M,,,,,250.90M,255.51M,668.00M,200.00M,468.00M,,0.50,0.00,,,0.5092,0.50,,0.50,0.00,,,0.5090,0.50,,499.22M,511.29M,0.16,,,
1995-09,3.112B,3.112B,2.17B,942.00M,,,242.00M,,,-300.00M,,,,31.00M,408.00M,534.00M,,,,-300.00M,,149.00M,54.00M,95.00M,,,,,95.00M,286.28M,669.00M,135.00M,534.00M,,0.188,0.00,,,0.5665,0.188,,0.188,0.00,,,0.5665,0.188,,505.32M,505.32M,0.32,,,
1995-06,3.074B,3.074B,2.186B,888.00M,,,225.00M,,,-9.00M,,,,43.00M,416.00M,472.00M,,,,-9.00M,,386.00M,140.00M,246.00M,,,,,246.00M,251.74M,620.00M,148.00M,472.00M,,0.484,0.00,,,0.4953,0.484,,0.484,0.00,,,0.4953,0.484,,508.26M,508.26M,0.16,,,
1995-03,2.745B,2.745B,1.941B,804.00M,,,202.00M,,,-18.00M,,,,45.00M,385.00M,419.00M,,,,-18.00M,,328.00M,121.00M,207.00M,,,,,207.00M,218.36M,557.00M,138.00M,419.00M,,0.40,0.00,,,0.4220,0.40,,0.40,0.00,,,0.4220,0.40,,517.50M,517.50M,0.12,,,
1994-12,2.733B,2.733B,1.974B,759.50M,,,211.30M,,,-1.70M,,,,40.30M,396.60M,362.90M,,,,-1.70M,,290.30M,101.10M,189.20M,,,,,189.20M,190.31M,507.90M,145.00M,362.90M,,0.364,0.00,,,0.3661,0.364,,0.364,0.00,,,0.3661,0.364,,521.75M,521.75M,0.12,,,
1994-09,2.681B,2.681B,2.013B,667.40M,,,204.10M,,,-0.30M,,,,39.40M,373.20M,294.20M,,,,-0.30M,,224.30M,79.90M,144.40M,,,,,144.40M,144.59M,423.90M,128.70M,294.20M,,0.284,0.00,,,0.2844,0.284,,0.284,0.00,,,0.2844,0.284,,508.45M,508.45M,0.12,,,
1994-06,2.598B,2.598B,1.951B,647.00M,,,196.20M,,,-11.60M,,,,39.10M,365.50M,281.50M,,,,-11.60M,,201.40M,72.50M,128.90M,,,,,128.90M,136.32M,418.30M,136.80M,281.50M,,0.248,0.00,,,0.2623,0.248,,0.248,0.00,,,0.2623,0.248,,519.76M,519.76M,0.12,,,
1994-03,2.386B,2.386B,1.738B,648.30M,,,202.40M,,,-9.40M,,,,41.20M,367.10M,281.20M,,,,-9.40M,,204.00M,77.50M,126.50M,,,,,126.50M,132.33M,404.70M,123.50M,281.20M,,0.248,0.00,,,0.2594,0.248,,0.248,0.00,,,0.2594,0.248,,510.08M,510.08M,0.12,,,
1993-12,2.591B,2.591B,1.987B,604.00M,,,225.60M,,,-12.60M,,,,32.10M,378.40M,225.60M,,,,-12.60M,,141.50M,39.80M,101.70M,,,,,101.70M,110.76M,346.30M,120.70M,225.60M,,0.20,0.00,,0.0001,0.2178,0.20,,0.192,0.00,,-0.0006,0.2093,0.192,,509.69M,524.26M,0.12,,,
1993-09,2.225B,2.225B,1.686B,538.90M,,,195.20M,,,16.60M,,,,39.70M,355.60M,183.30M,,,,16.60M,,130.00M,63.40M,66.60M,,,,,66.60M,56.64M,304.00M,120.70M,183.30M,,0.128,0.00,,,0.1089,0.128,,0.128,0.00,,,0.1089,0.128,,520.31M,520.31M,0.12,,,
1993-06,2.388B,2.388B,1.741B,646.30M,,,198.60M,,,50.30M,,,,37.40M,354.10M,292.20M,,,,50.30M,,272.30M,90.80M,181.50M,,,,,181.50M,147.97M,410.30M,118.10M,292.20M,,0.356,0.00,,,0.2902,0.356,,0.356,0.00,,,0.2902,0.356,,509.83M,509.83M,0.12,,,
1993-03,2.341B,2.341B,1.672B,668.50M,,,223.70M,,,59.70M,,,,37.00M,388.10M,280.40M,,,,59.70M,,264.60M,87.20M,177.40M,,,,,229.50M,137.37M,407.80M,127.40M,280.40M,,0.348,0.10,,0.1017,0.2699,0.448,,0.348,0.10,,0.1017,0.2699,0.448,,512.28M,512.28M,0.12,,,
1992-12,2.337B,2.337B,1.730B,606.90M,,,154.50M,,,34.70M,,,,,439.20M,167.70M,,,,34.70M,,122.20M,36.90M,85.30M,,,,,85.30M,61.08M,318.90M,151.20M,167.70M,,0.168,0.00,,,0.1203,0.168,,0.164,0.00,,,0.1173,0.164,,507.79M,518.96M,0.12,,,
1992-09,2.337B,2.337B,1.779B,557.90M,,,236.30M,,,35.20M,,,,,353.50M,204.40M,,,,35.20M,,164.90M,57.70M,107.20M,,,,,107.20M,84.32M,330.20M,125.80M,204.40M,,0.212,0.00,,,0.1667,0.212,,0.212,0.00,,,0.1667,0.212,,505.66M,505.66M,0.12,,,
1992-06,2.349B,2.349B,1.755B,593.90M,,,257.00M,,,,,,,,369.90M,224.00M,,,,,,142.90M,50.00M,92.90M,,,,,92.90M,92.90M,336.90M,109.00M,224.00M,,0.18,0.00,,,0.18,0.18,,0.18,0.00,,,0.18,0.18,,516.11M,516.11M,0.12,,,
1992-03,2.196B,2.196B,1.63B,565.70M,,,239.40M,,,12.70M,,,,,356.10M,209.60M,,,,12.70M,,133.30M,46.70M,86.60M,,,,,86.60M,78.35M,326.30M,116.70M,209.60M,,0.172,0.00,,,0.1556,0.172,,0.172,0.00,,,0.1556,0.172,,503.49M,503.49M,0.12,,,
1991-12,2.129B,2.129B,1.683B,446.30M,,,253.00M,,,-427.10M,,,,,338.70M,107.60M,,,,-427.10M,,-412.40M,-139.10M,-273.30M,,,,,-273.30M,9.742M,193.30M,85.70M,107.60M,,-0.544,0.00,,,0.0061,-0.544,,-0.544,0.00,,,0.0061,-0.544,,514.51M,514.51M,0.12,,,
1991-09,2.213B,2.213B,1.682B,531.40M,,,241.00M,,,4.60M,,,,,379.50M,151.90M,,,,4.60M,,60.30M,9.90M,50.40M,,,,,50.40M,46.56M,297.30M,145.40M,151.90M,,0.10,0.00,,,0.0924,0.10,,0.10,0.00,,,0.0924,0.10,,504.00M,504.00M,0.12,,,
1991-06,2.297B,2.297B,1.733B,563.80M,,,241.60M,,,11.20M,,,,,376.70M,187.10M,,,,11.20M,,99.40M,29.80M,69.60M,,,,,69.60M,61.76M,322.20M,132.70M,187.10M,,0.14,0.00,,,0.1242,0.14,,0.14,0.00,,,0.1242,0.14,,497.14M,497.14M,0.12,,,
1991-03,2.063B,2.063B,1.516B,546.80M,,,235.50M,,,4.40M,,,,,373.00M,173.80M,,,,4.40M,,74.90M,22.50M,52.40M,,,,,52.40M,49.32M,311.30M,137.50M,173.80M,,0.104,0.00,,,0.0979,0.104,,0.104,0.00,,,0.0979,0.104,,503.85M,503.85M,0.12,,,
1990-12,2.086B,2.086B,1.551B,534.90M,,,219.30M,,,-32.70M,,,,,307.50M,227.40M,,,,-32.70M,,88.50M,29.70M,58.80M,,,,,58.80M,80.53M,315.60M,88.20M,227.40M,,0.12,0.00,,,0.1630,0.12,,0.12,0.00,,,0.1630,0.12,,505.51M,505.51M,0.12,,,
1990-09,2.264B,2.264B,1.660B,603.10M,,,244.80M,,,8.90M,,,,,371.50M,231.60M,,,,8.90M,,135.50M,44.90M,90.60M,,,,,90.60M,84.65M,363.20M,131.60M,231.60M,,0.168,0.00,,,0.1570,0.168,,0.168,0.00,,,0.1570,0.168,,539.29M,539.29M,0.12,,,
1990-06,2.392B,2.392B,1.749B,643.10M,,,255.30M,,,14.00M,,,,,379.60M,263.50M,,,,14.00M,,175.70M,61.40M,114.30M,,,,,114.30M,105.19M,387.80M,123.60M,263.50M,,0.216,0.00,,,0.1988,0.216,,0.216,0.00,,,0.1988,0.216,,529.17M,529.17M,0.12,,,
1990-03,2.282B,2.282B,1.626B,656.30M,,,251.00M,,,29.80M,,,,,375.90M,280.40M,,,,29.80M,,200.20M,70.10M,130.10M,,,,,130.10M,110.73M,405.30M,124.90M,280.40M,,0.244,0.00,,,0.2077,0.244,,0.244,0.00,,,0.2077,0.244,,533.20M,533.20M,0.12,,,
1989-12,2.566B,2.566B,1.843B,722.60M,,,784.00M,,,94.70M,,,,,914.20M,-191.60M,,,,94.70M,,-206.50M,-77.80M,-128.70M,,,,,-128.70M,-187.72M,-61.40M,130.20M,-191.60M,,-0.26,0.00,,,-0.3597,-0.26,,-0.26,0.00,,,-0.3597,-0.26,,592.19M,592.19M,0.12,,,
1989-09,2.574B,2.574B,1.852B,722.60M,,,260.70M,,,45.50M,,,,,377.70M,344.90M,,,,45.50M,,247.30M,80.50M,166.80M,,,,,166.80M,136.11M,466.80M,121.90M,344.90M,,0.312,0.00,,,0.2546,0.312,,0.312,0.00,,,0.2546,0.312,,534.62M,534.62M,0.12,,,
1989-06,2.644B,2.644B,1.892B,751.60M,,,264.30M,,,19.40M,,,,,378.90M,372.70M,,,,19.40M,,240.10M,85.20M,154.90M,,,,,154.90M,142.38M,487.30M,114.60M,372.70M,,0.292,0.00,,,0.2684,0.292,,0.292,0.00,,,0.2684,0.292,,530.48M,530.48M,0.12,,,
1989-03,2.321B,2.321B,,,,,,,,,,,,,,2.321B,,,,,,,,148.10M,,,,,148.10M,,2.321B,,2.321B,,0.28,0.00,,,0.28,0.28,,0.28,0.00,,,0.28,0.28,,509.01M,509.01M,0.12,,,
1988-12,2.564B,2.564B,,,,,,,,,,,,,,-6.147B,,,,,,,,154.80M,,,,,154.80M,,-6.147B,,-6.147B,,,,,,,,,,,,,,,,509.10M,509.10M,0.12,,,
1988-09,2.48B,2.48B,,,,,,,,,,,,,,2.48B,,,,,,,,144.80M,,,,,144.80M,,2.48B,,2.48B,,0.28,0.00,,,0.28,0.28,,0.28,0.00,,,0.28,0.28,,509.01M,509.01M,0.12,,,
1988-06,2.48B,2.48B,,,,,,,,,,,,,,2.48B,,,,,,,,150.60M,,,,,150.60M,,2.48B,,2.48B,,0.284,0.00,,,0.284,0.284,,0.284,0.00,,,0.284,0.284,,509.01M,509.01M,0.1200,,,
1988-03,2.48B,2.48B,,,,,,,,,,,,,,2.48B,,,,,,,,114.20M,,,,,114.20M,,2.48B,,2.48B,,0.144,0.00,,,0.144,0.144,,0.144,0.00,,,0.144,0.144,,511.60M,511.60M,0.1000,,,
1987-12,1.784B,1.784B,,,,,,,,,,,,,,-4.484B,,,,,,,,129.40M,,,,,129.40M,,-4.484B,,-4.484B,,,,,,,,,,,,,,,,506.10M,506.10M,0.1000,,,
1987-09,1.820B,1.820B,,,,,,,,,,,,,,1.820B,,,,,,,,126.10M,,,,,126.10M,,1.820B,,1.820B,,0.1573,0.00,,,0.1573,0.1573,,0.1573,0.00,,,0.1573,0.1573,,510.98M,510.98M,0.0867,,,
1987-06,1.769B,1.769B,,,,,,,,,,,,,,1.769B,,,,,,,,89.20M,,,,,89.20M,,1.769B,,1.769B,,0.112,0.00,,,0.112,0.112,,0.112,0.00,,,0.112,0.112,,507.47M,507.47M,0.0867,,,
1987-03,1.617B,1.617B,,,,,,,,,,,,,,1.617B,,,,,,,,101.90M,,,,,101.90M,,1.617B,,1.617B,,0.1333,0.00,,,0.1333,0.1333,,0.1333,0.00,,,0.1333,0.1333,,507.47M,507.47M,0.0867,,,
1986-12,1.451B,1.451B,,,,,,,,,,,,,,-3.802B,,,,,,,,96.10M,,,,,96.10M,,-3.802B,,-3.802B,,,,,,,,,,,,,,,,489.40M,489.40M,0.0867,,,
1986-09,1.397B,1.397B,,,,,,,,,,,,,,1.397B,,,,,,,,62.20M,,,,,62.20M,,1.397B,,1.397B,,0.0773,0.00,,,0.0773,0.0773,,0.0773,0.00,,,0.0773,0.0773,,488.61M,488.61M,0.0867,,,
