,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,FinishedGoodsInventory,Inventories,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2018-04,1.032B,,1.032B,274.00M,274.00M,125.00M,1.225B,1.35B,,234.00M,2.89B,,,,,,,,6.76B,-3.866B,2.894B,1.348B,411.00M,1.759B,22.00M,184.00M,4.859B,7.749B,,717.00M,204.00M,,921.00M,848.00M,1.769B,,,89.00M,,89.00M,,,,,1.858B,5.719B,,5.719B,234.00M,234.00M,2.00M,907.00M,6.86B,8.718B,,141.00M,-1.58B,696.00M,245.00M,,,17.00M,-971.00M,,AOR,Restated
2018-01,1.515B,,1.515B,310.00M,310.00M,119.00M,1.121B,1.24B,,228.00M,3.293B,0.00,116.00M,484.00M,3.757B,,79.00M,2.251B,6.687B,-3.794B,2.893B,1.348B,411.00M,1.759B,14.00M,190.00M,4.856B,8.149B,,717.00M,300.00M,,1.017B,444.00M,1.461B,20.00M,,87.00M,,87.00M,267.00M,267.00M,,,2.031B,5.707B,,5.707B,238.00M,238.00M,2.00M,924.00M,6.869B,8.90B,,141.00M,-1.434B,678.00M,162.00M,,,24.00M,-753.00M,,AOR,Restated
2017-10,735.00M,,735.00M,285.00M,285.00M,166.00M,1.549B,1.715B,,195.00M,2.93B,,,,,,,,6.608B,-3.688B,2.92B,1.348B,411.00M,1.759B,23.00M,184.00M,4.886B,7.816B,,1.037B,6.00M,,1.043B,896.00M,1.939B,,,80.00M,,80.00M,,,,,2.019B,5.705B,,5.705B,367.00M,367.00M,2.00M,844.00M,6.916B,8.935B,,159.00M,8.00M,732.00M,2.035B,,,15.00M,-1.121B,,AOR,Restated
2017-07,1.36B,,1.36B,245.00M,245.00M,145.00M,973.00M,1.118B,,234.00M,2.957B,,,,,,,,6.478B,-3.637B,2.841B,1.348B,411.00M,1.759B,25.00M,181.00M,4.806B,7.763B,,758.00M,76.00M,,834.00M,860.00M,1.694B,,,64.00M,,64.00M,,,,,1.758B,5.704B,,5.704B,369.00M,369.00M,2.00M,844.00M,6.917B,8.675B,,159.00M,94.00M,707.00M,1.885B,,,11.00M,-914.00M,,AOR,Restated
2017-04,1.555B,,1.555B,213.00M,213.00M,98.00M,1.049B,1.147B,,237.00M,3.152B,,,,,,,,6.354B,-3.593B,2.761B,1.348B,411.00M,1.759B,23.00M,187.00M,4.73B,7.882B,,664.00M,310.00M,,974.00M,813.00M,1.787B,,,44.00M,,44.00M,,,,,1.831B,5.702B,,5.702B,360.00M,360.00M,1.00M,824.00M,6.886B,8.717B,,159.00M,128.00M,695.00M,1.836B,,,18.00M,-836.00M,,AOR,Restated
2017-01,1.934B,,1.934B,294.00M,294.00M,114.00M,982.00M,1.096B,,141.00M,3.465B,0.00,113.00M,476.00M,3.56B,,89.00M,2.044B,6.282B,-3.541B,2.741B,1.348B,411.00M,1.759B,19.00M,186.00M,4.705B,8.17B,,683.00M,380.00M,,1.063B,444.00M,1.507B,21.00M,,36.00M,,36.00M,259.00M,259.00M,,,2.014B,5.70B,,5.70B,352.00M,352.00M,2.00M,831.00M,6.883B,8.897B,,157.00M,205.00M,650.00M,1.753B,,,12.00M,-729.00M,,AOR,Restated
2016-10,654.00M,,654.00M,325.00M,325.00M,152.00M,1.499B,1.651B,,256.00M,2.886B,,,,,,,,6.218B,-3.448B,2.77B,1.348B,411.00M,1.759B,30.00M,218.00M,4.777B,7.663B,,962.00M,113.00M,,1.075B,909.00M,1.984B,,,23.00M,,23.00M,,,,,2.007B,5.701B,,5.701B,262.00M,262.00M,2.00M,881.00M,6.844B,8.851B,,157.00M,-254.00M,620.00M,1.725B,,,12.00M,-1.19B,,AOR,Restated
2016-07,1.273B,,1.273B,266.00M,266.00M,142.00M,1.062B,1.204B,,217.00M,2.96B,,,,,,,,5.991B,-3.405B,2.586B,1.348B,411.00M,1.759B,30.00M,206.00M,4.581B,7.541B,,793.00M,134.00M,,927.00M,879.00M,1.806B,,,13.00M,,13.00M,,,,,1.819B,5.706B,,5.706B,268.00M,268.00M,1.00M,877.00M,6.851B,8.67B,,157.00M,-203.00M,597.00M,1.703B,,,22.00M,-1.13B,,AOR,Restated
2016-04,1.267B,,1.267B,249.00M,249.00M,109.00M,1.157B,1.266B,,209.00M,2.991B,,,,,,,,5.818B,-3.395B,2.423B,1.348B,411.00M,1.759B,29.00M,224.00M,4.435B,7.426B,,720.00M,44.00M,,764.00M,833.00M,1.597B,,,8.00M,,8.00M,,,,,1.605B,5.718B,,5.718B,269.00M,269.00M,1.00M,920.00M,6.907B,8.512B,,157.00M,-283.00M,572.00M,1.575B,,,42.00M,-1.087B,,AOR,Restated
2016-01,2.548B,,2.548B,261.00M,261.00M,108.00M,1.014B,1.122B,,225.00M,4.156B,0.00,108.00M,460.00M,3.181B,,81.00M,1.809B,5.639B,-3.309B,2.33B,1.318B,411.00M,1.729B,30.00M,248.00M,4.337B,8.493B,,668.00M,300.00M,,968.00M,393.00M,1.361B,27.00M,,6.00M,,6.00M,243.00M,243.00M,,,1.875B,5.715B,,5.715B,257.00M,257.00M,1.00M,904.00M,6.876B,8.751B,,156.00M,315.00M,545.00M,1.315B,,,40.00M,-259.00M,,AOR,Restated
2015-10,1.311B,,1.311B,283.00M,283.00M,155.00M,1.465B,1.62B,35.00M,315.00M,3.564B,,,,,,,,5.652B,-3.302B,2.35B,1.318B,411.00M,1.729B,,326.00M,4.405B,7.969B,,913.00M,7.00M,,920.00M,804.00M,1.724B,,,4.00M,,4.00M,,,,,1.728B,5.762B,,5.762B,268.00M,268.00M,1.00M,868.00M,6.898B,8.626B,,156.00M,-175.00M,515.00M,1.195B,,,41.00M,-658.00M,,AOR,Restated
2015-07,780.00M,50.00M,830.00M,257.00M,257.00M,143.00M,963.00M,1.106B,35.00M,270.00M,2.498B,,,,,,,,5.565B,-3.29B,2.275B,1.318B,411.00M,1.729B,,302.00M,4.306B,6.804B,,725.00M,5.00M,,730.00M,840.00M,1.57B,,,,,,,,,,1.57B,4.759B,,4.759B,273.00M,273.00M,1.00M,849.00M,5.881B,7.451B,,156.00M,-194.00M,483.00M,1.134B,,,41.00M,-648.00M,,AOR,Restated
2015-04,649.00M,50.00M,699.00M,239.00M,239.00M,95.00M,1.044B,1.139B,33.00M,208.00M,2.318B,,,,,,,,5.587B,-3.281B,2.306B,1.318B,411.00M,1.729B,,285.00M,4.32B,6.638B,,639.00M,29.00M,,668.00M,723.00M,1.391B,,,,,,,,,,1.391B,4.76B,,4.76B,273.00M,273.00M,1.00M,820.00M,5.853B,7.244B,,156.00M,-250.00M,458.00M,1.003B,,,32.00M,-607.00M,,AOR,Restated
2015-01,1.681B,,1.681B,252.00M,252.00M,94.00M,942.00M,1.036B,,230.00M,3.199B,0.00,87.00M,413.00M,3.169B,,164.00M,1.647B,5.48B,-3.203B,2.277B,1.318B,411.00M,1.729B,24.00M,247.00M,4.277B,7.476B,,613.00M,237.00M,,850.00M,332.00M,1.182B,26.00M,,,,,227.00M,227.00M,,,1.679B,4.722B,,4.722B,236.00M,236.00M,1.00M,820.00M,5.778B,7.457B,,155.00M,233.00M,427.00M,832.00M,,,35.00M,18.00M,,AOR,Restated
2014-10,745.00M,,745.00M,274.00M,274.00M,125.00M,1.36B,1.485B,31.00M,314.00M,2.849B,,,,,,,,5.462B,-3.181B,2.281B,1.318B,411.00M,1.729B,,290.00M,4.30B,7.149B,,837.00M,14.00M,,851.00M,735.00M,1.586B,,,213.00M,,213.00M,,,,,1.799B,4.759B,,4.759B,228.00M,228.00M,1.00M,796.00M,5.783B,7.582B,,155.00M,-231.00M,397.00M,793.00M,,,38.00M,-434.00M,,AOR,Restated
2014-07,1.147B,,1.147B,233.00M,233.00M,108.00M,967.00M,1.075B,27.00M,217.00M,2.699B,,,,,,,,5.304B,-3.14B,2.164B,1.318B,411.00M,1.729B,,278.00M,4.171B,6.87B,,622.00M,1.00M,,623.00M,743.00M,1.366B,,,214.00M,,214.00M,,,,,1.58B,4.758B,,4.758B,229.00M,229.00M,1.00M,806.00M,5.793B,7.373B,,155.00M,-263.00M,365.00M,793.00M,,,32.00M,-504.00M,,AOR,Restated
2014-04,912.00M,,912.00M,216.00M,216.00M,81.00M,1.138B,1.219B,28.00M,210.00M,2.585B,,,,,,,,5.184B,-3.109B,2.075B,1.318B,411.00M,1.729B,,274.00M,4.078B,6.663B,,555.00M,85.00M,,640.00M,661.00M,1.301B,,,214.00M,,214.00M,,,,,1.515B,4.758B,,4.758B,217.00M,217.00M,0.00,782.00M,5.757B,7.272B,,155.00M,-351.00M,342.00M,791.00M,,,36.00M,-609.00M,,AOR,Restated
2014-01,1.519B,,1.519B,244.00M,244.00M,92.00M,1.073B,1.165B,28.00M,194.00M,3.15B,0.00,58.00M,408.00M,2.984B,,117.00M,1.534B,5.101B,-3.056B,2.045B,1.318B,411.00M,1.729B,,274.00M,4.048B,7.198B,,599.00M,288.00M,,887.00M,315.00M,1.202B,29.00M,,215.00M,,215.00M,207.00M,207.00M,,,1.826B,4.761B,,4.761B,210.00M,210.00M,1.00M,770.00M,5.741B,7.567B,,154.00M,-118.00M,302.00M,748.00M,,,40.00M,-370.00M,,AOR,Restated
2013-10,425.00M,,425.00M,245.00M,245.00M,125.00M,1.518B,1.643B,30.00M,237.00M,2.58B,,,,,,,,5.083B,-3.005B,2.078B,1.318B,411.00M,1.729B,,249.00M,4.056B,6.636B,,799.00M,17.00M,,816.00M,702.00M,1.518B,,,216.00M,,216.00M,,,,,1.734B,4.762B,,4.762B,194.00M,194.00M,0.00,766.00M,5.722B,7.456B,,153.00M,-519.00M,267.00M,740.00M,,,19.00M,-820.00M,,AOR,Restated
2013-07,551.00M,,551.00M,197.00M,197.00M,118.00M,1.009B,1.127B,30.00M,193.00M,2.098B,,,,,,,,4.945B,-2.985B,1.96B,1.318B,412.00M,1.73B,,284.00M,3.974B,6.072B,,681.00M,85.00M,,766.00M,719.00M,1.485B,,,,,,,,,,1.485B,4.475B,,4.475B,200.00M,200.00M,0.00,773.00M,5.448B,6.933B,,153.00M,-524.00M,237.00M,740.00M,,,13.00M,-861.00M,,AOR,Restated
2013-04,382.00M,,382.00M,175.00M,175.00M,77.00M,1.038B,1.115B,28.00M,204.00M,1.904B,,,,,,,,4.805B,-2.955B,1.85B,1.318B,412.00M,1.73B,,292.00M,3.872B,5.776B,,561.00M,56.00M,,617.00M,653.00M,1.27B,,,,,,,,,,1.27B,4.475B,,4.475B,206.00M,206.00M,0.00,819.00M,5.50B,6.77B,,153.00M,-616.00M,206.00M,740.00M,,,3.00M,-994.00M,,AOR,Restated
2013-01,773.00M,,773.00M,203.00M,203.00M,88.00M,916.00M,1.004B,29.00M,196.00M,2.205B,0.00,60.00M,402.00M,2.715B,,186.00M,1.359B,4.722B,-2.919B,1.803B,1.318B,412.00M,1.73B,,281.00M,3.814B,6.019B,,541.00M,274.00M,,815.00M,313.00M,1.128B,28.00M,,,,,202.00M,202.00M,,,1.538B,4.477B,,4.477B,200.00M,200.00M,1.00M,818.00M,5.495B,7.033B,,152.00M,-672.00M,186.00M,685.00M,,,4.00M,-1.015B,,AOR,Restated
2012-10,547.00M,,547.00M,225.00M,225.00M,120.00M,1.326B,1.446B,50.00M,217.00M,2.485B,,,,,,,,4.666B,-2.825B,1.841B,1.33B,494.00M,1.824B,,277.00M,3.942B,6.427B,,732.00M,6.00M,,738.00M,717.00M,1.455B,,,57.00M,,57.00M,,,,,1.512B,4.478B,,4.478B,174.00M,174.00M,0.00,778.00M,5.43B,6.942B,,151.00M,-141.00M,140.00M,672.00M,,,7.00M,-515.00M,,AOR,Restated
2012-07,1.193B,,1.193B,175.00M,175.00M,107.00M,950.00M,1.057B,51.00M,240.00M,2.716B,,,,,,,,4.612B,-2.837B,1.775B,1.33B,494.00M,1.824B,,274.00M,3.873B,6.589B,,624.00M,7.00M,,631.00M,712.00M,1.343B,,,57.00M,,57.00M,,,,,1.40B,4.48B,,4.48B,188.00M,188.00M,0.00,766.00M,5.434B,6.834B,,151.00M,146.00M,112.00M,663.00M,,,9.00M,-245.00M,,AOR,Restated
2012-04,1.286B,,1.286B,158.00M,158.00M,71.00M,1.029B,1.10B,50.00M,222.00M,2.816B,,,,,,,,4.47B,-2.781B,1.689B,1.33B,495.00M,1.825B,,286.00M,3.80B,6.616B,,536.00M,6.00M,691.00M,1.233B,,1.233B,,,57.00M,,57.00M,,,,,1.29B,4.48B,,4.48B,191.00M,191.00M,0.00,786.00M,5.457B,6.747B,,151.00M,75.00M,78.00M,440.00M,,,5.00M,-131.00M,,AOR,Restated
2012-01,935.00M,,935.00M,218.00M,218.00M,71.00M,926.00M,997.00M,51.00M,167.00M,2.368B,0.00,61.00M,403.00M,2.528B,,159.00M,1.236B,4.387B,-2.743B,1.644B,1.33B,495.00M,1.825B,,271.00M,3.74B,6.108B,,540.00M,226.00M,,766.00M,306.00M,1.072B,30.00M,,57.00M,,57.00M,196.00M,196.00M,,,1.526B,3.481B,,3.481B,183.00M,183.00M,1.00M,780.00M,4.444B,5.97B,,148.00M,24.00M,25.00M,60.00M,,,0.00,137.00M,,AOR,Restated
2011-10,498.00M,,498.00M,298.00M,298.00M,88.00M,1.449B,1.537B,30.00M,253.00M,2.616B,,,,,,,,4.362B,-2.701B,1.661B,1.452B,590.00M,2.042B,,198.00M,3.901B,6.517B,,800.00M,4.00M,700.00M,1.504B,,1.504B,,,,,,,,,,1.504B,3.536B,,3.536B,220.00M,220.00M,1.00M,736.00M,4.492B,5.996B,,167.00M,1.354B,283.00M,1.284B,,,0.00,520.00M,,AOR,Restated
2011-07,1.035B,,1.035B,241.00M,241.00M,105.00M,999.00M,1.104B,30.00M,242.00M,2.652B,,,,,,,,4.227B,-2.644B,1.583B,1.457B,598.00M,2.055B,,210.00M,3.848B,6.50B,,646.00M,5.00M,696.00M,1.347B,,1.347B,,,,,,,,,,1.347B,3.524B,,3.524B,224.00M,224.00M,0.00,780.00M,4.528B,5.875B,,167.00M,1.32B,252.00M,1.112B,,,-2.00M,625.00M,,AOR,Restated
2011-04,1.557B,,1.557B,205.00M,205.00M,75.00M,1.00B,1.075B,0.00,327.00M,3.164B,,,,,,,,4.225B,-2.627B,1.598B,1.458B,601.00M,2.059B,,194.00M,3.851B,7.015B,,640.00M,60.00M,689.00M,1.389B,,1.389B,,,,,,,,,,1.389B,3.51B,,3.51B,218.00M,218.00M,0.00,771.00M,4.499B,5.888B,,166.00M,1.456B,213.00M,797.00M,,,89.00M,1.127B,,AOR,Restated
2011-01,1.13B,,1.13B,232.00M,232.00M,76.00M,956.00M,1.032B,35.00M,163.00M,2.592B,0.00,61.00M,395.00M,2.466B,,65.00M,1.196B,4.183B,-2.573B,1.61B,1.451B,592.00M,2.043B,,206.00M,3.859B,6.451B,,545.00M,68.00M,736.00M,1.349B,29.00M,1.378B,,,,,,191.00M,191.00M,,-65.00M,1.504B,2.507B,,2.507B,202.00M,202.00M,1.00M,761.00M,3.47B,4.974B,,164.00M,1.354B,164.00M,207.00M,,,1.00M,1.476B,,AOR,Restated
2010-07,1.30B,,1.30B,209.00M,209.00M,99.00M,984.00M,1.083B,32.00M,181.00M,2.805B,,,,,,,,4.082B,-2.441B,1.641B,1.447B,596.00M,2.043B,,233.00M,3.917B,6.722B,,559.00M,6.00M,,565.00M,615.00M,1.18B,,,,,,,,,,1.18B,2.532B,,2.532B,224.00M,224.00M,0.00,713.00M,3.469B,4.649B,,163.00M,1.906B,63.00M,68.00M,,,9.00M,2.073B,,AOR,Restated
2010-04,1.188B,,1.188B,199.00M,199.00M,63.00M,1.035B,1.098B,32.00M,170.00M,2.687B,,,,,,,,4.054B,-2.377B,1.677B,1.448B,600.00M,2.048B,,180.00M,3.905B,6.592B,,485.00M,18.00M,,503.00M,632.00M,1.135B,,,,,,,,,,1.135B,2.523B,,2.523B,240.00M,240.00M,0.00,717.00M,3.48B,4.615B,,163.00M,1.777B,40.00M,2.00M,,,-1.00M,1.977B,,AOR,Restated
2010-01,1.804B,,1.804B,219.00M,219.00M,64.00M,973.00M,1.037B,30.00M,160.00M,3.25B,0.00,60.00M,390.00M,2.429B,,28.00M,1.151B,4.058B,-2.335B,1.723B,1.442B,594.00M,2.036B,,164.00M,3.923B,7.173B,,488.00M,141.00M,,629.00M,693.00M,1.322B,,,,,,,,,,1.322B,2.723B,,2.723B,213.00M,213.00M,1.00M,731.00M,3.667B,4.989B,,161.00M,2.037B,0.00,0.00,,,-15.00M,2.183B,,AOR,
2009-10,968.00M,,968.00M,252.00M,252.00M,73.00M,1.353B,1.426B,,268.00M,2.914B,,,,,,,,4.127B,-2.313B,1.814B,1.44B,596.00M,2.036B,,171.00M,4.021B,6.935B,,620.00M,15.00M,,635.00M,602.00M,1.237B,,,,,,,,,,1.237B,2.88B,,2.88B,236.00M,236.00M,1.00M,717.00M,3.833B,5.07B,,262.00M,4.724B,1.543B,4.65B,,,-15.00M,1.864B,,AOR,Restated
2009-07,1.55B,,1.55B,230.00M,230.00M,82.00M,1.009B,1.091B,,262.00M,3.133B,,,,,,,,4.08B,-2.23B,1.85B,1.441B,599.00M,2.04B,,162.00M,4.052B,7.185B,,508.00M,33.00M,,541.00M,557.00M,1.098B,,,,,,,,,,1.098B,3.251B,,3.251B,220.00M,220.00M,0.00,740.00M,4.211B,5.309B,,262.00M,4.757B,1.541B,4.662B,,,-22.00M,1.876B,,AOR,Restated
2009-04,936.00M,,936.00M,198.00M,198.00M,59.00M,1.154B,1.213B,,269.00M,2.616B,,,,,,,,4.056B,-2.165B,1.891B,1.43B,585.00M,2.015B,,158.00M,4.064B,6.68B,,410.00M,15.00M,,425.00M,591.00M,1.016B,,,,,,,,,,1.016B,2.897B,,2.897B,209.00M,209.00M,0.00,719.00M,3.825B,4.841B,,262.00M,4.731B,1.534B,4.666B,,,-22.00M,1.839B,,AOR,Restated
2009-01,1.173B,,1.173B,236.00M,236.00M,81.00M,1.101B,1.182B,77.00M,199.00M,2.867B,0.00,60.00M,392.00M,2.375B,,119.00M,1.085B,4.031B,-2.102B,1.929B,1.426B,580.00M,2.006B,,170.00M,4.105B,6.972B,,494.00M,92.00M,,586.00M,669.00M,1.255B,,,,,,,,,,1.255B,2.897B,,2.897B,213.00M,213.00M,1.00M,732.00M,3.842B,5.097B,,262.00M,4.777B,1.544B,4.681B,,,-28.00M,1.874B,,,Restated
2008-10,377.00M,,377.00M,352.00M,352.00M,93.00M,1.555B,1.648B,,362.00M,2.739B,,,,,,,,4.024B,-2.067B,1.957B,1.618B,610.00M,2.228B,,157.00M,4.342B,7.081B,,695.00M,,,695.00M,616.00M,1.311B,,,,,,,,,39.00M,1.35B,2.897B,,2.897B,178.00M,178.00M,1.00M,702.00M,3.777B,5.127B,,262.00M,4.809B,1.536B,4.64B,,,-14.00M,1.953B,,,
2008-07,978.00M,,978.00M,331.00M,331.00M,127.00M,1.093B,1.22B,,292.00M,2.821B,,,,,,,,3.942B,-2.009B,1.933B,1.673B,644.00M,2.317B,,165.00M,4.415B,7.236B,,536.00M,,,536.00M,628.00M,1.164B,,,,,,,,,81.00M,1.245B,2.901B,,2.901B,175.00M,175.00M,,716.00M,3.792B,5.037B,,262.00M,4.855B,1.537B,4.489B,,,34.00M,2.199B,,,Restated
2008-04,759.00M,,759.00M,320.00M,320.00M,97.00M,1.127B,1.224B,,297.00M,2.60B,,,,,,,,3.865B,-1.97B,1.895B,1.676B,642.00M,2.318B,,221.00M,4.434B,7.034B,,428.00M,,,428.00M,634.00M,1.062B,,,,,,,,,34.00M,1.096B,2.905B,,2.905B,174.00M,174.00M,,710.00M,3.789B,4.885B,,262.00M,4.804B,1.543B,4.491B,,,31.00M,2.149B,,,Restated
