,NetIncome,GainandLossonSaleofPPE,NetForeignCurrencyExchangeGain/Loss,EarningsLossfromEq.Investments,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,OtherNoncashItems,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2003-06,1.362B,,,,134.00M,213.00M,213.00M,-116.00M,,,,-62.00M,-62.00M,,1.531B,-203.00M,40.00M,-163.00M,-75.00M,-52.00M,-42.00M,-332.00M,,-397.00M,12.00M,-91.00M,-79.00M,,-545.00M,,-1.021B,3.123B,178.00M,125.00M,3.426B,12.00M,,,-91.00M
2003-03,835.00M,,,,160.00M,198.00M,198.00M,-103.00M,,,,-491.00M,-491.00M,,599.00M,-195.00M,7.00M,-188.00M,-130.00M,74.00M,59.00M,-185.00M,,715.00M,12.00M,-342.00M,-330.00M,,,,385.00M,2.26B,799.00M,64.00M,3.123B,12.00M,,,-342.00M
2002-12,930.00M,,,,44.00M,207.00M,207.00M,171.00M,,,,392.00M,-15.00M,,1.337B,-269.00M,14.00M,-255.00M,-129.00M,-60.00M,110.00M,-334.00M,,-219.00M,10.00M,-213.00M,-203.00M,,-993.00M,,-1.415B,2.647B,-412.00M,25.00M,2.26B,10.00M,,,-213.00M
2002-09,955.00M,,,,215.00M,201.00M,201.00M,14.00M,,,,-136.00M,-136.00M,,1.249B,-208.00M,20.00M,-188.00M,-148.00M,178.00M,13.00M,-145.00M,,-454.00M,12.00M,-177.00M,-165.00M,,-497.00M,,-1.116B,2.671B,-12.00M,-12.00M,2.647B,12.00M,,,-177.00M
2002-06,1.29B,,,,-58.00M,203.00M,203.00M,-110.00M,,,,-130.00M,-130.00M,,1.195B,-199.00M,13.00M,-186.00M,-52.00M,-32.00M,13.00M,-257.00M,,-17.00M,55.00M,-118.00M,-63.00M,,-497.00M,,-577.00M,2.268B,361.00M,42.00M,2.671B,55.00M,,,-118.00M
2002-03,-125.00M,,,,1.052B,195.00M,195.00M,-35.00M,,,,-126.00M,-126.00M,,961.00M,-175.00M,22.00M,-153.00M,-215.00M,16.00M,23.00M,-329.00M,,-66.00M,30.00M,-183.00M,-153.00M,,,,-219.00M,1.866B,413.00M,-11.00M,2.268B,30.00M,,,-183.00M
2001-12,914.00M,,,,-80.00M,232.00M,232.00M,101.00M,,,,318.00M,-144.00M,,1.057B,-241.00M,21.00M,-220.00M,-343.00M,185.00M,30.00M,-348.00M,,-361.00M,9.00M,-58.00M,-49.00M,,-894.00M,,-1.304B,2.495B,-595.00M,-34.00M,1.866B,9.00M,,,-58.00M
2001-09,1.074B,,,,-256.00M,186.00M,186.00M,39.00M,,,,-85.00M,-85.00M,,958.00M,-215.00M,15.00M,-200.00M,-67.00M,14.00M,8.00M,-245.00M,,-349.00M,30.00M,-87.00M,-57.00M,,-449.00M,,-855.00M,2.599B,-142.00M,38.00M,2.495B,30.00M,,,-87.00M
2001-06,1.118B,,,,0.00,199.00M,199.00M,-38.00M,,,,99.00M,99.00M,,1.378B,-176.00M,38.00M,-138.00M,-24.00M,-32.00M,-2.00M,-196.00M,,-669.00M,40.00M,-65.00M,-25.00M,,-448.00M,,-1.142B,2.616B,40.00M,-57.00M,2.599B,40.00M,,,-65.00M
2001-03,863.00M,,,,46.00M,186.00M,186.00M,-46.00M,,,,-332.00M,-332.00M,,717.00M,-137.00M,17.00M,-120.00M,-217.00M,-168.00M,106.00M,-399.00M,,453.00M,85.00M,-67.00M,18.00M,,,,471.00M,1.819B,789.00M,8.00M,2.616B,85.00M,,,-67.00M
2000-12,242.00M,,,,769.00M,201.00M,201.00M,46.00M,,,,600.00M,-252.00M,,1.006B,-162.00M,28.00M,-134.00M,-113.00M,-58.00M,76.00M,-229.00M,,-1.09B,88.00M,-3.00M,85.00M,,-844.00M,,-1.849B,2.945B,-1.072B,-54.00M,1.819B,88.00M,,,-3.00M
2000-09,1.067B,,,,-96.00M,129.00M,129.00M,32.00M,,,,216.00M,216.00M,,1.348B,-152.00M,6.00M,-146.00M,-1.00M,64.00M,66.00M,-17.00M,,-843.00M,93.00M,-7.00M,86.00M,,-421.00M,,-1.178B,2.843B,153.00M,-51.00M,2.945B,93.00M,,,-7.00M
2000-06,926.00M,,,,46.00M,226.00M,226.00M,-21.00M,,,,-115.00M,-115.00M,,1.062B,-192.00M,8.00M,-184.00M,-210.00M,-111.00M,-19.00M,-524.00M,,250.00M,66.00M,-15.00M,51.00M,,-420.00M,,-119.00M,2.454B,419.00M,-30.00M,2.843B,66.00M,,,-15.00M
2000-03,-58.00M,,,,765.00M,217.00M,217.00M,-54.00M,,,,-701.00M,-701.00M,,169.00M,-227.00M,3.00M,-224.00M,-73.00M,-113.00M,15.00M,-395.00M,,1.098B,84.00M,-108.00M,-24.00M,,,,1.074B,1.611B,848.00M,-5.00M,2.454B,84.00M,,,-108.00M
1999-12,-45.00M,,,,858.00M,183.00M,183.00M,78.00M,,,,470.00M,-87.00M,,987.00M,1.493B,21.00M,1.514B,-1.876B,-62.00M,-56.00M,-480.00M,,-133.00M,48.00M,-6.00M,42.00M,,-440.00M,,-531.00M,1.502B,-24.00M,133.00M,1.611B,48.00M,,,-6.00M
1999-09,787.00M,,,,-82.00M,209.00M,209.00M,64.00M,,,,167.00M,167.00M,,1.145B,-2.03B,12.00M,-2.018B,797.00M,-139.00M,-115.00M,-1.475B,,14.00M,24.00M,0.00,24.00M,,-388.00M,,-350.00M,2.213B,-680.00M,-31.00M,1.502B,24.00M,,,0.00
1999-06,942.00M,,,,118.00M,215.00M,215.00M,-30.00M,,,,169.00M,169.00M,,1.414B,-304.00M,6.00M,-298.00M,-568.00M,-91.00M,3.00M,-954.00M,,555.00M,48.00M,-4.00M,44.00M,,-414.00M,,185.00M,1.593B,645.00M,-25.00M,2.213B,48.00M,,,-4.00M
1999-03,747.00M,,,,226.00M,185.00M,185.00M,-15.00M,,,,-806.00M,-806.00M,,337.00M,-228.00M,6.00M,-222.00M,-229.00M,-50.00M,-11.00M,-512.00M,,520.00M,48.00M,-5.00M,43.00M,,-338.00M,,225.00M,1.648B,50.00M,-105.00M,1.593B,48.00M,,,-5.00M
1998-12,597.00M,,,,43.00M,174.00M,174.00M,-63.00M,,,,628.00M,78.00M,,829.00M,-251.00M,25.00M,-226.00M,-427.00M,-71.00M,-313.00M,-1.037B,,493.00M,106.00M,-104.00M,2.00M,,-391.00M,,104.00M,1.746B,-104.00M,6.00M,1.648B,106.00M,,,-104.00M
1998-09,888.00M,,,,-83.00M,151.00M,151.00M,24.00M,,,,-23.00M,-23.00M,,957.00M,-202.00M,9.00M,-193.00M,-536.00M,372.00M,11.00M,-346.00M,,-18.00M,59.00M,-580.00M,-521.00M,,-360.00M,,-899.00M,2.027B,-288.00M,7.00M,1.746B,59.00M,,,-580.00M
1998-06,1.191B,,,,-182.00M,168.00M,168.00M,11.00M,,,,-52.00M,-52.00M,,1.136B,-225.00M,14.00M,-211.00M,-259.00M,204.00M,-27.00M,-293.00M,,195.00M,66.00M,-585.00M,-519.00M,,-373.00M,,-697.00M,1.888B,146.00M,-7.00M,2.027B,66.00M,,,-585.00M
