,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,AmortizationExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,EBITDA,ReconciledDepreciation,EBIT,,BasicEPS(Quarterly),EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,DilutedEPS(Quarterly),EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2003-03,5.53B,5.53B,2.534B,2.996B,1.819B,30.00M,,-11.00M,,,,1.849B,1.147B,,,,4.00M,,1.121B,344.00M,777.00M,,,,1.00M,1.403B,256.00M,1.147B,,2003-03,,0.4544,0.45,,2003-03,,0.4544,0.45,1.724B,1.724B,0.15,,2003-03,,
2002-12,7.382B,7.382B,3.418B,3.964B,3.062B,41.00M,,-90.00M,,,,3.103B,861.00M,,,,-61.00M,,751.00M,268.00M,483.00M,,,,1.00M,1.221B,360.00M,861.00M,,2002-12,,0.2919,0.26,,2002-12,,0.2919,0.26,1.817B,1.817B,0.15,,2002-12,,
2002-09,6.30B,6.30B,2.873B,3.427B,2.062B,35.00M,,-33.00M,,,,2.097B,1.33B,,,,97.00M,,1.391B,438.00M,953.00M,,,,1.00M,1.593B,263.00M,1.33B,,2002-09,,0.5528,0.54,,2002-09,,0.5426,0.53,1.763B,1.796B,0.15,,2002-09,,
2002-06,6.119B,6.119B,2.776B,3.343B,2.018B,34.00M,,-65.00M,,,,2.052B,1.291B,,,,29.00M,,1.282B,407.00M,875.00M,,,,1.00M,1.55B,259.00M,1.291B,,2002-06,,0.5149,0.49,,2002-06,,0.5044,0.48,1.784B,1.821B,0.15,,2002-06,,
2002-03,5.311B,5.311B,2.43B,2.881B,1.816B,28.00M,,-36.00M,,,,1.844B,1.037B,,,,-9.00M,,1.009B,320.00M,689.00M,,,,1.00M,1.267B,230.00M,1.037B,,2002-03,,0.4039,0.39,,2002-03,,0.3936,0.38,1.764B,1.811B,0.145,,2002-03,,
2001-12,6.966B,6.966B,3.211B,3.755B,2.927B,52.00M,,-131.00M,,,,2.979B,776.00M,,,,-124.00M,,608.00M,203.00M,405.00M,,,,1.00M,1.121B,345.00M,776.00M,,2001-12,,0.2682,0.22,,2001-12,,0.2682,0.22,1.811B,1.811B,0.145,,2001-12,,
2001-09,5.981B,5.981B,2.727B,3.254B,1.992B,39.00M,,-248.00M,,,,2.031B,1.223B,,,,-163.00M,,1.025B,398.00M,627.00M,,,,,1.535B,312.00M,1.223B,,2001-09,,0.4347,0.35,,2001-09,,0.4223,0.34,1.791B,1.844B,0.145,,2001-09,,
2001-06,5.281B,5.281B,2.031B,3.25B,2.305B,36.00M,,63.00M,,,,2.341B,909.00M,,,,63.00M,,945.00M,293.00M,652.00M,,,,,1.126B,217.00M,909.00M,,2001-06,,0.42,0.45,,2001-06,,0.4107,0.44,1.449B,1.482B,0.145,,2001-06,,
2001-03,4.70B,4.70B,2.144B,2.556B,1.651B,36.00M,,1.00M,,,,1.687B,869.00M,,,,1.00M,,838.00M,268.00M,570.00M,,,,1.00M,1.077B,208.00M,869.00M,,2001-03,,0.3296,0.33,,2001-03,,0.3196,0.32,1.724B,1.778B,0.14,,2001-03,,
2000-12,7.867B,7.867B,3.183B,4.684B,3.544B,45.00M,,-141.00M,,,,3.589B,1.095B,,,,-11.00M,,1.037B,339.00M,698.00M,,,,,1.477B,382.00M,1.095B,,2000-12,,0.4552,0.40,,2000-12,,0.4430,0.39,1.721B,1.790B,0.14,,2000-12,,
2000-09,6.421B,6.421B,2.539B,3.882B,2.75B,34.00M,,70.00M,,,,2.784B,1.098B,,,,70.00M,,1.122B,367.00M,755.00M,,,,,1.391B,293.00M,1.098B,,2000-09,,0.4032,0.43,,2000-09,,0.3938,0.42,1.756B,1.798B,0.14,,2000-09,,
2000-06,4.928B,4.928B,1.707B,3.221B,2.196B,,,54.00M,,,,2.412B,809.00M,,,,54.00M,,828.00M,265.00M,563.00M,,,,,1.025B,216.00M,809.00M,,2000-06,,0.3646,0.39,,2000-06,,0.3550,0.38,1.443B,1.468B,0.14,,2000-06,,
2000-03,4.191B,4.191B,1.507B,2.684B,1.827B,,,5.00M,,,,2.029B,655.00M,,,,5.00M,,620.00M,198.00M,422.00M,,,,,857.00M,202.00M,655.00M,,2000-03,,0.2877,0.29,,2000-03,,0.2877,0.29,1.45B,1.472B,0.135,,2000-03,,
1999-12,10.41B,10.41B,4.967B,5.439B,4.535B,,,-1.091B,,,,4.002B,1.437B,,,,-8.00M,,1.342B,397.00M,945.00M,,,,,1.867B,430.00M,1.437B,,1999-12,,0.8702,0.34,,1999-12,,0.8477,0.33,1.449B,1.484B,0.135,,1999-12,,
1999-09,4.591B,4.591B,1.634B,2.957B,2.025B,,,58.00M,,,,2.219B,738.00M,,,,58.00M,,750.00M,266.00M,484.00M,,,,,932.00M,194.00M,738.00M,,1999-09,,0.3045,0.33,,1999-09,,0.2953,0.32,1.467B,1.512B,0.135,,1999-09,,
1999-06,4.982B,4.982B,1.822B,3.16B,2.208B,,,1.075B,,,,2.439B,721.00M,,,,1.075B,,1.692B,949.00M,743.00M,,,,,952.00M,231.00M,721.00M,,1999-06,,0.0659,0.50,,1999-06,,0.0646,0.49,1.486B,1.516B,0.135,,1999-06,,
1999-03,5.114B,5.114B,1.903B,3.211B,2.25B,,,-45.00M,,,,2.551B,660.00M,,,,-45.00M,,491.00M,158.00M,333.00M,,,,,961.00M,301.00M,660.00M,,1999-03,,0.2511,0.23,,1999-03,,0.2402,0.22,1.448B,1.514B,0.13,,1999-03,,
1998-12,7.193B,7.193B,2.793B,4.40B,3.343B,,,-273.00M,,,,3.785B,615.00M,,,,-273.00M,,188.00M,-173.00M,361.00M,,,,,1.057B,442.00M,615.00M,,1998-12,,0.3615,0.25,,1998-12,,0.3492,0.24,1.469B,1.500B,0.13,,1998-12,,
1998-09,5.544B,5.544B,2.06B,3.484B,2.326B,,,12.00M,,,,2.595B,889.00M,,,,12.00M,,812.00M,51.00M,761.00M,,,,,1.158B,269.00M,889.00M,,1998-09,,0.5123,0.52,,1998-09,,0.4926,0.50,1.463B,1.522B,0.13,,1998-09,,
1998-06,5.258B,5.258B,1.917B,3.341B,2.286B,,,15.00M,,,,2.563B,778.00M,,,,15.00M,,717.00M,223.00M,494.00M,,,,,1.055B,277.00M,778.00M,,1998-06,,0.3231,0.33,,1998-06,,0.3231,0.33,1.497B,1.497B,0.13,,1998-06,,
