,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2005-03,454.94M,454.94M,165.98M,288.97M,54.19M,136.57M,190.76M,31.04M,24.76M,-46.58M,,,,40.87M,287.43M,1.54M,,,,-46.58M,,-3.225M,0.488M,-3.713M,,,-3.713M,24.23M,39.66M,38.12M,1.54M,,-0.02,0.00,,0.1372,-0.02,,-0.02,0.00,,0.1372,-0.02,,177.76M,177.76M,0.06,,,
2004-12,1.060B,1.060B,434.13M,625.39M,143.77M,185.40M,329.17M,48.53M,22.68M,-108.28M,,,,91.45M,491.82M,133.57M,,,,-108.28M,,109.53M,27.61M,81.92M,,,81.92M,162.90M,175.66M,42.09M,133.57M,,0.46,0.00,,0.9104,0.46,,0.44,0.00,,0.8904,0.44,,179.80M,179.80M,0.06,,,
2004-09,947.31M,947.31M,423.46M,523.85M,129.40M,151.18M,280.58M,39.26M,16.89M,-59.57M,,,,65.09M,401.81M,122.04M,,,,-59.57M,,119.30M,30.61M,88.69M,,,88.69M,132.98M,164.20M,42.16M,122.04M,,0.50,0.00,,0.7497,0.50,,0.43,0.00,,0.6447,0.43,,177.37M,206.25M,0.06,,,
2004-06,516.43M,516.43M,207.35M,309.08M,59.02M,139.87M,198.88M,37.70M,15.75M,-25.97M,,,,34.02M,286.35M,22.73M,,,,-25.97M,,22.85M,4.013M,18.84M,,,18.84M,40.25M,55.68M,32.95M,22.73M,,0.11,0.00,,0.2350,0.11,,0.06,0.00,,0.1818,0.06,,171.26M,175.74M,0.06,,,
2004-03,474.25M,474.25M,186.72M,287.52M,55.33M,137.96M,193.29M,31.68M,15.24M,-30.59M,,,,32.64M,272.85M,14.67M,,,,-30.59M,,8.411M,1.879M,6.532M,,,6.532M,30.29M,43.65M,28.98M,14.67M,,0.04,0.00,,0.1752,0.04,,0.03,0.00,,0.1652,0.03,,175.74M,175.74M,0.03,,,
2003-12,1.124B,1.124B,465.05M,659.30M,137.97M,464.14M,602.12M,40.77M,22.15M,127.30M,,,,,496.02M,163.28M,,,,127.30M,,108.67M,32.08M,76.59M,0.00,,76.59M,-13.13M,217.86M,54.59M,163.28M,,0.44,0.00,0.00,-0.0711,0.44,,0.39,0.00,0.0004,-0.0553,0.40,,175.56M,201.48M,0.03,,,
2003-09,971.07M,971.07M,419.87M,551.20M,105.04M,168.50M,273.54M,38.81M,19.32M,-88.83M,,,,82.54M,414.21M,136.99M,,,,-88.83M,,118.12M,32.31M,85.82M,-17.35M,,68.46M,150.35M,176.57M,39.58M,136.99M,,0.49,-0.10,0.00,0.8576,0.39,,0.48,-0.10,-0.0988,0.8382,0.38,,175.55M,180.17M,0.03,,,
2003-06,581.47M,581.47M,230.81M,350.66M,67.69M,150.42M,218.11M,33.10M,18.41M,-53.43M,,,,52.65M,322.27M,28.39M,,,,-53.43M,,15.64M,4.223M,11.42M,,,11.42M,50.42M,67.60M,39.21M,28.39M,,0.07,0.00,,0.3091,0.07,,0.06,0.00,,0.2650,0.06,,163.10M,190.28M,0.03,,,
2003-03,461.77M,461.77M,172.24M,289.53M,53.18M,139.90M,193.08M,30.50M,16.18M,-33.12M,,,,33.82M,273.58M,15.96M,,,,-33.12M,,1.629M,0.44M,1.189M,,,1.189M,25.37M,46.70M,30.75M,15.96M,,0.01,0.00,,0.1498,0.01,,0.01,0.00,,0.1453,0.01,,172.92M,178.69M,0.03,,,
2002-12,997.44M,997.44M,393.66M,603.78M,108.24M,507.80M,616.04M,47.10M,28.09M,195.86M,,,,,488.86M,114.92M,,,,195.86M,,86.65M,24.50M,62.16M,0.00,,62.16M,-78.33M,164.91M,49.99M,114.92M,,0.36,0.00,0.00,-0.4559,0.36,,0.36,0.00,-0.0006,-0.4411,0.36,,172.19M,175.37M,0.03,,,
2002-09,820.53M,820.53M,342.92M,477.61M,82.91M,153.82M,236.73M,36.69M,22.27M,-88.56M,,,,85.21M,380.90M,96.72M,,,,-88.56M,,75.47M,19.62M,55.85M,,,55.85M,121.38M,146.09M,49.37M,96.72M,,0.32,0.00,,0.6955,0.32,,0.32,0.00,,0.6955,0.32,,174.52M,174.52M,0.03,,,
2002-06,545.99M,545.99M,196.16M,349.82M,58.51M,152.07M,210.58M,36.77M,22.77M,-96.38M,,,,65.71M,335.82M,14.00M,,,,-96.38M,,-34.98M,-9.095M,-25.89M,,,-25.89M,45.43M,60.08M,46.07M,14.00M,,-0.15,0.00,,0.2633,-0.15,,-0.15,0.00,,0.2633,-0.15,,172.59M,172.59M,0.03,,,
2002-03,452.27M,452.27M,166.41M,285.85M,46.89M,139.19M,186.08M,84.67M,21.45M,2.835M,,,,,292.20M,-6.345M,,,,2.835M,,-23.05M,-5.994M,-17.06M,,,-17.06M,-19.16M,32.05M,38.40M,-6.345M,,-0.10,0.00,,-0.1123,-0.10,,-0.10,0.00,,-0.1123,-0.10,,170.58M,170.58M,0.03,,,
2001-12,988.73M,988.73M,427.52M,561.21M,101.50M,404.35M,505.85M,-98.15M,33.61M,-9.574M,,,,,441.30M,119.91M,,,,-9.574M,,83.97M,31.49M,52.48M,0.00,,52.48M,58.47M,188.39M,68.48M,119.91M,,0.30,0.01,0.00,0.3430,0.31,,0.30,0.01,-0.0004,0.3359,0.31,,139.13M,166.85M,0.03,,,
2001-09,893.35M,893.35M,402.16M,491.20M,90.66M,169.83M,260.48M,97.18M,29.76M,-3.244M,,,,,387.42M,103.77M,,,,-3.244M,,74.41M,23.81M,50.60M,,,50.60M,52.81M,161.29M,57.52M,103.77M,,0.29,0.00,,0.3026,0.29,,0.29,0.00,,0.3026,0.29,,174.49M,174.49M,0.03,,,
2001-06,510.97M,510.97M,204.01M,306.96M,51.06M,157.21M,208.27M,69.87M,28.86M,-1.595M,,,,,307.00M,-0.041M,,,,-1.595M,,-26.96M,-8.626M,-18.33M,,,-18.33M,-17.25M,51.33M,51.37M,-0.041M,,-0.11,0.00,,-0.1035,-0.11,,-0.11,0.00,,-0.1037,-0.11,,166.65M,171.93M,0.03,,,
2001-03,463.29M,463.29M,189.80M,273.48M,47.61M,153.82M,201.43M,56.74M,29.42M,4.765M,,,,,287.59M,-14.11M,,,,4.765M,,-35.23M,-11.27M,-23.96M,-1.066M,,-25.02M,-27.20M,34.43M,48.53M,-14.11M,,-0.14,-0.01,0.00,-0.1588,-0.15,,-0.14,-0.01,-0.0062,-0.1588,-0.15,,171.93M,171.93M,0.03,,,
2000-12,1.163B,1.163B,694.82M,467.93M,,,835.18M,-217.62M,,-113.13M,,,,,641.92M,-174.00M,,,,-113.13M,,-277.38M,-97.29M,-180.09M,,,-180.09M,-106.64M,-87.14M,86.85M,-174.00M,,-1.02,0.00,,-0.5970,-1.02,,-1.02,0.00,,-0.5970,-1.02,,173.63M,173.63M,0.06,,,
2000-09,1.073B,1.073B,429.94M,642.68M,,,357.37M,164.91M,,-6.324M,,,,,585.74M,56.94M,,,,-6.324M,,20.05M,6.214M,13.83M,,,13.83M,18.20M,120.39M,63.46M,56.94M,,0.08,0.00,,0.1052,0.08,,0.08,0.00,,0.1052,0.08,,172.90M,172.90M,0.06,,,
2000-06,778.37M,778.37M,271.34M,507.03M,,,276.71M,135.15M,,1.073M,,,,,470.49M,36.55M,,,,1.073M,,9.421M,2.921M,6.50M,,,6.50M,5.760M,95.18M,58.63M,36.55M,,0.04,0.00,,0.0354,0.04,,0.04,0.00,,0.0354,0.04,,162.50M,162.50M,0.06,,,
2000-03,773.48M,773.48M,277.88M,495.60M,,,274.10M,126.04M,,3.176M,,,,,455.42M,40.19M,,,,3.176M,,21.92M,6.796M,15.13M,,,15.13M,12.94M,95.47M,55.28M,40.19M,,0.08,0.00,,0.0684,0.08,,0.08,0.00,,0.0684,0.08,,189.56M,189.56M,0.06,,,
1999-12,1.591B,1.591B,625.40M,965.70M,,,441.70M,249.30M,,-54.60M,,,,,802.80M,162.90M,,,,-54.60M,,83.60M,25.90M,57.70M,,,57.70M,95.38M,274.70M,111.80M,162.90M,,0.30,0.00,,0.4968,0.30,,0.29,0.00,,0.4809,0.29,,191.47M,197.43M,0.06,,,
1999-09,1.098B,1.098B,415.90M,682.30M,,,311.10M,170.80M,,1.50M,,,,,541.10M,141.20M,,,,1.50M,,123.50M,38.30M,85.20M,,,85.20M,84.17M,200.40M,59.20M,141.20M,,0.44,0.00,,0.4347,0.44,,0.43,0.00,,0.4248,0.43,,193.64M,198.14M,0.06,,,
1999-06,874.60M,874.60M,316.80M,557.80M,,,259.70M,179.80M,,2.20M,,,,,499.60M,58.20M,,,,2.20M,,46.80M,14.50M,32.30M,,,32.30M,30.78M,118.30M,60.10M,58.20M,,0.17,0.00,,0.1620,0.17,,0.16,0.00,,0.1525,0.16,,190.00M,201.88M,0.06,,,
1999-03,668.40M,668.40M,236.20M,432.20M,,,244.40M,111.90M,,2.30M,,,,,402.50M,29.70M,,,,2.30M,,20.00M,6.20M,13.80M,,,13.80M,12.21M,75.90M,46.20M,29.70M,,0.07,0.00,,0.0619,0.07,,0.07,0.00,,0.0619,0.07,,195.90M,195.90M,0.0533,,,
1998-12,1.304B,1.304B,484.80M,819.30M,,,400.20M,161.50M,,2.60M,,,,,612.10M,207.20M,,,,2.60M,,193.80M,62.00M,131.80M,,,131.80M,130.03M,257.60M,50.40M,207.20M,,0.66,0.00,,0.6514,0.66,,0.64,0.00,,0.6314,0.64,,204.90M,204.90M,0.0533,,,
1998-09,945.50M,945.50M,376.80M,568.70M,,,290.80M,113.80M,,-18.40M,,,,,449.50M,119.20M,,,,-18.40M,,89.60M,28.30M,61.30M,,,61.30M,73.89M,164.10M,44.90M,119.20M,,0.31,0.00,,0.3737,0.31,,0.30,0.00,,0.3616,0.30,,197.74M,204.33M,0.0533,,,
1998-06,572.10M,572.10M,222.80M,349.30M,,,214.70M,82.10M,,2.40M,,,,,337.00M,12.30M,,,,2.40M,,8.30M,2.80M,5.50M,,,5.50M,3.910M,52.50M,40.20M,12.30M,,0.03,0.00,,0.0213,0.03,,0.03,0.00,,0.0213,0.03,,183.33M,183.33M,0.0533,,,
1998-03,482.80M,482.80M,184.70M,298.10M,,,191.00M,67.30M,,8.10M,,,,,292.00M,6.10M,,,,8.10M,,11.80M,4.00M,7.80M,,,7.80M,2.446M,39.80M,33.70M,6.10M,,0.04,0.00,,0.0125,0.04,,0.04,0.00,,0.0125,0.04,,195.00M,195.00M,0.0533,,,
1997-12,1.133B,1.133B,434.10M,699.30M,,,341.00M,132.60M,,-134.20M,,,,,528.00M,171.30M,,,,-134.20M,,28.60M,9.70M,18.90M,,,18.90M,107.58M,225.70M,54.40M,171.30M,,0.09,0.00,,0.5324,0.09,,0.09,0.00,,0.5324,0.09,,200.44M,200.44M,0.0533,,,
1997-09,915.50M,915.50M,378.00M,537.50M,,,272.40M,102.60M,,-1.10M,,,,,411.70M,125.80M,,,,-1.10M,,115.40M,38.00M,77.40M,,,77.40M,78.14M,168.50M,42.70M,125.80M,,0.41,0.00,,0.4139,0.41,,0.38,0.00,,0.3836,0.38,,188.78M,203.68M,0.0533,,,
1997-06,583.90M,583.90M,225.20M,358.70M,,,209.20M,87.90M,,3.10M,,,,,336.00M,22.70M,,,,3.10M,,20.30M,7.30M,13.00M,,,13.00M,11.01M,61.60M,38.90M,22.70M,,0.07,0.00,,0.0593,0.07,,0.07,0.00,,0.0593,0.07,,185.71M,185.71M,0.0533,,,
1997-03,555.80M,555.80M,214.80M,341.00M,,,206.10M,63.90M,,4.20M,,,,,300.60M,40.40M,,,,4.20M,,40.20M,14.50M,25.70M,,,25.70M,23.01M,71.00M,30.60M,40.40M,,0.13,0.00,,0.1207,0.13,,0.13,0.00,,0.1207,0.13,,289.25M,289.25M,0.0445,,,
1996-12,1.107B,1.107B,457.50M,649.50M,,,446.30M,,,-0.10M,,,,,483.80M,165.70M,,,,-0.10M,,153.70M,54.60M,99.10M,,,99.10M,99.16M,203.20M,37.50M,165.70M,,0.51,0.00,,0.5103,0.51,,0.48,0.00,,0.4803,0.48,,194.77M,211.12M,0.0445,,,
1996-09,845.10M,845.10M,347.00M,498.10M,,,349.30M,,,0.70M,,,,,384.50M,113.60M,,,,0.70M,,105.00M,34.50M,70.50M,,,70.50M,70.03M,148.80M,35.20M,113.60M,,0.36,0.00,,0.3576,0.36,,0.35,0.00,,0.3477,0.35,,195.83M,201.43M,0.0445,,,
1996-06,511.60M,511.60M,207.10M,304.50M,,,255.50M,,,2.50M,,,,,292.60M,11.90M,,,,2.50M,,9.20M,3.20M,6.00M,,,6.00M,4.370M,49.00M,37.10M,11.90M,,0.03,0.00,,0.0218,0.03,,0.03,0.00,,0.0218,0.03,,200.00M,200.00M,0.0445,,,
1996-03,538.70M,538.70M,219.10M,319.60M,,,250.10M,,,3.00M,,,,,278.60M,41.00M,,,,3.00M,,39.10M,14.70M,24.40M,,,24.40M,22.53M,69.50M,28.50M,41.00M,,0.13,0.00,,0.1200,0.13,,0.12,0.00,,0.1108,0.12,,187.69M,203.33M,0.0355,,,
1995-12,1.024B,1.024B,403.90M,619.80M,,,406.60M,,,-26.00M,,,,,442.20M,177.60M,,,,-26.00M,,138.20M,53.00M,85.20M,,,85.20M,101.23M,213.20M,35.60M,177.60M,,0.44,0.00,,0.5269,0.44,,0.42,0.00,,0.4982,0.42,,184.42M,204.88M,0.0355,,,
1995-09,826.20M,826.20M,335.70M,490.50M,,,344.80M,,,3.50M,,,,,379.70M,110.80M,,,,3.50M,,103.40M,39.80M,63.60M,,,63.60M,61.45M,145.70M,34.90M,110.80M,,0.32,0.00,,0.3092,0.32,,0.32,0.00,,0.3092,0.32,,198.75M,198.75M,0.0355,,,
1995-06,481.90M,481.90M,192.90M,289.00M,,,280.40M,,,5.50M,,,,,311.30M,-22.30M,,,,5.50M,,-24.20M,-9.30M,-14.90M,,,-14.90M,-18.29M,8.60M,30.90M,-22.30M,,-0.07,0.00,,-0.0859,-0.07,,-0.07,0.00,,-0.0859,-0.07,,212.86M,212.86M,0.0355,,,
1995-03,526.50M,526.50M,268.50M,258.00M,,,191.00M,,,2.50M,,,,,219.50M,38.50M,,,,2.50M,,35.30M,13.60M,21.70M,,,21.70M,20.16M,67.00M,28.50M,38.50M,,0.11,0.00,,0.1022,0.11,,0.11,0.00,,0.1022,0.11,,197.27M,197.27M,0.0311,,,
1994-12,940.60M,940.60M,399.50M,541.10M,,,371.10M,,,0.60M,,,,,406.50M,134.60M,,,,0.60M,,123.30M,47.50M,75.80M,0.00,,75.80M,75.43M,170.00M,35.40M,134.60M,,0.3833,-0.0022,0.00,0.3815,0.3811,,0.3833,-0.0022,-0.0002,0.3815,0.3811,,196.22M,202.45M,0.0311,,,
1994-09,796.20M,796.20M,318.30M,477.90M,,,336.90M,,,23.70M,,,,,370.70M,107.20M,,,,23.70M,,122.20M,47.00M,75.20M,,,75.20M,60.62M,141.00M,33.80M,107.20M,,0.38,0.00,,0.3063,0.38,,0.38,0.00,,0.3063,0.38,,197.89M,197.89M,0.0311,,,
1994-06,444.30M,444.30M,175.30M,269.00M,,,234.30M,,,0.40M,,,,,262.20M,6.80M,,,,0.40M,,2.60M,1.00M,1.60M,,,1.60M,1.354M,34.70M,27.90M,6.80M,,0.01,0.00,,0.0085,0.01,,0.01,0.00,,0.0085,0.01,,160.00M,160.00M,0.0311,,,
1994-03,489.10M,489.10M,192.00M,297.10M,,,225.20M,,,1.90M,,,,,250.40M,46.70M,,,,1.90M,,43.40M,16.70M,26.70M,-4.30M,,22.40M,25.53M,71.90M,25.20M,46.70M,,0.13,-0.02,0.00,0.1243,0.11,,0.13,-0.02,-0.0211,0.1243,0.11,,203.64M,203.64M,0.0267,,,
1993-12,932.20M,932.20M,376.50M,555.70M,,,404.70M,,,0.30M,,,,,430.20M,125.50M,,,,0.30M,,115.70M,45.00M,70.70M,,,70.70M,70.52M,151.00M,25.50M,125.50M,,0.37,0.00,,0.3690,0.37,,0.32,0.00,,0.3192,0.32,,185.99M,227.24M,0.0267,,,
1993-09,812.40M,812.40M,325.60M,486.80M,,,329.10M,,,,,,,,354.60M,132.20M,,,,,,122.80M,47.30M,75.50M,,,75.50M,75.50M,157.70M,25.40M,132.20M,,0.37,0.00,,0.37,0.37,,0.37,0.00,,0.37,0.37,,204.05M,204.05M,0.0267,,,
1993-06,515.60M,515.60M,198.30M,317.30M,,,246.30M,,,2.10M,,,,,269.50M,47.80M,,,,2.10M,,43.80M,16.60M,27.20M,,,27.20M,25.90M,71.10M,23.30M,47.80M,,0.13,0.00,,0.1238,0.13,,0.13,0.00,,0.1238,0.13,,209.23M,209.23M,0.0267,,,
1993-03,487.00M,487.00M,190.20M,296.80M,,,224.80M,,,1.70M,,,,,251.30M,45.50M,,,,1.70M,,42.90M,16.30M,26.60M,,,26.60M,25.55M,72.00M,26.50M,45.50M,,0.13,0.00,,0.1248,0.13,,0.13,0.00,,0.1248,0.13,,204.62M,204.62M,0.0223,,,
1992-12,831.40M,831.40M,339.40M,492.00M,,,355.60M,,,0.70M,,,,,379.30M,112.70M,,,,0.70M,,104.90M,39.20M,65.70M,0.00,,65.70M,65.26M,136.40M,23.70M,112.70M,,0.32,0.00,0.00,0.3179,0.32,,0.32,0.00,-0.0000,0.3179,0.32,,208.02M,208.02M,0.0223,,,
1992-09,771.20M,771.20M,316.70M,454.50M,,,305.60M,,,0.10M,,,,,331.30M,123.20M,,,,0.10M,,111.40M,44.00M,67.40M,,,67.40M,67.34M,148.90M,25.70M,123.20M,,0.33,0.00,,0.3297,0.33,,0.33,0.00,,0.3297,0.33,,204.24M,204.24M,0.0223,,,
1992-06,486.00M,486.00M,184.50M,301.50M,,,231.00M,,,,,,,,255.90M,45.60M,,,,,,37.50M,14.80M,22.70M,,,22.70M,22.70M,70.50M,24.90M,45.60M,,0.11,0.00,,0.11,0.11,,0.11,0.00,,0.11,0.11,,206.36M,206.36M,0.0223,,,
1992-03,452.60M,452.60M,174.60M,278.00M,,,213.50M,,,2.70M,,,,,234.80M,43.20M,,,,2.70M,,38.30M,15.10M,23.20M,0.20M,,23.40M,21.56M,64.50M,21.30M,43.20M,,0.11,0.00,0.00,0.1023,0.11,,0.11,0.00,0.0009,0.1023,0.11,,212.73M,212.73M,0.0119,,,
1991-12,761.20M,761.20M,317.30M,443.90M,,,396.30M,,,68.90M,,,,,420.30M,23.60M,,,,68.90M,,73.20M,28.30M,44.90M,,,44.90M,2.638M,47.60M,24.00M,23.60M,,0.23,0.00,,0.0155,0.23,,0.23,0.00,,0.0155,0.23,,197.04M,197.04M,0.0119,,,
1991-09,704.80M,704.80M,297.80M,407.00M,,,251.80M,,,-36.30M,,,,,276.50M,130.50M,,,,-36.30M,,80.10M,32.60M,47.50M,,,47.50M,69.28M,155.20M,24.70M,130.50M,,0.25,0.00,,0.3646,0.25,,0.25,0.00,,0.3646,0.25,,190.00M,190.00M,0.0119,,,
1991-06,368.50M,368.50M,151.20M,217.30M,,,177.10M,,,3.30M,,,,,196.70M,20.60M,,,,3.30M,,-41.70M,-10.60M,-31.10M,,,-31.10M,-33.56M,40.20M,19.60M,20.60M,,-0.17,0.00,,-0.1835,-0.17,,-0.17,0.00,,-0.1835,-0.17,,182.94M,182.94M,0.0119,,,
1991-03,306.60M,306.60M,119.30M,187.30M,,,142.50M,,,5.20M,,,,,156.00M,31.30M,,,,5.20M,,34.10M,13.60M,20.50M,,,20.50M,17.37M,44.80M,13.50M,31.30M,,0.11,0.00,,0.0932,0.11,,0.11,0.00,,0.0932,0.11,,186.36M,186.36M,0.0099,,,
1990-12,492.80M,492.80M,205.50M,287.30M,,,220.60M,,,1.70M,,,,,235.80M,51.50M,,,,1.70M,,47.70M,19.80M,27.90M,,,27.90M,26.88M,66.70M,15.20M,51.50M,,0.15,0.00,,0.1444,0.15,,0.15,0.00,,0.1444,0.15,,182.43M,182.43M,0.0099,,,
1990-09,448.80M,448.80M,193.60M,255.20M,,,178.80M,,,0.50M,,,,,194.30M,60.90M,,,,0.50M,,56.60M,23.50M,33.10M,,,33.10M,32.80M,76.40M,15.50M,60.90M,,0.17,0.00,,0.1685,0.17,,0.17,0.00,,0.1685,0.17,,194.71M,194.71M,0.0099,,,
1990-06,277.30M,277.30M,118.10M,159.20M,,,128.50M,,,2.20M,,,,,143.50M,15.70M,,,,2.20M,,15.20M,6.50M,8.70M,,,8.70M,7.38M,30.70M,15.00M,15.70M,,0.05,0.00,,0.0424,0.05,,0.05,0.00,,0.0424,0.05,,174.00M,174.00M,0.0099,,,
1990-03,301.10M,301.10M,120.40M,180.70M,,,134.00M,,,4.40M,,,,,148.50M,32.20M,,,,4.40M,,32.90M,13.50M,19.40M,,,19.40M,16.76M,46.70M,14.50M,32.20M,,0.10,0.00,,0.0864,0.10,,0.10,0.00,,0.0864,0.10,,194.00M,194.00M,0.0079,,,
1989-12,417.00M,417.00M,180.00M,237.00M,,,171.80M,,,-0.30M,,,,,188.30M,48.70M,,,,-0.30M,,40.20M,16.20M,24.00M,,,24.00M,24.18M,65.20M,16.50M,48.70M,,0.12,0.00,,0.1209,0.12,,0.12,0.00,,0.1209,0.12,,199.97M,199.97M,0.0079,,,
1989-09,403.00M,403.00M,172.10M,230.90M,,,155.40M,,,2.00M,,,,,172.60M,58.30M,,,,2.00M,,53.50M,22.20M,31.30M,,,31.30M,30.10M,75.50M,17.20M,58.30M,,0.15,0.00,,0.1442,0.15,,0.15,0.00,,0.1442,0.15,,208.67M,208.67M,0.0079,,,
1989-06,301.40M,301.40M,130.70M,170.70M,,,125.40M,,,3.50M,,,,,138.60M,32.10M,,,,3.50M,,31.10M,12.90M,18.20M,,,18.20M,16.10M,45.30M,13.20M,32.10M,,0.09,0.00,,0.0796,0.09,,0.09,0.00,,0.0796,0.09,,202.22M,202.22M,0.0079,,,
1989-03,288.30M,288.30M,,,,,,,,,,,,,,288.30M,,,,,,,,18.70M,,,18.70M,,288.30M,,288.30M,,0.09,0.00,,0.09,0.09,,0.09,0.00,,0.09,0.09,,178.69M,178.69M,0.0059,,,
1988-12,394.90M,394.90M,,,,,,,,,,,,,,-809.00M,,,,,,,,21.10M,,,21.10M,,-809.00M,,-809.00M,,,,,,,,,,,,,,178.74M,178.74M,0.0059,,,
1988-09,368.40M,368.40M,,,,,,,,,,,,,,368.40M,,,,,,,,18.10M,,,18.10M,,368.40M,,368.40M,,0.09,0.00,,0.09,0.09,,0.09,0.00,,0.09,0.09,,178.65M,178.65M,0.0059,,,
1988-06,308.20M,308.20M,,,,,,,,,,,,,,308.20M,,,,,,,,16.50M,,,16.50M,,308.20M,,308.20M,,0.09,0.00,,0.09,0.09,,0.09,0.00,,0.09,0.09,,178.14M,178.14M,0.0059,,,
1988-03,286.30M,286.30M,,,,,,,,,,,,,,286.30M,,,,,,,,16.80M,,,16.80M,,286.30M,,286.30M,,0.09,0.00,,0.09,0.09,,0.09,0.00,,0.09,0.09,,178.10M,178.10M,0.0045,,,
1987-12,378.40M,378.40M,,,,,,,,,,,,,,-834.20M,,,,,,,,6.80M,,,6.80M,,-834.20M,,-834.20M,,,,,,,,,,,,,,178.64M,178.64M,0.0045,,,
1987-09,396.40M,396.40M,,,,,,,,,,,,,,396.40M,,,,,,,,11.20M,,,11.20M,,396.40M,,396.40M,,0.06,0.00,,0.06,0.06,,0.06,0.00,,0.06,0.06,,177.50M,177.50M,0.0045,,,
1987-06,290.90M,290.90M,,,,,,,,,,,,,,290.90M,,,,,,,,14.00M,,,14.00M,,290.90M,,290.90M,,0.07,0.00,,0.07,0.07,,0.07,0.00,,0.07,0.07,,177.50M,177.50M,0.0045,,,
1987-03,279.30M,279.30M,,,,,,,,,,,,,,279.30M,,,,,,,,16.20M,,,16.20M,,279.30M,,279.30M,,0.09,0.00,,0.09,0.09,,0.09,0.00,,0.09,0.09,,177.44M,177.44M,0.0045,,,
1986-12,343.80M,343.80M,,,,,,,,,,,,,,-790.20M,,,,,,,,17.30M,,,17.30M,,-790.20M,,-790.20M,,,,,,,,,,,,,,177.50M,177.50M,0.0045,,,
1986-09,408.80M,408.80M,,,,,,,,,,,,,,408.80M,,,,,,,,38.20M,,,38.20M,,408.80M,,408.80M,,0.19,0.00,,0.19,0.19,,0.19,0.00,,0.19,0.19,,162.34M,162.34M,0.0045,,,
1986-06,323.00M,323.00M,,,,,,,,,,,,,,323.00M,,,,,,,,25.10M,,,25.10M,,323.00M,,323.00M,,0.13,0.00,,0.13,0.13,,0.13,0.00,,0.13,0.13,,162.34M,162.34M,0.0037,,,
1986-03,254.00M,254.00M,,,,,,,,,,,,,,254.00M,,,,,,,,18.60M,,,18.60M,,254.00M,,254.00M,,0.10,0.00,,0.10,0.10,,0.10,0.00,,0.10,0.10,,162.34M,162.34M,0.0037,,,
1985-12,324.50M,324.50M,,,,,,,,,,,,,,-673.80M,,,,,,,,19.50M,,,19.50M,,-673.80M,,-673.80M,,,,,,,,,,,,,,162.54M,162.54M,0.00,,,
1985-09,371.40M,371.40M,,,,,,,,,,,,,,371.40M,,,,,,,,37.90M,,,37.90M,,371.40M,,371.40M,,0.19,0.00,,0.19,0.19,,0.19,0.00,,0.19,0.19,,162.13M,162.13M,0.00,,,
1985-06,301.60M,301.60M,,,,,,,,,,,,,,301.60M,,,,,,,,25.00M,,,25.00M,,301.60M,,301.60M,,0.13,0.00,,0.13,0.13,,0.13,0.00,,0.13,0.13,,162.13M,162.13M,0.00,,,
1985-03,235.90M,235.90M,,,,,,,,,,,,,,235.90M,,,,,,,,16.60M,,,16.60M,,235.90M,,235.90M,,0.09,0.00,,0.09,0.09,,0.09,0.00,,0.09,0.09,,160.21M,160.21M,0.00,,,
1984-12,250.40M,250.40M,,,,,,,,,,,,,,-332.30M,,,,,,,,15.30M,,,15.30M,,-332.30M,,-332.30M,,,,,,,,,,,,,,155.83M,155.83M,0.00,,,
1984-09,274.40M,274.40M,,,,,,,,,,,,,,274.40M,,,,,,,,18.60M,,,18.60M,,274.40M,,274.40M,,0.14,0.00,,0.14,0.14,,0.14,0.00,,0.14,0.14,,158.31M,158.31M,0.0036,,,
1984-06,127.30M,127.30M,,,,,,,,,,,,,,127.30M,,,,,,,,13.50M,,,13.50M,,127.30M,,127.30M,,0.11,0.00,,0.11,0.11,,0.11,0.00,,0.11,0.11,,110.18M,110.18M,0.0036,,,
1984-03,62.30M,62.30M,,,,,,,,,,,,,,62.30M,,,,,,,,5.00M,,,5.00M,,62.30M,,62.30M,,0.05,0.00,,0.05,0.05,,0.04,0.00,,0.04,0.04,,109.97M,109.97M,0.0036,,,
