,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2003-12,2.525B,2.525B,1.397B,1.128B,,,490.00M,141.00M,,4.00M,,,,,631.00M,497.00M,,,,4.00M,,485.00M,122.00M,363.00M,-7.00M,0.00,,,356.00M,360.01M,643.00M,146.00M,497.00M,0.6,-0.0218,0.0,,0.5941,0.65,0.6,-0.0218,-0.0011,,0.5941,0.65,509.04M,509.04M,0.5820000000000001
2003-09,2.219B,2.219B,1.247B,972.00M,,,438.00M,137.00M,,-6.00M,,,,,575.00M,397.00M,,,,-6.00M,,366.00M,88.00M,278.00M,-5.00M,-17.00M,,,256.00M,282.56M,537.00M,140.00M,397.00M,0.47,-0.01,0.0,,0.4777,0.43,0.47,-0.01,-0.0289,,0.4777,0.43,589.00M,592.00M,0.0
2003-06,2.162B,2.162B,1.191B,971.00M,,,466.00M,139.00M,,-351.00M,,,,,605.00M,366.00M,,,,-351.00M,,-12.00M,-58.00M,46.00M,-11.00M,,,,35.00M,256.60M,497.00M,131.00M,366.00M,0.08,-0.02,,,0.4322,0.06,0.08,-0.02,,,0.4236,0.06,598.00M,613.00M,0.0
2003-03,1.997B,1.997B,1.117B,880.00M,,,413.00M,136.00M,,-26.00M,,,,,549.00M,331.00M,,,,-26.00M,,286.00M,69.00M,217.00M,-1.00M,,,,216.00M,236.73M,459.00M,128.00M,331.00M,0.36,0.0,,,0.393,0.36,0.36,-0.01,,,0.3923,0.35,598.00M,611.00M,0.0
2002-12,2.025B,2.025B,993.00M,1.032B,,,391.00M,141.00M,,-145.00M,,,,,532.00M,500.00M,,,,-145.00M,,345.00M,88.00M,257.00M,,,,,2.00M,365.01M,607.00M,107.00M,500.00M,0.0033,,,,0.1835,0.0033,0.0033,,,,0.1835,0.0033,599.50M,599.50M,0.5820000000000001
2002-09,2.102B,2.102B,1.156B,946.00M,,,385.00M,122.00M,,-6.00M,,,,,507.00M,439.00M,,,,-6.00M,,422.00M,106.00M,316.00M,,,,,316.00M,320.49M,559.00M,120.00M,439.00M,0.52,0.0,,,0.5275,0.52,0.51,0.0,,,0.5172,0.51,603.00M,624.00M,0.0
2002-06,2.022B,2.022B,1.101B,921.00M,,,390.00M,123.00M,,-117.00M,,,,,513.00M,408.00M,,,,-117.00M,,277.00M,77.00M,200.00M,,,,,200.00M,284.48M,517.00M,109.00M,408.00M,0.33,0.0,,,0.4703,0.33,0.32,0.0,,,0.4558,0.32,602.00M,622.00M,0.0
2002-03,1.875B,1.875B,995.00M,880.00M,,,393.00M,115.00M,,-12.00M,,,,,508.00M,372.00M,,,,-12.00M,,344.00M,91.00M,253.00M,,,,,253.00M,261.83M,475.00M,103.00M,372.00M,0.42,0.0,,,0.4347,0.42,0.41,0.0,,,0.4242,0.41,600.00M,622.00M,0.0
2001-12,1.829B,1.829B,869.00M,960.00M,,,384.00M,114.00M,8.00M,-445.00M,,,,,506.00M,454.00M,,,,-459.00M,,-18.00M,46.00M,-64.00M,,0.00,,,-75.00M,203.00M,553.00M,99.00M,454.00M,-0.12,0.0697,0.0,,0.5486,-0.03,-0.13,0.0697,-0.0077,,0.4984,-0.04,399.37M,424.87M,0.5820000000000001
2001-09,1.90B,1.90B,1.045B,855.00M,,,352.00M,105.00M,12.00M,1.00M,,,,,469.00M,386.00M,,,,1.00M,,368.00M,96.00M,272.00M,,,,,272.00M,271.26M,497.00M,111.00M,386.00M,0.46,0.0,,,0.4587,0.46,0.45,0.0,,,0.4488,0.45,589.00M,609.00M,0.0
2001-06,1.87B,1.87B,1.044B,826.00M,,,361.00M,104.00M,11.00M,9.00M,,,,,476.00M,350.00M,,,,9.00M,,342.00M,89.00M,253.00M,,,,,253.00M,246.34M,459.00M,109.00M,350.00M,0.43,0.0,,,0.4187,0.43,0.42,0.0,,,0.409,0.42,590.00M,608.00M,0.0
2001-03,1.757B,1.757B,986.00M,771.00M,,,343.00M,103.00M,12.00M,-7.00M,,,,,458.00M,313.00M,,,,-7.00M,,287.00M,73.00M,214.00M,,-52.00M,,,162.00M,219.22M,421.00M,108.00M,313.00M,0.365,-0.09,0.0,,0.3738,0.275,0.355,-0.09,-0.0881,,0.3636,0.27,590.00M,606.00M,0.0
2000-12,1.733B,1.733B,1.154B,579.00M,,,351.00M,105.00M,,19.00M,,,,,183.00M,396.00M,,,,10.00M,,380.00M,94.00M,286.00M,-16.00M,,,,270.00M,271.70M,489.00M,93.00M,396.00M,0.47,-0.029,,,0.4453,0.465,0.465,-0.029,,,0.4403,0.46,578.71M,580.00M,0.5820000000000001
2000-09,1.687B,1.687B,816.00M,871.00M,,,328.00M,97.00M,,9.00M,,,,,543.00M,328.00M,,,,9.00M,,312.00M,81.00M,231.00M,,,,,231.00M,224.34M,446.00M,118.00M,328.00M,0.39,0.0,,,0.3787,0.39,0.385,0.0,,,0.374,0.385,590.00M,604.00M,0.0
2000-06,1.694B,1.694B,867.00M,827.00M,,,336.00M,93.00M,,-280.00M,,,,,515.00M,312.00M,,,,-280.00M,,13.00M,-33.00M,46.00M,2.00M,,,,48.00M,214.00M,398.00M,86.00M,312.00M,0.075,0.005,,,0.3637,0.08,0.075,0.005,,,0.3578,0.08,582.00M,594.00M,0.0
2000-03,1.583B,1.583B,804.00M,779.00M,,,315.00M,83.00M,,-5.00M,,,,,495.00M,284.00M,,,,-5.00M,,257.00M,66.00M,191.00M,,,,,191.00M,194.72M,381.00M,97.00M,284.00M,0.33,0.02,,,0.3364,0.35,0.325,0.02,,,0.3313,0.345,580.00M,592.00M,0.0
1999-12,1.769B,1.769B,898.00M,871.00M,,,360.00M,90.00M,,9.00M,,,,,543.00M,328.00M,,,,9.00M,,313.00M,82.00M,231.00M,-2.00M,0.00,,,229.00M,224.36M,421.00M,93.00M,328.00M,0.4,-0.005,0.0,,0.3887,0.395,0.39,-0.005,0.0002,,0.3787,0.39,586.00M,590.00M,0.1455
1999-09,1.589B,1.589B,828.00M,761.00M,,,328.00M,83.00M,,-4.00M,,,,,463.00M,298.00M,,,,-4.00M,,267.00M,70.00M,197.00M,13.00M,,,,210.00M,199.95M,350.00M,52.00M,298.00M,0.335,0.025,,,0.3401,0.36,0.335,0.02,,,0.34,0.355,584.00M,594.00M,0.1455
1999-06,1.56B,1.56B,766.00M,794.00M,,,319.00M,84.00M,,3.00M,,,,,511.00M,283.00M,,,,3.00M,,255.00M,66.00M,189.00M,18.00M,,,,207.00M,186.78M,413.00M,130.00M,283.00M,0.325,0.03,,,0.3212,0.355,0.32,0.03,,,0.3162,0.35,580.00M,590.00M,0.1455
1999-03,1.462B,1.462B,745.00M,717.00M,,,304.00M,75.00M,,10.00M,,,,,476.00M,241.00M,,,,10.00M,,216.00M,54.00M,162.00M,16.00M,-27.00M,,,151.00M,154.50M,338.00M,97.00M,241.00M,0.28,0.03,0.0,,0.2669,0.265,0.275,0.03,-0.047,,0.2622,0.26,574.00M,586.00M,0.1455
1998-12,1.604B,1.604B,804.00M,800.00M,,,339.00M,76.00M,,18.00M,,,,,506.00M,294.00M,,,,18.00M,,273.00M,71.00M,202.00M,10.00M,,,,212.00M,188.68M,385.00M,91.00M,294.00M,0.355,0.02,,,0.3318,0.375,0.345,0.02,,,0.3222,0.365,574.00M,584.00M,0.1455
1998-09,1.427B,1.427B,756.00M,671.00M,,,306.00M,89.00M,,-280.00M,,,,,437.00M,234.00M,,,,-280.00M,,-83.00M,44.00M,-127.00M,3.00M,,,,-124.00M,41.00M,276.00M,42.00M,234.00M,-0.215,0.005,,,0.0797,-0.21,-0.215,0.005,,,0.0797,-0.21,570.00M,570.00M,0.1455
1998-06,1.419B,1.419B,664.00M,755.00M,,,306.00M,84.00M,,-112.00M,,,,,496.00M,259.00M,,,,-112.00M,,104.00M,52.00M,52.00M,11.00M,,,,63.00M,119.20M,365.00M,104.00M,259.00M,0.09,0.02,,,0.2087,0.11,0.09,0.02,,,0.2067,0.11,566.00M,576.00M,0.1455
