,NetIncome,NetForeignCurrencyExchangeGain/Loss,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2015-12,1.733B,,,141.00M,141.00M,772.00M,772.00M,-108.00M,0.00,87.00M,85.00M,119.00M,1.092B,330.00M,107.00M,-269.00M,,,,1.26B,,4.089B,-1.295B,23.00M,23.00M,,-61.00M,-928.00M,-2.00M,-2.263B,2.954B,-1.388B,1.566B,,-1.801B,-1.801B,-2.00M,-2.00M,,-1.032B,177.00M,-262.00M,-1.354B,8.698B,472.00M,-74.00M,9.096B,,1.607B,-41.00M,-1.803B
2015-09,543.00M,,,111.00M,111.00M,569.00M,569.00M,144.00M,1.359B,64.00M,-7.00M,-91.00M,-244.00M,288.00M,107.00M,1.171B,,,,1.322B,,4.014B,-631.00M,37.00M,37.00M,,-575.00M,21.00M,0.00,-1.148B,1.22B,-834.00M,386.00M,,-1.069B,-1.069B,-1.00M,-1.00M,,-1.035B,77.00M,-17.00M,-1.659B,7.562B,1.207B,-71.00M,8.698B,,2.424B,-2.038B,-1.07B
2015-06,1.994B,,,111.00M,111.00M,579.00M,579.00M,61.00M,,68.00M,-40.00M,-198.00M,-874.00M,-448.00M,-2.00M,1.24B,,,,-84.00M,,2.491B,-562.00M,15.00M,15.00M,,-1.00M,73.00M,-3.00M,-478.00M,2.485B,-1.49B,995.00M,,-1.006B,-1.006B,-1.00M,-1.00M,,-995.00M,79.00M,39.00M,-889.00M,6.41B,1.124B,28.00M,7.562B,,1.00B,-5.00M,-1.007B
2015-03,1.231B,,,104.00M,104.00M,496.00M,496.00M,-19.00M,,76.00M,-38.00M,-74.00M,-435.00M,-414.00M,-262.00M,-395.00M,,,,-1.506B,,270.00M,-270.00M,11.00M,11.00M,,59.00M,520.00M,,320.00M,-2.052B,3.737B,1.685B,,-1.124B,-1.124B,-1.00M,-1.00M,,-978.00M,171.00M,37.00M,-210.00M,6.134B,380.00M,-104.00M,6.41B,,3.739B,-2.054B,-1.125B
2014-12,1.326B,,,299.00M,404.00M,831.00M,831.00M,-11.00M,0.00,90.00M,-28.00M,-387.00M,1.239B,370.00M,98.00M,-119.00M,,,,1.588B,,3.813B,-1.319B,55.00M,55.00M,,10.00M,3.008B,-13.00M,1.741B,488.00M,-4.136B,-3.648B,,-1.805B,-1.805B,-3.00M,-3.00M,,-985.00M,194.00M,10.00M,-6.237B,7.282B,-683.00M,-465.00M,6.134B,,-1.608B,-2.04B,-1.808B
2014-09,2.018B,,,125.00M,125.00M,632.00M,632.00M,-43.00M,0.00,67.00M,-22.00M,-99.00M,-28.00M,341.00M,134.00M,896.00M,,,,1.343B,,4.021B,-619.00M,18.00M,18.00M,,13.00M,-1.926B,-2.00M,-2.516B,-531.00M,591.00M,60.00M,,-1.008B,-1.008B,-4.00M,-4.00M,,-993.00M,180.00M,-7.00M,-1.772B,7.607B,-267.00M,-58.00M,7.282B,,592.00M,-532.00M,-1.012B
2014-06,1.987B,,,124.00M,124.00M,630.00M,630.00M,-27.00M,,68.00M,-17.00M,-138.00M,-1.196B,-416.00M,82.00M,1.394B,,,,-136.00M,,2.491B,-566.00M,35.00M,35.00M,,31.00M,-3.439B,0.00,-3.939B,1.371B,-577.00M,794.00M,,-950.00M,-950.00M,-1.00M,-1.00M,,-864.00M,210.00M,14.00M,-797.00M,9.839B,-2.245B,13.00M,7.607B,,806.00M,-12.00M,-951.00M
2014-03,1.227B,,,119.00M,119.00M,532.00M,532.00M,62.00M,,72.00M,-47.00M,-148.00M,-358.00M,-406.00M,-234.00M,-638.00M,,,,-1.636B,,181.00M,-355.00M,7.00M,7.00M,,61.00M,59.00M,5.00M,-223.00M,338.00M,2.125B,2.463B,,-1.249B,-1.249B,-2.00M,-2.00M,,-888.00M,171.00M,47.00M,542.00M,9.375B,500.00M,-36.00M,9.839B,,4.115B,-1.652B,-1.251B
2013-12,1.754B,0.00,,201.00M,201.00M,848.00M,848.00M,-992.00M,,84.00M,-23.00M,-14.00M,1.174B,341.00M,105.00M,-452.00M,,,,1.168B,,3.026B,-1.298B,58.00M,58.00M,,-68.00M,69.00M,-8.00M,-1.247B,-930.00M,977.00M,47.00M,,-960.00M,-960.00M,-2.00M,-2.00M,,-876.00M,132.00M,5.00M,-1.654B,9.204B,125.00M,46.00M,9.375B,,1.003B,-956.00M,-962.00M
2013-09,1.923B,0.00,,156.00M,156.00M,630.00M,630.00M,123.00M,,70.00M,-11.00M,-79.00M,-174.00M,322.00M,85.00M,602.00M,,,,835.00M,,3.647B,-586.00M,21.00M,21.00M,,-23.00M,-4.00M,0.00,-592.00M,685.00M,-565.00M,120.00M,,-1.013B,-1.013B,-1.00M,-1.00M,,-881.00M,168.00M,-1.00M,-1.608B,7.793B,1.447B,-36.00M,9.204B,,1.124B,-1.004B,-1.014B
2013-06,2.025B,0.00,,157.00M,157.00M,634.00M,634.00M,-166.00M,,72.00M,-47.00M,-378.00M,-913.00M,-308.00M,-40.00M,1.277B,,,,16.00M,,2.313B,-608.00M,22.00M,22.00M,,142.00M,-44.00M,-13.00M,-501.00M,-755.00M,906.00M,151.00M,,-402.00M,-402.00M,-2.00M,-2.00M,,-846.00M,374.00M,25.00M,-700.00M,6.715B,1.112B,-34.00M,7.793B,,923.00M,-772.00M,-404.00M
2013-03,1.085B,111.00M,,149.00M,260.00M,551.00M,551.00M,-23.00M,,77.00M,-36.00M,-151.00M,-175.00M,-351.00M,-201.00M,-334.00M,,,,-1.061B,,702.00M,-303.00M,8.00M,8.00M,,-30.00M,40.00M,,-285.00M,1.301B,-153.00M,1.148B,,-626.00M,-626.00M,-2.00M,-2.00M,,-831.00M,449.00M,35.00M,173.00M,6.297B,590.00M,-172.00M,6.715B,,2.802B,-1.654B,-628.00M
2012-12,1.667B,0.00,,382.00M,382.00M,852.00M,852.00M,38.00M,,85.00M,-35.00M,-662.00M,1.05B,378.00M,172.00M,-566.00M,,,,1.034B,,3.361B,-1.305B,37.00M,37.00M,,-92.00M,82.00M,1.00M,-1.277B,-300.00M,733.00M,433.00M,,-891.00M,-891.00M,-2.00M,-2.00M,,-835.00M,195.00M,-42.00M,-1.142B,5.309B,942.00M,46.00M,6.297B,,1.288B,-855.00M,-893.00M
2012-09,1.913B,0.00,,143.00M,143.00M,636.00M,636.00M,198.00M,,68.00M,-36.00M,-135.00M,-216.00M,409.00M,113.00M,778.00M,,,,1.084B,,3.871B,-508.00M,16.00M,16.00M,,-34.00M,-62.00M,-2.00M,-590.00M,2.151B,-2.52B,-369.00M,,-1.122B,-1.122B,-2.00M,-2.00M,,-844.00M,431.00M,34.00M,-1.872B,3.863B,1.409B,37.00M,5.309B,,2.012B,-2.381B,-1.124B
2012-06,1.501B,0.00,,142.00M,142.00M,646.00M,646.00M,-35.00M,,69.00M,-18.00M,-88.00M,-1.013B,-377.00M,1.00M,1.109B,,,,-280.00M,,1.937B,-585.00M,25.00M,25.00M,,-310.00M,-11.00M,0.00,-881.00M,-1.025B,2.116B,1.091B,,-1.064B,-1.064B,-2.00M,-2.00M,,-810.00M,222.00M,-12.00M,-575.00M,3.485B,481.00M,-103.00M,3.863B,,502.00M,589.00M,-1.066B
2012-03,1.133B,0.00,,129.00M,129.00M,555.00M,555.00M,120.00M,,56.00M,-35.00M,-1.244B,-71.00M,-266.00M,-197.00M,-870.00M,,,,-1.404B,,-690.00M,-316.00M,17.00M,17.00M,,-23.00M,52.00M,13.00M,-257.00M,2.724B,-1.79B,934.00M,,-142.00M,-142.00M,-1.00M,-1.00M,,-816.00M,274.00M,34.00M,283.00M,4.067B,-664.00M,82.00M,3.485B,,2.746B,-1.812B,-143.00M
2011-12,1.402B,,,182.00M,182.00M,860.00M,860.00M,363.00M,,104.00M,-14.00M,-28.00M,977.00M,135.00M,27.00M,-898.00M,,,,241.00M,,3.11B,-1.377B,38.00M,38.00M,,329.00M,100.00M,-13.00M,-923.00M,0.00,247.00M,247.00M,,-560.00M,-560.00M,-2.00M,-2.00M,,-808.00M,221.00M,-90.00M,-992.00M,3.083B,1.195B,-211.00M,4.067B,,532.00M,-285.00M,-562.00M
2011-09,2.011B,,,135.00M,135.00M,690.00M,690.00M,278.00M,,76.00M,-4.00M,-213.00M,-152.00M,276.00M,90.00M,294.00M,,,,508.00M,,3.481B,-731.00M,12.00M,12.00M,,-89.00M,-34.00M,-1.00M,-843.00M,-836.00M,318.00M,-518.00M,,-1.183B,-1.183B,-1.00M,-1.00M,,-819.00M,72.00M,5.00M,-2.444B,2.913B,194.00M,-24.00M,3.083B,,1.396B,-1.914B,-1.184B
2011-06,1.905B,,,135.00M,135.00M,664.00M,664.00M,-48.00M,,74.00M,-28.00M,-287.00M,-1.22B,-665.00M,-7.00M,1.45B,,,,-442.00M,,1.973B,-798.00M,22.00M,22.00M,,-33.00M,-63.00M,-1.00M,-873.00M,1.47B,-1.379B,91.00M,,-385.00M,-385.00M,-2.00M,-2.00M,769.00M,-761.00M,434.00M,-1.302B,-1.925B,3.662B,-825.00M,76.00M,2.913B,,744.00M,-653.00M,-387.00M
2011-03,1.144B,,,119.00M,119.00M,523.00M,523.00M,-98.00M,,72.00M,-24.00M,-205.00M,-271.00M,-77.00M,-137.00M,-666.00M,,,,-1.151B,,380.00M,-433.00M,12.00M,12.00M,,-2.62B,63.00M,-1.00M,-2.979B,-1.00M,1.117B,1.116B,,-361.00M,-361.00M,-2.00M,-2.00M,-769.00M,-769.00M,218.00M,24.00M,226.00M,5.943B,-2.373B,92.00M,3.662B,,1.19B,-74.00M,-363.00M
2010-12,1.361B,0.00,963.00M,143.00M,1.106B,747.00M,747.00M,209.00M,0.00,108.00M,-34.00M,-1.128B,1.019B,52.00M,158.00M,-938.00M,,,,291.00M,,2.66B,-683.00M,26.00M,26.00M,900.00M,-1.398B,-172.00M,3.00M,-2.224B,1.75B,-897.00M,853.00M,,-560.00M,-560.00M,-2.00M,-2.00M,,-760.00M,338.00M,27.00M,-104.00M,5.577B,332.00M,34.00M,5.943B,,1.408B,-555.00M,-562.00M
2010-09,1.93B,0.00,-5.00M,62.00M,57.00M,611.00M,611.00M,105.00M,0.00,72.00M,-26.00M,-686.00M,-293.00M,184.00M,125.00M,1.267B,,,,1.283B,,3.346B,-702.00M,18.00M,18.00M,0.00,-2.00M,-3.00M,-10.00M,-699.00M,-48.00M,38.00M,-10.00M,,-1.11B,-1.11B,-1.00M,-1.00M,,-767.00M,236.00M,26.00M,-1.626B,4.529B,1.021B,27.00M,5.577B,,45.00M,-55.00M,-1.111B
2010-06,1.613B,0.00,-4.00M,135.00M,131.00M,593.00M,593.00M,313.00M,0.00,72.00M,-18.00M,-66.00M,-839.00M,-269.00M,-41.00M,712.00M,,,,-437.00M,,2.201B,-694.00M,21.00M,21.00M,0.00,-19.00M,-35.00M,-7.00M,-734.00M,-19.00M,2.313B,2.294B,,-2.573B,-2.573B,-1.00M,-1.00M,712.00M,-739.00M,197.00M,17.00M,-805.00M,3.949B,662.00M,-82.00M,4.529B,,2.329B,-35.00M,-2.574B
2010-03,1.434B,120.00M,-912.00M,113.00M,-679.00M,376.00M,376.00M,-127.00M,145.00M,47.00M,-29.00M,-552.00M,-155.00M,309.00M,-98.00M,-430.00M,,,,-374.00M,,241.00M,-1.174B,16.00M,16.00M,-900.00M,-2.848B,-2.00M,-3.00M,-4.011B,4.209B,1.028B,5.237B,,-735.00M,-735.00M,-1.00M,-1.00M,-712.00M,-712.00M,267.00M,-135.00M,3.921B,3.943B,151.00M,-145.00M,3.949B,,5.247B,-10.00M,-736.00M
2009-12,1.437B,0.00,-13.00M,133.00M,120.00M,552.00M,552.00M,225.00M,0.00,68.00M,-26.00M,-144.00M,647.00M,145.00M,-144.00M,-487.00M,,,,161.00M,,2.393B,-990.00M,25.00M,25.00M,,-201.00M,25.00M,-15.00M,-1.156B,-38.00M,-21.00M,-59.00M,,0.00,0.00,-3.00M,-3.00M,,-700.00M,226.00M,26.00M,-510.00M,3.254B,727.00M,-38.00M,3.943B,,-6.00M,-53.00M,-3.00M
2009-09,1.733B,,-121.00M,98.00M,-23.00M,398.00M,398.00M,55.00M,,51.00M,-8.00M,-231.00M,30.00M,256.00M,141.00M,509.00M,,,,936.00M,,2.911B,-403.00M,7.00M,7.00M,,-96.00M,13.00M,30.00M,-449.00M,-33.00M,-770.00M,-803.00M,,,,-1.00M,-1.00M,,-701.00M,70.00M,-18.00M,-1.453B,2.214B,1.009B,31.00M,3.254B,,3.00M,-806.00M,-1.00M
2009-06,1.668B,,-95.00M,96.00M,1.00M,371.00M,371.00M,6.00M,,54.00M,-1.00M,-154.00M,-375.00M,-245.00M,79.00M,354.00M,,,,-187.00M,,1.758B,-437.00M,18.00M,18.00M,,-77.00M,10.00M,,-486.00M,-103.00M,-556.00M,-659.00M,,,,-2.00M,-2.00M,,-662.00M,26.00M,1.00M,-1.296B,2.188B,-24.00M,50.00M,2.214B,,-332.00M,-327.00M,-2.00M
2009-03,1.141B,0.00,-6.00M,96.00M,90.00M,314.00M,314.00M,-2.00M,0.00,54.00M,-7.00M,-1.21B,-114.00M,-139.00M,-203.00M,-190.00M,,,,-646.00M,,-266.00M,-298.00M,8.00M,8.00M,0.00,-27.00M,7.00M,,-310.00M,1.005B,329.00M,1.334B,,0.00,0.00,-1.00M,-1.00M,,-669.00M,91.00M,7.00M,762.00M,2.064B,186.00M,-62.00M,2.188B,,1.418B,-84.00M,-1.00M
2008-12,726.00M,,170.00M,54.00M,224.00M,488.00M,488.00M,298.00M,543.00M,69.00M,-24.00M,-156.00M,617.00M,17.00M,-19.00M,-240.00M,,,-202.00M,173.00M,,2.341B,-1.047B,13.00M,13.00M,,-297.00M,440.00M,,-891.00M,1.825B,-1.557B,268.00M,,-523.00M,-523.00M,-2.00M,-2.00M,,-662.00M,125.00M,24.00M,-770.00M,1.517B,680.00M,-133.00M,2.064B,,578.00M,-310.00M,-525.00M
2008-09,1.583B,,-176.00M,61.00M,-115.00M,377.00M,377.00M,53.00M,0.00,57.00M,-18.00M,169.00M,-64.00M,240.00M,170.00M,202.00M,,,-189.00M,359.00M,,2.465B,-503.00M,20.00M,20.00M,,-1.60B,-55.00M,,-2.138B,-51.00M,1.297B,1.246B,,-1.293B,-1.293B,-1.00M,-1.00M,,-670.00M,156.00M,18.00M,-544.00M,1.768B,-217.00M,-34.00M,1.517B,,1.30B,-54.00M,-1.294B
2008-06,1.705B,,-144.00M,59.00M,-85.00M,375.00M,375.00M,100.00M,0.00,40.00M,-12.00M,-175.00M,-1.102B,-427.00M,116.00M,1.086B,,,52.00M,-275.00M,,1.673B,-587.00M,12.00M,12.00M,,4.00M,697.00M,,126.00M,1.55B,-1.273B,277.00M,,-1.444B,-1.444B,-2.00M,-2.00M,,-599.00M,116.00M,12.00M,-1.64B,1.604B,159.00M,5.00M,1.768B,,528.00M,-251.00M,-1.446B
2008-03,1.152B,,-52.00M,66.00M,14.00M,303.00M,303.00M,122.00M,0.00,72.00M,-53.00M,-18.00M,,-175.00M,-335.00M,-510.00M,,,-52.00M,-1.072B,,520.00M,-309.00M,53.00M,53.00M,,-66.00M,558.00M,,236.00M,-254.00M,1.978B,1.724B,,-1.46B,-1.46B,-1.00M,-1.00M,,-610.00M,223.00M,53.00M,-71.00M,910.00M,685.00M,9.00M,1.604B,,2.027B,-303.00M,-1.461B
2007-12,1.262B,,,,-25.00M,478.00M,478.00M,121.00M,,,,-86.00M,439.00M,40.00M,-67.00M,326.00M,,-830.00M,-48.00M,-140.00M,,1.764B,-1.17B,24.00M,1.284B,,-332.00M,-48.00M,-269.00M,-1.795B,,,1.133B,-666.00M,-1.169B,-1.835B,,,,-606.00M,,90.00M,-122.00M,1.035B,-153.00M,28.00M,910.00M,-666.00M,,,-1.181B
2007-09,1.743B,,,,16.00M,340.00M,340.00M,-67.00M,,,,-97.00M,8.00M,282.00M,120.00M,352.00M,,461.00M,-6.00M,1.217B,,3.152B,-517.00M,8.00M,-509.00M,,-135.00M,-538.00M,296.00M,-886.00M,,,-676.00M,181.00M,-1.163B,-982.00M,,,,-609.00M,,32.00M,-2.235B,998.00M,31.00M,6.00M,1.035B,181.00M,,,-1.163B
2007-06,1.557B,,,,-268.00M,332.00M,332.00M,53.00M,,,,179.00M,-475.00M,-392.00M,6.00M,385.00M,,100.00M,-85.00M,-461.00M,,1.392B,-476.00M,11.00M,-465.00M,,-422.00M,22.00M,,-865.00M,,,749.00M,249.00M,-1.084B,-835.00M,,,,-491.00M,,39.00M,-538.00M,967.00M,-11.00M,42.00M,998.00M,249.00M,,,-1.084B
