,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2017-06,7.462B,7.462B,6.468B,994.00M,,110.00M,110.00M,196.00M,510.00M,-591.00M,142.00M,34.00M,-108.00M,306.00M,688.00M,34.00M,142.00M,-108.00M,-563.00M,-108.00M,17.00M,98.00M,-81.00M,,,7.00M,-74.00M,280.60M,1.145B,986.00M,159.00M,-0.05,,,0.2057,-0.05,-0.05,,,0.2057,-0.05,1.387B,1.387B,0.5
2017-03,6.894B,6.894B,6.076B,818.00M,,98.00M,98.00M,211.00M,,-82.00M,139.00M,29.00M,-110.00M,309.00M,509.00M,29.00M,139.00M,-110.00M,-65.00M,-110.00M,334.00M,50.00M,284.00M,,,-5.00M,279.00M,348.86M,1.462B,989.00M,473.00M,0.2,,,0.2502,0.2,0.2,,,0.2498,0.2,1.393B,1.402B,0.5
2016-12,7.107B,7.107B,6.193B,914.00M,,98.00M,98.00M,262.00M,599.00M,-676.00M,139.00M,29.00M,-110.00M,360.00M,554.00M,29.00M,139.00M,-110.00M,-658.00M,-110.00M,-214.00M,-19.00M,-195.00M,,,-10.00M,-205.00M,410.98M,941.00M,1.016B,-75.00M,-0.1467,,,0.2955,-0.1467,-0.15,,,0.2922,-0.15,1.393B,1.393B,0.5
2016-09,7.019B,7.019B,6.291B,728.00M,,92.00M,92.00M,253.00M,0.00,-88.00M,149.00M,31.00M,-118.00M,345.00M,383.00M,31.00M,149.00M,-118.00M,-65.00M,-118.00M,200.00M,10.00M,190.00M,,,-14.00M,176.00M,259.51M,1.347B,998.00M,349.00M,0.13,,,0.19,0.13,0.13,,,0.1896,0.13,1.392B,1.401B,0.5
2016-06,7.164B,7.164B,6.465B,699.00M,,103.00M,103.00M,257.00M,2.573B,-2.758B,149.00M,30.00M,-119.00M,360.00M,339.00M,30.00M,149.00M,-119.00M,-2.734B,-119.00M,-2.514B,-368.00M,-2.146B,,,-14.00M,-2.16B,194.28M,-1.252B,1.113B,-2.365B,-1.56,,,0.1349,-1.56,-1.56,,,0.1349,-1.56,1.389B,1.389B,0.5
2016-03,6.52B,6.52B,5.46B,1.06B,,110.00M,110.00M,240.00M,,0.00,133.00M,20.00M,-113.00M,350.00M,710.00M,20.00M,133.00M,-113.00M,25.00M,-113.00M,622.00M,99.00M,523.00M,,,-22.00M,501.00M,501.00M,1.722B,967.00M,755.00M,0.4,,,0.4,0.4,0.4,,,0.4,0.4,1.254B,1.259B,0.5
2015-12,7.744B,7.744B,6.293B,1.451B,,132.00M,132.00M,275.00M,2.136B,-2.136B,92.00M,14.00M,-78.00M,407.00M,1.044B,14.00M,92.00M,-78.00M,-2.069B,-78.00M,-1.103B,-113.00M,-990.00M,,,-26.00M,-1.016B,901.17M,-48.00M,963.00M,-1.011B,-0.807,0.0,,0.717,-0.807,-0.81,0.0,,0.7044,-0.81,1.258B,1.266B,0.5
2015-09,8.472B,8.472B,6.798B,1.674B,,122.00M,122.00M,273.00M,0.00,0.00,86.00M,13.00M,-73.00M,395.00M,1.279B,13.00M,86.00M,-73.00M,47.00M,-73.00M,1.253B,250.00M,1.003B,,,-14.00M,989.00M,989.00M,2.365B,1.026B,1.339B,0.78,,,0.78,0.78,0.78,,,0.78,0.78,1.265B,1.272B,0.5
2015-06,9.01B,9.01B,7.136B,1.874B,,120.00M,120.00M,279.00M,0.00,0.00,86.00M,12.00M,-74.00M,399.00M,1.475B,12.00M,86.00M,-74.00M,35.00M,-74.00M,1.436B,302.00M,1.134B,,,-10.00M,1.124B,1.124B,2.569B,1.047B,1.522B,0.89,,,0.89,0.89,0.88,,,0.88,0.88,1.269B,1.28B,0.5
2015-03,10.25B,10.25B,8.096B,2.152B,,119.00M,119.00M,267.00M,,-439.00M,82.00M,14.00M,-68.00M,386.00M,1.766B,14.00M,82.00M,-68.00M,-404.00M,-68.00M,1.294B,306.00M,988.00M,,,-13.00M,975.00M,1.310B,2.418B,1.042B,1.376B,0.76,,,1.023,0.76,0.76,,,1.021,0.76,1.276B,1.285B,0.5
2014-12,12.64B,12.64B,9.69B,2.951B,,122.00M,122.00M,324.00M,,-1.773B,87.00M,13.00M,-74.00M,446.00M,2.505B,13.00M,87.00M,-74.00M,-1.715B,-74.00M,716.00M,398.00M,318.00M,0.00,,-16.00M,302.00M,1.454B,1.868B,1.065B,803.00M,0.2356,0.0,,1.136,0.2356,0.23,0.0,,1.123,0.23,1.28B,1.29B,0.4
2014-09,12.65B,12.65B,9.689B,2.957B,,125.00M,125.00M,301.00M,,0.00,90.00M,13.00M,-77.00M,426.00M,2.531B,13.00M,90.00M,-77.00M,66.00M,-77.00M,2.52B,556.00M,1.964B,0.00,,-15.00M,1.949B,1.949B,3.642B,1.032B,2.61B,1.51,0.0,,1.51,1.51,1.49,0.0,,1.49,1.49,1.294B,1.31B,0.4
2014-06,12.05B,12.05B,9.269B,2.785B,,123.00M,123.00M,309.00M,,0.00,90.00M,13.00M,-77.00M,432.00M,2.353B,13.00M,90.00M,-77.00M,51.00M,-77.00M,2.327B,506.00M,1.821B,-205.00M,,-21.00M,1.595B,1.80B,3.413B,996.00M,2.417B,1.38,-0.16,,1.38,1.23,1.37,-0.16,,1.37,1.21,1.30B,1.315B,0.4
2014-03,11.24B,11.24B,8.745B,2.494B,,106.00M,106.00M,284.00M,,0.00,103.00M,12.00M,-91.00M,390.00M,2.104B,12.00M,103.00M,-91.00M,64.00M,-91.00M,2.077B,469.00M,1.608B,,,-16.00M,1.592B,1.592B,3.181B,1.001B,2.18B,1.22,,,1.22,1.22,1.21,,,1.21,1.21,1.306B,1.318B,0.4
2013-12,11.91B,11.91B,9.284B,2.622B,,111.00M,111.00M,304.00M,0.00,0.00,97.00M,12.00M,-85.00M,415.00M,2.207B,12.00M,97.00M,-85.00M,48.00M,-85.00M,2.17B,487.00M,1.683B,0.00,,-19.00M,1.664B,1.664B,3.255B,988.00M,2.267B,1.268,0.0,,1.268,1.268,1.26,0.0,,1.26,1.26,1.314B,1.324B,0.3125
2013-09,11.61B,11.61B,8.926B,2.682B,,110.00M,110.00M,286.00M,0.00,0.00,98.00M,9.00M,-89.00M,396.00M,2.286B,9.00M,98.00M,-89.00M,34.00M,-89.00M,2.231B,506.00M,1.725B,0.00,,-10.00M,1.715B,1.715B,3.317B,988.00M,2.329B,1.3,0.0,,1.3,1.3,1.29,0.0,,1.29,1.29,1.322B,1.333B,0.3125
2013-06,11.18B,11.18B,8.712B,2.47B,,100.00M,100.00M,293.00M,364.00M,664.00M,98.00M,6.00M,-92.00M,393.00M,2.077B,6.00M,98.00M,-92.00M,688.00M,-92.00M,2.673B,449.00M,2.224B,-124.00M,,-5.00M,2.095B,1.667B,3.778B,1.007B,2.771B,1.67,-0.09,,1.254,1.58,1.66,-0.09,,1.246,1.57,1.327B,1.336B,0.3125
2013-03,10.57B,10.57B,8.409B,2.161B,,95.00M,95.00M,292.00M,92.00M,-92.00M,98.00M,6.00M,-92.00M,387.00M,1.774B,6.00M,98.00M,-92.00M,-65.00M,-92.00M,1.617B,406.00M,1.211B,56.00M,,-8.00M,1.259B,1.272B,2.611B,896.00M,1.715B,0.9,0.04,,0.9518,0.95,0.9,0.04,,0.9514,0.94,1.33B,1.34B,0.3125
2012-12,11.08B,11.08B,8.761B,2.322B,,111.00M,111.00M,304.00M,33.00M,-93.00M,94.00M,5.00M,-89.00M,415.00M,1.907B,5.00M,94.00M,-89.00M,-63.00M,-89.00M,1.755B,432.00M,1.323B,49.00M,,-9.00M,1.363B,1.384B,2.926B,1.077B,1.849B,1.026,0.0,,1.078,1.026,1.02,0.0,,1.072,1.02,1.327B,1.336B,0.275
2012-09,10.50B,10.50B,8.237B,2.261B,,95.00M,95.00M,291.00M,0.00,-32.00M,89.00M,8.00M,-81.00M,386.00M,1.875B,8.00M,89.00M,-81.00M,4.00M,-81.00M,1.798B,436.00M,1.362B,65.00M,,-3.00M,1.424B,1.383B,2.751B,864.00M,1.887B,1.02,0.05,,1.038,1.07,1.02,0.05,,1.038,1.07,1.328B,1.336B,0.275
2012-06,10.34B,10.34B,8.119B,2.222B,,101.00M,101.00M,287.00M,0.00,-22.00M,78.00M,7.00M,-71.00M,388.00M,1.834B,7.00M,78.00M,-71.00M,16.00M,-71.00M,1.779B,439.00M,1.34B,75.00M,,-12.00M,1.403B,1.345B,2.712B,855.00M,1.857B,1.0,0.06,,1.012,1.05,0.99,0.06,,1.002,1.05,1.331B,1.339B,0.275
2012-03,9.918B,9.918B,7.811B,2.107B,,97.00M,97.00M,275.00M,,-15.00M,80.00M,10.00M,-70.00M,372.00M,1.735B,10.00M,80.00M,-70.00M,22.00M,-70.00M,1.687B,400.00M,1.287B,19.00M,,-5.00M,1.301B,1.293B,2.618B,851.00M,1.767B,0.96,0.01,,0.9686,0.98,0.95,0.01,,0.9585,0.97,1.334B,1.344B,0.275
2011-12,9.921B,9.921B,7.851B,2.07B,,,98.00M,261.00M,,-22.00M,86.00M,-54.00M,-140.00M,359.00M,1.711B,-54.00M,86.00M,-140.00M,68.00M,-140.00M,1.639B,441.00M,1.198B,220.00M,,-5.00M,1.413B,1.209B,2.584B,859.00M,1.725B,1.06,0.0,,1.072,1.06,1.05,0.0,,1.062,1.05,1.34B,1.349B,0.25
2011-09,9.546B,9.546B,7.444B,2.102B,,,87.00M,266.00M,,-26.00M,70.00M,34.00M,-36.00M,353.00M,1.749B,34.00M,70.00M,-36.00M,-26.00M,-36.00M,1.687B,398.00M,1.289B,16.00M,,-4.00M,1.301B,1.305B,2.583B,826.00M,1.757B,0.96,0.01,,0.9748,0.97,0.95,0.01,,0.9646,0.96,1.345B,1.357B,0.25
2011-06,8.99B,8.99B,7.023B,1.967B,,,139.00M,281.00M,,-32.00M,69.00M,29.00M,-40.00M,420.00M,1.547B,29.00M,69.00M,-40.00M,-32.00M,-40.00M,1.475B,366.00M,1.109B,233.00M,,-3.00M,1.339B,1.130B,2.345B,801.00M,1.544B,0.82,0.17,,0.8378,0.99,0.81,0.17,,0.8276,0.98,1.352B,1.366B,0.25
2011-03,8.716B,8.716B,7.055B,1.661B,,,93.00M,254.00M,,-34.00M,73.00M,31.00M,-42.00M,347.00M,1.314B,31.00M,73.00M,-42.00M,-34.00M,-42.00M,1.238B,295.00M,943.00M,,,1.00M,944.00M,969.90M,2.099B,788.00M,1.311B,0.69,0.0,,0.709,0.69,0.69,0.0,,0.7088,0.69,1.36B,1.375B,0.25
2010-12,8.293B,8.293B,6.56B,1.733B,,,90.00M,257.00M,,-61.00M,61.00M,-119.00M,-180.00M,347.00M,1.386B,-119.00M,61.00M,-180.00M,104.00M,-180.00M,1.31B,279.00M,1.031B,12.00M,,0.00,1.043B,1.079B,2.177B,806.00M,1.371B,0.77,0.0,,0.8052,0.77,0.76,0.0,,0.795,0.76,1.364B,1.371B,0.21
2010-09,6.845B,6.845B,5.471B,1.374B,,,75.00M,240.00M,,-396.00M,47.00M,54.00M,7.00M,315.00M,1.059B,54.00M,47.00M,7.00M,874.00M,7.00M,1.94B,209.00M,1.731B,0.00,,3.00M,1.734B,2.087B,2.68B,693.00M,1.987B,1.39,0.0,,1.673,1.39,1.38,0.0,,1.661,1.38,1.249B,1.258B,0.21
2010-06,5.937B,5.937B,4.652B,1.285B,,,74.00M,216.00M,,0.00,53.00M,51.00M,-2.00M,290.00M,995.00M,51.00M,53.00M,-2.00M,,-2.00M,993.00M,177.00M,816.00M,0.00,,2.00M,818.00M,818.00M,1.684B,638.00M,1.046B,0.69,0.0,,0.69,0.69,0.68,0.0,,0.68,0.68,1.192B,1.208B,0.21
2010-03,5.598B,5.598B,4.415B,1.183B,,,72.00M,207.00M,,-35.00M,45.00M,64.00M,19.00M,279.00M,904.00M,64.00M,45.00M,19.00M,-35.00M,19.00M,888.00M,214.00M,674.00M,,,-2.00M,672.00M,698.57M,1.553B,620.00M,933.00M,0.56,0.0,,0.5822,0.56,0.56,0.0,,0.5819,0.56,1.195B,1.215B,0.21
2009-12,5.744B,5.744B,4.397B,1.347B,,,145.00M,217.00M,,0.00,52.00M,-150.00M,-202.00M,359.00M,988.00M,-150.00M,52.00M,-202.00M,209.00M,-202.00M,995.00M,175.00M,820.00M,,,-2.00M,796.00M,818.00M,1.675B,628.00M,1.047B,0.68,-0.01,,0.68,0.67,0.68,-0.02,,0.68,0.66,1.198B,1.214B,0.21
2009-09,5.43B,5.43B,4.144B,1.286B,,,128.00M,198.00M,,0.00,54.00M,74.00M,20.00M,326.00M,960.00M,74.00M,54.00M,20.00M,,20.00M,980.00M,191.00M,789.00M,,,-2.00M,787.00M,787.00M,1.647B,613.00M,1.034B,0.66,0.0,,0.66,0.66,0.65,0.0,,0.65,0.65,1.20B,1.218B,0.21
2009-06,5.528B,5.528B,4.432B,1.096B,,,131.00M,197.00M,,0.00,61.00M,60.00M,-1.00M,328.00M,768.00M,60.00M,61.00M,-1.00M,,-1.00M,767.00M,152.00M,615.00M,,,-2.00M,613.00M,613.00M,1.454B,626.00M,828.00M,0.51,0.0,,0.51,0.51,0.51,0.0,,0.51,0.51,1.197B,1.214B,0.21
2009-03,6.00B,6.00B,4.51B,1.49B,,,130.00M,190.00M,,0.00,55.00M,18.00M,-37.00M,320.00M,1.17B,18.00M,55.00M,-37.00M,59.00M,-37.00M,1.192B,252.00M,940.00M,,,-2.00M,938.00M,938.00M,1.856B,609.00M,1.247B,0.78,0.0,,0.78,0.78,0.78,0.0,,0.78,0.78,1.196B,1.21B,0.21
2008-12,6.868B,6.868B,5.023B,1.845B,,,79.00M,222.00M,,,58.00M,318.00M,260.00M,301.00M,1.544B,318.00M,58.00M,260.00M,-328.00M,260.00M,1.476B,326.00M,1.15B,0.00,,0.00,1.15B,1.15B,2.147B,613.00M,1.534B,0.96,0.0,,0.96,0.96,0.96,0.0,,0.96,0.95,1.193B,1.209B,0.21
2008-09,7.259B,7.259B,4.967B,2.292B,23.00M,150.00M,173.00M,208.00M,,,61.00M,31.00M,-30.00M,381.00M,1.911B,31.00M,61.00M,-30.00M,76.00M,-30.00M,1.957B,418.00M,1.539B,0.00,,-13.00M,1.526B,1.526B,2.601B,583.00M,2.018B,1.27,0.0,,1.27,1.27,1.25,0.0,,1.25,1.25,1.199B,1.225B,0.21
2008-06,6.746B,6.746B,4.609B,2.137B,26.00M,146.00M,172.00M,197.00M,,,61.00M,25.00M,-36.00M,369.00M,1.768B,25.00M,61.00M,-36.00M,72.00M,-36.00M,1.804B,378.00M,1.426B,0.00,,-6.00M,1.42B,1.42B,2.421B,556.31M,1.865B,1.19,0.0,,1.19,1.19,1.16,0.0,,1.16,1.16,1.195B,1.23B,0.21
2008-03,6.290B,6.290B,4.358B,1.932B,22.97M,138.33M,161.30M,191.03M,,,66.04M,37.00M,-29.04M,352.33M,1.579B,37.00M,66.04M,-29.04M,65.23M,-29.04M,1.615B,308.59M,1.307B,37.85M,,-6.395M,1.338B,1.300B,2.198B,516.69M,1.681B,1.09,0.03,,1.09,1.12,1.06,0.03,,1.06,1.09,1.196B,1.233B,0.21
2007-12,6.273B,6.273B,4.217B,2.056B,,,164.63M,196.52M,,,,,,361.15M,1.695B,,,,,,1.740B,357.20M,1.383B,,,,1.383B,1.383B,2.655B,554.42M,2.101B,1.16,0.0,,1.16,1.16,1.12,0.0,,1.12,1.12,1.195B,1.239B,0.175
2007-09,5.926B,5.926B,3.905B,2.021B,,,159.16M,190.19M,,,,,,349.36M,1.671B,,,,,,1.710B,356.17M,1.354B,,,,1.354B,1.354B,2.169B,497.66M,1.671B,1.13,0.0,,1.13,1.13,1.09,0.0,,1.09,1.09,1.194B,1.244B,0.175
2007-06,5.639B,5.639B,3.737B,1.902B,,,139.06M,174.68M,,,,,,313.74M,1.588B,,,,,,1.619B,360.88M,1.258B,,,,1.258B,1.258B,2.049B,460.93M,1.588B,1.06,0.0,,1.06,1.06,1.02,0.0,,1.02,1.02,1.184B,1.241B,0.175
2007-03,5.464B,5.464B,3.617B,1.847B,,,140.85M,167.10M,,,,,,307.95M,1.539B,,,,,,1.555B,373.68M,1.181B,,,,1.181B,1.181B,1.980B,440.98M,1.539B,1.0,0.0,,1.0,1.0,0.96,0.0,,0.96,0.96,1.178B,1.236B,0.175
2006-12,5.350B,5.350B,3.585B,1.764B,,,150.95M,169.48M,,,,,,320.43M,1.444B,,,,,,1.468B,337.06M,1.131B,,,0.002M,1.131B,1.131B,1.883B,439.00M,1.444B,0.96,0.0,,0.96,0.96,0.92,0.0,,0.92,0.92,1.178B,1.238B,0.125
2006-09,4.955B,4.955B,3.362B,1.593B,,,134.81M,149.54M,,,,,,284.35M,1.309B,,,,,,1.317B,317.43M,999.82M,,,-0.007M,999.82M,999.82M,1.702B,392.76M,1.309B,0.84,0.0,,0.84,0.84,0.81,0.0,,0.81,0.81,1.184B,1.244B,0.125
2006-06,4.687B,4.687B,3.255B,1.432B,,,121.65M,170.89M,,,,,,292.54M,1.139B,,,,,,1.141B,278.42M,856.90M,,,-5.821M,856.90M,856.90M,1.514B,375.04M,1.139B,0.72,0.0,,0.72,0.72,0.69,0.0,,0.69,0.69,1.184B,1.246B,0.125
2006-03,4.239B,4.239B,2.995B,1.244B,,,110.39M,129.41M,,,,,,239.80M,1.004B,,,,,,1.022B,256.65M,722.51M,,,-42.91M,722.51M,722.51M,1.359B,354.60M,1.004B,0.61,0.0,,0.61,0.61,0.59,0.0,,0.59,0.59,1.180B,1.241B,0.125
2005-12,4.023B,4.023B,2.916B,1.108B,,,115.25M,134.39M,,,,,,249.64M,858.08M,,,,,,901.53M,207.16M,660.55M,0.00,,-33.82M,660.55M,660.55M,1.217B,358.88M,858.08M,0.56,0.0,,0.56,0.56,0.54,0.0,,0.54,0.54,1.179B,1.234B,0.105
2005-09,3.698B,3.698B,2.762B,936.50M,,,97.40M,128.27M,,,,,,225.66M,710.84M,,,,,,740.30M,174.95M,540.80M,,,-24.55M,540.80M,540.80M,1.048B,337.11M,710.84M,0.46,0.0,,0.46,0.46,0.44,0.0,,0.44,0.44,1.180B,1.232B,0.105
2005-06,3.429B,3.429B,2.547B,881.95M,,,105.46M,121.64M,,,,,,227.10M,654.85M,,,,,,650.64M,162.12M,473.20M,9.00M,,-15.31M,482.20M,473.20M,981.37M,326.52M,654.85M,0.4,0.01,,0.4,0.41,0.39,0.005,,0.39,0.4,1.177B,1.226B,0.105
2005-03,3.159B,3.348B,2.405B,942.53M,,,95.48M,121.22M,,,,,,216.70M,725.83M,,,,,,679.27M,137.70M,524.44M,-1.028M,,-17.13M,523.41M,524.44M,1.054B,328.46M,725.83M,0.44,0.0,,0.44,0.44,0.43,0.0,,0.43,0.43,1.179B,1.228B,0.105
2004-12,3.068B,2.979B,2.404B,575.04M,,,93.31M,116.43M,,0.00,,,,209.74M,365.30M,,,,0.00,,449.21M,81.02M,351.40M,-21.63M,,-16.79M,329.77M,351.40M,704.61M,339.30M,365.30M,0.3,-0.015,,0.3,0.28,0.29,-0.02,,0.29,0.275,1.178B,1.225B,0.0938
2004-09,2.906B,2.943B,2.301B,641.74M,,,98.74M,118.41M,,,,,,217.16M,424.58M,,,,,,380.20M,74.39M,297.96M,20.24M,,-8.519M,318.20M,297.96M,747.58M,323.00M,424.58M,0.255,0.015,,0.255,0.27,0.25,0.015,,0.25,0.265,1.180B,1.228B,0.0938
2004-06,2.834B,2.834B,2.231B,602.63M,,,92.33M,122.71M,,-37.41M,,,,215.04M,387.58M,,,,-37.41M,,335.82M,75.71M,257.25M,98.36M,,-2.856M,355.61M,286.23M,707.60M,320.02M,387.58M,0.22,0.085,,0.2446,0.3,0.215,0.08,,0.2386,0.295,1.180B,1.227B,0.0938
2004-03,2.673B,2.698B,2.121B,576.56M,,,84.97M,109.80M,,-77.48M,,,,194.77M,381.79M,,,,-77.48M,,161.53M,45.83M,107.44M,112.85M,,-8.27M,220.29M,162.94M,707.40M,325.61M,381.79M,0.09,0.095,,0.1372,0.185,0.09,0.095,,0.1368,0.185,1.175B,1.186B,0.0938
2003-12,-292.72M,-391.04M,-117.14M,-273.90M,,,-406.17M,-24.40M,,0.00,,,,-430.56M,156.66M,,,,0.00,,132.11M,120.26M,163.18M,13.87M,,33.53M,177.04M,163.18M,285.79M,129.14M,156.66M,0.14,0.01,,0.14,0.155,0.14,0.01,,0.14,0.15,1.172B,1.172B,0.0938
