,OperatingRevenue,Revenue,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,SpecialIncomeandCharges,TotalOperatingExpenses,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2004-03,1.405B,1.405B,20.00M,463.00M,483.00M,,483.00M,15.00M,494.00M,491.00M,163.00M,328.00M,,,-7.00M,,328.00M,323.32M,73.00M,663.00M,,1.16,0.00,,1.143,1.16,,1.15,0.00,,1.134,1.15,,282.00M,284.00M,0.50,,,
2003-12,1.24B,1.24B,15.00M,468.00M,483.00M,,483.00M,15.00M,460.00M,448.00M,146.00M,302.00M,,,92.00M,0.00,274.00M,302.00M,74.00M,598.00M,,1.09,-0.10,,1.09,0.99,,1.08,-0.10,,1.08,0.98,,277.00M,278.00M,0.50,,,
2003-09,1.418B,1.418B,16.00M,452.00M,468.00M,,468.00M,19.00M,512.00M,433.00M,152.00M,281.00M,,,-100.00M,,281.00M,281.00M,73.00M,639.00M,,1.01,0.00,,1.01,1.01,,1.00,0.00,,1.00,1.00,,278.00M,280.00M,0.48,,,
2003-06,1.297B,1.297B,18.00M,446.00M,464.00M,,464.00M,26.00M,521.00M,292.00M,108.00M,184.00M,,,-13.00M,,184.00M,184.00M,68.00M,463.00M,,0.65,0.00,,0.65,0.65,,0.65,0.00,,0.65,0.65,,281.00M,282.00M,0.48,,,
2003-03,1.298B,1.298B,15.00M,438.00M,453.00M,,453.00M,56.00M,503.00M,395.00M,133.00M,262.00M,,,-11.00M,,262.00M,262.00M,74.00M,584.00M,,0.93,0.00,,0.93,0.93,,0.92,0.00,,0.92,0.92,,283.00M,284.00M,0.48,,,
2002-12,1.29B,1.29B,11.00M,408.00M,419.00M,,419.00M,1.00M,524.00M,423.00M,145.00M,278.00M,,,-11.00M,0.00,262.00M,278.00M,63.00M,640.00M,,0.98,-0.05,,0.98,0.93,,0.97,-0.05,,0.97,0.92,,283.00M,285.00M,0.48,,,
2002-09,1.299B,1.299B,14.00M,422.00M,436.00M,,436.00M,68.00M,528.00M,432.00M,147.00M,285.00M,,,-4.00M,,285.00M,285.00M,135.00M,673.00M,,1.00,0.00,,1.00,1.00,,1.00,0.00,,1.00,1.00,,284.00M,285.00M,0.48,,,
2002-06,1.41B,1.41B,13.00M,441.00M,454.00M,,454.00M,16.00M,555.00M,485.00M,165.00M,320.00M,,,-12.00M,1.00M,320.00M,320.00M,-14.00M,734.00M,,1.13,0.00,,1.13,1.13,,1.12,0.00,,1.12,1.12,,283.00M,285.00M,0.48,,,
2002-03,1.38B,1.38B,13.00M,430.00M,443.00M,,443.00M,4.00M,590.00M,481.00M,164.00M,317.00M,,,-10.00M,1.00M,317.00M,317.00M,58.00M,749.00M,,1.12,0.00,,1.12,1.12,,1.11,0.00,,1.11,1.11,,283.00M,285.00M,0.48,,,
2001-12,1.062B,1.062B,19.00M,409.00M,428.00M,,428.00M,-3.00M,578.00M,-662.00M,-232.00M,-430.00M,,0.00,-8.00M,0.00,-435.00M,-430.00M,60.00M,-338.00M,,-1.49,-0.02,0.00,-1.49,-1.49,,-1.49,-0.02,-0.0003,-1.49,-1.49,,266.71M,266.71M,0.48,,,
2001-09,1.285B,1.285B,13.00M,419.00M,432.00M,,432.00M,88.00M,565.00M,375.00M,128.00M,247.00M,,,-9.00M,3.00M,247.00M,247.00M,53.00M,794.00M,,0.85,0.00,,0.85,0.85,,0.84,0.00,,0.84,0.84,,286.00M,289.00M,0.48,,,
2001-06,1.298B,1.298B,16.00M,418.00M,434.00M,,434.00M,17.00M,565.00M,451.00M,156.00M,295.00M,,,-8.00M,4.00M,295.00M,295.00M,47.00M,965.00M,,1.01,0.00,,1.01,1.01,,1.00,0.00,,1.00,1.00,,288.00M,291.00M,0.48,,,
2001-03,1.255B,1.255B,9.00M,421.00M,430.00M,,430.00M,29.00M,554.00M,400.00M,135.00M,265.00M,40.00M,-5.00M,,4.00M,300.00M,265.00M,100.00M,1.018B,,0.90,0.12,0.00,0.90,1.02,,0.89,0.12,-0.0173,0.89,1.01,,289.20M,292.80M,0.48,,,
2000-12,1.327B,1.327B,22.00M,410.00M,432.00M,,432.00M,16.00M,533.00M,476.00M,162.00M,314.00M,20.00M,,,5.00M,334.00M,314.00M,88.00M,1.133B,,1.07,0.07,,1.07,1.14,,1.06,0.07,,1.06,1.13,,282.53M,291.17M,0.48,,,
2000-09,1.231B,1.231B,16.00M,399.00M,415.00M,,415.00M,7.00M,531.00M,454.00M,155.00M,299.00M,23.00M,,,5.00M,322.00M,299.00M,79.00M,1.124B,,1.02,0.08,,1.02,1.10,,1.01,0.08,,1.01,1.09,,288.96M,290.21M,0.45,,,
2000-06,1.273B,1.273B,19.00M,396.00M,415.00M,,415.00M,,545.00M,458.00M,159.00M,299.00M,16.00M,,,5.00M,315.00M,299.00M,42.00M,1.093B,,1.01,0.06,,1.01,1.07,,1.01,0.05,,1.01,1.06,,289.80M,292.20M,0.45,,,
2000-03,1.283B,1.283B,13.00M,411.00M,424.00M,,424.00M,-3.00M,555.00M,460.00M,158.00M,302.00M,6.00M,,,5.00M,308.00M,302.00M,131.00M,1.066B,,1.02,0.02,,1.02,1.04,,1.02,0.02,,1.02,1.04,,291.90M,294.10M,0.45,,,
1999-12,1.187B,1.187B,24.00M,364.00M,388.00M,,388.00M,-22.00M,562.00M,404.00M,117.00M,287.00M,17.00M,,,4.00M,304.00M,287.00M,39.00M,979.00M,,0.96,0.06,,0.96,1.02,,0.95,0.06,,0.95,1.01,,294.54M,296.10M,0.45,,,
1999-09,1.144B,1.144B,17.00M,324.00M,341.00M,,341.00M,2.00M,573.00M,458.00M,159.00M,299.00M,21.00M,,,5.00M,320.00M,299.00M,49.00M,1.01B,,1.00,0.07,,1.00,1.07,,0.99,0.07,,0.99,1.06,,294.50M,297.60M,0.41,,,
1999-06,1.271B,1.271B,17.00M,364.00M,381.00M,,381.00M,,607.00M,479.00M,164.00M,315.00M,,,,8.00M,315.00M,315.00M,87.00M,1.076B,,1.04,0.00,,1.04,1.04,,1.03,0.00,,1.03,1.03,,297.40M,300.90M,0.41,,,
1999-03,1.389B,1.389B,15.00M,412.00M,427.00M,,427.00M,,658.00M,488.00M,163.00M,325.00M,,,,7.00M,325.00M,325.00M,130.00M,1.12B,,1.06,0.00,,1.06,1.06,,1.05,0.00,,1.05,1.05,,302.30M,305.50M,0.41,,,
