,NetIncome,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,OtherNoncashItems,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2018-03,1.675B,-78.00M,-140.00M,74.00M,39.00M,113.00M,113.00M,,-555.00M,,1.434B,,,,,-65.00M,-330.00M,82.00M,,973.00M,1.052B,2.025B,40.00M,-588.00M,-548.00M,,,,-499.00M,-64.00M,-563.00M,,-1.775B,,19.50B,-259.00M,19.25B,,40.00M,2.11B,-1.137B,-588.00M,,AOR,Restated
2017-12,1.682B,-115.00M,-343.00M,74.00M,44.00M,118.00M,118.00M,,-1.961B,,-169.00M,,,,,-1.032B,213.00M,-2.806B,,-2.248B,795.00M,-1.453B,21.00M,-681.00M,-660.00M,0.00,0.00,0.00,-502.00M,-71.00M,-573.00M,,1.94B,,20.54B,-1.035B,19.50B,,21.00M,1.708B,-3.956B,-681.00M,,AOR,Restated
2017-09,1.563B,-105.00M,-332.00M,73.00M,44.00M,117.00M,117.00M,,154.00M,,1.862B,,,,,-670.00M,-49.00M,-2.506B,,-3.358B,1.444B,-1.914B,11.00M,-668.00M,-657.00M,0.00,0.00,0.00,-472.00M,-64.00M,-536.00M,,-7.78B,,28.96B,-8.424B,20.54B,,11.00M,1.028B,-4.386B,-668.00M,,AOR,Restated
2017-06,1.50B,-136.00M,-337.00M,73.00M,43.00M,116.00M,116.00M,,-40.00M,,1.589B,,,,,-384.00M,-644.00M,-5.093B,,1.834B,2.229B,4.063B,15.00M,-688.00M,-673.00M,0.00,-1.085B,-1.085B,-476.00M,-69.00M,-545.00M,,12.15B,,20.32B,8.645B,28.96B,,15.00M,3.536B,-1.702B,-1.773B,,AOR,Restated
2017-03,1.473B,-146.00M,-262.00M,73.00M,44.00M,117.00M,117.00M,,1.517B,,3.19B,,,,,-1.054B,76.00M,-1.721B,,2.689B,-1.78B,909.00M,112.00M,-594.00M,-482.00M,993.00M,,993.00M,-478.00M,-80.00M,-558.00M,,3.145B,,15.70B,4.614B,20.32B,,1.105B,3.162B,-473.00M,-594.00M,,AOR,Restated
2016-12,1.478B,-154.00M,-355.00M,72.00M,45.00M,117.00M,117.00M,,516.00M,,2.098B,,,,,-834.00M,360.00M,-2.717B,,-4.605B,-1.732B,-6.337B,196.00M,-654.00M,-458.00M,0.00,0.00,0.00,-479.00M,-61.00M,-540.00M,0.00,-7.34B,,23.66B,-7.959B,15.70B,,196.00M,84.00M,-4.689B,-654.00M,,AOR,Restated
2016-09,1.502B,-109.00M,-429.00M,72.00M,45.00M,117.00M,117.00M,,-961.00M,,554.00M,,,,,-1.632B,-464.00M,-5.147B,,1.06B,-2.738B,-1.678B,46.00M,-635.00M,-589.00M,0.00,0.00,0.00,-440.00M,-79.00M,-519.00M,0.00,14.22B,,14.04B,9.626B,23.66B,,46.00M,1.482B,-422.00M,-635.00M,,AOR,Restated
2016-06,1.522B,-264.00M,-503.00M,73.00M,44.00M,117.00M,117.00M,,-40.00M,,1.423B,,,,,-1.176B,276.00M,-5.205B,,2.065B,-5.344B,-3.279B,80.00M,-699.00M,-619.00M,0.00,0.00,0.00,-444.00M,-61.00M,-505.00M,0.00,6.839B,,10.98B,3.057B,14.04B,,80.00M,2.542B,-477.00M,-699.00M,,AOR,Restated
2016-03,1.386B,-90.00M,-284.00M,74.00M,45.00M,119.00M,119.00M,,-290.00M,,1.261B,,,,,-978.00M,150.00M,-4.889B,,2.70B,-4.10B,-1.40B,33.00M,-568.00M,-535.00M,0.00,,0.00,-447.00M,-66.00M,-513.00M,-40.00M,3.462B,,11.15B,-166.00M,10.98B,,33.00M,6.607B,-3.907B,-568.00M,,AOR,Restated
2015-12,1.476B,-84.00M,-324.00M,77.00M,46.00M,123.00M,123.00M,,951.00M,,2.531B,,,,,-1.037B,-528.00M,-8.039B,,-377.00M,962.00M,585.00M,33.00M,-409.00M,-376.00M,,,,-448.00M,-60.00M,-508.00M,,6.205B,,10.45B,697.00M,11.15B,,778.00M,152.00M,-529.00M,-409.00M,,AOR,Restated
2015-09,1.489B,-182.00M,-468.00M,76.00M,42.00M,118.00M,118.00M,,1.433B,,2.854B,,,,,-1.586B,139.00M,-4.987B,,-1.758B,-869.00M,-2.627B,74.00M,-692.00M,-618.00M,,,,-452.00M,-61.00M,-513.00M,,-5.342B,,17.92B,-7.475B,10.45B,,74.00M,1.533B,-3.291B,-692.00M,,AOR,Restated
2015-06,1.483B,-74.00M,-282.00M,77.00M,43.00M,120.00M,120.00M,,44.00M,,1.646B,,,,,-1.258B,-733.00M,-5.623B,,-888.00M,-442.00M,-1.33B,36.00M,-625.00M,-589.00M,,,,-438.00M,-60.00M,-498.00M,,7.83B,,14.07B,3.853B,17.92B,,36.00M,60.00M,-948.00M,-625.00M,,AOR,Restated
2015-03,1.431B,-63.00M,-322.00M,77.00M,43.00M,120.00M,120.00M,,258.00M,,1.751B,,,,,-1.203B,-404.00M,-2.501B,,2.779B,-1.667B,1.112B,152.00M,-464.00M,-312.00M,,,,-439.00M,-61.00M,-500.00M,,4.168B,,10.65B,3.418B,14.07B,,152.00M,3.322B,-543.00M,-464.00M,,AOR,Restated
2014-12,1.488B,-212.00M,-448.00M,77.00M,51.00M,128.00M,128.00M,,-590.00M,,866.00M,,,,0.00,-3.545B,95.00M,-6.44B,,1.484B,-152.00M,1.332B,76.00M,-496.00M,-420.00M,,,,-441.00M,-62.00M,-503.00M,,10.04B,,6.183B,4.471B,10.65B,,76.00M,3.416B,-1.932B,-496.00M,,AOR,Restated
2014-09,1.471B,-80.00M,-298.00M,76.00M,51.00M,127.00M,127.00M,,-1.029B,,582.00M,,,,-255.00M,-6.565B,73.00M,-8.86B,,4.901B,1.19B,6.091B,51.00M,-653.00M,-602.00M,,,,-444.00M,-60.00M,-504.00M,,1.825B,,12.64B,-6.453B,6.183B,,51.00M,5.008B,-107.00M,-653.00M,,AOR,Restated
2014-06,1.495B,-279.00M,-452.00M,75.00M,48.00M,123.00M,123.00M,,-378.00M,,1.112B,,,,3.691B,-4.726B,116.00M,-5.867B,,2.06B,-1.926B,134.00M,90.00M,-618.00M,-528.00M,,,,-420.00M,-60.00M,-480.00M,,9.983B,,7.408B,5.228B,12.64B,,90.00M,3.155B,-1.095B,-618.00M,,AOR,Restated
2014-03,1.397B,-24.00M,-198.00M,74.00M,49.00M,123.00M,123.00M,,1.144B,,2.772B,,,,,-5.347B,222.00M,-8.645B,,3.821B,3.173B,6.994B,236.00M,-433.00M,-197.00M,,,,-421.00M,-61.00M,-482.00M,,4.804B,,8.477B,-1.069B,7.408B,,236.00M,4.815B,-994.00M,-433.00M,,AOR,Restated
2013-12,1.456B,-32.00M,-212.00M,75.00M,56.00M,131.00M,131.00M,38.00M,1.099B,,2.789B,,,,-58.00M,-3.878B,-203.00M,-8.361B,,1.34B,1.48B,2.82B,193.00M,-503.00M,-310.00M,0.00,0.00,0.00,-422.00M,-61.00M,-483.00M,,2.434B,,11.62B,-3.138B,8.477B,,193.00M,1.843B,-503.00M,-503.00M,,AOR,Restated
2013-09,1.468B,-16.00M,-6.00M,74.00M,55.00M,129.00M,129.00M,68.00M,184.00M,,2.141B,,,,0.00,-1.489B,9.00M,-5.32B,,-939.00M,-51.00M,-990.00M,162.00M,-660.00M,-498.00M,0.00,0.00,0.00,-424.00M,-60.00M,-484.00M,,8.176B,,6.618B,4.997B,11.62B,,162.00M,67.00M,-1.006B,-660.00M,,AOR,Restated
2013-06,1.484B,-31.00M,-426.00M,74.00M,55.00M,129.00M,129.00M,-116.00M,3.415B,,4.848B,,,,0.00,-409.00M,-251.00M,-5.819B,,-978.00M,-947.00M,-1.925B,90.00M,-619.00M,-529.00M,487.00M,-500.00M,-13.00M,-363.00M,-69.00M,-432.00M,,657.00M,,6.932B,-314.00M,6.618B,,577.00M,26.00M,-1.004B,-1.119B,,AOR,Restated
2013-03,1.428B,5.00M,-474.00M,74.00M,57.00M,131.00M,131.00M,10.00M,170.00M,,1.668B,,,,,-907.00M,142.00M,-1.524B,,-265.00M,824.00M,559.00M,79.00M,-500.00M,-421.00M,,,,-367.00M,-64.00M,-431.00M,,-1.464B,,8.252B,-1.32B,6.932B,,79.00M,105.00M,-370.00M,-500.00M,,AOR,Restated
2012-12,1.42B,-44.00M,-951.00M,75.00M,66.00M,141.00M,141.00M,-29.00M,3.059B,,4.083B,,,,0.00,-436.00M,-593.00M,-6.99B,,-731.00M,-1.551B,-2.282B,53.00M,-513.00M,-460.00M,0.00,0.00,0.00,-367.00M,-65.00M,-432.00M,,1.777B,,9.382B,-1.13B,8.252B,,53.00M,413.00M,-1.144B,-513.00M,,AOR,Restated
2012-09,1.474B,-118.00M,-890.00M,72.00M,67.00M,139.00M,139.00M,55.00M,-1.019B,,247.00M,,,,0.00,65.00M,-409.00M,-2.989B,,-2.602B,-2.831B,-5.433B,151.00M,-480.00M,-329.00M,0.00,0.00,0.00,-370.00M,-63.00M,-433.00M,,-3.279B,,15.40B,-6.021B,9.382B,,151.00M,1.933B,-4.535B,-480.00M,,AOR,Restated
2012-06,1.415B,-52.00M,-634.00M,71.00M,70.00M,141.00M,141.00M,-99.00M,-756.00M,,537.00M,,,,-14.00M,423.00M,-211.00M,-4.492B,,-1.522B,3.23B,1.708B,93.00M,-425.00M,-332.00M,1.075B,0.00,1.075B,-371.00M,-46.00M,-417.00M,,9.797B,,9.561B,5.842B,15.40B,,1.168B,1.535B,-3.057B,-425.00M,,AOR,Restated
2012-03,1.338B,-28.00M,-656.00M,69.00M,71.00M,140.00M,140.00M,73.00M,1.715B,,3.091B,,,,108.00M,-3.134B,-48.00M,-5.782B,,-1.594B,-3.015B,-4.609B,98.00M,-438.00M,-340.00M,1.088B,,1.088B,-239.00M,-30.00M,-269.00M,,-1.71B,,13.96B,-4.401B,9.561B,,1.186B,1.085B,-2.679B,-438.00M,,AOR,Restated
2011-12,1.35B,-12.00M,-3.654B,70.00M,74.00M,144.00M,144.00M,498.00M,2.23B,,1.065B,,,,-14.00M,-2.515B,-64.00M,-8.515B,,1.357B,-1.561B,-204.00M,55.00M,-131.00M,-76.00M,0.00,,0.00,-239.00M,-30.00M,-269.00M,,7.704B,,13.71B,254.00M,13.96B,,55.00M,1.609B,-252.00M,-131.00M,,AOR,Restated
2011-09,1.273B,-8.00M,2.905B,68.00M,75.00M,143.00M,143.00M,250.00M,-5.144B,,-54.00M,,,,0.00,-2.587B,-386.00M,-8.883B,,-2.096B,2.375B,279.00M,21.00M,-383.00M,-362.00M,0.00,,0.00,-241.00M,-30.00M,-271.00M,,7.395B,,15.25B,-1.542B,13.71B,,21.00M,468.00M,-2.564B,-383.00M,,AOR,Restated
2011-06,1.203B,144.00M,-4.211B,66.00M,75.00M,141.00M,141.00M,50.00M,4.826B,,2.581B,,,,0.00,-4.504B,-489.00M,-7.818B,,1.058B,-1.367B,-309.00M,10.00M,,10.00M,676.00M,,676.00M,-241.00M,-39.00M,-280.00M,,6.687B,,13.80B,1.45B,15.25B,,686.00M,1.164B,-106.00M,,,AOR,Restated
2011-03,1.046B,-149.00M,4.075B,62.00M,75.00M,137.00M,137.00M,-50.00M,265.00M,,6.228B,,,,650.00M,-6.988B,-131.00M,-7.488B,,-8.00M,-1.652B,-1.66B,94.00M,,94.00M,,,0.00,-96.00M,-19.00M,-115.00M,,573.00M,,14.49B,-687.00M,13.80B,,94.00M,370.00M,-378.00M,,,AOR,Restated
2010-12,974.00M,1.30B,11.00M,60.00M,89.00M,149.00M,149.00M,,759.00M,,2.435B,,,,91.00M,-5.216B,215.00M,-8.657B,,1.243B,-1.784B,-541.00M,63.00M,,63.00M,,,-4.00M,-96.00M,-33.00M,-129.00M,4.00M,16.24B,,4.47B,10.02B,14.49B,,63.00M,1.695B,-452.00M,,,AOR,Restated
2010-09,2.343B,-1.271B,-1.271B,169.00M,278.00M,447.00M,447.00M,,-2.157B,,-1.154B,,,,0.00,-178.00M,-372.00M,-5.304B,,1.168B,544.00M,1.712B,13.00M,,13.00M,,,0.00,-95.00M,-18.00M,-113.00M,0.00,5.895B,,5.033B,-563.00M,4.47B,,13.00M,2.426B,-1.258B,,,AOR,Restated
2010-06,,,,,,,,,,,1.084B,,,,0.00,-983.00M,-477.00M,-3.492B,,-2.52B,2.601B,81.00M,15.00M,,15.00M,,,0.00,-96.00M,-19.00M,-115.00M,-4.00M,-939.00M,,8.38B,-3.347B,5.033B,,15.00M,2.021B,-4.541B,,,AOR,Restated
2010-03,,,,,,,,,,,2.876B,,,,832.00M,-1.211B,-302.00M,1.081B,,-1.241B,-769.00M,-2.01B,28.00M,,28.00M,,,,-96.00M,-19.00M,-115.00M,,-1.783B,,6.206B,2.174B,8.38B,,28.00M,902.00M,-2.143B,,,AOR,Restated
2009-12,,,,,,,,,,,3.38B,,,,2.854B,-2.167B,-913.00M,-664.00M,,-565.00M,1.369B,804.00M,15.00M,,-124.00M,,0.00,0.00,-96.00M,-19.00M,-115.00M,139.00M,-1.526B,,5.016B,1.19B,6.206B,,15.00M,1.008B,-1.573B,-139.00M,,AOR,Restated
2009-09,,,,,,,,,,,3.446B,,,,-2.00M,-596.00M,-365.00M,-2.826B,,-6.076B,-1.532B,-7.608B,4.00M,,4.00M,,0.00,0.00,-95.00M,-19.00M,-114.00M,-139.00M,-1.985B,,6.381B,-1.365B,5.016B,,4.00M,350.00M,-2.141B,0.00,,AOR,Restated
2009-06,,,,,,,,,,,-1.073B,,,,222.00M,-947.00M,229.00M,223.00M,,428.00M,3.691B,4.119B,2.684B,,2.684B,,-6.599B,-6.599B,-88.00M,-130.00M,-218.00M,,1.077B,,6.154B,227.00M,6.381B,,2.684B,2.085B,2.034B,-6.599B,,AOR,Restated
2009-03,,,,,,,,,,,1.847B,,,,0.00,1.688B,975.00M,2.548B,,513.00M,-7.976B,-7.463B,,,0.00,,,,-746.00M,-107.00M,-853.00M,,-5.10B,,6.859B,-705.00M,6.154B,,,2.597B,-10.06B,,,AOR,Restated
2008-12,,,,,,,,,,,1.261B,,,,846.00M,-690.00M,10.81B,-4.518B,,-4.845B,-5.871B,-10.72B,30.00M,,30.00M,6.599B,,6.599B,-755.00M,-19.00M,-774.00M,,2.998B,,7.118B,-259.00M,6.859B,,6.629B,-4.979B,-5.737B,,,,Restated
2008-09,,,,,,,,,,,1.839B,,,,6.00M,982.00M,-3.911B,-3.267B,,354.00M,-3.709B,-3.355B,325.00M,,325.00M,0.00,,0.00,-731.00M,-22.00M,-753.00M,,590.00M,,7.956B,-838.00M,7.118B,,325.00M,-1.417B,-1.938B,,,,Restated
2008-06,,,,,,,,,,,1.069B,,,,701.00M,868.00M,-6.962B,-2.971B,,3.908B,5.206B,9.114B,91.00M,,91.00M,-1.00M,,-1.00M,-739.00M,-12.00M,-751.00M,,2.535B,,7.323B,633.00M,7.956B,,90.00M,10.14B,-1.031B,,,,Restated
2008-03,,,,,,,,,,,1.138B,,,,-70.00M,621.00M,-1.289B,-5.563B,,-7.429B,3.483B,-3.946B,242.00M,,242.00M,492.00M,,492.00M,-734.00M,-15.00M,-749.00M,,2.864B,,8.884B,-1.561B,7.323B,,734.00M,4.785B,-8.731B,,,,Restated
2007-12,862.00M,,,,,,,,1.776B,,584.00M,,,,-38.00M,-2.769B,-5.057B,-7.864B,,-1.928B,3.502B,1.574B,,,53.00M,,,,,,-705.00M,,9.619B,,6.846B,2.339B,9.185B,,,1.318B,-3.246B,,,,
2007-09,1.176B,,,,,,,,-133.00M,,1.043B,,,,0.00,-576.00M,-3.233B,-3.809B,,-905.00M,1.649B,744.00M,,,-133.00M,,,,,,-707.00M,,2.95B,,6.662B,184.00M,6.846B,,,8.443B,-9.348B,,,,
2007-06,1.156B,,,,,,,,-708.00M,,448.00M,,,,-13.00M,269.00M,-828.00M,-572.00M,,1.34B,-1.356B,-16.00M,,,-486.00M,,,,,,-712.00M,,428.00M,,6.358B,304.00M,6.662B,,,2.856B,-1.516B,,,,
2007-03,1.13B,,,,,,,,-603.00M,,527.00M,,,,-60.00M,-394.00M,-2.307B,-2.761B,,7.052B,1.576B,8.628B,,,-990.00M,,,,,,-721.00M,,-213.00M,,8.805B,-2.447B,6.358B,,,9.778B,-2.726B,,,,
2006-12,1.194B,,,,,,,,-295.00M,,713.00M,,,,-13.00M,161.00M,-881.00M,-733.00M,,-3.141B,2.15B,-991.00M,,,-21.00M,,,0.00,,,-598.00M,,2.311B,,6.514B,2.291B,8.805B,,,876.00M,-4.017B,,,,
2006-09,1.203B,,,,,,,,1.389B,,2.592B,,,,-141.00M,-571.00M,-2.497B,-3.209B,,-878.00M,4.092B,3.214B,,,-722.00M,,,0.00,,,-606.00M,,-437.00M,,7.568B,-1.054B,6.514B,,,5.841B,-6.719B,,,,
2006-06,1.201B,,,,,,,,-891.00M,,310.00M,,,,-3.00M,245.00M,-3.051B,-2.809B,,2.729B,-81.00M,2.648B,,,-165.00M,,,0.00,,,-589.00M,,2.869B,,7.198B,370.00M,7.568B,,,3.492B,-763.00M,,,,
2006-03,1.153B,,,,,,,,661.00M,,1.814B,,,,-443.00M,-462.00M,-1.193B,-2.098B,,2.425B,451.00M,2.876B,,,-980.00M,,,948.00M,,,-599.00M,,-720.00M,,8.202B,-1.004B,7.198B,,,4.046B,-1.621B,,,,
2005-12,1.143B,,,,,,,,-702.00M,,513.00M,,134.00M,134.00M,,1.448B,-1.188B,-614.00M,,917.00M,-2.861B,-1.944B,,,-125.00M,,,,,,-585.00M,,1.26B,,7.043B,1.159B,8.202B,,,4.517B,-3.60B,,,,
2005-09,1.154B,,,,,,,,-68.00M,,1.086B,,-46.00M,-46.00M,,341.00M,-3.279B,-2.984B,,1.668B,2.627B,4.295B,,,-363.00M,,,,,,-549.00M,,2.355B,,6.586B,457.00M,7.043B,,,4.444B,-2.776B,,,,
2005-06,1.121B,,,,,,,,-179.00M,,942.00M,,-88.00M,-88.00M,,1.641B,-5.746B,-4.193B,,-3.43B,6.161B,2.731B,,,-448.00M,,,,,,-553.00M,,3.835B,,6.002B,584.00M,6.586B,,,1.014B,-4.444B,,,,
2005-03,1.071B,,,,,,,,-200.00M,,871.00M,,,,,-1.275B,-2.707B,-3.982B,,3.516B,1.189B,4.705B,,,-548.00M,,,,,,-558.00M,,2.576B,,6.537B,-535.00M,6.002B,,,5.544B,-2.028B,,,,
2004-12,1.056B,,,,,,,,-1.06B,,968.00M,,-63.00M,-63.00M,-20.00M,-1.532B,-1.506B,-3.121B,,-3.195B,436.00M,-2.759B,,,-407.00M,,,,,,-450.00M,,1.559B,,7.13B,-594.00M,6.537B,,,-24.36B,21.16B,,,,
2004-09,1.066B,,,,,,,,603.80M,,1.670B,,-65.70M,-65.70M,-0.40M,-2.30M,-2.153B,-2.221B,,4.224B,1.055B,5.280B,,,-395.20M,,,,,,-452.00M,,72.30M,,7.609B,-479.20M,7.13B,,,6.223B,-1.999B,,,,
2004-06,1.037B,,,,,,,,311.10M,,1.348B,,-32.20M,-32.20M,-301.60M,3.991B,-3.198B,459.70M,,430.80M,-1.839B,-1.408B,,,-541.90M,,,,,,-456.70M,,-1.443B,,7.245B,364.80M,7.609B,,,1.50B,-1.069B,,,,
2004-03,1.008B,,,,,,,,231.10M,,1.240B,,-31.10M,-31.10M,,-1.604B,-1.998B,-3.634B,,-439.20M,2.582B,2.142B,,,-734.90M,,,,,,-462.30M,,856.60M,,8.782B,-1.538B,7.245B,,,3.951B,-4.390B,,,,
2003-12,977.00M,,,,,,,,-445.60M,,4.147B,,-66.30M,-66.30M,,-8.556B,1.522B,-7.100B,,-587.90M,-1.188B,-1.776B,,,-106.90M,,,,,,-395.10M,350.00M,2.012B,,9.723B,-941.00M,8.782B,,,3.018B,-3.606B,,,,
2003-09,956.50M,,,,,,,,37.50M,,994.00M,,-48.60M,-48.60M,,-900.70M,384.10M,-565.20M,,786.60M,5.477B,6.264B,,,52.30M,,,,,,-394.50M,-350.00M,-5.713B,,15.01B,-5.284B,9.723B,,,1.001B,-214.10M,,,,
2003-06,887.90M,,,,,,,,261.50M,,1.149B,,-518.30M,-518.30M,,-1.516B,-3.907B,-5.941B,,-1.184B,811.00M,-372.60M,,,94.90M,,,,,,-393.40M,,10.44B,,9.364B,5.644B,15.01B,,,2.75B,-3.934B,,,,
2003-03,911.20M,,,,,,,,1.480B,,2.392B,,-36.90M,-36.90M,,-4.632B,-1.150B,-5.819B,,3.484B,-1.231B,2.254B,,,31.80M,,,,,,-373.80M,,1.599B,,11.19B,-1.828B,9.364B,,,4.699B,-1.214B,,,,
2002-12,849.80M,,,,,,,,-2.860B,,-1.143B,,-71.40M,-71.40M,1.432B,164.50M,-29.80M,1.495B,,-3.092B,307.20M,-2.785B,,,25.00M,,,,,,-373.70M,,1.651B,,9.190B,2.003B,11.19B,,,29.20M,-3.121B,,,,
2002-09,860.30M,,,,,,,,23.80M,,884.10M,,-243.30M,-243.30M,-62.70M,-23.58B,24.95B,1.063B,,-1.748B,-1.657B,-3.406B,,,4.80M,,,,,,-373.20M,,-1.402B,,8.644B,545.20M,9.190B,,,1.107B,-2.855B,,,,
2002-06,823.10M,,,,,,,,513.30M,,1.336B,,-48.70M,-48.70M,,20.77B,-26.35B,-5.635B,,5.671B,-1.931B,3.740B,,,-53.80M,,,,,,-373.60M,,5.906B,,7.037B,1.608B,8.644B,,,7.15B,-1.479B,,,,
2002-03,756.00M,,,,,,,,1.953B,,2.709B,,-66.40M,-66.40M,,1.811B,-611.60M,1.133B,,1.453B,-4.026B,-2.573B,,,-869.40M,,,,,,-360.20M,,-6.550B,,9.745B,-2.708B,7.037B,,,2.365B,-912.20M,,,,
2001-12,695.40M,,,,,,,,-809.70M,,-142.60M,,-195.00M,-195.00M,-1.00M,-3.760B,3.035B,-920.50M,,-1.701B,2.056B,355.40M,,,-427.10M,,,,,,-365.70M,,2.476B,,8.332B,1.413B,9.745B,,,2.298B,-3.999B,,,,
2001-09,38.70M,,,,,,,,1.457B,,1.496B,,-36.60M,-36.60M,-740.40M,-1.37B,1.350B,-797.20M,,2.815B,902.10M,3.717B,,,48.00M,,,,,,-357.80M,,-443.50M,,8.078B,254.80M,8.332B,,,5.479B,-2.664B,,,,
