,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,NetForeignCurrencyExchangeGain/Loss,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),NetOtherInvestingChanges,CashfromInvesting,,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromFinancing,,EndingCash(Quarterly),BeginningCash,CashForeignExchangeAdjustment,EndingCash,,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,SECFilingLinks,AsOriginallyReported,Restated
2018-03,-200.60M,-8.70M,,,,-8.70M,,,32.80M,32.80M,56.90M,,,6.40M,,-6.60M,3.80M,-50.60M,7.30M,,,85.80M,,-33.70M,,2018-03,-43.40M,,,9.00M,-2.60M,-36.00M,,2018-03,129.60M,,129.60M,,-311.70M,-311.70M,-27.80M,-27.80M,-216.20M,,2018-03,594.00M,18.80M,326.90M,,2018-03,,129.60M,,19.30M,37.60M,,2018-03,AOR,Restated
2017-12,-33.50M,60.20M,,,,60.20M,,,34.90M,34.90M,-39.70M,,,6.20M,,17.80M,6.10M,45.10M,18.90M,,,48.00M,,91.90M,,2017-12,-57.30M,,,35.90M,,-90.80M,,2017-12,21.50M,,-72.20M,,-522.90M,-522.90M,-27.30M,-27.30M,-644.50M,,2017-12,1.332B,-94.50M,594.00M,,2017-12,,0.00,21.50M,35.10M,54.30M,,2017-12,AOR,Restated
2017-09,787.40M,-699.10M,,,,-699.10M,,,31.90M,31.90M,37.70M,,,15.70M,,26.80M,-29.20M,-17.70M,-10.20M,,,-15.60M,,191.20M,,2017-09,-33.30M,,,2.004B,,1.959B,,2017-09,-643.20M,,-643.20M,,-452.40M,-452.40M,-30.60M,-30.60M,-1.109B,,2017-09,297.90M,-6.80M,1.332B,,2017-09,,-252.20M,-391.00M,34.00M,49.50M,,2017-09,AOR,Restated
2017-06,104.20M,0.00,,,,0.00,,,29.70M,29.70M,10.80M,,,14.10M,,10.50M,-55.00M,-18.50M,89.30M,,,-43.10M,,124.10M,,2017-06,-42.80M,,,-2.20M,-0.10M,-26.50M,,2017-06,242.00M,,242.00M,,-305.30M,-305.30M,-30.40M,-30.40M,-91.60M,,2017-06,312.50M,-20.60M,297.90M,,2017-06,,242.00M,,46.40M,59.00M,,2017-06,AOR,Restated
2017-03,-43.20M,-2.30M,,,,-2.30M,,,52.80M,52.80M,112.20M,,,8.90M,,9.10M,-3.30M,-64.30M,56.10M,,,-124.50M,,17.20M,,2017-03,-50.40M,,,2.30M,0.10M,-55.30M,,2017-03,10.20M,,10.20M,,-21.50M,-21.50M,-31.40M,-31.40M,-44.50M,,2017-03,386.60M,8.50M,312.50M,,2017-03,,10.20M,,46.20M,48.00M,,2017-03,AOR,Restated
2016-12,171.10M,0.00,,-52.30M,,-52.30M,,,52.80M,52.80M,-64.10M,,,15.30M,,30.40M,24.60M,83.40M,87.50M,,,285.60M,,438.50M,,2016-12,-85.50M,4.90M,4.90M,-0.60M,,-84.10M,,2016-12,-99.80M,,-254.00M,,-8.00M,-8.00M,-31.50M,-31.50M,-295.00M,,2016-12,294.00M,-23.30M,386.60M,,2016-12,,-85.50M,-14.30M,32.30M,57.70M,,2016-12,AOR,Restated
2016-09,163.30M,0.00,,-1.40M,,-1.40M,,,54.60M,54.60M,-6.10M,,,14.60M,,18.50M,25.40M,-17.60M,50.20M,,,34.10M,,281.50M,,2016-09,-76.70M,,,-5.60M,,-94.10M,,2016-09,37.70M,,37.70M,,-165.40M,-165.40M,-33.10M,-33.10M,-153.50M,,2016-09,259.70M,0.40M,294.00M,,2016-09,,50.50M,-12.80M,33.60M,49.40M,,2016-09,AOR,Restated
2016-06,49.60M,-0.60M,,47.10M,,46.50M,,,57.50M,57.50M,19.90M,,,20.30M,,12.10M,-61.60M,-17.80M,51.30M,,,-36.20M,,172.20M,,2016-06,-61.70M,-1.30M,-1.30M,4.00M,,-67.90M,,2016-06,-71.80M,,-71.80M,,-20.00M,-20.00M,-30.80M,-30.80M,-122.10M,,2016-06,282.90M,-5.40M,259.70M,,2016-06,,-71.80M,,30.30M,59.10M,,2016-06,AOR,Restated
2016-03,102.40M,2.50M,,1.70M,,4.20M,,,49.10M,49.10M,-11.40M,,,9.70M,,10.50M,-22.30M,-65.10M,39.00M,,,-154.40M,,14.70M,,2016-03,-51.80M,1.30M,1.30M,4.20M,,-68.70M,,2016-03,106.80M,,106.80M,,-54.30M,-54.30M,-26.20M,-26.20M,26.10M,,2016-03,321.70M,-10.90M,282.90M,,2016-03,,106.80M,,29.60M,48.90M,,2016-03,AOR,Restated
2015-12,123.50M,11.00M,3.60M,12.20M,,26.10M,,,51.30M,51.30M,-22.70M,,,12.10M,-46.20M,-3.80M,83.70M,89.00M,-38.20M,,,143.30M,,281.20M,,2015-12,-71.70M,0.50M,0.50M,16.50M,,-52.20M,,2015-12,-185.40M,,-74.20M,,-116.90M,-116.90M,-25.60M,-25.60M,-148.40M,,2015-12,283.80M,-5.00M,321.70M,,2015-12,,598.20M,-783.60M,180.40M,398.80M,,2015-12,AOR,Restated
2015-09,86.60M,0.20M,0.00,1.00M,,0.60M,,,52.80M,52.80M,-5.30M,,,15.90M,,15.70M,0.90M,-28.20M,12.20M,,,74.20M,,244.80M,,2015-09,-54.70M,6.00M,6.00M,-16.50M,,-83.30M,,2015-09,187.20M,,187.20M,,-537.30M,-537.30M,-26.40M,-26.40M,-375.10M,,2015-09,518.50M,-21.10M,283.80M,,2015-09,,187.20M,,-26.00M,-37.70M,,2015-09,AOR,Restated
2015-06,28.10M,-35.80M,-0.30M,30.50M,,105.20M,,,54.40M,54.40M,-10.60M,,,14.90M,0.00,6.20M,-56.40M,-15.30M,32.40M,,,-65.60M,,131.00M,,2015-06,-36.90M,1.00M,1.00M,75.60M,,47.30M,,2015-06,108.70M,,108.70M,,-81.70M,-81.70M,-27.30M,-27.30M,-109.00M,,2015-06,486.00M,-36.80M,518.50M,,2015-06,,69.60M,39.10M,-76.60M,-190.10M,,2015-06,AOR,Restated
2015-03,97.20M,0.00,-3.30M,-0.80M,,-3.60M,,,54.80M,54.80M,16.00M,,,18.30M,0.00,9.70M,8.50M,-83.80M,310.20M,,,127.40M,,325.10M,,2015-03,-20.70M,25.40M,25.40M,-8.50M,,28.20M,,2015-03,-39.10M,,-39.10M,,-75.40M,-75.40M,-27.50M,-27.50M,-156.20M,,2015-03,286.40M,2.50M,486.00M,,2015-03,,,-39.10M,23.80M,58.70M,,2015-03,AOR,Restated
2014-12,66.30M,,3.50M,1.50M,,89.00M,,,61.70M,61.70M,146.00M,,-3.40M,17.30M,,3.90M,-179.90M,73.10M,-19.00M,28.50M,4.80M,-98.60M,,246.00M,,2014-12,-60.10M,7.40M,7.40M,0.00,,-46.70M,,2014-12,-253.80M,79.10M,-174.70M,,-50.10M,-50.10M,-27.00M,-27.00M,-321.90M,,2014-12,420.70M,-9.40M,278.70M,,2014-12,,2.049B,-2.303B,19.30M,49.80M,,2014-12,AOR,Restated
2014-09,60.80M,0.00,-2.90M,4.40M,,19.20M,,,66.90M,66.90M,-6.10M,,3.00M,10.40M,,28.50M,-6.40M,-24.00M,90.10M,-3.50M,45.70M,101.90M,,291.00M,,2014-09,-38.70M,7.50M,7.50M,-3.60M,,-31.50M,,2014-09,-140.70M,,-140.70M,,-4.10M,-4.10M,-27.90M,-27.90M,-172.80M,,2014-09,356.50M,-22.50M,420.70M,,2014-09,,-128.40M,-12.30M,24.60M,97.50M,,2014-09,AOR,Restated
2014-06,60.10M,0.00,0.10M,14.50M,,15.00M,,,69.80M,69.80M,7.90M,,10.10M,11.90M,,8.40M,-44.80M,-7.30M,15.60M,-3.90M,30.40M,-10.00M,,176.70M,,2014-06,-26.70M,-0.20M,-0.20M,0.00,,-21.10M,,2014-06,562.60M,-603.40M,-40.80M,,-130.20M,-130.20M,-27.60M,-27.60M,-198.50M,,2014-06,413.10M,-13.70M,356.50M,,2014-06,,362.20M,200.40M,26.50M,44.00M,,2014-06,AOR,Restated
2014-03,70.90M,,0.10M,,,0.50M,,,68.30M,68.30M,-1.60M,,,14.50M,,-10.80M,-11.30M,-90.50M,-876.30M,-21.10M,-80.90M,-1.080B,,-932.50M,,2014-03,-28.40M,1.40M,1.40M,0.00,,-27.00M,,2014-03,-200.40M,603.40M,403.00M,,-2.60M,-2.60M,-28.40M,-28.40M,372.00M,,2014-03,992.40M,8.20M,413.10M,,2014-03,,0.00,-200.40M,14.70M,519.10M,,2014-03,AOR,Restated
2013-12,5.20M,,-0.20M,,,16.80M,,,69.80M,69.80M,52.30M,,0.00,3.70M,,25.30M,47.70M,129.60M,0.10M,40.50M,-5.10M,197.90M,-1.80M,368.60M,,2013-12,-36.40M,5.80M,5.80M,0.50M,-0.30M,82.10M,,2013-12,-202.20M,9.80M,-192.40M,,3.90M,3.90M,-25.60M,-25.60M,-218.10M,,2013-12,776.70M,-16.90M,992.40M,,2013-12,,0.00,-202.20M,37.60M,35.70M,,2013-12,AOR,Restated
2013-09,35.10M,,-0.60M,,-4.80M,-5.40M,,,67.20M,67.20M,-6.10M,,2.10M,5.50M,,12.40M,39.40M,7.30M,-28.00M,22.20M,56.90M,97.80M,5.80M,215.80M,,2013-09,-28.80M,-1.40M,-1.40M,-1.50M,0.00,-31.70M,,2013-09,-0.40M,1.70M,1.30M,,0.00,0.00,-25.50M,-25.50M,-24.20M,,2013-09,640.10M,-23.30M,776.70M,,2013-09,,0.10M,-0.50M,20.70M,112.40M,,2013-09,AOR,Restated
2013-06,54.30M,,-0.40M,,4.60M,4.30M,,,74.50M,74.50M,-3.60M,,0.00,7.30M,,15.50M,-78.70M,-35.30M,0.80M,-0.70M,53.20M,-60.70M,3.90M,101.70M,,2013-06,-25.30M,5.90M,5.90M,,0.30M,-19.20M,,2013-06,-27.60M,4.00M,-23.60M,,0.00,0.00,-25.50M,-25.50M,-48.60M,,2013-06,625.80M,-19.60M,640.10M,,2013-06,,0.00,-27.60M,25.30M,31.70M,,2013-06,AOR,Restated
2013-03,0.70M,,-0.20M,,0.20M,32.30M,,,71.90M,71.90M,-38.80M,,,7.60M,,14.60M,4.60M,-79.60M,111.60M,-62.00M,-105.00M,-130.40M,-1.50M,-39.30M,,2013-03,-25.50M,1.30M,1.30M,,,-24.50M,,2013-03,-10.70M,37.70M,27.00M,,-3.90M,-3.90M,-25.40M,-25.40M,-29.00M,,2013-03,679.60M,39.00M,625.80M,,2013-03,,425.00M,-435.70M,31.20M,109.90M,,2013-03,AOR,Restated
2012-12,-351.70M,,1.20M,,,38.10M,,,69.30M,69.30M,-199.50M,,555.70M,0.00,0.40M,7.60M,41.20M,124.20M,-21.20M,39.90M,16.20M,200.30M,-13.20M,316.30M,,2012-12,-25.00M,6.40M,6.40M,2.60M,-1.80M,295.10M,,2012-12,-389.80M,7.20M,-382.60M,,-0.20M,-0.20M,-25.20M,-25.20M,-470.00M,,2012-12,540.80M,-2.60M,679.60M,,2012-12,,1.288B,-1.678B,16.20M,44.80M,,2012-12,AOR,Restated
2012-09,-1.238B,,-0.60M,,,-0.60M,,,75.70M,75.70M,-88.20M,,1.334B,6.40M,0.10M,9.70M,-35.60M,8.50M,-27.30M,27.00M,43.10M,15.70M,6.80M,133.20M,,2012-09,-31.40M,0.80M,0.80M,-2.60M,3.60M,-29.00M,,2012-09,-11.30M,-17.10M,-28.40M,,-0.10M,-0.10M,-25.30M,-25.30M,-55.70M,,2012-09,491.20M,1.10M,540.80M,,2012-09,,18.50M,-29.80M,30.70M,122.50M,,2012-09,AOR,Restated
2012-06,-20.60M,,-0.10M,,,-0.10M,,,75.20M,75.20M,-17.50M,,25.80M,6.00M,-0.10M,11.00M,-95.30M,-17.80M,11.40M,-2.50M,52.60M,-51.60M,5.10M,36.60M,,2012-06,-35.00M,0.20M,0.20M,,-3.50M,-41.90M,,2012-06,-31.60M,17.10M,-14.50M,,0.70M,0.70M,-25.20M,-25.20M,-38.40M,,2012-06,526.20M,8.70M,491.20M,,2012-06,,-0.10M,-31.50M,36.70M,40.60M,,2012-06,AOR,Restated
2012-03,-8.40M,,-0.20M,,,-0.20M,,,80.00M,80.00M,-14.10M,,,4.50M,-0.80M,13.10M,63.90M,-79.70M,-1.50M,-54.20M,-103.80M,-175.30M,4.10M,-89.10M,,2012-03,-31.40M,0.40M,0.40M,,1.80M,-27.00M,,2012-03,-27.20M,0.00,-27.20M,,-10.00M,-10.00M,-25.20M,-25.20M,-65.20M,,2012-03,703.60M,3.90M,526.20M,,2012-03,,0.10M,-27.30M,25.00M,115.10M,,2012-03,AOR,Restated
2011-12,-65.70M,,-3.90M,,6.30M,2.40M,,,73.10M,73.10M,-50.00M,-0.50M,0.00,-6.70M,0.20M,48.90M,-80.10M,79.50M,-39.00M,,58.20M,65.40M,16.30M,102.40M,,2011-12,-43.60M,5.40M,5.40M,-2.247B,-9.50M,-2.306B,,2011-12,1.862B,-6.10M,1.856B,,0.60M,0.60M,-25.00M,-25.00M,2.108B,,2011-12,800.30M,-1.50M,703.60M,,2011-12,,3.661B,-1.798B,105.60M,134.80M,,2011-12,AOR,Restated
2011-09,198.40M,,-2.20M,,-6.30M,-8.50M,,,36.70M,36.70M,-14.00M,0.20M,0.00,13.80M,0.00,-97.50M,-12.70M,-1.60M,-12.10M,,59.90M,33.20M,0.00,156.90M,,2011-09,-31.60M,4.40M,4.40M,0.00,0.60M,-26.60M,,2011-09,-0.10M,12.80M,12.70M,,0.00,0.00,-20.80M,-20.80M,-13.40M,,2011-09,705.00M,-21.60M,800.30M,,2011-09,,0.40M,12.30M,-54.80M,-53.00M,,2011-09,AOR,Restated
2011-06,,,-0.10M,,,-0.10M,,,36.90M,36.90M,0.60M,0.10M,0.00,7.40M,-0.20M,74.00M,-30.80M,-37.70M,-3.50M,,11.70M,-68.30M,,52.90M,,2011-06,-27.00M,0.30M,0.30M,0.00,0.50M,-26.20M,,2011-06,-2.90M,0.60M,-2.30M,,-0.80M,-0.80M,-20.80M,-20.80M,-23.70M,,2011-06,696.00M,6.00M,705.00M,,2011-06,,0.60M,-2.90M,29.60M,16.90M,,2011-06,AOR,Restated
2011-03,,,-0.10M,,,-0.10M,,,36.00M,36.00M,2.50M,0.20M,,10.50M,-2.60M,63.00M,21.60M,-51.60M,26.50M,,-39.50M,-43.90M,,67.20M,,2011-03,-19.50M,0.30M,0.30M,,0.60M,-18.60M,,2011-03,-1.80M,-14.30M,-16.10M,,-12.00M,-12.00M,-20.80M,-20.80M,-47.30M,,2011-03,675.60M,19.10M,696.00M,,2011-03,,0.40M,-16.50M,25.20M,36.10M,,2011-03,AOR,Restated
2010-12,255.90M,,-0.40M,,-3.50M,34.60M,,,40.70M,40.70M,7.70M,-1.30M,0.00,8.60M,0.00,-187.10M,-7.50M,43.00M,-33.50M,,,32.30M,,193.90M,,2010-12,-26.90M,1.10M,1.10M,-16.50M,-10.30M,-40.00M,,2010-12,-196.60M,3.60M,-193.00M,,-9.80M,-9.80M,-20.70M,-20.70M,-224.50M,,2010-12,761.80M,-15.60M,675.60M,,2010-12,,0.00,-188.60M,23.00M,22.60M,,2010-12,AOR,Restated
2010-09,,,0.00,0.00,-2.00M,-2.00M,,,37.40M,37.40M,-12.80M,0.50M,,8.50M,0.00,77.70M,-20.90M,-6.30M,-3.70M,,,-8.70M,,102.40M,,2010-09,-20.10M,0.60M,0.60M,0.00,6.70M,-13.90M,,2010-09,-4.30M,4.10M,-0.20M,,0.00,0.00,-20.70M,-20.70M,-22.90M,,2010-09,662.20M,34.00M,761.80M,,2010-09,,0.00,-0.20M,26.90M,45.20M,,2010-09,AOR,Restated
2010-06,-61.20M,,0.00,,-0.40M,-0.40M,,,37.00M,37.00M,6.90M,0.30M,-0.70M,6.00M,0.00,128.50M,-31.60M,-22.80M,26.50M,,,-15.30M,,103.50M,,2010-06,-25.20M,0.10M,15.50M,-7.60M,0.40M,-31.20M,,2010-06,-4.20M,2.00M,-2.20M,,0.00,0.00,-19.20M,-19.20M,-21.40M,,2010-06,627.50M,-16.20M,662.20M,,2010-06,,0.00,-2.20M,23.70M,16.20M,,2010-06,AOR,Restated
2010-03,61.20M,,-0.40M,,,-0.40M,,,39.60M,39.60M,-5.10M,0.50M,0.70M,7.50M,0.00,0.60M,26.10M,-33.30M,29.70M,,,-23.10M,,83.30M,,2010-03,-15.40M,2.40M,-13.00M,,1.20M,-11.80M,,2010-03,-71.00M,-14.10M,-85.10M,,0.00,0.00,-19.10M,-19.10M,-104.20M,,2010-03,694.50M,-34.30M,627.50M,,2010-03,,0.00,-85.10M,13.00M,44.70M,,2010-03,AOR,Restated
2009-12,65.10M,,-1.30M,,,-1.10M,,,40.70M,40.70M,4.10M,-0.50M,0.80M,17.40M,,2.90M,17.20M,40.90M,-1.80M,11.90M,-4.30M,63.90M,,193.30M,,2009-12,-20.10M,5.10M,-15.00M,0.70M,1.30M,-13.00M,,2009-12,54.40M,-0.70M,53.70M,,,,-18.60M,-18.60M,42.10M,,2009-12,487.10M,-15.00M,694.50M,,2009-12,,62.80M,-9.10M,24.20M,15.70M,,2009-12,AOR,Restated
2009-09,60.60M,,0.00,,,0.00,,,39.20M,39.20M,-11.10M,1.10M,3.20M,7.70M,,5.20M,4.60M,26.30M,12.20M,2.50M,13.30M,58.90M,,164.80M,,2009-09,-16.10M,0.20M,-15.90M,0.00,2.40M,-13.50M,,2009-09,-434.10M,-18.10M,-452.20M,,,,-19.10M,-19.10M,-471.30M,,2009-09,789.20M,17.90M,487.10M,,2009-09,,-8.30M,-443.90M,17.60M,47.90M,,2009-09,AOR,Restated
2009-06,60.50M,,-0.80M,,,-0.80M,,,36.40M,36.40M,-5.80M,-0.10M,,7.40M,,0.60M,-3.20M,48.30M,-29.10M,-8.20M,31.70M,39.50M,,137.70M,,2009-06,-19.70M,0.20M,-19.50M,-0.70M,0.30M,-19.90M,,2009-06,254.90M,10.80M,265.70M,,,,-19.00M,-19.00M,239.70M,,2009-06,426.20M,5.50M,789.20M,,2009-06,,413.00M,-147.30M,72.50M,37.30M,,2009-06,AOR,Restated
2009-03,58.10M,,-0.90M,,,-0.90M,,,38.20M,38.20M,-3.80M,0.50M,0.00,6.30M,,8.10M,16.60M,-5.80M,-49.70M,3.40M,-14.80M,-50.30M,,56.20M,,2009-03,-24.40M,1.70M,-22.70M,,-1.20M,-23.90M,,2009-03,299.10M,-0.30M,298.80M,,,,-19.00M,-19.00M,279.80M,,2009-03,128.90M,-14.80M,426.20M,,2009-03,,299.10M,-0.30M,,,,2009-03,AOR,Restated
2008-12,47.30M,,0.30M,,,0.30M,,,24.40M,24.40M,-36.90M,0.30M,20.30M,,,12.30M,-64.90M,26.50M,0.10M,-7.70M,31.40M,-6.20M,,78.30M,,2008-12,-38.80M,0.30M,-38.50M,0.00,0.80M,-37.70M,,2008-12,-175.90M,-1.80M,-177.70M,,0.00,0.00,-19.00M,-19.00M,-196.70M,,2008-12,274.40M,10.60M,128.90M,,2008-12,,-84.80M,-92.90M,14.50M,17.20M,,2008-12,,Restated
2008-09,9.20M,,-0.70M,,,-0.70M,,,42.90M,42.90M,6.30M,0.40M,3.70M,,,-6.70M,-5.70M,-13.40M,-21.90M,-11.30M,77.60M,25.30M,,91.30M,,2008-09,-46.20M,3.60M,-42.60M,0.00,2.30M,-40.30M,,2008-09,8.50M,-8.40M,0.10M,,-10.40M,-10.40M,-18.90M,-18.90M,-29.20M,,2008-09,267.00M,-14.40M,274.40M,,2008-09,,-91.50M,91.60M,17.00M,27.50M,,2008-09,,Restated
2008-06,62.60M,,-0.20M,,,-0.20M,,,43.00M,43.00M,2.80M,0.50M,10.00M,,,10.50M,83.40M,-9.60M,-8.80M,-29.10M,48.50M,84.40M,,203.10M,,2008-06,-55.20M,-0.10M,-55.30M,-2.90M,0.50M,-57.70M,,2008-06,-228.30M,6.90M,-221.40M,,-57.60M,-57.60M,-19.10M,-19.10M,-298.10M,,2008-06,430.90M,-11.20M,267.00M,,2008-06,,173.00M,-394.40M,44.70M,25.30M,,2008-06,,Restated
2008-03,60.80M,,0.00,,,0.00,,,44.70M,44.70M,-11.70M,0.40M,,,,0.40M,26.90M,-34.60M,1.80M,8.10M,-64.70M,-62.50M,,31.70M,,2008-03,-40.50M,0.10M,-40.40M,,-0.60M,-41.00M,,2008-03,-0.90M,8.50M,7.60M,,-27.10M,-27.10M,-19.40M,-19.40M,-38.90M,,2008-03,430.30M,48.80M,430.90M,,2008-03,,8.50M,-0.90M,14.50M,25.10M,,2008-03,,Restated
2007-12,79.70M,,,,,6.60M,42.90M,0.60M,43.50M,43.50M,-25.20M,,,,,,10.00M,26.20M,2.20M,0.50M,28.00M,50.00M,,154.60M,,2007-12,-96.30M,0.50M,-95.80M,-0.20M,4.10M,-91.80M,,2007-12,,,0.80M,0.00,0.00,0.00,,-16.20M,-15.40M,,2007-12,374.50M,8.40M,430.30M,,2007-12,0.00,,,,,,2007-12,,
