,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,IncomeStatementDepreciation,RentandLandingExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2003-01,12.47B,12.47B,9.148B,3.322B,,2.396B,,,0.00,,,,2.663B,659.00M,,,0.00,,519.00M,195.00M,324.00M,,0.00,,324.00M,324.00M,926.00M,267.00M,659.00M,,0.21,0.00,0.00,-0.0000,0.21,0.21,,0.20,0.00,-0.0001,-0.0000,0.20,0.20,,1.528B,1.546B,0.00,,,
2002-10,11.70B,11.70B,8.485B,3.211B,,2.42B,,,,,,,2.669B,542.00M,,,,,408.00M,153.00M,255.00M,,,,255.00M,255.00M,792.00M,250.00M,542.00M,,0.165,0.00,,,0.165,0.165,,0.165,0.00,,,0.165,0.165,,1.54B,1.558B,0.00,,,
2002-07,11.93B,11.93B,8.738B,3.189B,,2.367B,,,-1.00M,,,,2.614B,575.00M,,,-1.00M,,437.00M,164.00M,273.00M,,,,264.00M,273.62M,822.00M,247.00M,575.00M,,0.175,-0.005,,-0.0057,0.1754,0.17,,0.17,-0.005,,-0.0057,0.1704,0.165,,1.572B,1.60B,0.00,,,
2002-04,15.67B,15.67B,11.44B,4.229B,,3.092B,,,-15.00M,,,,3.415B,814.00M,,,-15.00M,,610.00M,229.00M,381.00M,,-16.00M,,362.00M,390.37M,1.137B,323.00M,814.00M,,0.24,-0.01,0.00,-0.0019,0.2459,0.23,,0.235,-0.01,-0.0101,-0.0019,0.2408,0.225,,1.586B,1.618B,0.00,,,
2002-01,12.13B,12.13B,8.769B,3.36B,,2.355B,,,-36.00M,,,0.00,2.611B,749.00M,,,-36.00M,,571.00M,220.00M,351.00M,,,,351.00M,373.13M,1.005B,256.00M,749.00M,,0.20,0.00,,,0.2126,0.20,,0.20,0.00,,,0.2126,0.20,,1.758B,1.758B,0.00,,,
2001-10,11.38B,11.38B,8.265B,3.117B,,2.399B,,,-92.00M,,,91.00M,2.744B,373.00M,,,-92.00M,,223.00M,90.00M,133.00M,,,,133.00M,188.20M,627.00M,254.00M,373.00M,,0.085,0.00,,,0.1195,0.085,,0.08,0.00,,,0.1136,0.08,,1.602B,1.642B,0.00,,,
2001-07,11.48B,11.48B,8.331B,3.154B,,2.335B,,,-2.00M,,,,2.581B,573.00M,,,-2.00M,,419.00M,163.00M,256.00M,,,,256.00M,257.22M,820.00M,247.00M,573.00M,,0.16,0.00,,,0.1608,0.16,,0.155,0.00,,,0.1557,0.155,,1.61B,1.654B,0.00,,,
2001-04,15.10B,15.10B,11.04B,4.067B,,3.042B,,,-2.00M,,,,3.361B,706.00M,,,-2.00M,,498.00M,194.00M,304.00M,,,,304.00M,305.22M,1.025B,319.00M,706.00M,,0.185,0.00,,,0.1858,0.185,,0.18,0.00,,,0.1807,0.18,,1.624B,1.666B,0.00,,,
2001-01,12.69B,12.69B,9.201B,3.491B,,2.477B,,,-2.00M,,,,2.71B,781.00M,,,-2.00M,,612.00M,255.00M,357.00M,,,,357.00M,358.20M,1.014B,233.00M,781.00M,,0.215,0.00,,-0.0000,0.2157,0.215,,0.21,0.00,,-0.0000,0.2107,0.21,,1.634B,1.68B,0.00,,,
2000-10,10.96B,10.96B,8.05B,2.912B,,2.181B,,,-2.00M,,,,2.415B,497.00M,,,-2.00M,,349.00M,146.00M,203.00M,,,,201.00M,204.20M,731.00M,234.00M,497.00M,,0.125,0.00,,-0.0012,0.1257,0.125,,0.12,0.00,,-0.0012,0.1207,0.12,,1.642B,1.69B,0.00,,,
2000-07,11.02B,11.02B,8.053B,2.964B,,2.198B,,,-2.00M,,,,2.432B,532.00M,,,-2.00M,,375.00M,157.00M,218.00M,,,,216.00M,219.20M,766.00M,234.00M,532.00M,,0.13,0.00,,-0.0012,0.1307,0.13,,0.13,0.00,,-0.0012,0.1307,0.13,,1.648B,1.694B,0.00,,,
2000-04,14.33B,14.33B,10.50B,3.827B,,2.938B,,,-200.00M,,,,3.245B,582.00M,,,-200.00M,,176.00M,70.00M,106.00M,,,,106.00M,226.45M,889.00M,307.00M,582.00M,,0.065,0.00,,,0.1375,0.065,,0.06,0.00,,,0.1309,0.06,,1.662B,1.70B,0.00,,,
2000-01,11.24B,11.24B,8.158B,3.083B,,2.23B,,,-79.00M,,,,2.453B,630.00M,,,-79.00M,,409.00M,178.00M,231.00M,,,,231.00M,278.40M,853.00M,223.00M,630.00M,,0.14,0.00,,-0.0000,0.1687,0.14,,0.135,0.00,,-0.0000,0.1618,0.135,,1.649B,1.771B,0.00,,,
1999-10,10.33B,10.33B,7.762B,2.567B,,1.889B,,,-69.00M,,,,2.11B,457.00M,,,-69.00M,,240.00M,111.00M,129.00M,,,,129.00M,170.40M,683.00M,226.00M,457.00M,,0.075,0.00,,,0.0991,0.075,,0.075,0.00,,,0.0991,0.075,,1.72B,1.72B,0.00,,,
1999-07,10.29B,10.29B,7.59B,2.699B,,2.034B,,,-200.00M,,,,2.25B,449.00M,,,-200.00M,,106.00M,50.00M,56.00M,,,,46.00M,176.00M,665.00M,216.00M,449.00M,,0.035,-0.005,,-0.0060,0.1074,0.03,,0.03,-0.005,,-0.0060,0.0998,0.025,,1.658B,1.72B,0.00,,,
1999-04,13.49B,13.49B,9.962B,3.531B,,2.669B,,,-35.00M,,,,2.95B,581.00M,,,-35.00M,,347.00M,140.00M,207.00M,,,,207.00M,228.00M,862.00M,281.00M,581.00M,,0.125,0.00,,,0.1377,0.125,,0.12,0.00,,,0.1322,0.12,,1.654B,1.726B,0.00,,,
1998-12,11.20B,11.20B,8.278B,2.927B,,2.094B,,,-31.00M,,,,2.284B,643.00M,,,-31.00M,,456.00M,183.00M,273.00M,,,,244.00M,291.60M,833.00M,190.00M,643.00M,,0.2656,,,-0.0282,0.2837,0.2374,,0.2656,,,-0.0282,0.2837,0.2374,,1.028B,1.028B,0.00,,,
1998-09,11.50B,11.50B,8.552B,2.949B,,2.301B,,,,,,,2.524B,425.00M,,,,,255.00M,104.00M,151.00M,,,,144.00M,151.00M,648.00M,223.00M,425.00M,,0.09,-0.005,,-0.0068,0.09,0.085,,0.09,-0.005,,-0.0068,0.09,0.085,,1.012B,1.050B,0.00,,,
1998-06,9.947B,9.947B,7.394B,2.553B,,1.962B,,,-48.00M,,,,2.165B,388.00M,,,-48.00M,,185.00M,85.00M,100.00M,,,,99.00M,128.80M,715.00M,327.00M,388.00M,,0.06,0.00,,-0.0010,0.0880,0.06,,0.06,0.00,,-0.0010,0.0880,0.06,,1.03B,1.03B,0.00,,,
1998-03,6.389B,6.389B,4.953B,1.436B,,1.193B,,,,,,,1.289B,147.00M,,,,,83.00M,32.00M,51.00M,,,,47.00M,51.00M,243.00M,96.00M,147.00M,,0.05,-0.005,,-0.0038,0.05,0.045,,0.05,-0.005,,-0.0038,0.05,0.045,,1.044B,1.044B,0.00,,,
1997-12,13.87B,13.87B,10.38B,3.489B,,2.559B,,,,,,,2.854B,634.70M,,,,,470.00M,177.90M,292.10M,,,,177.10M,292.10M,930.00M,295.30M,634.70M,,0.2825,,,-0.1127,0.2825,0.1709,,0.11,-0.07,,-0.1127,0.11,0.04,,1.010B,1.047B,0.00,,,
1997-09,7.687B,7.687B,5.787B,1.900B,,1.541B,,,,,,,1.656B,243.50M,,,,,158.20M,61.70M,96.50M,,,,95.70M,96.50M,358.40M,114.90M,243.50M,,0.095,0.00,,-0.0008,0.095,0.095,,0.095,0.00,,-0.0008,0.095,0.095,,1.007B,1.007B,0.00,,,
1997-06,6.232B,6.232B,4.677B,1.554B,,1.217B,,,,,,,1.310B,244.10M,,,,,175.70M,67.60M,108.10M,,,,105.10M,108.10M,337.30M,93.20M,244.10M,,0.11,-0.005,,-0.0030,0.11,0.105,,0.105,-0.005,,-0.0030,0.105,0.10,,1.001B,1.051B,0.00,,,
1997-03,6.139B,6.139B,4.623B,1.516B,,1.208B,,,,,,,1.296B,219.80M,,,,,150.10M,57.80M,92.30M,,,,87.10M,92.30M,308.40M,88.60M,219.80M,,0.09,-0.005,,-0.0051,0.09,0.085,,0.09,-0.005,,-0.0051,0.09,0.085,,1.025B,1.025B,0.00,,,
1996-12,6.199B,6.199B,4.923B,1.276B,,922.00M,,,,,,,1.011B,264.80M,,,,,197.90M,72.40M,125.50M,,,,125.40M,125.50M,354.20M,89.40M,264.80M,,0.125,0.00,,-0.0001,0.125,0.125,,0.12,0.00,,-0.0001,0.12,0.12,,1.006B,1.046B,0.00,,,
1996-09,7.343B,7.343B,5.578B,1.765B,,1.450B,,,,,,,1.555B,209.50M,,,,,117.60M,45.30M,72.30M,,,,71.40M,72.30M,314.40M,104.90M,209.50M,,0.075,-0.005,,-0.0009,0.075,0.07,,0.07,-0.005,,-0.0009,0.07,0.065,,1.02B,1.098B,0.00,,,
1996-06,5.844B,5.844B,4.409B,1.435B,,1.154B,,,,,,,1.237B,198.00M,,,,,127.50M,49.10M,78.40M,,,,77.60M,78.40M,281.40M,83.40M,198.00M,,0.08,-0.005,,-0.0008,0.08,0.075,,0.075,-0.005,,-0.0008,0.075,0.07,,1.035B,1.109B,0.00,,,
1996-03,5.784B,5.784B,4.364B,1.420B,,1.146B,,,,,,,1.225B,195.10M,,,,,124.30M,47.80M,76.50M,,,,75.40M,76.50M,274.20M,79.10M,195.10M,,0.08,0.005,,-0.0012,0.08,0.085,,0.075,0.005,,-0.0012,0.075,0.08,,887.06M,942.50M,0.00,,,
1995-12,5.861B,5.861B,4.413B,1.447B,,1.130B,,,,,,,1.213B,233.90M,,,,,164.80M,55.50M,109.30M,,,,105.50M,109.30M,316.90M,83.00M,233.90M,,0.1062,-0.0012,,-0.0036,0.1062,0.105,,0.1025,-0.0012,,-0.0036,0.1025,0.1025,,1.035B,1.100B,0.00,,,
1995-09,6.959B,6.959B,5.281B,1.678B,,1.390B,,,,,,,1.483B,195.50M,,,,,102.00M,39.30M,62.70M,,,,61.20M,62.70M,288.00M,92.50M,195.50M,,0.065,-0.005,,-0.0015,0.065,0.06,,0.065,-0.005,,-0.0015,0.065,0.06,,1.02B,1.02B,0.00,,,
1995-06,5.653B,5.653B,4.264B,1.388B,,1.10B,,,,,,,1.177B,211.70M,,,,,137.10M,54.60M,82.50M,,,,77.00M,82.50M,288.50M,76.80M,211.70M,,0.09,-0.01,,-0.0057,0.09,0.08,,0.085,-0.01,,-0.0057,0.085,0.08,,962.50M,962.50M,0.00,,,
1995-03,5.465B,5.465B,4.126B,1.339B,,1.086B,,,,,,,1.158B,181.10M,,,,,105.70M,41.20M,64.50M,,,,59.20M,64.50M,253.30M,72.20M,181.10M,,0.07,-0.01,,-0.0054,0.07,0.06,,0.07,-0.01,,-0.0058,0.07,0.06,,986.67M,986.67M,0.00,,,
1994-12,5.586B,5.586B,4.202B,1.383B,,1.08B,,,,,,,1.164B,219.50M,,,,,143.70M,51.70M,92.00M,,,,91.50M,92.00M,303.30M,83.80M,219.50M,,0.1012,0.00,,-0.0007,0.1012,0.1012,,0.0888,0.00,,-0.0007,0.0888,0.0875,,893.18M,1.325B,0.00,,,
1994-09,6.650B,6.650B,5.053B,1.597B,,1.342B,,,,,,,1.424B,172.80M,,,,,72.10M,20.90M,51.20M,,,,36.00M,51.20M,255.40M,82.60M,172.80M,,0.06,-0.02,,-0.0169,0.06,0.04,,0.06,-0.02,,-0.0169,0.06,0.04,,900.00M,900.00M,0.00,,,
1994-06,5.394B,5.394B,4.081B,1.313B,,1.059B,,,,,,,1.124B,189.20M,,,,,114.30M,44.30M,70.00M,,,,67.40M,70.00M,253.60M,60.50M,189.20M,,0.08,-0.005,,-0.0029,0.08,0.075,,0.075,-0.005,,-0.0029,0.075,0.07,,898.67M,962.86M,0.00,,,
1994-03,5.329B,5.329B,4.049B,1.280B,,1.046B,,,,,,,1.113B,167.20M,,,,,91.20M,35.50M,55.70M,,,,47.40M,55.70M,233.40M,66.20M,167.20M,,0.065,-0.01,,-0.0096,0.065,0.055,,0.06,-0.01,,-0.0096,0.06,0.05,,861.82M,948.00M,0.00,,,
1993-12,5.402B,5.402B,4.022B,1.380B,,1.004B,,,,,,,1.147B,233.50M,,,,,132.20M,45.70M,86.50M,,0.00,,82.70M,86.50M,375.70M,142.20M,233.50M,,0.09,-0.005,0.00,-0.0034,0.09,0.085,,0.09,-0.005,0.0081,-0.0034,0.09,0.085,,825.22M,998.95M,0.00,,,
1993-09,6.479B,6.479B,4.969B,1.51B,,1.262B,,,,,,,1.340B,169.60M,,,,,49.80M,24.60M,25.20M,,,,16.40M,25.20M,247.60M,29.70M,169.60M,,0.03,-0.01,,-0.0107,0.03,0.02,,0.03,-0.01,,-0.0107,0.03,0.02,,820.00M,820.00M,0.00,,,
1993-06,5.329B,5.329B,4.049B,1.281B,,1.025B,,,,,,,1.111B,169.70M,,,,,52.40M,22.80M,29.60M,,,,27.50M,29.60M,255.30M,83.50M,169.70M,,0.035,-0.005,,-0.0023,0.035,0.03,,0.035,-0.005,,-0.0023,0.035,0.03,,916.67M,916.67M,0.00,,,
1993-03,5.174B,5.174B,3.940B,1.234B,,999.90M,,,,,,,1.088B,146.70M,,,,,49.60M,20.10M,29.50M,,,,-138.70M,29.50M,234.40M,87.70M,146.70M,,0.04,-0.215,,-0.2122,0.04,-0.175,,0.04,-0.215,,-0.2122,0.04,-0.175,,792.57M,956.55M,0.00,,,
1992-12,5.701B,5.701B,4.365B,1.336B,,1.051B,,,,,,,1.112B,224.40M,,,,,114.30M,45.50M,68.80M,,,,53.20M,68.80M,285.30M,60.90M,224.40M,,0.0940,,,-0.0213,0.0940,0.0727,,0.0940,,,-0.0213,0.0940,0.0727,,731.62M,731.62M,0.00,,,
1992-09,6.333B,6.333B,4.905B,1.428B,,1.200B,,,,,,,1.275B,153.30M,,,,,11.50M,4.60M,6.90M,,,,-20.40M,6.90M,227.50M,15.40M,153.30M,,0.01,-0.04,,-0.0401,0.01,-0.03,,0.01,-0.04,,-0.0401,0.01,-0.03,,680.00M,680.00M,0.00,,,
1992-06,5.072B,5.072B,3.925B,1.147B,,965.30M,,,,,,,1.024B,122.50M,,,,,12.50M,8.00M,4.50M,,,,-29.40M,4.50M,240.40M,117.90M,122.50M,,0.01,-0.05,,-0.0461,0.01,-0.04,,0.01,-0.05,,-0.0461,0.01,-0.04,,735.00M,735.00M,0.00,,,
1992-03,5.038B,5.038B,3.884B,1.155B,,949.10M,,,,,,,1.007B,148.00M,,,,,35.20M,14.20M,21.00M,,,,-9.30M,21.00M,205.60M,57.60M,148.00M,,0.03,-0.045,,-0.0489,0.03,-0.015,,0.03,-0.045,,-0.0489,0.03,-0.015,,620.00M,620.00M,0.00,,,
1991-12,5.129B,5.129B,3.956B,1.173B,,922.50M,,,1.10M,,,,982.10M,190.70M,,,1.10M,,69.70M,28.60M,41.10M,,,,41.10M,40.44M,250.30M,59.60M,190.70M,,0.055,0.00,,,0.0541,0.055,,0.055,0.00,,,0.0541,0.055,,773.61M,773.61M,0.00,,,
1991-09,6.228B,6.228B,4.813B,1.416B,,1.156B,,,1.20M,,,,1.227B,188.90M,,,1.20M,,27.80M,11.20M,16.60M,,,,16.60M,15.88M,259.00M,70.10M,188.90M,,0.025,0.00,,,0.0239,0.025,,0.025,0.00,,,0.0239,0.025,,664.00M,664.00M,0.00,,,
1991-06,5.086B,5.086B,3.923B,1.164B,,932.40M,,,1.10M,,,,989.40M,174.20M,,,1.10M,,50.40M,18.20M,32.20M,,,,32.20M,31.50M,231.20M,57.00M,174.20M,,0.045,0.00,,,0.0440,0.045,,0.045,0.00,,,0.0440,0.045,,715.56M,715.56M,0.00,,,
1991-03,4.907B,4.907B,3.789B,1.118B,,916.80M,,,0.70M,,,,972.10M,145.90M,,,0.70M,,20.70M,9.90M,10.80M,,,,10.80M,10.38M,201.20M,55.30M,145.90M,,0.015,0.00,,,0.0144,0.015,,0.015,0.00,,,0.0144,0.015,,720.00M,720.00M,0.00,,,
1990-12,4.986B,4.986B,3.826B,1.159B,,891.20M,,,28.70M,,,,950.30M,209.10M,,,28.70M,,108.30M,40.50M,67.80M,,,,67.80M,49.83M,268.20M,59.10M,209.10M,,0.095,0.00,,,0.0754,0.095,,0.095,0.00,,,0.0754,0.095,,916.67M,916.67M,0.00,,,
1990-09,5.974B,5.974B,4.637B,1.337B,,1.094B,,,1.40M,,,,1.164B,173.20M,,,1.40M,,4.80M,4.30M,0.50M,,,,0.50M,-0.34M,243.20M,70.00M,173.20M,,0.005,0.00,,,0.0036,0.005,,0.005,0.00,,,0.0036,0.005,,600.00M,600.00M,0.00,,,
1990-06,4.742B,4.742B,3.655B,1.088B,,859.30M,,,1.10M,,,,916.40M,171.20M,,,1.10M,,42.20M,16.90M,25.30M,,,,25.30M,24.64M,228.30M,57.10M,171.20M,,0.04,0.00,,,0.0390,0.04,,0.04,0.00,,,0.0390,0.04,,632.50M,632.50M,0.00,,,
1990-03,4.559B,4.559B,3.552B,1.007B,,828.80M,,,0.80M,,,,887.30M,120.00M,,,0.80M,,-13.10M,-2.80M,-10.30M,,,,-10.30M,-10.93M,178.50M,58.50M,120.00M,,-0.015,0.00,,,-0.0159,-0.015,,-0.015,0.00,,,-0.0159,-0.015,,686.67M,686.67M,0.00,,,
1989-12,4.653B,4.653B,3.693B,960.30M,,814.60M,,,-5.50M,,,,791.00M,169.30M,,,-5.50M,,17.20M,11.90M,5.30M,,,,5.30M,8.60M,145.70M,-23.60M,169.30M,,0.01,0.00,,,0.0160,0.01,,0.01,0.00,,,0.0160,0.01,,553.33M,553.33M,0.00,,,
1989-09,5.534B,5.534B,4.288B,1.246B,,997.10M,,,30.50M,,,,1.085B,160.40M,,,30.50M,,-2.90M,1.10M,-4.00M,,,,-4.00M,-22.30M,262.20M,101.80M,160.40M,,-0.01,0.00,,,-0.0412,-0.01,,-0.01,0.00,,,-0.0412,-0.01,,586.67M,586.67M,0.00,,,
1989-06,4.426B,4.426B,3.400B,1.026B,,790.50M,,,3.50M,,,,872.00M,154.00M,,,3.50M,,4.80M,3.40M,1.40M,,,,1.40M,-0.70M,235.50M,81.50M,154.00M,,0.005,0.00,,,0.0018,0.005,,0.005,0.00,,,0.0018,0.005,,650.40M,650.40M,0.00,,,
1989-03,4.491B,4.491B,,,,,,,,,,,,4.491B,,,,,,,-19.00M,,,,-19.00M,,4.491B,,4.491B,,-0.03,0.00,,,-0.03,-0.03,,-0.03,0.00,,,-0.03,-0.03,,643.83M,643.83M,0.00,,,
1988-12,4.648B,4.648B,,,,,,,,,,,,-13.96B,,,,,,,-119.00M,,,,-119.00M,,-13.96B,,-13.96B,,,,,,,,,,,,,,,,647.21M,647.21M,0.00,,,
1988-09,5.584B,5.584B,,,,,,,,,,,,5.584B,,,,,,,56.20M,,,,56.20M,,5.584B,,5.584B,,0.085,0.00,,,0.085,0.085,,0.085,0.00,,,0.085,0.085,,629.90M,629.90M,0.035,,,
1988-06,4.505B,4.505B,,,,,,,,,,,,4.505B,,,,,,,57.10M,,,,57.10M,,4.505B,,4.505B,,0.085,0.00,,,0.085,0.085,,0.085,0.00,,,0.085,0.085,,629.12M,629.12M,0.035,,,
1988-03,4.316B,4.316B,,,,,,,,,,,,4.316B,,,,,,,40.30M,,,,40.30M,,4.316B,,4.316B,,0.06,0.00,,,0.06,0.06,,0.06,0.00,,,0.06,0.06,,634.96M,634.96M,0.0328,,,
1987-12,4.408B,4.408B,,,,,,,,,,,,-12.84B,,,,,,,47.40M,,,,47.40M,,-12.84B,,-12.84B,,,,,,,,,,,,,,,,629.12M,629.12M,0.0328,,,
1987-09,5.153B,5.153B,,,,,,,,,,,,5.153B,,,,,,,45.30M,,,,45.30M,,5.153B,,5.153B,,0.07,0.00,,,0.07,0.07,,0.07,0.00,,,0.07,0.07,,648.78M,648.78M,0.0328,,,
1987-06,4.143B,4.143B,,,,,,,,,,,,4.143B,,,,,,,56.50M,,,,56.50M,,4.143B,,4.143B,,0.085,0.00,,,0.085,0.085,,0.085,0.00,,,0.085,0.085,,672.51M,672.51M,0.0328,,,
1987-03,3.956B,3.956B,,,,,,,,,,,,3.956B,,,,,,,34.10M,,,,34.10M,,3.956B,,3.956B,,0.05,0.00,,,0.05,0.05,,0.05,0.00,,,0.05,0.05,,700.87M,700.87M,0.0328,,,
1986-12,4.376B,4.376B,,,,,,,,,,,,-12.40B,,,,,,,19.00M,0.00,,,19.00M,,-12.40B,,-12.40B,,,0.00,,,,0.00,,,0.00,,,,0.00,,672.51M,672.51M,0.0328,,,
1986-09,4.928B,4.928B,,,,,,,,,,,,4.928B,,,,,,,-39.40M,-11.80M,,,-51.20M,,4.928B,,4.928B,,-0.06,-0.02,,,-0.06,-0.08,,-0.06,-0.02,,,-0.06,-0.08,,694.54M,694.54M,0.0328,,,
1986-06,4.281B,4.281B,,,,,,,,,,,,4.281B,,,,,,,51.50M,,,,51.50M,,4.281B,,4.281B,,0.075,0.00,,,0.075,0.075,,0.075,0.00,,,0.075,0.075,,694.54M,694.54M,0.0312,,,
1986-03,4.173B,4.173B,,,,,,,,,,,,4.173B,,,,,,,32.30M,,,,32.30M,,4.173B,,4.173B,,0.05,0.00,,,0.05,0.05,,0.05,0.00,,,0.05,0.05,,695.47M,695.47M,0.0312,,,
1985-12,4.248B,4.248B,,,,,,,,,,,,-12.47B,,,,,,,57.60M,,,,57.60M,,-12.47B,,-12.47B,,,,,,,,,,,,,,,,773.36M,773.36M,,,,
1985-09,5.061B,5.061B,,,,,,,,,,,,5.061B,,,,,,,45.00M,,,,45.00M,,5.061B,,5.061B,,0.065,0.00,,,0.065,0.065,,0.065,0.00,,,0.065,0.065,,726.56M,726.56M,,,,
1985-06,3.991B,3.991B,,,,,,,,,,,,3.991B,,,,,,,46.70M,,,,46.70M,,3.991B,,3.991B,,0.07,0.00,,,0.07,0.07,,0.07,0.00,,,0.07,0.07,,685.12M,685.12M,,,,
1985-03,3.824B,3.824B,,,,,,,,,,,,3.824B,,,,,,,31.00M,,,,31.00M,,3.824B,,3.824B,,0.045,0.00,,,0.045,0.045,,0.045,0.00,,,0.045,0.045,,685.12M,685.12M,,,,
