,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,DerivativeInstruments,LongTermDeferredAssets,TotalAssets,,Liabilities(Quarterly),AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,PensionLiability,DerivativeContractLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,,Shareholder'sEquity(Quarterly),TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,SECFilingLinks,AsOriginallyReported,Restated
2018-03,3.096B,,3.096B,1.747B,,1.747B,708.00M,340.00M,786.00M,,1.834B,,,986.00M,7.663B,,,,,,,25.68B,-11.26B,14.42B,1.698B,851.00M,2.549B,345.00M,,909.00M,26.83B,,2018-03,1.164B,192.00M,1.356B,,1.356B,,,380.00M,380.00M,,380.00M,,,885.00M,2.995B,4.808B,,4.808B,514.00M,1.47B,830.00M,75.00M,,1.047B,,2018-03,3.154B,15.17B,14.12B,17.45B,2.30B,,,-577.00M,14.41B,,2018-03,AOR,Restated
2017-12,4.317B,,4.317B,1.807B,,1.807B,651.00M,322.00M,739.00M,,1.712B,,,794.00M,8.827B,0.00,482.00M,5.864B,16.65B,,1.832B,24.83B,-10.81B,14.02B,1.694B,869.00M,2.563B,340.00M,68.00M,813.00M,27.49B,,2017-12,1.439B,148.00M,1.587B,,1.587B,,,379.00M,379.00M,,379.00M,,,623.00M,3.209B,4.749B,,4.749B,451.00M,1.462B,333.00M,72.00M,,1.138B,,2017-12,3.154B,15.93B,14.09B,16.63B,2.30B,,,-842.00M,15.70B,,2017-12,AOR,Restated
2017-09,3.865B,,3.865B,1.748B,,1.748B,645.00M,328.00M,720.00M,,1.693B,,,948.00M,8.254B,,,,,,,24.03B,-10.68B,13.34B,1.684B,891.00M,2.575B,352.00M,,2.641B,28.09B,,2017-09,1.179B,135.00M,1.314B,,1.314B,,,631.00M,631.00M,,631.00M,,,607.00M,3.065B,3.994B,,3.994B,,1.455B,343.00M,66.00M,,1.854B,,2017-09,3.153B,17.53B,14.01B,16.24B,853.00M,,,-1.146B,17.32B,,2017-09,AOR,Restated
2017-06,4.189B,,4.189B,1.64B,,1.64B,606.00M,327.00M,683.00M,,1.616B,,,986.00M,8.431B,,,,,,,23.57B,-10.51B,13.06B,1.608B,842.00M,2.45B,348.00M,,2.651B,27.83B,,2017-06,1.096B,129.00M,1.225B,,1.225B,,,631.00M,631.00M,,631.00M,,,542.00M,2.808B,3.302B,,3.302B,,1.443B,358.00M,68.00M,,1.839B,,2017-06,3.152B,17.30B,13.96B,15.20B,852.00M,,,-1.201B,18.01B,,2017-06,AOR,Restated
2017-03,4.844B,28.00M,4.872B,1.583B,,1.583B,564.00M,312.00M,668.00M,,1.544B,,,719.00M,8.718B,,,,,,,23.27B,-10.30B,12.97B,1.619B,825.00M,2.444B,337.00M,,2.705B,28.30B,,2017-03,1.015B,210.00M,1.225B,,1.225B,,,257.00M,257.00M,,257.00M,,,589.00M,2.421B,3.669B,,3.669B,,1.44B,546.00M,71.00M,,1.85B,,2017-03,3.15B,17.03B,13.89B,14.56B,2.30B,,,-1.196B,18.31B,,2017-03,AOR,Restated
2016-12,5.291B,,5.291B,1.481B,,1.481B,562.00M,303.00M,606.00M,,1.471B,,,370.00M,9.048B,0.00,435.00M,5.54B,14.97B,,1.482B,22.43B,-9.884B,12.55B,1.577B,796.00M,2.373B,336.00M,146.00M,2.325B,27.90B,,2016-12,1.079B,150.00M,1.229B,,1.229B,,,256.00M,256.00M,,256.00M,,,779.00M,2.751B,3.646B,,3.646B,,1.429B,282.00M,67.00M,,1.449B,,2016-12,3.146B,16.88B,13.70B,14.15B,2.30B,,,-1.676B,17.89B,,2016-12,AOR,Restated
2016-09,4.821B,,4.821B,1.645B,,1.645B,579.00M,301.00M,636.00M,,1.516B,,,497.00M,8.479B,,,,,,,23.50B,-10.21B,13.29B,1.569B,797.00M,2.366B,352.00M,,3.11B,28.81B,,2016-09,933.00M,149.00M,1.082B,,1.082B,,,7.00M,7.00M,,7.00M,,,733.00M,2.294B,3.916B,,3.916B,,1.47B,1.543B,66.00M,,1.799B,,2016-09,3.144B,15.46B,13.34B,13.51B,2.30B,,,-715.00M,17.72B,,2016-09,AOR,Restated
2016-06,7.144B,,7.144B,1.544B,,1.544B,575.00M,293.00M,633.00M,,1.501B,,,558.00M,10.75B,,,,,,,23.02B,-9.974B,13.05B,1.569B,804.00M,2.373B,346.00M,,2.952B,30.65B,,2016-06,938.00M,82.00M,1.02B,,1.02B,76.00M,,279.00M,279.00M,,279.00M,,,687.00M,2.448B,3.918B,,3.918B,,1.45B,1.40B,63.00M,,1.765B,,2016-06,3.142B,15.33B,13.67B,11.57B,2.30B,,,-966.00M,19.61B,,2016-06,AOR,Restated
2016-03,3.54B,0.00,3.54B,1.388B,,1.388B,542.00M,281.00M,630.00M,,1.453B,,,797.00M,7.178B,,,,,,,22.46B,-9.632B,12.82B,1.399B,703.00M,2.102B,2.072B,,2.428B,27.94B,,2016-03,836.00M,57.00M,893.00M,,893.00M,,,527.00M,527.00M,,527.00M,,,803.00M,2.564B,3.91B,,3.91B,,1.414B,612.00M,69.00M,,1.458B,,2016-03,3.141B,13.29B,13.64B,10.75B,2.30B,,,-1.404B,17.92B,,2016-03,AOR,Restated
2015-12,4.50B,100.00M,4.60B,1.372B,,1.372B,488.00M,264.00M,633.00M,,1.385B,,,390.00M,8.269B,0.00,438.00M,5.504B,14.69B,,1.206B,21.84B,-9.188B,12.65B,1.38B,706.00M,2.086B,1.975B,473.00M,2.056B,28.53B,,2015-12,934.00M,53.00M,987.00M,,987.00M,,,572.00M,572.00M,,572.00M,,,764.00M,2.814B,3.89B,,3.89B,,1.39B,88.00M,75.00M,,1.482B,,2015-12,3.14B,13.83B,13.35B,9.725B,2.30B,,,-1.811B,18.79B,,2015-12,AOR,Restated
2015-09,4.44B,573.00M,5.013B,1.479B,,1.479B,534.00M,257.00M,583.00M,,1.374B,,315.00M,1.072B,9.253B,,,,,,,21.58B,-9.027B,12.55B,1.33B,678.00M,2.008B,1.826B,,1.711B,28.90B,,2015-09,909.00M,,909.00M,956.00M,1.865B,,,,101.00M,,101.00M,,,,1.966B,3.915B,,3.915B,,782.00M,,73.00M,,2.165B,,2015-09,3.14B,13.77B,13.59B,8.699B,2.30B,,,-1.803B,20.00B,,2015-09,AOR,Restated
2015-06,4.968B,505.00M,5.473B,1.545B,,1.545B,533.00M,267.00M,585.00M,,1.385B,,291.00M,1.174B,9.868B,0.00,449.00M,5.47B,14.22B,,1.316B,21.45B,-8.784B,12.67B,1.343B,700.00M,2.043B,1.844B,,1.808B,29.89B,,2015-06,930.00M,,930.00M,990.00M,1.92B,,,,102.00M,,102.00M,,,,2.022B,3.91B,,3.91B,,781.00M,,72.00M,,2.12B,,2015-06,3.14B,13.73B,13.58B,7.871B,2.30B,,,-1.591B,20.98B,,2015-06,AOR,Restated
2015-03,4.304B,763.00M,5.067B,1.487B,,1.487B,547.00M,257.00M,527.00M,,1.331B,,262.00M,1.091B,9.238B,0.00,452.00M,5.472B,13.96B,,1.419B,21.30B,-8.591B,12.71B,1.343B,702.00M,2.045B,1.764B,,1.883B,29.32B,,2015-03,872.00M,,872.00M,917.00M,1.789B,,,,106.00M,,106.00M,,,,1.895B,3.165B,,3.165B,,810.00M,,74.00M,,2.081B,,2015-03,3.14B,13.40B,13.55B,7.243B,2.30B,,,-1.556B,21.30B,,2015-03,AOR,Restated
2014-12,5.309B,759.00M,6.068B,1.501B,,1.501B,481.00M,255.00M,586.00M,,1.322B,,248.00M,412.00M,10.24B,0.00,458.00M,5.47B,13.85B,,1.322B,21.10B,-8.332B,12.77B,1.15B,497.00M,1.647B,1.801B,847.00M,1.889B,30.06B,,2014-12,997.00M,106.00M,1.103B,,1.103B,,,,36.00M,,36.00M,,,623.00M,2.324B,3.227B,,3.227B,,814.00M,,73.00M,,2.046B,,2014-12,3.136B,13.02B,13.46B,6.727B,2.30B,,,-1.307B,21.58B,,2014-12,AOR,Restated
2014-09,5.353B,751.00M,6.104B,1.601B,,1.601B,625.00M,245.00M,457.00M,,1.327B,,156.00M,825.00M,10.01B,0.00,474.00M,5.607B,14.09B,,1.275B,21.44B,-8.412B,13.03B,1.142B,511.00M,1.653B,2.002B,,1.944B,29.82B,,2014-09,716.00M,,716.00M,967.00M,1.683B,,,,455.00M,,455.00M,,,,2.138B,3.228B,,3.228B,,757.00M,,71.00M,,1.842B,,2014-09,3.136B,12.34B,13.34B,6.543B,2.30B,,,-489.00M,21.78B,,2014-09,AOR,Restated
2014-06,5.118B,768.00M,5.886B,1.645B,,1.645B,630.00M,250.00M,500.00M,,1.38B,,349.00M,604.00M,9.864B,0.00,494.00M,5.812B,14.38B,,1.294B,21.98B,-8.456B,13.52B,1.15B,532.00M,1.682B,2.013B,,2.084B,29.83B,,2014-06,777.00M,,777.00M,950.00M,1.727B,,,,450.00M,,450.00M,,,,2.177B,3.238B,,3.238B,,751.00M,,69.00M,,1.834B,,2014-06,3.135B,11.48B,13.30B,6.34B,2.30B,,,185.00M,21.76B,,2014-06,AOR,Restated
2014-03,4.968B,644.00M,5.612B,1.588B,,1.588B,622.00M,238.00M,535.00M,,1.395B,,321.00M,697.00M,9.613B,0.00,496.00M,5.619B,13.68B,,1.687B,21.48B,-8.141B,13.34B,1.125B,540.00M,1.665B,1.976B,,2.18B,29.54B,,2014-03,732.00M,,732.00M,846.00M,1.578B,,,,468.00M,,468.00M,,,,2.046B,3.224B,,3.224B,,766.00M,,69.00M,,1.789B,,2014-03,3.133B,11.46B,13.07B,5.95B,2.30B,,,-70.00M,21.65B,,2014-03,AOR,Restated
2013-12,4.704B,531.00M,5.235B,1.253B,,1.253B,550.00M,234.00M,486.00M,,1.27B,,278.00M,483.00M,8.891B,0.00,121.00M,4.175B,12.29B,,1.084B,17.67B,-7.865B,9.801B,1.002B,540.00M,1.542B,5.537B,90.00M,2.234B,28.48B,,2013-12,771.00M,139.00M,910.00M,,910.00M,,,,21.00M,,21.00M,,,370.00M,1.746B,3.272B,,3.272B,,766.00M,,49.00M,,1.483B,,2013-12,831.00M,11.32B,13.07B,4.099B,,,,44.00M,21.16B,,2013-12,AOR,Restated
2013-09,4.56B,886.00M,5.446B,1.392B,,1.392B,563.00M,225.00M,487.00M,,1.275B,,309.00M,706.00M,9.128B,0.00,115.00M,4.218B,12.40B,,1.139B,17.87B,-7.897B,9.977B,1.001B,550.00M,1.551B,5.16B,,2.403B,28.71B,,2013-09,640.00M,,640.00M,915.00M,1.555B,,,,23.00M,,23.00M,,,,1.578B,2.816B,,2.816B,,917.00M,,49.00M,,1.605B,,2013-09,829.00M,11.02B,13.22B,3.237B,,,,-75.00M,21.75B,,2013-09,AOR,Restated
2013-06,4.601B,870.00M,5.471B,1.296B,,1.296B,654.00M,222.00M,364.00M,,1.24B,,282.00M,764.00M,9.053B,0.00,114.00M,4.18B,12.26B,,1.082B,17.64B,-7.683B,9.954B,1.001B,558.00M,1.559B,4.809B,,2.453B,28.39B,,2013-06,721.00M,,721.00M,804.00M,1.525B,,,,72.00M,,72.00M,,,,1.597B,2.822B,,2.822B,,916.00M,,76.00M,,1.60B,,2013-06,828.00M,10.75B,13.21B,3.022B,,,,-388.00M,21.38B,,2013-06,AOR,Restated
2013-03,4.797B,978.00M,5.775B,1.243B,,1.243B,586.00M,186.00M,399.00M,,1.171B,,399.00M,681.00M,9.269B,0.00,108.00M,4.233B,12.32B,,1.113B,17.78B,-7.606B,10.17B,972.00M,513.00M,1.485B,4.726B,,2.507B,28.60B,,2013-03,762.00M,,762.00M,959.00M,1.721B,,,,74.00M,,74.00M,,,,1.795B,2.855B,,2.855B,,933.00M,,46.00M,,1.622B,,2013-03,826.00M,10.26B,13.17B,2.779B,,,,-132.00M,21.34B,,2013-03,AOR,Restated
2012-12,4.988B,1.156B,6.144B,1.302B,,1.302B,491.00M,168.00M,392.00M,,1.051B,,579.00M,619.00M,9.695B,0.00,112.00M,4.324B,12.57B,,1.27B,18.28B,-7.652B,10.62B,974.00M,522.00M,1.496B,4.915B,,2.343B,29.38B,,2012-12,779.00M,282.00M,1.061B,,1.061B,,,,76.00M,,76.00M,,,359.00M,1.956B,3.382B,,3.382B,,930.00M,,47.00M,,1.574B,,2012-12,825.00M,9.932B,13.15B,2.773B,,,,356.00M,21.49B,,2012-12,AOR,Restated
2012-09,4.952B,1.399B,6.351B,1.248B,,1.248B,457.00M,208.00M,338.00M,,1.003B,,490.00M,424.00M,9.516B,0.00,112.00M,4.098B,12.36B,,2.209B,18.78B,-7.745B,11.04B,664.00M,248.00M,912.00M,5.172B,,2.501B,29.41B,,2012-09,901.00M,,901.00M,956.00M,1.857B,,,,130.00M,,130.00M,,,,1.987B,3.272B,,3.272B,,901.00M,,47.00M,,1.364B,,2012-09,824.00M,10.44B,13.12B,2.646B,,,,105.00M,21.84B,,2012-09,AOR,Restated
2012-06,5.008B,1.337B,6.345B,1.157B,,1.157B,439.00M,234.00M,326.00M,,999.00M,,441.00M,436.00M,9.378B,0.00,111.00M,3.986B,11.99B,,2.154B,18.24B,-7.486B,10.75B,663.00M,253.00M,916.00M,4.87B,,2.565B,28.75B,,2012-06,929.00M,,929.00M,934.00M,1.863B,,,,29.00M,,29.00M,,,,1.892B,3.229B,,3.229B,,900.00M,,48.00M,,1.331B,,2012-06,823.00M,10.03B,13.10B,2.458B,,,,-136.00M,21.35B,,2012-06,AOR,Restated
2012-03,5.49B,1.346B,6.836B,1.108B,,1.108B,449.00M,193.00M,313.00M,,955.00M,,423.00M,479.00M,9.801B,0.00,109.00M,3.865B,11.66B,,1.947B,17.58B,-7.21B,10.37B,665.00M,257.00M,922.00M,4.554B,,2.58B,28.49B,,2012-03,847.00M,,847.00M,907.00M,1.754B,,,,27.00M,,27.00M,,,,1.781B,3.135B,,3.135B,,900.00M,,50.00M,,1.306B,,2012-03,822.00M,9.679B,13.08B,2.121B,,,,-140.00M,21.32B,,2012-03,AOR,Restated
2011-12,4.661B,1.164B,5.825B,1.082B,,1.082B,464.00M,199.00M,312.00M,,975.00M,,448.00M,347.00M,8.677B,0.00,113.00M,3.957B,11.89B,,1.919B,17.88B,-7.204B,10.67B,664.00M,262.00M,926.00M,4.726B,,2.652B,27.85B,,2011-12,977.00M,288.00M,1.265B,,1.265B,,,,27.00M,,27.00M,,,432.00M,2.097B,2.364B,,2.364B,,897.00M,,51.00M,,1.361B,,2011-12,818.00M,9.332B,13.04B,2.024B,,,,-89.00M,21.08B,,2011-12,AOR,Restated
2011-09,4.901B,1.52B,6.421B,1.189B,,1.189B,470.00M,186.00M,283.00M,,939.00M,,356.00M,359.00M,9.264B,0.00,109.00M,3.879B,11.70B,,1.662B,17.36B,-7.089B,10.27B,629.00M,252.00M,881.00M,4.89B,,2.715B,28.17B,,2011-09,938.00M,,938.00M,1.044B,1.982B,,,,27.00M,,27.00M,,,,2.009B,2.282B,,2.282B,,891.00M,,51.00M,,1.30B,,2011-09,818.00M,8.958B,13.01B,1.243B,,,,93.00M,21.64B,,2011-09,AOR,Restated
2011-06,4.609B,1.748B,6.357B,1.252B,,1.252B,429.00M,211.00M,277.00M,,917.00M,,439.00M,364.00M,9.329B,0.00,108.00M,3.729B,11.37B,,1.37B,16.58B,-6.824B,9.755B,632.00M,251.00M,883.00M,5.029B,,2.679B,27.82B,,2011-06,1.052B,,1.052B,1.005B,2.057B,,,,26.00M,,26.00M,,,,2.083B,2.248B,,2.248B,,886.00M,,51.00M,,1.302B,,2011-06,817.00M,8.227B,12.99B,1.242B,,,,464.00M,21.26B,,2011-06,AOR,Restated
2011-03,4.57B,1.733B,6.303B,1.107B,,1.107B,369.00M,217.00M,255.00M,,841.00M,,433.00M,353.00M,9.037B,0.00,103.00M,3.665B,11.06B,,967.00M,15.80B,-6.565B,9.235B,630.00M,255.00M,885.00M,4.569B,,2.76B,26.66B,,2011-03,949.00M,,949.00M,919.00M,1.868B,,,,26.00M,,26.00M,,,,1.894B,2.245B,,2.245B,,915.00M,,51.00M,,1.251B,,2011-03,817.00M,7.55B,12.95B,1.24B,,,,223.00M,20.30B,,2011-03,AOR,Restated
2010-12,4.598B,1.752B,6.35B,973.00M,,973.00M,323.00M,207.00M,208.00M,,738.00M,,431.00M,367.00M,8.859B,0.00,105.00M,3.692B,10.74B,,822.00M,15.36B,-6.42B,8.943B,537.00M,179.00M,716.00M,4.372B,,2.79B,25.83B,,2010-12,798.00M,,798.00M,1.131B,1.929B,,,,57.00M,,57.00M,,,,1.986B,2.262B,,2.262B,,913.00M,,51.00M,,1.246B,,2010-12,813.00M,6.881B,12.86B,1.227B,,,,43.00M,19.38B,,2010-12,AOR,Restated
2010-03,3.075B,798.00M,3.873B,860.00M,,860.00M,303.00M,124.00M,177.00M,,604.00M,,392.00M,323.00M,6.052B,0.00,104.00M,3.438B,9.382B,,563.00M,13.49B,-5.64B,7.847B,509.00M,165.00M,674.00M,4.296B,,2.733B,21.73B,,2010-03,459.00M,,459.00M,796.00M,1.255B,,,,23.00M,,23.00M,,,,1.278B,1.919B,,1.919B,,866.00M,,51.00M,,1.311B,,2010-03,811.00M,4.374B,12.76B,1.223B,,,,-419.00M,16.30B,,2010-03,AOR,Restated
2009-12,2.541B,1.042B,3.583B,753.00M,,753.00M,291.00M,113.00M,175.00M,,579.00M,,235.00M,371.00M,5.521B,0.00,96.00M,3.443B,9.237B,,722.00M,13.50B,-5.503B,7.995B,509.00M,167.00M,676.00M,3.992B,,2.982B,21.30B,,2009-12,550.00M,,550.00M,915.00M,1.465B,,,,74.00M,,74.00M,,,,1.539B,1.93B,,1.93B,,858.00M,,52.00M,,1.373B,,2009-12,808.00M,3.636B,12.71B,1.207B,,,,-401.00M,15.54B,,2009-12,AOR,Restated
2009-09,1.962B,968.00M,2.93B,835.00M,,835.00M,286.00M,123.00M,209.00M,,618.00M,,126.00M,338.00M,4.847B,0.00,101.00M,3.442B,9.087B,,1.148B,13.78B,-5.598B,8.18B,509.00M,171.00M,680.00M,3.818B,,3.075B,20.75B,,2009-09,470.00M,,470.00M,975.00M,1.445B,,,,75.00M,,75.00M,,,,1.52B,1.945B,,1.945B,,768.00M,,51.00M,,1.496B,,2009-09,807.00M,2.974B,12.66B,1.206B,,,,-266.00M,14.97B,,2009-09,AOR,Restated
2009-06,2.234B,841.00M,3.075B,790.00M,,790.00M,291.00M,129.00M,227.00M,,647.00M,,128.00M,388.00M,5.028B,0.00,93.00M,3.302B,8.448B,,1.353B,13.20B,-5.311B,7.885B,277.00M,21.00M,298.00M,3.168B,,3.08B,19.60B,,2009-06,502.00M,,502.00M,949.00M,1.451B,,,,80.00M,,80.00M,,,,1.531B,1.938B,,1.938B,,766.00M,,49.00M,,1.517B,,2009-06,807.00M,2.409B,12.62B,1.204B,,,,-828.00M,13.80B,,2009-06,AOR,Restated
2009-03,1.78B,805.00M,2.585B,593.00M,,593.00M,305.00M,166.00M,260.00M,,731.00M,,151.00M,379.00M,4.439B,,,,,,,12.90B,-5.089B,7.806B,277.00M,25.00M,302.00M,2.435B,,3.059B,18.18B,,2009-03,542.00M,,542.00M,982.00M,1.524B,,,,68.00M,,68.00M,,,,1.592B,1.596B,,1.596B,,774.00M,,48.00M,,1.521B,,2009-03,806.00M,1.876B,12.58B,1.202B,,,,-1.409B,12.65B,,2009-03,AOR,Restated
