,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2018-03,3.471B,3.471B,2.072B,1.399B,1.018B,,-26.00M,61.00M,4.60M,-56.40M,,1.018B,380.30M,4.60M,61.00M,-56.40M,-6.60M,-56.40M,317.30M,69.10M,248.20M,,,-0.90M,,247.30M,267.63M,609.40M,231.10M,378.30M,0.86,,,,0.9304,0.86,0.84,,,,0.9095,0.84,288.60M,292.70M,0.41
2017-12,3.649B,3.649B,2.102B,1.547B,989.00M,,48.60M,83.60M,5.80M,-77.80M,,989.00M,557.60M,5.80M,83.60M,-77.80M,68.40M,-77.80M,548.20M,-20.20M,568.40M,,,-5.80M,,562.60M,531.64M,859.60M,227.80M,631.80M,1.96,,,,1.8530000000000002,1.96,1.93,,,,1.824,1.93,289.00M,293.40M,0.41
2017-09,3.564B,3.564B,2.065B,1.500B,930.90M,,-8.10M,60.70M,5.60M,-55.10M,,930.90M,569.00M,5.60M,60.70M,-55.10M,12.00M,-55.10M,525.90M,129.30M,396.60M,,,-3.40M,,393.20M,396.89M,814.90M,228.30M,586.60M,1.36,,,,1.3730000000000002,1.36,1.34,,,,1.3530000000000002,1.34,289.00M,293.40M,0.37
2017-06,3.46B,3.46B,2.045B,1.415B,958.20M,,-42.10M,63.70M,4.10M,-59.60M,,958.20M,456.40M,4.10M,63.70M,-59.60M,-20.00M,-59.60M,376.80M,80.50M,296.30M,,,-1.50M,,294.80M,323.72M,661.70M,221.20M,440.50M,1.02,,,,1.12,1.02,1.0,,,,1.0979999999999999,1.0,289.80M,294.10M,0.37
2017-03,3.162B,3.162B,1.852B,1.311B,947.20M,,-6.20M,66.60M,4.10M,-62.50M,,947.20M,363.40M,4.10M,66.60M,-62.50M,10.60M,-62.50M,311.50M,54.20M,257.30M,,,-3.30M,,254.00M,259.12M,594.10M,216.00M,378.10M,0.87,,,,0.8876,0.87,0.86,,,,0.8774,0.86,290.60M,295.00M,0.37
2016-12,3.351B,3.351B,2.380B,971.00M,455.10M,1.60M,-3.80M,76.00M,7.70M,-68.30M,,455.10M,515.90M,7.70M,76.00M,-68.30M,40.00M,-68.30M,487.60M,116.20M,371.40M,,,-5.70M,,365.70M,368.59M,776.20M,212.60M,563.60M,1.26,,,,1.27,1.26,1.24,,,,1.25,1.24,291.60M,295.50M,0.37
2016-09,3.386B,3.386B,1.737B,1.649B,1.072B,0.00,-3.20M,69.00M,4.10M,-64.90M,,1.072B,577.30M,4.10M,69.00M,-64.90M,-3.20M,-64.90M,509.20M,129.70M,379.50M,,,-5.40M,,374.10M,376.48M,795.00M,216.80M,578.20M,1.28,,,,1.288,1.28,1.27,,,,1.278,1.27,291.60M,295.70M,0.35
2016-06,3.317B,3.317B,1.785B,1.532B,1.093B,12.60M,-34.00M,71.50M,6.20M,-65.30M,,1.093B,438.70M,6.20M,71.50M,-65.30M,-26.20M,-65.30M,347.20M,83.60M,263.60M,,,-5.20M,,258.40M,278.29M,627.80M,209.10M,418.70M,0.88,,,,0.948,0.88,0.87,,,,0.9371,0.87,292.40M,296.50M,0.35
2016-03,3.097B,3.097B,1.631B,1.466B,1.088B,,-6.30M,68.90M,2.80M,-66.10M,,1.088B,377.80M,2.80M,68.90M,-66.10M,-6.30M,-66.10M,305.40M,73.40M,232.00M,,,-1.20M,,230.80M,235.59M,586.50M,212.20M,374.30M,0.78,,,,0.7963,0.78,0.77,,,,0.7861,0.77,294.40M,298.30M,0.35
2015-12,3.412B,3.412B,1.832B,1.580B,1.059B,0.00,-75.40M,63.40M,1.10M,-62.30M,,1.059B,521.50M,1.10M,63.40M,-62.30M,-198.70M,-62.30M,260.50M,37.60M,222.90M,,,-14.00M,,208.90M,378.92M,536.30M,212.40M,323.90M,0.71,,,,1.284,0.71,0.69,,,,1.255,0.69,296.10M,301.10M,0.35
2015-09,3.446B,3.446B,1.82B,1.626B,1.071B,0.00,-30.80M,61.60M,4.00M,-57.60M,,1.071B,555.70M,4.00M,61.60M,-57.60M,-142.70M,-57.60M,355.40M,105.30M,250.10M,,,7.70M,,257.80M,358.26M,628.40M,211.40M,417.00M,0.87,,,,1.21,0.87,0.86,,,,1.195,0.86,295.20M,300.00M,0.33
2015-06,3.389B,3.389B,1.806B,1.583B,1.079B,0.00,-44.80M,63.50M,2.30M,-61.20M,,1.079B,503.40M,2.30M,63.50M,-61.20M,-65.60M,-61.20M,376.60M,67.80M,308.80M,,,-6.80M,,302.00M,355.79M,658.60M,218.50M,440.10M,1.02,,,,1.202,1.02,1.0,,,,1.179,1.0,296.20M,301.10M,0.33
2015-03,3.298B,3.298B,1.765B,1.532B,1.137B,,-7.80M,65.20M,2.70M,-62.50M,,1.137B,395.50M,2.70M,65.20M,-62.50M,-7.80M,-62.50M,325.20M,89.80M,235.40M,,,-2.00M,,233.40M,239.05M,607.60M,217.20M,390.40M,0.78,,,,0.7989,0.78,0.77,,,,0.7886,0.77,298.20M,303.20M,0.33
2014-12,3.681B,3.681B,1.980B,1.701B,1.142B,,-38.30M,66.00M,4.00M,-62.00M,,1.142B,558.80M,4.00M,66.00M,-62.00M,-38.30M,-62.00M,458.50M,115.20M,343.30M,,,-7.80M,,335.50M,364.18M,742.50M,218.00M,524.50M,1.12,,,,1.216,1.12,1.1,,,,1.194,1.1,300.10M,305.60M,0.33
2014-09,3.695B,3.695B,1.971B,1.724B,1.146B,,-7.00M,66.10M,2.80M,-63.30M,,1.146B,578.40M,2.80M,66.10M,-63.30M,-7.00M,-63.30M,508.10M,138.70M,369.40M,,,-4.50M,,364.90M,369.99M,792.80M,218.60M,574.20M,1.22,,,,1.237,1.22,1.19,,,,1.207,1.19,300.00M,305.70M,0.275
2014-06,3.568B,3.568B,1.909B,1.659B,1.153B,,6.10M,68.60M,2.40M,-66.20M,,1.153B,506.10M,2.40M,68.60M,-66.20M,6.10M,-66.20M,446.00M,131.00M,315.00M,,,-3.60M,,311.40M,307.09M,733.20M,218.60M,514.60M,1.04,,,,1.026,1.04,1.02,,,,1.006,1.02,299.60M,305.20M,0.275
2014-03,3.337B,3.337B,1.819B,1.517B,1.137B,,-29.60M,67.30M,2.20M,-65.10M,,1.137B,380.50M,2.20M,67.30M,-65.10M,-29.60M,-65.10M,285.80M,91.30M,194.50M,,,-3.50M,,191.00M,211.16M,569.90M,216.80M,353.10M,0.64,,,,0.7071,0.64,0.62,,,,0.6858,0.62,300.60M,306.50M,0.275
2013-12,3.560B,3.560B,1.945B,1.614B,1.124B,,-20.30M,69.80M,2.20M,-67.60M,,1.124B,490.80M,2.20M,69.80M,-67.60M,-20.20M,-67.60M,403.00M,113.40M,289.60M,,,-2.50M,,287.10M,301.62M,687.20M,214.40M,472.80M,0.95,,,,0.9982,0.95,0.93,,,,0.9772,0.93,301.40M,307.70M,0.275
2013-09,3.484B,3.484B,1.866B,1.618B,1.114B,,-27.90M,69.20M,2.20M,-67.00M,,1.114B,503.80M,2.20M,69.20M,-67.00M,-27.80M,-67.00M,409.00M,101.80M,307.20M,,,0.80M,,308.00M,328.88M,690.10M,211.90M,478.20M,1.02,,,,1.089,1.02,1.0,,,,1.068,1.0,301.20M,307.20M,0.23
2013-06,3.338B,3.338B,1.810B,1.528B,1.102B,,-73.60M,68.80M,2.60M,-66.20M,,1.102B,425.90M,2.60M,68.80M,-66.20M,-73.60M,-66.20M,286.10M,70.30M,215.80M,,,-2.70M,,213.10M,268.59M,559.50M,204.60M,354.90M,0.71,,,,0.8941,0.71,0.69,,,,0.8705,0.69,301.50M,307.40M,0.23
2013-03,2.872B,2.872B,1.540B,1.332B,1.021B,,-26.30M,65.00M,3.50M,-61.50M,,1.021B,311.40M,3.50M,65.00M,-61.50M,-49.70M,-61.50M,200.20M,39.20M,161.00M,,,-1.40M,,159.60M,199.56M,450.50M,185.30M,265.20M,0.54,,,,0.6753,0.54,0.53,,,,0.6628,0.53,295.40M,300.90M,0.23
2012-12,3.046B,3.046B,1.546B,1.500B,1.069B,,-34.70M,64.00M,1.50M,-62.50M,,1.069B,430.50M,1.50M,64.00M,-62.50M,-34.70M,-62.50M,333.30M,98.80M,234.50M,,,-3.10M,,231.40M,255.81M,578.20M,180.90M,397.30M,0.79,,,,0.873,0.79,0.77,,,,0.8512,0.77,294.00M,300.70M,0.23
2012-09,3.023B,3.023B,1.616B,1.407B,977.70M,,-28.00M,66.80M,2.60M,-64.20M,,977.70M,429.20M,2.60M,66.80M,-64.20M,-28.00M,-64.20M,337.00M,97.70M,239.30M,,,-1.30M,,238.00M,257.77M,581.80M,178.00M,403.80M,0.81,,,,0.8775,0.81,0.8,,,,0.8662,0.8,292.70M,298.60M,0.2
2012-06,2.959B,2.959B,1.609B,1.350B,981.70M,,-41.60M,66.10M,2.20M,-63.90M,,981.70M,368.10M,2.20M,66.10M,-63.90M,-41.60M,-63.90M,262.60M,79.20M,183.40M,,,1.10M,,184.50M,213.54M,507.10M,178.40M,328.70M,0.63,,,,0.7295,0.63,0.62,,,,0.7174,0.62,291.90M,298.20M,0.2
2012-03,2.811B,2.811B,1.614B,1.197B,989.70M,,-41.40M,88.70M,2.60M,-86.10M,,989.70M,207.20M,2.60M,88.70M,-86.10M,-41.40M,-86.10M,79.70M,35.60M,44.10M,,,5.60M,,49.70M,76.61M,345.60M,177.20M,168.40M,0.17,,,,0.2623,0.17,0.17,,,,0.2603,0.17,291.50M,297.90M,0.2
2011-12,1.845B,1.845B,966.50M,878.80M,651.60M,,-63.00M,36.40M,2.00M,-34.40M,,651.60M,227.20M,2.00M,36.40M,-34.40M,-63.00M,-34.40M,129.80M,41.00M,88.80M,,,-0.10M,,88.70M,131.80M,316.60M,150.40M,166.20M,0.34,,,,0.5109,0.34,0.33,,,,0.4959,0.33,252.20M,259.80M,0.2
2011-09,1.736B,1.736B,877.90M,858.20M,595.30M,,-23.30M,15.90M,2.70M,-13.20M,,595.30M,262.90M,2.70M,15.90M,-13.20M,-23.30M,-13.20M,226.40M,71.90M,154.50M,,,-0.20M,,154.30M,170.19M,325.20M,82.90M,242.30M,0.67,0.0,,,0.7385,0.67,0.65,0.0,,,0.7173,0.65,231.90M,236.10M,0.175
2011-06,1.699B,1.699B,860.80M,838.00M,609.60M,,-30.10M,14.80M,1.70M,-13.10M,,609.60M,228.40M,1.70M,14.80M,-13.10M,-30.10M,-13.10M,185.20M,59.00M,126.20M,,,-0.30M,,125.90M,146.40M,282.80M,82.80M,200.00M,0.54,0.0,,,0.6285,0.54,0.53,0.0,,,0.6168,0.53,231.60M,236.10M,0.175
2011-03,1.518B,1.518B,770.40M,747.90M,581.60M,,-14.60M,15.00M,1.50M,-13.50M,,581.60M,166.30M,1.50M,15.00M,-13.50M,-14.60M,-13.50M,138.20M,44.40M,93.80M,,,-0.20M,,93.60M,103.51M,232.80M,79.60M,153.20M,0.4,0.0,,,0.4427,0.4,0.4,0.0,,,0.442,0.4,232.00M,235.90M,0.175
2010-12,1.576B,1.576B,783.70M,791.80M,579.70M,,-4.30M,16.90M,2.70M,-14.20M,,579.70M,212.10M,2.70M,16.90M,-14.20M,-8.50M,-14.20M,189.40M,57.80M,131.60M,,,-0.30M,,131.30M,134.29M,294.70M,88.40M,206.30M,0.56,,,,0.5729,0.56,0.55,,,,0.5626,0.55,232.20M,236.40M,0.175
2010-09,1.562B,1.562B,763.40M,798.50M,558.50M,,5.10M,16.30M,1.40M,-14.90M,,558.50M,240.00M,1.40M,16.30M,-14.90M,5.10M,-14.90M,230.20M,55.90M,174.30M,,,-0.10M,,174.20M,170.34M,328.00M,81.50M,246.50M,0.75,0.0,,,0.7334,0.75,0.74,0.0,,,0.7237,0.74,232.80M,237.00M,0.155
2010-06,1.520B,1.520B,750.00M,770.20M,565.30M,,-0.60M,16.10M,1.10M,-15.00M,,565.30M,204.90M,1.10M,16.10M,-15.00M,-0.60M,-15.00M,189.30M,59.80M,129.50M,,,-0.20M,,129.30M,129.71M,297.20M,91.80M,205.40M,0.55,0.0,,,0.5518,0.55,0.54,0.0,,,0.5417,0.54,233.40M,237.40M,0.155
2010-03,1.432B,1.432B,716.70M,715.40M,558.10M,,-3.50M,16.30M,1.30M,-15.00M,,558.10M,157.30M,1.30M,16.30M,-15.00M,-3.50M,-15.00M,138.80M,43.10M,95.70M,,,-0.20M,,95.50M,97.91M,241.30M,86.20M,155.10M,0.41,0.0,,,0.4203,0.41,0.4,0.0,,,0.4101,0.4,235.40M,239.00M,0.155
2009-12,1.564B,1.564B,781.10M,783.40M,577.40M,,-10.20M,16.40M,1.30M,-15.10M,,577.40M,206.00M,1.30M,16.40M,-15.10M,-10.20M,-15.10M,180.70M,64.40M,116.30M,,,-0.50M,,115.80M,122.36M,282.80M,85.70M,197.10M,0.49,0.0,,,0.5177,0.49,0.48,0.0,,,0.5073,0.48,237.30M,240.80M,0.155
2009-09,1.546B,1.546B,763.90M,782.50M,554.10M,,-5.40M,16.40M,1.30M,-15.10M,,554.10M,228.40M,1.30M,16.40M,-15.10M,-5.40M,-15.10M,207.90M,62.70M,145.20M,,,-0.20M,,145.00M,148.77M,307.90M,83.60M,224.30M,0.61,0.0,,,0.6259,0.61,0.6,0.0,,,0.6157,0.6,237.00M,240.60M,0.14
2009-06,1.442B,1.442B,725.10M,716.40M,526.40M,,-25.00M,16.90M,1.70M,-15.20M,,526.40M,190.00M,1.70M,16.90M,-15.20M,-25.00M,-15.20M,149.80M,50.30M,99.50M,,,-0.40M,,99.10M,115.71M,251.30M,84.60M,166.70M,0.42,0.0,,,0.4902,0.42,0.41,0.0,,,0.4793,0.41,236.50M,239.50M,0.14
2009-03,1.348B,1.348B,707.90M,640.30M,516.30M,,-26.50M,17.80M,2.00M,-15.80M,,516.30M,124.00M,2.00M,17.80M,-15.80M,-26.50M,-15.80M,81.70M,24.00M,57.70M,,,-0.30M,,57.40M,76.12M,179.90M,80.40M,99.50M,0.24,0.0,,,0.3193,0.24,0.24,0.0,,,0.3186,0.24,236.10M,238.10M,0.14
2008-12,1.483B,1.483B,770.20M,713.10M,541.40M,,-31.50M,17.80M,2.30M,-15.50M,,541.40M,171.70M,2.30M,17.80M,-15.50M,-31.50M,-15.50M,124.70M,44.30M,80.40M,,,-0.40M,,80.00M,100.31M,222.00M,79.50M,142.50M,0.34,0.0,,,0.4246,0.34,0.34,0.0,,,0.4239,0.34,240.00M,242.10M,0.14
2008-09,1.626B,1.626B,834.30M,792.00M,578.80M,,-11.80M,17.90M,1.90M,-16.00M,,578.80M,213.20M,1.90M,17.90M,-16.00M,-11.80M,-16.00M,185.40M,59.50M,125.90M,,,0.30M,,126.20M,134.21M,288.50M,85.20M,203.30M,0.51,0.0,,,0.5424,0.51,0.5,0.0,,,0.5318,0.5,247.50M,251.80M,0.13
2008-06,1.57B,1.57B,798.80M,771.20M,580.00M,,19.30M,17.80M,2.50M,-15.30M,,580.00M,191.20M,2.50M,17.80M,-15.30M,19.30M,-15.30M,195.20M,56.20M,139.00M,,,0.00,,139.00M,125.26M,298.10M,85.10M,213.00M,0.56,0.0,,,0.5044,0.56,0.55,0.0,,,0.4953,0.55,247.10M,251.40M,0.13
2008-03,1.458B,1.458B,738.30M,719.60M,557.00M,,-1.90M,17.30M,2.50M,-14.80M,,557.00M,162.60M,2.50M,17.30M,-14.80M,-1.90M,-14.80M,145.90M,42.80M,103.10M,,,-0.20M,,102.90M,104.24M,248.10M,84.90M,163.20M,0.42,0.0,,,0.4254,0.42,0.41,0.0,,,0.4153,0.41,247.00M,251.50M,0.13
2007-12,1.440B,1.440B,716.40M,723.40M,557.20M,,8.10M,,,,-8.10M,549.10M,174.30M,,,,8.10M,,161.20M,47.80M,113.40M,,,,,113.40M,107.70M,250.50M,76.20M,174.30M,0.46,0.0,,,0.4369,0.46,0.45,0.0,,,0.4274,0.45,246.50M,251.80M,0.13
2007-09,1.413B,1.413B,690.10M,723.10M,523.70M,,-27.80M,,,,27.80M,551.50M,171.60M,,,,-27.80M,,158.80M,44.80M,114.00M,,,,,114.00M,133.96M,244.80M,73.20M,171.60M,0.46,0.0,,,0.5414,0.46,0.46,0.0,,,0.5399,0.46,245.20M,249.70M,0.115
2007-06,1.362B,1.362B,669.50M,692.90M,519.90M,,,,,,,519.90M,173.00M,,,,,,159.60M,49.30M,110.30M,,,,,110.30M,110.30M,245.30M,72.30M,173.00M,0.45,0.0,,,0.45,0.45,0.44,0.0,,,0.44,0.44,246.00M,250.70M,0.115
2007-03,1.254B,1.254B,615.70M,638.50M,490.10M,,,,,,,490.10M,148.40M,,,,,,136.70M,47.20M,89.50M,,,,,89.50M,89.50M,218.60M,70.20M,148.40M,0.36,0.0,,,0.36,0.36,0.35,0.0,,,0.35,0.35,249.70M,254.50M,0.115
2006-12,1.271B,1.271B,630.10M,640.90M,495.30M,,,,,,,495.30M,145.60M,,,,,,133.80M,46.60M,87.20M,,,,,87.20M,87.20M,212.30M,66.70M,145.60M,0.35,0.0,,,0.35,0.35,0.34,0.0,,,0.34,0.34,251.20M,256.80M,0.115
2006-09,1.279B,1.279B,625.50M,653.30M,471.90M,,,,,,,471.90M,181.40M,,,,,,170.10M,59.80M,110.30M,,,,,110.30M,110.30M,249.97M,68.57M,181.40M,0.44,0.0,,,0.44,0.44,0.43,0.0,,,0.43,0.43,251.60M,256.70M,0.1
2006-06,1.226B,1.226B,608.00M,617.88M,464.75M,,,,,,,464.75M,153.13M,,,,,,142.11M,48.93M,93.18M,,,,,93.18M,93.18M,221.05M,67.93M,153.13M,0.37,0.0,,,0.37,0.37,0.36,0.0,,,0.36,0.36,252.15M,256.69M,0.1
2006-03,1.120B,1.120B,552.50M,567.60M,436.20M,,,,,,,436.20M,131.40M,,,,,,121.10M,43.20M,77.90M,,,,,77.90M,77.90M,196.80M,65.40M,131.40M,0.31,0.0,,,0.31,0.31,0.3,0.0,,,0.3,0.3,253.50M,258.10M,0.1
2005-12,1.141B,1.141B,577.90M,563.59M,439.87M,,,,,,,439.87M,123.71M,,,,,,114.42M,43.70M,70.72M,,,,,70.72M,70.72M,185.98M,62.27M,123.71M,0.28,0.0,,,0.28,0.28,0.27,0.0,,,0.27,0.27,255.40M,260.10M,0.1
2005-09,1.165B,1.165B,572.86M,591.91M,429.46M,,,,,,,429.46M,162.45M,,,,,,150.92M,52.96M,97.96M,,,,,97.96M,97.96M,226.94M,64.49M,162.45M,0.38,0.0,,,0.38,0.38,0.38,0.0,,,0.38,0.38,255.82M,259.91M,0.0875
2005-06,1.159B,1.159B,571.07M,587.60M,449.35M,,,,,,,449.35M,138.25M,,,,,,126.07M,44.67M,81.40M,,,,,81.40M,81.40M,203.45M,65.20M,138.25M,0.32,0.0,,,0.32,0.32,0.31,0.0,,,0.31,0.31,255.47M,259.59M,0.0875
2005-03,1.070B,1.070B,526.56M,543.32M,416.96M,,,,,,,416.96M,126.37M,,,,,,115.18M,40.53M,74.65M,,,,,74.65M,74.65M,191.31M,64.94M,126.37M,0.27,0.0,,,0.27,0.27,0.27,0.0,,,0.27,0.27,256.27M,260.63M,0.0875
2004-12,1.073B,1.073B,535.12M,537.42M,458.90M,,0.429M,,,,-0.429M,458.48M,78.94M,,,,0.429M,,67.55M,24.10M,43.45M,,,,,43.45M,43.17M,140.70M,61.76M,78.94M,0.17,0.0,,,0.1689,0.17,0.17,0.0,,,0.1689,0.17,257.77M,257.91M,0.0875
2004-09,1.090B,1.090B,519.67M,570.65M,410.36M,,-1.345M,,,,1.345M,411.70M,158.94M,,,,-1.345M,,147.38M,52.43M,94.95M,,,,,94.95M,95.81M,221.45M,62.51M,158.94M,0.37,0.0,,,0.3734,0.37,0.36,0.0,,,0.3633,0.36,258.37M,262.25M,0.08
2004-06,1.043B,1.043B,504.61M,538.10M,402.49M,,0.254M,,,,-0.254M,402.23M,135.87M,,,,0.254M,,124.65M,46.36M,78.29M,,,,,78.29M,78.13M,197.27M,61.40M,135.87M,0.3,0.0,,,0.2994,0.3,0.3,0.0,,,0.2994,0.3,257.14M,260.90M,0.08
2004-03,979.37M,979.37M,474.09M,505.28M,385.33M,,-3.805M,,,,3.805M,389.14M,116.14M,,,,-3.805M,,104.97M,38.96M,66.01M,,,,,66.01M,68.40M,177.42M,61.29M,116.14M,0.26,0.0,,,0.2693,0.26,0.25,0.0,,,0.2592,0.25,257.02M,260.23M,0.08
2003-12,956.47M,956.47M,469.82M,486.64M,372.81M,,0.472M,,,,-0.472M,372.34M,114.30M,,,,0.70M,,103.69M,36.26M,67.44M,,,,,67.44M,67.13M,170.45M,56.15M,114.30M,0.26,0.0,,,0.2588,0.26,0.26,0.0,,,0.2588,0.26,257.43M,260.81M,0.08
2003-09,982.77M,982.77M,478.16M,504.60M,357.92M,,-1.224M,,,,1.224M,359.15M,145.46M,,,,9.653M,,144.28M,56.84M,87.44M,,,,,87.44M,88.18M,205.19M,59.74M,145.46M,0.34,0.0,,,0.3429,0.34,0.33,0.0,,,0.3328,0.33,258.69M,261.61M,0.0725
2003-06,946.74M,946.74M,466.73M,480.00M,358.78M,,0.147M,,,,-0.147M,358.64M,121.36M,,,,0.147M,,109.61M,42.46M,67.16M,,,,,67.16M,67.06M,172.63M,51.26M,121.36M,0.26,0.0,,,0.2597,0.26,0.25,0.0,,,0.2497,0.25,261.25M,264.55M,0.0725
2003-03,875.85M,875.85M,430.48M,445.37M,344.03M,,0.197M,,,,-0.197M,343.84M,101.53M,,,,0.197M,,90.83M,35.51M,55.32M,,,,,55.32M,55.20M,164.04M,62.50M,101.53M,0.21,0.0,,,0.2095,0.21,0.21,0.0,,,0.2095,0.21,260.45M,263.64M,0.0725
