,OperatingRevenue,Revenue,GeneralandAdministrativeExpense,SG&AExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2015-09,12.85B,12.85B,3.175B,3.175B,58.00M,-407.00M,321.00M,-321.00M,-32.00M,2.736B,321.00M,-321.00M,395.00M,-321.00M,-115.00M,65.00M,-180.00M,-17.00M,,-34.00M,,-231.00M,30.20M,1.092B,206.00M,-0.17,-0.01,,0.0209,-0.18,-0.17,-0.01,,0.0209,-0.18,1.279B,1.279B,0.28
2015-06,15.78B,15.78B,3.09B,3.09B,72.00M,-415.00M,316.00M,-316.00M,13.00M,2.688B,316.00M,-316.00M,1.514B,-316.00M,2.552B,777.00M,1.775B,16.00M,,9.00M,,1.80B,2.073B,1.184B,2.868B,1.34,0.01,,1.557,1.35,1.31,0.01,,1.5219999999999998,1.32,1.329B,1.365B,0.125
2015-03,16.02B,16.02B,2.949B,2.949B,70.00M,-144.00M,340.00M,-340.00M,-24.00M,2.781B,340.00M,-340.00M,1.297B,-340.00M,3.776B,1.30B,2.476B,1.00M,,-9.00M,,2.468B,2.561B,1.226B,4.116B,1.81,0.0,,1.879,1.81,1.78,0.0,,1.848,1.78,1.366B,1.386B,0.125
2014-12,15.48B,15.48B,3.249B,3.249B,62.00M,-1.329B,346.00M,-346.00M,10.00M,1.93B,346.00M,-346.00M,1.371B,-346.00M,729.00M,19.00M,710.00M,-35.00M,,-20.00M,,655.00M,1.984B,1.076B,1.075B,0.53,-0.03,,1.46,0.5,0.52,-0.03,,1.4369999999999998,0.49,1.391B,1.412B,0.125
2014-09,16.76B,16.76B,3.151B,3.151B,52.00M,-776.00M,430.00M,-430.00M,11.00M,2.386B,430.00M,-430.00M,1.97B,-430.00M,3.019B,820.00M,2.199B,2.00M,,-9.00M,,2.192B,2.755B,1.029B,3.449B,1.54,0.0,,1.9380000000000002,1.54,1.52,0.0,,1.912,1.52,1.419B,1.442B,0.125
2014-06,16.17B,16.17B,4.203B,4.203B,45.00M,2.095B,463.00M,-463.00M,-15.00M,6.283B,463.00M,-463.00M,1.965B,-463.00M,4.48B,1.474B,3.006B,30.00M,,37.00M,,3.073B,1.637B,1.222B,4.943B,2.11,0.02,,1.135,2.13,2.08,0.02,,1.12,2.1,1.442B,1.465B,0.125
2014-03,16.20B,16.20B,4.12B,4.12B,42.00M,-276.00M,479.00M,-479.00M,-5.00M,3.839B,479.00M,-479.00M,2.413B,-479.00M,2.273B,614.00M,1.659B,-47.00M,,-3.00M,,1.609B,1.857B,1.121B,2.752B,1.13,-0.03,,1.268,1.1,1.12,-0.03,,1.2570000000000001,1.09,1.459B,1.473B,0.125
2013-12,18.36B,18.36B,14.87B,14.87B,832.00M,-1.025B,514.00M,-514.00M,-3.009B,10.84B,514.00M,-514.00M,3.485B,-514.00M,2.15B,188.00M,1.962B,11.00M,,5.00M,,1.978B,2.902B,1.155B,2.664B,1.34,0.0,,1.9769999999999999,1.34,1.33,0.0,,1.962,1.33,1.469B,1.481B,0.1
2013-09,16.04B,16.04B,1.119B,1.119B,61.00M,-142.00M,516.00M,-516.00M,1.272B,2.249B,516.00M,-516.00M,2.122B,-516.00M,1.178B,-970.00M,2.148B,-18.00M,,40.00M,,2.17B,2.280B,1.058B,1.694B,1.48,-0.01,,1.5430000000000001,1.47,1.47,-0.01,,1.5319999999999998,1.46,1.475B,1.485B,0.1
2013-06,18.46B,18.46B,1.093B,1.093B,35.00M,-120.00M,535.00M,-535.00M,890.00M,1.863B,535.00M,-535.00M,3.168B,-535.00M,3.165B,425.00M,2.74B,18.00M,,-27.00M,,2.731B,2.817B,1.297B,3.70B,1.84,0.01,,1.91,1.85,1.83,0.01,,1.9,1.84,1.477B,1.482B,0.0
2013-03,17.01B,17.01B,1.031B,1.031B,43.00M,-383.00M,577.00M,-577.00M,873.00M,1.521B,577.00M,-577.00M,2.511B,-577.00M,2.875B,717.00M,2.158B,73.00M,,-25.00M,,2.206B,2.421B,1.203B,3.452B,1.44,0.05,,1.635,1.49,1.44,0.05,,1.635,1.49,1.476B,1.477B,0.0
2012-12,21.06B,21.06B,,,,-7.068B,585.00M,-585.00M,-2.739B,-9.807B,585.00M,-585.00M,6.335B,-585.00M,-5.802B,-2.132B,-3.67B,-279.00M,,-9.00M,,-3.958B,791.80M,3.33B,-5.217B,-2.01,-0.16,,1.021,-2.17,-2.01,-0.16,,1.021,-2.17,1.475B,1.475B,0.0
2012-09,16.67B,16.67B,,,,0.00,602.00M,-602.00M,584.00M,584.00M,602.00M,-602.00M,1.334B,-602.00M,2.558B,734.00M,1.824B,37.00M,,-5.00M,,1.856B,1.819B,1.461B,3.16B,1.11,0.02,,1.11,1.13,1.11,0.02,,1.11,1.13,1.642B,1.643B,0.0
2012-06,16.20B,16.20B,,,,-9.00M,567.00M,-567.00M,1.373B,1.364B,567.00M,-567.00M,1.145B,-567.00M,1.669B,-491.00M,2.16B,179.00M,,-7.00M,,2.332B,2.159B,1.343B,2.236B,1.23,0.1,,1.2329999999999999,1.33,1.23,0.1,,1.2329999999999999,1.33,1.757B,1.757B,0.0
2012-03,17.50B,17.50B,,,,0.00,565.00M,-565.00M,678.00M,678.00M,565.00M,-565.00M,589.00M,-565.00M,4.466B,1.081B,3.385B,64.00M,,-241.00M,,3.208B,3.144B,1.215B,5.031B,1.68,0.03,,1.68,1.71,1.68,0.03,,1.68,1.71,1.876B,1.876B,0.0
2011-12,18.53B,18.53B,2.137B,2.137B,,98.00M,-611.00M,611.00M,1.32B,3.555B,-611.00M,611.00M,2.827B,611.00M,2.885B,-18.58B,21.46B,140.00M,,-123.00M,,21.48B,21.28B,1.754B,2.274B,11.9,0.06,,11.87,11.96,11.9,0.06,,11.87,11.96,1.900B,1.900B,0.0
2011-09,12.72B,12.72B,2.057B,2.057B,,0.00,970.00M,-970.00M,876.00M,2.933B,970.00M,-970.00M,1.497B,-970.00M,-4.27B,-665.00M,-3.605B,-221.00M,,-164.00M,,-3.99B,-3.769B,2.033B,-3.30B,-1.99,-0.11,,-1.99,-2.1,-1.99,-0.11,,-1.99,-2.1,1.900B,1.900B,0.0
2011-06,16.68B,16.68B,,,,-657.00M,1.001B,-1.001B,577.00M,-80.00M,1.001B,-1.001B,1.561B,-1.001B,1.794B,-296.00M,2.09B,-37.00M,,-217.00M,,1.836B,2.300B,1.733B,2.795B,1.03,-0.03,,1.263,1.0,1.03,-0.03,,1.262,1.0,1.837B,1.837B,0.0
2011-03,17.44B,17.44B,,,,-3.983B,1.061B,-1.061B,441.00M,-3.542B,1.061B,-1.061B,2.352B,-1.061B,-1.31B,-226.00M,-1.084B,2.585B,,-204.00M,,1.297B,2.008B,1.852B,-249.00M,-1.34,1.65,,0.7758,0.31,-1.34,1.65,,0.7758,0.31,1.558B,1.558B,0.0
2010-12,21.20B,21.20B,1.379B,1.379B,,17.54B,2.186B,-2.186B,880.00M,19.80B,2.186B,-2.186B,2.335B,-2.186B,14.49B,4.815B,9.673B,2.037B,,-534.00M,,11.18B,-2.570B,3.529B,16.67B,13.64,3.01,,-70.61,16.65,13.64,3.01,,-70.58,16.65,138.98M,139.03M,0.0
2010-09,19.46B,19.46B,1.031B,1.031B,,4.00M,2.31B,-2.31B,710.00M,1.745B,2.31B,-2.31B,2.246B,-2.31B,306.00M,486.00M,-180.00M,-1.833B,,-504.00M,,-2.517B,-686.60M,2.696B,2.616B,-4.95,-13.58,,-4.968999999999999,-18.53,-4.95,-13.58,,-4.968999999999999,-18.53,135.88M,135.88M,0.0
2010-06,18.31B,18.31B,,,,-438.00M,1.734B,-1.734B,1.10B,662.00M,1.734B,-1.734B,2.03B,-1.734B,1.501B,1.005B,496.00M,-2.611B,,-541.00M,,-2.656B,239.70M,2.282B,3.235B,-0.25,-19.32,,1.8459999999999999,-19.57,-0.25,-19.32,,1.8459999999999999,-19.57,135.81M,135.81M,0.0
2010-03,18.56B,18.56B,,,,-76.00M,1.751B,-1.751B,3.775B,3.699B,1.751B,-1.751B,2.127B,-1.751B,1.641B,-447.00M,2.088B,343.00M,,-648.00M,,1.783B,1.489B,2.813B,3.392B,2.16,0.5,,2.524,2.66,2.16,0.5,,2.524,2.66,135.66M,135.72M,0.0
2009-12,18.57B,18.57B,,,,-320.00M,7.558B,-7.558B,1.657B,1.337B,7.558B,-7.558B,255.00M,-7.558B,-8.483B,21.00M,-8.504B,-506.00M,,137.00M,,-8.873B,-8.159B,2.945B,-925.00M,-68.77,3.21,,-67.23,-65.56,-68.77,3.21,,-67.23,-65.56,135.47M,135.47M,0.0
2009-09,19.60B,19.60B,,,,-1.139B,2.093B,-2.093B,2.016B,877.00M,2.093B,-2.093B,3.355B,-2.093B,-517.00M,-408.00M,-109.00M,94.00M,,470.00M,,455.00M,1.101B,2.357B,1.576B,0.68,0.0,,6.152,0.68,0.68,0.0,,6.146,0.68,135.29M,135.46M,0.0
2009-06,23.92B,23.92B,,,,-892.00M,2.553B,-2.553B,2.252B,1.36B,2.553B,-2.553B,3.485B,-2.553B,171.00M,-415.00M,586.00M,1.259B,,-23.00M,,1.822B,1.143B,3.722B,2.724B,0.47,1.83,,4.756,2.3,0.47,1.83,,4.754,2.3,135.28M,135.34M,0.0
2009-03,13.32B,13.32B,,,,-76.00M,2.587B,-2.587B,2.239B,2.163B,2.587B,-2.587B,2.333B,-2.587B,-6.516B,-1.303B,-5.213B,80.00M,,780.00M,,-4.353B,-4.372B,3.05B,-3.929B,-40.29,0.62,,-39.84,-39.67,-40.29,0.62,,-39.84,-39.67,135.25M,135.25M,0.0
2008-12,-27.97B,-27.97B,,,,-804.00M,12.10B,-12.10B,2.012B,1.208B,12.10B,-12.10B,-10.75B,-12.10B,-58.32B,1.48B,-59.80B,,,897.00M,,-61.66B,-58.38B,12.72B,-46.22B,-449.13,-19.73,,-445.25,-468.86,-449.13,-19.73,,-445.25,-468.86,134.86M,134.86M,0.0
2008-09,898.00M,898.00M,,,,0.00,2.297B,-2.297B,2.815B,2.815B,2.297B,-2.297B,2.236B,-2.297B,-28.18B,-3.48B,-24.70B,,,237.00M,,-24.47B,-24.47B,928.00M,-25.89B,-181.02,0.0,,-181.02,-181.02,-181.02,0.0,,-181.02,-181.02,135.17M,135.17M,4.4
2008-06,19.93B,19.93B,,,,0.00,1.333B,-1.333B,2.877B,2.877B,1.333B,-1.333B,3.116B,-1.333B,-8.756B,-3.357B,-5.399B,,,42.00M,,-5.357B,-5.357B,914.00M,-7.423B,-41.13,0.0,,-41.13,-41.13,-41.13,0.0,,-41.13,-41.13,130.25M,130.25M,4.0
2008-03,14.03B,14.03B,,,,0.00,1.272B,-1.272B,2.529B,2.529B,1.272B,-1.272B,-5.506B,-1.272B,-11.26B,-3.537B,-7.727B,,,-78.00M,,-7.805B,-7.805B,885.00M,-9.992B,-61.8,0.0,,-61.8,-61.8,-61.8,0.0,,-61.8,-61.8,126.40M,126.40M,4.0
2007-12,18.43B,18.43B,,,,,1.326B,-1.326B,2.502B,2.502B,1.326B,-1.326B,-6.801B,-1.326B,-8.436B,-3.413B,-5.023B,,,-269.00M,,-5.292B,-5.292B,929.00M,-7.11B,-40.6,0.0,,-40.6,-40.6,-40.6,0.0,,-40.6,-40.6,127.60M,128.25M,4.0
2007-09,29.84B,29.84B,,,,,1.232B,-1.232B,2.773B,2.773B,1.232B,-1.232B,4.795B,-1.232B,4.879B,1.463B,3.416B,,,-331.00M,,3.085B,3.085B,1.376B,6.111B,24.0,0.0,,24.0,24.0,23.8,0.0,,23.8,23.8,128.80M,129.45M,4.0
2007-06,31.15B,31.15B,,,,,,,,,,,3.792B,,6.328B,1.679B,4.649B,,,-372.00M,,4.277B,4.277B,-2.084B,6.328B,32.8,0.0,,32.8,32.8,32.8,0.0,,32.8,32.8,130.10M,130.65M,3.3
2007-03,30.64B,30.64B,,,,,,,,,,,3.949B,,6.172B,1.726B,4.446B,,,-316.00M,,4.13B,4.13B,3.692B,6.172B,31.6,0.0,,31.6,31.6,31.6,0.0,,31.6,31.6,130.60M,131.05M,3.3
2006-12,30.01B,30.01B,,,,,,,,,,,3.552B,,5.352B,1.471B,4.575B,,0.00,-442.00M,,3.439B,3.439B,-8.254B,5.352B,26.4,0.0,0.0,26.4,26.4,26.4,0.0,-0.0001,26.4,26.4,130.55M,130.85M,3.3
2006-09,29.25B,29.25B,,,,,,,,,,,3.981B,,6.301B,1.943B,4.224B,,0.00,-134.00M,,4.224B,4.224B,3.845B,6.301B,32.4,0.0,0.0,32.4,32.4,32.2,0.0,0.0,32.2,32.2,130.35M,131.30M,3.3
2006-06,26.85B,26.85B,,,,,,,,,,,2.597B,,5.241B,1.688B,3.19B,,0.00,-363.00M,,3.19B,3.19B,,5.241B,24.6,0.0,0.0,24.6,24.6,24.2,0.0,0.0,24.2,24.2,130.30M,131.25M,3.0
2006-03,27.28B,27.28B,,,,,,,,,,,2.868B,,4.793B,1.435B,3.161B,,34.00M,-197.00M,,3.195B,3.161B,,4.793B,24.2,0.2,0.0,24.2,24.4,24.2,0.2,0.2591,24.2,24.4,130.25M,131.20M,3.0
2005-12,27.39B,27.39B,,,,,,,,,,,2.261B,,316.00M,-279.00M,444.00M,,0.00,-151.00M,,444.00M,444.00M,824.00M,316.00M,3.4,0.0,0.0,3.4,3.4,3.4,0.0,0.0,3.4,3.4,129.85M,131.80M,3.0
2005-09,26.41B,26.41B,,,,,,,,,,,3.434B,,2.547B,748.00M,1.745B,,0.00,-54.00M,,1.745B,1.745B,645.00M,2.547B,13.4,0.0,0.0,13.4,13.4,13.2,0.0,0.0,13.2,13.2,129.85M,131.20M,3.0
2005-06,27.90B,27.90B,,,,,,,,,,,5.265B,,6.701B,2.083B,4.489B,,0.00,-129.00M,,4.489B,4.489B,384.00M,6.701B,34.6,0.0,0.0,34.6,34.6,34.2,0.0,0.0,34.2,34.2,129.80M,131.15M,2.5
2005-03,27.20B,27.20B,,,,,,,,,,,4.053B,,5.649B,1.706B,3.799B,,0.00,-144.00M,,3.799B,3.799B,639.00M,5.649B,29.2,0.0,0.0,29.2,29.2,29.0,0.0,0.0,29.0,29.0,129.85M,131.20M,2.5
2004-12,25.41B,25.41B,,,,,,,,,,,3.299B,,2.364B,785.00M,1.441B,,0.00,-138.00M,,1.441B,1.441B,607.00M,2.364B,11.0,0.0,0.0,11.0,11.0,11.0,0.0,-0.0008,11.0,11.0,130.00M,131.55M,1.5
2004-09,25.28B,25.28B,,,,,,,,,,,3.625B,,4.091B,1.264B,2.685B,,0.00,-142.00M,,2.685B,2.685B,640.00M,4.091B,20.8,0.0,0.0,20.8,20.8,20.4,0.0,0.0,20.4,20.4,130.30M,131.90M,1.5
2004-06,23.50B,23.50B,,,,,,,,,,,2.959B,,3.973B,1.218B,2.65B,,0.00,-105.00M,,2.65B,2.65B,542.00M,3.973B,20.4,0.0,0.0,20.4,20.4,20.2,0.0,0.0,20.2,20.2,130.40M,132.00M,1.3
2004-03,23.38B,23.38B,,,,,,,,,,,2.703B,,3.939B,1.169B,2.70B,,-144.00M,-70.00M,,2.556B,2.70B,560.00M,3.939B,20.8,-1.2,-0.0,20.8,19.6,20.6,-1.2,-1.103,20.6,19.4,130.50M,132.10M,1.3
2003-12,22.18B,22.18B,,,,,,,,,,,3.508B,,4.05B,1.259B,2.698B,,9.00M,-93.00M,,2.707B,2.698B,599.00M,4.05B,20.6,0.0,0.0,20.6,20.6,20.6,0.0,0.0685,20.6,20.6,130.50M,131.40M,1.3
2003-09,20.31B,20.31B,,,,,,,,,,,2.708B,,3.504B,1.069B,2.337B,,0.00,-98.00M,,2.337B,2.337B,,3.504B,18.0,0.0,0.0,18.0,18.0,17.8,0.0,0.0,17.8,17.8,130.50M,131.40M,1.3
2003-06,19.89B,19.89B,,,,,,,,,,,2.724B,,3.43B,1.06B,2.276B,,0.00,-94.00M,,2.276B,2.276B,,3.43B,17.4,0.0,0.0,17.4,17.4,17.4,0.0,0.0,17.4,17.4,130.50M,131.35M,0.94
2003-03,18.93B,18.93B,,,,,,,,,,,2.521B,,2.924B,876.00M,1.954B,,0.00,-94.00M,,1.954B,1.954B,,2.924B,15.0,0.0,0.0,15.0,15.0,14.8,0.0,0.0,14.8,14.8,130.50M,131.40M,0.94
2002-12,16.22B,16.22B,,,,,,,,,,,2.374B,,-647.00M,-625.00M,243.00M,,0.00,411.00M,,243.00M,243.00M,994.00M,-647.00M,1.0,0.0,0.0,1.0,1.0,0.8,0.0,0.0,0.8,0.8,141.32M,145.40M,0.94
2002-09,17.15B,17.15B,,,,,,,,,,,2.621B,,2.729B,817.00M,1.842B,,0.00,-70.00M,,1.842B,1.842B,295.00M,2.729B,14.0,0.0,0.0,14.0,14.0,14.0,0.0,0.0,14.0,14.0,130.50M,131.70M,0.94
2002-06,6.379B,6.379B,,,,,,,-9.728B,-9.728B,,,-7.896B,,2.767B,872.00M,1.801B,,0.00,-94.00M,,1.801B,1.801B,411.00M,2.767B,13.8,0.0,0.0,13.8,13.8,13.6,0.0,0.0,13.6,13.6,130.65M,132.00M,0.84
2002-03,6.13B,6.13B,,,,,,,-9.549B,-9.549B,,,-7.657B,,2.959B,892.00M,1.98B,,0.00,-87.00M,,1.98B,1.98B,388.00M,2.959B,15.2,0.0,0.0,15.2,15.2,15.0,0.0,0.0,15.0,15.0,130.75M,132.05M,0.84
2001-12,43.65B,43.65B,,,,,,,25.07B,25.07B,,,32.35B,,495.00M,,589.00M,,0.00,153.00M,,589.00M,589.00M,361.00M,495.00M,4.6,0.0,0.0,4.6,4.6,4.4,0.0,-0.0011,4.4,4.4,130.55M,132.70M,0.84
2001-09,5.48B,5.48B,,,,,,,-6.41B,-6.41B,,,-7.825B,,617.00M,164.00M,408.00M,,-81.00M,-45.00M,,327.00M,408.00M,445.00M,617.00M,3.0,-0.6,-0.0,3.0,2.4,3.0,-0.6,-0.6183,3.0,2.4,131.00M,132.55M,0.84
2001-06,5.412B,5.412B,,,,,,,-6.945B,-6.945B,,,-5.797B,,2.385B,704.00M,1.627B,,0.00,-54.00M,,1.627B,1.627B,338.00M,2.385B,13.8,0.0,0.0,13.8,13.8,13.8,0.0,0.0,13.8,13.8,116.60M,117.90M,0.74
2001-03,5.417B,5.417B,,,,,,,-7.086B,-7.086B,,,-5.409B,,2.272B,362.00M,1.538B,,-6.00M,-69.00M,,1.532B,1.538B,293.00M,2.272B,13.2,0.0,0.0,13.2,13.2,13.0,0.0,-0.0514,13.0,13.0,116.70M,117.95M,0.74
2000-12,42.19B,42.19B,,,,,,,19.60B,19.60B,,,25.34B,,3.024B,,1.814B,,,-7.00M,,2.002B,2.002B,325.00M,3.024B,11.4,0.0,,11.4,11.4,11.2,0.0,,11.2,11.2,173.02M,175.97M,0.74
