,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,"Machine,Furniture&Equipment",GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,Liabilities(Quarterly),AccountsPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,Shareholder'sEquity(Quarterly),TotalCapitalStock,RetainedEarnings,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,SECFilingLinks
2012-09,1.423B,2.44B,3.863B,1.356B,1.356B,211.00M,76.00M,1.028B,1.315B,246.00M,860.00M,,7.64B,0.00,613.00M,1.556B,2.169B,-1.24B,929.00M,2.06B,1.342B,3.402B,327.00M,310.00M,169.00M,5.137B,12.78B,,2012-09,270.00M,410.00M,748.00M,1.158B,,18.00M,18.00M,,,,1.576B,1.751B,1.751B,,,,1.089B,2.84B,4.416B,,2012-09,38.00M,7.162B,,78.00M,8.361B,,2012-09
2012-06,1.393B,2.067B,3.46B,1.368B,1.368B,203.00M,69.00M,1.017B,1.289B,290.00M,791.00M,,7.198B,0.00,605.00M,1.495B,2.10B,-1.202B,898.00M,2.028B,1.349B,3.377B,319.00M,312.00M,158.00M,5.064B,12.26B,,2012-06,295.00M,376.00M,767.00M,1.143B,,16.00M,16.00M,,,,1.489B,1.75B,1.75B,,,,1.071B,2.821B,4.31B,,2012-06,38.00M,6.908B,,-60.00M,7.952B,,2012-06
2012-03,690.00M,2.607B,3.297B,1.472B,1.472B,200.00M,71.00M,1.047B,1.318B,336.00M,806.00M,,7.229B,0.00,612.00M,1.509B,2.121B,-1.212B,909.00M,2.082B,1.425B,3.507B,320.00M,333.00M,161.00M,5.23B,12.46B,,2012-03,311.00M,477.00M,759.00M,1.236B,,23.00M,23.00M,,,,1.549B,1.751B,1.751B,,,,1.137B,2.888B,4.437B,,2012-03,38.00M,6.701B,,235.00M,8.022B,,2012-03
2011-12,905.00M,2.513B,3.418B,1.417B,1.417B,185.00M,46.00M,1.052B,1.283B,312.00M,777.00M,,7.207B,600.00M,,1.455B,2.055B,-1.167B,888.00M,2.072B,1.442B,3.514B,,,537.00M,4.939B,12.15B,,2011-12,345.00M,581.00M,798.00M,1.379B,,17.00M,17.00M,,,,1.84B,1.751B,1.751B,,,,872.00M,2.623B,4.463B,,2011-12,38.00M,6.479B,,144.00M,7.683B,,2011-12
2011-09,810.00M,2.403B,3.213B,1.319B,1.319B,198.00M,49.00M,1.062B,1.297B,327.00M,775.00M,,6.931B,,,,2.074B,-1.186B,888.00M,2.042B,1.454B,3.496B,320.00M,287.00M,161.00M,5.152B,12.08B,,2011-09,282.00M,410.00M,743.00M,1.153B,,25.00M,25.00M,,,,1.562B,1.755B,1.755B,,,,1.209B,2.964B,4.526B,,2011-09,38.00M,6.24B,,272.00M,7.557B,,2011-09
2011-06,497.10M,2.178B,2.675B,1.348B,1.348B,197.20M,49.10M,1.050B,1.284B,416.50M,778.60M,,6.503B,,,,2.069B,-1.183B,886.00M,2.028B,1.398B,3.426B,319.70M,300.40M,161.90M,5.094B,11.60B,,2011-06,307.00M,405.30M,836.50M,1.242B,,24.40M,24.40M,,,,1.604B,996.70M,996.70M,,,,1.218B,2.215B,3.818B,,2011-06,38.80M,6.254B,,484.30M,7.778B,,2011-06
2011-03,735.10M,2.151B,2.886B,1.310B,1.310B,177.80M,45.30M,1.010B,1.220B,343.50M,741.00M,,6.501B,,,,1.959B,-1.114B,845.00M,1.854B,1.312B,3.166B,308.00M,251.30M,160.00M,4.730B,11.23B,,2011-03,292.00M,501.40M,772.30M,1.274B,,28.20M,28.20M,,,,1.587B,996.60M,996.60M,,,,1.195B,2.192B,3.779B,,2011-03,38.80M,6.015B,,416.30M,7.452B,,2011-03
2010-12,1.758B,2.622B,4.38B,1.252B,1.252B,158.00M,65.00M,834.00M,1.057B,290.00M,653.00M,,7.632B,0.00,554.00M,1.296B,1.85B,-1.052B,798.00M,1.072B,703.00M,1.775B,291.00M,248.00M,151.00M,3.263B,10.90B,,2010-12,292.00M,409.00M,753.00M,1.162B,,25.00M,25.00M,,,,1.605B,996.00M,996.00M,,,,1.12B,2.116B,3.721B,,2010-12,39.00M,6.017B,,154.00M,7.174B,,2010-12
2010-09,925.60M,3.589B,4.515B,1.159B,1.159B,156.30M,85.00M,805.50M,1.035B,218.00M,617.20M,,7.544B,,,,2.009B,-1.077B,931.60M,951.00M,653.50M,1.604B,297.00M,250.70M,144.40M,3.228B,10.77B,,2010-09,247.80M,367.60M,1.019B,1.387B,,19.10M,19.10M,,,,1.406B,996.40M,996.40M,,,,1.064B,2.060B,3.466B,,2010-09,39.70M,6.091B,,209.80M,7.306B,,2010-09
2010-06,785.20M,3.243B,4.028B,1.108B,1.108B,148.80M,87.50M,743.40M,968.20M,195.40M,599.50M,,6.900B,,,,1.938B,-1.039B,898.70M,932.30M,654.60M,1.587B,291.10M,247.20M,136.40M,3.160B,10.06B,,2010-06,212.80M,318.70M,957.50M,1.276B,,18.90M,18.90M,,,,1.295B,996.30M,996.30M,,,,1.023B,2.020B,3.315B,,2010-06,39.70M,5.813B,,-51.80M,6.746B,,2010-06
2010-03,1.202B,2.735B,3.938B,1.121B,1.121B,148.20M,89.30M,735.00M,961.00M,239.40M,616.80M,,6.875B,,,,1.968B,-1.043B,925.00M,951.20M,666.30M,1.618B,290.00M,254.70M,135.80M,3.223B,10.10B,,2010-03,230.70M,456.20M,921.00M,1.377B,,27.60M,27.60M,,,,1.405B,996.20M,996.20M,,,,1.027B,2.023B,3.428B,,2010-03,39.70M,5.554B,,152.00M,6.671B,,2010-03
2009-12,658.70M,2.296B,2.955B,1.147B,1.147B,140.10M,84.00M,730.40M,943.00M,204.10M,602.20M,,5.851B,0.00,693.40M,1.270B,1.964B,-1.016B,947.60M,956.80M,634.70M,1.592B,285.40M,258.90M,136.70M,3.220B,9.071B,,2009-12,200.20M,394.60M,1.028B,1.423B,,18.00M,18.00M,,,,1.441B,,,,,,1.035B,1.035B,2.476B,,2009-12,39.80M,5.397B,,258.00M,6.595B,,2009-12
2009-09,960.30M,1.969B,2.929B,1.114B,1.114B,144.50M,89.90M,748.50M,977.30M,146.30M,595.30M,,5.762B,,,,1.949B,-995.20M,954.10M,594.60M,360.30M,954.90M,286.90M,205.10M,296.40M,2.697B,8.459B,,2009-09,204.50M,206.60M,973.30M,1.180B,,18.10M,18.10M,,,,1.198B,,,,,,,820.30M,2.018B,,2009-09,39.80M,5.191B,,326.60M,6.441B,,2009-09
2009-06,666.30M,1.762B,2.428B,1.097B,1.097B,151.90M,90.90M,754.50M,991.70M,152.80M,570.60M,,5.240B,,,,1.900B,-950.10M,950.30M,578.00M,364.00M,942.00M,282.10M,209.30M,299.50M,2.683B,7.924B,,2009-06,211.70M,226.10M,829.60M,1.056B,,19.40M,19.40M,,,,1.075B,,,,,,,790.90M,1.866B,,2009-06,39.70M,4.962B,,189.00M,6.058B,,2009-06
2009-03,685.80M,1.559B,2.245B,1.055B,1.055B,150.30M,90.50M,755.00M,990.20M,157.10M,552.70M,,5.000B,,,,1.849B,-904.50M,944.30M,554.40M,355.10M,909.50M,270.60M,223.90M,237.00M,2.585B,7.585B,,2009-03,273.70M,417.10M,744.20M,1.161B,,20.50M,20.50M,,,,1.182B,,,,,,,778.30M,1.960B,,2009-03,39.70M,4.671B,,69.30M,5.625B,,2009-03
2008-12,701.10M,1.494B,2.196B,1.130B,1.130B,138.20M,92.70M,727.40M,952.70M,179.60M,521.90M,,4.979B,0.00,686.70M,1.184B,1.871B,-907.20M,963.80M,567.50M,368.00M,935.50M,275.20M,212.20M,237.30M,2.624B,7.603B,,2008-12,274.30M,462.90M,978.70M,1.442B,,20.50M,20.50M,,,,1.462B,,,,,,,734.50M,2.197B,,2008-12,39.60M,4.390B,,164.80M,5.407B,,2008-12
2008-09,668.00M,1.540B,2.208B,1.105B,1.105B,134.30M,95.50M,755.10M,981.20M,136.20M,561.20M,,4.991B,,,,1.892B,-899.50M,992.80M,531.20M,378.00M,909.20M,,175.00M,506.40M,2.583B,7.575B,,2008-09,262.50M,262.50M,843.60M,1.106B,,21.20M,21.20M,,,16.10M,1.143B,,,,,,,686.10M,1.830B,,2008-09,40.40M,4.657B,,259.10M,5.745B,,2008-09
2008-06,421.60M,2.141B,2.563B,1.132B,1.132B,123.90M,96.80M,736.20M,953.20M,146.90M,560.10M,,5.355B,,,,1.913B,-895.20M,1.018B,544.30M,398.30M,942.60M,,173.80M,536.20M,2.670B,8.025B,,2008-06,268.20M,268.20M,798.20M,1.066B,,23.80M,23.80M,,,33.80M,1.124B,,,,,,,682.20M,1.806B,,2008-06,41.20M,4.961B,,432.00M,6.219B,,2008-06
2008-03,423.50M,1.939B,2.363B,1.095B,1.095B,120.00M,87.00M,691.30M,894.60M,,562.00M,149.90M,5.064B,,,,1.892B,-868.70M,1.023B,548.80M,408.80M,957.60M,,175.70M,533.50M,2.690B,7.754B,,2008-03,277.70M,277.70M,716.40M,994.10M,,17.70M,17.70M,,,137.40M,1.149B,,,,,,,672.10M,1.821B,,2008-03,41.20M,4.655B,,480.20M,5.933B,,2008-03
2007-12,290.50M,2.120B,2.411B,1.031B,1.031B,110.00M,75.90M,614.00M,796.20M,132.80M,534.40M,,4.905B,0.00,677.10M,1.109B,1.786B,-794.30M,991.60M,527.40M,398.10M,925.50M,293.10M,171.80M,67.10M,2.449B,7.354B,,2007-12,265.50M,459.80M,856.40M,1.316B,,16.80M,16.80M,,,,1.333B,,,,,,,642.50M,1.976B,,2007-12,41.10M,4.365B,,260.80M,5.378B,,2007-12
2007-09,170.90M,1.902B,2.073B,954.30M,954.30M,103.40M,81.80M,603.30M,785.10M,137.70M,488.60M,,4.439B,,,,1.720B,-762.30M,957.40M,524.10M,695.70M,1.220B,,183.80M,58.60M,2.420B,6.859B,,2007-09,240.40M,240.40M,781.70M,1.022B,,17.40M,17.40M,,,47.60M,1.087B,,,,,,,610.30M,1.697B,,2007-09,41.00M,4.224B,,214.00M,5.161B,,2007-09
2007-06,170.00M,1.610B,1.780B,940.50M,940.50M,101.10M,80.90M,554.80M,733.40M,132.20M,476.00M,,4.062B,,,,1.654B,-721.60M,932.70M,513.00M,392.30M,905.30M,,165.20M,354.40M,2.358B,6.420B,,2007-06,231.20M,231.20M,722.00M,953.20M,,17.40M,17.40M,,,69.30M,1.040B,,,,,,,578.60M,1.618B,,2007-06,41.00M,3.996B,,113.60M,4.801B,,2007-06
2007-03,294.30M,1.172B,1.466B,936.60M,936.60M,102.80M,79.00M,531.80M,710.20M,132.60M,452.50M,,3.698B,,,,1.694B,-732.20M,962.30M,533.00M,400.00M,933.00M,,140.80M,342.50M,2.379B,6.077B,,2007-03,224.20M,224.20M,698.80M,923.00M,,15.10M,15.10M,,,123.30M,1.061B,0.10M,0.10M,,,,527.20M,527.30M,1.589B,,2007-03,40.90M,3.726B,,105.90M,4.488B,,2007-03
