,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2018-03,224.65M,225.40M,73.22M,152.18M,,7.929M,,,26.18M,0.179M,-26.00M,,66.04M,86.14M,0.179M,26.18M,-26.00M,-0.525M,-26.00M,59.62M,,59.62M,3.316M,,-1.684M,2.01M,61.25M,57.93M,143.91M,58.11M,85.80M,0.7636,0.0455,,,0.7636,0.81,0.7629,0.0454,,,0.7629,0.81,72.90M,72.97M,1.0
2017-12,233.54M,223.96M,74.14M,149.82M,,10.27M,,,26.17M,0.222M,-25.95M,,66.66M,83.16M,0.222M,26.17M,-25.95M,65.53M,-25.95M,122.73M,,122.73M,,,-2.129M,2.01M,50.66M,120.60M,205.30M,56.39M,148.91M,0.5609,0.11,,,0.5609,0.67,0.5602,0.1098,,,0.5602,0.67,72.52M,72.60M,1.0
2017-09,212.05M,217.95M,68.74M,149.21M,,9.103M,,,26.29M,0.079M,-26.21M,,64.71M,84.50M,0.079M,26.29M,-26.21M,-0.182M,-26.21M,58.11M,,58.11M,50.78M,,-2.105M,0.177M,106.78M,56.00M,140.00M,55.61M,84.39M,0.77,0.7043,,,0.77,1.47,0.7687,0.7032,,,0.7687,1.47,72.09M,72.21M,1.0
2017-06,204.25M,208.05M,63.65M,144.40M,,8.643M,,,23.91M,0.068M,-23.84M,,61.31M,83.09M,0.068M,23.91M,-23.84M,-0.114M,-23.84M,59.14M,,59.14M,19.00M,,-1.842M,0.135M,76.29M,57.30M,135.71M,52.67M,83.04M,0.7904,0.2638,,,0.7904,1.05,0.789,0.2634,,,0.789,1.05,72.00M,72.12M,0.98
2017-03,204.45M,207.39M,66.20M,141.19M,,8.267M,,,23.76M,0.106M,-23.65M,,59.65M,81.54M,0.106M,23.76M,-23.65M,0.00,-23.65M,57.89M,,57.89M,0.178M,,-1.88M,0.135M,56.19M,56.01M,133.03M,51.38M,81.65M,0.7743,0.0025,,,0.7743,0.78,0.7728,0.0025,,,0.7728,0.78,71.86M,72.00M,0.98
2016-12,200.87M,204.11M,64.06M,140.05M,,8.121M,,,23.85M,0.089M,-23.76M,,56.57M,83.48M,0.089M,23.85M,-23.76M,0.009M,-23.76M,59.72M,,59.72M,0.00,,-1.687M,0.135M,58.04M,58.04M,132.02M,48.45M,83.58M,0.81,0.0,,,0.81,0.81,0.8,0.0,,,0.8,0.8,71.63M,71.78M,0.98
2016-09,197.47M,201.16M,63.56M,137.60M,,8.232M,,,24.31M,0.105M,-24.21M,,57.14M,80.46M,0.105M,24.31M,-24.21M,0.00,-24.21M,56.25M,,56.25M,4.945M,,-2.221M,0.136M,58.98M,54.03M,129.47M,48.90M,80.57M,0.7533,0.0693,,,0.7533,0.82,0.7515,0.0692,,,0.7515,0.82,71.32M,71.49M,0.98
2016-06,192.94M,197.98M,60.38M,137.61M,,9.036M,,,23.10M,0.077M,-23.02M,,57.47M,80.14M,0.077M,23.10M,-23.02M,0.00,-23.02M,57.11M,,57.11M,1.787M,,-2.957M,0.135M,55.94M,54.15M,128.65M,48.44M,80.21M,0.78,0.01,,,0.78,0.79,0.77,0.01,,,0.77,0.78,70.80M,70.97M,0.94
2016-03,195.31M,198.34M,65.61M,132.73M,,8.01M,,,23.73M,0.103M,-23.63M,,55.81M,76.92M,0.103M,23.73M,-23.63M,0.041M,-23.63M,53.34M,,53.34M,25.73M,,-2.108M,0.135M,76.96M,51.23M,124.86M,47.80M,77.07M,0.73,0.37,,,0.73,1.1,0.73,0.37,,,0.73,1.1,69.77M,69.96M,0.94
2015-12,189.20M,192.51M,62.05M,130.46M,,8.119M,0.00,,23.21M,0.04M,-23.17M,,54.54M,75.91M,0.04M,23.21M,-23.17M,0.43M,-23.17M,53.18M,,53.18M,16.82M,,-2.044M,0.135M,67.95M,51.13M,122.81M,46.42M,76.38M,0.7344,0.2418,,,0.7344,0.98,0.7344,0.2407,,,0.7344,0.98,69.28M,69.46M,0.94
2015-09,181.56M,185.25M,56.24M,129.01M,,9.374M,,,21.73M,0.006M,-21.73M,,53.09M,75.92M,0.006M,21.73M,-21.73M,0.36M,-21.73M,54.55M,,54.55M,,,-2.103M,0.136M,52.45M,52.45M,120.00M,43.72M,76.28M,0.75,0.0,,,0.75,0.75,0.75,0.0,,,0.75,0.75,69.01M,69.18M,0.94
2015-06,175.88M,181.46M,53.29M,128.17M,,9.299M,-19.07M,,23.44M,0.074M,-23.37M,,51.97M,76.20M,0.074M,23.44M,-23.37M,-18.67M,-23.37M,34.16M,,34.16M,,11.51M,-2.041M,0.135M,43.63M,43.57M,100.28M,42.67M,57.61M,0.46,0.17,0.0,,0.627,0.63,0.46,0.17,0.1675,,0.6265,0.63,68.53M,68.71M,0.87
2015-03,181.17M,184.79M,61.83M,122.96M,,8.853M,,,24.17M,0.029M,-24.14M,,50.84M,72.12M,0.029M,24.17M,-24.14M,0.22M,-24.14M,48.20M,,48.20M,,0.00,-2.017M,0.135M,46.19M,46.19M,114.36M,41.98M,72.37M,0.67,0.0,0.0,,0.67,0.67,0.67,0.0,0.0,,0.67,0.67,68.37M,68.56M,0.87
2014-12,171.63M,176.38M,53.24M,123.14M,,8.114M,-10.54M,,24.17M,0.049M,-24.12M,,51.52M,71.61M,0.049M,24.17M,-24.12M,-10.21M,-24.12M,37.28M,,37.28M,0.00,,-2.117M,0.135M,35.16M,42.02M,104.86M,43.41M,61.45M,0.51,0.0,,,0.6108,0.51,0.5,0.0,,,0.6005,0.5,68.00M,68.18M,0.87
2014-09,166.11M,170.94M,52.28M,118.66M,,8.374M,0.00,,23.42M,0.002M,-23.42M,,51.03M,67.62M,0.002M,23.42M,-23.42M,0.446M,-23.42M,44.65M,,44.65M,4.401M,,-1.974M,0.136M,47.08M,42.67M,110.73M,42.66M,68.07M,0.62,0.07,,,0.62,0.69,0.62,0.07,,,0.62,0.69,67.56M,67.73M,0.87
2014-06,162.38M,167.95M,50.57M,117.38M,,8.124M,0.00,,23.21M,0.018M,-23.20M,,49.02M,68.36M,0.018M,23.21M,-23.20M,0.25M,-23.20M,45.42M,,45.42M,0.00,,-1.871M,0.135M,43.54M,43.54M,109.52M,40.89M,68.63M,0.64,0.0,,,0.64,0.64,0.64,0.0,,,0.64,0.64,67.11M,67.28M,0.78
2014-03,166.19M,170.83M,55.83M,115.00M,,7.704M,,,23.14M,0.025M,-23.11M,,51.55M,63.44M,0.025M,23.14M,-23.11M,0.213M,-23.11M,40.54M,,40.54M,,,-1.792M,0.135M,38.75M,38.75M,107.53M,43.85M,63.68M,0.58,,,,0.58,0.58,0.57,,,,0.57,0.57,66.62M,66.77M,0.78
2013-12,159.95M,163.85M,50.10M,113.75M,,9.068M,-9.905M,,24.66M,0.268M,-24.40M,,50.28M,63.47M,0.268M,24.66M,-24.40M,-9.472M,-24.40M,29.60M,,29.60M,0.00,,-1.147M,0.135M,28.46M,34.89M,95.48M,41.21M,54.27M,0.43,0.0,,,0.5276,0.43,0.42,0.0,,,0.5174,0.42,65.97M,66.12M,0.78
2013-09,154.31M,159.03M,47.44M,111.58M,,7.543M,0.00,,25.76M,0.07M,-25.69M,,46.88M,64.70M,0.07M,25.76M,-25.69M,0.381M,-25.69M,39.39M,,39.39M,23.98M,,-1.268M,0.136M,62.10M,38.12M,104.56M,39.41M,65.15M,0.57,0.37,,,0.57,0.94,0.57,0.37,,,0.57,0.94,65.50M,65.65M,0.78
2013-06,153.21M,157.39M,45.84M,111.55M,,8.302M,-3.399M,,27.15M,0.065M,-27.08M,,48.06M,63.49M,0.065M,27.15M,-27.08M,-3.027M,-27.08M,33.38M,,33.38M,5.418M,,-1.258M,0.135M,37.54M,34.33M,100.38M,39.85M,60.53M,0.49,0.08,,,0.5239,0.57,0.49,0.08,,,0.5238,0.57,65.15M,65.31M,0.73
2013-03,152.62M,157.15M,47.07M,110.08M,,7.057M,,,27.40M,0.03M,-27.38M,,47.57M,62.50M,0.03M,27.40M,-27.38M,0.312M,-27.38M,35.44M,,35.44M,0.403M,,-1.254M,0.135M,34.59M,34.18M,103.47M,40.62M,62.84M,0.52,0.01,,,0.52,0.53,0.52,0.01,,,0.52,0.53,64.69M,64.85M,0.73
2012-12,151.78M,155.78M,46.78M,109.00M,,8.264M,0.00,,27.59M,0.109M,-27.48M,,43.51M,65.49M,0.109M,27.59M,-27.48M,0.528M,-27.48M,38.54M,,38.54M,0.323M,,-1.166M,0.135M,37.69M,37.37M,101.46M,35.34M,66.13M,0.58,0.0,,,0.58,0.58,0.58,0.0,,,0.58,0.58,64.39M,64.55M,0.73
2012-09,146.94M,157.23M,46.88M,110.35M,,8.751M,0.00,,28.22M,0.261M,-27.96M,,43.60M,66.75M,0.261M,28.22M,-27.96M,0.49M,-27.96M,39.28M,,39.28M,0.371M,,-1.012M,0.136M,38.64M,38.27M,102.44M,34.93M,67.50M,0.59,0.01,,,0.59,0.6,0.59,0.01,,,0.59,0.6,64.01M,64.20M,0.73
2012-06,141.80M,147.56M,43.44M,104.12M,,7.139M,0.00,,28.73M,0.112M,-28.62M,,42.34M,61.78M,0.112M,28.73M,-28.62M,0.438M,-28.62M,33.60M,,33.60M,0.00,,-0.993M,0.135M,32.60M,32.60M,97.53M,35.20M,62.33M,0.51,0.0,,,0.51,0.51,0.51,0.0,,,0.51,0.51,63.70M,63.88M,0.69
2012-03,140.66M,146.29M,42.17M,104.12M,,7.004M,,,28.79M,0.207M,-28.59M,,43.58M,60.55M,0.207M,28.79M,-28.59M,0.301M,-28.59M,32.26M,,32.26M,11.86M,,-1.136M,0.135M,42.99M,31.13M,97.63M,36.57M,61.06M,0.48,0.19,,,0.48,0.67,0.48,0.19,,,0.48,0.67,63.41M,63.58M,0.69
2011-12,125.16M,139.51M,88.64M,50.87M,,9.342M,0.00,,25.72M,0.047M,-25.67M,,-5.126M,56.00M,0.047M,25.72M,-25.67M,0.607M,-25.67M,,,30.93M,1.524M,,-1.534M,0.135M,30.92M,29.40M,90.17M,31.85M,58.32M,0.46,0.03,,,0.46,0.49,0.45,0.03,,,0.45,0.48,63.24M,63.39M,0.69
2011-09,137.66M,137.66M,26.60M,111.07M,,7.197M,,15.05M,23.80M,0.136M,-23.66M,,54.31M,56.76M,0.136M,23.80M,-23.66M,0.434M,-23.66M,,,33.53M,14.77M,,-1.249M,0.136M,47.05M,32.28M,88.84M,32.08M,56.76M,0.51,0.23,,,0.51,0.74,0.51,0.23,,,0.51,0.74,62.82M,62.99M,0.69
2011-06,136.28M,136.28M,25.13M,111.15M,,6.395M,,15.55M,23.90M,0.02M,-23.88M,,53.81M,57.33M,0.02M,23.90M,-23.88M,0.444M,-23.88M,,,33.89M,2.578M,,-1.714M,0.135M,34.76M,32.18M,89.40M,32.06M,57.33M,0.51,0.04,,,0.51,0.55,0.51,0.04,,,0.51,0.55,62.21M,62.39M,0.67
2011-03,137.65M,137.65M,29.40M,108.25M,,6.051M,0.296M,15.41M,25.04M,0.015M,-25.03M,,51.87M,56.37M,0.015M,25.04M,-25.03M,0.619M,-25.03M,31.96M,,31.96M,0.421M,,-1.198M,0.135M,31.19M,30.57M,87.58M,30.57M,57.01M,0.49,0.01,,,0.4869,0.5,0.49,0.01,,,0.4869,0.5,61.47M,61.63M,0.67
2010-12,118.19M,137.33M,86.85M,50.49M,,6.78M,-0.33M,,25.20M,0.023M,-25.18M,,-8.606M,59.09M,0.023M,25.20M,-25.18M,0.224M,-25.18M,34.14M,,34.14M,0.169M,,-1.489M,0.135M,32.82M,32.86M,89.46M,30.12M,59.34M,0.53,0.0,,,0.5335,0.53,0.53,0.0,,,0.5335,0.53,61.25M,61.40M,0.67
2010-09,133.45M,133.45M,27.03M,106.42M,,5.904M,0.00,15.18M,25.30M,0.018M,-25.28M,,50.52M,55.90M,0.018M,25.30M,-25.28M,0.125M,-25.28M,30.74M,,30.74M,0.27M,,-1.37M,0.136M,29.64M,29.37M,85.63M,29.59M,56.04M,0.48,0.0,,,0.48,0.48,0.48,0.0,,,0.48,0.48,61.22M,61.36M,0.67
2010-06,133.22M,133.22M,25.51M,107.70M,,6.016M,0.00,14.83M,25.42M,0.033M,-25.38M,,51.86M,55.84M,0.033M,25.42M,-25.38M,0.188M,-25.38M,30.64M,,30.64M,1.724M,,-1.254M,0.135M,31.11M,29.39M,87.24M,31.18M,56.06M,0.47,0.03,,,0.47,0.5,0.47,0.03,,,0.47,0.5,61.17M,61.31M,0.66
2010-03,138.32M,138.32M,29.90M,108.42M,,5.489M,-2.801M,15.09M,25.96M,0.182M,-25.78M,,49.44M,58.98M,0.182M,25.96M,-25.78M,-2.608M,-25.78M,30.59M,,30.59M,-0.04M,,-1.334M,0.135M,29.22M,31.08M,85.49M,28.93M,56.56M,0.47,0.0,,,0.4998,0.47,0.47,0.0,,,0.4997,0.47,61.09M,61.22M,0.66
2009-12,136.85M,138.11M,45.45M,92.66M,,5.862M,3.061M,,29.16M,1.88M,-27.28M,,34.04M,58.62M,1.88M,29.16M,-27.28M,3.309M,-27.28M,,,33.39M,-0.023M,,-1.396M,0.135M,31.97M,30.00M,87.08M,28.46M,58.62M,0.52,0.0,,,0.4874,0.52,0.52,0.0,,,0.4875,0.52,61.02M,61.16M,0.66
2009-09,129.88M,130.99M,38.85M,92.14M,,5.749M,-0.33M,,30.21M,2.033M,-28.18M,,34.16M,57.98M,2.033M,30.21M,-28.18M,0.143M,-28.18M,,,28.84M,0.00,,-1.406M,0.136M,27.43M,27.65M,86.39M,28.41M,57.98M,0.45,0.0,,,0.4536,0.45,0.45,0.0,,,0.4536,0.45,60.02M,60.14M,0.66
2009-06,129.03M,130.34M,39.90M,90.44M,,5.276M,-1.107M,,25.83M,1.567M,-24.26M,,34.91M,55.53M,1.567M,25.83M,-24.26M,-0.708M,-24.26M,,,29.25M,0.544M,,-1.377M,0.135M,28.42M,28.59M,85.16M,29.63M,55.53M,0.47,0.01,,,0.4822,0.48,0.47,0.01,,,0.4822,0.48,58.92M,59.04M,0.65
2009-03,129.81M,131.08M,42.53M,88.55M,,5.145M,-20.62M,,23.58M,1.357M,-22.23M,,33.74M,54.81M,1.357M,23.58M,-22.23M,-20.42M,-22.23M,,,10.90M,0.972M,,-1.389M,0.135M,10.48M,22.91M,83.40M,28.59M,54.81M,0.16,0.01,,,0.3878,0.17,0.16,0.01,,,0.3873,0.17,58.84M,58.96M,0.65
2008-12,132.32M,133.53M,43.07M,90.45M,,7.281M,0.00,,25.00M,1.46M,-23.54M,,36.50M,53.96M,1.46M,25.00M,-23.54M,0.432M,-23.54M,,,29.64M,5.391M,,-1.31M,0.135M,33.72M,28.33M,83.19M,29.23M,53.96M,0.47,0.09,,,0.47,0.56,0.47,0.09,,,0.47,0.56,58.79M,58.94M,0.65
2008-09,130.60M,131.71M,42.24M,89.47M,,5.391M,0.00,,25.34M,1.223M,-24.11M,,34.02M,55.45M,1.223M,25.34M,-24.11M,0.407M,-24.11M,,,30.63M,7.786M,,-1.315M,0.136M,37.10M,29.32M,84.09M,28.64M,55.45M,0.5,0.13,,,0.5,0.63,0.5,0.13,,,0.5,0.63,58.72M,58.92M,0.65
2008-06,127.59M,128.71M,40.30M,88.42M,,7.118M,0.00,,24.48M,1.326M,-23.15M,,34.90M,53.52M,1.326M,24.48M,-23.15M,0.442M,-23.15M,,,29.69M,0.694M,,-1.409M,0.135M,28.97M,28.28M,81.31M,27.80M,53.52M,0.48,0.01,,,0.48,0.49,0.48,0.01,,,0.48,0.49,58.64M,58.91M,0.61
2008-03,125.25M,126.37M,39.65M,86.72M,,6.942M,0.00,,24.35M,1.455M,-22.90M,,32.33M,54.39M,1.455M,24.35M,-22.90M,0.331M,-22.90M,,,30.70M,0.614M,,-1.332M,0.135M,29.99M,29.37M,79.79M,25.40M,54.39M,0.5,0.01,,,0.5,0.51,0.5,0.01,,,0.5,0.51,58.50M,58.78M,0.61
2007-12,125.19M,126.36M,39.47M,86.90M,,7.687M,,,27.12M,1.472M,-25.65M,,33.87M,53.03M,1.472M,27.12M,-25.65M,0.275M,-25.65M,,,25.20M,96.97M,,-1.281M,0.135M,122.17M,120.89M,79.54M,26.51M,53.03M,0.44,1.73,,-1.705,0.44,2.17,0.43,1.72,,-1.705,0.43,2.15,56.53M,56.96M,0.61
2007-09,122.44M,123.56M,37.26M,86.31M,,7.172M,,,28.73M,1.321M,-27.41M,,32.22M,54.09M,1.321M,28.73M,-27.41M,0.473M,-27.41M,,,24.40M,-0.881M,,-1.629M,0.136M,23.52M,21.89M,80.16M,26.07M,54.09M,0.43,-0.01,,0.0446,0.43,0.42,0.43,-0.02,,0.0443,0.43,0.41,56.30M,56.69M,0.61
2007-06,117.83M,118.95M,34.72M,84.24M,,6.114M,,,28.18M,1.334M,-26.84M,,31.61M,52.63M,1.334M,28.18M,-26.84M,0.363M,-26.84M,,,23.64M,3.079M,,-1.384M,0.135M,26.72M,25.33M,79.53M,26.90M,52.63M,0.42,0.05,,-0.0302,0.42,0.47,0.42,0.05,,-0.0302,0.42,0.47,56.17M,56.59M,0.575
2007-03,115.26M,115.26M,,,,5.608M,,,,,,34.87M,65.39M,49.88M,,,,,,,,21.75M,2.766M,,-1.296M,0.036M,23.14M,20.37M,76.36M,26.48M,49.88M,0.39,0.03,,,0.39,0.42,0.39,0.02,,,0.39,0.41,55.00M,56.34M,0.575
2006-12,122.40M,121.82M,,,5.593M,5.593M,,-68.54M,,,,105.67M,68.54M,53.29M,,,,,,,,25.30M,6.584M,,-0.87M,1.816M,24.44M,17.86M,79.10M,25.56M,53.29M,0.34,-0.02,,,0.34,0.32,0.34,-0.02,,,0.34,0.32,55.24M,55.24M,0.575
2006-09,112.26M,112.26M,,,6.265M,6.265M,,,,,,32.37M,62.36M,49.91M,,,,,,,,24.44M,0.547M,,-1.086M,2.869M,24.98M,24.44M,73.89M,23.98M,49.91M,0.41,0.01,,,0.41,0.42,0.4,0.01,,,0.4,0.41,52.65M,53.94M,0.575
2006-06,108.54M,108.54M,,,,4.981M,7.441M,,,,,30.81M,59.96M,48.58M,,,,7.441M,,,,23.02M,7.793M,,-1.324M,2.869M,38.26M,26.00M,72.88M,24.30M,48.58M,0.38,0.29,,,0.2955,0.67,0.38,0.28,,,0.2967,0.66,52.82M,53.62M,0.555
2006-03,108.38M,108.38M,,,,4.501M,,,,,,32.62M,61.02M,47.36M,,,,,,,,22.42M,8.616M,,-1.073M,2.869M,31.03M,22.42M,71.39M,24.04M,47.36M,0.37,0.16,,,0.37,0.53,0.37,0.16,,,0.37,0.53,53.14M,53.14M,0.555
2005-12,107.27M,109.57M,,,5.468M,5.468M,,,,,,-136.78M,63.01M,46.55M,,,,-16.85M,,,,22.72M,12.40M,,-1.231M,2.868M,35.13M,22.72M,69.88M,23.19M,46.55M,0.37,0.24,,,0.37,0.61,0.37,0.23,,,0.37,0.6,52.63M,53.52M,0.555
2005-09,100.90M,100.52M,,,4.957M,4.957M,9.463M,-56.76M,,,,86.48M,56.76M,43.76M,,,,9.463M,,,,21.26M,9.417M,,-1.208M,2.869M,30.68M,15.59M,66.48M,22.72M,43.76M,0.35,0.18,,,0.2418,0.53,0.34,0.18,,,0.2338,0.52,52.47M,53.48M,0.555
2005-06,99.25M,99.25M,,,,4.982M,3.602M,,,,,28.11M,55.33M,43.92M,,,,3.602M,,,,22.27M,2.536M,,-1.279M,2.869M,24.81M,20.11M,66.92M,22.99M,43.92M,0.37,0.05,,,0.3286,0.42,0.36,0.05,,,0.3196,0.41,52.23M,53.51M,0.555
2005-03,101.98M,101.52M,,,4.502M,4.502M,4.282M,-59.22M,,,,92.02M,59.22M,42.29M,,,,4.282M,,,,19.18M,4.821M,,-1.516M,2.869M,24.00M,16.61M,64.89M,22.60M,42.29M,0.31,0.09,,,0.2614,0.4,0.31,0.09,,,0.2614,0.4,52.82M,52.82M,0.505
2004-12,94.12M,95.26M,,,,4.721M,,,,,,-139.99M,59.40M,35.86M,,,,-9.126M,,,,14.35M,7.569M,,-0.853M,2.868M,21.92M,14.35M,58.77M,22.91M,35.86M,0.22,0.14,,,0.22,0.36,0.22,0.14,,,0.22,0.36,51.87M,52.37M,0.505
2004-09,99.31M,98.83M,,,4.673M,4.673M,0.997M,-60.09M,,,,92.22M,60.09M,38.74M,,,,0.997M,,,,17.16M,1.499M,,-0.936M,2.869M,18.66M,16.56M,62.41M,23.67M,38.74M,0.27,0.03,,,0.2584,0.3,0.27,0.03,,,0.2587,0.3,51.64M,52.93M,0.505
2004-06,98.81M,98.51M,,,4.588M,4.588M,8.276M,-58.88M,,,,90.31M,58.88M,39.63M,,,,8.276M,,,,17.35M,8.983M,,-1.192M,2.869M,26.33M,12.38M,62.83M,23.20M,39.63M,0.28,0.18,,,0.1833,0.46,0.28,0.17,,,0.1857,0.45,51.36M,52.68M,0.49
2004-03,94.59M,94.23M,,,4.182M,4.182M,,-55.46M,,,,86.48M,55.46M,38.77M,,,,,,,,16.62M,0.624M,,-1.189M,2.869M,17.25M,16.56M,59.43M,20.66M,38.77M,0.28,0.01,,0.0012,0.28,0.29,0.27,0.01,,0.0011,0.27,0.28,49.16M,50.61M,0.49
2003-12,90.24M,91.57M,,,,2.178M,,,,,,-118.38M,50.79M,40.78M,,,,,,,,18.63M,16.77M,,-1.413M,2.869M,35.40M,18.63M,61.08M,20.30M,40.78M,0.32,0.35,,,0.32,0.67,0.32,0.34,,,0.32,0.67,49.09M,50.46M,0.49
2003-09,86.25M,85.94M,,,3.221M,3.221M,7.172M,-49.65M,,,,77.50M,49.65M,36.29M,,,,7.172M,,,,16.83M,7.761M,,-1.053M,2.869M,24.60M,12.53M,55.03M,18.74M,36.29M,0.28,0.16,,,0.1921,0.44,0.28,0.15,,,0.1943,0.44,48.94M,50.22M,0.49
