,NetIncome,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,CashFlow-Financing(Quarterly),NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,EndingCash(Quarterly),ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,SECFilingLinks,AsOriginallyReported
2006-06,265.15M,-8.477M,,,12.59M,12.59M,-12.72M,,,,,102.33M,-41.63M,-93.36M,5.219M,0.874M,82.91M,-50.24M,3.249M,-92.98M,265.90M,2006-06,-19.33M,-19.33M,,-205.40M,,-224.73M,,2006-06,,1.231B,34.38M,-544.94M,-510.57M,,,,-130.53M,590.00M,,2006-06,631.17M,-15.40M,884.45M,,34.38M,,,-544.94M,,2006-06,
2006-03,262.70M,8.844M,,,11.24M,11.24M,-0.626M,,,,,4.881M,-41.33M,-13.10M,-5.832M,-0.874M,,2.397M,-6.41M,-65.15M,221.89M,2006-03,-14.26M,-14.26M,,-675.74M,,-689.99M,,2006-03,,-56.13M,43.53M,,43.53M,,,,37.38M,24.78M,,2006-03,-443.32M,4.087M,268.68M,,43.53M,,,,,2006-03,
2005-12,281.60M,89.72M,,,11.87M,11.87M,-121.15M,,,,,,10.26M,-43.87M,-17.54M,27.95M,,92.17M,,68.97M,331.01M,2005-12,-13.04M,-13.04M,,-538.75M,,-551.80M,,2005-12,,298.78M,36.13M,,36.13M,,,,,334.90M,,2005-12,114.12M,1.071M,707.91M,,36.13M,,,,,2005-12,
2005-09,179.23M,81.04M,,,11.33M,11.33M,14.09M,,,,,-60.42M,-28.06M,-7.98M,-337.68M,-24.57M,,31.62M,,-366.68M,-141.40M,2005-09,-11.29M,-11.29M,,-75.80M,,-87.09M,,2005-09,,-0.049M,29.94M,,29.94M,,,,,29.89M,,2005-09,-198.60M,-2.292M,592.72M,,29.94M,,,,,2005-09,
2005-06,195.97M,-1.464M,,,6.435M,6.435M,23.24M,,,,,60.42M,31.78M,-30.55M,10.27M,21.84M,,-29.13M,,4.206M,288.81M,2005-06,-14.75M,-14.75M,,198.66M,,183.91M,,2005-06,,-0.237M,60.19M,,60.19M,,,,,59.95M,,2005-06,532.67M,-21.00M,793.62M,,60.19M,,,,,2005-06,
2005-03,157.11M,0.721M,,,6.137M,6.137M,30.58M,,,,,,-0.223M,0.485M,-10.60M,-11.69M,,54.70M,,32.68M,227.22M,2005-03,-8.875M,-8.875M,,-218.63M,,-227.51M,,2005-03,,0.12M,17.03M,,17.03M,,,,,17.15M,,2005-03,16.87M,-15.84M,281.94M,,17.03M,,,,,2005-03,
2004-12,110.24M,28.23M,,,6.429M,6.429M,39.12M,,,,,,-43.66M,-19.76M,-13.83M,14.00M,,-0.141M,,-63.38M,120.63M,2004-12,-22.27M,-22.27M,,-121.95M,,-144.22M,,2004-12,,-0.047M,22.39M,,22.39M,,,,,22.34M,,2004-12,-1.241M,-19.30M,280.91M,,22.39M,,,,,2004-12,
2004-09,113.24M,-2.145M,,,6.118M,6.118M,31.13M,,,,,0.478M,-28.19M,-10.27M,7.155M,3.565M,,45.56M,,17.81M,166.64M,2004-09,-10.90M,-10.90M,,-99.39M,,-110.29M,,2004-09,,-0.022M,16.65M,,16.65M,,,,,16.62M,,2004-09,72.97M,1.918M,301.45M,,16.65M,,,,,2004-09,
2004-06,111.46M,-3.47M,,,6.011M,6.011M,38.10M,,,,,-0.478M,-19.60M,-4.711M,-2.747M,1.881M,,-3.957M,,-29.13M,122.49M,2004-06,-12.84M,-12.84M,,-67.56M,,-80.40M,,2004-06,,-0.045M,28.84M,,28.84M,,,,,28.80M,,2004-06,70.89M,0.089M,226.56M,,28.84M,,,,,2004-06,
2004-03,114.43M,-17.11M,,,5.85M,5.85M,43.22M,,,,,,-27.39M,-3.15M,-9.345M,-7.544M,,-0.756M,,-48.19M,98.21M,2004-03,-5.355M,-5.355M,,-147.15M,,-152.51M,,2004-03,,-0.023M,10.92M,,10.92M,,,,,10.89M,,2004-03,-43.41M,4.274M,155.58M,,10.92M,,,,,2004-03,
2003-12,192.58M,-105.11M,,,6.157M,6.157M,,,,,,,-29.97M,-16.75M,0.037M,10.96M,,42.00M,,6.281M,99.91M,2003-12,84.39M,84.39M,-123.00M,5.524M,17.68M,-15.40M,,2003-12,,-0.005M,13.82M,,13.82M,,,,,13.81M,,2003-12,98.32M,-6.92M,194.72M,,13.82M,,,,,2003-12,
2003-09,73.10M,4.352M,,,5.152M,5.152M,,,,,,-3.171M,-0.834M,-17.82M,-7.736M,1.047M,,0.225M,,-25.12M,54.31M,2003-09,-115.19M,-115.19M,0.00,-7.523M,-17.68M,-140.39M,,2003-09,,0.05M,20.17M,,20.17M,,,,,20.22M,,2003-09,-65.86M,-0.174M,103.32M,,20.17M,,,,,2003-09,
2003-06,100.37M,-0.297M,,,4.951M,4.951M,,,,,,3.091M,-45.30M,-7.014M,-1.504M,-0.458M,,5.606M,,-48.68M,59.44M,2003-06,-5.143M,-5.143M,0.00,-18.05M,,-23.20M,,2003-06,,0.00,23.46M,,23.46M,,,,,23.46M,,2003-06,59.71M,-7.829M,169.36M,,23.46M,,,,,2003-06,
2003-03,-438.05M,488.90M,,,4.599M,4.599M,,,,,,0.08M,-20.97M,-4.892M,-1.603M,-5.409M,,-1.702M,,-34.58M,20.94M,2003-03,-2.67M,-2.67M,-375.51M,-170.18M,,-548.35M,,2003-03,,-1.76M,26.36M,,26.36M,,,,,24.60M,,2003-03,-502.81M,3.358M,117.48M,,26.36M,,,,,2003-03,
2002-12,35.48M,4.256M,,,3.889M,3.889M,,,,,,0.611M,-2.416M,-13.46M,-10.08M,7.152M,,10.11M,,-8.687M,35.55M,2002-12,-5.075M,-5.075M,,175.26M,,120.19M,,2002-12,,336.55M,13.02M,,13.02M,,,,,349.57M,,2002-12,505.30M,-9.981M,616.93M,,13.02M,,,,,2002-12,
2002-09,20.76M,17.21M,,,3.748M,3.748M,,,,,,-2.834M,-11.49M,4.508M,13.85M,4.766M,,10.25M,,21.89M,60.77M,2002-09,-4.251M,-4.251M,,-23.36M,,-27.61M,,2002-09,,-0.428M,8.122M,,8.122M,,,,,7.694M,,2002-09,40.85M,-2.401M,121.61M,,8.122M,,,,,2002-09,
2002-06,19.71M,1.30M,,,3.433M,3.433M,,,,,,2.526M,-27.21M,3.519M,-10.91M,2.962M,,5.88M,,-25.76M,1.21M,2002-06,-5.241M,-5.241M,,1.331M,,-3.91M,,2002-06,,-0.444M,12.00M,,12.00M,,,,,11.56M,,2002-06,8.857M,-1.937M,122.01M,,12.00M,,,,,2002-06,
2002-03,-3.85M,-0.236M,,,3.358M,3.358M,,,,,,0.308M,-2.77M,-6.916M,-1.779M,-9.648M,,-1.582M,,-22.70M,-23.12M,2002-03,-3.03M,-3.03M,,-39.82M,,-42.85M,,2002-03,,-0.453M,18.24M,,18.24M,,,,,17.79M,,2002-03,-48.17M,0.92M,115.09M,,18.24M,,,,,2002-03,
2001-12,131.58M,-153.56M,,,3.845M,3.845M,,,,,,-0.152M,-17.33M,-8.073M,4.005M,4.798M,,0.675M,,-15.92M,-34.22M,2001-12,-9.672M,120.33M,,-15.95M,0.002M,104.38M,,2001-12,,-0.708M,17.43M,,17.43M,,,,,16.72M,,2001-12,86.88M,-0.733M,123.49M,,17.43M,,,,,2001-12,
2001-09,-25.20M,-13.10M,,,3.793M,3.793M,,,,,,0.889M,-0.984M,-7.487M,-3.726M,3.115M,,11.59M,,2.511M,-31.10M,2001-09,-5.622M,-5.622M,,9.03M,14.30M,17.71M,,2001-09,,-0.801M,4.521M,,4.521M,,,,,3.72M,,2001-09,-9.671M,0.096M,37.35M,,4.521M,,,,,2001-09,
2001-06,-32.39M,2.283M,,,3.608M,3.608M,,,,,,,-1.138M,-3.183M,0.423M,2.141M,,-3.162M,,-4.919M,-31.42M,2001-06,-7.783M,-7.783M,,-2.521M,,-10.30M,,2001-06,,-0.775M,12.46M,,12.46M,,,,,11.69M,,2001-06,-30.03M,-0.452M,46.92M,,12.46M,,,,,2001-06,
2001-03,-21.72M,0.519M,,,3.445M,3.445M,,,,,,,-6.03M,0.025M,-3.436M,-1.60M,,-1.448M,,-12.49M,-30.25M,2001-03,-3.254M,-3.254M,,-87.75M,,-91.00M,,2001-03,,-0.477M,1.90M,,1.90M,,,,,1.423M,,2001-03,-119.83M,-0.062M,77.40M,,1.90M,,,,,2001-03,
2000-12,-29.26M,7.389M,,,3.321M,3.321M,,,,,,,0.442M,-1.335M,,4.924M,0.556M,-0.019M,,-6.033M,-23.41M,2000-12,-4.046M,-4.046M,,-64.83M,0.00,-68.87M,,2000-12,,241.06M,3.884M,,3.884M,,,,,244.94M,,2000-12,152.66M,1.258M,197.29M,,3.884M,,,,,2000-12,
2000-09,-17.56M,2.411M,,,2.71M,2.71M,,,,,,,-2.202M,1.065M,,2.30M,-2.933M,4.452M,,2.682M,-9.761M,2000-09,-5.602M,-5.602M,,4.187M,0.00,-1.415M,,2000-09,,-0.738M,11.46M,,11.46M,,,,,10.72M,,2000-09,-0.452M,1.086M,43.37M,,11.46M,,,,,2000-09,
2000-06,6.994M,-11.20M,,,3.084M,3.084M,,,,,,,0.257M,0.694M,,-2.124M,-0.549M,3.373M,,1.651M,0.526M,2000-06,-2.249M,-2.249M,,1.896M,0.00,-0.353M,,2000-06,,-0.811M,5.109M,,5.109M,,,,,4.298M,,2000-06,4.471M,0.973M,42.74M,,5.109M,,,,,2000-06,
2000-03,-16.94M,13.41M,,,2.893M,2.893M,,,,,,,-2.439M,-0.027M,,-2.868M,2.926M,-2.509M,,-4.917M,-5.559M,2000-03,-3.724M,-3.724M,,-7.389M,-2.45M,-13.56M,,2000-03,,-0.913M,9.996M,,9.996M,,,,,9.083M,,2000-03,-10.04M,0.324M,37.30M,,9.996M,,,,,2000-03,
1999-12,-9.00M,3.80M,,,3.10M,3.10M,,,,,,,-0.90M,-0.70M,,-1.60M,2.50M,-6.00M,,-6.70M,-8.80M,1999-12,-5.10M,-5.10M,,-11.00M,,-18.50M,,1999-12,,-1.00M,4.00M,,4.00M,,,,-0.10M,2.90M,,1999-12,-24.40M,0.70M,47.00M,,4.00M,,,,,1999-12,
1999-09,-30.33M,1.283M,,,3.453M,3.453M,,,,,,,-2.892M,-2.277M,,3.441M,1.147M,4.138M,,3.557M,-22.04M,1999-09,-1.664M,-1.664M,,-30.42M,,-32.09M,,1999-09,,-2.008M,10.52M,,10.52M,,,,0.10M,8.607M,,1999-09,-45.52M,0.31M,70.80M,,10.52M,,,,,1999-09,
1999-06,-11.69M,1.656M,,,3.055M,3.055M,,,,,,,-1.583M,-1.208M,,-0.639M,-5.024M,-4.413M,,-12.87M,-19.85M,1999-06,-2.021M,-2.021M,,4.43M,,2.409M,,1999-06,,-1.112M,4.789M,,4.789M,,,,,3.677M,,1999-06,-13.76M,0.231M,115.95M,,4.789M,,,,,1999-06,
1999-03,-15.48M,4.661M,,,2.992M,2.992M,,,,,,,-1.625M,-0.215M,,0.198M,1.077M,-3.525M,,-4.09M,-11.91M,1999-03,-3.715M,-3.715M,,35.60M,,31.88M,,1999-03,,-1.18M,9.996M,,9.996M,,,,,8.816M,,1999-03,28.78M,-0.441M,129.48M,,9.996M,,,,,1999-03,
1998-12,-18.70M,-0.40M,,,3.20M,3.20M,,,,,,-0.20M,0.90M,-0.30M,,0.00,-0.20M,3.40M,,3.80M,-12.30M,1998-12,-2.30M,-2.30M,,4.10M,-0.40M,1.40M,,1998-12,,-1.30M,3.50M,,3.50M,,,,-0.10M,2.10M,,1998-12,-8.80M,0.30M,101.10M,,3.50M,,,,,1998-12,
1998-09,-3.90M,-22.20M,,,8.60M,8.60M,,,,,,0.10M,-7.40M,1.20M,,-0.90M,-3.30M,1.30M,,-9.10M,-26.50M,1998-09,-7.60M,-7.60M,,49.60M,10.50M,52.50M,,1998-09,,-4.50M,11.50M,,11.50M,,,,-0.10M,6.90M,,1998-09,32.90M,0.30M,109.50M,,11.50M,,,,,1998-09,
1998-06,-14.80M,,,,0.70M,0.70M,,,,,,,,,,0.20M,12.80M,-4.60M,,8.40M,-5.70M,1998-06,-0.30M,-0.30M,,5.30M,0.30M,5.30M,,1998-06,,-0.70M,3.90M,,3.90M,,,,0.00,3.20M,,1998-06,2.80M,,0.00,,3.90M,,,,,1998-06,
