,NetIncome,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2006-12,288.00M,,,560.00M,,,,285.00M,18.00M,,,,56.00M,494.00M,24.00M,,121.00M,-20.00M,-396.00M,-769.00M,-546.00M,-10.00M,651.00M,,-779.00M,46.00M,-733.00M,0.00,-3.368B,3.067B,-1.034B,,,,-9.00M,21.00M,-45.00M,-24.00M,,,,,-136.00M,,143.00M,-26.00M,,2.204B,-409.00M,,1.795B,,21.00M,,,-45.00M,671.00M,200.00M,,,
2006-09,535.00M,,,-189.00M,,,,321.00M,-314.00M,,,,143.00M,-208.00M,-16.00M,,56.00M,-46.00M,582.00M,1.095B,1.463B,-75.00M,1.884B,,-550.00M,-1.00M,-551.00M,0.00,-80.00M,-22.00M,-653.00M,,,,-743.00M,12.00M,-23.00M,-11.00M,,,,,-202.00M,,71.00M,-885.00M,,1.858B,346.00M,,2.204B,,12.00M,,,-23.00M,74.00M,178.00M,,,
2006-06,100.00M,,,111.00M,,,,361.00M,45.00M,,,,-2.00M,-425.00M,-4.00M,,-85.00M,335.00M,206.00M,-278.00M,-251.00M,86.00M,450.00M,,-654.00M,1.00M,-653.00M,0.00,-31.00M,-30.00M,-714.00M,,,,522.00M,12.00M,-24.00M,-12.00M,,,,,-47.00M,,-238.00M,225.00M,,1.897B,-39.00M,,1.858B,,12.00M,,,-24.00M,81.00M,361.00M,,,
2006-03,258.00M,,,-46.00M,,,,313.00M,115.00M,,,,2.00M,347.00M,-43.00M,,-206.00M,-105.00M,-177.00M,154.00M,-30.00M,-4.00M,608.00M,,-553.00M,43.00M,-510.00M,-18.00M,-45.00M,-18.00M,-591.00M,,,,-33.00M,217.00M,-77.00M,140.00M,,,,,-129.00M,,9.00M,-13.00M,,1.893B,4.00M,,1.897B,,217.00M,,,-77.00M,,,,,
2005-12,298.00M,,,-272.00M,,,,291.00M,429.00M,,,,2.00M,259.00M,326.00M,,189.00M,-429.00M,-548.00M,-32.00M,-235.00M,-30.00M,483.00M,,-531.00M,-114.00M,-645.00M,,-183.00M,-61.00M,-889.00M,,,,-26.00M,6.00M,-37.00M,-31.00M,,,,,-134.00M,,-88.00M,-279.00M,,2.577B,-685.00M,1.00M,1.895B,,6.00M,,,-37.00M,,,,,
2005-09,434.00M,,,291.00M,,,,303.00M,-114.00M,,,,-2.00M,-312.00M,-396.00M,,241.00M,410.00M,497.00M,-486.00M,-46.00M,30.00M,896.00M,,-528.00M,124.00M,-404.00M,,0.00,15.00M,-389.00M,,,,-158.00M,224.00M,-55.00M,169.00M,,,,,-145.00M,,86.00M,-48.00M,,2.121B,459.00M,-3.00M,2.577B,,224.00M,,,-55.00M,-47.00M,-377.00M,,,
2005-06,181.00M,,,-129.00M,,,,293.00M,-189.00M,,,,,-282.00M,270.00M,,0.00,-69.00M,-76.00M,495.00M,338.00M,25.00M,519.00M,,-432.00M,,-432.00M,,0.00,-18.00M,-450.00M,,,,-380.00M,426.00M,-203.00M,223.00M,,,,,-111.00M,,-48.00M,-316.00M,,2.366B,-247.00M,2.00M,2.121B,,426.00M,,,-203.00M,47.00M,377.00M,,,
2005-03,194.00M,,,46.00M,,,,281.00M,34.00M,,,,,14.00M,-271.00M,,-97.00M,-294.00M,352.00M,59.00M,-237.00M,-3.00M,315.00M,,-377.00M,,-377.00M,,140.00M,190.00M,-47.00M,,,,-428.00M,20.00M,-35.00M,-15.00M,,,,,-110.00M,,-38.00M,-591.00M,,2.689B,-323.00M,,2.366B,,20.00M,,,-35.00M,,,,,
2004-12,259.00M,,,90.00M,,,,286.00M,697.00M,,,,83.00M,310.00M,-49.00M,,-325.00M,672.00M,-801.00M,-251.00M,-444.00M,-570.00M,401.00M,,-572.00M,-739.00M,-1.311B,0.00,-107.00M,2.62B,1.202B,,,,-1.669B,16.00M,-61.00M,-45.00M,,,,,-122.00M,,350.00M,-1.486B,,2.571B,117.00M,,2.689B,,16.00M,,,-61.00M,,,,,
2004-09,314.00M,,,132.00M,,,,263.00M,20.00M,,,,-2.00M,-65.00M,94.00M,,410.00M,-535.00M,366.00M,10.00M,280.00M,10.00M,1.017B,,-412.00M,739.00M,327.00M,0.00,-13.00M,36.00M,350.00M,,,,-1.169B,17.00M,-27.00M,-10.00M,,,,,-130.00M,,-36.00M,-1.345B,,2.596B,22.00M,-47.00M,2.571B,,17.00M,,,-27.00M,,,,,
2004-06,-398.00M,,,118.00M,,,,292.00M,-295.00M,,,,3.00M,-244.00M,-108.00M,,-57.00M,-151.00M,137.00M,13.00M,-410.00M,34.00M,-656.00M,,-419.00M,0.00,-419.00M,0.00,33.00M,-18.00M,-404.00M,,,,952.00M,10.00M,-13.00M,-3.00M,,,,,-90.00M,,62.00M,921.00M,,2.688B,-139.00M,47.00M,2.596B,,10.00M,,,-13.00M,,,,,
2004-03,51.00M,,,3.00M,,,,279.00M,135.00M,,,,47.00M,46.00M,36.00M,,-80.00M,-308.00M,195.00M,-45.00M,-156.00M,7.00M,366.00M,,-330.00M,118.00M,-212.00M,-285.00M,,-11.00M,-508.00M,,,,748.00M,5.00M,-10.00M,-5.00M,,,,,-65.00M,,-26.00M,652.00M,,2.178B,510.00M,,2.688B,,5.00M,,,-10.00M,,,,,
2003-12,138.00M,,,78.00M,,,,348.00M,128.00M,,,,69.00M,186.00M,,,-437.00M,13.44B,-13.61B,-191.00M,-450.00M,-77.00M,234.00M,,-344.00M,,-301.00M,,-5.00M,-2.00M,-308.00M,,,,-984.00M,,-24.00M,-19.00M,,,,,,,,-1.003B,,3.247B,-1.077B,9.00M,2.179B,,,,,-24.00M,,,,,
2003-09,432.00M,,,279.00M,,,,214.00M,63.00M,,,,241.00M,6.00M,,,133.00M,-44.00M,213.00M,-138.00M,170.00M,9.00M,1.408B,,-271.00M,,-271.00M,,256.00M,79.00M,64.00M,,,,-599.00M,,-1.00M,-1.00M,,,,,9.00M,,,-591.00M,,2.381B,881.00M,-15.00M,3.247B,,,,,-1.00M,,,,,
2003-06,19.00M,,,172.00M,,,,278.00M,-113.00M,,,,34.00M,-266.00M,,,-59.00M,-52.00M,579.00M,62.00M,264.00M,8.00M,662.00M,,-296.00M,,-296.00M,,-256.00M,254.00M,-298.00M,,,,-319.00M,,0.00,0.00,,,,,-9.00M,,,-328.00M,,2.333B,36.00M,12.00M,2.381B,,,,,0.00,,,,,
2003-03,57.00M,,,-136.00M,,,,315.00M,28.00M,,,,31.00M,41.00M,,,252.00M,53.00M,,56.00M,402.00M,-17.00M,680.00M,,-323.00M,,-323.00M,,,-308.00M,-631.00M,,,,-186.00M,,-5.00M,-5.00M,,,,,,,,-191.00M,,2.468B,-142.00M,7.00M,2.333B,,,,,-5.00M,,,,,
2002-12,56.00M,,,949.00M,,,,301.00M,-31.00M,,,,-345.00M,478.00M,-5.00M,,-254.00M,-351.00M,,-246.00M,39.00M,,969.00M,,-390.00M,3.00M,-387.00M,,-352.00M,195.00M,-544.00M,,,,-479.00M,,0.00,0.00,,,,,,,-5.00M,-521.00M,,2.552B,-96.00M,13.00M,2.468B,,,,,0.00,,,,,
2002-09,345.00M,,,718.00M,,,,286.00M,262.00M,,,,168.00M,-187.00M,-4.00M,,-16.00M,-27.00M,,172.00M,-62.00M,-15.00M,1.702B,,-572.00M,10.00M,-562.00M,,280.00M,-14.00M,-296.00M,,,,-538.00M,,0.00,0.00,,,,,,,126.00M,-412.00M,,1.567B,994.00M,-9.00M,2.552B,,,,,0.00,,,,,
2002-06,655.00M,,,-347.00M,,,,288.00M,68.00M,,,,37.00M,-252.00M,0.00,,28.00M,-88.00M,,175.00M,-137.00M,16.00M,580.00M,,-278.00M,0.00,-278.00M,,72.00M,-50.00M,-256.00M,,,,-366.00M,,-100.00M,-100.00M,,,,,,,-196.00M,-662.00M,,1.867B,-338.00M,21.00M,1.567B,,,,,-100.00M,,,,,
2002-03,79.00M,,,558.00M,,,,268.00M,-139.00M,,,,140.00M,154.00M,-2.00M,,-2.482B,73.00M,,422.00M,-1.835B,-1.00M,-930.00M,,-350.00M,49.00M,-301.00M,,,68.00M,-233.00M,,,,-1.194B,,,,,,,,,,188.00M,-1.006B,,4.038B,-2.169B,-2.00M,1.867B,,,,,,,,,,
2001-12,2.172B,,,-2.898B,,,,303.00M,1.599B,,,,-219.00M,118.00M,-7.00M,,-143.00M,-232.00M,148.00M,-135.00M,-251.00M,72.00M,778.00M,,-235.00M,795.00M,560.00M,,301.00M,465.00M,1.326B,,,,-1.144B,9.00M,0.00,9.00M,,,,,,,-949.00M,-2.084B,,4.03B,20.00M,4.00M,4.054B,,9.00M,,,0.00,,,,,
2001-09,801.00M,,,-367.00M,,,,269.00M,297.00M,,,,160.00M,-246.00M,-4.00M,,228.00M,-90.00M,-61.00M,329.00M,156.00M,-57.00M,1.259B,,-236.00M,65.00M,-171.00M,,-329.00M,198.00M,-302.00M,,,,-104.00M,81.00M,-164.00M,-83.00M,,,,,,,2.00M,-185.00M,,3.229B,772.00M,29.00M,4.03B,,81.00M,,,-164.00M,,,,,
2001-06,46.00M,,,-98.00M,,,,213.00M,243.00M,,,,24.00M,80.00M,1.00M,,-216.00M,180.00M,-70.00M,-316.00M,-341.00M,-44.00M,43.00M,,-203.00M,149.00M,-54.00M,,28.00M,-129.00M,-155.00M,,,,201.00M,14.00M,,14.00M,,,,,,,205.00M,420.00M,,2.934B,308.00M,-13.00M,3.229B,,14.00M,,,,,,,,
2001-03,-617.00M,,,-300.00M,,,,280.00M,-231.00M,,,,35.00M,1.00M,-6.00M,,1.682B,67.00M,72.00M,-118.00M,1.698B,29.00M,894.00M,,-259.00M,23.00M,-236.00M,,,68.00M,-168.00M,,,,749.00M,,,,,,,,,,-457.00M,292.00M,,1.973B,1.018B,-57.00M,2.934B,,,,,,,,,,
2000-12,-2.546B,,,3.822B,,,,304.05M,-1.534B,,,,,252.90M,9.076M,,18.76M,-677.37M,110.64M,194.87M,-91.12M,,-44.66M,,-403.93M,20.84M,-383.09M,,58.00M,109.92M,-262.17M,,,,1.226B,,-125.20M,-125.20M,,,,,-91.37M,,225.38M,1.234B,,1.076B,927.48M,-32.00M,1.973B,,,,,-125.20M,,,,,
2000-09,359.86M,,,-1.790B,,,,576.95M,445.63M,,,,,-187.90M,13.92M,,519.24M,458.37M,68.36M,-159.87M,712.12M,,304.66M,,-363.07M,1.681B,1.318B,,,-736.92M,581.17M,,,,-378.51M,,0.201M,0.201M,,,,,-91.63M,,-204.38M,-674.32M,,864.00M,211.52M,,1.076B,,,,,0.201M,,,,,
2000-06,137.00M,,,-546.00M,,,,534.00M,4.00M,,,,1.00M,-223.00M,-1.00M,,274.00M,279.00M,28.00M,82.00M,439.00M,,569.00M,,-390.00M,25.00M,-365.00M,,-17.00M,-192.00M,-574.00M,,,,286.00M,,-239.00M,-239.00M,,,,,-94.00M,,-7.00M,-54.00M,,917.00M,-59.00M,6.00M,864.00M,,,,,-239.00M,,,,,
2000-03,110.00M,,,-290.00M,,,,537.00M,4.00M,,,,-1.00M,-1.00M,8.00M,,-15.00M,116.00M,39.00M,68.00M,215.00M,,575.00M,,-331.00M,,-331.00M,,17.00M,-96.00M,-410.00M,,,,506.00M,,-147.00M,-147.00M,,,,,-94.00M,,-14.00M,251.00M,,507.00M,416.00M,-6.00M,917.00M,,,,,-147.00M,,,,,
1999-12,96.10M,,,-760.50M,,,,498.10M,268.50M,,,,-0.20M,187.40M,-1.30M,,-145.70M,204.20M,96.00M,-259.80M,80.80M,,182.80M,,-3.044B,91.80M,-2.952B,,,-108.20M,-4.208B,,,,3.062B,-761.00M,0.00,-761.00M,,,,,-94.00M,,1.110B,3.317B,,1.219B,-708.10M,,508.00M,,-761.00M,,,0.00,,,,,
1999-09,255.30M,,,-974.10M,,,,512.90M,24.90M,,,,0.20M,-288.70M,-2.10M,,577.60M,468.00M,59.70M,277.00M,1.092B,,910.70M,,-2.544B,2.20M,-2.542B,,,-117.40M,-2.659B,,,,1.578B,558.80M,0.10M,558.90M,,,,,-93.70M,,-13.90M,2.029B,,937.90M,280.70M,,1.219B,,558.80M,,,0.10M,,,,,
1999-06,128.39M,,,-71.30M,,,,451.70M,87.30M,,,,-0.089M,-26.90M,2.70M,,36.90M,-106.40M,28.20M,-57.40M,-122.90M,,473.10M,,-306.50M,7.20M,-299.30M,,,-787.90M,-1.087B,,,,833.00M,202.20M,-0.10M,202.10M,,,,,-93.80M,,0.10M,941.40M,,610.60M,327.30M,,937.90M,,202.20M,,,-0.10M,,,,,
1999-03,143.21M,,,-84.10M,,,,444.30M,144.30M,,,,0.089M,53.20M,-4.30M,,57.20M,-277.80M,29.10M,-34.80M,-177.40M,,470.40M,,-2.064B,13.80M,-2.050B,,,-26.50M,-2.076B,,,,1.826B,,-92.00M,-92.00M,,,,,-91.50M,,-8.90M,1.633B,,583.60M,27.10M,,610.60M,,,,,-92.00M,,,,,
1998-12,162.40M,,,-71.10M,,,,,177.80M,,,,464.20M,116.20M,4.90M,,-250.40M,-208.30M,67.90M,-195.00M,-464.70M,,268.60M,,-340.40M,14.80M,-325.60M,,,-379.90M,-705.50M,,,,-51.40M,,-60.00M,-60.00M,,,,,-92.10M,,28.00M,-175.50M,,1.196B,-612.40M,,584.00M,,,,,-60.00M,,,,,
1998-09,216.30M,,,-512.20M,,,,,165.40M,,,,402.30M,-227.90M,-4.30M,,380.20M,-110.30M,46.60M,85.00M,169.30M,,441.10M,,-224.30M,51.10M,-173.20M,,,-476.70M,-649.90M,,,,-97.70M,,-68.40M,-68.40M,,,,,-92.40M,,7.40M,-251.10M,,1.656B,-459.90M,,1.196B,,,,,-68.40M,,,,,
1998-06,145.30M,,,-829.00M,,,,,-213.20M,,,,452.00M,-299.20M,17.10M,,261.90M,467.80M,33.00M,223.40M,704.00M,,259.10M,,-199.30M,1.115B,915.90M,,,-48.70M,867.20M,,,,-329.40M,,-396.30M,-396.30M,,,,,-95.20M,,-10.20M,-831.10M,,1.361B,295.20M,,1.656B,,,,,-396.30M,,,,,
1998-03,144.00M,,,-111.70M,,,,,218.00M,,,,439.50M,175.90M,6.30M,,-108.70M,-262.20M,37.50M,-45.40M,-196.60M,,493.20M,,-199.00M,33.90M,-165.10M,,,-407.70M,-572.80M,,,,-100.50M,,-263.30M,-263.30M,,,,,-94.30M,,-8.20M,-466.30M,,1.906B,-545.90M,,1.361B,,,,,-263.30M,,,,,
1997-12,139.40M,,,-86.00M,,,,,110.50M,,,,364.60M,275.30M,15.00M,,-23.80M,-37.50M,55.60M,-230.90M,53.70M,,582.20M,,-268.60M,,-57.60M,,,-109.10M,-166.70M,,,,1.298B,,-288.30M,-288.30M,,,,,-97.60M,,-6.10M,906.10M,,585.00M,1.322B,,1.907B,,,,,-288.30M,,,,,
1997-09,276.80M,,,-60.40M,,,,,17.80M,,,,367.10M,-231.10M,9.30M,,267.60M,-318.70M,57.30M,152.80M,-62.80M,,538.50M,,-168.40M,,-168.40M,,,-131.80M,-300.20M,,,,-58.70M,-4.70M,-384.50M,-389.20M,,,,,-100.60M,,-0.50M,-549.00M,,895.70M,-310.70M,,585.00M,,-4.70M,,,-384.50M,,,,,
1997-06,139.00M,,,-44.10M,,,,,-67.40M,,,,364.50M,-155.80M,-3.00M,,40.30M,19.30M,48.40M,71.20M,20.40M,,412.40M,,-188.00M,,-188.00M,,,-363.30M,-551.30M,,,,803.10M,0.80M,-385.70M,-384.90M,,,,,-102.80M,,-14.20M,301.20M,,733.40M,162.30M,,895.70M,,0.80M,,,-385.70M,,,,,
1997-03,144.80M,,,-27.50M,,,,,54.10M,,,,353.80M,103.60M,14.70M,,-89.10M,-28.10M,20.70M,53.90M,75.70M,,600.90M,,-158.00M,,-158.00M,,,-60.80M,-218.80M,,,,-234.50M,3.90M,-214.50M,-210.60M,,,,,-107.00M,,6.80M,-545.30M,,896.60M,-163.20M,,733.40M,,3.90M,,,-214.50M,,,,,
1996-12,117.40M,,,-34.60M,,,,,194.10M,,,,321.40M,226.80M,3.50M,,-141.10M,13.20M,68.00M,-446.40M,-276.00M,,322.30M,,-136.70M,,-136.70M,,,-200.30M,-337.00M,,,,-291.50M,413.30M,-177.70M,235.60M,,,,,-108.30M,,24.50M,-139.70M,,1.052B,-154.40M,,897.00M,,413.30M,,,-177.70M,,,,,
1996-09,276.80M,,,-16.60M,,,,,-134.10M,,,,328.30M,-473.90M,27.00M,,305.20M,-134.90M,57.90M,439.70M,221.00M,,675.40M,,-172.60M,,-172.60M,,,-99.60M,-272.20M,,,,60.10M,0.00,-100.60M,-100.60M,,,,,-109.90M,,25.90M,-124.50M,,772.80M,278.70M,,1.052B,,0.00,,,-100.60M,,,,,
1996-06,155.70M,,,-68.40M,,,,,48.50M,,,,325.80M,209.80M,4.60M,,26.60M,-171.90M,34.80M,-132.40M,-28.50M,,433.10M,,-202.30M,,-202.30M,,,-56.60M,-258.90M,,,,49.50M,0.00,-65.70M,-65.70M,,,,,-110.90M,,3.10M,-124.00M,,722.70M,50.20M,,772.80M,,0.00,,,-65.70M,,,,,
1996-03,167.10M,,,26.60M,,,,,-17.50M,,,,293.50M,105.30M,3.90M,,-120.70M,150.60M,15.30M,142.10M,296.50M,,766.20M,,-232.40M,,-232.40M,,,-119.50M,-351.90M,,,,-80.10M,0.70M,,0.70M,,,,,-110.90M,,-8.50M,-198.80M,,507.20M,215.50M,,722.70M,,0.70M,,,,,,,,
1995-12,138.00M,,,60.80M,,,,,-4.10M,,,,289.50M,242.90M,10.00M,,-159.70M,61.10M,60.00M,-312.00M,-97.70M,,386.50M,,-1.264B,,-1.264B,,,254.10M,-1.010B,,,,739.00M,,-30.10M,32.90M,,,,,-111.60M,,-74.40M,585.90M,,544.50M,-37.50M,,507.00M,,,,,-30.10M,,,,,
1995-09,287.60M,,,-32.20M,,,,,-122.90M,,,,276.50M,-297.50M,14.30M,,222.20M,56.50M,56.20M,291.50M,343.20M,,752.20M,,-244.00M,,-244.00M,,,-110.50M,-354.50M,,,,-405.80M,,-15.20M,-15.20M,,,,,-111.60M,,85.50M,-447.10M,,593.90M,-49.40M,,544.50M,,,,,-15.20M,,,,,
1995-06,159.90M,,,-1.30M,,,,,-49.30M,,,,264.30M,-74.50M,-5.90M,,21.80M,63.80M,25.80M,-50.00M,-19.00M,,354.60M,,-230.20M,,-230.20M,,,-137.10M,-367.30M,,,,535.60M,,-99.70M,-99.70M,,,,,-111.80M,,-2.20M,321.90M,,284.70M,309.20M,,593.90M,,,,,-99.70M,,,,,
1995-03,153.50M,,,1.70M,,,,,10.30M,,,,256.70M,102.10M,-37.40M,,-71.30M,83.60M,36.00M,89.50M,202.50M,,624.70M,,-245.80M,,-245.80M,,,-159.50M,-405.30M,,,,-378.80M,,,,,,,,-112.00M,,22.10M,-468.70M,,534.00M,-249.30M,,284.70M,,,,,,,,,,
1994-12,133.90M,,,29.20M,,,,,151.60M,,,,251.90M,264.90M,5.50M,,-211.10M,-17.90M,56.50M,-321.60M,-223.70M,,342.90M,,-283.60M,,-283.60M,,,-76.90M,-360.50M,,,,209.90M,,,,,,,,-119.10M,,-5.00M,173.80M,,377.30M,156.20M,,534.00M,,,,,,,,,,
1994-09,272.90M,,,-71.70M,,,,,-116.90M,,,,274.10M,-315.10M,3.00M,,294.90M,-3.50M,113.30M,339.90M,432.50M,,790.90M,,-307.30M,,-307.30M,,,-74.40M,-381.70M,,,,-448.60M,,,,,,,,-112.00M,,-12.10M,-572.70M,,540.80M,-163.50M,,377.30M,,,,,,,,,,
1994-06,141.80M,,,3.40M,,,,,-19.60M,,,,284.50M,-120.00M,-26.20M,,78.60M,5.20M,23.40M,29.40M,-9.60M,,400.50M,,-268.20M,,-268.20M,,,-65.00M,-333.20M,,,,213.30M,,,,,,,,-158.90M,,-12.50M,41.90M,,431.60M,109.20M,,540.80M,,,,,,,,,,
1994-03,132.40M,,,-2.90M,,,,,0.90M,,,,268.50M,72.20M,-3.30M,,-49.40M,28.20M,11.80M,73.30M,132.80M,,531.70M,,-277.90M,,-277.90M,,,-55.70M,-333.60M,,,,-26.60M,,,,,,,,-159.00M,,-1.40M,-187.00M,,420.50M,11.10M,,431.60M,,,,,,,,,,
