,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,SharesData(Quarterly),AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,SECFilingLinks,AsOriginallyReported,Restated
2018-05,9.789B,9.789B,5.411B,4.378B,983.00M,2.137B,3.12B,,,-12.00M,3.12B,1.258B,,-12.00M,-31.00M,-12.00M,1.215B,78.00M,1.137B,,,1.137B,1.137B,1.458B,200.00M,2018-05,0.7081,,,0.7081,2018-05,0.6928,,,0.6928,2018-05,1.747B,1.747B,2018-05,AOR,Restated
2018-02,8.984B,8.984B,5.046B,3.938B,862.00M,1.905B,2.767B,,,-13.00M,2.767B,1.171B,,-13.00M,1.00M,-13.00M,1.159B,2.08B,-921.00M,,,-921.00M,-921.00M,1.369B,198.00M,2018-02,-0.57,,,-0.57,2018-02,-0.57,,,-0.57,2018-02,1.624B,1.624B,2018-02,AOR,Restated
2017-11,8.554B,8.554B,4.876B,3.678B,877.00M,1.891B,2.768B,,,-13.00M,2.768B,910.00M,,-13.00M,-18.00M,-13.00M,879.00M,112.00M,767.00M,,,767.00M,767.00M,1.101B,191.00M,2017-11,0.47,,,0.47,2017-11,0.46,,,0.46,2017-11,1.627B,1.661B,2017-11,AOR,Restated
2017-08,9.07B,9.07B,5.108B,3.962B,855.00M,2.001B,2.856B,,,-16.00M,2.856B,1.106B,,-16.00M,-18.00M,-16.00M,1.072B,122.00M,950.00M,,,950.00M,950.00M,1.291B,185.00M,2017-08,0.58,,,0.58,2017-08,0.57,,,0.57,2017-08,1.639B,1.677B,2017-08,AOR,Restated
2017-05,8.677B,8.677B,4.854B,3.823B,789.00M,1.876B,2.665B,,,-18.00M,2.665B,1.158B,,-18.00M,28.00M,-18.00M,1.168B,160.00M,1.008B,,,1.008B,1.008B,1.346B,188.00M,2017-05,0.61,,,0.61,2017-05,0.60,,,0.60,2017-05,1.647B,1.679B,2017-05,AOR,Restated
2017-02,8.432B,8.432B,4.682B,3.75B,749.00M,1.747B,2.496B,,,-19.00M,2.496B,1.254B,,-19.00M,88.00M,-19.00M,1.323B,182.00M,1.141B,,,1.141B,1.141B,1.424B,170.00M,2017-02,0.69,0.00,,0.69,2017-02,0.68,0.00,,0.68,2017-02,1.653B,1.686B,2017-02,AOR,Restated
2016-11,8.18B,8.18B,4.564B,3.616B,762.00M,1.743B,2.505B,,,-15.00M,2.505B,1.111B,,-15.00M,18.00M,-15.00M,1.114B,272.00M,842.00M,,,842.00M,842.00M,1.289B,178.00M,2016-11,0.5075,,,0.5075,2016-11,0.4973,,,0.4973,2016-11,1.659B,1.693B,2016-11,AOR,Restated
2016-08,9.061B,9.061B,4.938B,4.123B,1.041B,1.856B,2.897B,,,-7.00M,2.897B,1.226B,,-7.00M,62.00M,-7.00M,1.281B,32.00M,1.249B,,,1.249B,1.249B,1.406B,180.00M,2016-08,0.75,,,0.75,2016-08,0.73,,,0.73,2016-08,1.672B,1.709B,2016-08,AOR,Restated
2016-05,8.244B,8.244B,4.458B,3.786B,873.00M,1.893B,2.766B,,,-5.00M,2.766B,1.02B,,-5.00M,58.00M,-5.00M,1.073B,227.00M,846.00M,,,846.00M,846.00M,1.183B,163.00M,2016-05,0.50,,,0.50,2016-05,0.49,,,0.49,2016-05,1.682B,1.724B,2016-05,AOR,Restated
2016-02,8.032B,8.032B,4.343B,3.689B,804.00M,1.762B,2.566B,,,-5.00M,2.566B,1.123B,,-5.00M,17.00M,-5.00M,1.135B,185.00M,950.00M,,,950.00M,950.00M,1.30B,177.00M,2016-02,0.56,,,0.56,2016-02,0.55,,,0.55,2016-02,1.694B,1.737B,2016-02,AOR,Restated
2015-11,7.686B,7.686B,4.185B,3.501B,769.00M,1.791B,2.56B,,,-5.00M,2.56B,941.00M,,-5.00M,34.00M,-5.00M,970.00M,185.00M,785.00M,,,785.00M,785.00M,1.098B,157.00M,2015-11,0.46,,,0.46,2015-11,0.45,,,0.45,2015-11,1.706B,1.751B,2015-11,AOR,Restated
2015-08,8.414B,8.414B,4.419B,3.995B,832.00M,1.745B,2.577B,,,-4.00M,2.577B,1.418B,,-4.00M,31.00M,-4.00M,1.445B,266.00M,1.179B,,,1.179B,1.179B,1.583B,165.00M,2015-08,0.69,,,0.69,2015-08,0.67,,,0.67,2015-08,1.709B,1.754B,2015-08,AOR,Restated
2015-05,7.779B,7.779B,4.186B,3.593B,819.00M,1.776B,2.595B,,,-4.00M,2.595B,998.00M,,-4.00M,,-4.00M,1.052B,187.00M,865.00M,,,865.00M,865.00M,1.166B,168.00M,2015-05,0.505,,,0.505,2015-05,0.49,,,0.49,2015-05,1.715B,1.762B,2015-05,AOR,Restated
2015-02,7.46B,7.46B,4.034B,3.426B,731.00M,1.648B,2.379B,,,-6.00M,2.379B,1.047B,,-6.00M,5.00M,-6.00M,1.046B,255.00M,791.00M,,,791.00M,791.00M,1.212B,165.00M,2015-02,0.4591,,,0.4591,2015-02,0.4475,,,0.4475,2015-02,1.723B,1.768B,2015-02,AOR,Restated
2014-11,7.38B,7.38B,4.053B,3.327B,766.00M,1.672B,2.438B,,,-9.00M,2.438B,889.00M,,-9.00M,-2.00M,-9.00M,878.00M,223.00M,655.00M,,,655.00M,655.00M,1.05B,161.00M,2014-11,0.38,,,0.38,2014-11,0.37,,,0.37,2014-11,1.726B,1.770B,2014-11,AOR,Restated
2014-08,7.982B,7.982B,4.261B,3.721B,897.00M,1.583B,2.48B,,,-9.00M,2.48B,1.241B,,-9.00M,-3.00M,-9.00M,1.229B,267.00M,962.00M,,,962.00M,962.00M,1.396B,155.00M,2014-08,0.555,,,0.555,2014-08,0.545,,,0.545,2014-08,1.730B,1.772B,2014-08,AOR,Restated
2014-05,7.425B,7.425B,4.04B,3.385B,876.00M,1.572B,2.448B,,,-8.00M,2.448B,937.00M,,-8.00M,-17.00M,-8.00M,912.00M,214.00M,698.00M,,,698.00M,698.00M,1.092B,155.00M,2014-05,0.40,0.00,,0.40,2014-05,0.39,0.00,,0.39,2014-05,1.747B,1.792B,2014-05,AOR,Restated
2014-02,6.972B,6.972B,3.869B,3.103B,733.00M,1.436B,2.169B,,,-9.00M,2.169B,934.00M,,-9.00M,-45.00M,-9.00M,880.00M,198.00M,682.00M,,,682.00M,682.00M,1.068B,134.00M,2014-02,0.385,,,0.385,2014-02,0.375,,,0.375,2014-02,1.765B,1.810B,2014-02,AOR,Restated
2013-11,6.431B,6.431B,3.605B,2.826B,691.00M,1.40B,2.091B,,,-8.00M,2.091B,735.00M,,-8.00M,-13.00M,-8.00M,714.00M,180.00M,534.00M,,,534.00M,534.00M,880.00M,145.00M,2013-11,0.30,,,0.30,2013-11,0.295,,,0.295,2013-11,1.776B,1.821B,2013-11,AOR,Restated
2013-08,6.971B,6.971B,3.839B,3.132B,731.00M,1.327B,2.058B,,,-8.00M,2.058B,1.074B,,-8.00M,-28.00M,-8.00M,1.038B,259.00M,779.00M,,,779.00M,779.00M,1.226B,152.00M,2013-08,0.44,,,0.44,2013-08,0.43,,,0.43,2013-08,1.779B,1.821B,2013-08,AOR,Restated
2013-05,6.697B,6.697B,3.757B,2.94B,642.00M,1.396B,2.038B,,,-3.00M,2.038B,902.00M,,-3.00M,-13.00M,-3.00M,886.00M,203.00M,683.00M,-28.00M,,655.00M,683.00M,1.045B,143.00M,2013-05,0.39,-0.015,,0.39,2013-05,0.38,-0.015,,0.38,2013-05,1.785B,1.832B,2013-05,AOR,Restated
2013-02,6.187B,6.187B,3.451B,2.736B,619.00M,1.244B,1.863B,,,2.00M,1.863B,873.00M,,2.00M,-17.00M,2.00M,858.00M,196.00M,662.00M,204.00M,,866.00M,662.00M,966.00M,93.00M,2013-02,0.37,0.115,,0.37,2013-02,0.365,0.11,,0.365,2013-02,1.788B,1.823B,2013-02,AOR,Restated
2012-11,5.955B,5.955B,3.425B,2.53B,613.00M,1.223B,1.836B,,,1.00M,1.836B,694.00M,,1.00M,17.00M,1.00M,712.00M,191.00M,521.00M,-137.00M,,384.00M,521.00M,823.00M,129.00M,2012-11,0.29,-0.075,,0.29,2012-11,0.285,-0.075,,0.285,2012-11,1.794B,1.826B,2012-11,AOR,Restated
2012-08,6.474B,6.474B,3.646B,2.828B,871.00M,1.188B,2.059B,,,3.00M,2.059B,769.00M,,3.00M,28.00M,3.00M,800.00M,215.00M,585.00M,-18.00M,,567.00M,585.00M,906.00M,137.00M,2012-08,0.325,-0.015,,0.325,2012-08,0.315,-0.015,,0.315,2012-08,1.811B,1.811B,2012-08,AOR,Restated
2012-05,6.236B,6.236B,3.567B,2.669B,735.00M,1.175B,1.91B,,,-1.00M,1.91B,759.00M,,-1.00M,-37.00M,-1.00M,721.00M,174.00M,547.00M,-10.00M,,537.00M,547.00M,835.00M,76.00M,2012-05,0.30,0.00,,0.30,2012-05,0.2925,0.00,,0.2925,2012-05,1.833B,1.875B,2012-05,AOR,Restated
2012-02,5.656B,5.656B,3.171B,2.485B,592.00M,1.116B,1.708B,,,0.00,1.708B,777.00M,,0.00,10.00M,0.00,787.00M,218.00M,569.00M,-9.00M,,560.00M,569.00M,899.00M,122.00M,2012-02,0.31,-0.005,,0.31,2012-02,0.305,-0.005,,0.305,2012-02,1.830B,1.869B,2012-02,AOR,Restated
2011-11,5.546B,5.546B,3.17B,2.376B,,,1.731B,-10.00M,,-3.00M,1.731B,645.00M,,-3.00M,-10.00M,-3.00M,632.00M,152.00M,480.00M,-11.00M,,469.00M,487.59M,732.00M,87.00M,2011-11,0.26,-0.005,,0.2641,2011-11,0.255,-0.005,,0.2591,2011-11,1.837B,1.874B,2011-11,AOR,Restated
2011-08,6.081B,6.081B,3.388B,2.693B,,,1.823B,-18.00M,,0.00,1.823B,870.00M,,0.00,-18.00M,0.00,852.00M,207.00M,645.00M,,,645.00M,658.63M,981.00M,111.00M,2011-08,0.3475,0.00,,0.3548,2011-08,0.34,0.00,,0.3472,2011-08,1.86B,1.897B,2011-08,AOR,Restated
2011-05,5.021B,5.021B,2.773B,2.248B,,,1.44B,,,-4.00M,1.44B,808.00M,,-4.00M,-13.00M,-4.00M,791.00M,158.00M,633.00M,,,594.00M,633.00M,868.00M,98.00M,2011-05,0.335,-0.02,,0.335,2011-05,0.33,-0.02,,0.33,2011-05,1.878B,1.918B,2011-05,AOR,Restated
2011-02,5.079B,5.079B,2.752B,2.327B,,,1.637B,17.00M,0.00,0.00,1.637B,690.00M,0.00,0.00,17.00M,0.00,707.00M,184.00M,523.00M,,,523.00M,510.42M,792.00M,85.00M,2011-02,0.275,0.00,,0.2684,2011-02,0.27,0.00,,0.2635,2011-02,1.901B,1.942B,2011-02,AOR,
2010-11,4.842B,4.842B,2.649B,2.193B,,,1.611B,28.00M,1.00M,-1.00M,1.611B,582.00M,1.00M,-1.00M,28.00M,-1.00M,609.00M,152.00M,457.00M,,,457.00M,435.99M,723.00M,113.00M,2010-11,0.24,0.00,,0.2290,2010-11,0.235,0.00,,0.2242,2010-11,1.912B,1.950B,2010-11,AOR,Restated
2010-08,5.175B,5.175B,2.741B,2.434B,,,1.673B,-7.00M,,1.00M,1.673B,761.00M,,1.00M,-7.00M,1.00M,755.00M,196.00M,559.00M,,,559.00M,564.18M,823.00M,62.00M,2010-08,0.2925,0.00,,0.2952,2010-08,0.285,0.00,,0.2877,2010-08,1.918B,1.954B,2010-08,AOR,Restated
2010-05,5.077B,5.077B,2.671B,2.406B,,,1.738B,17.00M,,-2.00M,1.738B,668.00M,,-2.00M,17.00M,-2.00M,683.00M,161.00M,522.00M,,,522.00M,509.01M,802.00M,134.00M,2010-05,0.27,0.00,,0.2633,2010-05,0.2625,0.00,,0.2559,2010-05,1.938B,1.983B,2010-05,AOR,Restated
2010-02,4.733B,4.733B,2.515B,2.218B,,,1.563B,8.00M,,-1.00M,1.563B,655.00M,,-1.00M,8.00M,-1.00M,662.00M,165.00M,497.00M,,,497.00M,490.99M,742.00M,87.00M,2010-02,0.255,0.00,,0.2519,2010-02,0.2525,0.00,,0.2494,2010-02,1.938B,1.969B,2010-02,AOR,Restated
2009-11,4.405B,4.405B,2.445B,1.96B,,,1.479B,12.00M,2.00M,-2.00M,1.479B,481.00M,2.00M,-2.00M,12.00M,-2.00M,491.00M,116.00M,375.00M,,,375.00M,365.84M,587.00M,94.00M,2009-11,0.1925,0.00,,0.1878,2009-11,0.19,0.00,,0.1854,2009-11,1.949B,1.978B,2009-11,AOR,Restated
2009-08,4.799B,4.799B,2.583B,2.216B,,,1.546B,12.00M,,-1.00M,1.546B,670.00M,,-1.00M,12.00M,-1.00M,681.00M,168.00M,513.00M,,,513.00M,503.96M,751.00M,81.00M,2009-08,0.265,0.00,,0.2603,2009-08,0.26,0.00,,0.2554,2009-08,1.943B,1.966B,2009-08,AOR,Restated
2009-05,4.713B,4.713B,2.669B,2.044B,,,1.394B,-160.60M,,-2.60M,1.394B,649.50M,,-2.60M,-160.60M,-2.60M,486.30M,144.90M,341.40M,,,341.40M,454.15M,778.00M,128.50M,2009-05,0.1775,0.00,,0.2357,2009-05,0.175,0.00,,0.2326,2009-05,1.938B,1.957B,2009-05,AOR,Restated
2009-02,4.441B,4.441B,2.492B,1.948B,,,1.352B,-358.00M,,-3.00M,1.352B,596.40M,,-3.00M,-358.00M,-3.00M,235.40M,-8.40M,243.80M,,,243.80M,476.50M,676.30M,79.90M,2009-02,0.125,0.00,,0.2452,2009-02,0.125,0.00,,0.2442,2009-02,1.936B,1.952B,2009-02,,Restated
2008-11,4.590B,4.590B,2.540B,2.05B,,,1.547B,12.40M,,5.00M,1.547B,503.20M,,5.00M,12.40M,5.00M,520.60M,129.60M,391.00M,,,391.00M,381.69M,592.80M,89.60M,2008-11,0.2025,0.00,,0.1977,2008-11,0.20,0.00,,0.1952,2008-11,1.935B,1.959B,2008-11,,Restated
2008-08,5.432B,5.432B,2.870B,2.562B,,,1.856B,-1.60M,,,1.856B,705.70M,,,-1.60M,,714.20M,203.70M,510.50M,,,510.50M,511.64M,791.00M,85.30M,2008-08,0.2625,0.00,,0.2631,2008-08,0.2575,0.00,,0.2581,2008-08,1.949B,1.980B,2008-08,,
2008-05,5.088B,5.088B,2.757B,2.331B,,,1.686B,-7.50M,,,1.686B,645.10M,,,-7.50M,,648.30M,157.80M,490.50M,,,490.50M,496.17M,717.70M,72.60M,2008-05,0.25,0.00,,0.2529,2008-05,0.245,0.00,,0.2478,2008-05,1.960B,2.010B,2008-05,,Restated
2008-02,4.544B,4.544B,2.496B,2.048B,,,1.403B,5.30M,,,1.403B,644.70M,,,5.30M,,668.70M,204.90M,463.80M,,,463.80M,460.12M,736.20M,91.50M,2008-02,0.235,0.00,,0.2331,2008-02,0.23,0.00,,0.2282,2008-02,1.974B,2.017B,2008-02,,
2007-11,4.340B,4.340B,2.418B,1.921B,,,1.430B,0.90M,,,1.430B,491.60M,,,0.90M,,515.60M,156.20M,359.40M,,,359.40M,358.77M,577.40M,85.80M,2007-11,0.18,0.00,,0.1797,2007-11,0.1775,0.00,,0.1772,2007-11,1.997B,2.025B,2007-11,,
2007-08,4.655B,4.655B,2.568B,2.087B,,,1.435B,-6.60M,,,1.435B,652.30M,,,-6.60M,,670.30M,100.60M,569.70M,,,569.70M,575.31M,723.90M,71.60M,2007-08,0.285,0.00,,0.2878,2007-08,0.28,0.00,,0.2828,2007-08,1.999B,2.035B,2007-08,,
2007-05,4.383B,4.383B,2.464B,1.919B,,,1.272B,-12.40M,,,1.272B,647.00M,,,-12.40M,,658.80M,220.90M,437.90M,,,437.90M,446.14M,728.00M,81.00M,2007-05,0.4788,0.00,,0.4828,2007-05,0.4738,0.00,,0.4778,2007-05,2.017B,2.033B,2007-05,,
2007-02,3.927B,3.927B,2.192B,1.735B,,,1.243B,10.30M,,,1.243B,491.90M,,,10.30M,,518.00M,167.20M,350.80M,,,350.80M,343.82M,538.80M,46.90M,2007-02,0.0862,0.00,,0.0828,2007-02,0.085,0.00,,0.0816,2007-02,2.015B,2.037B,2007-02,,
2006-11,3.822B,3.822B,2.165B,1.657B,,,1.224B,-0.20M,,,1.224B,433.40M,,,-0.20M,,447.30M,121.70M,325.60M,,,325.60M,325.75M,501.70M,68.30M,2006-11,0.0812,0.00,,0.0813,2006-11,0.08,0.00,,0.0801,2006-11,2.025B,2.053B,2006-11,,
2006-08,4.194B,4.194B,2.345B,1.849B,,,1.290B,3.20M,,,1.290B,559.50M,,,3.20M,,575.80M,198.60M,377.20M,,,377.20M,375.10M,633.50M,74.00M,2006-08,0.0938,0.00,,0.0927,2006-08,0.0925,0.00,,0.0915,2006-08,2.006B,2.006B,2006-08,,
2006-05,4.005B,4.005B,2.252B,1.753B,,,1.232B,-26.40M,,,1.232B,521.30M,,,-26.40M,,511.20M,178.40M,332.80M,,,332.80M,349.99M,578.50M,57.20M,2006-05,0.0812,0.00,,0.0896,2006-05,0.08,0.00,,0.0881,2006-05,2.066B,2.119B,2006-05,,
2006-02,3.613B,3.613B,2.039B,1.574B,,,1.087B,10.70M,,,1.087B,487.50M,,,10.70M,,506.60M,180.80M,325.80M,,,325.80M,318.92M,578.10M,90.60M,2006-02,0.0788,0.00,,0.0754,2006-02,0.0775,0.00,,0.0743,2006-02,2.081B,2.118B,2006-02,,
2005-11,3.475B,3.475B,1.963B,1.511B,,,1.055B,1.40M,,,1.055B,456.70M,,,1.40M,,463.80M,162.70M,301.10M,,,301.10M,300.19M,530.20M,73.50M,2005-11,0.145,0.00,,0.1446,2005-11,0.1425,0.00,,0.1421,2005-11,2.077B,2.113B,2005-11,,
2005-08,3.862B,3.862B,2.114B,1.748B,,,1.104B,9.90M,,,1.104B,643.70M,,,9.90M,,660.00M,227.70M,432.30M,,,432.30M,425.82M,713.30M,69.60M,2005-08,0.2075,0.00,,0.2044,2005-08,0.2012,0.00,,0.1982,2005-08,2.083B,2.148B,2005-08,,
2005-05,3.721B,3.721B,2.039B,1.683B,,,1.139B,-9.20M,,,1.139B,543.50M,,,-9.20M,,537.90M,188.40M,349.50M,,,349.50M,355.48M,611.80M,68.30M,2005-05,0.1662,0.00,,0.1691,2005-05,0.1625,0.00,,0.1653,2005-05,2.102B,2.148B,2005-05,,
2005-02,3.308B,3.308B,1.849B,1.459B,,,1.036B,-9.80M,,,1.036B,423.10M,,,-9.80M,,413.40M,140.00M,273.40M,,,273.40M,279.88M,505.10M,82.00M,2005-02,0.13,0.00,,0.1331,2005-02,0.1262,0.00,,0.1292,2005-02,2.103B,2.166B,2005-02,,
2004-11,3.148B,3.148B,1.760B,1.388B,,,973.20M,-8.20M,,,973.20M,414.90M,,,-8.20M,,403.00M,141.10M,261.90M,,,261.90M,267.23M,490.70M,75.80M,2004-11,0.1238,0.00,,0.1263,2004-11,0.1212,0.00,,0.1237,2004-11,2.116B,2.16B,2004-11,,
2004-08,3.562B,3.562B,1.976B,1.586B,,,1.074B,-1.90M,,,1.074B,512.20M,,,-1.90M,,505.50M,178.70M,326.80M,,,326.80M,328.03M,573.80M,61.60M,2004-08,0.155,0.00,,0.1556,2004-08,0.1512,0.00,,0.1518,2004-08,2.108B,2.161B,2004-08,,
2004-05,3.487B,3.487B,1.958B,1.529B,,,1.038B,-19.40M,,,1.038B,490.80M,,,-19.40M,,467.50M,162.50M,305.00M,,,305.00M,317.66M,565.50M,74.70M,2004-05,0.145,0.00,,0.1510,2004-05,0.1412,0.00,,0.1471,2004-05,2.102B,2.161B,2004-05,AOR,
2004-02,2.904B,2.904B,1.682B,1.222B,,,892.00M,-17.20M,,,892.00M,329.90M,,,-17.20M,,307.20M,106.90M,200.30M,,,200.30M,211.51M,410.30M,80.40M,2004-02,0.095,0.00,,0.1003,2004-02,0.0925,0.00,,0.0977,2004-02,2.108B,2.165B,2004-02,,
2003-11,2.837B,2.837B,1.638B,1.200B,,,902.50M,-14.30M,,,902.50M,297.10M,,,-14.30M,,274.70M,95.60M,179.10M,,,179.10M,188.42M,383.70M,86.60M,2003-11,0.085,0.00,,0.0894,2003-11,0.0825,0.00,,0.0868,2003-11,2.107B,2.171B,2003-11,,
2003-08,3.025B,3.025B,1.723B,1.302B,,,869.60M,-23.80M,,,869.60M,431.90M,,,-23.80M,,400.60M,139.40M,261.20M,,,261.20M,276.72M,503.70M,71.80M,2003-08,0.1238,0.00,,0.1311,2003-08,0.1225,0.00,,0.1298,2003-08,2.111B,2.132B,2003-08,,
2003-05,2.985B,2.985B,1.745B,1.240B,,,842.50M,-29.20M,,,842.50M,397.70M,,,-29.20M,,371.90M,125.70M,246.20M,,0.00,246.20M,265.53M,474.30M,76.60M,2003-05,-0.01,0.1262,0.00,-0.0008,2003-05,-0.01,0.1262,-0.0002,-0.0009,2003-05,2.107B,2.131B,2003-05,,Restated
2003-02,2.401B,2.401B,1.425B,976.00M,,,753.90M,-23.90M,,,753.90M,222.10M,,,-23.90M,,187.40M,62.70M,124.70M,,,124.70M,140.60M,286.10M,64.00M,2003-02,0.0588,0.00,,0.0662,2003-02,0.0588,0.00,,0.0662,2003-02,2.123B,2.123B,2003-02,,
2002-11,2.515B,2.515B,1.505B,1.010B,,,758.70M,-10.90M,,,758.70M,251.40M,,,-10.90M,,229.60M,77.60M,152.00M,,,152.00M,159.22M,314.80M,63.40M,2002-11,0.0712,0.00,,0.0746,2002-11,0.0712,0.00,,0.0746,2002-11,2.133B,2.133B,2002-11,,
2002-08,2.796B,2.796B,1.639B,1.157B,,,799.00M,-13.50M,,,799.00M,358.10M,,,-13.50M,,334.10M,116.90M,217.20M,,-266.10M,-48.90M,225.98M,416.60M,58.50M,2002-08,0.1025,-0.125,0.00,0.1065,2002-08,0.1012,-0.125,-0.1224,0.1053,2002-08,2.173B,2.173B,2002-08,,
2002-05,2.682B,2.682B,1.602B,1.080B,,,779.40M,10.60M,,,779.40M,301.10M,,,10.60M,,315.10M,106.70M,208.40M,,0.00,208.40M,201.39M,382.50M,81.40M,2002-05,0.0979,,0.00,0.0946,2002-05,0.0979,,0.00,0.0946,2002-05,2.129B,2.129B,2002-05,,Restated
2002-02,2.260B,2.260B,1.377B,883.50M,,,682.50M,0.10M,,,682.50M,201.00M,,,0.10M,,189.00M,62.70M,126.30M,,,126.30M,126.23M,251.50M,50.50M,2002-02,0.0294,0.00,,0.0294,2002-02,0.0288,0.00,,0.0287,2002-02,4.374B,4.374B,2002-02,,
2001-11,2.337B,2.337B,1.441B,895.40M,,,677.70M,-6.50M,,,677.70M,217.70M,,,-6.50M,,198.90M,69.60M,129.30M,,,129.30M,133.53M,294.30M,76.60M,2001-11,0.06,0.00,,0.0620,2001-11,0.06,0.00,,0.0620,2001-11,2.155B,2.155B,2001-11,,
