,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,UnrealizedGainorLoss-Total,MinimumPensionLiabilities,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2018-03,102.40M,,102.40M,860.20M,,908.80M,549.80M,14.40M,202.20M,,766.40M,55.00M,,,1.833B,0.00,158.00M,734.40M,5.212B,70.90M,239.00M,6.414B,-3.453B,2.961B,883.20M,399.60M,1.283B,,,63.00M,4.307B,6.140B,,427.30M,60.60M,15.50M,503.40M,57.20M,560.60M,4.40M,,,,1.40M,1.40M,,673.60M,2.481B,18.60M,2.500B,256.70M,256.70M,373.00M,,62.90M,3.192B,3.866B,,0.90M,1.950B,476.30M,,,,-139.10M,-0.70M,-13.20M,-153.00M,2.274B,,AOR,Restated
2017-12,216.90M,,216.90M,830.70M,,900.20M,532.90M,12.60M,217.00M,,762.50M,35.50M,,,1.915B,0.00,156.00M,729.80M,5.162B,68.40M,194.50M,6.311B,-3.386B,2.925B,883.20M,410.00M,1.293B,,,64.30M,4.282B,6.198B,,402.90M,60.50M,16.00M,479.40M,43.50M,522.90M,4.00M,,150.00M,150.00M,1.30M,151.30M,,832.70M,2.480B,19.00M,2.499B,239.50M,239.50M,372.50M,,70.80M,3.182B,4.015B,,0.90M,1.867B,471.20M,,,,,,,-156.90M,2.183B,,AOR,Restated
2017-09,370.50M,,370.50M,831.30M,,851.30M,509.10M,13.00M,214.50M,,736.60M,43.40M,,,2.002B,0.00,156.10M,731.20M,5.066B,66.50M,177.60M,6.198B,-3.316B,2.882B,732.10M,347.80M,1.080B,,,63.90M,4.025B,6.027B,,379.50M,60.30M,22.80M,462.60M,47.40M,510.00M,4.20M,,156.50M,156.50M,1.30M,157.80M,,824.30M,2.456B,19.30M,2.476B,342.10M,342.10M,322.80M,,68.20M,3.209B,4.033B,,0.90M,1.658B,466.10M,,,,-115.20M,-0.60M,-15.20M,-131.00M,1.994B,,AOR,Restated
2017-06,321.00M,,321.00M,755.20M,,755.20M,498.40M,13.60M,222.40M,,734.40M,52.80M,,,1.863B,0.00,156.30M,725.70M,5.018B,67.50M,152.60M,6.12B,-3.248B,2.872B,731.10M,356.20M,1.087B,,,80.00M,4.040B,5.903B,,349.20M,60.10M,20.70M,430.00M,36.10M,466.10M,4.50M,,156.50M,156.50M,1.30M,157.80M,,760.20M,2.457B,19.70M,2.477B,342.70M,342.70M,356.30M,,60.40M,3.236B,3.997B,,0.90M,1.579B,460.90M,,,,-117.10M,-0.70M,-16.20M,-134.00M,1.907B,,AOR,Restated
2017-03,254.00M,,254.00M,733.30M,,733.30M,518.00M,13.70M,212.80M,,744.50M,47.30M,,,1.779B,0.00,154.10M,723.70M,4.988B,66.20M,133.30M,6.065B,-3.178B,2.887B,737.10M,358.80M,1.096B,,,81.20M,4.064B,5.843B,,367.30M,60.00M,40.30M,467.60M,39.00M,506.60M,5.90M,,156.50M,156.50M,1.30M,157.80M,,776.00M,2.458B,20.00M,2.478B,349.30M,349.30M,355.20M,,59.80M,3.243B,4.019B,,0.90M,1.504B,456.00M,,,,-119.20M,-0.60M,-16.90M,-136.70M,1.825B,,AOR,Restated
2016-12,239.30M,,239.30M,689.20M,,703.10M,504.20M,12.90M,206.50M,,723.60M,30.30M,,,1.696B,0.00,149.70M,717.10M,4.951B,66.70M,125.40M,6.010B,-3.115B,2.896B,737.90M,367.10M,1.105B,,,80.00M,4.081B,5.777B,,323.80M,59.90M,16.70M,400.40M,39.30M,439.70M,6.40M,,25.80M,25.80M,1.30M,27.10M,,625.40M,2.62B,20.30M,2.640B,334.70M,334.70M,357.20M,,59.60M,3.392B,4.017B,,0.90M,1.447B,451.40M,,,,-121.50M,-0.40M,-17.70M,-139.60M,1.760B,,AOR,Restated
2016-09,279.80M,,279.80M,713.20M,,731.50M,487.70M,14.90M,188.00M,,690.60M,45.10M,,,1.747B,0.00,148.60M,687.80M,4.902B,62.60M,151.20M,5.952B,-3.074B,2.879B,692.10M,354.80M,1.047B,,,74.60M,4.000B,5.747B,,327.00M,59.80M,19.40M,406.20M,47.20M,453.40M,7.10M,,25.80M,25.80M,1.20M,27.00M,,637.50M,2.626B,20.70M,2.646B,360.90M,360.90M,312.20M,0.40M,60.10M,3.380B,4.017B,,0.90M,1.397B,446.00M,,,,-95.20M,-0.40M,-18.60M,-114.20M,1.730B,,AOR,Restated
2016-06,213.60M,,213.60M,663.40M,,664.70M,477.20M,11.90M,182.20M,,671.30M,60.30M,,,1.610B,0.00,147.80M,645.50M,4.80B,63.70M,172.80M,5.830B,-3.020B,2.810B,544.00M,259.50M,803.50M,,,72.80M,3.686B,5.296B,,308.40M,52.10M,17.70M,378.20M,36.70M,414.90M,7.40M,,6.50M,6.50M,1.20M,7.70M,,551.50M,2.288B,21.00M,2.309B,353.90M,353.90M,357.40M,,61.90M,3.082B,3.634B,,0.90M,1.337B,441.10M,,,,-97.00M,-0.40M,-19.50M,-116.90M,1.662B,,AOR,Restated
2016-03,162.30M,,162.30M,631.40M,,631.40M,489.90M,12.00M,190.60M,,692.50M,42.70M,,,1.529B,0.00,146.20M,641.30M,4.770B,64.80M,148.30M,5.770B,-2.953B,2.818B,544.00M,265.10M,809.10M,,,71.40M,3.698B,5.227B,,309.00M,52.10M,28.40M,389.50M,39.30M,428.80M,9.20M,,6.50M,6.50M,1.20M,7.70M,,545.30M,2.289B,21.30M,2.311B,357.20M,357.20M,363.00M,,60.40M,3.091B,3.636B,,0.90M,1.286B,432.80M,7.00M,,,-101.70M,-0.40M,-20.30M,-122.40M,1.591B,,AOR,Restated
2015-12,184.20M,,184.20M,636.50M,,664.70M,472.90M,14.20M,189.70M,,676.80M,28.80M,,,1.554B,0.00,146.40M,640.90M,4.747B,61.30M,119.10M,5.715B,-2.883B,2.832B,544.00M,270.80M,814.80M,,,70.90M,3.718B,5.272B,,294.20M,53.40M,16.00M,363.60M,37.90M,401.50M,7.90M,,6.50M,6.50M,1.20M,7.70M,,561.90M,2.290B,21.60M,2.312B,347.00M,347.00M,358.60M,,59.50M,3.077B,3.639B,,1.00M,1.317B,439.90M,,,,-103.30M,-0.40M,-21.20M,-124.90M,1.633B,,AOR,Restated
2015-09,186.90M,,186.90M,683.50M,,683.50M,475.70M,13.90M,206.30M,,695.90M,49.80M,63.20M,,1.679B,0.00,145.80M,661.80M,4.672B,58.70M,146.00M,5.684B,-2.842B,2.842B,544.00M,276.40M,820.40M,,,80.00M,3.743B,5.422B,,337.00M,53.70M,25.60M,416.30M,45.00M,461.30M,9.10M,,6.50M,6.50M,1.10M,7.60M,,628.40M,2.319B,21.90M,2.341B,402.70M,402.70M,376.90M,,58.00M,3.179B,3.807B,,1.00M,1.318B,438.10M,,,,-119.60M,-0.30M,-22.10M,-142.00M,1.615B,,AOR,Restated
2015-06,163.70M,,163.70M,708.00M,,708.00M,446.20M,13.00M,208.30M,,667.50M,58.50M,59.70M,,1.657B,0.00,150.70M,659.50M,4.621B,54.90M,144.70M,5.631B,-2.778B,2.853B,544.00M,282.10M,826.10M,,,73.70M,3.752B,5.410B,,339.30M,53.90M,21.10M,414.30M,35.50M,449.80M,8.80M,,6.50M,6.50M,1.10M,7.60M,,606.20M,2.346B,22.20M,2.368B,402.70M,402.70M,372.00M,,70.00M,3.213B,3.819B,,1.00M,1.293B,441.90M,,,,-121.70M,-0.30M,-23.00M,-145.00M,1.591B,,AOR,Restated
2015-03,126.40M,,126.40M,676.70M,,676.70M,458.50M,12.50M,216.60M,,687.60M,65.70M,58.40M,,1.615B,0.00,144.50M,659.80M,4.534B,54.50M,198.30M,5.591B,-2.727B,2.864B,546.60M,287.80M,834.40M,,,72.10M,3.771B,5.385B,,352.70M,54.10M,40.90M,447.70M,42.30M,490.00M,9.20M,,6.50M,6.50M,1.10M,7.60M,,621.30M,2.347B,22.50M,2.370B,399.90M,399.90M,367.80M,,70.20M,3.208B,3.829B,,1.00M,1.272B,436.00M,,,,-123.90M,-4.50M,-23.90M,-152.30M,1.556B,,AOR,Restated
2014-12,124.90M,,124.90M,646.10M,,651.20M,437.30M,11.30M,216.30M,,664.90M,61.90M,,,1.503B,0.00,143.50M,654.60M,4.508B,54.50M,154.80M,5.515B,-2.658B,2.858B,546.80M,293.50M,840.30M,,,72.00M,3.770B,5.273B,,330.50M,39.40M,17.50M,387.40M,42.80M,430.20M,7.10M,,6.50M,6.50M,1.10M,7.60M,,611.00M,2.349B,22.80M,2.372B,334.20M,334.20M,361.70M,,72.80M,3.140B,3.751B,,1.00M,1.242B,432.10M,,,,-126.10M,-3.10M,-24.70M,-153.90M,1.521B,,AOR,Restated
2014-09,154.32M,,154.32M,717.95M,,717.95M,408.68M,12.74M,195.54M,,616.96M,76.20M,32.28M,,1.598B,0.00,138.49M,645.17M,4.375B,53.18M,253.15M,5.465B,-2.647B,2.818B,541.91M,299.10M,841.01M,,,73.90M,3.733B,5.331B,,387.85M,39.39M,35.12M,462.36M,48.03M,510.39M,6.829M,,6.50M,6.50M,1.082M,7.582M,,690.04M,2.350B,23.06M,2.374B,426.09M,426.09M,204.29M,,84.76M,3.089B,3.779B,,0.984M,1.184B,427.84M,,,,-33.19M,-2.148M,-25.61M,-60.94M,1.552B,,AOR,Restated
2014-06,161.99M,,161.99M,704.22M,,707.09M,402.40M,12.51M,196.44M,,611.34M,59.74M,34.09M,,1.574B,0.00,141.39M,642.54M,4.348B,53.32M,195.63M,5.381B,-2.564B,2.817B,537.36M,306.00M,843.36M,,,69.37M,3.730B,5.304B,,394.74M,39.36M,21.88M,455.99M,31.97M,487.96M,7.465M,,6.50M,6.50M,1.065M,7.565M,,657.91M,2.425B,23.33M,2.449B,430.95M,430.95M,200.90M,,83.08M,3.164B,3.822B,,0.984M,1.119B,423.60M,,,,-34.27M,-0.589M,-26.47M,-61.33M,1.483B,,AOR,Restated
2014-03,185.71M,,185.71M,696.34M,,696.34M,399.76M,12.45M,195.10M,,607.31M,40.00M,31.98M,,1.561B,0.00,140.89M,637.00M,4.268B,49.38M,198.08M,5.294B,-2.493B,2.801B,526.76M,304.89M,831.65M,,,70.21M,3.703B,5.264B,,390.63M,39.35M,25.76M,455.75M,55.49M,511.23M,5.938M,,6.50M,6.50M,1.047M,7.547M,,643.43M,2.475B,23.61M,2.499B,423.97M,423.97M,199.15M,,80.81M,3.203B,3.846B,,0.983M,1.068B,412.14M,,,,-35.35M,-0.52M,-27.34M,-63.20M,1.418B,,AOR,Restated
2013-12,191.00M,,191.00M,643.10M,,666.10M,370.40M,13.90M,210.00M,,594.30M,32.00M,47.60M,,1.531B,0.00,140.60M,628.90M,4.246B,48.10M,168.80M,5.233B,-2.427B,2.806B,526.80M,310.60M,837.40M,,,69.70M,3.713B,5.244B,,357.50M,39.30M,20.20M,417.00M,29.80M,446.80M,7.80M,,39.00M,39.00M,1.00M,40.00M,,660.60M,2.509B,23.90M,2.533B,434.80M,434.80M,193.50M,,65.40M,3.226B,3.887B,,1.00M,1.019B,401.70M,,,,-36.30M,-0.50M,-28.20M,-65.00M,1.357B,,AOR,Restated
2013-09,396.60M,,396.60M,409.72M,,419.15M,248.68M,9.68M,78.53M,,266.89M,31.48M,21.81M,,1.136B,,,,,1.369B,,1.369B,,1.369B,67.16M,35.74M,102.90M,,,49.23M,1.521B,2.657B,,163.93M,39.26M,,203.19M,134.70M,337.89M,,,15.00M,15.00M,1.013M,16.01M,,353.90M,767.41M,24.14M,791.55M,246.38M,246.38M,132.49M,,33.66M,1.204B,1.558B,,0.981M,787.68M,396.56M,,,,-56.66M,-0.377M,-29.06M,-86.09M,1.099B,,AOR,Restated
2013-06,370.06M,,370.06M,403.37M,,408.07M,241.81M,8.12M,82.26M,,263.01M,37.70M,23.49M,,1.102B,,,,,1.364B,,1.364B,,1.364B,67.16M,36.59M,103.75M,,,45.06M,1.512B,2.615B,,164.91M,39.23M,,204.14M,124.02M,328.15M,,,15.00M,15.00M,0.997M,16.00M,,344.15M,771.15M,24.40M,795.55M,229.92M,229.92M,163.97M,,29.95M,1.219B,1.564B,,0.983M,753.44M,392.18M,,,,-65.01M,-0.382M,-29.92M,-95.31M,1.051B,,AOR,Restated
2013-03,268.04M,,268.04M,391.68M,,427.82M,251.32M,8.892M,76.22M,,270.18M,24.28M,21.32M,,1.012B,,,,,1.353B,,1.353B,,1.353B,67.16M,37.44M,104.60M,,,46.50M,1.504B,2.516B,,142.86M,30.67M,,173.52M,96.88M,270.40M,,,15.00M,15.00M,0.98M,15.98M,,286.38M,774.89M,24.65M,799.54M,225.83M,225.83M,171.16M,,31.20M,1.228B,1.514B,,0.981M,729.73M,382.40M,,,,-80.11M,-0.387M,-30.79M,-111.28M,1.002B,,AOR,Restated
2012-12,207.39M,,207.39M,352.14M,,417.63M,245.19M,8.287M,78.79M,,268.77M,20.92M,22.33M,,937.03M,0.00,107.25M,390.36M,3.049B,27.20M,67.05M,3.641B,-2.275B,1.366B,67.16M,38.28M,105.44M,,,45.22M,1.517B,2.454B,,117.51M,0.00,9.337M,126.85M,27.34M,154.19M,,,15.00M,15.00M,0.964M,15.96M,,259.85M,778.63M,24.90M,803.53M,227.16M,227.16M,164.54M,,29.23M,1.224B,1.484B,,0.981M,703.73M,378.79M,,,,-82.00M,-0.392M,-31.65M,-114.04M,969.46M,,AOR,Restated
2012-09,140.91M,,140.91M,379.68M,,462.25M,241.40M,8.894M,77.49M,,260.77M,27.02M,33.88M,,924.83M,,,,,,,,,1.376B,71.56M,34.76M,106.31M,,,47.55M,1.530B,2.455B,,147.31M,24.58M,0.00,171.89M,119.42M,291.31M,,,15.00M,15.00M,0.949M,15.95M,,307.26M,782.37M,25.15M,807.52M,135.36M,135.36M,134.05M,,130.87M,1.208B,1.515B,,0.981M,670.18M,370.90M,0.00,,-32.91M,-69.06M,,,-101.97M,940.10M,,AOR,Restated
2012-06,515.12M,,515.12M,353.53M,,439.30M,240.58M,8.57M,76.67M,,258.62M,33.93M,38.72M,,1.286B,,,,,,,,,1.394B,71.56M,35.59M,107.15M,,,44.93M,1.546B,2.831B,,134.11M,24.48M,0.00,158.59M,115.76M,274.36M,,,414.66M,414.66M,0.933M,415.59M,,689.95M,786.11M,25.39M,811.50M,125.06M,125.06M,151.82M,,130.44M,1.219B,1.909B,,0.981M,661.60M,363.17M,0.00,,-32.30M,-70.73M,,,-103.04M,922.72M,,AOR,Restated
2012-03,84.02M,,84.02M,348.27M,,442.35M,241.74M,8.875M,78.73M,,263.28M,26.10M,49.45M,,865.20M,,,,,,,,,1.477B,71.68M,36.49M,108.17M,,,41.86M,1.627B,2.492B,,153.03M,24.63M,,177.66M,127.17M,304.83M,,,15.00M,15.00M,0.918M,15.92M,,320.75M,789.78M,25.63M,815.42M,150.83M,150.83M,153.43M,,129.99M,1.250B,1.570B,,0.98M,648.69M,361.14M,0.00,,,,,,-88.86M,921.94M,,AOR,Restated
2011-12,156.31M,,156.31M,319.99M,,319.99M,242.03M,7.61M,74.39M,,254.68M,18.30M,62.79M,,812.06M,0.00,102.48M,377.66M,3.045B,27.17M,66.10M,3.619B,-2.142B,1.477B,58.21M,25.04M,83.26M,,,40.53M,1.600B,2.412B,,154.86M,19.68M,57.00M,231.54M,38.87M,270.41M,,,15.00M,15.00M,0.718M,15.72M,48.83M,376.50M,793.45M,21.11M,814.56M,113.98M,113.98M,148.69M,,29.87M,1.107B,1.484B,,0.983M,673.96M,351.80M,0.059M,,,-74.08M,-0.413M,-23.29M,-97.78M,928.91M,,AOR,Restated
2011-09,40.12M,,40.12M,338.52M,,338.52M,232.96M,8.658M,77.77M,,244.38M,22.29M,24.62M,,669.91M,,,,,,,,,1.434B,51.11M,20.56M,71.66M,,6.294M,50.52M,1.563B,2.233B,,176.68M,19.99M,,196.67M,115.61M,312.27M,,,109.00M,109.00M,0.706M,109.71M,,421.98M,549.36M,21.30M,570.66M,0.00,0.00,94.96M,,171.60M,837.21M,1.259B,,0.996M,678.01M,356.66M,,,-19.04M,-43.08M,,,-62.12M,973.55M,,AOR,Restated
2011-06,119.18M,,119.18M,331.25M,,334.84M,218.67M,7.984M,72.77M,,226.52M,30.00M,31.74M,,742.29M,,,,,,,,,1.402B,53.60M,16.93M,70.54M,,,44.84M,1.517B,2.259B,,189.78M,20.26M,,210.04M,106.00M,316.04M,,,109.00M,109.00M,0.694M,109.69M,,425.74M,549.27M,21.48M,570.75M,8.988M,8.988M,101.99M,,130.51M,812.24M,1.238B,,1.016M,726.21M,331.30M,,,6.716M,-44.04M,,,-37.32M,1.021B,,AOR,Restated
2011-03,173.01M,,173.01M,308.82M,,308.82M,223.22M,7.743M,72.58M,,233.92M,20.75M,35.60M,,772.10M,,,,,,,,,1.360B,38.85M,10.77M,49.62M,,,39.08M,1.449B,2.221B,,167.82M,20.48M,,188.30M,89.33M,277.63M,,,109.00M,109.00M,0.682M,109.68M,,387.31M,549.19M,21.66M,570.84M,9.179M,9.179M,100.90M,,132.21M,813.14M,1.200B,,1.02M,707.06M,350.45M,,,6.958M,-44.99M,,,-38.03M,1.020B,,AOR,Restated
2010-12,196.56M,,196.56M,294.19M,,294.19M,229.12M,6.395M,73.71M,,241.14M,17.56M,50.23M,,799.68M,0.00,98.20M,350.30M,2.753B,24.83M,212.93M,3.440B,-2.102B,1.338B,38.85M,10.98M,49.83M,,,38.42M,1.426B,2.226B,,155.16M,15.35M,9.218M,179.73M,97.43M,277.16M,,,109.00M,109.00M,0.67M,109.67M,7.388M,404.61M,549.10M,21.83M,570.93M,9.19M,9.19M,97.91M,,134.26M,812.30M,1.217B,,1.023M,690.11M,362.25M,0.00,,1.557M,-45.94M,,,-44.38M,1.009B,,AOR,Restated
2010-09,172.82M,,172.82M,335.00M,,335.00M,214.14M,6.943M,69.17M,,226.73M,21.05M,57.42M,,813.02M,,,,,,,,,1.292B,38.85M,11.18M,50.03M,,,35.43M,1.377B,2.190B,,169.94M,15.43M,,185.38M,131.03M,316.40M,,,109.00M,109.00M,0.659M,109.66M,,426.06M,549.01M,22.00M,571.02M,86.95M,86.95M,82.89M,,56.80M,797.66M,1.224B,,1.027M,650.56M,370.19M,1.166M,,-16.44M,,,-37.86M,-54.31M,966.31M,,AOR,Restated
2010-06,181.51M,,181.51M,308.66M,96.04M,427.51M,200.91M,7.603M,69.73M,,207.87M,29.96M,13.94M,,860.80M,,,,,,,,,1.257B,38.85M,11.38M,50.24M,,,35.56M,1.343B,2.204B,,165.84M,15.46M,,181.29M,106.09M,287.38M,,,109.00M,109.00M,0.648M,109.65M,,397.03M,548.92M,22.17M,571.10M,190.76M,190.76M,84.15M,,39.33M,885.34M,1.282B,,1.035M,572.67M,391.63M,,,,,,,-44.19M,921.15M,,AOR,Restated
2010-03,197.60M,,197.60M,275.73M,137.04M,422.35M,210.84M,8.103M,71.07M,,215.63M,22.00M,16.17M,,873.75M,,,,,,,,,1.204B,38.85M,11.59M,50.44M,,,35.63M,1.291B,2.164B,,158.27M,15.46M,,173.73M,86.07M,259.80M,,,109.00M,109.00M,0.636M,109.64M,,369.43M,548.84M,22.34M,571.18M,206.20M,206.20M,83.88M,,27.94M,889.20M,1.259B,,1.031M,550.09M,390.95M,,,3.239M,-39.65M,,,-36.41M,905.66M,,AOR,Restated
