,NetIncome,Gain/LossonSaleBusiness,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,CashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,,EndingCash(Quarterly),BeginningCash,ChangeinCash,EndingCash,,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,InterestPaidSupplementalData,,SECFilingLinks,AsOriginallyReported,Restated
2017-06,221.10M,,-0.90M,,-0.90M,,,99.80M,99.80M,18.20M,,,11.20M,11.20M,41.40M,-25.70M,-4.70M,11.90M,,,-33.40M,338.90M,,2017-06,-123.30M,,,1.30M,-0.50M,,,2017-06,-112.50M,,-112.50M,,-53.70M,-53.70M,-29.40M,-29.40M,-0.60M,-2.30M,,2017-06,358.40M,17.90M,387.10M,,2017-06,,-74.40M,-38.10M,-53.70M,8.40M,,2017-06,AOR,Restated
2017-03,199.60M,,-9.50M,,-9.50M,,,97.30M,97.30M,20.60M,,,13.10M,13.10M,-215.40M,-5.50M,-8.70M,-32.80M,,,1.60M,60.30M,,2017-03,-130.90M,,,-0.30M,-1.50M,,,2017-03,68.00M,,68.00M,,-31.00M,-31.00M,-29.70M,-29.70M,-1.30M,-21.80M,,2017-03,443.70M,-88.20M,358.40M,,2017-03,,74.40M,-6.40M,-31.00M,31.90M,,2017-03,AOR,Restated
2016-12,195.00M,,5.30M,,132.40M,,,100.20M,100.20M,6.10M,,-106.50M,16.30M,-48.60M,38.70M,9.00M,4.90M,167.80M,,,-72.70M,442.60M,,2016-12,-145.80M,,,84.00M,0.00,,,2016-12,-357.70M,,-357.70M,,-38.00M,-38.00M,-29.60M,-29.60M,5.80M,-4.20M,,2016-12,518.70M,-42.90M,443.70M,,2016-12,,-51.60M,-306.10M,-38.00M,26.80M,,2016-12,AOR,Restated
2016-09,93.10M,,2.00M,,2.00M,,,97.80M,97.80M,-22.80M,,106.50M,7.00M,2.20M,-53.10M,-31.40M,4.80M,8.90M,,,15.90M,230.90M,,2016-09,-120.10M,,,6.60M,0.00,,,2016-09,-16.30M,,-16.30M,,-66.20M,-66.20M,-27.60M,-27.60M,4.20M,6.70M,,2016-09,495.00M,18.20M,518.70M,,2016-09,,-9.00M,-7.30M,-66.20M,28.70M,,2016-09,AOR,Restated
2016-06,175.40M,,-8.60M,,-8.60M,,,99.00M,99.00M,-0.40M,,,10.70M,9.70M,32.70M,3.80M,-1.40M,13.40M,,,-6.50M,327.80M,,2016-06,-130.40M,,,4.70M,0.00,,,2016-06,44.90M,,44.90M,,-104.30M,-104.30M,-28.00M,-28.00M,4.30M,-3.00M,,2016-06,392.30M,116.00M,495.00M,,2016-06,,45.50M,-0.60M,-104.30M,15.50M,,2016-06,AOR,Restated
2016-03,173.20M,,-15.70M,,-15.70M,,,94.40M,94.40M,23.90M,,,9.60M,0.10M,-155.80M,-17.90M,0.50M,-69.40M,,,-8.50M,34.40M,,2016-03,-104.30M,,,1.10M,0.00,,,2016-03,11.00M,,11.00M,,-79.50M,-79.50M,-28.20M,-28.20M,-7.60M,-20.50M,,2016-03,577.70M,-193.60M,392.30M,,2016-03,,19.70M,-8.70M,-79.50M,29.30M,,2016-03,AOR,Restated
2015-12,102.90M,,-13.10M,,12.60M,,,83.90M,83.90M,-32.40M,,,9.70M,67.80M,87.70M,-8.20M,0.90M,97.10M,,,-24.30M,397.70M,,2015-12,-158.50M,,,-1.186B,,,,2015-12,748.60M,,748.60M,,-219.50M,-219.50M,-28.80M,-28.80M,1.70M,-4.90M,,2015-12,1.033B,-436.30M,577.70M,,2015-12,,541.70M,206.90M,-219.50M,14.40M,,2015-12,AOR,Restated
2015-09,165.90M,,9.90M,,9.90M,,,78.30M,78.30M,4.50M,,,9.90M,0.80M,5.30M,-3.60M,6.90M,-88.30M,,,-38.70M,150.90M,,2015-09,-133.80M,,,0.90M,,,,2015-09,12.70M,,12.70M,,-67.40M,-67.40M,-29.20M,-29.20M,1.60M,-0.30M,,2015-09,1.108B,-64.60M,1.033B,,2015-09,,11.60M,1.10M,-67.40M,31.00M,,2015-09,AOR,Restated
2015-06,157.40M,,-8.90M,,-8.90M,,,80.90M,80.90M,11.90M,,,9.70M,11.00M,27.30M,-10.50M,-7.40M,24.20M,,,-9.00M,286.60M,,2015-06,-145.00M,,,1.70M,,,,2015-06,-36.00M,,-36.00M,,-29.20M,-29.20M,-29.30M,-29.30M,2.00M,-2.20M,,2015-06,1.036B,48.60M,1.108B,,2015-06,,3.10M,-39.10M,-29.20M,12.00M,,2015-06,AOR,Restated
2015-03,187.70M,,-20.60M,,-20.60M,,,77.10M,77.10M,10.40M,,,10.90M,8.10M,-202.10M,-30.60M,-9.80M,24.70M,,,-23.10M,32.70M,,2015-03,-140.00M,,,-11.80M,,,,2015-03,497.40M,,497.40M,,-33.70M,-33.70M,-29.40M,-29.40M,-1.60M,-15.90M,,2015-03,797.80M,297.70M,1.036B,,2015-03,,1.013B,-515.40M,-33.70M,12.80M,,2015-03,AOR,Restated
2014-12,147.40M,,5.10M,,8.20M,-226.30M,-20.70M,83.40M,83.40M,-2.50M,,,8.00M,1.60M,-23.00M,11.10M,43.20M,56.60M,,,-78.40M,255.60M,,2014-12,-165.10M,,,4.30M,,-3.20M,,2014-12,27.10M,,27.10M,,-49.90M,-49.90M,-29.30M,-29.30M,-22.90M,22.80M,,2014-12,782.80M,39.40M,797.80M,,2014-12,,146.00M,-118.90M,-49.90M,11.90M,,2014-12,AOR,Restated
2014-09,173.00M,,10.50M,,10.50M,74.90M,6.90M,81.80M,81.80M,7.20M,,,8.30M,5.30M,40.10M,-32.80M,-13.50M,-39.20M,,,-20.70M,220.00M,,2014-09,-140.60M,,,0.00,,1.20M,,2014-09,72.90M,,72.90M,,-65.00M,-65.00M,-30.00M,-30.00M,3.40M,-1.70M,,2014-09,771.40M,60.20M,782.80M,,2014-09,,75.40M,-2.50M,-65.00M,12.30M,,2014-09,AOR,Restated
2014-06,199.90M,,-11.80M,,-11.80M,77.30M,7.80M,85.10M,85.10M,22.00M,,,8.00M,4.60M,-19.30M,-10.10M,-14.80M,44.60M,,,-28.40M,279.80M,,2014-06,-131.10M,,,0.00,,0.50M,,2014-06,-129.10M,,-129.10M,,-25.00M,-25.00M,-28.40M,-28.40M,3.40M,-6.00M,,2014-06,808.10M,-35.90M,771.40M,,2014-06,,191.00M,-320.10M,-25.00M,7.20M,,2014-06,AOR,Restated
2014-03,167.20M,,-9.00M,,-9.00M,74.10M,6.00M,80.10M,80.10M,15.60M,,,7.80M,34.30M,-246.50M,-7.90M,-2.20M,38.40M,,,-31.40M,46.40M,,2014-03,-126.20M,,,-106.40M,,1.50M,,2014-03,111.20M,,111.20M,,0.00,0.00,-28.40M,-28.40M,9.40M,-36.20M,,2014-03,939.50M,-128.70M,808.10M,,2014-03,,211.30M,-100.10M,0.00,18.10M,,2014-03,AOR,Restated
2013-12,149.40M,,6.90M,,6.90M,-202.40M,-20.10M,76.90M,76.90M,-13.90M,,,7.30M,19.20M,103.60M,-1.80M,25.50M,-56.50M,,,-141.90M,204.00M,,2013-12,-119.90M,,,0.00,,10.20M,,2013-12,-41.30M,,-41.30M,,0.00,0.00,-28.30M,-28.30M,-33.20M,26.60M,,2013-12,920.40M,18.10M,939.50M,,2013-12,,3.20M,-44.50M,0.00,12.80M,,2013-12,AOR,Restated
2013-09,172.90M,,-2.20M,,-2.20M,64.90M,6.70M,71.60M,71.60M,1.30M,,,6.90M,6.90M,25.40M,-4.10M,-13.00M,-15.50M,,,-28.50M,214.80M,,2013-09,-103.10M,,,0.00,,7.10M,,2013-09,43.10M,,43.10M,,-75.00M,-75.00M,-28.50M,-28.50M,5.30M,-1.90M,,2013-09,817.00M,61.80M,920.40M,,2013-09,,43.20M,-0.10M,-75.00M,12.70M,,2013-09,AOR,Restated
2013-06,180.10M,,-10.40M,,-10.40M,69.30M,6.70M,76.00M,76.00M,6.70M,,,7.20M,7.20M,-23.50M,9.70M,-14.80M,48.00M,,,4.70M,283.70M,,2013-06,-107.40M,,,0.00,,1.90M,,2013-06,31.90M,,31.90M,,-100.60M,-100.60M,0.00,0.00,8.60M,-1.80M,,2013-06,695.40M,116.30M,817.00M,,2013-06,,82.10M,-50.20M,-100.60M,12.60M,,2013-06,AOR,Restated
2013-03,148.60M,,-15.60M,,-15.60M,68.20M,6.70M,74.90M,74.90M,-17.00M,,,15.20M,15.20M,-197.20M,-18.60M,-11.90M,27.10M,,,10.80M,16.30M,,2013-03,-87.40M,,,0.00,,13.80M,,2013-03,134.40M,,134.40M,,-49.90M,-49.90M,0.00,0.00,11.40M,-36.20M,,2013-03,715.70M,2.40M,695.40M,,2013-03,,161.00M,-26.60M,-49.90M,12.30M,,2013-03,AOR,Restated
2012-12,126.60M,0.00,8.20M,,8.20M,70.40M,6.90M,77.30M,77.30M,-10.30M,,,15.70M,-7.50M,125.30M,33.20M,3.50M,-5.80M,,,-30.10M,336.10M,,2012-12,-124.40M,,,0.00,,1.50M,,2012-12,-34.70M,,-34.70M,,-95.60M,-95.60M,0.00,0.00,2.10M,-9.30M,,2012-12,621.50M,75.70M,715.70M,,2012-12,,8.10M,-42.80M,-95.60M,12.30M,,2012-12,AOR,Restated
2012-09,105.90M,-3.10M,-8.00M,,-11.10M,63.00M,6.80M,69.80M,69.80M,5.20M,,,9.90M,25.50M,80.70M,-11.20M,-3.70M,-10.60M,,,-27.90M,232.50M,,2012-09,-94.60M,,,55.20M,,1.40M,,2012-09,-49.40M,,-49.40M,,0.00,0.00,0.00,0.00,1.70M,-13.70M,,2012-09,481.90M,133.10M,621.50M,,2012-09,,58.00M,-107.40M,0.00,12.80M,,2012-09,AOR,Restated
2012-06,126.20M,34.80M,-0.50M,,34.30M,63.00M,7.30M,70.30M,70.30M,16.50M,,,10.10M,0.90M,5.40M,-7.40M,-5.00M,39.70M,,,-11.70M,279.30M,,2012-06,-93.40M,,,0.00,,1.50M,,2012-06,114.60M,,114.60M,,-200.30M,-200.30M,,,1.20M,-2.50M,,2012-06,396.90M,100.40M,481.90M,,2012-06,,99.20M,15.40M,-200.30M,18.70M,,2012-06,AOR,Restated
2012-03,163.70M,,-7.40M,,-7.40M,63.80M,7.40M,71.20M,71.20M,-22.10M,,,21.00M,4.40M,-167.60M,-19.90M,-10.20M,-5.50M,,,3.20M,30.80M,,2012-03,-95.00M,,,1.60M,,1.00M,,2012-03,79.80M,,79.80M,,0.00,0.00,,,47.00M,-29.50M,,2012-03,359.60M,35.70M,396.90M,,2012-03,,191.40M,-111.60M,0.00,13.20M,,2012-03,AOR,Restated
2011-12,127.20M,,14.00M,,35.50M,65.20M,7.70M,72.90M,72.90M,23.00M,-15.10M,,5.40M,-11.20M,41.70M,8.90M,9.70M,-56.30M,,,-38.10M,235.10M,,2011-12,-119.60M,,,22.90M,,1.00M,,2011-12,-38.50M,-29.40M,-67.90M,,-59.40M,-59.40M,,,9.30M,-33.20M,,2011-12,377.00M,-11.80M,359.60M,,2011-12,,74.30M,-142.20M,-59.40M,19.30M,,2011-12,AOR,Restated
2011-09,146.70M,,-1.50M,,-1.50M,62.00M,8.00M,70.00M,70.00M,-9.50M,5.30M,,5.20M,10.50M,-36.00M,-16.50M,-6.40M,71.30M,,,-5.10M,223.50M,,2011-09,-114.20M,,,0.00,,1.40M,,2011-09,-52.60M,-7.60M,-60.20M,,-29.40M,-29.40M,,,5.50M,-0.90M,,2011-09,372.40M,25.70M,377.00M,,2011-09,,4.00M,-64.20M,-29.40M,12.90M,,2011-09,AOR,Restated
2011-06,167.30M,,-8.00M,,-8.00M,64.10M,8.20M,72.30M,72.30M,3.60M,5.00M,,6.40M,11.40M,23.20M,2.60M,1.50M,22.30M,,,-5.20M,291.00M,,2011-06,-89.70M,,,2.10M,,-0.60M,,2011-06,11.40M,-5.30M,6.10M,,-86.90M,-86.90M,,,10.30M,8.40M,,2011-06,222.90M,140.70M,372.40M,,2011-06,,147.20M,-141.10M,-86.90M,23.70M,,2011-06,AOR,Restated
2011-03,129.40M,,-12.30M,,-12.30M,60.90M,6.90M,67.80M,67.80M,-18.20M,4.80M,,4.80M,9.60M,-179.50M,-33.60M,-7.20M,0.30M,,,2.30M,-41.40M,,2011-03,-70.20M,,,-203.70M,,6.10M,,2011-03,202.80M,42.30M,245.10M,,-181.90M,-181.90M,,,27.90M,-12.50M,,2011-03,449.90M,-230.60M,222.90M,,2011-03,,206.70M,38.40M,-181.90M,12.60M,,2011-03,AOR,Restated
2010-12,115.60M,,20.90M,,20.90M,53.30M,7.40M,60.70M,60.70M,-12.30M,-13.60M,,7.20M,-3.70M,31.70M,6.90M,1.80M,-0.40M,,,11.40M,226.20M,,2010-12,-88.80M,,,0.00,-5.40M,,,2010-12,9.70M,5.00M,14.70M,,-128.40M,-128.40M,,,26.70M,-32.70M,,2010-12,432.20M,19.10M,449.90M,,2010-12,,40.30M,-25.60M,-128.40M,18.90M,,2010-12,AOR,Restated
2010-09,111.50M,,7.50M,,7.50M,56.70M,7.40M,64.10M,64.10M,-24.20M,4.70M,,5.00M,0.00,-39.70M,-34.70M,9.40M,-6.00M,,,6.80M,104.40M,,2010-09,-80.40M,,,0.00,1.50M,,,2010-09,257.80M,-72.80M,185.00M,,-42.50M,-42.50M,,,16.70M,29.60M,,2010-09,187.50M,214.30M,432.20M,,2010-09,,361.90M,-176.90M,-42.50M,9.20M,,2010-09,AOR,
2010-06,169.10M,,-15.70M,,-15.70M,57.40M,7.10M,64.50M,64.50M,-11.90M,4.50M,,5.70M,-53.40M,-102.40M,-3.30M,-7.20M,100.80M,,,-6.50M,144.20M,,2010-06,-52.10M,,,-164.70M,1.90M,,,2010-06,-8.70M,53.90M,45.20M,,-154.80M,-154.80M,,,8.60M,-2.80M,,2010-06,374.10M,-174.50M,187.50M,,2010-06,,0.00,45.20M,-154.80M,19.20M,,2010-06,AOR,Restated
2010-03,,,-11.00M,,-11.00M,57.10M,6.50M,63.60M,63.60M,-3.80M,4.40M,,4.90M,81.40M,-128.60M,-47.90M,-3.40M,112.30M,,,-7.80M,64.10M,,2010-03,-55.30M,,,5.00M,2.00M,,,2010-03,-2.50M,13.90M,11.40M,,0.00,0.00,,,15.10M,-5.00M,,2010-03,357.40M,37.30M,374.10M,,2010-03,,0.00,11.40M,0.00,6.10M,,2010-03,AOR,Restated
2009-12,56.60M,,3.20M,,-36.20M,61.70M,7.20M,68.90M,68.90M,-11.60M,4.40M,,4.10M,12.20M,-12.30M,-2.90M,7.70M,68.80M,,,-61.20M,124.70M,,2009-12,-44.80M,,,17.10M,0.00,-12.90M,,2009-12,-1.80M,-5.40M,-7.20M,,0.00,0.00,,8.70M,2.90M,8.20M,,2009-12,258.80M,96.70M,357.40M,,2009-12,,0.00,107.50M,0.00,18.30M,,2009-12,AOR,Restated
2009-09,20.00M,,-17.90M,,-22.50M,58.80M,7.20M,66.00M,66.00M,-6.80M,4.10M,,5.40M,9.50M,-75.20M,10.80M,-11.40M,75.20M,,,-13.10M,52.50M,,2009-09,-38.90M,,,-15.50M,-13.70M,36.00M,,2009-09,-4.70M,-109.30M,-114.00M,,0.00,0.00,,-0.40M,3.20M,86.40M,,2009-09,256.90M,-4.40M,258.80M,,2009-09,,0.00,-114.00M,0.00,6.50M,,2009-09,AOR,Restated
2009-06,-33.90M,,-8.40M,,35.60M,56.80M,6.10M,62.90M,62.90M,-27.20M,4.20M,,7.30M,11.50M,18.50M,51.70M,-10.00M,-1.50M,,,-1.80M,105.80M,,2009-06,-49.70M,,,-7.50M,8.50M,,,2009-06,340.30M,-70.20M,270.10M,,0.00,0.00,,-3.70M,33.30M,-196.10M,,2009-06,90.80M,160.70M,256.90M,,2009-06,,291.40M,-21.30M,0.00,32.60M,,2009-06,AOR,Restated
2009-03,-6.30M,,44.40M,,44.40M,57.30M,5.80M,63.10M,63.10M,-12.10M,0.00,,5.20M,5.20M,-37.60M,83.40M,14.90M,-50.50M,,,-36.50M,68.00M,,2009-03,-38.60M,,,0.00,5.20M,,,2009-03,-116.70M,70.20M,-46.50M,,,,,-18.40M,0.50M,17.80M,,2009-03,103.40M,-12.00M,90.80M,,2009-03,,90.20M,-136.70M,,11.40M,,2009-03,AOR,Restated
2008-12,-79.30M,,9.30M,,-8.50M,57.40M,6.00M,63.40M,63.40M,-53.10M,0.00,10.00M,8.60M,-43.50M,244.90M,45.00M,21.30M,-229.90M,,,-2.60M,135.70M,,2008-12,-104.10M,,,58.80M,0.00,1.50M,,2008-12,0.00,34.10M,34.10M,,-7.50M,-7.50M,,0.10M,0.90M,,,2008-12,135.80M,-34.20M,103.40M,,2008-12,,0.00,0.00,-7.50M,10.70M,,2008-12,,Restated
2008-09,-128.00M,,-13.60M,,4.20M,66.80M,3.40M,70.20M,70.20M,-10.30M,0.00,146.80M,5.50M,152.30M,29.00M,-41.40M,-2.50M,-68.20M,,,-7.30M,-2.00M,,2008-09,-103.40M,,,-53.30M,0.00,2.20M,,2008-09,0.00,87.80M,87.80M,,-20.70M,-20.70M,,-13.40M,9.10M,,,2008-09,225.90M,-93.70M,135.80M,,2008-09,,,7.10M,-20.70M,11.30M,,2008-09,,Restated
2008-06,99.30M,,16.30M,,16.30M,68.70M,12.30M,81.00M,81.00M,-14.90M,0.00,,1.60M,-1.30M,1.20M,-24.60M,-10.80M,68.70M,,,-16.80M,192.60M,,2008-06,-86.80M,,,0.00,10.90M,1.70M,,2008-06,-2.20M,-86.10M,-88.30M,,-14.20M,-14.20M,,-16.80M,4.40M,,,2008-06,203.40M,3.50M,225.90M,,2008-06,,-79.00M,-9.30M,-14.20M,10.70M,,2008-06,,Restated
2008-03,88.70M,,,,,66.80M,5.40M,72.20M,72.20M,,,,5.50M,8.40M,-111.20M,-5.30M,8.00M,10.80M,,,-2.60M,74.50M,,2008-03,-75.40M,,,0.00,3.70M,0.30M,,2008-03,-5.10M,79.00M,73.90M,,-13.50M,-13.50M,,-21.00M,2.70M,,,2008-03,188.50M,45.20M,203.40M,,2008-03,,79.00M,-5.10M,-13.50M,11.70M,,2008-03,,Restated
2007-12,71.20M,,,,7.90M,65.80M,8.90M,74.70M,74.70M,-2.90M,,,,3.60M,77.70M,9.10M,13.70M,3.10M,,-6.90M,-13.80M,237.40M,,2007-12,-99.30M,10.10M,-89.20M,,23.90M,,,2007-12,,,19.10M,11.80M,-9.20M,2.60M,,-9.80M,,-1.50M,,2007-12,137.40M,43.70M,188.50M,,2007-12,11.80M,,,-9.20M,,,2007-12,,
2007-09,83.20M,,,,-3.70M,59.50M,4.30M,63.80M,63.80M,-21.10M,,,,3.60M,6.20M,-13.40M,-0.30M,22.20M,,-3.00M,5.20M,142.70M,,2007-09,-72.10M,4.90M,-67.20M,,21.40M,,,2007-09,,,-55.60M,17.00M,-21.50M,-4.50M,,5.60M,,-16.00M,,2007-09,118.50M,26.40M,137.40M,,2007-09,17.00M,,,-21.50M,,,2007-09,,
2007-06,75.70M,,,,5.00M,57.60M,4.20M,61.80M,61.80M,1.10M,,,,4.90M,-44.80M,4.90M,7.80M,19.00M,,-4.70M,10.10M,140.80M,,2007-06,-64.20M,0.20M,-64.00M,,0.20M,,,2007-06,,,-38.00M,4.40M,-16.30M,-11.90M,,-25.40M,,10.90M,,2007-06,118.10M,12.60M,118.50M,,2007-06,4.40M,,,-16.30M,,,2007-06,,
