,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2018-05,1.670B,1.670B,917.21M,752.34M,471.81M,-15.03M,24.83M,0.37M,-24.46M,,471.81M,280.53M,0.37M,24.83M,-24.46M,-15.03M,-24.46M,241.04M,51.74M,189.30M,-3.127M,,186.17M,201.10M,340.38M,74.51M,265.87M,,1.74,-0.03,,1.850,1.71,,1.68,-0.03,,1.786,1.66,,107.74M,111.48M,0.00,,AOR,Restated
2018-02,1.589B,1.589B,888.68M,700.46M,490.62M,-9.821M,25.90M,0.384M,-25.52M,,490.62M,209.84M,0.384M,25.90M,-25.52M,-9.821M,-25.52M,174.51M,-121.28M,295.79M,6.306M,,302.10M,302.96M,266.47M,66.06M,200.41M,,2.73,0.06,,2.797,2.79,,2.66,0.05,,2.725,2.71,,106.56M,110.18M,0.00,,AOR,Restated
2017-11,1.606B,1.606B,890.07M,716.37M,468.08M,-13.07M,29.13M,0.291M,-28.84M,,468.08M,248.28M,0.291M,29.13M,-28.84M,-13.07M,-28.84M,206.37M,68.64M,137.74M,-0.628M,,137.11M,146.46M,305.83M,70.33M,235.50M,,1.27,-0.01,,1.352,1.26,,1.24,-0.01,,1.319,1.23,,106.34M,109.82M,1.62,,AOR,Restated
2017-08,1.612B,1.612B,872.15M,739.35M,486.28M,-3.971M,30.32M,0.297M,-30.02M,,486.28M,253.07M,0.297M,30.32M,-30.02M,-3.971M,-30.02M,219.08M,57.97M,161.11M,56.10M,,217.21M,164.03M,317.90M,68.51M,249.40M,,1.50,0.52,,1.528,2.02,,1.45,0.51,,1.477,1.96,,105.74M,108.54M,0.00,,AOR,Restated
2017-05,1.530B,1.530B,851.56M,678.73M,437.67M,-63.75M,45.39M,0.13M,-45.26M,,437.67M,241.05M,0.13M,45.39M,-45.26M,-63.75M,-45.26M,132.05M,49.87M,82.17M,2.061M,,84.24M,121.84M,242.32M,64.88M,177.44M,,0.76,0.02,,1.137,0.78,,0.75,0.01,,1.115,0.76,,105.33M,108.61M,0.00,,AOR,Restated
2017-02,1.255B,1.255B,695.44M,559.92M,358.59M,-9.344M,13.70M,0.011M,-13.68M,,358.59M,201.34M,0.011M,13.70M,-13.68M,-9.344M,-13.68M,178.31M,61.35M,116.95M,1.051M,,118.00M,123.08M,236.67M,44.66M,192.00M,,1.09,0.01,,1.148,1.10,,1.06,0.01,,1.117,1.07,,105.09M,107.89M,0.00,,AOR,Restated
2016-11,1.271B,1.271B,705.86M,565.22M,361.42M,-3.347M,13.27M,0.031M,-13.24M,,361.42M,203.80M,0.031M,13.27M,-13.24M,-3.347M,-13.24M,187.22M,65.27M,121.95M,18.43M,,140.38M,124.13M,244.37M,43.88M,200.49M,,1.15,0.17,,1.171,1.32,,1.12,0.17,,1.140,1.29,,104.96M,107.65M,1.33,,AOR,Restated
2016-08,1.267B,1.267B,690.22M,576.43M,369.70M,-2.787M,14.17M,0.065M,-14.11M,,369.70M,206.72M,0.065M,14.17M,-14.11M,-2.787M,-14.11M,189.83M,53.62M,136.21M,1.883M,,138.09M,138.21M,247.17M,43.17M,204.00M,,1.27,0.02,,1.289,1.29,,1.24,0.02,,1.259,1.26,,104.48M,107.11M,0.00,,AOR,Restated
2016-05,1.162B,1.162B,636.53M,525.19M,335.06M,,15.78M,0.331M,-15.44M,,335.06M,190.13M,0.331M,15.78M,-15.44M,,-15.44M,174.69M,65.01M,109.68M,21.22M,,130.90M,109.68M,233.07M,42.61M,190.46M,,1.09,0.12,,1.09,1.21,,1.08,0.12,,1.08,1.20,,106.12M,107.99M,0.00,,AOR,Restated
2016-02,1.216B,1.216B,691.48M,524.61M,331.66M,0.00,16.16M,0.335M,-15.83M,,331.66M,192.95M,0.335M,16.16M,-15.83M,,-15.83M,177.12M,59.84M,117.28M,0.062M,,117.34M,117.28M,235.06M,41.78M,193.29M,,1.07,0.00,,1.07,1.07,,1.05,0.00,,1.05,1.05,,107.84M,109.46M,0.00,,AOR,Restated
2015-11,1.219B,1.219B,691.68M,527.40M,327.05M,0.00,16.17M,0.111M,-16.06M,,327.05M,200.35M,0.111M,16.17M,-16.06M,,-16.06M,184.29M,68.84M,115.45M,229.65M,,345.10M,115.45M,241.59M,41.13M,200.46M,,1.05,2.06,,1.05,3.11,,1.03,2.03,,1.03,3.06,,108.30M,110.11M,1.05,,AOR,Restated
2015-08,1.199B,1.199B,674.75M,524.14M,338.64M,0.00,16.41M,0.119M,-16.29M,,338.64M,185.51M,0.119M,16.41M,-16.29M,,-16.29M,169.21M,63.02M,106.20M,-6.017M,,100.18M,106.20M,225.39M,39.77M,185.63M,,0.94,-0.05,,0.94,0.89,,0.93,-0.05,,0.93,0.88,,110.60M,112.23M,0.00,,AOR,Restated
2015-05,1.035B,1.035B,577.13M,458.25M,293.30M,0.00,16.40M,0.171M,-16.22M,,293.30M,164.95M,0.171M,16.40M,-16.22M,0.00,-16.22M,148.73M,56.11M,92.62M,12.60M,,105.22M,92.62M,204.16M,39.04M,165.12M,,0.88,0.03,,0.88,0.91,,0.86,0.03,,0.86,0.90,,113.64M,115.53M,0.00,,AOR,Restated
2015-02,1.109B,1.109B,633.54M,475.31M,301.69M,0.00,16.25M,0.096M,-16.16M,,301.69M,173.62M,0.096M,16.25M,-16.16M,0.00,-16.16M,157.46M,57.13M,100.33M,-5.448M,,94.88M,100.33M,211.60M,37.89M,173.71M,,0.86,-0.05,,0.86,0.81,,0.85,-0.05,,0.85,0.80,,116.18M,117.87M,0.00,,AOR,Restated
2014-11,1.123B,1.123B,641.96M,481.42M,299.84M,0.00,15.93M,0.019M,-15.91M,,299.84M,181.58M,0.019M,15.93M,-15.91M,0.00,-15.91M,165.67M,61.97M,103.70M,16.71M,,120.41M,103.70M,220.10M,38.50M,181.60M,,0.88,0.14,,0.88,1.02,,0.86,0.14,,0.86,1.00,,117.12M,118.66M,0.85,,AOR,Restated
2014-08,1.102B,1.102B,624.13M,477.95M,314.46M,21.74M,16.58M,0.053M,-16.53M,,314.46M,163.49M,0.053M,16.58M,-16.53M,21.74M,-16.53M,168.70M,62.79M,105.90M,4.203M,,110.11M,92.25M,224.93M,39.65M,185.28M,,0.90,0.04,,0.7830,0.94,,0.89,0.04,,0.7743,0.93,,116.66M,118.03M,0.00,,AOR,Restated
2014-05,858.69M,858.69M,501.74M,356.95M,197.82M,2.158M,16.40M,0.033M,-16.36M,,197.82M,159.14M,0.033M,16.40M,-16.36M,2.158M,-16.36M,144.93M,53.34M,91.59M,35.63M,,127.22M,90.23M,206.90M,45.58M,161.33M,,1.04,0.29,,1.029,1.04,,1.03,0.29,,1.019,1.03,,119.53M,121.12M,0.00,,AOR,Restated
2014-02,1.111B,1.111B,641.34M,469.63M,317.87M,-2.158M,16.42M,0.044M,-16.37M,,317.87M,151.76M,0.044M,16.42M,-16.37M,-2.158M,-16.37M,133.23M,48.90M,84.33M,0.276M,,84.60M,85.69M,198.01M,48.36M,149.65M,,0.70,0.00,,0.7114,0.70,,0.69,0.00,,0.7013,0.69,,119.91M,121.28M,0.00,,AOR,Restated
2013-11,1.124B,1.124B,656.85M,467.08M,314.87M,0.00,16.48M,0.084M,-16.40M,,314.87M,152.21M,0.084M,16.48M,-16.40M,0.00,-16.40M,135.81M,51.35M,84.46M,0.406M,,84.86M,84.46M,200.82M,48.53M,152.30M,,0.70,0.01,,0.70,0.71,,0.69,0.01,,0.69,0.70,,119.91M,121.05M,0.77,,AOR,Restated
2013-08,1.100B,1.100B,644.15M,456.10M,316.48M,0.00,16.52M,0.068M,-16.46M,,316.48M,139.61M,0.068M,16.52M,-16.46M,0.00,-16.46M,123.16M,45.76M,77.40M,0.356M,,77.75M,77.40M,188.07M,48.39M,139.68M,,0.63,0.00,,0.63,0.63,,0.63,0.00,,0.63,0.63,,122.13M,122.89M,0.00,,AOR,Restated
2013-05,1.059B,1.059B,625.12M,433.46M,278.82M,,16.52M,0.051M,-16.47M,,278.82M,154.64M,0.051M,16.52M,-16.47M,,-16.47M,138.17M,51.05M,87.12M,,,85.98M,87.12M,202.94M,48.25M,154.69M,,0.69,,,0.69,0.69,,0.69,,,0.69,0.69,,122.38M,123.42M,0.00,,AOR,Restated
2013-02,1.076B,1.076B,633.73M,441.94M,308.92M,,16.30M,0.132M,-16.17M,,308.92M,133.02M,0.132M,16.30M,-16.17M,,-16.17M,116.85M,42.15M,74.70M,,,74.70M,74.70M,180.99M,47.83M,133.16M,,0.60,,,0.60,0.60,,0.60,,,0.60,0.60,,123.12M,123.76M,0.00,,AOR,Restated
2012-11,1.060B,1.060B,628.35M,432.04M,293.01M,,16.29M,0.149M,-16.14M,,293.01M,139.02M,0.149M,16.29M,-16.14M,,-16.14M,122.88M,44.85M,78.03M,,,78.03M,78.03M,186.02M,46.85M,139.17M,,0.63,,,0.63,0.63,,0.63,,,0.63,0.63,,124.18M,124.61M,0.64,,AOR,Restated
2012-08,1.051B,1.051B,605.45M,445.88M,306.58M,,16.60M,0.077M,-16.52M,,306.58M,139.29M,0.077M,16.60M,-16.52M,,-16.52M,122.77M,46.04M,76.73M,,,76.73M,76.73M,185.81M,46.44M,139.37M,,0.61,,,0.61,0.61,,0.60,,,0.60,0.60,,126.11M,126.46M,0.00,,AOR,Restated
2012-05,1.054B,1.054B,609.71M,443.87M,303.04M,,18.34M,0.801M,-17.54M,,303.04M,140.83M,0.801M,18.34M,-17.54M,,-17.54M,123.29M,44.68M,78.61M,,,78.61M,78.61M,190.71M,49.08M,141.63M,,0.60,,,0.60,0.60,,0.60,,,0.60,0.60,,128.78M,129.17M,0.00,,AOR,Restated
2012-02,1.012B,1.012B,586.21M,425.90M,288.37M,,17.22M,0.373M,-16.85M,,288.37M,137.54M,0.373M,17.22M,-16.85M,,-16.85M,120.69M,44.66M,76.04M,,,76.04M,76.04M,206.07M,68.16M,137.91M,,0.58,,,0.58,0.58,,0.58,,,0.58,0.58,,129.74M,129.94M,0.00,,AOR,Restated
2011-11,1.019B,1.019B,589.33M,429.80M,297.11M,,17.73M,0.403M,-17.32M,,297.11M,132.68M,0.403M,17.73M,-17.32M,,-17.32M,115.36M,41.01M,74.35M,,,74.35M,74.35M,171.73M,38.64M,133.09M,,0.57,0.00,,0.57,0.57,,0.57,0.00,,0.57,0.57,,129.73M,129.74M,0.54,,AOR,Restated
2011-08,1.017B,1.017B,578.14M,439.04M,310.47M,,17.33M,0.365M,-16.97M,,310.47M,128.57M,0.365M,17.33M,-16.97M,,-16.97M,111.60M,42.97M,68.64M,,,68.64M,68.64M,167.22M,38.28M,128.94M,,0.52,0.00,,0.52,0.52,,0.52,0.00,,0.52,0.52,,131.31M,131.34M,0.00,,AOR,Restated
2011-05,1.012B,1.012B,579.04M,433.05M,304.17M,,12.75M,0.778M,-11.97M,,304.17M,128.88M,0.778M,12.75M,-11.97M,,-11.97M,116.91M,46.13M,70.78M,,,70.78M,70.78M,211.00M,81.34M,129.66M,,0.49,,,0.49,0.49,,0.49,,,0.49,0.49,,143.29M,143.29M,0.00,,AOR,Restated
2011-02,937.83M,937.83M,545.91M,391.92M,283.04M,,12.52M,0.28M,-12.24M,,283.04M,108.88M,0.28M,12.52M,-12.24M,,-12.24M,96.64M,37.57M,59.07M,,,59.07M,59.07M,146.72M,37.56M,109.16M,,0.41,0.00,,0.41,0.41,,0.41,0.00,,0.41,0.41,,145.30M,145.30M,0.00,,AOR,
2010-11,936.57M,936.57M,545.92M,390.65M,288.30M,,12.16M,0.394M,-11.77M,,288.30M,102.34M,0.394M,12.16M,-11.77M,,-11.77M,90.58M,34.71M,55.87M,,,55.87M,55.87M,139.94M,37.20M,102.74M,,0.38,0.00,,0.38,0.38,,0.38,0.00,,0.38,0.38,,145.51M,145.51M,0.49,,AOR,Restated
2010-08,923.90M,923.90M,530.23M,393.67M,293.42M,,12.27M,0.578M,-11.70M,,293.42M,100.25M,0.578M,12.27M,-11.70M,,-11.70M,88.55M,27.27M,61.28M,,,61.28M,61.28M,138.19M,37.36M,100.82M,,0.40,0.00,,0.40,0.40,,0.40,0.00,,0.40,0.40,,152.16M,152.16M,0.00,,AOR,Restated
2010-05,909.45M,909.45M,523.88M,385.57M,286.93M,,12.42M,0.60M,-11.82M,,286.93M,98.64M,0.60M,12.42M,-11.82M,,-11.82M,89.70M,34.22M,55.48M,,,55.48M,55.48M,140.34M,38.22M,102.12M,,0.36,0.00,,0.36,0.36,,0.36,0.00,,0.36,0.36,,152.87M,152.87M,0.00,,AOR,Restated
2010-02,861.81M,861.81M,502.20M,359.61M,275.60M,,11.58M,0.422M,-11.15M,,275.60M,84.01M,0.422M,11.58M,-11.15M,,-11.15M,72.86M,23.88M,48.98M,,,48.98M,48.98M,122.37M,37.94M,84.43M,,0.32,0.00,,0.32,0.32,,0.32,0.00,,0.32,0.32,,152.87M,152.87M,0.48,,AOR,Restated
2009-11,884.51M,884.51M,514.66M,369.85M,263.46M,,12.58M,0.314M,-12.26M,,263.46M,106.39M,0.314M,12.58M,-12.26M,,-12.26M,94.12M,36.95M,57.18M,,,57.18M,57.18M,144.05M,37.35M,106.70M,,0.37,0.00,,0.37,0.37,,0.37,0.00,,0.37,0.37,,152.87M,152.87M,0.00,,AOR,Restated
2009-08,891.57M,891.57M,508.77M,382.80M,283.90M,,12.04M,0.359M,-11.68M,,283.90M,98.89M,0.359M,12.04M,-11.68M,,-11.68M,87.21M,33.23M,53.98M,,,53.98M,53.98M,137.80M,38.55M,99.25M,,0.35,0.00,,0.35,0.35,,0.35,0.00,,0.35,0.35,,152.83M,152.83M,0.00,,AOR,Restated
2009-05,878.68M,878.68M,544.33M,334.35M,253.68M,,12.03M,0.329M,-11.70M,,253.68M,80.67M,0.329M,12.03M,-11.70M,,-11.70M,9.876M,5.804M,4.072M,,,4.072M,4.072M,61.36M,39.45M,21.91M,,0.03,0.00,,0.03,0.03,,0.03,0.00,,0.03,0.03,,153.40M,153.40M,0.00,,AOR,Restated
2009-02,908.64M,908.64M,532.20M,376.44M,257.13M,,12.41M,0.54M,-11.87M,,257.13M,119.31M,0.54M,12.41M,-11.87M,,-11.87M,107.44M,35.63M,71.81M,,,71.81M,71.81M,159.60M,39.75M,119.85M,,0.47,0.00,,0.47,0.47,,0.47,0.00,,0.47,0.47,,152.99M,152.99M,0.47,,,Restated
2008-11,985.18M,985.18M,570.18M,415.00M,284.61M,,12.77M,0.83M,-11.94M,,284.61M,130.39M,0.83M,12.77M,-11.94M,,-11.94M,118.45M,46.62M,71.84M,,,71.84M,71.84M,170.55M,39.33M,131.22M,,0.47,0.00,,0.47,0.47,,0.47,0.00,,0.47,0.47,,152.79M,152.79M,0.00,,,Restated
2008-08,1.002B,1.002B,577.10M,425.08M,287.30M,,13.03M,1.065M,-11.97M,,287.30M,137.79M,1.065M,13.03M,-11.97M,,-11.97M,125.82M,47.19M,78.64M,,,78.64M,78.64M,177.89M,39.04M,138.85M,,0.51,0.00,,0.51,0.51,,0.51,0.00,,0.51,0.51,,153.39M,153.39M,0.00,,,Restated
2008-05,1.009B,1.009B,576.52M,432.44M,279.12M,,,,,,279.12M,153.32M,,,,,,141.25M,51.59M,89.66M,,,89.66M,89.66M,208.85M,49.46M,159.39M,,0.58,0.00,,0.58,0.58,,0.58,0.00,,0.58,0.58,,153.14M,154.15M,0.00,,,Restated
2008-02,975.95M,975.95M,564.73M,411.22M,273.19M,,,,,,273.19M,138.03M,,,,,,125.92M,44.09M,81.83M,,,81.83M,81.83M,186.87M,48.84M,138.03M,,0.53,0.00,,0.53,0.53,,0.53,0.00,,0.53,0.53,,153.88M,153.88M,0.46,,,
2007-11,983.86M,983.86M,563.30M,420.57M,275.12M,,,,,,275.12M,145.44M,,,,,,134.25M,51.39M,82.85M,,,82.85M,82.85M,192.83M,47.39M,145.44M,,0.53,0.00,,0.53,0.53,,0.53,0.00,,0.53,0.53,,156.56M,156.81M,0.00,,,
2007-08,969.13M,969.13M,551.76M,417.37M,276.71M,,,,,,276.71M,140.66M,,,,,,129.29M,48.22M,81.06M,,,81.06M,81.06M,186.88M,46.22M,140.66M,,0.51,0.00,,0.51,0.51,,0.51,0.00,,0.51,0.51,,158.95M,158.95M,0.00,,,
2007-05,964.08M,964.08M,550.10M,413.97M,258.07M,,,,,,258.07M,155.90M,,,,,,144.07M,53.74M,90.32M,,,90.32M,90.32M,201.78M,45.88M,155.90M,,0.57,0.00,,0.57,0.57,,0.57,0.00,,0.57,0.57,,158.26M,158.26M,0.00,,,
2007-02,905.40M,905.40M,519.57M,385.83M,253.13M,,,,,,253.13M,132.70M,,,,,,122.45M,45.73M,76.73M,,,76.73M,76.73M,177.00M,44.30M,132.70M,,0.48,0.00,,0.48,0.48,,0.48,0.00,,0.48,0.48,,159.85M,159.85M,0.39,,,
2006-11,923.27M,923.27M,532.19M,391.07M,248.63M,,,,,,248.63M,142.44M,,,,,,131.58M,49.06M,82.53M,,,82.53M,82.53M,185.43M,42.98M,142.44M,,0.51,0.00,,0.51,0.51,,0.51,0.00,,0.51,0.51,,161.82M,161.82M,0.00,,,
2006-08,914.16M,914.16M,523.68M,390.48M,244.13M,,,,,,244.13M,146.35M,,,,,,135.45M,50.48M,84.96M,,,84.96M,84.96M,189.12M,42.77M,146.35M,,0.53,0.00,,0.53,0.53,,0.53,0.00,,0.53,0.53,,160.31M,160.31M,0.00,,,
2006-05,907.93M,907.93M,512.05M,395.87M,241.74M,,,,,,241.74M,154.14M,,,,,,146.21M,54.69M,91.53M,,,91.53M,91.53M,196.65M,42.51M,154.14M,,0.55,0.00,,0.55,0.55,,0.55,0.00,,0.55,0.55,,166.19M,166.19M,0.00,,,
2006-02,836.42M,836.42M,483.45M,352.97M,224.42M,,,,,,224.42M,128.55M,,,,,,123.24M,46.64M,76.59M,,,76.59M,76.59M,169.03M,40.48M,128.55M,,0.46,0.00,,0.46,0.46,,0.45,0.00,,0.45,0.45,,166.51M,170.21M,0.35,,,
2005-11,835.78M,835.78M,485.32M,350.46M,221.04M,,,,,,221.04M,129.42M,,,,,,123.26M,46.43M,76.84M,,,76.84M,76.84M,168.72M,39.31M,129.42M,,0.46,0.00,,0.46,0.46,,0.46,0.00,,0.46,0.46,,167.04M,167.04M,0.00,,,
2005-08,823.48M,823.48M,467.99M,355.49M,223.44M,,,,,,223.44M,132.05M,,,,,,126.42M,46.88M,79.54M,,,79.54M,79.54M,170.40M,38.35M,132.05M,,0.46,0.00,,0.46,0.46,,0.46,0.00,,0.46,0.46,,172.90M,172.90M,0.00,,,
2005-05,809.25M,809.25M,460.73M,348.51M,221.05M,,,,,,221.05M,127.46M,,,,,,123.69M,48.70M,74.99M,,,74.99M,74.99M,165.45M,37.99M,127.46M,,0.43,0.00,,0.43,0.43,,0.43,0.00,,0.43,0.43,,174.43M,174.43M,0.00,,,
2005-02,755.24M,755.24M,433.79M,321.45M,203.91M,,,,,,203.91M,117.54M,,,,,,113.19M,41.86M,71.33M,,,71.33M,71.33M,154.66M,37.12M,117.54M,,0.42,0.00,,0.42,0.42,,0.41,0.00,,0.41,0.41,,169.84M,173.98M,0.32,,,
2004-11,756.84M,756.84M,440.88M,315.96M,194.43M,,,,,,194.43M,121.52M,,,,,,116.82M,43.26M,73.56M,,,73.56M,73.56M,158.16M,36.64M,121.52M,,0.43,0.00,,0.43,0.43,,0.43,0.00,,0.43,0.43,,171.07M,171.07M,0.00,,,
2004-08,745.96M,745.96M,427.12M,318.84M,198.81M,,,,,,198.81M,120.03M,,,,,,115.32M,42.65M,72.67M,,,72.67M,72.67M,156.46M,36.43M,120.03M,,0.42,0.00,,0.42,0.42,,0.42,0.00,,0.42,0.42,,173.01M,173.01M,0.00,,,
2004-05,738.15M,738.15M,428.26M,309.90M,189.52M,0.00,,,,,189.52M,120.38M,,,,0.00,,115.46M,42.73M,72.73M,,,72.73M,72.73M,156.44M,36.06M,120.38M,,0.38,0.00,,0.38,0.38,,0.38,0.00,,0.38,0.38,,190.99M,191.14M,0.00,,,
2004-02,696.94M,696.94M,401.23M,295.71M,185.02M,,,,,,185.02M,110.69M,,,,,,105.54M,39.05M,66.49M,,,66.49M,66.49M,146.55M,35.86M,110.69M,,0.39,0.00,,0.39,0.39,,0.39,0.00,,0.39,0.39,,170.49M,170.49M,0.29,,,
2003-11,701.31M,701.31M,407.87M,293.44M,176.95M,,,,,,176.95M,116.48M,,,,,,110.58M,40.92M,69.66M,,,69.66M,69.66M,152.38M,35.90M,116.48M,,0.41,0.00,,0.41,0.41,,0.40,0.00,,0.40,0.40,,169.90M,174.14M,0.00,,,
2003-08,677.66M,677.66M,390.21M,287.45M,176.13M,-4.343M,,,,,176.13M,111.32M,,,,-4.343M,,100.51M,37.18M,63.33M,,,63.33M,66.06M,146.75M,35.44M,111.32M,,0.37,0.00,,0.3860,0.37,,0.37,0.00,,0.3860,0.37,,171.15M,171.15M,0.00,,,
2003-05,676.14M,676.14M,397.19M,278.96M,168.57M,,,,,,168.57M,110.39M,,,,,,103.67M,38.46M,65.21M,,,65.21M,65.21M,144.46M,34.07M,110.39M,,0.38,0.00,,0.38,0.38,,0.38,0.00,,0.38,0.38,,171.66M,171.66M,0.00,,,
2003-02,663.76M,663.76M,389.34M,274.42M,174.19M,,,,,,174.19M,100.22M,,,,,,93.62M,34.56M,59.06M,,,59.06M,59.06M,135.91M,35.68M,100.22M,,0.35,0.00,,0.35,0.35,,0.34,0.00,,0.34,0.34,,168.73M,173.69M,0.27,,,
2002-11,680.96M,680.96M,397.14M,283.82M,175.85M,,,,,,175.85M,107.98M,,,,,,100.58M,37.24M,63.34M,,,63.34M,63.34M,143.22M,35.25M,107.98M,,0.37,0.00,,0.37,0.37,,0.37,0.00,,0.37,0.37,,171.19M,171.19M,0.00,,,
2002-08,665.73M,665.73M,383.71M,282.01M,176.83M,,,,,,176.83M,105.18M,,,,,,97.90M,36.25M,61.65M,,,61.65M,61.65M,143.25M,38.07M,105.18M,,0.36,0.00,,0.36,0.36,,0.36,0.00,,0.36,0.36,,171.24M,171.24M,0.00,,,
