,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2005-06,315.00M,,2.00M,,2.00M,46.00M,46.00M,-13.00M,,17.00M,4.00M,21.00M,61.00M,-29.00M,,-243.00M,105.00M,168.00M,39.00M,101.00M,472.00M,-63.00M,,-63.00M,,0.00,378.00M,-10.00M,305.00M,,,,63.00M,0.00,63.00M,,,,,63.00M,2.254B,840.00M,3.094B,63.00M,,,0.00,61.00M,
2005-03,290.00M,,2.00M,,2.00M,41.00M,41.00M,21.00M,,10.00M,135.00M,145.00M,-23.00M,-8.00M,,36.00M,-29.00M,90.00M,-29.00M,37.00M,536.00M,-43.00M,,-43.00M,,,-834.00M,-32.00M,-909.00M,,,,152.00M,0.00,152.00M,,,,,152.00M,2.475B,-221.00M,2.254B,152.00M,,,0.00,10.00M,
2004-12,295.00M,,2.00M,,2.00M,41.00M,41.00M,-8.00M,,10.00M,140.00M,150.00M,-91.00M,-55.00M,,286.00M,-87.00M,269.00M,-27.00M,295.00M,775.00M,-58.00M,,-58.00M,,,-1.478B,13.00M,-1.523B,,,,254.00M,,254.00M,,,,,254.00M,2.969B,-494.00M,2.475B,254.00M,,,,37.00M,
2004-09,96.00M,,4.00M,0.00,4.00M,40.00M,40.00M,-38.00M,,23.00M,,124.00M,-145.00M,-29.00M,,390.00M,-93.00M,111.00M,6.00M,240.00M,443.00M,-59.00M,,-59.00M,,,-645.00M,2.00M,-702.00M,0.00,,0.00,108.00M,,108.00M,,,,,108.00M,3.12B,-151.00M,2.969B,108.00M,,0.00,,,0.00
2004-06,61.00M,,3.00M,-1.00M,2.00M,41.00M,41.00M,49.00M,,10.00M,,-8.00M,-44.00M,-9.00M,,70.00M,-66.00M,98.00M,-6.00M,43.00M,211.00M,-38.00M,,-38.00M,,,-419.00M,-3.00M,-460.00M,0.00,,0.00,211.00M,,211.00M,,,,,211.00M,3.158B,-38.00M,3.12B,211.00M,,0.00,,-15.00M,0.00
2004-03,46.00M,,0.00,0.00,0.00,36.00M,36.00M,2.00M,,6.00M,,6.00M,1.00M,26.00M,,-94.00M,19.00M,32.00M,-13.00M,-29.00M,61.00M,-35.00M,,-35.00M,,,-367.00M,-1.00M,-403.00M,-300.00M,,-300.00M,76.00M,,76.00M,,,,,-224.00M,3.724B,-566.00M,3.158B,76.00M,,-300.00M,,7.00M,10.00M
2003-12,63.00M,,0.00,-4.00M,-4.00M,33.00M,33.00M,6.00M,,7.00M,,7.00M,180.00M,-33.00M,,-69.00M,-36.00M,84.00M,-12.00M,114.00M,219.00M,-44.00M,,-44.00M,,,108.00M,13.00M,77.00M,,,,32.00M,,32.00M,,,,,32.00M,3.396B,328.00M,3.724B,32.00M,,,,8.00M,
2003-09,41.00M,,0.00,-14.00M,-14.00M,29.00M,29.00M,12.00M,,7.00M,,0.00,-198.00M,-18.00M,,274.00M,-90.00M,45.00M,-15.00M,-2.00M,73.00M,-58.00M,,-58.00M,,,-122.00M,0.00,-180.00M,0.00,,0.00,22.00M,,-4.00M,,,,,-4.00M,3.507B,-111.00M,3.396B,22.00M,,0.00,,10.00M,30.00M
2003-06,19.00M,,0.00,-5.00M,-5.00M,24.00M,24.00M,-4.00M,,7.00M,,0.00,-76.00M,3.00M,,-41.00M,22.00M,60.00M,-1.00M,-33.00M,8.00M,-46.00M,,-46.00M,,,102.00M,18.00M,74.00M,0.00,,0.00,15.00M,,15.00M,,,,,15.00M,3.41B,97.00M,3.507B,15.00M,,0.00,,10.00M,-20.00M
2003-03,14.00M,,-1.00M,-9.00M,-10.00M,29.00M,29.00M,-14.00M,,1.00M,,0.00,5.00M,3.00M,,104.00M,-37.00M,5.00M,-2.00M,78.00M,98.00M,-40.00M,,-40.00M,,,731.00M,6.00M,697.00M,0.00,,0.00,3.00M,,3.00M,,,,,3.00M,2.612B,798.00M,3.41B,3.00M,,0.00,,8.00M,10.00M
2002-12,-6.00M,,3.00M,-9.00M,-6.00M,31.00M,31.00M,2.00M,,1.00M,,12.00M,68.00M,1.00M,,-94.00M,71.00M,42.00M,-12.00M,76.00M,110.00M,-20.00M,,-20.00M,,,248.00M,9.00M,237.00M,,,,13.00M,,13.00M,,,,,13.00M,2.252B,360.00M,2.612B,13.00M,,,,17.00M,
2002-09,-45.00M,,1.00M,63.00M,64.00M,29.00M,29.00M,-32.00M,,,,5.00M,61.00M,-11.00M,,7.00M,40.00M,-43.00M,2.00M,56.00M,82.00M,-64.00M,,-64.00M,,,998.00M,26.00M,908.00M,,,,16.00M,,16.00M,,,,,16.00M,1.246B,1.006B,2.252B,16.00M,,,,3.00M,10.00M
2002-06,32.00M,,2.00M,-2.00M,0.00,28.00M,28.00M,-32.00M,,,,0.00,18.00M,-8.00M,,-83.00M,-63.00M,73.00M,-2.00M,-65.00M,-37.00M,-31.00M,,-31.00M,,,114.00M,-1.00M,82.00M,,,,42.00M,,42.00M,,,,,42.00M,1.159B,87.00M,1.246B,42.00M,,,,1.00M,0.00
2002-03,40.00M,,2.00M,0.00,2.00M,29.00M,29.00M,40.00M,,,,0.00,-146.00M,-3.00M,,157.00M,-79.00M,-24.00M,-14.00M,-109.00M,2.00M,-43.00M,,-43.00M,,,-740.00M,-42.00M,-825.00M,,,,36.00M,,36.00M,,,,,36.00M,1.946B,-787.00M,1.159B,36.00M,,,,-1.00M,10.00M
2001-12,38.00M,,2.00M,-26.00M,-24.00M,28.00M,28.00M,-10.00M,,,,4.00M,-32.00M,-12.00M,,29.00M,-12.00M,30.00M,3.00M,6.00M,42.00M,-36.00M,,-36.00M,,,-391.00M,10.00M,-417.00M,,,,11.00M,,11.00M,,,,,11.00M,2.31B,-364.00M,1.946B,11.00M,,,,8.00M,
2001-09,66.00M,,5.00M,-14.00M,-9.00M,28.00M,28.00M,18.00M,13.00M,,,0.00,132.00M,8.00M,,-46.00M,40.00M,-48.00M,71.00M,157.00M,275.00M,-163.00M,,-163.00M,,-19.00M,89.00M,-11.00M,-104.00M,,,,18.00M,,18.00M,,,,,18.00M,2.121B,189.00M,2.31B,18.00M,,,,8.00M,10.00M
2001-06,61.00M,,3.00M,-11.00M,-8.00M,26.00M,26.00M,23.00M,,,,11.00M,39.00M,-9.00M,,-114.00M,22.00M,-65.00M,-19.00M,-146.00M,-33.00M,-30.00M,,-30.00M,,-203.00M,243.00M,0.00,10.00M,,,,6.00M,,6.00M,,,,,6.00M,2.138B,-17.00M,2.121B,6.00M,,,,16.00M,0.00
2001-03,43.00M,,1.00M,8.00M,9.00M,22.00M,22.00M,15.00M,-13.00M,,,-13.00M,-196.00M,11.00M,,324.00M,-72.00M,-163.00M,-24.00M,-120.00M,-44.00M,-17.00M,,-17.00M,,129.00M,322.00M,-4.00M,430.00M,,,,15.00M,,15.00M,,,,,15.00M,1.737B,401.00M,2.138B,15.00M,,,,9.00M,10.00M
2000-12,-207.00M,,0.00,-71.00M,-71.00M,24.00M,24.00M,-92.00M,13.00M,,,13.00M,512.00M,12.00M,,-520.00M,116.00M,216.00M,-16.00M,320.00M,-13.00M,-22.00M,,-22.00M,,74.00M,507.00M,-3.00M,556.00M,,,,3.00M,,3.00M,,,,,3.00M,1.191B,546.00M,1.737B,3.00M,,,,9.00M,
2000-09,170.00M,,10.00M,-83.00M,-73.00M,18.00M,18.00M,11.00M,0.00,,,0.00,14.00M,-28.00M,,90.00M,-55.00M,12.00M,41.00M,74.00M,200.00M,-66.00M,-11.00M,-77.00M,,372.00M,-642.00M,-16.00M,-363.00M,,,,35.00M,-25.00M,10.00M,,,,,10.00M,1.344B,-153.00M,1.191B,35.00M,,,-25.00M,11.00M,10.00M
2000-06,200.00M,,-1.00M,-50.00M,-51.00M,25.00M,25.00M,47.00M,,,,,-27.00M,5.00M,,-71.00M,25.00M,95.00M,-14.00M,13.00M,234.00M,-11.00M,1.00M,-10.00M,,-237.00M,-263.00M,5.00M,-505.00M,,,,3.00M,-50.00M,-47.00M,,,,,-47.00M,1.662B,-318.00M,1.344B,3.00M,,,-50.00M,-1.00M,0.00
2000-03,233.00M,,-2.00M,-100.00M,-102.00M,21.00M,21.00M,41.00M,,,,,-48.00M,5.00M,,-63.00M,-11.00M,-5.00M,-10.00M,-132.00M,61.00M,-27.00M,10.00M,-17.00M,,101.00M,-89.00M,-10.00M,-15.00M,,,,30.00M,0.00,30.00M,,,,,30.00M,1.586B,76.00M,1.662B,30.00M,,,0.00,29.00M,10.00M
1999-12,183.00M,,3.00M,-134.00M,-131.00M,20.00M,20.00M,64.00M,0.00,,,0.00,-211.00M,5.00M,,362.00M,4.00M,74.00M,3.00M,237.00M,373.00M,-38.00M,,-38.00M,,136.00M,-174.00M,-13.00M,-89.00M,,,,17.00M,-41.00M,-24.00M,,,,,-24.00M,1.326B,260.00M,1.586B,17.00M,,,-41.00M,8.00M,
1999-09,111.00M,188.00M,0.00,-230.00M,-42.00M,19.00M,19.00M,-50.00M,,,,,215.00M,-13.00M,,22.00M,-63.00M,28.00M,15.00M,204.00M,242.00M,-40.00M,2.00M,-38.00M,,44.00M,-679.00M,14.00M,-659.00M,,,,45.00M,-75.00M,-30.00M,,,,,-30.00M,1.773B,-447.00M,1.326B,45.00M,,,-75.00M,,9.00M
1999-06,203.00M,-101.00M,,,-101.00M,19.00M,19.00M,9.00M,,,,,-92.00M,11.00M,,1.00M,42.00M,1.00M,-5.00M,-42.00M,88.00M,-7.00M,1.00M,-6.00M,,105.00M,231.00M,-8.00M,322.00M,,,,5.00M,0.00,5.00M,,,,,5.00M,1.358B,415.00M,1.773B,5.00M,,,0.00,,19.00M
1999-03,135.00M,-87.00M,1.00M,32.00M,-54.00M,24.00M,24.00M,-4.00M,,,,,109.00M,7.00M,,136.00M,-9.00M,-72.00M,-3.00M,168.00M,269.00M,-19.00M,20.00M,1.00M,,96.00M,-244.00M,-18.00M,-165.00M,,,,33.00M,0.00,33.00M,,,,,33.00M,1.221B,137.00M,1.358B,33.00M,,,0.00,,10.00M
1998-12,152.00M,,-1.00M,-32.00M,-33.00M,23.00M,23.00M,10.00M,,,,,42.00M,53.00M,,-64.00M,-2.00M,28.00M,14.00M,71.00M,223.00M,-5.00M,,-5.00M,,,-501.00M,20.00M,-486.00M,,,,3.00M,0.00,3.00M,,,,,3.00M,1.481B,-260.00M,1.221B,3.00M,,,0.00,,20.00M
1998-09,106.00M,0.00,,,0.00,23.00M,23.00M,-5.00M,,,,0.00,-40.00M,51.00M,,39.00M,-37.00M,103.00M,42.00M,158.00M,282.00M,-7.00M,10.00M,-7.00M,10.00M,0.00,-29.00M,-6.00M,-32.00M,1.00M,,1.00M,27.00M,,27.00M,,,,,28.00M,1.203B,278.00M,1.481B,27.00M,-2.00M,3.00M,,,9.00M
1998-06,101.00M,-40.00M,,,-40.00M,32.00M,32.00M,5.00M,,,,7.00M,-108.00M,128.00M,,50.00M,-21.00M,2.00M,50.00M,101.00M,206.00M,-27.00M,34.00M,17.00M,-10.00M,24.00M,-252.00M,-46.00M,-267.00M,-23.00M,,-23.00M,2.00M,,2.00M,,,,,-21.00M,1.285B,-82.00M,1.203B,2.00M,0.00,-23.00M,,,20.00M
