,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2001-12,1.571B,1.681B,691.97M,989.06M,393.56M,117.54M,,20.39M,,,,579.55M,409.51M,,,,20.39M,,429.90M,165.30M,264.60M,,,264.60M,252.05M,477.96M,68.45M,409.51M,0.43,0.0,,0.4098,0.43,0.42,0.0,,0.4001,0.42,620.27M,630.00M,0.115
2001-09,1.495B,1.608B,676.35M,931.53M,456.56M,115.83M,,30.52M,,,,641.85M,289.68M,,,,30.52M,,320.20M,123.60M,196.60M,,,196.60M,177.86M,359.14M,69.46M,289.68M,0.32,0.0,,0.2898,0.32,0.31,0.0,,0.2804,0.31,620.56M,632.58M,0.1025
2001-06,1.850B,1.980B,808.76M,1.171B,401.28M,141.14M,,-113.43M,,,,623.30M,547.79M,,,,-113.43M,,420.10M,165.10M,255.00M,,,255.00M,323.85M,628.67M,80.87M,547.79M,0.41,0.0,,0.5203,0.41,0.4,0.0,,0.508,0.4,624.13M,637.60M,0.1025
2001-03,1.710B,1.854B,754.30M,1.099B,418.10M,126.56M,,0.514M,,,,624.58M,474.89M,,,,0.514M,,475.40M,186.52M,288.88M,,,288.88M,288.57M,554.80M,79.91M,474.89M,0.46,0.0,,0.4595,0.46,0.45,0.0,,0.4495,0.45,629.90M,645.67M,0.1025
2000-12,1.510B,1.640B,677.10M,962.72M,410.63M,127.50M,,-3.166M,,,,616.65M,346.07M,,,,-3.166M,,342.90M,135.46M,207.44M,,,207.44M,209.36M,424.59M,78.52M,346.07M,0.33,0.0,,0.333,0.33,0.32,0.0,,0.3229,0.32,632.08M,651.81M,0.1025
2000-09,1.428B,1.544B,659.96M,884.17M,435.44M,119.07M,,-0.607M,,,,636.05M,248.12M,,,,-0.607M,,286.61M,113.21M,173.40M,,,173.40M,173.77M,329.66M,81.54M,248.12M,0.28,0.0,,0.2806,0.28,0.27,0.0,,0.2706,0.27,629.99M,649.10M,0.0875
2000-06,1.376B,1.376B,737.69M,637.91M,396.34M,127.65M,,,,,,602.24M,35.67M,,,,,,348.76M,124.97M,223.79M,,,223.79M,223.79M,113.92M,78.25M,35.67M,0.35,0.0,,0.35,0.35,0.35,0.0,,0.35,0.35,637.34M,656.24M,0.0875
2000-03,1.720B,1.720B,661.94M,1.058B,446.93M,119.75M,,,,,,639.53M,418.27M,,,,,,415.45M,144.14M,271.31M,,,271.31M,271.31M,491.12M,72.83M,418.27M,0.43,0.0,,0.43,0.43,0.42,0.0,,0.42,0.42,630.95M,645.98M,0.0875
1999-12,1.492B,1.492B,613.80M,878.70M,395.10M,109.20M,,,,,,571.80M,306.90M,,,,,,303.20M,103.70M,199.50M,,,199.50M,199.50M,374.50M,67.60M,306.90M,0.32,0.0,,0.32,0.32,0.31,0.0,,0.31,0.31,625.66M,645.66M,0.0875
1999-09,1.351B,1.351B,551.10M,800.00M,405.00M,103.70M,,,,,,574.30M,225.70M,,,,,,222.20M,76.00M,146.20M,,,146.20M,146.20M,291.30M,65.60M,225.70M,0.23,0.0,,0.23,0.23,0.23,0.0,,0.23,0.23,624.39M,642.82M,0.0763
1999-06,1.471B,1.471B,650.90M,819.70M,351.40M,103.10M,,,,,,523.40M,296.30M,,,,,,292.60M,100.90M,191.70M,,,191.70M,191.70M,365.20M,68.90M,296.30M,0.31,0.0,,0.31,0.31,0.3,0.0,,0.3,0.3,620.74M,642.18M,0.0763
1999-03,1.514B,1.514B,611.20M,902.90M,379.50M,102.50M,,,,,,547.40M,355.50M,,,,,,351.70M,126.00M,225.70M,,,225.70M,225.70M,420.90M,65.40M,355.50M,0.37,0.0,,0.37,0.37,0.36,0.0,,0.36,0.36,617.36M,637.10M,0.0763
1998-12,1.310B,1.310B,560.80M,749.40M,314.80M,105.70M,,,,,,489.30M,260.10M,,,,,,254.50M,100.50M,154.00M,,,154.00M,154.00M,328.90M,68.80M,260.10M,0.25,0.0,,0.25,0.25,0.24,0.0,,0.24,0.24,616.00M,641.67M,0.0763
1998-09,1.245B,1.245B,553.30M,691.80M,329.60M,101.10M,,,,,,500.40M,191.40M,,,,,,185.80M,60.40M,125.40M,,,125.40M,125.40M,261.10M,69.70M,191.40M,0.2,0.0,,0.2,0.2,0.2,0.0,,0.2,0.2,627.00M,627.00M,0.0663
1998-06,1.336B,1.336B,343.50M,992.90M,303.20M,,,,,,,747.90M,245.00M,,,,,,240.30M,76.40M,163.90M,,,163.90M,163.90M,313.20M,68.20M,245.00M,0.27,0.0,,0.27,0.27,0.26,0.0,,0.26,0.26,601.59M,661.12M,0.0663
