,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBIT,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,SharesData(Quarterly),AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,SECFilingLinks,AsOriginallyReported,Restated
2018-03,317.85M,318.30M,16.55M,301.74M,15.68M,15.68M,-14.22M,,58.83M,-61.42M,,146.79M,154.96M,58.83M,-61.42M,-8.996M,-61.42M,84.54M,1.223M,83.32M,,-0.152M,,83.16M,92.03M,143.37M,,2018-03,0.29,,,2018-03,0.29,,0.3212,2018-03,283.92M,284.35M,2018-03,AOR,Restated
2017-12,344.98M,310.65M,16.65M,294.00M,15.22M,15.22M,-49.10M,,71.50M,-62.51M,,142.25M,151.75M,71.50M,-62.51M,-24.87M,-62.51M,64.38M,3.423M,60.95M,,-0.10M,0.00,60.85M,84.40M,135.88M,,2017-12,0.22,,,2017-12,0.22,,0.3034,2017-12,282.11M,282.37M,2017-12,AOR,Restated
2017-09,293.46M,306.92M,17.27M,289.65M,13.88M,13.88M,-0.365M,,60.49M,-63.32M,,141.45M,148.20M,60.49M,-63.32M,4.322M,-63.32M,89.21M,1.133M,88.07M,,-0.133M,,87.94M,83.67M,149.70M,,2017-09,0.32,,,2017-09,0.3186,,0.3031,2017-09,275.51M,276.05M,2017-09,AOR,Restated
2017-06,288.05M,300.17M,16.49M,283.68M,15.78M,15.78M,-2.274M,,60.10M,-63.21M,,138.87M,144.81M,60.10M,-63.21M,0.095M,-63.21M,81.70M,0.441M,81.26M,,-0.123M,,81.14M,81.04M,141.80M,,2017-06,0.30,,,2017-06,0.2971,,0.2967,2017-06,272.59M,273.10M,2017-06,AOR,Restated
2017-03,285.82M,298.02M,19.08M,278.95M,13.56M,13.56M,-5.433M,,55.32M,-58.38M,,134.66M,144.29M,55.32M,-58.38M,4.172M,-58.38M,90.08M,1.047M,89.04M,,-0.165M,3.911M,88.87M,84.75M,145.40M,,2017-03,0.27,,,2017-03,0.27,,0.2544,2017-03,263.34M,263.93M,2017-03,AOR,Restated
2016-12,275.22M,287.84M,17.41M,270.43M,13.56M,13.56M,-3.709M,,54.79M,-56.41M,,131.31M,139.12M,54.79M,-56.41M,10.46M,-56.41M,93.17M,0.45M,92.72M,,-0.283M,6.77M,92.44M,82.03M,147.97M,,2016-12,0.33,,,2016-12,0.33,,0.2898,2016-12,258.41M,258.88M,2016-12,AOR,Restated
2016-09,265.33M,277.17M,15.68M,261.50M,12.10M,12.10M,-8.763M,,52.19M,-55.00M,,126.02M,135.48M,52.19M,-55.00M,-2.377M,-55.00M,78.10M,0.894M,77.20M,,-0.13M,6.77M,77.07M,79.42M,130.28M,,2016-09,0.27,,,2016-09,0.27,,0.2791,2016-09,258.09M,258.67M,2016-09,AOR,Restated
2016-06,260.06M,271.04M,14.67M,256.37M,13.98M,13.98M,-6.269M,,52.44M,-55.30M,,124.33M,132.04M,52.44M,-55.30M,0.28M,-55.30M,77.02M,0.953M,76.07M,,-0.253M,6.77M,75.82M,75.54M,129.46M,,2016-06,0.27,,,2016-06,0.27,,0.2689,2016-06,253.38M,253.97M,2016-06,AOR,Restated
2016-03,256.80M,267.12M,15.10M,252.01M,12.32M,12.32M,-1.923M,,52.02M,-54.90M,,120.25M,131.76M,52.02M,-54.90M,-5.412M,-54.90M,71.45M,0.964M,70.48M,,-0.241M,6.77M,70.24M,75.58M,123.47M,,2016-03,0.25,,,2016-03,0.25,,0.2713,2016-03,250.17M,250.70M,2016-03,AOR,Restated
2015-12,252.73M,263.67M,12.90M,250.77M,12.97M,12.97M,-1.378M,,53.15M,-56.08M,,118.71M,132.06M,53.15M,-56.08M,7.843M,-56.08M,83.83M,0.721M,83.11M,,-0.17M,6.77M,82.94M,75.17M,136.98M,,2015-12,0.31,0.00,,2015-12,0.3053,0.00,0.2741,2015-12,248.77M,249.25M,2015-12,AOR,Restated
2015-09,247.58M,258.89M,13.54M,245.35M,10.86M,10.86M,-3.864M,,55.82M,-58.77M,,115.20M,130.15M,55.82M,-58.77M,-2.82M,-58.77M,68.56M,0.745M,67.81M,,-0.338M,6.77M,67.48M,70.26M,124.38M,,2015-09,0.26,,,2015-09,0.26,,0.2718,2015-09,236.21M,236.74M,2015-09,AOR,Restated
2015-06,241.43M,253.86M,14.94M,238.92M,12.61M,12.61M,-3.23M,,54.87M,-57.78M,,113.71M,125.21M,54.87M,-57.78M,-0.454M,-57.78M,66.98M,0.628M,66.35M,,-0.263M,6.77M,66.09M,66.54M,121.85M,,2015-06,0.26,,,2015-06,0.25,,0.2519,2015-06,232.40M,232.89M,2015-06,AOR,Restated
2015-03,235.12M,246.87M,13.98M,232.89M,12.86M,12.86M,-2.087M,,54.60M,-57.41M,,110.90M,121.99M,54.60M,-57.41M,4.073M,-57.41M,68.66M,1.074M,67.58M,,-0.317M,6.77M,67.26M,63.25M,123.25M,,2015-03,0.27,,,2015-03,0.27,,0.2522,2015-03,225.35M,225.83M,2015-03,AOR,Restated
2014-12,230.64M,247.57M,20.40M,227.18M,15.59M,15.59M,-1.45M,,54.96M,-57.81M,,112.12M,115.05M,54.96M,-57.81M,22.23M,-57.81M,79.48M,1.103M,78.37M,-0.297M,-0.289M,6.77M,77.79M,56.16M,134.43M,,2014-12,0.32,0.00,,2014-12,0.32,0.00,0.2220,2014-12,223.15M,223.63M,2014-12,AOR,Restated
2014-09,226.83M,235.71M,12.77M,222.94M,11.02M,11.02M,-0.495M,,49.53M,-52.29M,,106.28M,116.66M,49.53M,-52.29M,9.958M,-52.29M,74.32M,0.697M,73.63M,0.00,-0.344M,9.327M,73.28M,63.42M,123.86M,,2014-09,0.2609,0.00,,2014-09,0.2607,0.00,0.2163,2014-09,222.06M,222.24M,2014-09,AOR,Restated
2014-06,221.87M,228.65M,10.13M,218.52M,11.59M,11.59M,-0.499M,,49.05M,-51.73M,,104.48M,114.04M,49.05M,-51.73M,0.481M,-51.73M,62.79M,0.57M,62.22M,0.02M,-0.339M,10.48M,61.90M,61.41M,111.84M,,2014-06,0.23,0.00,,2014-06,0.23,0.00,0.2278,2014-06,220.98M,221.36M,2014-06,AOR,Restated
2014-03,214.12M,221.57M,10.58M,211.00M,12.89M,12.89M,-1.683M,,49.04M,-51.66M,,102.86M,108.14M,49.04M,-51.66M,-0.469M,-51.66M,56.01M,1.091M,54.92M,3.077M,-0.332M,10.48M,57.66M,55.04M,105.05M,,2014-03,0.21,0.02,,2014-03,0.21,0.02,0.2122,2014-03,207.00M,207.32M,2014-03,AOR,Restated
2013-12,205.00M,216.16M,13.06M,203.10M,16.52M,16.52M,-0.138M,,48.28M,-50.96M,,101.82M,101.29M,48.28M,-50.96M,0.05M,-50.96M,50.37M,0.58M,49.79M,14.84M,-0.297M,10.48M,64.34M,49.45M,98.66M,,2013-12,0.19,0.07,,2013-12,0.19,0.07,0.1898,2013-12,203.60M,203.60M,2013-12,AOR,Restated
2013-09,195.33M,202.08M,8.466M,193.62M,16.64M,16.64M,-0.24M,,46.88M,-49.24M,,97.46M,96.15M,46.88M,-49.24M,-0.836M,-49.24M,46.08M,0.569M,45.51M,6.399M,-0.336M,10.48M,51.57M,46.00M,92.96M,,2013-09,0.18,0.03,,2013-09,0.18,0.03,0.1842,2013-09,195.77M,196.62M,2013-09,AOR,Restated
2013-06,180.09M,186.44M,7.754M,178.69M,12.09M,12.09M,-0.895M,,38.79M,-40.97M,,85.99M,92.70M,38.79M,-40.97M,0.843M,-40.97M,52.57M,0.624M,51.94M,4.572M,-0.077M,10.48M,56.44M,51.03M,91.36M,,2013-06,0.21,0.02,,2013-06,0.21,0.02,0.2058,2013-06,195.57M,196.08M,2013-06,AOR,Restated
2013-03,167.80M,175.52M,9.572M,165.95M,11.63M,11.63M,-12.03M,,38.98M,-41.15M,,78.38M,87.57M,38.98M,-41.15M,-12.48M,-41.15M,33.94M,0.577M,33.37M,39.86M,-0.009M,10.48M,73.22M,45.63M,72.92M,,2013-03,0.13,0.24,,2013-03,0.13,0.23,0.2013,2013-03,171.66M,172.05M,2013-03,AOR,Restated
2012-12,127.42M,143.77M,16.15M,127.62M,10.35M,10.35M,-6.043M,,33.60M,-35.68M,,52.04M,75.59M,33.60M,-35.68M,-6.025M,-35.68M,33.88M,-0.154M,34.03M,4.991M,0.00,10.48M,39.02M,37.95M,67.47M,,2012-12,0.1724,0.0399,,2012-12,0.1721,0.0399,0.2015,2012-12,133.07M,133.07M,2012-12,AOR,Restated
2012-09,116.80M,117.15M,1.532M,115.62M,9.335M,9.335M,-5.495M,,27.95M,-29.70M,,46.37M,69.24M,27.95M,-29.70M,-5.517M,-29.70M,34.03M,0.405M,33.62M,3.835M,0.00,10.48M,37.46M,39.07M,61.98M,,2012-09,0.17,0.03,,2012-09,0.17,0.03,0.2110,2012-09,132.76M,132.93M,2012-09,AOR,Restated
2012-06,112.53M,113.13M,1.746M,111.39M,9.273M,9.273M,0.00,,27.17M,-28.77M,,44.02M,67.37M,27.17M,-28.77M,-0.04M,-28.77M,38.57M,0.405M,38.16M,5.246M,0.00,10.46M,43.41M,38.20M,65.74M,,2012-06,0.21,0.04,,2012-06,0.21,0.04,0.2103,2012-06,132.59M,132.83M,2012-06,AOR,Restated
2012-03,112.05M,112.30M,2.155M,110.15M,9.168M,9.168M,0.00,,27.52M,-28.95M,,43.75M,66.40M,27.52M,-28.95M,,-28.95M,37.45M,0.405M,37.05M,2.216M,0.00,9.496M,39.26M,37.05M,64.97M,,2012-03,0.18,0.02,,2012-03,0.18,0.02,0.18,2012-03,132.58M,132.70M,2012-03,AOR,Restated
2011-12,97.49M,108.87M,10.52M,98.36M,,7.953M,-0.01M,,23.72M,-28.99M,,37.89M,60.46M,23.72M,-28.99M,,-28.99M,31.47M,0.368M,31.10M,9.901M,,6.063M,41.00M,31.11M,55.19M,,2011-12,0.18,0.08,,2011-12,0.18,0.08,0.1801,2011-12,132.81M,132.81M,2011-12,AOR,Restated
2011-09,106.23M,106.23M,1.657M,104.57M,,7.143M,0.00,,28.55M,-28.55M,,38.70M,65.87M,28.55M,-28.55M,,-28.55M,37.32M,0.367M,36.95M,3.828M,,6.063M,40.78M,36.95M,65.87M,,2011-09,0.24,0.03,,2011-09,0.24,0.03,0.24,2011-09,126.38M,126.58M,2011-09,AOR,Restated
2011-06,101.62M,101.62M,1.597M,100.02M,,7.987M,,,25.65M,-25.65M,,36.66M,63.36M,25.65M,-25.65M,,-25.65M,37.72M,0.368M,37.35M,1.90M,,6.063M,39.25M,37.35M,63.36M,,2011-06,0.25,0.01,,2011-06,0.25,0.01,0.25,2011-06,126.00M,126.20M,2011-06,AOR,Restated
2011-03,97.28M,97.28M,1.705M,95.58M,,7.87M,,,25.12M,-25.12M,,34.48M,61.10M,25.12M,-25.12M,,-25.12M,35.98M,0.368M,35.61M,0.388M,,6.063M,36.00M,35.61M,61.10M,,2011-03,0.25,0.00,,2011-03,0.25,0.00,0.25,2011-03,118.96M,119.11M,2011-03,AOR,Restated
2010-12,81.16M,81.82M,0.481M,81.33M,,5.785M,,,21.24M,-25.13M,,27.28M,54.05M,21.24M,-25.13M,,-25.13M,28.07M,0.503M,27.57M,10.31M,,6.063M,37.88M,27.57M,49.32M,,2010-12,0.19,0.10,,2010-12,0.19,0.10,0.19,2010-12,112.14M,112.14M,2010-12,AOR,Restated
2010-09,86.83M,86.83M,1.742M,85.09M,,6.165M,,,25.14M,-25.14M,,30.11M,54.98M,25.14M,-25.14M,,-25.14M,29.85M,0.335M,29.52M,2.139M,,6.063M,31.65M,29.52M,54.98M,,2010-09,0.23,0.02,,2010-09,0.23,0.02,0.23,2010-09,103.83M,103.98M,2010-09,AOR,Restated
2010-06,82.40M,82.40M,1.646M,80.75M,,6.65M,,,21.58M,-21.58M,,29.94M,50.81M,21.58M,-21.58M,,-21.58M,29.24M,0.277M,28.96M,2.087M,,6.063M,31.05M,28.96M,50.81M,,2010-06,0.22,0.02,,2010-06,0.22,0.02,0.22,2010-06,103.61M,103.77M,2010-06,AOR,Restated
2010-03,82.62M,82.62M,1.971M,80.65M,,6.711M,,,21.40M,-21.40M,,29.75M,50.90M,21.40M,-21.40M,,-21.40M,29.50M,0.277M,29.22M,0.982M,,6.063M,30.20M,29.22M,50.90M,,2010-03,0.22,0.01,,2010-03,0.22,0.01,0.22,2010-03,103.61M,103.69M,2010-03,AOR,Restated
2009-12,78.00M,78.00M,1.153M,76.85M,,5.084M,,,21.38M,-21.38M,,26.33M,50.52M,21.38M,-21.38M,,-21.38M,,,28.27M,7.06M,,6.063M,35.33M,28.27M,50.32M,,2009-12,0.21,0.07,,2009-12,0.21,0.07,0.21,2009-12,103.72M,103.73M,2009-12,AOR,Restated
2009-09,81.46M,81.46M,1.472M,79.99M,,4.906M,,,21.37M,-21.37M,0.074M,27.66M,52.33M,21.37M,-21.37M,,-21.37M,,,30.96M,2.195M,,6.063M,33.15M,30.96M,52.33M,,2009-09,0.24,0.02,,2009-09,0.24,0.02,0.24,2009-09,103.47M,103.48M,2009-09,AOR,Restated
2009-06,81.30M,81.30M,1.786M,79.52M,,5.006M,,,21.37M,-21.37M,0.308M,28.10M,51.42M,21.37M,-21.37M,,-21.37M,,,30.05M,2.508M,,6.063M,32.56M,30.05M,51.42M,,2009-06,0.23,0.03,,2009-06,0.23,0.03,0.23,2009-06,103.45M,103.45M,2009-06,AOR,Restated
2009-03,82.53M,82.53M,2.14M,80.39M,,5.95M,,,21.41M,-21.41M,0.303M,29.02M,51.38M,21.41M,-21.41M,,-21.41M,,,29.97M,0.118M,,6.063M,30.08M,29.97M,51.38M,,2009-03,0.23,0.00,,2009-03,0.23,0.00,0.23,2009-03,103.44M,103.45M,2009-03,AOR,Restated
2008-12,78.55M,78.55M,5.458M,73.09M,,5.054M,,,22.73M,-22.73M,,21.74M,51.35M,22.73M,-22.73M,,-22.73M,,,24.02M,10.31M,,6.063M,34.33M,24.02M,47.98M,,2008-12,0.17,0.10,,2008-12,0.17,0.10,0.17,2008-12,103.51M,103.51M,2008-12,AOR,Restated
2008-09,82.22M,82.22M,,82.22M,,5.097M,,,23.92M,-23.92M,2.038M,29.89M,52.33M,23.92M,-23.92M,,-23.92M,,,28.42M,6.278M,,6.063M,34.70M,28.42M,52.33M,,2008-09,0.22,0.07,,2008-09,0.22,0.07,0.22,2008-09,100.36M,100.42M,2008-09,AOR,Restated
2008-06,82.06M,82.06M,1.086M,80.98M,,5.924M,,,23.93M,-23.93M,0.218M,28.89M,52.08M,23.93M,-23.93M,,-23.93M,,,28.15M,4.898M,,6.063M,33.05M,28.15M,52.08M,,2008-06,0.22,0.05,,2008-06,0.22,0.05,0.22,2008-06,100.35M,100.39M,2008-06,AOR,Restated
2008-03,82.69M,82.69M,1.216M,81.47M,,5.544M,,,23.39M,-23.39M,0.398M,28.02M,53.46M,23.39M,-23.39M,,-23.39M,,,30.07M,-0.308M,,6.063M,29.76M,30.07M,53.46M,,2008-03,0.24,0.00,,2008-03,0.24,0.00,0.24,2008-03,100.28M,100.37M,2008-03,AOR,Restated
2007-12,80.13M,80.13M,,,,5.475M,,,22.72M,-22.72M,1.285M,27.71M,52.43M,22.72M,-22.72M,,-22.72M,,,29.71M,3.468M,,6.063M,33.18M,29.71M,52.43M,,2007-12,0.23,0.04,,2007-12,0.23,0.04,0.23,2007-12,100.33M,100.36M,2007-12,AOR,Restated
2007-09,73.52M,73.52M,,,,6.29M,,,16.16M,-16.16M,1.165M,26.89M,46.63M,16.16M,-16.16M,,-16.16M,,,30.47M,3.502M,,6.063M,33.97M,30.47M,46.63M,,2007-09,0.24,0.04,,2007-09,0.24,0.04,0.24,2007-09,100.19M,100.25M,2007-09,AOR,Restated
2007-06,70.32M,70.32M,,,,5.838M,,,13.03M,-13.03M,1.311M,25.56M,44.76M,13.03M,-13.03M,,-13.03M,,,31.73M,5.203M,,6.063M,36.94M,31.73M,44.76M,,2007-06,0.26,0.05,,2007-06,0.26,0.05,0.26,2007-06,100.13M,100.25M,2007-06,AOR,Restated
2007-03,71.33M,71.33M,,,,5.091M,,,,,1.106M,24.26M,47.06M,,,,,,,34.53M,1.794M,,6.063M,36.32M,34.53M,47.06M,,2007-03,0.28,0.02,,2007-03,0.28,0.02,0.28,2007-03,100.05M,100.28M,2007-03,AOR,Restated
2006-12,66.85M,66.85M,,,,4.856M,,,,,-55.10M,23.56M,43.30M,,,,,,,31.14M,1.551M,,18.41M,32.70M,31.14M,43.30M,,2006-12,0.27,0.02,,2006-12,0.27,0.02,0.27,2006-12,98.26M,98.42M,2006-12,AOR,Restated
2006-09,59.16M,59.16M,,,,4.083M,,,,,2.438M,21.11M,38.06M,,,,,,,25.53M,1.031M,,-2.351M,26.56M,25.53M,38.06M,,2006-09,0.26,0.01,,2006-09,0.26,0.01,0.26,2006-09,89.17M,89.27M,2006-09,AOR,Restated
2006-06,56.47M,56.47M,,,,4.354M,,,,,0.916M,20.05M,36.42M,,,,,,,24.49M,2.153M,,2.351M,26.64M,24.49M,36.42M,,2006-06,0.25,0.03,,2006-06,0.25,0.00,0.25,2006-06,88.31M,88.47M,2006-06,AOR,Restated
2006-03,55.12M,55.12M,,,,4.245M,,-18.61M,,,19.70M,18.84M,36.28M,,,,,23.31M,0.231M,23.08M,1.808M,,2.351M,24.89M,23.08M,36.28M,,2006-03,0.25,0.02,,2006-03,0.25,0.02,0.25,2006-03,83.21M,83.41M,2006-03,AOR,Restated
2005-12,50.73M,50.73M,,,,,,,,,,-48.50M,99.23M,,,,,,,21.81M,6.016M,,2.351M,27.83M,21.81M,99.23M,,2005-12,0.39,-0.08,,2005-12,0.39,-0.08,0.39,2005-12,80.84M,81.65M,2005-12,AOR,Restated
2005-09,48.89M,48.89M,,,,4.166M,,,,,1.204M,16.60M,32.29M,,,,,,,22.06M,1.059M,,2.351M,23.12M,22.06M,32.29M,,2005-09,0.25,0.01,,2005-09,0.25,0.01,0.25,2005-09,79.78M,79.84M,2005-09,AOR,Restated
2005-06,47.22M,47.22M,,,,3.706M,,-15.88M,,,17.09M,16.08M,31.14M,,,,,21.54M,0.203M,21.34M,3.324M,,2.351M,24.67M,21.34M,31.14M,,2005-06,0.24,0.04,,2005-06,0.24,0.04,0.24,2005-06,79.60M,79.68M,2005-06,AOR,Restated
2005-03,46.55M,46.55M,,,,4.056M,,-15.65M,,,34.81M,33.96M,12.59M,,,,,21.85M,0.198M,21.65M,1.855M,,2.351M,23.50M,21.65M,12.59M,,2005-03,0.24,0.03,,2005-03,0.24,0.0233,0.24,2005-03,79.58M,79.66M,2005-03,AOR,Restated
2004-12,41.74M,41.74M,,,,,,,,,,-42.00M,83.75M,,,,,,,18.47M,8.085M,,2.244M,26.56M,18.47M,83.75M,,2004-12,0.51,-0.20,,2004-12,0.51,-0.20,0.51,2004-12,79.31M,79.39M,2004-12,AOR,Restated
2004-09,43.66M,43.66M,,,,3.202M,,,8.552M,-8.552M,0.933M,14.28M,29.38M,8.552M,-8.552M,,-8.552M,,,20.83M,4.375M,,1.80M,25.20M,20.83M,29.38M,,2004-09,0.22,0.06,,2004-09,0.22,0.06,0.22,2004-09,79.28M,79.35M,2004-09,AOR,Restated
2004-06,43.83M,43.83M,,,,3.26M,,-14.02M,,,14.96M,14.21M,29.62M,,,,,21.31M,0.191M,21.12M,5.668M,,2.982M,26.79M,21.12M,29.62M,,2004-06,0.20,0.07,,2004-06,0.20,0.07,0.20,2004-06,79.25M,79.32M,2004-06,AOR,Restated
2004-03,41.46M,41.46M,,,,3.16M,,,,,17.81M,30.53M,10.92M,,,,,,,19.40M,5.453M,,2.428M,24.85M,19.40M,10.92M,,2004-03,0.22,0.07,,2004-03,0.22,0.07,0.22,2004-03,76.23M,76.32M,2004-03,AOR,Restated
2003-12,39.75M,36.76M,,,,2.861M,,,,,,-106.97M,143.73M,,,,,,,17.97M,9.515M,,2.428M,27.48M,17.97M,143.73M,,2003-12,0.43,-0.09,,2003-12,0.2061,-0.09,0.2061,2003-12,75.05M,75.05M,2003-12,AOR,Restated
2003-09,36.27M,36.27M,,,,2.544M,,,,,13.92M,24.55M,11.72M,,,,,,,18.30M,2.031M,,2.428M,20.33M,18.30M,11.72M,,2003-09,0.225,0.03,,2003-09,0.225,0.00,0.225,2003-09,70.20M,70.20M,2003-09,AOR,Restated
2003-06,35.41M,35.41M,,,,2.636M,,-11.29M,,,11.99M,11.42M,23.98M,,,,,17.58M,0.136M,17.44M,3.151M,,2.428M,20.59M,17.44M,23.98M,,2003-06,0.215,0.045,,2003-06,0.215,0.045,0.215,2003-06,69.85M,69.85M,2003-06,AOR,Restated
2003-03,34.70M,34.70M,,,,2.575M,,-11.06M,,,11.80M,11.19M,23.51M,,,,,17.76M,0.135M,17.62M,0.414M,,2.428M,18.03M,17.62M,23.51M,,2003-03,0.215,0.01,,2003-03,0.215,0.01,0.215,2003-03,69.36M,69.36M,2003-03,AOR,Restated
2002-12,26.10M,23.51M,,,,1.993M,,,,,,-64.76M,88.27M,,,,,,,12.12M,7.989M,,2.429M,20.11M,12.12M,88.27M,,2002-12,0.33,-0.075,,2002-12,0.1339,-0.075,0.1339,2002-12,69.76M,69.88M,2002-12,AOR,Restated
2002-09,36.06M,36.06M,,,,2.313M,,,5.919M,-5.919M,1.257M,11.49M,24.56M,5.919M,-5.919M,,-5.919M,,,18.65M,3.174M,,2.428M,21.82M,18.65M,24.56M,,2002-09,0.235,0.045,,2002-09,0.235,0.045,0.235,2002-09,68.97M,69.08M,2002-09,AOR,
2002-06,35.24M,33.90M,,,,2.348M,,-10.99M,,,12.21M,10.99M,22.91M,,,1.126M,,,,17.11M,1.336M,,2.428M,18.44M,16.43M,22.91M,,2002-06,0.24,0.00,,2002-06,0.24,0.00,0.2299,2002-06,66.74M,66.74M,2002-06,AOR,
2002-03,34.00M,33.66M,,,2.389M,2.389M,,-10.81M,,,11.76M,10.81M,22.84M,,,0.365M,,,,17.24M,0.714M,,2.428M,18.29M,17.36M,22.84M,,2002-03,0.24,0.00,,2002-03,0.24,0.00,0.2367,2002-03,66.11M,66.11M,2002-03,AOR,
2001-12,43.56M,18.98M,,,,2.02M,,,,,,-65.06M,84.05M,,,,,,,8.939M,0.295M,,2.428M,18.42M,18.13M,84.05M,,2001-12,0.1385,0.0025,,2001-12,0.1385,0.0025,0.1385,2001-12,56.64M,65.66M,2001-12,AOR,Restated
