,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2018-03,374.05M,374.05M,218.52M,155.53M,,,42.23M,22.59M,0.00,0.734M,0.13M,-0.604M,,64.82M,90.71M,0.13M,0.734M,-0.604M,0.00,-0.604M,90.10M,21.02M,69.09M,,69.09M,69.09M,129.78M,38.94M,90.84M,0.89,,,0.89,0.89,0.89,,,0.89,0.89,77.25M,77.55M,0.37
2017-12,357.21M,357.21M,207.10M,150.11M,,,43.09M,22.41M,0.189M,0.25M,0.146M,-0.104M,,65.51M,84.60M,0.146M,0.25M,-0.104M,0.189M,-0.104M,84.69M,-76.56M,161.24M,,161.24M,161.13M,121.97M,37.04M,84.94M,2.09,,,2.089,2.09,2.08,,,2.079,2.08,77.22M,77.56M,0.31
2017-09,361.28M,361.28M,203.92M,157.37M,,,41.09M,20.93M,1.705M,0.189M,0.147M,-0.042M,,62.02M,95.35M,0.147M,0.189M,-0.042M,1.705M,-0.042M,97.02M,30.14M,66.87M,,66.87M,65.70M,133.48M,36.28M,97.20M,0.87,,,0.8548,0.87,0.86,,,0.8449,0.86,77.28M,77.65M,0.31
2017-06,340.94M,340.94M,206.22M,134.72M,,,39.44M,23.34M,1.02M,0.392M,0.039M,-0.353M,,62.78M,71.94M,0.039M,0.392M,-0.353M,1.02M,-0.353M,72.61M,24.15M,48.46M,,48.46M,47.78M,108.35M,35.35M,73.00M,0.8356,,,0.8268,0.8356,0.83,,,0.8213,0.83,77.60M,78.06M,0.31
2017-03,353.77M,353.77M,206.73M,147.04M,,,39.79M,20.80M,2.286M,0.278M,0.042M,-0.236M,,60.60M,86.44M,0.042M,0.278M,-0.236M,2.286M,-0.236M,88.50M,28.45M,60.04M,,60.04M,58.49M,123.75M,34.98M,88.77M,0.77,,,0.75,0.77,0.77,,,0.7501,0.77,77.60M,77.93M,0.31
2016-12,348.55M,348.55M,198.15M,150.41M,,,40.93M,20.87M,0.00,0.184M,0.06M,-0.124M,,61.80M,88.61M,0.06M,0.184M,-0.124M,0.00,-0.124M,88.48M,29.67M,58.81M,,58.81M,58.81M,123.99M,35.32M,88.67M,0.76,,,0.76,0.76,0.75,,,0.75,0.75,77.81M,78.18M,0.28
2016-09,345.03M,345.03M,194.76M,150.26M,,,39.11M,19.74M,0.00,0.142M,0.108M,-0.034M,,58.85M,91.42M,0.108M,0.142M,-0.034M,0.00,-0.034M,91.38M,29.14M,62.24M,,62.24M,62.24M,125.66M,34.14M,91.52M,0.79,,,0.79,0.79,0.79,,,0.79,0.79,78.41M,78.84M,0.28
2016-06,366.97M,366.97M,205.27M,161.70M,,,40.72M,23.96M,,0.447M,0.049M,-0.398M,,64.69M,97.01M,0.049M,0.447M,-0.398M,,-0.398M,116.11M,31.84M,84.27M,,84.27M,84.27M,151.08M,34.53M,116.55M,1.071,,,1.071,1.071,1.06,,,1.06,1.06,78.84M,79.26M,0.28
2016-03,333.19M,333.19M,194.27M,138.91M,22.73M,16.50M,39.23M,19.85M,,0.486M,0.054M,-0.432M,,59.08M,79.83M,0.054M,0.486M,-0.432M,,-0.432M,79.40M,25.52M,53.88M,,53.88M,53.88M,112.02M,32.13M,79.88M,0.68,,,0.68,0.68,0.68,,,0.68,0.68,78.80M,79.17M,0.28
2015-12,332.87M,332.87M,190.44M,142.43M,22.23M,16.55M,38.78M,18.86M,,0.276M,0.091M,-0.185M,,57.64M,84.79M,0.091M,0.276M,-0.185M,,-0.185M,84.60M,25.25M,59.35M,,59.35M,59.35M,116.66M,31.78M,84.88M,0.75,,,0.75,0.75,0.74,,,0.74,0.74,79.47M,79.77M,0.25
2015-09,321.62M,321.62M,183.66M,137.96M,21.75M,17.11M,38.86M,18.55M,,0.22M,0.113M,-0.107M,,57.42M,80.54M,0.113M,0.22M,-0.107M,,-0.107M,80.43M,29.06M,51.37M,,51.37M,51.37M,111.85M,31.20M,80.65M,0.64,,,0.64,0.64,0.64,,,0.64,0.64,80.54M,80.74M,0.25
2015-06,333.71M,333.71M,187.30M,146.42M,23.49M,20.92M,44.41M,19.50M,,0.321M,0.051M,-0.27M,,63.91M,82.50M,0.051M,0.321M,-0.27M,,-0.27M,89.10M,28.56M,60.54M,,60.54M,60.54M,119.34M,29.91M,89.43M,0.7488,,,0.7488,0.7488,0.7488,,,0.7488,0.7488,80.91M,81.08M,0.25
2015-03,309.71M,309.71M,177.89M,131.82M,21.67M,15.42M,37.09M,17.52M,,0.669M,0.033M,-0.636M,,54.61M,77.20M,0.033M,0.669M,-0.636M,,-0.636M,76.57M,25.85M,50.71M,,50.71M,50.71M,106.90M,29.67M,77.24M,0.63,,,0.63,0.63,0.63,,,0.63,0.63,80.88M,81.09M,0.25
2014-12,311.29M,311.29M,180.26M,131.04M,22.18M,11.51M,33.69M,17.68M,,0.337M,0.028M,-0.309M,,51.37M,79.66M,0.028M,0.337M,-0.309M,,-0.309M,79.36M,25.47M,53.88M,,53.88M,53.88M,109.66M,29.97M,79.69M,0.66,,,0.66,0.66,0.66,,,0.66,0.66,81.43M,81.63M,0.22
2014-09,301.47M,301.47M,174.88M,126.59M,21.66M,16.51M,38.17M,16.79M,,0.266M,0.057M,-0.209M,,54.96M,71.63M,0.057M,0.266M,-0.209M,,-0.209M,71.42M,25.33M,46.09M,,46.09M,46.09M,101.13M,29.45M,71.68M,0.56,,,0.56,0.56,0.56,,,0.56,0.56,82.20M,82.59M,0.22
2014-06,315.17M,315.17M,179.05M,136.12M,22.48M,13.30M,35.78M,17.45M,,0.297M,0.033M,-0.264M,,53.23M,82.89M,0.033M,0.297M,-0.264M,,-0.264M,82.62M,30.10M,52.53M,,52.53M,52.53M,111.17M,28.25M,82.92M,0.6124,,,0.6124,0.6124,0.6,,,0.6,0.6,83.74M,84.28M,0.22
2014-03,291.43M,291.43M,174.06M,117.38M,21.72M,13.63M,35.35M,17.48M,,0.262M,0.084M,-0.178M,,52.83M,64.54M,0.084M,0.262M,-0.178M,,-0.178M,64.36M,21.76M,42.61M,,42.61M,42.61M,92.02M,27.40M,64.62M,0.5,,,0.5,0.5,0.5,,,0.5,0.5,84.98M,85.47M,0.22
2013-12,288.84M,288.84M,165.82M,123.02M,20.50M,12.13M,32.64M,16.14M,,0.267M,0.129M,-0.138M,,48.78M,74.24M,0.129M,0.267M,-0.138M,,-0.138M,74.10M,25.74M,48.36M,,48.36M,48.36M,100.64M,26.27M,74.37M,0.57,,,0.57,0.57,0.56,,,0.56,0.56,85.45M,85.99M,0.2
2013-09,277.73M,277.73M,160.44M,117.29M,20.74M,14.25M,34.99M,15.67M,,0.28M,0.131M,-0.149M,,50.66M,66.63M,0.131M,0.28M,-0.149M,,-0.149M,66.48M,23.26M,43.22M,,43.22M,43.22M,92.62M,25.86M,66.76M,0.51,,,0.51,0.51,0.5,,,0.5,0.5,85.29M,85.85M,0.2
2013-06,276.29M,276.29M,167.65M,108.64M,19.75M,13.92M,33.66M,16.87M,,2.701M,0.129M,-2.572M,,50.53M,58.10M,0.129M,2.701M,-2.572M,,-2.572M,55.53M,16.90M,38.63M,,38.63M,38.63M,83.94M,25.71M,58.23M,0.5592,,,0.5592,0.5592,0.55,,,0.55,0.55,85.85M,86.53M,0.2
2013-03,281.54M,281.54M,166.95M,114.59M,20.94M,11.95M,32.88M,16.00M,,1.034M,0.133M,-0.901M,,48.88M,65.71M,0.133M,1.034M,-0.901M,,-0.901M,64.81M,18.81M,46.00M,,46.00M,46.00M,92.02M,26.17M,65.84M,0.53,,,0.53,0.53,0.53,,,0.53,0.53,86.12M,86.70M,0.13
2012-12,278.69M,278.69M,156.46M,122.24M,19.94M,27.18M,47.12M,15.69M,,1.261M,0.19M,-1.071M,,62.81M,59.43M,0.19M,1.261M,-1.071M,,-1.071M,58.36M,17.85M,40.50M,,40.50M,40.50M,83.86M,24.24M,59.62M,0.47,,,0.47,0.47,0.47,,,0.47,0.47,86.08M,86.64M,0.115
2012-09,271.00M,271.00M,155.07M,115.93M,20.19M,13.58M,33.77M,14.64M,,1.341M,0.187M,-1.154M,,48.41M,67.52M,0.187M,1.341M,-1.154M,,-1.154M,66.36M,23.89M,42.48M,,42.48M,42.48M,91.92M,24.22M,67.70M,0.49,,,0.49,0.49,0.49,,,0.49,0.49,86.11M,86.60M,0.115
2012-06,257.17M,257.17M,153.56M,103.60M,20.32M,11.38M,31.70M,15.39M,,1.375M,0.856M,-0.519M,,47.10M,56.51M,0.856M,1.375M,-0.519M,,-0.519M,55.99M,15.61M,40.38M,,40.38M,40.38M,81.52M,24.15M,57.36M,0.5036,,,0.5036,0.5036,0.5,,,0.5,0.5,86.60M,87.05M,0.115
2012-03,256.30M,256.30M,152.92M,103.38M,18.99M,12.42M,31.42M,15.47M,,1.464M,0.085M,-1.379M,,46.89M,56.50M,0.085M,1.464M,-1.379M,,-1.379M,55.12M,18.46M,36.66M,,36.66M,36.66M,79.63M,23.05M,56.58M,0.42,,,0.42,0.42,0.42,,,0.42,0.42,86.82M,87.59M,0.115
2011-12,255.86M,255.86M,148.45M,107.41M,18.16M,13.38M,31.55M,15.08M,,1.448M,0.106M,-1.342M,,46.62M,60.79M,0.106M,1.448M,-1.342M,,-1.342M,59.45M,20.92M,38.52M,,38.52M,38.52M,84.61M,23.72M,60.89M,0.45,,,0.45,0.45,0.44,,,0.44,0.44,86.57M,87.37M,0.105
2011-09,248.34M,248.34M,143.91M,104.43M,18.75M,12.94M,31.69M,14.94M,,1.456M,0.129M,-1.327M,,46.63M,57.80M,0.129M,1.456M,-1.327M,,-1.327M,56.47M,20.00M,36.48M,,36.48M,36.48M,81.62M,23.69M,57.93M,0.42,,,0.42,0.42,0.42,,,0.42,0.42,86.40M,87.13M,0.105
2011-06,249.26M,249.26M,145.06M,104.19M,17.79M,11.90M,29.69M,16.45M,,1.841M,0.015M,-1.826M,,46.14M,58.05M,0.015M,1.841M,-1.826M,,-1.826M,56.22M,19.65M,36.57M,,36.57M,36.57M,80.96M,22.90M,58.06M,0.42,,,0.42,0.42,0.42,,,0.42,0.42,86.34M,87.09M,0.105
2011-03,240.18M,240.18M,144.90M,95.29M,16.93M,12.14M,29.07M,15.72M,,1.71M,0.061M,-1.649M,,44.79M,50.50M,0.061M,1.71M,-1.649M,,-1.649M,48.85M,15.77M,33.08M,,33.08M,33.08M,73.14M,22.58M,50.56M,0.38,0.0,,0.38,0.38,0.38,0.0,,0.38,0.38,86.22M,86.97M,0.105
2010-12,242.64M,242.64M,139.82M,102.82M,16.98M,15.01M,31.99M,15.84M,,2.487M,0.032M,-2.455M,,47.83M,54.99M,0.032M,2.487M,-2.455M,,-2.455M,52.53M,16.49M,36.04M,,36.04M,36.04M,77.89M,22.87M,55.02M,0.42,0.0,,0.42,0.42,0.42,0.0,,0.42,0.42,85.77M,86.52M,0.095
2010-09,234.82M,234.82M,137.79M,97.03M,16.36M,12.51M,28.87M,15.39M,,2.892M,0.017M,-2.875M,,44.26M,52.78M,0.017M,2.892M,-2.875M,,-2.875M,49.90M,18.13M,31.77M,,31.77M,31.77M,74.96M,22.17M,52.79M,0.37,0.0,,0.37,0.37,0.37,0.0,,0.37,0.37,85.47M,86.15M,0.095
2010-06,227.84M,227.84M,132.71M,95.14M,17.12M,14.39M,31.51M,14.33M,,1.199M,0.107M,-1.092M,,45.84M,49.29M,0.107M,1.199M,-1.092M,,-1.092M,48.20M,18.22M,29.98M,,29.98M,29.98M,68.88M,19.48M,49.40M,0.35,0.0,,0.35,0.35,0.35,0.0,,0.35,0.35,85.33M,86.00M,0.095
2010-03,215.55M,215.55M,129.04M,86.51M,16.76M,12.09M,28.85M,14.00M,,0.186M,0.009M,-0.177M,,42.85M,43.66M,0.009M,0.186M,-0.177M,,-0.177M,43.48M,11.85M,31.64M,,31.64M,31.64M,62.04M,18.37M,43.67M,0.37,0.0,,0.37,0.37,0.37,0.0,,0.37,0.37,84.69M,85.48M,0.095
2009-12,210.86M,210.86M,121.78M,89.08M,14.87M,14.51M,29.38M,12.34M,,0.143M,0.004M,-0.139M,,41.72M,47.36M,0.004M,0.143M,-0.139M,,-0.139M,47.22M,17.25M,29.98M,,29.98M,29.98M,65.19M,17.83M,47.37M,0.36,0.0,,0.36,0.36,0.35,0.0,,0.35,0.35,84.34M,85.22M,0.085
2009-09,182.33M,182.33M,107.94M,74.39M,12.12M,10.18M,22.31M,10.15M,,0.09M,0.041M,-0.049M,,32.45M,41.94M,0.041M,0.09M,-0.049M,,-0.049M,41.89M,15.61M,26.27M,,26.27M,26.27M,57.81M,15.83M,41.98M,0.31,0.0,,0.31,0.31,0.31,0.0,,0.31,0.31,83.87M,84.82M,0.085
2009-06,191.88M,191.88M,112.62M,79.26M,14.28M,10.90M,25.18M,10.47M,,0.165M,0.016M,-0.149M,,35.65M,43.61M,0.016M,0.165M,-0.149M,,-0.149M,43.46M,15.65M,27.81M,,27.81M,27.81M,59.51M,15.89M,43.62M,0.34,0.0,,0.34,0.34,0.33,0.0,,0.33,0.33,83.54M,84.26M,0.085
2009-03,180.41M,180.41M,110.17M,70.24M,12.87M,9.595M,22.47M,10.69M,,0.241M,0.056M,-0.185M,,33.16M,37.08M,0.056M,0.241M,-0.185M,,-0.185M,36.89M,12.09M,24.80M,,24.80M,24.80M,53.44M,16.31M,37.13M,0.3,0.0,,0.3,0.3,0.3,0.0,,0.3,0.3,82.87M,83.48M,0.085
2008-12,190.20M,190.20M,112.83M,77.37M,13.84M,11.72M,25.57M,10.19M,,0.524M,0.146M,-0.378M,,35.76M,41.61M,0.146M,0.524M,-0.378M,,-0.378M,41.23M,13.25M,27.98M,,27.98M,27.98M,57.88M,16.12M,41.76M,0.33,0.0,,0.33,0.33,0.33,0.0,,0.33,0.33,84.31M,84.96M,0.075
2008-09,183.10M,183.10M,110.57M,72.53M,,,25.39M,11.55M,,,,,,36.94M,35.59M,,,,,,35.73M,13.22M,22.51M,,22.51M,22.51M,51.42M,15.83M,35.59M,0.26,0.0,,0.26,0.26,0.26,0.0,,0.26,0.26,85.74M,86.62M,0.075
2008-06,187.47M,187.47M,111.54M,75.93M,,,25.01M,10.62M,,,,,,35.63M,40.30M,,,,,,39.33M,13.35M,25.98M,,24.92M,25.98M,58.21M,15.76M,42.44M,0.3,-0.01,,0.3,0.29,0.29,-0.01,,0.29,0.28,86.90M,88.14M,0.075
2008-03,187.91M,187.91M,110.96M,76.95M,,,23.36M,11.34M,,,,,,34.70M,42.25M,,,,,,41.94M,15.32M,26.61M,,26.61M,26.61M,58.37M,16.12M,42.25M,0.3,0.0,,0.3,0.3,0.3,0.0,,0.3,0.3,87.62M,88.91M,0.075
2007-12,191.87M,191.87M,106.90M,84.97M,,,27.27M,11.40M,,,,,,38.67M,46.30M,,,,,,46.53M,17.10M,29.43M,,29.43M,29.43M,62.01M,15.72M,46.30M,0.33,0.0,,0.33,0.33,0.32,0.0,,0.32,0.32,89.39M,90.92M,0.065
2007-09,175.33M,175.33M,105.80M,69.52M,,,23.76M,9.959M,,,,,,33.72M,35.80M,,,,,,37.07M,13.53M,23.54M,,23.54M,23.54M,50.21M,14.40M,35.80M,0.26,0.0,,0.26,0.26,0.26,0.0,,0.26,0.26,89.17M,90.83M,0.065
2007-06,181.30M,181.30M,103.10M,78.20M,,,23.50M,9.453M,,,,,,32.96M,45.24M,,,,,,45.22M,16.12M,29.10M,,29.10M,29.10M,58.83M,13.59M,45.24M,0.32,0.0,,0.32,0.32,0.32,0.0,,0.32,0.32,89.46M,91.24M,0.065
2007-03,168.90M,168.90M,97.22M,71.68M,,,21.90M,9.004M,,,,,,30.91M,40.78M,,,,,,40.99M,14.61M,26.38M,,26.38M,26.38M,54.28M,13.51M,40.78M,0.29,0.0,,0.29,0.29,0.29,0.0,,0.29,0.29,89.89M,91.75M,0.065
2006-12,167.24M,167.24M,94.26M,72.99M,,,24.38M,8.989M,,,,,,33.37M,39.62M,,,,,,39.73M,11.94M,27.79M,,27.79M,27.79M,51.56M,11.94M,39.62M,0.31,0.0,,0.31,0.31,0.3,0.0,,0.3,0.3,90.21M,92.25M,0.055
2006-09,150.62M,150.62M,87.31M,63.31M,,,21.87M,8.516M,,,,,,30.39M,32.92M,,,,,,34.26M,12.85M,21.41M,,21.41M,21.41M,44.84M,11.92M,32.92M,0.24,0.0,,0.24,0.24,0.23,0.0,,0.23,0.23,91.06M,92.89M,0.055
2006-06,162.31M,162.31M,91.58M,70.73M,,,22.01M,8.687M,,,,,,30.70M,40.03M,,,,,,40.04M,14.63M,25.40M,,25.40M,25.40M,51.27M,11.24M,40.03M,0.28,0.0,,0.28,0.28,0.27,0.0,,0.27,0.27,91.07M,93.12M,0.055
2006-03,145.50M,145.50M,81.81M,63.68M,,,20.53M,8.435M,,,,,,28.97M,34.72M,,,,,,34.86M,11.40M,23.46M,,23.46M,23.46M,45.94M,11.22M,34.72M,0.26,0.0,,0.26,0.26,0.25,0.0,,0.25,0.25,91.95M,94.39M,0.055
2005-12,147.42M,147.42M,81.93M,65.48M,,,23.43M,8.003M,,,,,,31.43M,34.05M,,,,,,34.34M,12.71M,21.64M,,21.64M,21.64M,44.71M,10.66M,34.05M,0.24,0.0,,0.24,0.24,0.23,0.0,,0.23,0.23,91.35M,93.64M,0.045
2005-09,136.98M,136.98M,80.43M,56.56M,,,19.24M,6.749M,,,,,,25.99M,30.56M,,,,,,30.83M,11.41M,19.42M,,19.42M,19.42M,41.21M,10.65M,30.56M,0.21,0.0,,0.21,0.21,0.21,0.0,,0.21,0.21,91.56M,94.00M,0.045
2005-06,141.42M,141.42M,81.56M,59.86M,,,18.96M,7.043M,,,,,,26.00M,33.86M,,,,,,33.77M,12.06M,21.71M,,21.71M,21.71M,44.32M,10.46M,33.86M,0.24,0.0,,0.24,0.24,0.23,0.0,,0.23,0.23,91.42M,93.13M,0.045
2005-03,134.38M,134.38M,77.10M,57.28M,,,18.51M,7.738M,,,,,,26.25M,31.03M,,,,,,31.09M,11.66M,19.43M,,19.43M,19.43M,40.66M,9.631M,31.03M,0.21,0.0,,0.21,0.21,0.21,0.0,,0.21,0.21,91.21M,93.42M,0.045
2004-12,135.96M,135.96M,81.21M,54.75M,,,20.05M,6.741M,,,,,,26.79M,27.96M,,,,,,28.31M,10.61M,17.69M,,17.69M,17.69M,37.82M,9.86M,27.96M,0.2,0.0,,0.2,0.2,0.19,0.0,,0.19,0.19,90.65M,92.96M,0.04
2004-09,124.10M,124.10M,73.53M,50.56M,,,18.20M,6.142M,,,,,,24.34M,26.22M,,,,,,26.68M,10.00M,16.67M,,16.67M,16.67M,35.18M,8.957M,26.22M,0.18,0.0,,0.18,0.18,0.18,0.0,,0.18,0.18,90.29M,92.48M,0.04
2004-06,126.04M,126.04M,72.74M,53.29M,,,18.04M,6.099M,,,,,,24.14M,29.15M,,,,,,29.32M,11.70M,17.62M,,17.62M,17.62M,37.88M,8.728M,29.15M,0.2,0.0,,0.2,0.2,0.19,0.0,,0.19,0.19,89.90M,92.29M,0.04
2004-03,119.71M,119.71M,72.39M,47.32M,,,15.48M,6.344M,,,,,,21.82M,25.50M,,,,,,25.70M,9.379M,16.32M,,16.32M,16.32M,33.78M,8.286M,25.50M,0.18,0.0,,0.18,0.18,0.18,0.0,,0.18,0.18,89.65M,92.08M,0.04
2003-12,112.73M,112.73M,68.02M,44.71M,,,16.20M,5.912M,,,,,,22.12M,22.59M,,,,,,22.87M,8.348M,14.52M,,14.52M,14.52M,31.16M,8.568M,22.59M,0.16,0.0,,0.16,0.16,0.16,0.0,,0.16,0.16,89.23M,92.00M,0.035
2003-09,108.94M,108.94M,66.28M,42.66M,,,15.78M,5.319M,,,,,,21.10M,21.56M,,,,,,21.82M,7.965M,13.86M,,13.86M,13.86M,29.52M,7.958M,21.56M,0.16,0.0,,0.16,0.16,0.15,0.0,,0.15,0.15,88.52M,91.07M,0.035
2003-06,109.19M,109.19M,66.23M,42.95M,,,16.50M,4.327M,,,,,,20.83M,22.12M,,,,,,22.21M,8.108M,14.11M,,14.11M,14.11M,29.92M,7.795M,22.12M,0.16,0.0,,0.16,0.16,0.15,0.0,,0.15,0.15,87.96M,89.75M,0.035
2003-03,98.90M,98.90M,60.50M,38.40M,,,15.06M,4.052M,,,,,,19.11M,19.29M,,,,,,19.40M,7.08M,12.32M,,12.32M,12.32M,26.65M,7.356M,19.29M,0.14,0.0,,0.14,0.14,0.14,0.0,,0.14,0.14,87.74M,88.94M,0.035
2002-12,102.56M,102.56M,65.70M,36.87M,,,14.67M,3.962M,,,,,,18.64M,18.23M,,,,,,18.39M,6.713M,11.68M,,11.68M,11.68M,25.96M,7.727M,18.23M,0.13,0.0,,0.13,0.13,0.13,0.0,,0.13,0.13,87.68M,88.81M,0.035
2002-09,93.98M,93.98M,58.86M,35.11M,,,13.94M,3.551M,,,,,,17.49M,17.63M,,,,,,17.79M,6.493M,11.30M,,11.30M,11.30M,24.94M,7.316M,17.63M,0.13,0.0,,0.13,0.13,0.13,0.0,,0.13,0.13,88.08M,89.58M,0.035
2002-06,106.08M,106.08M,63.01M,43.07M,,,16.07M,3.121M,,,,,,19.20M,23.87M,,,,,,24.09M,8.229M,15.86M,,15.86M,15.86M,31.08M,7.205M,23.87M,0.19,0.0,,0.19,0.19,0.17,0.0,,0.17,0.17,79.81M,92.01M,0.035
2002-03,99.78M,99.78M,59.69M,40.09M,,,16.27M,2.952M,,,,,,19.22M,20.87M,,,,,,21.18M,7.626M,13.56M,,13.56M,13.56M,31.22M,10.34M,20.87M,0.15,0.0,,0.15,0.15,0.15,0.0,,0.15,0.15,92.48M,92.48M,0.035
2001-12,91.54M,91.54M,52.53M,39.01M,,,15.63M,3.543M,,,,,,19.18M,19.84M,,,,,,20.37M,7.332M,13.03M,,13.03M,13.03M,23.41M,3.574M,19.84M,0.15,0.0,,0.15,0.15,0.14,0.0,,0.14,0.14,88.98M,92.25M,0.03
2001-09,86.13M,86.13M,47.08M,39.05M,,,14.07M,2.91M,,,,,,16.98M,22.06M,,,,,,22.84M,8.221M,14.62M,,14.62M,14.62M,28.41M,6.347M,22.06M,0.16,0.0,,0.16,0.16,0.16,0.0,,0.16,0.16,88.95M,92.72M,0.03
