,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBIT,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2018-03,692.71M,692.71M,462.79M,229.92M,14.08M,53.60M,52.20M,1.891M,-50.31M,0.163M,198.59M,31.33M,1.891M,52.20M,-50.31M,25.80M,-50.31M,6.829M,-1.265M,8.094M,,,-4.873M,3.221M,-6.928M,59.03M,,2018-03,0.03,,-0.0606,0.03,,2018-03,0.03,,-0.0602,0.03,112.02M,112.49M,0.695,,2018-03,AOR,Restated
2017-12,759.66M,759.66M,475.04M,284.62M,14.34M,51.05M,50.58M,1.715M,-48.87M,1.181M,199.07M,85.55M,1.715M,50.58M,-48.87M,10.60M,-48.87M,47.28M,20.78M,26.50M,,,-4.873M,21.63M,15.03M,97.86M,,2017-12,0.19,,0.1311,0.19,,2017-12,0.19,,0.1314,0.19,112.00M,112.53M,0.695,,2017-12,AOR,Restated
2017-09,1.183B,1.183B,541.31M,642.01M,12.73M,45.17M,49.64M,0.917M,-48.73M,3.385M,182.47M,459.55M,0.917M,49.64M,-48.73M,14.44M,-48.73M,425.26M,144.32M,280.94M,,,-4.873M,276.07M,267.82M,474.91M,,2017-09,2.47,,2.396,2.47,,2017-09,2.46,,2.387,2.46,111.84M,112.40M,0.655,,2017-09,AOR,Restated
2017-06,944.59M,944.59M,475.60M,468.99M,10.46M,44.29M,50.06M,0.387M,-49.68M,1.706M,171.73M,297.26M,0.387M,50.06M,-49.68M,13.70M,-49.68M,261.28M,88.97M,172.32M,,,-4.874M,167.44M,160.70M,311.35M,,2017-06,1.50,,1.440,1.50,,2017-06,1.49,,1.430,1.49,111.80M,112.34M,0.655,,2017-06,AOR,Restated
2017-03,677.73M,677.73M,438.47M,239.26M,9.482M,43.84M,47.39M,0.477M,-46.92M,0.388M,171.85M,67.41M,0.477M,47.39M,-46.92M,11.90M,-46.92M,32.40M,4.211M,28.18M,,,-4.873M,23.31M,15.32M,79.79M,,2017-03,0.21,,0.1385,0.21,,2017-03,0.21,,0.1388,0.21,111.73M,112.20M,0.655,,2017-03,AOR,Restated
2016-12,739.20M,739.20M,471.91M,267.29M,11.06M,40.60M,45.71M,0.514M,-45.20M,1.40M,164.85M,102.44M,0.514M,45.71M,-45.20M,28.18M,-45.20M,85.43M,27.31M,58.12M,,,-4.873M,53.25M,45.89M,131.14M,,2016-12,0.48,,0.4141,0.48,,2016-12,0.47,,0.4045,0.47,111.55M,112.22M,0.655,,2016-12,AOR,Restated
2016-09,1.167B,1.167B,553.69M,613.23M,10.19M,41.28M,46.97M,0.065M,-46.91M,0.264M,161.98M,451.26M,0.065M,46.97M,-46.91M,4.995M,-46.91M,409.35M,141.45M,267.90M,,,-4.873M,263.03M,256.65M,456.32M,,2016-09,2.36,,2.303,2.36,,2016-09,2.35,,2.293,2.35,111.42M,112.10M,0.625,,2016-09,AOR,Restated
2016-06,915.39M,915.39M,517.13M,398.27M,10.37M,42.12M,47.55M,0.184M,-47.36M,1.329M,166.52M,231.75M,0.184M,47.55M,-47.36M,7.54M,-47.36M,191.92M,65.74M,126.18M,,,-4.874M,121.31M,114.84M,239.47M,,2016-06,1.09,,1.032,1.09,,2016-06,1.08,,1.022,1.08,111.37M,112.00M,0.625,,2016-06,AOR,Restated
2016-03,677.17M,677.17M,464.48M,212.69M,10.52M,42.50M,45.52M,0.117M,-45.40M,0.548M,162.52M,50.16M,0.117M,45.52M,-45.40M,6.478M,-45.40M,11.24M,1.914M,9.326M,,,-4.873M,4.453M,-3.842M,56.76M,,2016-03,0.04,,-0.0345,0.04,,2016-03,0.04,,-0.0342,0.04,111.30M,111.85M,0.625,,2016-03,AOR,Restated
2015-12,734.43M,734.43M,454.76M,279.67M,9.001M,42.32M,44.69M,0.071M,-44.62M,2.408M,169.84M,109.83M,0.071M,44.69M,-44.62M,3.612M,-44.62M,68.82M,22.85M,45.98M,,,-4.861M,41.12M,35.35M,113.52M,,2015-12,0.37,,0.3181,0.37,,2015-12,0.37,,0.3184,0.37,111.15M,111.74M,0.625,,2015-12,AOR,Restated
2015-09,1.199B,1.199B,584.30M,614.85M,7.645M,43.24M,45.82M,0.127M,-45.70M,0.873M,169.74M,445.11M,0.127M,45.82M,-45.70M,2.119M,-45.70M,401.53M,139.56M,261.98M,,,-4.862M,257.12M,252.50M,447.36M,,2015-09,2.32,,2.278,2.32,,2015-09,2.30,,2.259,2.30,111.04M,111.62M,0.595,,2015-09,AOR,Restated
2015-06,890.65M,890.65M,492.44M,398.21M,9.345M,43.03M,44.01M,0.184M,-43.82M,0.462M,166.23M,231.97M,0.184M,44.01M,-43.82M,6.727M,-43.82M,194.88M,67.37M,127.51M,,,-4.605M,122.90M,117.21M,238.88M,,2015-06,1.11,,1.059,1.11,,2015-06,1.10,,1.049,1.10,110.99M,111.46M,0.595,,2015-06,AOR,Restated
2015-03,671.22M,671.22M,438.18M,233.04M,9.224M,43.22M,44.18M,0.11M,-44.07M,1.189M,165.35M,67.68M,0.11M,44.18M,-44.07M,5.063M,-44.07M,28.67M,7.947M,20.73M,,,-4.605M,16.12M,9.812M,72.86M,,2015-03,0.15,,0.0931,0.15,,2015-03,0.14,,0.0833,0.14,110.92M,111.38M,0.595,,2015-03,AOR,Restated
2014-12,726.45M,726.45M,517.33M,209.12M,8.811M,41.60M,44.19M,0.161M,-44.02M,0.563M,148.94M,60.18M,0.161M,44.19M,-44.02M,-1.617M,-44.02M,14.54M,5.007M,9.535M,,,-4.125M,5.41M,5.575M,58.73M,,2014-12,0.05,0.00,0.0515,0.05,,2014-12,0.05,,0.0515,0.05,110.77M,111.83M,0.595,,2014-12,AOR,Restated
2014-09,1.173B,1.173B,605.78M,566.89M,7.038M,40.85M,44.15M,0.103M,-44.04M,0.603M,145.11M,421.78M,0.103M,44.15M,-44.04M,5.108M,-44.04M,382.84M,134.75M,248.09M,,,-4.125M,243.96M,239.48M,426.99M,,2014-09,2.20,,2.159,2.20,,2014-09,2.20,,2.160,2.20,110.69M,111.10M,0.5675,,2014-09,AOR,Restated
2014-06,906.26M,906.26M,502.08M,404.19M,7.499M,44.00M,47.96M,0.495M,-47.47M,0.921M,150.08M,254.11M,0.495M,47.96M,-47.47M,9.277M,-47.47M,215.92M,74.54M,141.38M,,,-8.926M,132.46M,127.62M,263.88M,,2014-06,1.20,,1.156,1.20,,2014-06,1.19,,1.146,1.19,110.56M,111.00M,0.5675,,2014-06,AOR,Restated
2014-03,686.25M,686.25M,462.67M,223.58M,7.442M,45.84M,49.20M,0.251M,-48.95M,0.796M,148.41M,75.17M,0.251M,49.20M,-48.95M,4.874M,-48.95M,31.10M,6.405M,24.69M,,,-8.925M,15.77M,9.968M,80.30M,,2014-03,0.14,,0.0874,0.14,,2014-03,0.14,,0.0877,0.14,110.26M,110.89M,0.5675,,2014-03,AOR,Restated
2013-12,699.76M,699.76M,475.35M,224.42M,6.883M,40.08M,46.52M,0.338M,-46.18M,2.141M,140.52M,83.90M,0.338M,46.52M,-46.18M,4.259M,-46.18M,41.98M,9.167M,32.81M,,,-8.554M,24.26M,18.93M,88.50M,,2013-12,0.22,,0.1716,0.22,,2013-12,0.22,,0.1718,0.22,110.13M,110.48M,0.5675,,2013-12,AOR,Restated
2013-09,1.152B,1.152B,584.28M,568.12M,5.569M,43.26M,47.35M,0.116M,-47.24M,1.784M,152.43M,415.69M,0.116M,47.35M,-47.24M,-1.822M,-47.24M,366.63M,131.91M,234.72M,,,-8.555M,226.16M,224.80M,413.98M,,2013-09,2.06,,2.048,2.06,,2013-09,2.04,,2.028,2.04,110.01M,111.05M,0.545,,2013-09,AOR,Restated
2013-06,915.82M,915.82M,506.88M,408.94M,6.265M,40.81M,47.67M,0.467M,-47.20M,2.02M,149.13M,259.81M,0.467M,47.67M,-47.20M,4.033M,-47.20M,216.64M,77.04M,139.60M,,,-8.391M,131.21M,127.23M,264.31M,,2013-06,1.19,,1.154,1.19,,2013-06,1.18,,1.144,1.18,109.96M,110.93M,0.545,,2013-06,AOR,Restated
2013-03,686.65M,686.65M,453.93M,232.72M,6.864M,40.02M,45.49M,0.076M,-45.41M,2.049M,145.80M,86.92M,0.076M,45.49M,-45.41M,3.794M,-45.41M,45.30M,12.47M,32.84M,,,-8.392M,24.44M,19.55M,90.79M,,2013-03,0.22,,0.1754,0.22,,2013-03,0.22,,0.1758,0.22,109.83M,110.84M,0.545,,2013-03,AOR,Restated
2012-12,693.12M,693.12M,448.00M,245.12M,6.797M,39.05M,47.86M,0.221M,-47.64M,1.508M,143.83M,101.29M,0.221M,47.86M,-47.64M,-0.584M,-47.64M,53.06M,18.16M,34.90M,-4.234M,,-8.04M,22.63M,22.45M,100.93M,,2012-12,0.25,-0.05,0.2098,0.20,,2012-12,0.24,,0.2002,0.20,109.69M,110.85M,0.545,,2012-12,AOR,Restated
2012-09,1.109B,1.109B,523.62M,585.85M,5.708M,36.51M,48.41M,0.307M,-48.10M,1.022M,137.88M,447.97M,0.307M,48.41M,-48.10M,0.125M,-48.10M,399.99M,147.12M,252.87M,-0.011M,,-8.04M,244.82M,242.65M,448.40M,,2012-09,2.23,0.00,2.210,2.23,,2012-09,2.21,,2.190,2.21,109.56M,110.66M,0.525,,2012-09,AOR,Restated
2012-06,878.58M,878.58M,480.96M,397.62M,5.175M,41.29M,49.55M,0.107M,-49.45M,1.233M,143.13M,254.49M,0.107M,49.55M,-49.45M,2.576M,-49.45M,207.62M,76.69M,130.93M,-0.819M,,-7.766M,122.34M,119.94M,257.17M,,2012-06,1.12,0.00,1.091,1.12,,2012-06,1.12,,1.091,1.11,109.49M,110.36M,0.525,,2012-06,AOR,Restated
2012-03,620.63M,620.63M,426.97M,193.66M,4.756M,42.48M,53.82M,0.605M,-53.21M,3.068M,145.65M,48.01M,0.605M,53.82M,-53.21M,0.843M,-53.21M,-4.361M,-4.645M,0.284M,-0.765M,,-7.776M,-8.257M,-10.55M,49.46M,,2012-03,-0.07,-0.01,-0.0980,-0.08,,2012-03,-0.07,,-0.0980,-0.08,109.30M,109.30M,0.525,,2012-03,AOR,Restated
2011-12,667.89M,667.89M,1.120B,-451.91M,12.91M,35.41M,54.76M,0.486M,-54.27M,2.123M,-530.62M,78.72M,0.486M,54.76M,-54.27M,2.475M,-54.27M,26.92M,7.375M,19.54M,0.446M,,-7.426M,12.56M,2.803M,81.68M,,2011-12,0.11,0.00,0.0247,0.11,,2011-12,0.11,,0.0256,0.11,109.20M,110.41M,0.525,,2011-12,AOR,Restated
2011-09,1.125B,1.125B,337.90M,786.94M,4.395M,34.22M,55.10M,0.429M,-54.67M,1.32M,351.93M,435.02M,0.429M,55.10M,-54.67M,4.338M,-54.67M,384.69M,131.42M,253.27M,9.512M,,-7.426M,255.36M,242.99M,439.78M,,2011-09,2.25,0.09,2.224,2.34,,2011-09,2.24,,2.214,2.32,109.13M,109.86M,0.525,,2011-09,AOR,Restated
2011-06,799.80M,799.80M,244.05M,555.75M,6.608M,40.16M,60.14M,0.543M,-59.60M,1.396M,358.76M,196.99M,0.543M,60.14M,-59.60M,6.608M,-59.60M,144.00M,50.82M,93.18M,0.654M,,-7.154M,86.68M,81.75M,204.14M,,2011-06,0.79,0.01,0.7508,0.80,,2011-06,0.78,,0.7410,0.79,109.04M,109.72M,0.525,,2011-06,AOR,Restated
2011-03,648.85M,648.85M,212.01M,436.84M,3.66M,37.62M,57.50M,0.391M,-57.11M,1.82M,401.06M,35.78M,0.391M,57.50M,-57.11M,4.953M,-57.11M,-16.37M,-6.005M,-10.37M,0.694M,,-5.461M,-15.14M,-18.97M,41.13M,,2011-03,-0.15,0.01,-0.1788,-0.14,,2011-03,-0.15,,-0.1788,-0.14,108.83M,108.83M,0.525,,2011-03,AOR,Restated
2010-12,657.43M,657.43M,1.096B,-438.32M,14.24M,34.40M,58.01M,0.658M,-57.35M,3.937M,-494.58M,56.25M,0.658M,58.01M,-57.35M,6.374M,-57.35M,5.271M,-5.013M,10.28M,2.217M,,-5.151M,7.35M,-5.241M,63.28M,,2010-12,0.03,0.01,-0.0654,0.04,,2010-12,0.02,,-0.0747,0.04,108.75M,109.60M,0.525,,2010-12,AOR,Restated
2010-09,1.117B,1.117B,353.90M,762.81M,1.645M,37.53M,54.26M,0.833M,-53.42M,1.169M,362.53M,400.27M,0.833M,54.26M,-53.42M,5.058M,-53.42M,351.91M,122.35M,229.56M,9.477M,,-5.119M,233.92M,221.14M,406.16M,,2010-09,2.07,0.08,2.040,2.15,,2010-09,2.06,,2.030,2.14,108.63M,109.09M,0.525,,2010-09,AOR,Restated
2010-06,802.80M,802.80M,251.80M,551.00M,3.723M,31.68M,57.68M,0.635M,-57.04M,1.325M,349.61M,201.38M,0.635M,57.68M,-57.04M,0.162M,-57.04M,144.50M,51.19M,93.31M,26.25M,,-4.769M,114.80M,88.44M,202.18M,,2010-06,0.82,0.25,0.8190,1.07,,2010-06,0.82,,0.8190,1.07,107.36M,107.76M,0.525,,2010-06,AOR,Restated
2010-03,620.36M,620.36M,215.54M,404.82M,2.705M,31.72M,57.66M,0.874M,-56.78M,6.928M,347.15M,57.67M,0.874M,57.66M,-56.78M,3.927M,-56.78M,4.811M,-7.172M,11.98M,-12.88M,,-5.117M,-6.014M,4.313M,62.47M,,2010-03,0.07,-0.13,0.0448,-0.06,,2010-03,0.07,,0.0448,-0.06,101.47M,101.47M,0.525,,2010-03,AOR,Restated
2009-12,638.65M,638.65M,257.99M,380.66M,-1.189M,22.48M,58.26M,0.318M,-57.94M,-620.28M,327.79M,52.87M,0.318M,58.26M,-57.94M,1.203M,-57.94M,-6.661M,0.957M,-7.618M,-17.42M,,-5.124M,-30.16M,-11.97M,51.60M,,2009-12,-0.13,-0.16,-0.1224,-0.29,,2009-12,-0.13,,-0.1224,-0.30,101.32M,101.50M,0.525,,2009-12,AOR,Restated
2009-09,1.089B,1.089B,381.54M,707.49M,0.263M,34.02M,58.95M,0.543M,-58.41M,203.06M,340.09M,367.41M,0.543M,58.95M,-58.41M,3.959M,-58.41M,313.11M,109.78M,203.33M,-12.30M,,-4.371M,186.65M,198.79M,372.06M,,2009-09,1.96,-0.12,1.958,1.84,,2009-09,1.96,,1.958,1.84,101.22M,101.38M,0.525,,2009-09,AOR,Restated
2009-06,818.59M,818.59M,291.70M,526.89M,3.011M,32.77M,56.66M,0.386M,-56.27M,221.25M,355.00M,171.89M,0.386M,56.66M,-56.27M,6.409M,-56.27M,122.03M,41.00M,81.03M,-8.184M,,-4.499M,68.35M,74.53M,178.69M,,2009-06,0.76,-0.08,0.7402,0.68,,2009-06,0.75,,0.7302,0.68,101.11M,101.19M,0.525,,2009-06,AOR,Restated
2009-03,625.87M,625.87M,274.30M,351.57M,-205.72M,34.13M,55.20M,0.261M,-54.94M,204.08M,340.02M,11.55M,0.261M,55.20M,-54.94M,-212.95M,-54.94M,-256.35M,-95.00M,-161.34M,-4.727M,,9.56M,-156.51M,-22.30M,-201.15M,,2009-03,-1.50,-0.05,-0.2178,-1.55,,2009-03,-1.50,,-0.2178,-1.55,100.99M,100.99M,0.525,,2009-03,AOR,Restated
2008-12,671.32M,671.32M,284.92M,386.40M,-11.80M,30.51M,54.09M,,-46.48M,222.89M,351.58M,34.82M,,54.09M,-46.48M,-29.50M,-46.48M,-41.16M,-14.26M,-26.90M,-11.95M,,0.00,-38.85M,-19.19M,12.92M,,2008-12,-0.27,-0.12,-0.1935,-0.39,,2008-12,-0.27,,-0.1938,-0.39,100.84M,101.13M,0.525,,2008-12,AOR,Restated
2008-09,1.070B,1.070B,447.56M,622.52M,-0.643M,28.42M,47.19M,,-47.19M,219.65M,346.63M,275.89M,,47.19M,-47.19M,-0.643M,-47.19M,228.06M,76.59M,151.47M,0.118M,,0.00,151.59M,151.90M,275.25M,,2008-09,1.50,0.00,1.504,1.50,,2008-09,1.50,,1.504,1.50,100.75M,101.02M,0.525,,2008-09,,Restated
2008-06,884.51M,884.51M,376.84M,507.67M,-0.713M,33.25M,46.58M,,-46.58M,200.52M,331.54M,176.13M,,46.58M,-46.58M,-0.713M,-46.58M,128.83M,16.02M,112.81M,21.06M,,0.00,133.86M,113.43M,175.42M,,2008-06,1.12,0.21,1.126,1.33,,2008-06,1.12,,1.126,1.33,100.65M,100.92M,0.525,,2008-06,,Restated
2008-03,688.26M,688.26M,324.32M,363.94M,5.067M,33.15M,49.02M,,-49.02M,198.96M,327.71M,36.23M,,49.02M,-49.02M,5.067M,-49.02M,-7.728M,-1.541M,-6.187M,1.714M,,0.00,-4.473M,-10.24M,41.30M,,2008-03,-0.06,0.02,-0.1004,-0.04,,2008-03,-0.06,,-0.1004,-0.04,100.52M,100.52M,0.525,,2008-03,,Restated
2007-12,760.47M,760.47M,327.89M,432.58M,25.68M,23.80M,,,,286.92M,407.58M,25.00M,,,,25.68M,,10.47M,9.111M,1.361M,1.55M,,,2.911M,-15.33M,25.00M,,2007-12,0.01,0.01,-0.1562,0.02,,2007-12,0.01,,-0.1552,0.02,100.42M,101.04M,0.525,,2007-12,,
2007-09,1.205B,1.205B,501.10M,704.13M,-16.64M,34.94M,,,,224.49M,354.16M,349.97M,,,,-16.64M,,293.77M,92.06M,201.72M,6.99M,,,208.71M,213.14M,349.97M,,2007-09,2.01,0.07,2.124,2.08,,2007-09,2.00,,2.113,2.07,100.32M,100.83M,0.525,,2007-09,,
2007-06,862.90M,862.90M,344.87M,518.03M,2.60M,34.76M,,,,232.03M,359.26M,158.77M,,,,2.60M,,119.95M,40.71M,79.24M,-0.243M,,,78.99M,77.52M,158.77M,,2007-06,0.79,0.00,0.7729,0.79,,2007-06,0.79,,0.7730,0.78,100.23M,100.78M,0.525,,2007-06,,
2007-03,695.02M,695.02M,261.30M,433.72M,-5.254M,34.72M,,,,241.40M,365.50M,68.22M,,,,-5.254M,,25.50M,9.041M,16.46M,0.066M,,,16.53M,19.86M,68.22M,,2007-03,0.16,0.01,0.1939,0.17,,2007-03,0.16,,0.1937,0.16,100.04M,100.62M,0.525,,2007-03,,
2006-12,730.07M,730.07M,288.00M,442.07M,11.48M,28.42M,,,,284.80M,404.56M,37.51M,,,,11.48M,,12.04M,1.518M,10.53M,7.953M,,,18.48M,0.4894M,37.51M,,2006-12,0.10,0.08,-0.0005,0.18,,2006-12,0.10,,0.0005,0.17,99.84M,100.87M,0.525,,2006-12,,
2006-09,1.076B,1.076B,395.06M,681.39M,8.484M,31.70M,,,,248.86M,370.95M,310.44M,,,,8.484M,,283.02M,98.84M,184.18M,-0.012M,,,184.17M,178.66M,310.44M,,2006-09,1.85,0.00,1.795,1.85,,2006-09,1.84,,1.785,1.84,99.49M,99.97M,0.50,,2006-09,,
2006-06,925.03M,925.03M,336.66M,588.37M,3.922M,32.70M,,,,275.17M,397.17M,191.20M,,,,3.922M,,160.11M,49.27M,110.84M,1.311M,,,112.15M,108.13M,191.20M,,2006-06,1.12,0.01,1.093,1.13,,2006-06,1.11,,1.083,1.13,99.22M,99.64M,0.50,,2006-06,,
2006-03,670.21M,670.21M,231.57M,438.64M,0.926M,35.57M,,,,258.28M,381.47M,57.16M,,,,0.926M,,18.39M,6.793M,11.60M,0.86M,,,12.46M,11.01M,57.16M,,2006-03,0.12,0.01,0.1141,0.13,,2006-03,0.12,,0.1141,0.13,99.12M,99.45M,0.50,,2006-03,,
2005-12,691.67M,691.67M,230.35M,461.32M,3.616M,28.51M,,,,264.40M,378.53M,82.79M,,,,3.616M,,36.80M,13.03M,23.77M,-2.422M,,,21.35M,21.43M,82.79M,,2005-12,0.23,-0.02,0.2063,0.21,,2005-12,0.23,,0.2067,0.20,98.36M,100.14M,0.50,,2005-12,,
2005-09,955.58M,955.58M,290.46M,665.12M,-3.036M,34.32M,,,,381.56M,503.01M,162.11M,,,,-3.036M,,125.00M,40.30M,84.69M,19.04M,,,103.74M,86.75M,162.11M,,2005-09,0.86,0.19,0.8808,1.05,,2005-09,0.86,,0.8808,1.05,98.70M,98.82M,0.475,,2005-09,,
2005-06,755.34M,755.34M,218.18M,537.16M,0.966M,34.64M,,,,238.37M,358.33M,178.83M,,,,0.966M,,140.09M,54.99M,85.10M,-58.37M,,,26.74M,84.51M,178.83M,,2005-06,0.88,-0.60,0.8739,0.28,,2005-06,0.88,,0.8739,0.28,96.19M,96.30M,0.475,,2005-06,,
2005-03,585.36M,585.36M,149.23M,436.13M,-3.583M,34.56M,,,,218.79M,344.30M,91.82M,,,,-3.583M,,48.17M,18.57M,29.60M,-5.151M,,,24.45M,31.80M,91.82M,,2005-03,0.32,-0.05,0.3439,0.27,,2005-03,0.32,,0.3439,0.27,91.96M,92.04M,0.475,,2005-03,,
2004-12,713.28M,713.28M,213.18M,500.11M,0.891M,27.06M,,,,274.58M,398.30M,101.81M,,,,0.891M,,54.39M,16.67M,37.72M,-3.991M,,,33.73M,37.10M,101.81M,,2004-12,0.41,-0.04,0.4033,0.37,,2004-12,0.41,,0.4033,0.37,91.74M,91.74M,0.475,,2004-12,,
2004-09,847.16M,847.16M,278.84M,568.32M,-3.627M,31.02M,,,,234.59M,358.97M,209.36M,,,,-3.627M,,163.51M,59.18M,104.33M,1.071M,,,105.40M,106.64M,209.36M,,2004-09,1.14,0.01,1.165,1.15,,2004-09,1.14,,1.165,1.15,91.36M,91.49M,0.45,,2004-09,,
2004-06,705.58M,705.58M,239.71M,465.87M,33.12M,32.31M,,,,208.39M,342.71M,123.17M,,,,33.12M,,119.10M,45.03M,74.07M,-1.428M,,,72.64M,53.47M,123.17M,,2004-06,0.81,-0.01,0.5844,0.80,,2004-06,0.81,,0.5846,0.79,91.32M,91.40M,0.45,,2004-06,,
2004-03,566.34M,566.34M,156.38M,409.97M,5.467M,30.33M,,,,193.83M,325.77M,84.20M,,,,5.467M,,46.26M,15.47M,30.79M,0.635M,,,31.43M,27.15M,84.20M,,2004-03,0.34,0.00,0.3001,0.34,,2004-03,0.34,,0.3002,0.34,91.29M,91.38M,0.45,,2004-03,,
