,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,IncomeStatementDepreciation,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2003-05,1.342B,1.342B,827.00M,515.00M,,,212.00M,,-11.00M,,,,,347.00M,168.00M,,,,-11.00M,,124.00M,-4.00M,128.00M,,,128.00M,134.60M,303.00M,135.00M,168.00M,,0.19,0.00,0.1998,0.19,,0.19,0.00,0.1998,0.19,,673.68M,673.68M,0.105,,AOR,Restated
2003-02,1.035B,1.035B,620.00M,415.00M,,,177.00M,,15.00M,,,,,283.00M,132.00M,,,,15.00M,,122.00M,-5.00M,127.00M,,,127.00M,118.00M,238.00M,106.00M,132.00M,,0.22,0.00,0.2044,0.22,,0.22,0.00,0.2044,0.22,,577.27M,577.27M,0.105,,AOR,Restated
2002-11,1.039B,1.039B,582.98M,455.99M,,,168.07M,100.57M,1.251M,,,,582.98M,851.62M,-395.63M,,,,1.251M,,170.87M,-20.53M,191.40M,,,191.40M,190.64M,-295.06M,-100.57M,-395.63M,,0.31,0.00,0.3088,0.31,,0.28,0.00,0.2789,0.28,,603.30M,654.70M,0.105,,AOR,Restated
2002-08,1.441B,1.441B,685.67M,754.92M,,,147.41M,99.09M,-18.12M,,,,685.67M,932.16M,-177.24M,,,,-18.12M,,472.09M,-28.67M,500.76M,,,500.76M,511.64M,-78.16M,-463.77M,-177.24M,,0.85,0.00,0.8685,0.85,,0.85,0.00,0.8685,0.85,,586.67M,587.92M,0.105,,AOR,
2002-05,989.16M,989.16M,533.46M,455.70M,,,142.70M,92.59M,-5.951M,,,,,235.29M,220.41M,,,,-5.951M,,188.06M,-6.136M,194.20M,,,194.20M,197.77M,492.51M,272.10M,220.41M,,0.33,0.00,0.3361,0.33,,0.33,0.00,0.3361,0.33,,588.49M,588.49M,0.105,,AOR,
2002-02,906.53M,906.53M,519.56M,386.97M,,,151.40M,89.75M,4.959M,,,,519.56M,760.72M,-373.75M,,,,4.959M,,127.98M,-1.661M,129.64M,,,129.64M,126.66M,-284.00M,-89.75M,-373.75M,,0.22,0.00,0.2149,0.22,,0.22,0.00,0.2149,0.22,,586.40M,586.40M,0.105,,AOR,
2001-11,972.35M,972.35M,2.438B,-1.466B,,,161.75M,91.04M,-79.07M,,,,605.17M,857.96M,-2.324B,,,,-79.07M,,102.42M,-13.70M,116.11M,,,116.11M,163.55M,-2.233B,-652.96M,-2.324B,,0.19,0.00,0.2696,0.19,,0.19,0.00,0.2693,0.19,,596.34M,598.61M,0.105,,AOR,Restated
2001-08,1.490B,1.490B,820.77M,669.15M,,,146.80M,97.01M,-8.256M,,,,-101.39M,142.42M,526.74M,,,,-8.256M,,501.35M,6.376M,494.98M,,,494.98M,503.13M,991.64M,464.91M,526.74M,,0.84,0.00,0.8538,0.84,,0.84,0.00,0.8538,0.84,,589.26M,589.26M,0.105,,AOR,
2001-05,1.079B,1.079B,601.33M,477.79M,,,154.56M,92.36M,-22.58M,,,,601.33M,848.26M,-370.47M,,,,-22.58M,,184.05M,-2.914M,186.96M,,,186.96M,200.51M,-278.11M,-92.36M,-370.47M,,0.32,0.00,0.3432,0.32,,0.32,0.00,0.3431,0.32,,584.15M,586.39M,0.105,,AOR,
2001-02,1.008B,1.008B,600.12M,407.49M,,,155.89M,91.59M,-9.117M,,,,600.12M,847.60M,-440.12M,,,,-9.117M,,122.79M,-5.157M,127.95M,,,127.95M,133.42M,-348.52M,-91.59M,-440.12M,,0.22,0.00,0.2294,0.22,,0.22,0.00,0.2293,0.22,,584.61M,587.13M,0.105,,AOR,
2000-11,850.33M,862.78M,1.231B,-367.93M,,,126.37M,76.53M,38.41M,,,,-2.352B,-2.149B,1.782B,,,,38.41M,,191.06M,-2.732M,193.80M,,,193.34M,170.29M,1.858B,-76.53M,1.782B,,0.33,0.00,0.2905,0.33,,0.33,0.00,0.2910,0.33,,583.44M,591.39M,0.105,,AOR,Restated
2000-08,1.228B,1.228B,614.72M,613.49M,,,119.33M,75.25M,-4.457M,,,,614.72M,809.30M,-195.81M,,,,-4.457M,,407.31M,11.12M,396.19M,,,396.19M,400.53M,-120.57M,-347.03M,-195.81M,,0.67,0.00,0.6773,0.67,,0.67,0.00,0.6773,0.67,,591.03M,592.55M,0.105,,AOR,
2000-05,875.13M,875.13M,497.12M,378.01M,,,120.83M,68.29M,9.349M,,,,497.12M,686.24M,-308.23M,,,,9.349M,,206.50M,2.539M,203.96M,,0.00,203.96M,194.72M,-239.94M,68.29M,-308.23M,,0.34,0.00,0.3246,0.34,,0.34,0.00,0.3246,0.34,,599.87M,599.87M,0.105,,AOR,
2000-02,824.90M,824.88M,11.44M,813.44M,,,120.88M,67.60M,8.897M,,,,465.44M,653.92M,159.52M,,,,8.897M,,176.27M,4.752M,171.52M,,0.00,171.52M,162.86M,227.12M,67.60M,159.52M,,0.28,0.00,0.2659,0.28,,0.28,0.00,0.2659,0.28,,612.56M,612.56M,0.105,,AOR,
1999-11,783.87M,795.40M,1.061B,-265.30M,,,121.00M,63.80M,83.50M,,,,-2.119B,-1.934B,1.669B,,,,83.50M,,248.20M,-2.80M,251.00M,,3.00M,250.80M,200.70M,1.733B,-63.80M,1.669B,,0.41,0.00,0.3281,0.41,,0.40,0.00,0.3200,0.40,,611.69M,626.60M,0.105,,AOR,Restated
1999-08,1.169B,1.169B,579.70M,589.40M,,,109.90M,63.10M,20.80M,,,,579.70M,752.70M,-163.30M,,,,20.80M,,428.40M,13.30M,415.10M,,9.40M,415.10M,394.95M,-100.20M,-63.10M,-163.30M,,0.68,0.00,0.6470,0.68,,0.67,0.00,0.6375,0.67,,610.44M,619.55M,0.09,,,
1999-05,796.10M,796.10M,432.40M,363.70M,,,105.50M,58.90M,3.70M,,,,432.40M,596.80M,-233.10M,,,,3.70M,,200.50M,-2.80M,203.30M,,0.50M,203.30M,201.08M,-174.20M,-58.90M,-233.10M,,0.33,0.00,0.3264,0.33,,0.33,0.00,0.3264,0.33,,616.06M,616.06M,0.09,,,
1999-02,748.30M,748.30M,416.10M,332.20M,,,110.80M,57.90M,-2.90M,,,,416.10M,584.80M,-252.60M,,,,-2.90M,,153.00M,-4.80M,157.80M,,1.10M,157.80M,159.54M,-194.70M,-57.90M,-252.60M,,0.26,0.00,0.2629,0.26,,0.26,0.00,0.2629,0.26,,606.92M,606.92M,0.09,,,
1998-11,728.60M,728.61M,409.08M,319.53M,,,106.87M,53.97M,-16.22M,,,,,-1.049B,1.369B,,,,-16.22M,,218.52M,-2.085M,220.60M,,-19.10M,220.58M,230.32M,1.716B,347.37M,1.369B,,0.37,0.00,0.3863,0.37,,0.37,0.00,0.3863,0.37,,596.11M,596.11M,0.09,,AOR,Restated
1998-08,1.062B,1.062B,540.30M,521.20M,,,98.80M,57.40M,16.80M,,,,540.30M,696.50M,-175.30M,,,,16.80M,,357.50M,12.70M,344.80M,,8.00M,344.80M,328.60M,-117.90M,-57.40M,-175.30M,,0.58,0.00,0.5527,0.58,,0.58,0.00,0.5527,0.58,,594.48M,594.48M,0.075,,,
1998-05,661.40M,661.40M,362.40M,299.00M,,,85.00M,46.30M,2.30M,,,,,131.30M,167.70M,,,,2.30M,,158.00M,-2.60M,160.60M,,,160.60M,159.22M,214.00M,-46.30M,167.70M,,0.135,0.00,0.1327,0.135,,0.135,0.00,0.1327,0.135,,594.78M,594.78M,0.075,,,
1998-02,557.80M,557.80M,307.60M,250.20M,,,78.80M,43.00M,-14.00M,,,,307.60M,429.40M,-179.20M,,,,-14.00M,,105.60M,-4.30M,109.90M,,,109.90M,118.30M,-136.20M,-43.00M,-179.20M,,0.09,0.00,0.1041,0.09,,0.09,0.00,0.1041,0.09,,594.78M,594.78M,0.075,,,
1997-11,524.40M,524.37M,299.97M,224.40M,,,74.83M,41.39M,-4.564M,,,,,116.22M,108.18M,,,,-4.564M,,152.98M,-2.367M,155.35M,,,155.35M,158.09M,401.37M,293.19M,108.18M,,0.2615,,0.2661,0.2615,,0.2615,0.00,0.2637,0.2615,,594.78M,1.244B,0.075,,AOR,
1997-08,805.40M,805.40M,388.10M,417.30M,,,65.50M,43.20M,16.20M,,,,,108.70M,308.60M,,,,16.20M,,312.80M,14.90M,297.90M,,,297.90M,282.47M,351.80M,-43.20M,308.60M,,0.25,0.00,0.2371,0.25,,0.25,0.00,0.2371,0.25,,1.192B,1.192B,0.055,,,
1997-05,596.60M,596.60M,337.70M,258.90M,,,76.70M,42.00M,-2.20M,,,,337.70M,456.40M,-197.50M,,,,-2.20M,,125.10M,-2.30M,127.40M,,,127.40M,128.72M,-155.50M,-42.00M,-197.50M,,0.105,0.00,0.1061,0.105,,0.105,0.00,0.1061,0.105,,1.213B,1.213B,0.055,,,
1997-02,521.10M,521.10M,296.90M,224.20M,,,79.50M,40.70M,-7.40M,,,,296.90M,417.10M,-192.90M,,,,-7.40M,,81.40M,-4.00M,85.40M,,,85.40M,89.84M,-152.20M,-40.70M,-192.90M,,0.07,0.00,0.0775,0.07,,0.07,0.00,0.0775,0.07,,594.07M,594.07M,0.055,,,
1996-11,475.00M,474.97M,278.87M,196.10M,,,65.66M,37.39M,-13.39M,,,,,-859.36M,1.055B,,,,-13.39M,,112.85M,-1.955M,114.80M,,,114.80M,122.83M,1.308B,252.59M,1.055B,,0.2015,,0.2150,0.2015,,0.2015,0.00,0.2085,0.2015,,594.07M,1.143B,0.055,,AOR,
1996-08,772.00M,772.00M,396.20M,375.80M,,,69.00M,39.70M,31.50M,,,,396.20M,504.90M,-129.10M,,,,31.50M,,284.10M,16.00M,268.10M,,,268.10M,238.37M,-89.40M,-39.70M,-129.10M,,0.23,0.00,0.2045,0.23,,0.23,0.00,0.2045,0.23,,1.166B,1.166B,0.045,,,
1996-05,516.80M,516.80M,302.50M,214.30M,,,69.00M,35.10M,11.70M,,,,,104.10M,110.20M,,,,11.70M,,104.80M,-1.50M,106.30M,,,106.30M,99.28M,145.30M,-35.10M,110.20M,,0.095,0.00,0.0887,0.095,,0.095,0.00,0.0887,0.095,,1.119B,1.119B,0.09,,,
1996-02,448.80M,448.80M,263.70M,185.10M,,,71.30M,32.80M,0.80M,,,,263.70M,367.80M,-182.70M,,,,0.80M,,73.60M,-3.50M,77.10M,,,77.10M,76.62M,-149.90M,-32.80M,-182.70M,,0.07,0.00,0.0692,0.07,,0.07,0.00,0.0692,0.07,,569.71M,569.71M,0.045,,,
1995-11,453.00M,452.95M,265.81M,187.14M,,,60.67M,33.63M,-9.17M,,,,,-771.00M,958.14M,,,,-9.17M,,82.46M,-1.726M,84.19M,,,84.19M,89.69M,1.181B,223.23M,958.14M,,0.1490,,0.1586,0.1490,,0.1490,0.00,0.1538,0.1490,,569.71M,1.129B,0.045,,AOR,
1995-08,672.60M,672.60M,352.10M,320.50M,,,63.60M,32.70M,13.70M,,,,352.10M,448.40M,-127.90M,,,,13.70M,,226.00M,16.50M,209.50M,,,209.50M,196.80M,-95.20M,-32.80M,-127.90M,,0.185,0.00,0.1738,0.185,,0.185,0.00,0.1738,0.185,,1.132B,1.132B,0.0375,,,
1995-05,452.80M,452.80M,265.90M,186.90M,,,60.10M,30.50M,3.80M,,,,265.90M,356.50M,-169.60M,,,,3.80M,,89.30M,-0.50M,89.80M,,,89.80M,87.52M,-139.10M,-30.50M,-169.60M,,0.08,0.00,0.0780,0.08,,0.08,0.00,0.0780,0.08,,1.122B,1.122B,0.0375,,,
1995-02,419.80M,419.80M,247.20M,172.60M,,,64.20M,31.50M,1.40M,,,,247.20M,342.90M,-170.30M,,,,1.40M,,62.80M,-4.80M,67.60M,,,67.60M,66.76M,-138.80M,-31.50M,-170.30M,,0.06,0.00,0.0585,0.06,,0.06,0.00,0.0585,0.06,,565.23M,565.23M,0.0375,,,
1994-11,410.50M,410.52M,237.78M,172.74M,,,61.77M,30.10M,-16.10M,,,,,91.87M,80.87M,,,,-16.10M,,68.92M,-1.147M,70.06M,,,70.06M,79.72M,271.97M,191.10M,80.87M,,0.1240,,0.1411,0.1240,,0.1240,,0.1411,0.1240,,565.06M,565.06M,0.0375,,AOR,
1994-08,600.80M,600.80M,314.50M,286.30M,,,53.50M,27.80M,-6.80M,,,,,81.30M,205.00M,,,,-6.80M,,186.30M,17.50M,168.80M,,,168.80M,174.96M,232.80M,-27.80M,205.00M,,0.075,0.00,0.0859,0.075,,0.075,0.00,0.0859,0.075,,564.95M,564.95M,0.035,,,
1994-05,409.40M,409.40M,245.80M,163.60M,,,51.60M,26.20M,1.90M,,,,,77.80M,85.80M,,,,1.90M,,76.00M,-1.90M,77.90M,,,77.90M,76.76M,112.00M,-26.20M,85.80M,,0.035,0.00,0.0330,0.035,,0.035,0.00,0.0330,0.035,,564.82M,564.82M,0.035,,,
1994-02,385.30M,385.30M,230.30M,155.00M,,,56.50M,26.50M,2.00M,,,,,83.00M,72.00M,,,,2.00M,,60.80M,-4.30M,65.10M,,,65.10M,63.90M,98.50M,-26.50M,72.00M,,0.03,0.00,0.0279,0.03,,0.03,0.00,0.0279,0.03,,564.77M,564.77M,0.035,,,
1993-11,325.70M,325.70M,195.10M,130.60M,,,52.70M,24.10M,1.70M,,,,,76.80M,53.80M,,,,1.70M,,48.60M,-1.60M,50.20M,,,50.20M,49.18M,77.90M,-24.10M,53.80M,,0.0889,,0.0871,0.0889,,0.0889,,0.0871,0.0889,,564.67M,564.67M,0.035,,,
1993-08,529.30M,529.30M,281.10M,248.20M,,,52.70M,23.60M,3.10M,,,,,76.30M,171.90M,,,,3.10M,,166.70M,14.50M,152.20M,,,152.20M,149.37M,195.50M,-23.60M,171.90M,,0.0675,0.00,0.0613,0.0675,,0.0675,0.00,0.0613,0.0675,,454.74M,454.74M,0.035,,,
1993-05,378.20M,378.20M,232.50M,145.70M,,,52.20M,23.30M,2.70M,,,,,75.50M,70.20M,,,,2.70M,,62.40M,-2.70M,65.10M,,,65.10M,63.48M,93.50M,-23.30M,70.20M,,0.03,0.00,0.0271,0.03,,0.03,0.00,0.0271,0.03,,564.58M,564.58M,0.035,,,
1993-02,323.60M,323.60M,199.20M,124.40M,,,50.40M,22.30M,2.80M,,,,,72.70M,51.70M,,,,2.80M,,46.00M,-4.70M,50.70M,,,50.70M,49.02M,74.00M,-22.30M,51.70M,,0.0225,0.00,0.0195,0.0225,,0.0225,0.00,0.0195,0.0225,,564.36M,564.36M,0.035,,,
1992-11,310.90M,310.90M,,,,,,,,,,,,,-837.80M,,,,,,,,43.20M,,,38.00M,43.20M,-837.80M,,-837.80M,,0.0673,,0.0673,0.0673,,0.0673,,0.0673,0.0673,,564.28M,564.28M,0.035,,,
1992-08,487.80M,487.80M,,,,,,,,,,,,,487.80M,,,,,,,,134.80M,,,134.80M,134.80M,487.80M,,487.80M,,0.0575,0.00,0.0575,0.0575,,0.0575,0.00,0.0575,0.0575,,562.48M,562.48M,0.035,,,
1992-05,346.00M,346.00M,,,,,,,,,,,,,346.00M,,,,,,,,57.10M,,,57.10M,57.10M,346.00M,,346.00M,,0.0275,0.00,0.0275,0.0275,,0.0275,0.00,0.0275,0.0275,,562.42M,562.42M,0.035,,,
1992-02,328.80M,328.80M,,,,,,,,,,,,,328.80M,,,,,,,,46.80M,,,46.80M,46.80M,328.80M,,328.80M,,0.0225,0.00,0.0225,0.0225,,0.0225,0.00,0.0225,0.0225,,562.33M,562.33M,0.035,,,
1991-11,305.60M,305.60M,,,,,,,,,,,,,-783.20M,,,,,,,,38.70M,-150.70M,,-112.00M,38.70M,-783.20M,,-783.20M,,0.0688,-0.2680,0.0688,-0.1992,,0.0688,-0.2680,0.0688,-0.1992,,562.38M,562.38M,0.0325,,,
1991-08,499.20M,499.20M,,,,,,,,,,,,,499.20M,,,,,,,,130.50M,-7.40M,,123.10M,130.50M,499.20M,,499.20M,,0.06,-0.005,0.06,0.055,,0.06,-0.005,0.06,0.055,,452.42M,452.42M,0.03,,,
1991-05,307.00M,307.00M,,,,,,,,,,,,,307.00M,,,,,,,,47.20M,-3.80M,,43.40M,47.20M,307.00M,,307.00M,,0.0225,-0.0025,0.0225,0.02,,0.0225,-0.0025,0.0225,0.02,,538.79M,538.79M,0.03,,,
1991-02,292.90M,292.90M,,,,,,,,,,,,,292.90M,,,,,,,,37.40M,-6.90M,,30.50M,37.40M,292.90M,,292.90M,,0.0175,-0.005,0.0175,0.0125,,0.0175,-0.005,0.0175,0.0125,,544.99M,544.99M,0.03,,,
1990-11,296.50M,296.50M,,,,,,,,,,,,,-825.30M,,,,,,,,19.20M,,,19.20M,19.20M,-825.30M,,-825.30M,,0.0352,,0.0352,0.0352,,0.0352,,0.0352,0.0352,,545.03M,545.03M,0.03,,,
1990-08,482.90M,482.90M,,,,,,,,,,,,,482.90M,,,,,,,,107.20M,,,107.20M,107.20M,482.90M,,482.90M,,0.05,0.00,0.05,0.05,,0.05,0.00,0.05,0.05,,538.99M,538.99M,0.03,,,
1990-05,352.50M,352.50M,,,,,,,,,,,,,352.50M,,,,,,,,54.60M,,,54.60M,54.60M,352.50M,,352.50M,,0.0275,0.00,0.0275,0.0275,,0.0275,0.00,0.0275,0.0275,,538.71M,538.71M,0.03,,,
1990-02,259.40M,259.40M,,,,,,,,,,,,,259.40M,,,,,,,,25.20M,,,25.20M,25.20M,259.40M,,259.40M,,0.0125,0.00,0.0125,0.0125,,0.0125,0.00,0.0125,0.0125,,538.71M,538.71M,0.03,,,
1989-11,226.10M,226.10M,,,,,,,,,,,,,-680.80M,,,,,,,,21.30M,,,21.30M,21.30M,-680.80M,,-680.80M,,0.0391,,0.0391,0.0391,,0.0391,,0.0391,0.0391,,544.99M,544.99M,0.025,,,
1989-08,405.20M,405.20M,,,,,,,,,,,,,405.20M,,,,,,,,84.40M,,,84.40M,84.40M,405.20M,,405.20M,,0.04,0.00,0.04,0.04,,0.04,0.00,0.04,0.04,,538.46M,538.46M,0.025,,,
1989-05,284.70M,284.70M,,,,,,,,,,,,,284.70M,,,,,,,,41.60M,,,41.60M,41.60M,284.70M,,284.70M,,0.02,0.00,0.02,0.02,,0.02,0.00,0.02,0.02,,538.44M,538.44M,0.025,,,
1989-02,231.80M,231.80M,,,,,,,,,,,,,231.80M,,,,,,,,46.30M,,,46.30M,46.30M,231.80M,,231.80M,,0.0225,0.00,0.0225,0.0225,,0.0225,0.00,0.0225,0.0225,,538.44M,538.44M,0.025,,,
1988-11,130.40M,130.40M,,,,,,,,,,,,,-311.30M,,,,,,,,42.10M,,,42.10M,42.10M,-311.30M,,-311.30M,,0.0782,,0.0782,0.0782,,0.0782,,0.0782,0.0782,,538.44M,538.44M,0.025,,,
1988-08,157.60M,157.60M,,,,,,,,,,,,,157.60M,,,,,,,,56.30M,,,56.30M,56.30M,157.60M,,157.60M,,0.0275,0.00,0.0275,0.0275,,0.0275,0.00,0.0275,0.0275,,538.48M,538.48M,0.025,,,
1988-05,158.70M,158.70M,,,,,,,,,,,,,158.70M,,,,,,,,52.00M,,,52.00M,52.00M,158.70M,,158.70M,,0.025,0.00,0.025,0.025,,0.025,0.00,0.025,0.025,,538.89M,538.89M,0.025,,,
1988-02,152.90M,152.90M,,,,,,,,,,,,,152.90M,,,,,,,,46.00M,,,46.00M,46.00M,152.90M,,152.90M,,0.0225,0.00,0.0225,0.0225,,0.0225,0.00,0.0225,0.0225,,544.99M,544.99M,0.025,,,
1987-11,125.90M,125.90M,,,,,,,,,,,,,-286.10M,,,,,,,,34.40M,,,34.40M,34.40M,-286.10M,,-286.10M,,0.0638,,0.0638,0.0638,,0.0638,,0.0638,0.0638,,538.89M,538.89M,,,,
1987-08,160.10M,160.10M,,,,,,,,,,,,,160.10M,,,,,,,,50.10M,,,50.10M,50.10M,160.10M,,160.10M,,0.0275,0.00,0.0275,0.0275,,0.0275,0.00,0.0275,0.0275,,538.89M,538.89M,,,,
1987-05,156.70M,156.70M,,,,,,,,,,,,,156.70M,,,,,,,,42.20M,,,42.20M,42.20M,156.70M,,156.70M,,0.025,0.00,0.025,0.025,,0.025,0.00,0.025,0.025,,538.89M,538.89M,,,,
1987-02,121.40M,121.40M,,,,,,,,,,,,,121.40M,,,,,,,,26.10M,,,26.10M,26.10M,121.40M,,121.40M,,0.015,0.00,0.015,0.015,,0.015,0.00,0.015,0.015,,538.89M,538.89M,,,,
1986-11,105.20M,105.20M,,,,,,,,,,,,,-214.40M,,,,,,,,28.20M,,,28.20M,28.20M,-214.40M,,-214.40M,,0.0649,,0.0649,0.0649,,0.0649,,0.0649,0.0649,,434.30M,434.30M,,,,
1986-08,105.20M,105.20M,,,,,,,,,,,,,105.20M,,,,,,,,23.20M,,,23.20M,23.20M,105.20M,,105.20M,,0.015,0.00,0.015,0.015,,0.015,0.00,0.015,0.015,,434.30M,434.30M,,,,
1986-05,105.20M,105.20M,,,,,,,,,,,,,105.20M,,,,,,,,23.20M,,,23.20M,23.20M,105.20M,,105.20M,,0.015,0.00,0.015,0.015,,0.015,0.00,0.015,0.015,,434.30M,434.30M,,,,
1986-02,105.20M,105.20M,,,,,,,,,,,,,105.20M,,,,,,,,23.10M,,,23.10M,23.10M,105.20M,,105.20M,,0.015,0.00,0.015,0.015,,0.015,0.00,0.015,0.015,,434.30M,434.30M,,,,
