,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,IncomeStatementDepreciation,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,SharesData(Quarterly),AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2003-12,2.175B,2.175B,1.364B,811.00M,417.00M,75.00M,90.00M,7.00M,-6.00M,,,,,589.00M,222.00M,,,,-6.00M,,190.00M,59.00M,122.00M,,0.00,126.14M,319.00M,97.00M,222.00M,,0.265,0.00,0.1222,0.36,,0.265,-0.0000,0.1170,2003-12,338.90M,343.62M,0.22,,2003-12,,
2003-09,2.206B,2.206B,1.37B,836.00M,395.00M,71.00M,93.00M,7.00M,-6.00M,,,,,566.00M,270.00M,,,,-6.00M,,239.00M,86.00M,142.00M,,,145.84M,370.00M,100.00M,270.00M,,0.00,,0.4262,0.415,,0.00,,0.4262,2003-09,342.17M,342.17M,0.215,,2003-09,,
2003-06,2.304B,2.304B,1.445B,859.00M,389.00M,72.00M,92.00M,8.00M,-7.00M,,,,,561.00M,298.00M,,,,-7.00M,,245.00M,93.00M,152.00M,,,156.34M,398.00M,100.00M,298.00M,,0.00,,0.4629,0.45,,0.00,,0.4577,2003-06,337.78M,341.57M,0.215,,2003-06,,
2003-03,2.071B,2.071B,1.342B,729.00M,377.00M,72.00M,90.00M,7.00M,-4.00M,,,,,546.00M,183.00M,,,,-4.00M,,151.00M,55.00M,84.00M,,-6.00M,86.54M,280.00M,97.00M,183.00M,,-0.015,0.00,0.2525,0.23,,-0.015,-0.0177,0.2525,2003-03,339.13M,339.13M,0.215,,2003-03,,
2002-12,1.99B,1.99B,1.261B,729.00M,366.00M,71.00M,91.00M,8.00M,-14.00M,,,,,536.00M,193.00M,,,,-15.00M,,158.00M,57.00M,94.00M,,0.00,102.95M,292.00M,99.00M,193.00M,,0.00,0.00,0.3065,0.28,,0.00,0.0000,0.3065,2002-12,338.09M,338.09M,0.215,,2002-12,,
2002-09,2.068B,2.068B,1.291B,777.00M,352.00M,68.00M,92.00M,7.00M,25.00M,,,,,519.00M,258.00M,,,,25.00M,,248.00M,89.00M,148.00M,,,131.97M,357.00M,99.00M,258.00M,,0.00,,0.3879,0.435,,0.00,,0.3879,2002-09,340.23M,340.23M,0.215,,2002-09,,
2002-06,2.134B,2.134B,1.325B,809.00M,359.00M,68.00M,92.00M,9.00M,-766.00M,,,,,528.00M,281.00M,,,,-766.00M,,-531.00M,-186.00M,-345.00M,,,152.68M,382.00M,101.00M,281.00M,,0.00,,0.4514,-1.02,,0.00,,0.4442,2002-06,338.24M,339.90M,0.21,,2002-06,,
2002-03,1.875B,1.875B,1.189B,686.00M,342.00M,66.00M,91.00M,8.00M,-62.00M,,,,,507.00M,179.00M,,,,-62.00M,,76.00M,33.00M,43.00M,,-9.00M,80.20M,278.00M,99.00M,179.00M,,-0.025,0.00,0.2344,0.10,,-0.025,-0.0265,0.2344,2002-03,340.00M,340.00M,0.21,,2002-03,,
2001-12,1.907B,1.907B,1.21B,697.00M,354.00M,66.00M,94.00M,18.00M,-25.00M,,,,,532.00M,165.00M,,,,-10.00M,,133.00M,50.00M,83.00M,,,98.60M,277.00M,112.00M,165.00M,,0.00,,0.2911,0.245,,0.00,,0.2911,2001-12,338.35M,338.63M,0.21,,2001-12,,
2001-09,1.999B,1.999B,1.261B,738.00M,348.00M,66.00M,93.00M,18.00M,-17.00M,,,,,525.00M,213.00M,,,,-17.00M,,148.00M,55.00M,93.00M,,,103.68M,324.00M,111.00M,213.00M,,0.00,,0.3122,0.28,,0.00,,0.3066,2001-09,332.14M,338.18M,0.21,,2001-09,,
2001-06,2.164B,2.164B,1.342B,822.00M,342.00M,67.00M,94.00M,18.00M,6.00M,,,,,521.00M,301.00M,,,,6.00M,,261.00M,94.00M,155.00M,,,151.16M,413.00M,112.00M,301.00M,,0.00,,0.4486,0.46,,0.00,,0.4487,2001-06,336.60M,338.60M,0.21,,2001-06,,
2001-03,2.099B,2.099B,1.324B,775.00M,351.00M,67.00M,94.00M,18.00M,-83.00M,,,,,530.00M,245.00M,,,,-83.00M,,104.00M,48.00M,56.00M,,,105.80M,357.00M,112.00M,245.00M,,0.00,,0.3117,0.165,,0.00,,0.3117,2001-03,339.39M,339.39M,0.21,,2001-03,,
2000-12,2.058B,2.058B,1.286B,772.00M,365.00M,70.00M,93.00M,18.00M,-61.00M,,,,,546.00M,226.00M,,,,-22.00M,,162.00M,36.00M,126.00M,,,173.44M,337.00M,111.00M,226.00M,,0.00,,0.5159,0.375,,0.00,,0.5146,2000-12,336.78M,339.96M,0.20,,2000-12,,
2000-09,2.144B,2.144B,1.337B,807.00M,329.00M,72.00M,94.00M,18.00M,-2.00M,,,,,513.00M,294.00M,,,,-2.00M,,242.00M,92.00M,150.00M,,,151.24M,406.00M,112.00M,294.00M,,0.00,,0.4386,0.435,,0.00,,0.4336,2000-09,345.60M,348.40M,0.20,,2000-09,,
2000-06,2.21B,2.21B,1.327B,883.00M,343.00M,70.00M,94.00M,18.00M,29.00M,,,,,525.00M,358.00M,,,,29.00M,,337.00M,132.00M,205.00M,,,187.36M,470.00M,112.00M,358.00M,,0.00,,0.5392,0.59,,0.00,,0.5347,2000-06,347.46M,350.43M,0.20,,2000-06,,
2000-03,2.152B,2.152B,1.319B,833.00M,327.00M,70.00M,93.00M,19.00M,-25.00M,,,,,509.00M,324.00M,,,,-25.00M,,248.00M,109.00M,139.00M,,,154.00M,436.00M,112.00M,324.00M,,0.00,,0.4431,0.40,,0.00,,0.4377,2000-03,348.20M,351.40M,0.20,,2000-03,,
1999-12,2.291B,2.291B,1.483B,808.00M,322.00M,78.00M,,,21.00M,,,,,545.00M,263.00M,,,,49.00M,,267.00M,105.00M,162.00M,,,149.26M,408.00M,145.00M,263.00M,,0.00,,0.4283,0.465,,0.00,,0.4240,1999-12,346.80M,353.81M,0.19,,1999-12,,
1999-09,1.954B,1.954B,1.206B,748.00M,315.00M,72.00M,,,-50.00M,,,,,479.00M,269.00M,,,,-50.00M,,176.00M,77.00M,99.00M,,,129.00M,361.00M,92.00M,269.00M,,0.00,,0.3714,0.285,,0.00,,0.3655,1999-09,347.40M,350.80M,0.19,,1999-09,,
1999-06,1.947B,1.947B,1.165B,782.00M,307.00M,67.00M,,,12.00M,,,,,461.00M,321.00M,,,,12.00M,,300.00M,116.00M,184.00M,,,176.64M,408.00M,87.00M,321.00M,,0.00,,0.5088,0.53,,0.00,,0.5040,1999-06,347.00M,350.40M,0.19,,1999-06,,
1999-03,1.803B,1.803B,1.103B,700.00M,286.00M,67.00M,,,-22.00M,,,,,444.00M,256.00M,,,,-22.00M,,202.00M,79.00M,123.00M,,,136.40M,347.00M,91.00M,256.00M,,0.00,,0.3934,0.355,,0.00,,0.3881,1999-03,348.40M,351.60M,0.19,,1999-03,,
1998-12,2.03B,2.03B,1.304B,726.00M,295.00M,69.00M,,,-10.00M,,,,,480.00M,246.00M,,,,20.00M,,248.00M,86.00M,162.00M,,,168.53M,362.00M,116.00M,246.00M,,0.00,,0.4734,0.455,,0.00,,0.4733,1998-12,354.50M,356.36M,0.18,,1998-12,,
1998-09,1.804B,1.804B,1.082B,722.00M,282.00M,68.00M,,,119.00M,,,,,437.00M,285.00M,,,,119.00M,,372.00M,124.00M,248.00M,,,168.67M,372.00M,87.00M,285.00M,,0.00,,0.4759,0.70,,0.00,,0.4730,1998-09,354.00M,357.40M,0.18,,1998-09,,
1998-06,2.004B,2.004B,1.186B,818.00M,293.00M,67.00M,,,-5.00M,,,,,449.00M,369.00M,,,,-5.00M,,329.00M,130.00M,199.00M,,,202.02M,458.00M,89.00M,369.00M,,0.00,,0.5735,0.565,,0.00,,0.5634,1998-06,354.00M,358.40M,0.18,,1998-06,,
