,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2018-03,591.63M,591.63M,247.34M,344.30M,147.89M,37.43M,11.67M,-10.92M,7.719M,4.228M,-3.491M,,197.00M,147.30M,4.228M,7.719M,-3.491M,-13.66M,-3.491M,130.14M,20.02M,110.12M,110.12M,119.37M,167.17M,29.31M,137.86M,0.77,,,0.8347,0.77,0.76,,,0.8242,0.76,142.90M,143.98M,0.35
2017-12,601.27M,601.27M,251.48M,349.79M,151.82M,40.64M,11.32M,0.00,7.37M,4.579M,-2.791M,,203.78M,146.02M,4.579M,7.37M,-2.791M,-1.46M,-2.791M,141.76M,132.24M,9.527M,9.527M,9.527M,178.51M,29.37M,149.14M,0.07,,,0.07,0.07,0.07,,,0.07,0.07,142.72M,143.86M,0.35
2017-09,523.66M,523.66M,218.05M,305.60M,143.85M,37.42M,11.78M,,7.785M,4.87M,-2.915M,,193.05M,112.56M,4.87M,7.785M,-2.915M,-1.158M,-2.915M,108.48M,22.36M,86.12M,86.12M,86.12M,145.84M,29.57M,116.27M,0.61,,,0.61,0.61,0.6,,,0.6,0.6,142.25M,143.48M,0.35
2017-06,556.69M,556.69M,232.91M,323.78M,147.94M,36.71M,11.77M,-1.955M,5.905M,2.595M,-3.31M,,196.42M,127.36M,2.595M,5.905M,-3.31M,-2.429M,-3.31M,121.62M,20.01M,101.61M,101.61M,103.25M,155.70M,28.17M,127.53M,0.72,,,0.7315,0.72,0.71,,,0.7214,0.71,141.64M,142.72M,0.33
2017-03,514.20M,514.20M,214.49M,299.71M,137.86M,35.13M,11.38M,-7.945M,7.336M,4.425M,-2.911M,,184.37M,115.34M,4.425M,7.336M,-2.911M,-4.441M,-2.911M,107.99M,20.17M,87.82M,87.82M,94.28M,143.81M,28.48M,115.33M,0.62,,,0.6656,0.62,0.62,,,0.6653,0.62,141.71M,142.72M,0.33
2016-12,530.40M,530.40M,221.33M,309.07M,139.31M,38.19M,11.69M,-22.99M,6.628M,4.191M,-2.437M,,189.19M,119.88M,4.191M,6.628M,-2.437M,-21.24M,-2.437M,96.21M,19.46M,76.74M,76.74M,95.09M,130.56M,27.73M,102.84M,0.54,,,0.6698,0.54,0.54,,,0.6691,0.54,141.31M,142.10M,0.33
2016-09,465.45M,465.45M,196.27M,269.18M,128.85M,34.45M,11.74M,,6.401M,3.908M,-2.493M,,175.04M,94.15M,3.908M,6.401M,-2.493M,1.272M,-2.493M,92.92M,16.82M,76.11M,76.11M,76.11M,127.10M,27.78M,99.33M,0.54,,,0.54,0.54,0.54,,,0.54,0.54,140.78M,142.09M,0.33
2016-06,518.65M,518.65M,217.16M,301.49M,135.84M,34.38M,12.63M,-0.75M,,,-2.374M,,182.85M,118.64M,,,-2.374M,1.169M,-2.374M,117.43M,34.31M,83.13M,83.13M,83.66M,160.56M,27.02M,133.54M,0.59,,,0.5938,0.59,0.59,,,0.5937,0.59,140.55M,141.68M,0.3
2016-03,453.88M,453.88M,194.00M,259.88M,122.90M,28.11M,4.558M,0.00,,,2.131M,,155.57M,104.31M,,,2.131M,2.553M,2.131M,109.00M,18.20M,90.79M,90.79M,90.79M,124.22M,19.91M,104.31M,0.65,,,0.65,0.65,0.64,,,0.64,0.64,140.19M,141.23M,0.3
2015-12,454.54M,454.54M,188.03M,266.51M,118.22M,28.97M,4.429M,-6.914M,,,2.476M,,151.62M,114.89M,,,2.476M,-3.672M,2.476M,113.70M,18.12M,95.58M,95.58M,101.39M,136.41M,21.52M,114.89M,0.68,,,0.7216,0.68,0.68,,,0.7211,0.68,139.93M,141.42M,0.3
2015-09,411.65M,411.65M,173.03M,238.62M,111.10M,27.19M,2.307M,,,,3.422M,,140.59M,98.02M,,,3.422M,-2.003M,3.422M,99.44M,16.53M,82.92M,82.92M,82.92M,116.43M,18.40M,98.02M,0.59,,,0.59,0.59,0.58,,,0.58,0.58,140.31M,142.28M,0.3
2015-06,453.06M,453.06M,193.63M,259.43M,129.25M,28.52M,2.11M,0.00,,,4.665M,,159.88M,99.55M,,,4.665M,-0.096M,4.665M,104.12M,16.65M,87.46M,87.46M,87.46M,149.75M,17.75M,132.00M,0.62,,,0.62,0.62,0.61,,,0.61,0.61,140.85M,142.91M,0.28
2015-03,422.50M,422.50M,171.07M,251.43M,116.34M,27.02M,2.203M,0.00,,,4.761M,,145.56M,105.87M,,,4.761M,3.729M,4.761M,114.36M,23.38M,90.98M,90.98M,90.98M,123.73M,17.86M,105.87M,0.65,,,0.65,0.65,0.64,,,0.64,0.64,140.79M,142.81M,0.28
2014-12,422.95M,422.95M,159.73M,263.22M,122.52M,29.29M,2.262M,0.00,,,5.418M,,154.08M,109.15M,,,5.418M,0.947M,5.418M,115.51M,24.33M,91.18M,91.18M,91.18M,128.02M,18.87M,109.15M,0.65,,,0.65,0.65,0.64,,,0.64,0.64,140.05M,142.20M,0.28
2014-09,380.40M,380.40M,143.09M,237.31M,110.52M,30.02M,2.094M,,,,5.584M,,142.64M,94.68M,,,5.584M,1.671M,5.584M,101.93M,18.67M,83.26M,83.26M,83.26M,113.26M,18.58M,94.68M,0.59,,,0.59,0.59,0.58,,,0.58,0.58,140.13M,142.68M,0.28
2014-06,415.21M,415.21M,153.95M,261.26M,122.24M,31.80M,2.408M,,,,5.925M,,156.45M,104.81M,,,5.925M,-4.102M,5.925M,106.64M,18.90M,87.74M,87.74M,87.74M,150.43M,19.82M,130.61M,0.62,,,0.62,0.62,0.61,,,0.61,0.61,140.57M,143.16M,0.25
2014-03,397.76M,397.76M,145.97M,251.79M,115.10M,29.53M,2.459M,,,,6.015M,,147.09M,104.70M,,,6.015M,2.199M,6.015M,112.91M,22.94M,89.97M,89.97M,89.97M,121.88M,17.18M,104.70M,0.64,,,0.64,0.64,0.63,,,0.63,0.63,140.96M,143.38M,0.25
2013-12,384.34M,384.34M,135.58M,248.76M,111.75M,29.54M,2.454M,,,,6.752M,,143.74M,105.02M,,,6.752M,-2.311M,6.752M,109.46M,22.82M,86.64M,86.64M,86.64M,123.60M,18.58M,105.02M,0.61,,,0.61,0.61,0.6,,,0.6,0.6,142.20M,145.34M,0.25
2013-09,357.66M,357.66M,129.68M,227.98M,101.32M,27.36M,2.412M,,,,6.414M,,131.10M,96.88M,,,6.414M,-1.228M,6.414M,102.07M,21.14M,80.93M,80.93M,80.93M,114.75M,17.87M,96.88M,0.57,,,0.57,0.57,0.56,,,0.56,0.56,142.00M,145.46M,0.25
2013-06,414.61M,414.61M,154.76M,259.85M,115.06M,31.39M,2.471M,,,,7.439M,,173.68M,86.17M,,,7.439M,-5.778M,7.439M,87.83M,14.81M,73.01M,73.01M,73.01M,142.51M,19.66M,122.85M,0.51,,,0.51,0.51,0.5,,,0.5,0.5,142.67M,146.20M,0.17
2013-03,383.58M,383.58M,144.13M,239.45M,109.63M,31.19M,2.533M,,,,8.078M,,143.35M,96.10M,,,8.078M,3.815M,8.078M,107.99M,23.08M,84.91M,84.91M,84.91M,116.77M,20.67M,96.10M,0.59,,,0.59,0.59,0.58,,,0.58,0.58,143.29M,146.64M,0.17
2012-12,376.54M,376.54M,143.82M,232.71M,107.82M,30.33M,2.501M,,,,8.498M,,140.64M,92.07M,,,8.498M,-2.168M,8.498M,98.40M,20.46M,77.94M,77.94M,77.94M,111.37M,19.30M,92.07M,0.54,,,0.54,0.54,0.53,,,0.53,0.53,143.21M,146.69M,0.17
2012-09,339.73M,339.73M,131.08M,208.65M,98.30M,27.22M,2.636M,,,,8.471M,,128.16M,80.49M,,,8.471M,1.941M,8.471M,90.90M,19.64M,71.26M,71.26M,71.26M,99.14M,18.65M,80.49M,0.5,,,0.5,0.5,0.49,,,0.49,0.49,142.65M,146.06M,0.17
2012-06,371.93M,371.93M,145.46M,226.47M,105.91M,27.91M,2.919M,,,,7.326M,,136.74M,89.73M,,,7.326M,1.453M,7.326M,98.51M,21.66M,76.85M,76.85M,76.85M,154.48M,22.43M,132.05M,0.54,,,0.54,0.54,0.53,,,0.53,0.53,142.81M,146.38M,
2012-03,349.07M,349.07M,138.58M,210.50M,101.96M,28.40M,3.592M,,,,7.65M,,133.95M,76.55M,,,7.65M,-0.191M,7.65M,84.01M,19.39M,64.61M,64.61M,64.61M,96.57M,20.03M,76.55M,0.45,,,0.45,0.45,0.44,,,0.44,0.44,144.02M,147.16M,
2011-12,332.74M,332.74M,134.02M,198.72M,100.55M,27.22M,3.691M,,,,7.181M,,131.46M,67.25M,,,7.181M,8.496M,7.181M,82.93M,20.06M,62.87M,62.87M,62.87M,90.25M,22.99M,67.25M,0.43,,,0.43,0.43,0.42,,,0.42,0.42,146.37M,149.52M,
2011-09,314.77M,314.77M,129.72M,185.05M,94.20M,26.21M,3.771M,,,,6.924M,,124.18M,60.87M,,,6.924M,-1.301M,6.924M,66.50M,15.98M,50.52M,50.52M,50.52M,81.28M,20.41M,60.87M,0.34,,,0.34,0.34,0.33,,,0.33,0.33,150.37M,154.05M,
2011-06,341.89M,341.89M,143.02M,198.87M,103.33M,26.98M,2.87M,-7.506M,,,8.278M,,133.17M,65.70M,,,8.278M,3.234M,8.278M,77.21M,18.74M,58.47M,58.47M,64.16M,123.75M,19.51M,104.24M,0.38,0.0,,0.4172,0.38,0.37,0.0,,0.4063,0.37,152.66M,156.71M,
2011-03,313.26M,313.26M,130.76M,182.50M,92.55M,23.32M,2.673M,0.398M,,,6.663M,,118.54M,63.96M,,,6.663M,0.398M,6.663M,71.02M,17.67M,53.35M,53.35M,53.05M,82.08M,18.12M,63.96M,0.35,0.0,,0.348,0.35,0.34,0.0,,0.3381,0.34,153.25M,157.62M,
2010-12,305.99M,305.99M,119.99M,186.00M,91.58M,21.97M,2.573M,3.043M,,,6.005M,,116.13M,69.87M,,,6.005M,3.043M,6.005M,78.92M,20.46M,58.46M,58.46M,56.20M,87.22M,17.35M,69.87M,0.38,0.0,,0.3652,0.38,0.37,0.0,,0.3557,0.37,152.42M,157.59M,
2010-09,282.01M,282.01M,108.06M,173.95M,84.79M,19.74M,2.03M,4.063M,,,5.097M,,106.56M,67.39M,,,5.097M,4.063M,5.097M,76.55M,19.85M,56.71M,56.71M,53.70M,83.04M,15.64M,67.39M,0.37,0.0,,0.3501,0.37,0.36,0.0,,0.3408,0.36,151.47M,156.75M,
2010-06,291.57M,291.57M,117.06M,174.52M,83.87M,19.95M,2.074M,-7.765M,,,4.646M,,105.90M,68.62M,,,4.646M,-1.337M,4.646M,71.93M,18.76M,53.17M,53.17M,58.91M,103.97M,15.47M,88.49M,0.35,,,0.3878,0.35,0.34,,,0.3765,0.34,151.69M,157.32M,
2010-03,278.66M,278.66M,112.08M,166.58M,84.13M,18.28M,1.992M,1.387M,,,4.092M,,104.40M,62.18M,,,4.092M,1.387M,4.092M,67.66M,18.82M,48.83M,48.83M,47.83M,78.30M,16.12M,62.18M,0.32,0.0,,0.3134,0.32,0.31,0.0,,0.3036,0.31,150.88M,155.66M,
2009-12,275.13M,275.13M,110.93M,164.20M,84.09M,19.06M,2.13M,1.009M,,,3.166M,,105.28M,58.92M,,,3.166M,1.009M,3.166M,63.10M,17.11M,45.98M,45.98M,45.25M,74.80M,15.88M,58.92M,0.31,0.0,,0.3051,0.31,0.3,0.0,,0.2952,0.3,150.25M,154.07M,
2009-09,246.99M,246.99M,96.81M,150.18M,76.76M,17.91M,1.845M,2.118M,,,2.125M,,96.52M,53.66M,,,2.125M,2.118M,2.125M,57.91M,15.80M,42.10M,42.10M,40.56M,67.76M,14.09M,53.66M,0.28,0.0,,0.2698,0.28,0.27,0.0,,0.26,0.27,150.79M,153.52M,
2009-06,251.96M,251.96M,95.25M,156.71M,81.09M,16.97M,1.756M,1.004M,,,2.09M,,99.81M,56.90M,,,2.09M,3.392M,2.09M,62.38M,17.01M,45.37M,45.37M,44.64M,71.80M,14.90M,56.90M,0.305,0.0,,0.3002,0.305,0.295,0.0,,0.2902,0.295,150.68M,153.32M,
2009-03,227.86M,227.86M,88.92M,138.94M,70.87M,13.88M,1.677M,-1.142M,,,2.218M,,86.42M,52.52M,,,2.218M,-1.142M,2.218M,53.59M,14.40M,39.20M,39.20M,40.03M,65.45M,12.94M,52.52M,0.26,0.0,,0.2655,0.26,0.255,0.0,,0.2604,0.255,151.64M,154.51M,
2008-12,222.98M,222.98M,91.96M,131.02M,70.09M,14.92M,1.694M,-0.015M,,,2.666M,,86.70M,44.33M,,,2.666M,-0.015M,2.666M,46.98M,13.13M,33.85M,33.85M,33.86M,56.10M,11.77M,44.33M,0.225,0.0,,0.2251,0.225,0.22,0.0,,0.2201,0.22,151.48M,154.72M,
2008-09,217.93M,217.93M,90.80M,127.13M,71.34M,17.29M,1.933M,-1.068M,,,,,90.56M,36.56M,,,,-1.068M,,38.73M,10.70M,28.03M,28.03M,28.80M,50.92M,14.36M,36.56M,0.185,0.0,,0.1901,0.185,0.18,0.0,,0.185,0.18,151.23M,154.36M,
2008-06,235.15M,235.15M,101.07M,134.08M,77.44M,17.59M,2.066M,1.526M,,,,,99.10M,34.99M,,,,1.526M,,41.63M,12.00M,29.63M,29.63M,28.55M,51.54M,16.55M,34.99M,0.195,0.0,,0.1879,0.195,0.19,0.0,,0.1831,0.19,153.96M,157.41M,
2008-03,211.83M,211.83M,85.27M,126.56M,70.12M,15.00M,1.987M,1.845M,,,,,87.11M,39.45M,,,,1.845M,,43.56M,13.88M,29.68M,29.68M,28.43M,54.19M,14.74M,39.45M,0.19,0.0,,0.1819,0.19,0.19,0.0,,0.182,0.19,155.03M,157.21M,
2007-12,202.68M,202.68M,81.35M,121.33M,67.64M,14.92M,1.917M,-0.358M,,,,,84.48M,36.85M,,,,-0.358M,,38.85M,11.99M,26.86M,26.86M,27.11M,50.66M,13.81M,36.85M,0.175,0.0,,0.1766,0.175,0.17,0.0,,0.1716,0.17,154.89M,157.20M,
2007-09,185.74M,185.74M,73.96M,111.78M,62.88M,13.01M,1.821M,-2.563M,,,,,77.72M,34.06M,,,,-2.563M,,33.81M,9.687M,24.12M,24.12M,25.95M,48.45M,14.39M,34.06M,0.155,0.0,,0.1668,0.155,0.155,0.0,,0.1666,0.155,155.14M,157.88M,
2007-06,191.31M,191.31M,74.10M,117.21M,65.21M,14.16M,1.783M,2.509M,,,,,81.16M,36.05M,,,,2.509M,,40.44M,12.77M,27.67M,27.67M,25.96M,49.18M,13.14M,36.05M,0.175,0.0,,0.1639,0.175,0.175,0.0,,0.1641,0.175,155.10M,156.84M,
2007-03,182.99M,182.99M,128.76M,54.23M,61.34M,13.06M,1.73M,-0.669M,,,,,76.12M,-21.89M,,,,-0.669M,,-20.95M,-5.588M,-15.36M,-15.36M,-14.87M,-9.634M,12.26M,-21.89M,-0.1,0.0,,-0.0968,-0.1,-0.1,0.0,,-0.0968,-0.1,154.07M,154.07M,
2006-12,178.43M,178.43M,66.67M,111.76M,57.34M,12.03M,1.702M,0.067M,,,,,71.07M,40.69M,,,,0.067M,,42.24M,13.25M,29.00M,29.00M,28.95M,52.73M,12.04M,40.69M,0.19,0.0,,0.1897,0.19,0.185,0.0,,0.1847,0.185,152.72M,156.28M,
2006-09,163.60M,163.60M,62.31M,101.30M,53.44M,10.86M,1.681M,-0.574M,,,,,65.98M,35.32M,,,,-0.574M,,36.24M,11.24M,25.00M,25.00M,25.39M,46.02M,10.71M,35.32M,0.165,0.0,,0.1676,0.165,0.16,0.0,,0.1625,0.16,151.79M,156.11M,
2006-06,171.17M,171.17M,66.99M,104.18M,52.93M,11.06M,1.666M,-1.457M,,,,,66.42M,37.77M,,,,-1.457M,,38.86M,15.77M,23.09M,23.09M,23.97M,48.86M,11.09M,37.77M,0.155,0.0,,0.1608,0.155,0.145,0.0,,0.1506,0.145,151.00M,155.76M,
2006-03,162.28M,162.28M,61.41M,100.87M,53.41M,9.143M,1.57M,0.153M,,,,,64.12M,36.74M,,,,0.153M,,38.12M,11.76M,26.36M,26.36M,26.26M,47.56M,10.82M,36.74M,0.18,0.0,,0.1793,0.18,0.17,0.0,,0.1693,0.17,145.10M,154.81M,
2005-12,146.42M,146.42M,54.69M,91.73M,49.15M,8.588M,1.545M,0.857M,,,,,59.28M,32.44M,,,,0.857M,,32.55M,10.23M,22.31M,22.31M,21.73M,42.32M,9.871M,32.44M,0.155,0.0,,0.1509,0.155,0.15,0.0,,0.1462,0.15,141.84M,154.37M,
2005-09,127.13M,127.13M,47.01M,80.12M,44.68M,8.425M,1.545M,-0.665M,,,,,54.65M,25.47M,,,,-0.665M,,23.87M,7.425M,16.44M,16.44M,16.90M,35.31M,9.837M,25.47M,0.115,0.0,,0.1183,0.115,0.115,0.0,,0.118,0.115,140.70M,152.55M,
2005-06,125.42M,125.42M,45.65M,79.78M,40.62M,8.113M,,-6.704M,,,,,50.10M,29.67M,,,,-6.704M,,23.13M,7.553M,15.58M,15.58M,20.09M,38.66M,8.984M,29.67M,0.11,0.0,,0.1423,0.11,0.11,0.0,,0.1398,0.11,139.62M,151.64M,
2005-03,108.45M,108.45M,38.16M,70.30M,34.45M,7.24M,,-1.919M,,,,,41.69M,28.61M,,,,-1.919M,,26.70M,8.819M,17.88M,17.88M,19.16M,36.09M,7.486M,28.61M,0.13,0.0,,0.1393,0.13,0.125,0.0,,0.1335,0.125,137.93M,150.98M,
2004-12,103.89M,103.89M,35.52M,68.38M,33.47M,8.342M,,-0.279M,,,,,41.81M,26.57M,,,,-0.279M,,26.13M,8.725M,17.40M,17.40M,17.59M,33.40M,6.83M,26.57M,0.13,0.0,,0.1314,0.13,0.125,0.0,,0.1263,0.125,136.05M,148.41M,
2004-09,87.73M,87.73M,31.32M,56.41M,26.66M,6.819M,,-1.937M,,,,,33.48M,22.93M,,,,-1.937M,,20.67M,6.744M,13.93M,13.93M,15.23M,28.75M,5.826M,22.93M,0.105,0.0,,0.1146,0.105,0.1,0.0,,0.1093,0.1,135.55M,141.03M,
2004-06,92.89M,92.89M,33.29M,59.60M,28.55M,6.028M,,-0.952M,,,,,35.08M,24.52M,,,,-0.952M,,23.59M,7.732M,15.86M,15.86M,16.49M,29.02M,4.495M,24.52M,0.1175,0.0,,0.1222,0.1175,0.1125,0.0,,0.117,0.1125,135.29M,141.24M,
2004-03,91.28M,91.28M,33.73M,57.55M,28.20M,6.858M,,0.211M,,,,,35.06M,22.49M,,,,0.211M,,22.26M,7.236M,15.03M,15.03M,14.89M,27.24M,4.745M,22.49M,0.1125,0.0,,0.1114,0.1125,0.1075,0.0,,0.1065,0.1075,134.56M,140.22M,
2003-12,82.29M,82.29M,29.87M,52.42M,25.76M,7.266M,,1.883M,,,,,33.03M,19.39M,,,,1.883M,,20.91M,6.757M,14.15M,14.15M,12.88M,23.90M,4.505M,19.39M,0.105,0.0,,0.0955,0.105,0.1,0.0,,0.0909,0.1,134.65M,140.18M,
2003-09,72.88M,72.88M,25.72M,47.16M,22.19M,6.017M,,-0.652M,,,,,28.20M,18.95M,,,,-0.652M,,17.91M,5.659M,12.25M,12.25M,12.69M,23.08M,4.122M,18.95M,0.09,0.0,,0.0933,0.09,0.0875,0.0,,0.0907,0.0875,134.60M,140.36M,
2003-06,80.70M,80.70M,30.33M,50.36M,25.58M,6.235M,,1.786M,,,,,31.81M,18.55M,,,,1.786M,,19.92M,6.395M,13.52M,13.52M,12.31M,21.54M,2.993M,18.55M,0.1,0.0,,0.0909,0.1,0.0975,0.0,,0.0888,0.0975,133.10M,138.91M,
2003-03,69.00M,69.00M,25.81M,43.19M,21.01M,5.068M,,1.406M,,,,,26.08M,17.11M,,,,1.406M,,18.01M,5.757M,12.25M,12.25M,11.29M,20.49M,3.388M,17.11M,0.0925,0.0,,0.0853,0.0925,0.0875,0.0,,0.0806,0.0875,132.26M,138.26M,
2002-12,65.29M,65.29M,23.45M,41.84M,20.93M,4.836M,,-0.127M,,,,,25.77M,16.07M,,,,-0.127M,,15.20M,4.818M,10.38M,10.38M,10.47M,19.30M,3.229M,16.07M,0.0775,0.0,,0.0782,0.0775,0.075,0.0,,0.0756,0.075,131.98M,137.38M,
2002-09,58.59M,58.59M,20.89M,37.70M,17.69M,4.395M,,-0.729M,,,,0.10M,22.19M,15.51M,,,,-0.729M,,14.00M,4.428M,9.571M,9.571M,10.07M,18.48M,2.973M,15.51M,0.0725,0.0,,0.0763,0.0725,0.07,0.0,,0.0737,0.07,131.53M,136.48M,
2002-06,56.25M,56.25M,19.44M,36.81M,19.01M,4.14M,,4.487M,,,,103.67M,126.82M,-90.01M,,,,4.487M,,17.38M,5.715M,11.66M,9.81M,8.652M,-88.00M,2.011M,-90.01M,0.09,-0.015,,0.067,0.075,0.085,-0.015,,0.0629,0.0725,130.88M,136.07M,
2002-03,52.78M,52.78M,19.00M,33.77M,16.41M,3.792M,,-0.567M,,,,1.00M,21.20M,12.57M,,,,-0.567M,,12.11M,3.585M,8.526M,10.38M,8.925M,15.44M,2.871M,12.57M,0.065,0.015,0.0144,0.0681,0.08,0.0625,0.015,0.0137,0.0654,0.0775,128.87M,135.70M,
2001-12,48.92M,48.92M,17.09M,31.84M,14.77M,3.617M,,-0.079M,,,,,18.39M,13.45M,,,,-0.079M,,12.53M,3.755M,8.779M,8.779M,8.834M,16.00M,2.559M,13.45M,0.0675,0.0,,0.0679,0.0675,0.065,0.0,,0.0654,0.065,128.17M,137.17M,
2001-09,46.13M,46.13M,15.30M,30.83M,14.28M,3.361M,,0.117M,,,,,17.65M,13.19M,,,,0.117M,,12.57M,4.031M,8.538M,8.538M,8.459M,15.72M,2.531M,13.19M,0.0675,0.0,,0.0669,0.0675,0.0625,0.0,,0.0619,0.0625,126.89M,136.37M,
2001-06,47.03M,47.03M,20.99M,26.04M,15.87M,3.235M,,0.683M,,,,,19.11M,6.933M,,,,0.683M,,12.72M,4.369M,8.346M,8.346M,7.898M,9.67M,2.737M,6.933M,0.065,0.0,,0.0614,0.065,0.0625,0.0,,0.0592,0.0625,125.70M,135.78M,
2001-03,42.68M,42.68M,11.79M,30.89M,13.73M,3.017M,,-17.78M,,,,-1.965M,16.74M,14.14M,,,,-17.78M,,-5.856M,4.338M,-10.19M,-10.19M,0.4734M,16.11M,1.965M,14.14M,-0.0825,0.0,,0.0028,-0.0825,-0.0825,0.0,,-0.0033,-0.0825,124.98M,134.76M,
