,NetIncome,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2003-12,69.00M,,,,,-80.00M,-799.00M,254.00M,-63.00M,,,,,,,,167.00M,86.00M,,422.00M,,-343.00M,,1.015B,,,-5.00M,-348.00M,,,,-548.00M,,,,,,,0.00,,,105.00M,,339.00M,179.00M,,518.00M,,,,,,,AOR,Restated
2003-09,146.00M,,,,,-30.00M,253.00M,253.00M,102.00M,,,,,,,,-371.00M,-371.00M,,100.00M,,-306.00M,,-306.00M,,,47.00M,-259.00M,,,,-152.00M,,,,,,,-27.00M,,,-179.00M,,677.00M,-338.00M,,339.00M,,,,,,,,
2003-06,252.00M,,,,,-154.00M,251.00M,251.00M,23.00M,,,,,,,,199.00M,199.00M,,571.00M,,-366.00M,,-366.00M,,,509.00M,143.00M,,,,-206.00M,,,,,,,-27.00M,,,-233.00M,,196.00M,481.00M,,677.00M,,,,,,,,
2003-03,176.00M,,,,,19.00M,295.00M,295.00M,45.00M,,,,,,,,-47.00M,-47.00M,,488.00M,,-343.00M,,-343.00M,,,30.00M,-313.00M,,,,-122.00M,,,,,,,-54.00M,,,-176.00M,,197.00M,-1.00M,,196.00M,,,,,,,,
2002-12,-371.00M,,,,,-592.00M,-1.012B,106.00M,-188.00M,,,,,,,,143.00M,34.00M,,538.00M,,-327.00M,-363.00M,844.00M,,,390.00M,-300.00M,,,,-89.00M,-28.00M,,-28.00M,,,,0.00,,,-89.00M,,48.00M,149.00M,,197.00M,,-28.00M,,,,,AOR,Restated
2002-09,-136.00M,,,,,415.00M,342.00M,342.00M,-65.00M,,,,,,,,-123.00M,-123.00M,,433.00M,,-330.00M,363.00M,33.00M,,,-211.00M,-178.00M,,,,-215.00M,0.00,,0.00,,,,-27.00M,,,-242.00M,,35.00M,13.00M,,48.00M,,0.00,,,,,,
2002-06,148.00M,,,,,48.00M,368.00M,368.00M,-3.00M,,,,,,,,22.00M,22.00M,,583.00M,,-425.00M,-229.00M,-654.00M,,,235.00M,-419.00M,,,,-179.00M,16.00M,,16.00M,,,,-27.00M,,,-190.00M,,61.00M,-26.00M,,35.00M,,16.00M,,,,,,
2002-03,141.00M,,,,,12.00M,302.00M,302.00M,-2.00M,,,,,,,,-42.00M,-42.00M,,411.00M,,-452.00M,229.00M,-223.00M,,,24.00M,-199.00M,,,,-147.00M,12.00M,,12.00M,,,,-53.00M,,,-188.00M,,37.00M,24.00M,,61.00M,,12.00M,,,,,,
2001-12,54.00M,,,,,-78.00M,-664.00M,169.00M,-35.00M,,,,,,,,67.00M,-108.00M,,326.00M,,-489.00M,,2.012B,0.00,,-32.00M,-521.00M,,,,167.00M,-59.00M,0.00,-59.00M,,,,0.00,,,167.00M,,65.00M,-28.00M,,37.00M,,-59.00M,,,0.00,,AOR,Restated
2001-09,166.00M,,,,,39.00M,254.00M,254.00M,41.00M,,,,,,,,137.00M,137.00M,,637.00M,,-545.00M,,-545.00M,-2.72B,,79.00M,-3.186B,,,,2.66B,3.00M,-80.00M,-77.00M,,,,-27.00M,,,2.556B,,58.00M,7.00M,,65.00M,,3.00M,,,-80.00M,,,
2001-06,357.00M,,,,,-1.00M,229.00M,229.00M,26.00M,,,,,,,,-367.00M,-367.00M,,244.00M,,-1.136B,,-1.136B,,,-30.00M,-1.166B,,,,288.00M,31.00M,-14.00M,17.00M,,,,-27.00M,,,278.00M,,700.00M,-644.00M,2.00M,58.00M,,31.00M,,,-14.00M,,,
2001-03,337.00M,,,,,40.00M,181.00M,181.00M,32.00M,,,,,,,,163.00M,163.00M,,753.00M,,-331.00M,,-331.00M,,,-1.00M,-332.00M,,,,-10.00M,25.00M,-6.00M,19.00M,,,,-40.00M,,,-31.00M,,312.00M,390.00M,-2.00M,700.00M,,25.00M,,,-6.00M,,,
2000-12,340.00M,,,,,-42.00M,-516.00M,198.00M,-17.00M,,,,,,,,-9.00M,-162.00M,,364.00M,,-328.00M,,610.00M,,,76.00M,-290.00M,,,,3.00M,-51.00M,-32.00M,-83.00M,,,,0.00,,,-21.00M,,259.00M,53.00M,,312.00M,,-51.00M,,,-32.00M,,,Restated
2000-09,257.00M,,,,,6.00M,175.00M,175.00M,92.00M,,,,,,,,-7.00M,-7.00M,,523.00M,,-205.00M,-10.00M,-215.00M,,,-2.00M,-217.00M,,,,-118.00M,31.00M,-126.00M,-95.00M,,,,-13.00M,,,-226.00M,,178.00M,80.00M,1.00M,259.00M,,31.00M,,,-126.00M,,,
2000-06,202.00M,,,,,5.00M,167.00M,167.00M,63.00M,,,,,,,,34.00M,34.00M,,471.00M,,-243.00M,0.00,-243.00M,,,,-243.00M,,,,-23.00M,15.00M,-52.00M,-37.00M,,,,-14.00M,,,-74.00M,,26.00M,154.00M,-2.00M,178.00M,,15.00M,,,-52.00M,,,
2000-03,224.00M,,,,,31.00M,174.00M,174.00M,26.00M,,,,,,,,-18.00M,-18.00M,,437.00M,,-162.00M,10.00M,-152.00M,,,,-152.00M,,,,-269.00M,5.00M,-10.00M,-5.00M,,,,-27.00M,,,-301.00M,,41.00M,-16.00M,1.00M,26.00M,,5.00M,,,-10.00M,,,
1999-12,131.50M,,,,,-57.00M,-434.00M,215.00M,17.10M,,,75.90M,,,,,125.30M,-244.70M,,301.80M,,-179.70M,-413.00M,204.30M,,,455.90M,-195.80M,,,,-91.60M,-17.10M,,-17.10M,,,,0.30M,,-0.10M,-90.50M,,25.60M,15.50M,-0.30M,41.00M,,-17.10M,,,,,,Restated
1999-09,158.50M,,,,,-149.00M,159.00M,159.00M,77.90M,,,-0.90M,,,,,-29.30M,-29.30M,,216.20M,,-197.30M,227.00M,29.70M,,,1.10M,30.80M,,,,-297.40M,7.10M,,7.10M,,,,-13.30M,,0.10M,-303.50M,,82.00M,-56.50M,0.30M,25.60M,,7.10M,,,,,,
1999-06,77.40M,,,,,-43.70M,136.70M,136.70M,-3.10M,,,49.40M,,,,,-96.00M,-96.00M,,120.70M,,-219.20M,118.20M,-101.00M,,,-1.00M,-102.00M,,,,12.20M,10.00M,,10.00M,,,,-13.90M,,0.10M,8.40M,,54.60M,27.10M,0.20M,82.00M,,10.00M,,,,,,
1999-03,70.60M,,,,,-23.30M,138.30M,138.30M,-29.90M,,,-48.40M,,,,,,,,107.30M,,-200.80M,67.80M,-133.00M,,,,-133.00M,,,,33.80M,,,,,,,-27.10M,,-0.10M,6.60M,,73.80M,-19.10M,-0.20M,54.60M,,,,,,,,
1998-12,-418.40M,,,,,386.90M,176.00M,176.00M,-128.20M,,,0.10M,,,,,-12.10M,-14.10M,,2.30M,,-318.60M,383.70M,65.10M,,,,65.10M,,,,-60.00M,,-0.30M,-0.30M,,,,-0.30M,,,-60.60M,,67.20M,6.80M,0.20M,74.00M,,,,,-0.30M,,,
1998-09,-6.30M,,,,,25.50M,159.60M,159.60M,-9.20M,,,-26.30M,,,,,12.10M,12.10M,,155.40M,,-411.30M,11.00M,-400.30M,,,,-400.30M,,,,316.70M,,-30.20M,-30.20M,,,,-13.60M,,0.10M,273.00M,,40.90M,28.10M,-1.90M,67.20M,,,,,-30.20M,,,
1998-06,-21.70M,,,,,60.60M,162.20M,162.20M,6.20M,,,-4.40M,,,,,,,,202.90M,,-390.70M,1.20M,-389.50M,,,,-389.50M,,,,184.00M,,-22.10M,-22.10M,,,,-13.70M,,0.00,148.20M,,79.50M,-38.40M,-0.20M,40.90M,,,,,-22.10M,,,
1998-03,-12.60M,,,,,-17.00M,164.20M,164.20M,-6.80M,,,30.60M,,,,,,,,158.40M,,-318.40M,107.10M,-211.30M,,,,-211.30M,,,,76.30M,,-6.40M,-6.40M,,,,-27.40M,,-0.10M,42.40M,,91.20M,-10.50M,-1.10M,79.50M,,,,,-6.40M,,,
1997-12,-61.40M,,,,,128.30M,122.30M,122.30M,-31.20M,,,-225.30M,,,198.60M,,,396.20M,,328.90M,,-411.30M,63.00M,-348.30M,,,-57.00M,-405.30M,,,,73.00M,,-36.10M,-36.10M,,,,0.00,,,36.90M,,130.60M,-39.50M,0.00,91.20M,,,,,-36.10M,,,
1997-09,22.70M,,,,,56.50M,191.60M,191.60M,-23.40M,,,225.30M,,,-343.30M,,,-343.30M,,129.40M,,-322.30M,-59.90M,-382.20M,,,57.00M,-325.20M,,,,158.30M,,-4.20M,-4.20M,,,,-13.80M,,,140.30M,,187.00M,-55.50M,-0.80M,130.60M,,,,,-4.20M,,,
1997-06,41.60M,,,,,53.60M,151.90M,151.90M,-23.30M,,,-388.10M,,,343.30M,,,343.30M,,179.00M,,-392.50M,47.80M,-344.70M,,,,-344.70M,,,,134.60M,,-68.10M,-68.10M,,,,-13.70M,,0.10M,52.90M,,299.70M,-112.80M,0.00,187.00M,,,,,-68.10M,,,
1997-03,4.60M,,,,,24.90M,197.50M,197.50M,-2.30M,,,388.00M,,,,,,,,612.70M,,-219.50M,12.10M,-207.40M,,,,-207.40M,,,,-174.50M,,-13.90M,-13.90M,,,,-27.90M,,-0.10M,-216.40M,,112.50M,188.90M,-1.70M,299.70M,,,,,-13.90M,,,
1996-12,119.80M,,,,,63.70M,231.40M,231.40M,99.80M,,,-19.30M,,,,,,,,138.00M,,-250.60M,38.70M,-211.90M,,,0.00,-211.90M,,,,108.50M,,,,,,,0.20M,,,100.40M,,84.80M,26.50M,1.10M,112.60M,,,,,,,,
1996-09,97.90M,,,,,-56.80M,166.70M,166.70M,-12.50M,,,-101.90M,,,,,,,,93.40M,,-279.30M,121.20M,-158.10M,,,-0.10M,-158.20M,,,,129.70M,,,,,,,-14.10M,,,115.60M,,34.20M,50.80M,-0.20M,84.80M,,,,,,,,
1996-06,376.40M,,,,,-410.80M,183.60M,183.60M,34.50M,,,168.70M,,,,,,,,352.40M,,-172.50M,877.20M,704.70M,,,-11.90M,692.80M,,,,-1.069B,,,,,,,-13.90M,,,-1.083B,,71.70M,-38.00M,0.40M,34.20M,,,,,,,,
1996-03,66.00M,,,,,39.20M,201.50M,201.50M,-35.40M,,,-47.40M,,,,,,,,223.90M,,-158.20M,,-158.20M,,,11.90M,-146.30M,,,,-35.50M,,,,,,,-27.90M,,,-63.40M,,56.10M,14.20M,1.50M,71.70M,,,,,,,,
1995-12,-274.80M,,,,,629.70M,244.80M,244.80M,-355.90M,,,-198.10M,,,,,,,,321.00M,,-182.50M,,-5.20M,,,-34.60M,-39.80M,,,,-312.30M,,,,,,,0.00,,,-312.20M,,88.70M,-31.00M,-1.70M,56.00M,,,,,,,,
1995-09,-104.50M,,,,,49.60M,218.60M,218.60M,27.80M,,,12.50M,,,,,,,,204.00M,,-176.80M,,-176.80M,,,21.50M,-155.30M,,,,5.20M,,,,,,,-14.00M,,,-8.80M,,48.30M,39.90M,0.50M,88.70M,,,,,,,,
1995-06,-40.30M,,,,,43.70M,211.60M,211.60M,6.70M,,,101.20M,,,,,,,,322.90M,,-176.30M,,-176.30M,,,3.10M,-173.20M,,,,-126.10M,,,,,,,-13.90M,,,-140.00M,,37.80M,9.70M,0.90M,48.30M,,,,,,,,
1995-03,25.20M,,,,,40.00M,218.10M,218.10M,25.50M,,,84.30M,,,,,,,,393.10M,,-156.50M,,-156.50M,,,-21.50M,-178.00M,,,,-205.00M,,,,,,,-27.90M,,,-232.90M,,53.10M,-17.80M,2.40M,37.80M,,,,,,,,
1994-12,8.70M,,,,,40.00M,231.30M,231.30M,64.60M,,,,,,,236.30M,,-61.20M,,283.50M,,-198.00M,19.40M,-178.60M,,,,-178.60M,,,,-87.60M,,,,,,,0.00,,,-87.50M,,36.30M,17.40M,-0.60M,53.10M,,,,,,,,
1994-09,-1.90M,,,,,37.30M,219.00M,219.00M,-64.50M,,,,,,,-167.20M,,-167.20M,,22.70M,,-138.90M,43.30M,-95.60M,,,,-95.60M,,,,87.90M,,,,,,,-13.90M,,,74.00M,,34.70M,1.10M,0.50M,36.30M,,,,,,,,
1994-06,-16.80M,,,,,36.20M,234.90M,234.90M,5.60M,,,,,,,-88.20M,,-88.20M,,171.70M,,-128.30M,8.20M,-120.10M,,,,-120.10M,,,,-89.00M,,,,,,,-14.00M,,,-103.00M,,84.20M,-51.40M,1.90M,34.70M,,,,,,,,
1994-03,83.70M,,,,,39.50M,242.70M,242.70M,31.70M,,,,,,,81.50M,,81.50M,,479.10M,,-131.10M,1.90M,-129.20M,,,,-129.20M,,,,-317.80M,,,,,,,-27.80M,,,-345.60M,,79.60M,4.30M,0.30M,84.20M,,,,,,,,
1993-12,-133.60M,,,,,28.40M,271.40M,271.40M,-43.10M,,,0.00,,,,53.70M,,228.70M,,351.80M,,-215.70M,6.40M,-209.30M,,,0.10M,-209.20M,,,,-127.70M,,,,,,,0.00,,,-127.70M,,0.00,14.90M,-4.40M,79.60M,,,,,,,,
1993-09,-22.40M,,,,,51.60M,183.50M,183.50M,-3.50M,,,0.00,,,,-128.40M,,-128.40M,,80.80M,,-384.80M,6.00M,-378.80M,,,-3.90M,-382.70M,,,,274.30M,,,,,,,-13.80M,,,260.50M,,0.00,-41.40M,1.30M,0.00,,,,,,,,
1993-06,-145.20M,,,,,46.50M,184.70M,184.70M,5.50M,,,0.10M,,,,-104.80M,,-104.80M,,-13.20M,,-367.50M,,-367.50M,,,3.00M,-364.50M,,,,336.90M,,,,,,,-13.90M,,,323.00M,,0.00,-54.70M,4.20M,0.00,,,,,,,,
1993-03,3.50M,,,,,29.20M,185.10M,185.10M,-17.70M,,,29.40M,,,,170.50M,,170.50M,,400.00M,,-380.00M,,-380.00M,,,0.80M,-379.20M,,,,14.20M,,,,,,,-13.90M,,,0.30M,,141.00M,21.10M,-2.40M,0.00,,,,,,,,
1992-12,17.90M,,,,,44.20M,188.10M,188.10M,-31.70M,,,,,,,-35.10M,,125.60M,,344.10M,,-396.10M,,-370.70M,,,-2.70M,-373.40M,,,,107.00M,0.00,,0.00,,,,-13.90M,,0.00,93.10M,,0.00,63.80M,-4.40M,141.00M,,0.00,,,,,,
1992-09,8.60M,,,,,33.40M,206.70M,206.70M,-16.40M,,,0.10M,,,,-142.00M,,-142.00M,,90.40M,,-399.90M,,-399.90M,,,0.70M,-399.20M,,,,281.80M,0.00,,0.00,,,,-14.50M,,0.00,267.30M,,0.00,-41.50M,-3.60M,0.00,,0.00,,,,,,
1992-06,4.40M,,,,,31.90M,218.50M,218.50M,16.30M,,,-0.20M,,,,20.50M,,20.50M,,291.40M,,-410.90M,,-410.90M,,,0.60M,-410.30M,,,,-328.10M,497.40M,,497.40M,,,,-13.70M,,-0.10M,155.50M,,0.00,36.60M,1.30M,0.00,,497.40M,,,,,,
1992-03,-23.40M,,,,,25.60M,220.10M,220.10M,4.10M,,,0.10M,,,,185.30M,,185.30M,,411.80M,,-350.90M,,-350.90M,,,1.40M,-349.50M,,,,-69.80M,,,,,,,-22.10M,,,-91.90M,,120.20M,-29.60M,-1.80M,0.00,,,,,,,,
1991-12,-51.60M,,,,,47.70M,250.50M,250.50M,-57.50M,,,,,,,-475.00M,,-29.90M,,159.20M,,-433.10M,37.80M,-395.30M,,,-43.60M,-438.90M,,,,268.20M,,,,,,,-2.20M,,,266.00M,,0.00,-13.70M,8.60M,0.00,,,,,,,,
1991-09,-7.50M,,,,,28.00M,186.40M,186.40M,23.70M,,,,,,,-271.00M,,-271.00M,,-40.40M,,-481.50M,,-481.50M,,,6.90M,-474.60M,,,,566.80M,,,,,,,-12.00M,,,554.80M,,0.00,39.80M,3.00M,0.00,,,,,,,,
1991-06,67.70M,,,,,53.10M,188.50M,188.50M,-2.50M,,,0.20M,,,,-154.80M,,-154.80M,,152.20M,,-437.40M,-4.70M,-442.10M,,,36.70M,-405.40M,,,,201.40M,,,,,,,-12.20M,,,189.20M,,0.00,-64.00M,-4.30M,0.00,,,,,,,,
1991-03,75.70M,,,,,60.50M,203.40M,203.40M,-9.40M,,,-0.20M,,,,763.30M,,763.30M,,1.093B,,-360.30M,4.70M,-355.60M,,,,-355.60M,,,,-702.90M,,,,,,,-10.10M,,,-713.00M,,129.90M,24.70M,-3.80M,0.00,,,,,,,,
1990-12,235.20M,,,,,74.50M,262.30M,262.30M,-69.70M,,,-0.10M,,,,50.90M,,-64.70M,,437.50M,,-658.80M,-5.20M,-664.00M,,,-12.00M,-676.00M,,,,219.20M,,0.00,0.00,,,,-14.30M,,-0.10M,204.80M,,0.00,-33.70M,1.30M,0.00,,,,,0.00,,,
1990-09,280.00M,,,,,40.70M,151.70M,151.70M,-14.40M,,,0.00,,,,-150.60M,,-150.60M,,307.40M,,-405.30M,5.20M,-400.10M,,,2.80M,-397.30M,,,,163.60M,,0.00,0.00,,,,-12.20M,,0.10M,151.50M,,0.00,61.60M,0.90M,0.00,,,,,0.00,,,
1990-06,-72.20M,,,,,33.30M,165.20M,165.20M,11.10M,,,0.10M,,,,-14.40M,,-14.40M,,123.10M,,-192.10M,-0.90M,-193.00M,,,-2.80M,-195.80M,,,,101.00M,,0.00,0.00,,,,-12.10M,,-0.10M,88.80M,,0.00,16.10M,-0.40M,0.00,,,,,0.00,,,
1990-03,39.70M,,,,,26.80M,164.30M,164.30M,18.50M,,,,,,,209.10M,,209.10M,,458.40M,,-205.20M,0.90M,-204.30M,,,,-204.30M,,,,-263.10M,,-6.20M,-6.20M,,,,-22.10M,,,-291.40M,,120.30M,-37.30M,1.10M,0.00,,,,,-6.20M,,,
