,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2002-07,933.78M,933.78M,706.97M,226.81M,,,164.33M,,,,,,164.33M,62.48M,,,,1.775M,,58.75M,20.49M,38.26M,,38.26M,38.26M,83.45M,20.97M,62.48M,,0.07,0.00,0.07,0.07,,0.0675,0.00,0.0675,0.0675,,555.22M,561.04M,0.0244,,,
2002-04,954.63M,954.63M,730.57M,224.06M,,,168.55M,,,,,,168.55M,55.50M,,,,2.725M,,51.56M,18.82M,32.74M,,32.74M,32.74M,76.15M,20.65M,55.50M,,0.06,0.00,0.06,0.06,,0.0575,0.00,0.0575,0.0575,,555.28M,562.41M,0.0244,,,
2002-01,983.01M,983.01M,736.76M,246.25M,,,161.69M,,,,,,161.69M,84.56M,,,,1.274M,,79.29M,28.94M,50.35M,,50.35M,50.35M,105.22M,20.66M,84.56M,,0.09,0.00,0.09,0.09,,0.09,0.00,0.09,0.09,,554.93M,554.93M,0.0244,,,
2001-10,1.055B,1.055B,789.91M,265.32M,,,151.94M,,,,,-178.87M,-26.93M,292.25M,,,,2.085M,,107.93M,39.12M,68.80M,,68.80M,68.80M,319.00M,26.75M,292.25M,,0.125,0.00,0.125,0.125,,0.1225,0.00,0.1225,0.1225,,547.31M,565.32M,0.0231,,,
2001-07,976.98M,976.98M,766.53M,210.45M,,,153.96M,,,,,,153.96M,56.48M,,,,1.028M,,50.91M,17.70M,33.21M,,33.21M,33.21M,81.35M,24.87M,56.48M,,0.06,0.00,0.06,0.06,,0.06,0.00,0.06,0.06,,555.16M,561.76M,0.0231,,,
2001-04,1.018B,1.018B,752.42M,265.99M,,,201.14M,,,,,,201.14M,64.85M,,,,1.245M,,61.03M,22.13M,38.89M,,38.89M,38.89M,86.53M,21.68M,64.85M,,0.07,0.00,0.07,0.07,,0.07,0.00,0.07,0.07,,555.63M,555.63M,0.0231,,,
2001-01,947.49M,947.49M,680.48M,267.02M,,,201.42M,,,,,,201.42M,65.60M,,,,-0.86M,,65.15M,23.62M,41.53M,,41.53M,41.53M,82.49M,16.89M,65.60M,,0.075,0.00,0.075,0.075,,0.075,0.00,0.075,0.075,,554.26M,558.34M,0.0231,,,
2000-10,804.90M,804.90M,777.81M,27.09M,,,-17.21M,,,,,,-68.98M,96.06M,,,,-10.51M,,93.69M,32.71M,60.98M,,60.98M,60.98M,112.64M,16.58M,96.06M,,0.11,0.00,0.11,0.11,,0.1075,0.00,0.1075,0.1075,,548.39M,567.15M,0.0219,,,
2000-07,886.02M,886.02M,649.98M,236.04M,,,173.11M,2.615M,,,,,189.76M,46.27M,,,,2.615M,,45.50M,16.37M,29.14M,,29.14M,27.46M,62.92M,16.65M,46.27M,,0.0525,0.00,0.0495,0.0525,,0.0525,0.00,0.0495,0.0525,,554.97M,554.97M,0.0219,,,
2000-04,879.02M,879.02M,622.81M,256.21M,,,184.10M,4.968M,,,,,200.20M,56.01M,,,,4.968M,,56.64M,20.39M,36.25M,,36.25M,33.07M,72.57M,16.56M,56.01M,,0.065,0.00,0.0593,0.065,,0.065,0.00,0.0593,0.065,,557.75M,557.75M,0.0219,,,
2000-01,903.90M,903.90M,624.70M,279.20M,,,196.40M,5.40M,,,,,212.50M,66.70M,,,,5.40M,,68.50M,24.70M,43.80M,,43.80M,40.35M,82.80M,16.10M,66.70M,,0.0775,0.00,0.0714,0.0775,,0.075,0.00,0.0691,0.075,,565.16M,584.00M,0.0219,,,
1999-10,950.90M,950.90M,646.00M,304.90M,,,198.90M,-11.30M,,,,,215.50M,89.40M,,,,-11.30M,,91.80M,32.20M,59.60M,,59.60M,66.94M,106.00M,16.60M,89.40M,,0.1025,0.00,0.1152,0.1025,,0.10,0.00,0.1122,0.10,,579.92M,600.95M,0.0206,,,
1999-07,816.80M,816.80M,580.00M,236.80M,,,177.60M,5.60M,,,,,193.40M,43.40M,,,,5.60M,,45.40M,15.80M,29.60M,,29.60M,25.95M,59.20M,15.80M,43.40M,,0.0525,0.00,0.0460,0.0525,,0.05,0.00,0.0438,0.05,,563.81M,592.00M,0.0206,,,
1999-04,791.10M,791.10M,548.50M,242.60M,,,177.40M,2.50M,,,,,193.00M,49.60M,,,,2.50M,,48.40M,16.60M,31.80M,,31.80M,30.16M,65.20M,15.60M,49.60M,,0.055,0.00,0.0522,0.055,,0.055,0.00,0.0522,0.055,,578.18M,578.18M,0.0206,,,
1999-01,799.00M,799.00M,540.50M,258.50M,,,183.30M,10.30M,,,,,200.00M,58.50M,,,,10.30M,,65.70M,23.30M,42.40M,,42.40M,35.75M,75.20M,16.70M,58.50M,,0.0725,0.00,0.0611,0.0725,,0.0725,0.00,0.0611,0.0725,,584.83M,584.83M,0.0206,,,
1998-10,912.00M,912.00M,639.20M,272.80M,,,190.10M,-9.70M,,,,,207.20M,65.60M,,,,-9.70M,,67.70M,22.50M,45.20M,,45.20M,51.68M,82.70M,17.10M,65.60M,,0.075,0.00,0.0857,0.075,,0.075,0.00,0.0857,0.075,,604.18M,604.18M,0.02,,,
1998-07,755.80M,755.80M,546.20M,209.60M,,,161.00M,4.10M,,,,,175.90M,33.70M,,,,4.10M,,33.90M,12.90M,21.00M,,21.00M,18.46M,48.60M,14.90M,33.70M,,0.035,0.00,0.0308,0.035,,0.035,0.00,0.0308,0.035,,600.00M,600.00M,0.02,,,
1998-04,778.30M,778.30M,563.60M,214.70M,,,162.60M,5.90M,,,,,176.80M,37.90M,,,,5.90M,,40.40M,14.10M,26.30M,,26.30M,22.46M,52.10M,14.20M,37.90M,,0.045,0.00,0.0384,0.045,,0.0425,0.00,0.0363,0.0425,,584.44M,618.82M,0.02,,,
1998-01,814.90M,814.90M,591.10M,223.80M,,,163.60M,32.40M,,,,,177.70M,46.10M,,,,32.40M,,75.30M,28.50M,46.80M,,46.80M,26.66M,60.20M,14.10M,46.10M,,0.0775,0.00,0.0442,0.0775,,0.0775,0.00,0.0442,0.0775,,603.87M,603.87M,0.02,,,
1997-10,868.20M,868.20M,637.80M,230.40M,,,150.00M,-0.70M,,,,,164.70M,65.70M,,,,-0.70M,,68.80M,24.10M,44.70M,,44.70M,45.15M,80.40M,14.70M,65.70M,,0.075,0.00,0.0758,0.075,,0.075,0.00,0.0758,0.075,,581.90M,581.90M,0.0194,,,
1997-07,779.70M,779.70M,596.60M,183.10M,,,142.00M,3.50M,,,,,154.90M,28.20M,,,,3.50M,,28.20M,10.00M,18.20M,,18.20M,15.94M,41.10M,12.90M,28.20M,,0.03,0.00,0.0263,0.03,,0.03,0.00,0.0263,0.03,,606.67M,606.67M,0.0194,,,
1997-04,798.50M,798.50M,595.90M,202.60M,,,148.30M,2.90M,,,,,161.20M,41.40M,,,,2.90M,,40.90M,15.20M,25.70M,,25.70M,23.88M,54.30M,12.90M,41.40M,,0.0425,0.00,0.0395,0.0425,,0.0425,0.00,0.0395,0.0425,,604.71M,604.71M,0.0194,,,
1997-01,810.30M,810.30M,614.40M,195.90M,,,150.40M,3.00M,,,,,162.80M,33.10M,,,,3.00M,,33.10M,12.10M,21.00M,,21.00M,19.10M,45.50M,12.40M,33.10M,,0.035,0.00,0.0318,0.035,,0.035,0.00,0.0318,0.035,,600.00M,600.00M,0.0194,,,
1996-10,877.80M,877.80M,667.60M,210.20M,,,145.00M,-5.50M,,,,,156.70M,53.50M,,,,-5.50M,,47.90M,17.70M,30.20M,,30.20M,33.67M,65.20M,11.70M,53.50M,,0.05,0.00,0.0558,0.05,,0.05,0.00,0.0558,0.05,,598.08M,598.08M,0.0188,,,
1996-07,749.90M,749.90M,593.10M,156.80M,,,140.70M,1.90M,,,,,151.50M,5.30M,,,,1.90M,,6.70M,2.70M,4.00M,,4.00M,2.86M,16.10M,10.80M,5.30M,,0.0075,0.00,0.0054,0.0075,,0.0075,0.00,0.0054,0.0075,,533.33M,533.33M,0.0188,,,
1996-04,746.70M,746.70M,557.90M,188.80M,,,142.80M,2.70M,,,,,153.10M,35.70M,,,,2.70M,,37.90M,13.40M,24.50M,,24.50M,22.75M,46.00M,10.30M,35.70M,,0.04,0.00,0.0372,0.04,,0.04,0.00,0.0372,0.04,,612.50M,612.50M,0.0188,,,
1996-01,724.40M,724.40M,537.00M,187.40M,,,150.30M,6.30M,,,,,160.20M,27.20M,,,,6.30M,,33.10M,12.40M,20.70M,,20.70M,16.76M,37.10M,9.90M,27.20M,,0.035,0.00,0.0283,0.035,,0.035,0.00,0.0283,0.035,,591.43M,591.43M,0.0188,,,
1995-10,835.10M,835.10M,626.90M,208.20M,,,139.80M,3.60M,,,,,149.30M,58.90M,,,,3.60M,,62.10M,23.60M,38.50M,,38.50M,36.27M,68.40M,9.50M,58.90M,,0.0625,0.00,0.0589,0.0625,,0.0625,0.00,0.0589,0.0625,,618.48M,618.48M,0.0181,,,
1995-07,732.40M,732.40M,553.80M,178.60M,,,137.50M,2.70M,,,,,147.00M,31.60M,,,,2.70M,,33.70M,12.70M,21.00M,,21.00M,19.32M,41.10M,9.30M,31.60M,,0.035,0.00,0.0322,0.035,,0.035,0.00,0.0322,0.035,,600.00M,600.00M,0.0181,,,
1995-04,748.00M,748.00M,556.80M,191.20M,,,143.60M,3.10M,,,,,152.80M,38.40M,,,,3.10M,,41.10M,15.70M,25.40M,,25.40M,23.48M,47.80M,9.40M,38.40M,,0.0425,0.00,0.0393,0.0425,,0.0425,0.00,0.0393,0.0425,,597.65M,597.65M,0.0181,,,
1995-01,730.70M,730.70M,519.60M,211.10M,,,147.60M,3.50M,,,,,156.60M,54.50M,,,,3.50M,,57.70M,22.20M,35.50M,,35.50M,33.35M,63.50M,9.00M,54.50M,,0.0575,0.00,0.0540,0.0575,,0.0575,0.00,0.0540,0.0575,,617.39M,617.39M,0.0181,,,
1994-10,840.50M,840.50M,597.80M,242.70M,,,144.00M,1.80M,,,,,156.60M,86.10M,,,,1.80M,,87.10M,32.80M,54.30M,,54.30M,53.18M,98.70M,12.60M,86.10M,,0.0875,0.00,0.0857,0.0875,,0.0875,0.00,0.0857,0.0875,,631.95M,631.95M,0.0156,,,
1994-07,741.10M,741.10M,572.00M,169.10M,,,129.40M,1.80M,,,,,137.40M,31.70M,,,,1.80M,,33.10M,12.90M,20.20M,,20.20M,19.10M,39.70M,6.70M,31.70M,,0.0325,0.00,0.0307,0.0325,,0.0325,0.00,0.0307,0.0325,,621.54M,621.54M,0.0156,,,
1994-04,767.00M,767.00M,589.00M,178.00M,,,132.00M,1.00M,,,,,140.70M,37.30M,,,,1.00M,,37.60M,14.60M,23.00M,,23.00M,22.39M,46.00M,8.70M,37.30M,,0.0375,0.00,0.0365,0.0375,,0.0375,0.00,0.0365,0.0375,,613.33M,613.33M,0.0156,,,
1994-01,716.20M,716.20M,548.80M,167.40M,,,126.70M,1.90M,,,,,135.30M,32.10M,,,,1.90M,,33.40M,12.80M,20.60M,,20.60M,19.43M,40.70M,8.60M,32.10M,,0.035,0.00,0.0330,0.035,,0.035,0.00,0.0330,0.035,,588.57M,588.57M,0.0156,,,
1993-10,817.40M,817.40M,618.00M,199.40M,,,127.00M,1.70M,,,,,135.40M,64.00M,,,,1.70M,,65.20M,24.40M,40.80M,,-86.70M,39.74M,72.40M,8.40M,64.00M,,0.0675,-0.2075,0.0659,-0.14,,0.0675,-0.2075,0.0659,-0.14,,666.79M,666.79M,0.0138,,,
1993-07,677.80M,677.80M,516.80M,161.00M,,,123.20M,1.60M,,,,,131.10M,29.90M,,,,1.60M,,31.20M,12.10M,19.10M,,19.10M,18.12M,38.00M,8.10M,29.90M,,0.0325,0.00,0.0308,0.0325,,0.0325,0.00,0.0308,0.0325,,587.69M,587.69M,0.0138,,,
1993-04,676.70M,676.70M,514.90M,161.80M,,,120.80M,1.70M,,,,,128.70M,33.10M,,,,1.70M,,34.40M,12.80M,21.60M,,21.60M,20.53M,41.50M,8.40M,33.10M,,0.035,0.00,0.0333,0.035,,0.035,0.00,0.0333,0.035,,617.14M,617.14M,0.0138,,,
1993-01,682.10M,682.10M,525.60M,156.50M,,,120.70M,2.10M,,,,,128.00M,28.50M,,,,2.10M,,30.30M,11.00M,19.30M,,19.30M,17.96M,35.80M,7.30M,28.50M,,0.0325,0.00,0.0302,0.0325,,0.0325,0.00,0.0302,0.0325,,593.85M,593.85M,0.0138,,,
1992-10,841.70M,841.70M,637.50M,204.20M,,,127.20M,2.30M,,,,,136.00M,68.20M,,,,2.30M,,69.00M,27.00M,42.00M,,42.00M,40.60M,77.00M,8.80M,68.20M,,0.0675,0.00,0.0653,0.0675,,0.0675,0.00,0.0653,0.0675,,632.77M,632.77M,0.0112,,,
1992-07,671.20M,671.20M,523.80M,147.40M,,,118.70M,1.70M,,,,,127.20M,20.20M,,,,1.70M,,21.20M,5.10M,16.10M,,16.10M,14.81M,28.70M,6.70M,20.20M,,0.0275,0.00,0.0253,0.0275,,0.0275,0.00,0.0253,0.0275,,585.45M,585.45M,0.0112,,,
1992-04,672.30M,672.30M,513.20M,159.10M,,,118.10M,2.40M,,,,,127.50M,31.60M,,,,2.40M,,33.20M,13.20M,20.00M,,20.00M,18.55M,41.00M,9.40M,31.60M,,0.0325,0.00,0.0302,0.0325,,0.0325,0.00,0.0302,0.0325,,615.38M,615.38M,0.0112,,,
1992-01,628.50M,628.50M,482.60M,145.90M,,,111.00M,2.00M,,,,,119.40M,26.50M,,,,2.00M,,27.70M,10.70M,17.00M,,17.00M,15.77M,34.90M,8.40M,26.50M,,0.0275,0.00,0.0255,0.0275,,0.0275,0.00,0.0255,0.0275,,618.18M,618.18M,0.0112,,,
1991-10,760.60M,760.60M,589.50M,171.10M,,,107.50M,2.00M,,,,,115.40M,55.70M,,,,2.00M,,57.40M,20.80M,36.60M,,36.60M,35.32M,63.60M,7.90M,55.70M,,0.06,0.00,0.0579,0.06,,0.0575,0.00,0.0556,0.0575,,614.35M,657.66M,0.0094,,,
1991-07,677.40M,677.40M,,,,,,,,,,,,677.40M,,,,,,,,12.80M,,12.80M,12.80M,677.40M,,677.40M,,0.0225,0.00,0.0225,0.0225,,0.0225,0.00,0.0225,0.0225,,568.89M,568.89M,0.0094,,,
1991-04,697.00M,697.00M,,,,,,,,,,,,697.00M,,,,,,,,16.60M,,16.60M,16.60M,697.00M,,697.00M,,0.0275,0.00,0.0275,0.0275,,0.0275,0.00,0.0275,0.0275,,603.64M,603.64M,0.0094,,,
1991-01,701.20M,701.20M,550.50M,150.70M,,,110.10M,1.90M,,,,,119.00M,31.70M,,,,1.90M,,32.70M,12.30M,20.40M,,20.40M,19.21M,40.60M,8.90M,31.70M,,0.035,0.00,0.0330,0.035,,0.035,0.00,0.0330,0.035,,582.86M,582.86M,0.0094,,,
1990-10,772.80M,772.80M,604.90M,167.90M,,,102.60M,1.60M,,,,,111.60M,56.30M,,,,1.60M,,57.10M,20.80M,36.30M,,36.30M,35.28M,65.30M,9.00M,56.30M,,0.06,0.00,0.0583,0.06,,0.0575,0.00,0.0559,0.0575,,605.49M,653.87M,0.0081,,,
1990-07,654.70M,654.70M,,,,,,,,,,,,654.70M,,,,,,,,12.60M,,12.60M,12.60M,654.70M,,654.70M,,0.02,0.00,0.02,0.02,,0.02,0.00,0.02,0.02,,630.00M,630.00M,0.0081,,,
1990-04,633.10M,633.10M,,,,,,,,,,,,633.10M,,,,,,,,13.80M,,13.80M,13.80M,633.10M,,633.10M,,0.0225,0.00,0.0225,0.0225,,0.0225,0.00,0.0225,0.0225,,613.33M,613.33M,0.0081,,,
1990-01,620.50M,620.50M,486.40M,134.10M,,,102.90M,1.30M,,,,,111.60M,22.50M,,,,1.30M,,22.40M,8.00M,14.40M,,14.40M,13.56M,31.20M,8.70M,22.50M,,0.025,0.00,0.0235,0.025,,0.025,0.00,0.0235,0.025,,576.00M,576.00M,0.0081,,,
1989-10,699.10M,699.10M,545.40M,153.70M,,,96.40M,1.10M,,,,,104.50M,49.20M,,,,1.10M,,49.60M,17.30M,32.30M,,32.30M,31.58M,57.30M,8.10M,49.20M,,0.0525,0.00,0.0514,0.0525,,0.0525,0.00,0.0514,0.0525,,623.86M,623.86M,0.0069,,,
1989-07,564.00M,564.00M,,,,,,,,,,,,564.00M,,,,,,,,14.30M,,14.30M,14.30M,564.00M,,564.00M,,0.025,0.00,0.025,0.025,,0.025,0.00,0.025,0.025,,572.00M,572.00M,0.0069,,,
1989-04,526.30M,526.30M,,,,,,,,,,,,526.30M,,,,,,,,9.80M,,9.80M,9.80M,526.30M,,526.30M,,0.0175,0.00,0.0175,0.0175,,0.0175,0.00,0.0175,0.0175,,560.00M,560.00M,0.0069,,,
1989-01,551.20M,551.20M,,,,,,,,,,,,551.20M,,,,,,,,13.70M,,13.70M,13.70M,551.20M,,551.20M,,0.0225,0.00,0.0225,0.0225,,0.0225,0.00,0.0225,0.0225,,608.89M,608.89M,0.0069,,,
1988-10,655.30M,655.30M,,,,,,,,,,,,-1.539B,,,,,,,,28.80M,,28.80M,28.80M,-1.539B,,-1.539B,,0.0475,0.00,0.0475,0.0475,,0.0475,0.00,0.0475,0.0475,,613.71M,613.71M,0.0056,,,
1988-07,546.90M,546.90M,,,,,,,,,,,,546.90M,,,,,,,,11.60M,,11.60M,11.60M,546.90M,,546.90M,,0.02,0.00,0.02,0.02,,0.02,0.00,0.02,0.02,,580.00M,580.00M,0.0056,,,
1988-04,535.70M,535.70M,,,,,,,,,,,,535.70M,,,,,,,,7.60M,,7.60M,7.60M,535.70M,,535.70M,,0.0125,0.00,0.0125,0.0125,,0.0125,0.00,0.0125,0.0125,,608.00M,608.00M,0.0056,,,
1988-01,554.90M,554.90M,,,,,,,,,,,,554.90M,,,,,,,,12.20M,,12.20M,12.20M,554.90M,,554.90M,,0.02,0.00,0.02,0.02,,0.02,0.00,0.02,0.02,,610.00M,610.00M,0.0056,,,
1987-10,741.90M,741.90M,,,,,,,,,,,,-1.484B,,,,,,,,20.10M,,20.10M,20.10M,-1.484B,,-1.484B,,0.0325,0.00,0.0325,0.0325,,0.0325,0.00,0.0325,0.0325,,626.82M,626.82M,0.0047,,,
1987-07,574.80M,574.80M,,,,,,,,,,,,574.80M,,,,,,,,11.30M,,11.30M,11.30M,574.80M,,574.80M,,0.02,0.00,0.02,0.02,,0.02,0.00,0.02,0.02,,565.00M,565.00M,0.0047,,,
1987-04,556.90M,556.90M,,,,,,,,,,,,556.90M,,,,,,,,10.00M,,10.00M,10.00M,556.90M,,556.90M,,0.0175,0.00,0.0175,0.0175,,0.0175,0.00,0.0175,0.0175,,571.43M,571.43M,0.0047,,,
1987-01,440.50M,440.50M,,,,,,,,,,,,440.50M,,,,,,,,4.50M,,4.50M,4.50M,440.50M,,440.50M,,0.0075,0.00,0.0075,0.0075,,0.0075,0.00,0.0075,0.0075,,600.00M,600.00M,0.0047,,,
1986-10,552.20M,552.20M,,,,,,,,,,,,-1.334B,,,,,,,,16.10M,,16.10M,16.10M,-1.334B,,-1.334B,,0.0275,0.00,0.0275,0.0275,,0.0275,0.00,0.0275,0.0275,,566.15M,566.15M,0.0044,,,
1986-07,485.00M,485.00M,,,,,,,,,,,,485.00M,,,,,,,,9.00M,,9.00M,9.00M,485.00M,,485.00M,,0.015,0.00,0.015,0.015,,0.015,0.00,0.015,0.015,,600.00M,600.00M,0.0044,,,
1986-04,442.20M,442.20M,,,,,,,,,,,,442.20M,,,,,,,,5.10M,,5.10M,5.10M,442.20M,,442.20M,,0.01,0.00,0.01,0.01,,0.01,0.00,0.01,0.01,,510.00M,510.00M,0.0044,,,
1986-01,480.80M,480.80M,,,,,,,,,,,,480.80M,,,,,,,,8.90M,,8.90M,8.90M,480.80M,,480.80M,,0.015,0.00,0.015,0.015,,0.015,0.00,0.015,0.015,,593.33M,593.33M,0.0044,,,
1985-10,430.50M,430.50M,,,,,,,,,,,,-991.60M,,,,,,,,13.90M,,13.90M,13.90M,-991.60M,,-991.60M,,0.0225,0.00,0.0225,0.0225,,0.0225,0.00,0.0225,0.0225,,631.86M,631.86M,0.0042,,,
1985-07,360.90M,360.90M,,,,,,,,,,,,360.90M,,,,,,,,9.60M,,9.60M,9.60M,360.90M,,360.90M,,0.0175,0.00,0.0175,0.0175,,0.0175,0.00,0.0175,0.0175,,548.57M,548.57M,0.0042,,,
1985-04,353.60M,353.60M,,,,,,,,,,,,353.60M,,,,,,,,6.90M,,6.90M,6.90M,353.60M,,353.60M,,0.0125,0.00,0.0125,0.0125,,0.0125,0.00,0.0125,0.0125,,552.00M,552.00M,0.0042,,,
1985-01,357.20M,357.20M,,,,,,,,,,,,357.20M,,,,,,,,8.30M,,8.30M,8.30M,357.20M,,357.20M,,0.015,0.00,0.015,0.015,,0.015,0.00,0.015,0.015,,553.33M,553.33M,0.0042,,,
1984-10,403.30M,403.30M,,,,,,,,,,,,-988.00M,,,,,,,,7.70M,,7.70M,7.70M,-988.00M,,-988.00M,,0.0125,0.00,0.0125,0.0125,,0.0125,0.00,0.0125,0.0125,,616.00M,616.00M,,,,
1984-07,356.40M,356.40M,,,,,,,,,,,,356.40M,,,,,,,,5.20M,,5.20M,5.20M,356.40M,,356.40M,,0.01,0.00,0.01,0.01,,0.01,0.00,0.01,0.01,,520.00M,520.00M,,,,
1984-04,342.40M,342.40M,,,,,,,,,,,,342.40M,,,,,,,,5.60M,,5.60M,5.60M,342.40M,,342.40M,,0.01,0.00,0.01,0.01,,0.01,0.00,0.01,0.01,,560.00M,560.00M,,,,
