,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2004-06,4.036B,4.036B,2.597B,1.439B,,824.00M,,-66.00M,,,,,824.00M,615.00M,,,,-66.00M,,499.00M,158.00M,341.00M,,,,341.00M,386.10M,755.00M,140.00M,615.00M,,0.405,0.00,,0.4586,0.405,,0.405,0.00,,0.4586,0.405,,841.98M,841.98M,0.20,,,
2004-03,3.859B,3.859B,2.503B,1.356B,,807.00M,,-30.00M,,,,,807.00M,549.00M,,,,-30.00M,,466.00M,148.00M,318.00M,,,,318.00M,338.47M,688.00M,139.00M,549.00M,,0.38,0.00,,0.4045,0.38,,0.375,0.00,,0.3991,0.375,,836.84M,848.00M,0.20,,,
2003-12,3.60B,3.60B,2.318B,1.282B,,790.00M,,-78.00M,,,,,790.00M,492.00M,,,,-78.00M,,357.00M,113.00M,244.00M,,,,244.00M,297.31M,623.00M,131.00M,492.00M,,0.29,0.00,,0.3534,0.29,,0.29,0.00,,0.3534,0.29,,841.38M,841.38M,0.20,,,
2003-09,3.694B,3.694B,2.40B,1.294B,,753.00M,,-79.00M,,,,,753.00M,541.00M,,,,-79.00M,,406.00M,130.00M,276.00M,0.00,,,276.00M,329.70M,669.00M,128.00M,541.00M,,0.33,0.00,,0.3942,0.33,,0.33,0.00,,0.3942,0.33,,836.34M,836.34M,0.1962,,,
2003-06,3.573B,3.573B,2.323B,1.25B,,734.00M,,-127.00M,,,,,734.00M,516.00M,,,,-127.00M,,329.00M,51.00M,278.00M,82.00M,,,360.00M,385.31M,658.00M,142.00M,516.00M,,0.33,0.10,,0.4582,0.43,,0.33,0.095,,0.4567,0.425,,837.21M,847.06M,0.1962,,,
2003-03,3.465B,3.465B,2.254B,1.211B,,731.00M,,-67.00M,,,,,731.00M,480.00M,,,,-67.00M,,356.00M,115.00M,241.00M,5.00M,,,246.00M,286.36M,617.00M,137.00M,480.00M,,0.29,-0.01,,0.3416,0.28,,0.285,-0.01,,0.3366,0.28,,878.57M,878.57M,0.1962,,,
2002-12,3.226B,3.226B,2.083B,1.143B,,717.00M,,-45.00M,,,,,717.00M,426.00M,,,,-45.00M,,323.00M,105.00M,218.00M,,,,218.00M,248.37M,553.00M,127.00M,426.00M,,0.26,0.00,,0.2962,0.26,,0.26,0.00,,0.2961,0.26,,838.00M,841.20M,0.1962,,,
2002-09,3.462B,3.462B,2.242B,1.220B,,715.30M,,-67.50M,,,,,715.30M,504.40M,,,,-67.50M,,396.30M,131.30M,265.00M,,-0.30M,,248.70M,310.14M,636.00M,131.60M,504.40M,,0.315,1.10,0.00,0.3693,0.295,,0.315,1.10,-0.0047,0.3693,0.295,,831.52M,831.52M,0.1938,,,
2002-06,3.571B,3.571B,2.340B,1.230B,,716.50M,,-32.60M,,,,,716.50M,514.00M,,,,-32.60M,,420.90M,139.30M,281.60M,,,,281.60M,303.41M,654.50M,140.50M,514.00M,,0.34,0.00,,0.3663,0.34,,0.335,0.00,,0.3609,0.335,,828.24M,840.60M,0.1938,,,
2002-03,3.421B,3.421B,2.232B,1.189B,,724.30M,,2.00M,,,,,724.30M,464.40M,,,,2.00M,,404.60M,129.90M,274.70M,,,,274.70M,273.34M,602.30M,137.90M,464.40M,,0.325,0.00,,0.3234,0.325,,0.325,0.00,,0.3234,0.325,,845.23M,845.23M,0.1938,,,
2001-12,3.295B,3.295B,2.125B,1.17B,,748.00M,,16.00M,,,,,748.00M,422.00M,,,,16.00M,,368.00M,114.00M,255.00M,,-938.00M,,-683.00M,243.96M,553.00M,131.00M,422.00M,,0.305,-1.12,-0.0000,0.2918,-0.815,,0.305,-1.12,-1.121,0.2919,-0.815,,836.80M,840.80M,0.1938,,,
2001-09,3.383B,3.383B,2.263B,1.121B,,755.80M,,-292.50M,,,,,755.80M,364.80M,,,,-292.50M,,21.30M,18.80M,2.50M,,,,-14.50M,178.00M,537.60M,172.80M,364.80M,,0.01,-0.02,,0.2188,-0.01,,0.005,-0.02,,0.2110,-0.015,,840.34M,852.05M,0.1912,,,
2001-06,3.905B,3.905B,2.540B,1.365B,,731.20M,,-58.10M,,,,,731.20M,633.40M,,,,-58.10M,,503.20M,172.80M,330.40M,,,,330.40M,368.55M,817.40M,184.00M,633.40M,,0.385,0.00,,0.4295,0.385,,0.385,0.00,,0.4295,0.385,,858.18M,858.18M,0.1912,,,
2001-03,4.103B,4.103B,2.652B,1.451B,,790.00M,,-36.10M,,,,,790.00M,660.80M,,,,-36.10M,,545.40M,186.70M,358.70M,,,,358.70M,382.44M,841.60M,180.80M,660.80M,,0.42,0.00,,0.4478,0.42,,0.415,0.00,,0.4425,0.415,,854.05M,864.34M,0.1912,,,
2000-12,3.920B,3.920B,2.532B,1.388B,,774.00M,,13.70M,,,,,774.00M,614.00M,,,,13.70M,,544.10M,186.70M,357.40M,,,,357.40M,348.40M,785.40M,171.40M,614.00M,,0.42,0.00,,0.4094,0.42,,0.415,0.00,,0.4046,0.415,,850.95M,861.20M,0.1912,,,
2000-09,4.065B,4.065B,1.929B,2.136B,,775.40M,,-28.80M,,,,,1.454B,681.80M,,,,-28.80M,,569.60M,198.60M,371.00M,,,,371.00M,389.76M,853.80M,172.00M,681.80M,,0.435,0.00,,0.4569,0.435,,0.43,0.00,,0.4517,0.43,,854.81M,865.79M,0.1788,,,
2000-06,4.042B,4.042B,2.605B,1.437B,,767.30M,,-12.10M,,,,,767.30M,669.40M,,,,-12.10M,,574.10M,200.40M,373.70M,,,,373.70M,381.58M,840.30M,170.90M,669.40M,,0.44,0.00,,0.4493,0.44,,0.435,0.00,,0.4442,0.435,,849.32M,859.08M,0.1788,,,
2000-03,3.895B,3.895B,2.342B,1.552B,,743.30M,,-29.50M,,,,,915.40M,637.10M,,,,-29.50M,,538.60M,185.80M,352.80M,,,,352.80M,372.12M,809.20M,172.10M,637.10M,,0.415,0.00,,0.4376,0.415,,0.41,0.00,,0.4324,0.41,,854.40M,861.40M,0.1788,,,
1999-12,3.543B,3.543B,2.125B,1.418B,,701.90M,,-4.60M,,,,,865.40M,552.60M,,,,-4.60M,,496.00M,171.10M,324.90M,,,,324.90M,327.91M,716.10M,163.50M,552.60M,,0.375,0.00,,0.3785,0.375,,0.375,0.00,,0.3785,0.375,,866.40M,866.40M,0.1788,,,
1999-09,3.620B,3.620B,2.176B,1.444B,,684.60M,,-42.00M,,,,,840.90M,603.10M,,,,-42.00M,,510.00M,169.80M,340.20M,,,,340.20M,368.22M,759.40M,156.30M,603.10M,,0.395,0.00,,0.4275,0.395,,0.39,0.00,,0.4221,0.39,,860.93M,872.12M,0.1625,,,
1999-06,3.634B,3.634B,2.176B,1.458B,,695.50M,,-15.40M,,,,,859.50M,598.50M,,,,-15.40M,,534.20M,189.10M,345.10M,,,,345.10M,355.05M,762.50M,164.00M,598.50M,,0.40,0.00,,0.4115,0.40,,0.395,0.00,,0.4064,0.395,,862.75M,873.67M,0.1625,,,
1999-03,3.589B,3.589B,2.151B,1.438B,,698.70M,,-31.10M,,,,,857.30M,580.20M,,,,-31.10M,,504.30M,178.40M,325.90M,,,,325.90M,346.00M,738.80M,158.60M,580.20M,,0.375,0.00,,0.3981,0.375,,0.37,0.00,,0.3928,0.37,,869.07M,880.81M,0.1625,,,
1998-12,3.427B,3.427B,2.212B,1.215B,,691.40M,,-6.40M,,,,,691.40M,523.70M,,,,-6.40M,,472.40M,170.00M,302.40M,,,,302.40M,306.50M,523.70M,,523.70M,,0.345,0.00,,0.3497,0.345,,0.345,0.00,,0.3496,0.345,,872.00M,881.20M,0.1625,,,
1998-09,3.428B,3.428B,2.195B,1.233B,,672.20M,,-27.70M,,,,,672.20M,560.90M,,,,-27.70M,,494.30M,180.40M,313.90M,,,,313.90M,331.49M,560.90M,,560.90M,,0.36,0.00,,0.3802,0.36,,0.355,0.00,,0.3750,0.355,,871.49M,879.50M,0.1475,,,
1998-06,3.465B,3.465B,2.211B,1.254B,,684.80M,,-24.50M,,,,,684.80M,569.30M,,,,-24.50M,,507.50M,182.70M,324.80M,,,,324.80M,340.48M,569.30M,,569.30M,,0.37,0.00,,0.3878,0.37,,0.365,0.00,,0.3826,0.365,,878.80M,889.00M,0.1475,,,
1998-03,3.382B,3.382B,2.160B,1.223B,,673.30M,,-29.10M,,,,,673.30M,549.40M,,,,-29.10M,,480.60M,173.00M,307.60M,,,,307.60M,326.22M,549.40M,,549.40M,,0.35,0.00,,0.3711,0.35,,0.345,0.00,,0.3659,0.345,,881.60M,892.40M,0.1475,,,
1997-12,3.172B,3.172B,2.030B,1.142B,,646.40M,,-18.40M,,,,,646.40M,495.30M,,,,-18.40M,,441.10M,158.80M,282.30M,,,,282.30M,294.08M,495.30M,,495.30M,,0.32,0.00,,0.3334,0.32,,0.32,0.00,,0.3333,0.32,,878.40M,887.80M,0.1475,,,
1997-09,3.156B,3.156B,2.006B,1.150B,,633.60M,,-22.10M,,,,,633.60M,516.70M,,,,-22.10M,,461.00M,171.00M,290.00M,,,,290.00M,303.90M,516.70M,,516.70M,,0.325,0.00,,0.3407,0.325,,0.325,0.00,,0.3406,0.325,,887.05M,891.51M,0.135,,,
1997-06,3.208B,3.208B,2.067B,1.141B,,621.80M,,-18.00M,,,,,621.80M,519.60M,,,,-18.00M,,471.60M,175.00M,296.60M,,,,296.60M,307.92M,519.60M,,519.60M,,0.335,0.00,,0.3478,0.335,,0.33,0.00,,0.3428,0.33,,887.50M,887.50M,0.135,,,
1997-03,3.104B,3.104B,1.987B,1.116B,,612.20M,,-28.40M,,,,,612.20M,503.90M,,,,-28.40M,,445.70M,165.30M,280.40M,,,,280.40M,298.27M,503.90M,,503.90M,,0.315,0.00,,0.3350,0.315,,0.31,0.00,,0.3300,0.31,,892.22M,892.22M,0.135,,,
1996-12,2.831B,2.831B,1.805B,1.025B,,583.30M,,-9.10M,,,,,583.30M,441.90M,,,,-9.10M,,405.30M,150.40M,254.90M,,,,254.90M,260.62M,441.90M,,441.90M,,0.285,0.00,,0.2914,0.285,,0.285,0.00,,0.2914,0.285,,894.82M,894.82M,0.135,,,
1996-09,2.868B,2.868B,1.369B,1.498B,,563.90M,,-16.30M,,,,,1.028B,469.90M,,,,-16.30M,,422.90M,156.70M,266.20M,,,,266.20M,276.46M,469.90M,,469.90M,,0.295,0.00,,0.3064,0.295,,0.295,0.00,,0.3064,0.295,,902.64M,902.64M,0.1225,,,
1996-06,2.897B,2.897B,1.860B,1.037B,,567.10M,,-15.90M,,,,,567.10M,469.90M,,,,-15.90M,,421.80M,154.90M,266.90M,,,,266.90M,276.96M,469.90M,,469.90M,,0.30,0.00,,0.3113,0.30,,0.30,0.00,,0.3113,0.30,,889.67M,889.67M,0.1225,,,
1996-03,2.820B,2.820B,1.821B,998.70M,,544.00M,,-18.40M,,,,,544.00M,454.70M,,,,-18.40M,,402.40M,147.50M,254.90M,,,,254.90M,266.56M,454.70M,,454.70M,,0.285,0.00,,0.2980,0.285,,0.285,0.00,,0.2980,0.285,,894.39M,894.39M,0.1225,,,
1995-12,2.566B,2.566B,1.650B,915.40M,,517.00M,,-6.40M,,,,,517.00M,398.40M,,,,-6.40M,,361.90M,131.40M,230.50M,,,,230.50M,234.58M,398.40M,,398.40M,,0.26,0.00,,0.2645,0.26,,0.26,0.00,,0.2645,0.26,,896.21M,896.21M,0.1225,,,
1995-09,2.584B,2.584B,1.646B,938.90M,,517.20M,,-18.30M,,,,,517.20M,421.70M,,,,-18.30M,,373.00M,135.30M,237.70M,,0.00,,237.70M,249.36M,421.70M,,421.70M,,0.24,0.025,0.00,0.2530,0.265,,0.24,0.025,0.0000,0.2530,0.265,,895.06M,895.06M,0.1225,,,
1995-06,2.630B,2.630B,1.707B,922.70M,,498.70M,,-16.70M,,,,,498.70M,424.00M,,,,-16.70M,,376.10M,136.60M,239.50M,,,,239.50M,250.13M,424.00M,,424.00M,,0.27,0.00,,0.2819,0.27,,0.27,0.00,,0.2819,0.27,,894.53M,894.53M,0.1075,,,
1995-03,2.514B,2.514B,1.635B,878.90M,,476.40M,,-18.20M,,,,,476.40M,402.50M,,,,-18.20M,,356.50M,129.40M,227.10M,,,,227.10M,238.69M,402.50M,,402.50M,,0.255,0.00,,0.2680,0.255,,0.255,0.00,,0.2680,0.255,,893.45M,893.45M,0.1075,,,
1994-12,2.285B,2.285B,1.493B,792.00M,,440.90M,,24.40M,,,,,440.90M,351.10M,,,,24.40M,,354.30M,129.60M,224.70M,,-21.30M,,203.40M,209.23M,351.10M,,351.10M,,0.255,-0.025,0.00,0.2377,0.23,,0.255,-0.025,-0.0238,0.2377,0.23,,894.10M,894.10M,0.1075,,,
1994-09,2.238B,2.238B,1.419B,818.40M,,454.50M,,-16.70M,,,,,454.50M,363.90M,,,,-16.70M,,326.90M,118.70M,208.20M,,0.00,,208.20M,218.84M,467.40M,103.50M,363.90M,,0.23,0.00,0.00,0.2419,0.23,,0.23,0.00,-0.0001,0.2419,0.23,,895.73M,895.73M,0.0975,,,
1994-06,2.244B,2.244B,1.460B,784.00M,,422.20M,,-13.50M,,,,,422.20M,361.80M,,,,-13.50M,,326.50M,118.50M,208.00M,,,,208.00M,216.60M,453.60M,91.80M,361.80M,,0.235,0.00,,0.2446,0.235,,0.235,0.00,,0.2446,0.235,,896.33M,896.33M,0.0975,,,
1994-03,2.116B,2.116B,1.371B,745.70M,,406.40M,,-12.30M,,,,,406.40M,339.30M,,,,-12.30M,,305.00M,110.70M,194.30M,,,,194.30M,202.14M,425.60M,86.30M,339.30M,,0.22,0.00,,0.2287,0.22,,0.22,0.00,,0.2287,0.22,,896.66M,896.66M,0.0975,,,
1993-12,2.010B,2.010B,1.303B,706.10M,,396.50M,,184.20M,,,,,396.50M,309.60M,,,,184.20M,,469.40M,175.50M,293.90M,,-115.90M,,178.00M,178.57M,392.50M,82.90M,309.60M,,0.335,-0.13,0.00,0.2067,0.205,,0.335,-0.13,-0.1289,0.2067,0.205,,898.99M,898.99M,0.0975,,,
1993-09,2.041B,2.041B,1.218B,823.00M,,413.50M,,-23.40M,,,,,490.20M,332.80M,,,,-23.40M,,280.30M,100.30M,180.00M,,,,180.00M,195.03M,409.50M,76.70M,332.80M,,0.20,0.00,,0.2167,0.20,,0.20,0.00,,0.2167,0.20,,900.06M,900.06M,0.09,,,
1993-06,2.092B,2.092B,1.267B,825.00M,,404.10M,,-7.50M,,,,,493.40M,331.60M,,,,-7.50M,,294.80M,107.60M,187.20M,,,,187.20M,191.96M,420.90M,89.30M,331.60M,,0.21,0.00,,0.2153,0.21,,0.21,0.00,,0.2153,0.21,,891.43M,891.43M,0.09,,,
1993-03,2.057B,2.057B,1.253B,803.80M,,396.90M,,-7.20M,,,,,486.30M,317.50M,,,,-7.20M,,279.90M,102.20M,177.70M,,,,177.70M,182.27M,406.90M,89.40M,317.50M,,0.20,0.00,,0.2051,0.20,,0.20,0.00,,0.2051,0.20,,888.50M,888.50M,0.09,,,
1992-12,1.984B,1.984B,1.211B,772.90M,,392.10M,,-8.10M,,,,,477.40M,295.50M,,,,-8.10M,,257.00M,93.80M,163.20M,,,,163.20M,168.34M,380.80M,85.30M,295.50M,,0.185,0.00,,0.1908,0.185,,0.185,0.00,,0.1908,0.185,,882.16M,882.16M,0.09,,,
1992-09,1.992B,1.992B,1.218B,773.70M,,387.70M,,-33.80M,,,,,456.80M,316.90M,,,,-33.80M,,264.60M,96.70M,167.90M,,,,167.90M,189.35M,386.00M,69.10M,316.90M,,0.185,0.00,,0.2086,0.185,,0.185,0.00,,0.2086,0.185,,907.57M,907.57M,0.0863,,,
1992-06,1.973B,1.973B,1.225B,748.10M,,367.70M,,-11.00M,,,,,442.30M,305.80M,,,,-11.00M,,272.60M,98.10M,174.50M,,,,174.50M,181.54M,380.40M,74.60M,305.80M,,0.195,0.00,,0.2029,0.195,,0.195,0.00,,0.2029,0.195,,894.87M,894.87M,0.0863,,,
1992-03,1.924B,1.924B,1.200B,723.60M,,355.90M,,-0.50M,,,,,432.90M,290.70M,,,,-0.50M,,264.40M,96.50M,167.90M,,,,167.90M,168.22M,367.70M,77.00M,290.70M,,0.19,0.00,,0.1904,0.19,,0.19,0.00,,0.1904,0.19,,883.68M,883.68M,0.0863,,,
1991-12,1.817B,1.817B,1.116B,701.20M,,348.80M,,-11.10M,,,,,423.30M,277.90M,,,,-11.10M,,242.30M,89.70M,152.60M,,,,152.60M,159.59M,352.40M,74.50M,277.90M,,0.17,0.00,,0.1778,0.17,,0.17,0.00,,0.1778,0.17,,897.65M,897.65M,0.0863,,,
1991-09,1.886B,1.886B,1.151B,734.60M,,359.20M,,-28.50M,,,,,431.30M,303.30M,,,,-28.50M,,252.80M,93.70M,159.10M,,,,159.10M,177.04M,375.40M,72.10M,303.30M,,0.18,0.00,,0.2003,0.18,,0.18,0.00,,0.2003,0.18,,883.77M,883.77M,0.0825,,,
1991-06,1.852B,1.852B,1.129B,723.20M,,359.00M,,-0.80M,,,,,433.20M,290.00M,,,,-0.80M,,262.20M,96.90M,165.30M,,,,165.30M,165.80M,364.20M,74.20M,290.00M,,0.185,0.00,,0.1856,0.185,,0.185,0.00,,0.1856,0.185,,893.51M,893.51M,0.0825,,,
1991-03,1.889B,1.889B,1.165B,724.10M,,361.80M,,0.40M,,,,,436.30M,287.80M,,,,0.40M,,255.10M,94.40M,160.70M,,,,160.70M,160.45M,362.30M,74.50M,287.80M,,0.18,0.00,,0.1797,0.18,,0.18,0.00,,0.1797,0.18,,892.78M,892.78M,0.0825,,,
1990-12,1.801B,1.801B,1.103B,698.00M,,354.10M,,-6.00M,,,,,427.70M,270.30M,,,,-6.00M,,233.00M,86.20M,146.80M,,,,146.80M,150.58M,343.90M,73.60M,270.30M,,0.165,0.00,,0.1692,0.165,,0.165,0.00,,0.1692,0.165,,889.70M,889.70M,0.0825,,,
1990-09,2.039B,2.039B,1.283B,755.60M,,384.70M,,-18.30M,,,,,453.40M,302.20M,,,,-18.30M,,249.80M,95.20M,154.60M,,,,154.60M,165.93M,370.90M,68.70M,302.20M,,0.175,0.00,,0.1878,0.175,,0.175,0.00,,0.1878,0.175,,883.33M,883.33M,0.0788,,,
1990-06,1.982B,1.982B,1.245B,737.60M,,366.20M,,-1.70M,,,,,439.40M,298.20M,,,,-1.70M,,258.40M,97.90M,160.50M,,,,160.50M,161.56M,371.40M,73.20M,298.20M,,0.18,0.00,,0.1812,0.18,,0.18,0.00,,0.1812,0.18,,891.67M,891.67M,0.0788,,,
1990-03,1.906B,1.906B,1.194B,711.70M,,353.80M,,-11.00M,,,,,420.30M,291.40M,,,,-11.00M,,251.90M,95.70M,156.20M,,,,156.20M,163.02M,357.90M,66.50M,291.40M,,0.175,0.00,,0.1826,0.175,,0.175,0.00,,0.1826,0.175,,892.57M,892.57M,0.0788,,,
1989-12,1.646B,1.646B,1.010B,636.00M,,323.70M,,-6.70M,,,,,384.60M,251.40M,,,,-6.70M,,228.90M,87.00M,141.90M,,,,141.90M,146.05M,312.30M,60.90M,251.40M,,0.16,0.00,,0.1647,0.16,,0.16,0.00,,0.1647,0.16,,886.88M,886.88M,0.0788,,,
1989-09,1.763B,1.763B,1.100B,663.00M,,340.30M,,-8.80M,,,,,394.70M,268.30M,,,,-8.80M,,241.80M,92.20M,149.60M,,,,149.60M,155.04M,322.70M,54.40M,268.30M,,0.17,0.00,,0.1762,0.17,,0.17,0.00,,0.1762,0.17,,879.55M,879.55M,0.07,,,
1989-06,1.784B,1.784B,1.116B,668.00M,,335.60M,,-4.70M,,,,,394.30M,273.70M,,,,-4.70M,,249.40M,95.60M,153.80M,,,,153.80M,156.70M,332.40M,58.70M,273.70M,,0.175,0.00,,0.1783,0.175,,0.175,0.00,,0.1783,0.175,,878.86M,878.86M,0.07,,,
1989-03,1.805B,1.805B,,,,,,,,,,,,1.805B,,,,,,,,147.80M,,,,147.80M,,1.805B,,1.805B,,0.165,0.00,,0.165,0.165,,0.165,0.00,,0.165,0.165,,898.38M,898.38M,0.07,,,
1988-12,1.720B,1.720B,,,,,,,,,,,,1.720B,,,,,,,,136.80M,,,,136.80M,,1.720B,,1.720B,,0.155,0.00,,0.155,0.155,,0.155,0.00,,0.155,0.155,,901.51M,901.51M,0.07,,,
1988-09,1.747B,1.747B,,,,,,,,,,,,-3.909B,,,,,,,,134.10M,,,,134.10M,,-3.909B,,-3.909B,,,,,,,,,,,,,,901.51M,901.51M,0.0625,,,
1988-06,1.698B,1.698B,,,,,,,,,,,,1.698B,,,,,,,,137.20M,,,,137.20M,,1.698B,,1.698B,,0.15,0.00,,0.15,0.15,,0.15,0.00,,0.15,0.15,,918.50M,918.50M,0.0625,,,
1988-03,1.628B,1.628B,,,,,,,,,,,,1.628B,,,,,,,,132.60M,,,,132.60M,,1.628B,,1.628B,,0.145,0.00,,0.145,0.145,,0.145,0.00,,0.145,0.145,,918.50M,918.50M,0.0625,,,
1987-12,1.578B,1.578B,,,,,,,,,,,,1.578B,,,,,,,,124.90M,,,,124.90M,,1.578B,,1.578B,,0.135,0.00,,0.135,0.135,,0.135,0.00,,0.135,0.135,,925.24M,925.24M,0.0625,,,
1987-09,1.640B,1.640B,,,,,,,,,,,,-3.608B,,,,,,,,123.50M,,,,123.50M,,-3.608B,,-3.608B,,,,,,,,,,,,,,925.24M,925.24M,0.0626,,,
1987-06,1.566B,1.566B,,,,,,,,,,,,1.566B,,,,,,,,119.00M,,,,119.00M,,1.566B,,1.566B,,0.13,0.00,,0.13,0.13,,0.13,0.00,,0.13,0.13,,941.88M,941.88M,0.0601,,,
1987-03,1.533B,1.533B,,,,,,,,,,,,1.533B,,,,,,,,115.40M,,,,115.40M,,1.533B,,1.533B,,0.125,0.00,,0.125,0.125,,0.125,0.00,,0.125,0.125,,872.64M,872.64M,0.0601,,,
1986-12,1.358B,1.358B,,,,,,,,,,,,1.358B,,,,,,,,105.20M,,,,105.20M,,1.358B,,1.358B,,0.12,0.00,,0.12,0.12,,0.12,0.00,,0.12,0.12,,872.32M,872.32M,0.0601,,,
1986-09,1.265B,1.265B,,,,,,,,,,,,-2.931B,,,,,,,,101.10M,,,,101.10M,,-2.931B,,-2.931B,,,,,,,,,,,,,,872.32M,872.32M,0.0576,,,
1986-06,1.273B,1.273B,,,,,,,,,,,,1.273B,,,,,,,,104.60M,,,,104.60M,,1.273B,,1.273B,,0.12,0.00,,0.12,0.12,,0.12,0.00,,0.12,0.12,,887.50M,887.50M,0.0576,,,
1986-03,1.260B,1.260B,,,,,,,,,,,,1.260B,,,,,,,,103.80M,,,,103.80M,,1.260B,,1.260B,,0.12,0.00,,0.12,0.12,,0.12,0.00,,0.12,0.12,,887.50M,887.50M,0.0576,,,
1985-12,1.155B,1.155B,,,,,,,,,,,,1.155B,,,,,,,,99.40M,,,,99.40M,,1.155B,,1.155B,,0.115,0.00,,0.115,0.115,,0.115,0.00,,0.115,0.115,,887.50M,887.50M,,,,
1985-09,1.164B,1.164B,,,,,,,,,,,,-2.746B,,,,,,,,97.30M,,,,97.30M,,-2.746B,,-2.746B,,,,,,,,,,,,,,887.50M,887.50M,,,,
1985-06,1.193B,1.193B,,,,,,,,,,,,1.193B,,,,,,,,103.30M,,,,103.30M,,1.193B,,1.193B,,0.12,0.00,,0.12,0.12,,0.12,0.00,,0.12,0.12,,887.46M,887.46M,,,,
1985-03,1.121B,1.121B,,,,,,,,,,,,1.121B,,,,,,,,97.30M,,,,97.30M,,1.121B,,1.121B,,0.12,0.00,,0.12,0.12,,0.12,0.00,,0.12,0.12,,823.35M,823.35M,,,,
1984-12,1.077B,1.077B,,,,,,,,,,,,1.077B,,,,,,,,92.40M,,,,92.40M,,1.077B,,1.077B,,0.115,0.00,,0.115,0.115,,0.115,0.00,,0.115,0.115,,823.45M,823.45M,,,,
1984-09,1.074B,1.074B,,,,,,,,,,,,-2.456B,,,,,,,,85.70M,,,,85.70M,,-2.456B,,-2.456B,,,,,,,,,,,,,,823.45M,823.45M,,,,
1984-06,1.121B,1.121B,,,,,,,,,,,,1.121B,,,,,,,,91.70M,,,,91.70M,,1.121B,,1.121B,,0.115,0.00,,0.115,0.115,,0.115,0.00,,0.115,0.115,,820.05M,820.05M,,,,
1984-03,1.049B,1.049B,,,,,,,,,,,,1.049B,,,,,,,,91.20M,,,,91.20M,,1.049B,,1.049B,,0.11,0.00,,0.11,0.11,,0.11,0.00,,0.11,0.11,,823.09M,823.09M,,,,
