,NetIncome,NetForeignCurrencyExchangeGain/Loss,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2005-12,3.79M,,,,1.647M,2.242M,6.227M,8.469M,8.469M,0.939M,,,,,,,5.237M,0.843M,-12.46M,,,5.069M,-1.308M,13.54M,-2.996M,,-2.996M,,-1.358M,-19.77M,0.295M,-23.83M,,,,22.13M,,9.977M,,-18.71M,-8.731M,100.09M,-19.02M,-0.726M,80.34M,22.13M,,,,,
2005-09,171.57M,,,,3.287M,2.12M,6.249M,8.369M,8.369M,-161.18M,,,,,,,2.091M,1.313M,-10.92M,,,-2.09M,-9.608M,12.44M,-1.831M,,-1.831M,,-133.80M,84.84M,0.422M,-50.37M,,,,0.534M,,0.534M,,18.71M,19.24M,118.27M,-18.68M,0.502M,100.09M,0.534M,,,,,
2005-06,12.38M,,,,1.43M,2.017M,3.754M,5.771M,5.771M,0.364M,,,,,,,-7.408M,-1.555M,-0.164M,,0.955M,2.20M,-5.972M,13.97M,-2.061M,,-2.061M,,1.00M,4.593M,0.797M,4.329M,,,,1.562M,,1.562M,,,1.562M,100.07M,19.86M,-1.661M,118.27M,1.562M,,,,,
2005-03,4.992M,,,,1.239M,2.289M,3.88M,6.169M,6.169M,-0.745M,,,,,,,-8.259M,0.207M,20.04M,,-0.955M,,11.04M,22.69M,-4.142M,,-4.142M,,-1.00M,-19.19M,-0.288M,-24.62M,,,,1.143M,,1.143M,,,1.143M,101.27M,-0.782M,-0.417M,100.07M,1.143M,,,,,
2004-12,5.001M,,,,1.35M,5.255M,-0.021M,5.234M,5.234M,,,,,,,,6.318M,1.276M,-12.03M,,,-0.162M,-4.599M,5.728M,-1.988M,0.00,-1.988M,,,21.37M,161.09M,15.74M,,,0.00,4.572M,,4.572M,,-3.684M,0.888M,77.28M,22.36M,1.631M,101.27M,4.572M,,,,,
2004-09,10.00M,,,,1.035M,1.574M,2.702M,4.276M,4.276M,,,,,,,,4.475M,-0.157M,-4.00M,,,-0.172M,0.146M,15.46M,-2.454M,0.00,-2.454M,,,62.00M,-157.50M,-97.96M,,,0.00,0.099M,,0.099M,,3.39M,3.489M,156.31M,-79.01M,-0.015M,77.28M,0.099M,,,,,
2004-06,11.40M,,,,0.704M,0.216M,3.394M,3.61M,3.61M,,,,,,,,-4.741M,-2.689M,2.134M,,,-0.256M,-5.552M,10.16M,-1.255M,0.00,-1.255M,,,-127.37M,-3.586M,-132.21M,,,100.05M,5.353M,,5.353M,,-3.055M,102.35M,176.09M,-19.70M,-0.091M,156.31M,5.353M,,,,,
2004-03,5.103M,,,,0.251M,2.078M,0.358M,2.436M,2.436M,,,,,,,,-8.295M,1.343M,9.492M,,,0.336M,2.876M,10.67M,-1.247M,0.007M,-1.24M,,,72.16M,0.101M,71.02M,,,-0.051M,0.564M,,0.564M,,,0.513M,93.73M,82.20M,0.16M,176.09M,0.564M,,,,,
2003-12,2.228M,,,,-8.81M,5.997M,-3.808M,2.189M,2.189M,,,,,,,5.653M,8.083M,1.959M,-13.81M,,,1.019M,-2.749M,0.952M,-2.14M,,-2.14M,,,-3.744M,9.961M,-10.47M,,,0.00,-10.24M,,-22.46M,,-0.221M,-12.37M,115.30M,-21.89M,0.316M,93.73M,-10.24M,,,,,
2003-09,9.73M,,,,-0.804M,5.083M,4.261M,2.645M,2.645M,,,,,,,1.267M,4.277M,1.421M,-6.503M,,-0.919M,,-1.724M,11.11M,-2.854M,,-2.854M,,,-86.13M,-2.512M,-91.49M,,,125.00M,5.563M,,5.563M,,-4.038M,126.52M,69.29M,46.15M,-0.137M,115.30M,5.563M,,,,,
2003-06,7.689M,,,,-0.028M,,,2.787M,2.787M,,,,,,,,-8.466M,-1.915M,8.311M,,0.919M,-0.49M,-1.641M,8.807M,-1.104M,,-1.104M,,,8.581M,-4.256M,3.221M,,,,4.663M,,4.663M,,,4.663M,52.56M,16.69M,0.041M,69.29M,4.663M,,,,,
2003-03,-7.731M,,,,7.311M,,,3.912M,3.912M,,,,,,,,-3.143M,0.105M,-1.784M,,,0.49M,-4.332M,-0.84M,-0.484M,,-0.484M,,,-6.04M,-7.43M,-13.95M,,,,0.014M,,0.014M,,,0.014M,67.18M,-14.78M,0.158M,52.56M,0.014M,,,,,
2002-12,-7.411M,,,,-23.72M,,,4.466M,4.466M,,,,,,,25.04M,0.727M,2.759M,-5.285M,,,-0.801M,-2.60M,-1.183M,-1.719M,0.001M,-1.718M,,,3.324M,-0.074M,1.532M,,,,-3.165M,0.00,-3.165M,,,0.006M,66.86M,0.355M,-0.03M,67.18M,-3.165M,,,0.00,,
2002-09,-23.82M,,,,23.95M,,,4.85M,4.85M,,,,,,,-0.807M,5.042M,-1.454M,-21.64M,,-0.927M,,-18.98M,-14.81M,-3.101M,0.196M,-2.905M,,,-5.02M,3.239M,-4.686M,,,,0.134M,-11.78M,-11.64M,,,-11.64M,98.14M,-31.14M,-0.145M,66.86M,0.134M,,,-11.78M,,
2002-06,6.309M,,,,0.298M,,,4.49M,4.49M,,,,,,,,-2.302M,-0.79M,-4.515M,,0.927M,-1.686M,-8.366M,2.731M,-1.157M,0.033M,-1.124M,,,5.869M,-2.119M,2.626M,,,,0.768M,,0.768M,,,0.768M,92.05M,6.125M,-0.036M,98.14M,0.768M,,,,,
2002-03,5.741M,,,,-0.556M,,,4.459M,4.459M,,,,,,,,-4.489M,-1.324M,8.558M,,,1.686M,4.431M,14.08M,-3.15M,,-3.15M,,,-19.06M,-2.058M,-24.27M,,,,2.263M,,2.263M,,,2.263M,99.94M,-7.928M,0.036M,92.05M,2.263M,,,,,
2001-12,-1.322M,,,,20.32M,-12.34M,-9.274M,-5.037M,-5.037M,,,,,,,,-0.363M,-0.161M,9.179M,,-0.541M,,8.114M,22.90M,-1.221M,,-1.051M,,,-3.772M,-15.34M,-20.17M,,,,2.488M,,-6.228M,,4.431M,-1.797M,99.01M,0.93M,,99.94M,2.488M,,,,,
2001-09,4.977M,,,,7.626M,4.195M,0.765M,4.96M,4.96M,,,,,,,,-1.279M,1.228M,-36.97M,,3.425M,,-33.59M,-16.03M,-2.394M,,-2.394M,,,-15.06M,3.969M,-13.49M,,,,4.247M,,4.247M,,0.00,4.247M,124.28M,-25.27M,,99.01M,4.247M,,,,,
2001-06,2.816M,,,,7.743M,4.047M,3.661M,7.708M,7.708M,,,,,,,,-9.754M,-0.971M,22.96M,,-3.014M,,9.22M,27.49M,-2.984M,,-2.984M,,,-4.039M,6.499M,-0.524M,,,,3.054M,,3.054M,,-4.431M,-1.377M,98.70M,25.59M,,124.28M,3.054M,,,,,
2001-03,-13.77M,,,,2.882M,4.099M,4.848M,8.947M,8.947M,,,,,,,,-8.372M,0.603M,3.327M,,0.13M,,-4.312M,-6.257M,-2.816M,,-2.816M,,,-15.23M,-3.946M,-22.00M,,,,49.93M,,49.93M,,,49.93M,77.02M,21.67M,,98.70M,49.93M,,,,,
2000-12,-105.14M,,,,34.34M,,,6.674M,6.674M,,,,,,,,23.60M,,6.381M,1.608M,-0.21M,,31.38M,-32.74M,-8.358M,,-8.358M,,,18.10M,3.849M,13.60M,,,0.021M,0.432M,,0.432M,,,0.453M,104.50M,-18.69M,,77.02M,0.432M,,,,,
2000-09,-191.92M,,,,189.60M,,,4.462M,4.462M,,,,,,,-1.652M,13.52M,,-12.52M,6.047M,1.486M,,8.529M,9.016M,-9.119M,,-9.119M,,,17.50M,-9.598M,-1.219M,,,-0.007M,1.277M,,1.277M,,,1.27M,95.43M,9.067M,,104.50M,1.277M,,,,,
2000-06,-4.521M,,,,1.067M,,,3.577M,3.577M,,,,,,,1.652M,7.024M,,16.11M,-12.40M,-3.027M,,7.712M,9.487M,-8.047M,,-8.047M,,,-9.247M,-24.71M,-42.00M,,,-0.008M,2.10M,,2.10M,,,2.092M,125.86M,-30.42M,,95.43M,2.10M,,,,,
2000-03,-13.57M,,,,1.495M,,,2.672M,2.672M,,,,,,,,-36.74M,,35.18M,2.453M,3.027M,,3.918M,-5.482M,-11.80M,,-11.80M,,,-0.255M,,-12.05M,,,-0.006M,10.22M,,10.22M,,,10.22M,133.17M,-7.317M,,125.86M,10.22M,,,,,
1999-12,-921.50M,,,,911.50M,,,1.80M,1.80M,,,,,,,,8.40M,,-4.50M,-7.50M,-1.00M,,-4.60M,-12.80M,-9.40M,,-9.40M,,,38.60M,0.00,29.20M,,,0.00,1.30M,,1.30M,,,1.30M,115.50M,17.70M,,133.20M,1.30M,,,,,
1999-09,-102.20M,,,,89.50M,,,1.60M,1.60M,,,,,,,1.10M,-12.30M,,9.30M,-1.10M,-2.30M,,-6.40M,-16.40M,-6.70M,,-6.70M,,,-68.10M,-2.00M,-76.80M,,,0.00,65.90M,,65.90M,,,65.90M,142.80M,-27.30M,,115.50M,65.90M,,,,,
1999-06,-14.20M,,,,1.40M,,,1.20M,1.20M,,,,,,,-1.20M,-19.10M,,15.90M,-2.10M,1.40M,,-3.90M,-16.70M,-6.50M,,-6.50M,,,-9.30M,,-15.80M,,,-1.00M,144.60M,,144.60M,,1.00M,144.60M,30.60M,112.10M,,142.80M,144.60M,,,,,
1999-03,-17.20M,,,,0.80M,,,0.70M,0.70M,,,,,,,0.10M,-6.60M,,7.80M,-1.30M,-1.40M,,-1.50M,-17.10M,-4.80M,,-4.80M,,,,,-4.80M,,,,,,,,-1.00M,-1.00M,53.60M,-22.90M,,30.60M,,,,,,
