,NetIncome,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2004-09,109.00M,,37.00M,46.00M,46.00M,1.00M,,,,52.00M,-8.00M,,-60.00M,5.00M,10.00M,,-1.00M,24.00M,216.00M,,-27.00M,,-27.00M,,,-8.00M,-35.00M,,,,-119.00M,18.00M,,18.00M,,-58.00M,,,-159.00M,,232.00M,22.00M,1.00M,255.00M,,18.00M,,,,,,
2004-06,159.00M,,11.00M,48.00M,48.00M,17.00M,,,17.00M,0.00,37.00M,,36.00M,-7.00M,80.00M,,105.00M,11.00M,368.00M,,-53.00M,,-53.00M,0.00,,-47.00M,-100.00M,,,,-204.00M,26.00M,0.00,26.00M,,-57.00M,,0.00,-235.00M,,199.00M,33.00M,0.00,232.00M,,26.00M,,,0.00,,,
2004-03,90.00M,,23.00M,46.00M,46.00M,4.00M,,,-22.00M,-112.00M,-36.00M,,171.00M,2.00M,-15.00M,,10.00M,52.00M,203.00M,,-34.00M,,-34.00M,-2.00M,,7.00M,-31.00M,,,,-172.00M,53.00M,0.00,53.00M,,-57.00M,,2.00M,-175.00M,,201.00M,-3.00M,1.00M,199.00M,,53.00M,,,0.00,,,
2003-12,111.00M,,-9.00M,48.00M,48.00M,3.00M,,,22.00M,34.00M,-29.00M,,-35.00M,3.00M,44.00M,,17.00M,-4.00M,188.00M,,-44.00M,,-44.00M,-11.00M,,-2.00M,-57.00M,,,,-5.00M,19.00M,-73.00M,-54.00M,,-57.00M,,-1.00M,-118.00M,,187.00M,13.00M,1.00M,201.00M,,19.00M,,,-73.00M,,,
2003-09,130.00M,,9.00M,47.00M,47.00M,2.00M,,,,86.00M,-9.00M,,-100.00M,2.00M,-23.00M,,-44.00M,-4.00M,140.00M,,-39.00M,,-39.00M,,,-9.00M,-48.00M,,,,99.00M,13.00M,-147.00M,-134.00M,,-58.00M,,23.00M,-77.00M,,172.00M,15.00M,,187.00M,,13.00M,,,-147.00M,,,
2003-06,104.00M,,75.00M,47.00M,47.00M,84.00M,,,,-17.00M,36.00M,,55.00M,11.00M,-127.00M,,-42.00M,49.00M,317.00M,,-68.00M,8.00M,-60.00M,,,-1.00M,-53.00M,,,,-85.00M,-2.00M,-138.00M,-140.00M,,-48.00M,,,-270.00M,,179.00M,-6.00M,-1.00M,172.00M,,-2.00M,,,-138.00M,,,
2003-03,112.00M,,-63.00M,54.00M,54.00M,14.00M,,,,-120.00M,-30.00M,,77.00M,-10.00M,49.00M,,-34.00M,0.00,83.00M,,-43.00M,7.00M,-36.00M,16.00M,,-14.00M,-34.00M,,,,52.00M,15.00M,-41.00M,-26.00M,,-48.00M,,,-19.00M,,149.00M,30.00M,0.00,179.00M,,15.00M,,,-41.00M,,,
2002-12,87.00M,,35.00M,45.00M,45.00M,,,,,52.00M,-16.00M,,-43.00M,-4.00M,37.00M,,26.00M,6.00M,199.00M,,-52.00M,,-52.00M,-16.00M,,16.00M,-52.00M,,,,49.00M,21.00M,-169.00M,-148.00M,,-48.00M,,,-146.00M,,143.00M,1.00M,5.00M,149.00M,,21.00M,,,-169.00M,,,
2002-09,158.00M,,15.00M,43.00M,43.00M,,,,,104.00M,,,-133.00M,2.00M,27.00M,,0.00,-12.00M,204.00M,,-40.00M,,-40.00M,,,-14.00M,-54.00M,,,,-5.00M,7.00M,-138.00M,-131.00M,,-49.00M,,,-182.00M,,177.00M,-32.00M,-2.00M,143.00M,,7.00M,,,-138.00M,,,
2002-06,154.00M,,-8.00M,54.00M,54.00M,-16.00M,,,,-21.00M,58.00M,,85.00M,-2.00M,28.00M,,148.00M,-4.00M,328.00M,,-60.00M,24.00M,-36.00M,,,29.00M,-6.00M,,,,71.00M,16.00M,-116.00M,-100.00M,,-49.00M,,,-334.00M,,190.00M,-12.00M,-1.00M,177.00M,,16.00M,,,-116.00M,,,
2002-03,50.00M,,73.00M,50.00M,50.00M,-11.00M,,,,-99.00M,19.00M,,41.00M,4.00M,21.00M,,-14.00M,10.00M,158.00M,,-46.00M,36.00M,-10.00M,4.00M,,-23.00M,-29.00M,,,,46.00M,18.00M,-134.00M,-116.00M,,-48.00M,,,-118.00M,,182.00M,11.00M,-3.00M,190.00M,,18.00M,,,-134.00M,,,
2001-12,42.00M,,82.00M,36.00M,36.00M,,,,,56.00M,-58.00M,,15.00M,-7.00M,8.00M,,14.00M,-1.00M,173.00M,,-37.00M,,-37.00M,-4.00M,,11.00M,-30.00M,,,,-95.00M,1.00M,-3.00M,-2.00M,,-49.00M,,,-146.00M,,189.00M,-3.00M,-4.00M,182.00M,,1.00M,,,-3.00M,,,
2001-09,111.00M,,7.00M,49.00M,49.00M,,,,,64.00M,-16.00M,,-35.00M,2.00M,42.00M,,57.00M,-7.00M,217.00M,,-33.00M,,-33.00M,,,-11.00M,-44.00M,,,,-26.00M,,-159.00M,-159.00M,,-50.00M,,,-235.00M,,251.00M,-62.00M,,189.00M,,,,,-159.00M,,,
2001-06,82.00M,,36.00M,58.00M,58.00M,-9.00M,,,,66.00M,70.00M,,56.00M,5.00M,17.00M,,214.00M,,381.00M,,-106.00M,-2.00M,-108.00M,-9.00M,,22.00M,-95.00M,,,,22.00M,-2.00M,-2.00M,-4.00M,,-51.00M,,-150.00M,-183.00M,,152.00M,103.00M,-4.00M,251.00M,,-2.00M,,,-2.00M,,,
2001-03,79.00M,,13.00M,57.00M,57.00M,-29.00M,,,,-85.00M,28.00M,-3.00M,-7.00M,3.00M,25.00M,,-39.00M,,81.00M,,-40.00M,3.00M,-37.00M,0.00,,-5.00M,-42.00M,,,,-181.00M,-1.00M,-1.00M,-2.00M,,-49.00M,,150.00M,-82.00M,,196.00M,-43.00M,-1.00M,152.00M,,-1.00M,,,-1.00M,,,
2000-12,64.00M,,16.00M,56.00M,56.00M,-5.00M,,,,35.00M,-3.00M,-2.00M,-27.00M,,-11.00M,,-8.00M,,123.00M,,-28.00M,5.00M,-23.00M,-117.00M,,-10.00M,-150.00M,,,,74.00M,13.00M,-3.00M,10.00M,,-50.00M,,,34.00M,,189.00M,7.00M,0.00,196.00M,,13.00M,,,-3.00M,,,
2000-09,98.00M,,13.00M,54.00M,54.00M,2.00M,,,,107.00M,-5.00M,5.00M,-100.00M,,-12.00M,,-5.00M,,162.00M,,-18.00M,,-18.00M,,,-31.00M,-49.00M,,,,-125.00M,2.00M,-4.00M,-2.00M,,-49.00M,,,-176.00M,,254.00M,-63.00M,-2.00M,189.00M,,2.00M,,,-4.00M,,,
2000-06,125.00M,,12.00M,50.00M,50.00M,-29.00M,,,,48.00M,28.00M,,115.00M,-10.00M,9.00M,,190.00M,,348.00M,,-55.00M,-2.00M,-57.00M,-19.00M,,72.00M,-4.00M,,,,-190.00M,91.00M,-10.00M,81.00M,,-47.00M,,-82.00M,-238.00M,,149.00M,106.00M,-1.00M,254.00M,,91.00M,,,-10.00M,,,
2000-03,106.00M,,3.00M,53.00M,53.00M,4.00M,,,,-94.00M,-40.00M,,21.00M,1.00M,40.00M,,-72.00M,,94.00M,,-36.00M,2.00M,-34.00M,-70.00M,,-30.00M,-134.00M,,,,147.00M,4.00M,-74.00M,-70.00M,,-47.00M,,0.00,30.00M,,159.00M,-10.00M,0.00,149.00M,,4.00M,,,-74.00M,,,
1999-12,76.00M,,7.00M,50.00M,50.00M,7.00M,,,,6.00M,-39.00M,,9.00M,-2.00M,-15.00M,,-41.00M,,99.00M,,-43.00M,3.00M,-40.00M,-24.00M,,-13.00M,-77.00M,,,,-20.00M,-2.00M,-2.00M,-4.00M,,-48.00M,,0.00,-72.00M,,209.00M,-50.00M,0.00,159.00M,,-2.00M,,,-2.00M,,,
1999-09,87.00M,,-4.00M,48.00M,48.00M,2.00M,,,,30.00M,1.00M,,-1.00M,8.00M,-31.00M,,7.00M,,140.00M,,-24.00M,,-24.00M,-7.00M,,-14.00M,-45.00M,,,,-15.00M,10.00M,-49.00M,-39.00M,,-47.00M,,82.00M,-19.00M,,132.00M,76.00M,1.00M,209.00M,,10.00M,,,-49.00M,,,
1999-06,50.10M,,36.80M,55.60M,55.60M,-34.40M,,,,-2.40M,84.10M,,47.80M,-3.40M,74.70M,,200.80M,,308.90M,,50.10M,11.00M,61.10M,-116.00M,,-10.10M,-65.00M,,,,-101.90M,2.10M,-0.50M,1.60M,,-42.20M,,-80.00M,-222.50M,,0.00,21.40M,,132.00M,,2.10M,,,-0.50M,,,
1999-03,21.90M,,47.20M,49.40M,49.40M,1.40M,,,,-62.60M,-25.10M,,15.20M,-0.60M,53.30M,,-19.80M,,100.10M,,-157.10M,1.00M,-156.10M,111.00M,,19.10M,-26.00M,,,,-67.10M,20.90M,0.50M,21.40M,,-37.80M,,-5.00M,-88.50M,,125.00M,-14.40M,,0.00,,20.90M,,,0.50M,,,
1998-12,74.00M,,-4.00M,49.00M,49.00M,1.00M,,,,-12.00M,-10.00M,,-8.00M,1.00M,-25.00M,,-54.00M,,66.00M,,-38.00M,4.00M,-34.00M,-20.00M,,-12.00M,-66.00M,,,,25.00M,34.00M,-5.00M,29.00M,,-41.00M,,-15.00M,-2.00M,,128.00M,-2.00M,-1.00M,125.00M,,34.00M,,,-5.00M,,,
1998-09,100.00M,,-3.00M,48.00M,48.00M,3.00M,,,,101.00M,-1.00M,,-60.00M,5.00M,-51.00M,,-6.00M,,142.00M,,-31.00M,,-31.00M,-91.00M,,-34.00M,-156.00M,,,,101.00M,7.00M,-28.00M,-21.00M,,-41.00M,,,39.00M,,102.00M,25.00M,1.00M,128.00M,,7.00M,,,-28.00M,,,
1998-06,108.70M,,7.70M,52.30M,52.30M,19.80M,,,0.10M,-20.30M,32.20M,,56.50M,-6.20M,45.50M,,107.70M,,296.30M,,-102.90M,8.70M,-94.20M,,,-33.80M,-128.00M,,,,-122.00M,37.80M,-42.10M,-4.30M,,-36.70M,,15.00M,-148.00M,,0.00,20.30M,,102.00M,,37.80M,,,-42.10M,,,
1998-03,117.50M,,-6.00M,64.70M,64.70M,29.30M,,,-0.20M,-69.20M,-30.50M,,-8.60M,2.60M,-29.10M,,-134.80M,,70.50M,,-196.40M,8.60M,-187.80M,,,81.40M,-106.40M,,,,124.60M,26.20M,-28.80M,-2.60M,,-44.30M,,-15.00M,62.70M,,0.00,26.80M,,0.00,,26.20M,,,-28.80M,,,
1997-12,49.40M,,6.90M,28.30M,28.30M,0.70M,,,0.10M,-3.40M,-32.40M,,-64.40M,-1.30M,16.60M,,-84.90M,,0.50M,,-21.30M,0.60M,-20.70M,,,-55.80M,-76.50M,,,,114.60M,-8.70M,-33.30M,-42.00M,,-33.10M,,0.10M,39.60M,,0.00,-36.40M,,0.00,,-8.70M,,,-33.30M,,,
1997-09,74.40M,,-9.60M,36.70M,36.70M,2.20M,,,,16.90M,-16.30M,,37.50M,5.90M,-98.00M,,-54.00M,,49.70M,,-18.40M,1.10M,-17.30M,,,-72.80M,-90.10M,,,,55.80M,8.70M,-4.80M,3.90M,,-32.90M,,-0.10M,26.70M,,101.00M,-13.70M,,0.00,,8.70M,,,-4.80M,,,
1997-06,125.00M,,-3.40M,75.70M,75.70M,3.60M,,,-0.10M,28.30M,33.10M,,-10.10M,-6.70M,27.10M,,71.70M,,272.50M,,-734.80M,5.20M,-729.60M,460.30M,,37.90M,-231.40M,,,,39.30M,12.30M,-63.50M,-51.20M,,-42.00M,,-0.10M,-54.00M,,113.70M,-12.90M,,109.00M,,12.30M,,,-63.50M,,,
1997-03,65.60M,,-7.90M,32.50M,32.50M,2.30M,,,0.00,-99.00M,-11.30M,,26.70M,6.00M,5.90M,,-71.70M,,20.80M,,-18.80M,-0.10M,-18.90M,-7.50M,,-36.50M,-62.90M,,,,109.00M,19.70M,-23.70M,-4.00M,,-30.10M,,0.00,74.90M,,80.90M,32.80M,,113.70M,,19.70M,,,-23.70M,,,
1996-12,43.90M,,0.00,33.10M,33.10M,1.30M,,,0.00,1.60M,-33.50M,,-24.00M,-4.20M,-1.30M,,-61.40M,,16.90M,,-14.40M,1.40M,-13.00M,-430.60M,,-6.30M,-449.90M,,,,436.00M,2.90M,-11.80M,-8.90M,,-30.00M,,0.10M,397.20M,,116.80M,-35.80M,,80.90M,,2.90M,,,-11.80M,,,
1996-09,65.50M,,5.30M,26.70M,26.70M,0.80M,,,0.10M,42.10M,-8.30M,,-28.60M,-3.10M,21.30M,,23.40M,,121.80M,,-23.00M,0.50M,-22.50M,-22.20M,,-17.10M,-61.80M,,,,-11.30M,7.10M,,7.10M,,-29.90M,,,-34.10M,,90.80M,25.90M,,116.80M,,7.10M,,,,,,
1996-06,65.80M,,7.00M,25.80M,25.80M,-2.30M,,,-0.10M,3.70M,38.00M,,55.30M,21.60M,-0.40M,,118.20M,,214.40M,,-31.10M,-0.10M,-31.20M,-34.20M,,121.10M,55.70M,,,,-225.30M,0.10M,-15.20M,-15.10M,,-27.30M,,0.00,-267.70M,,88.40M,2.40M,,90.80M,,0.10M,,,-15.20M,,,
1996-03,59.60M,,-3.40M,35.00M,35.00M,1.00M,,,0.10M,-67.80M,-9.60M,,-4.00M,-16.10M,52.40M,,-45.10M,,47.20M,,-23.00M,2.00M,-21.00M,-69.30M,,-146.40M,-236.70M,,,,220.80M,11.70M,-32.70M,-21.00M,,-27.60M,,-0.10M,172.10M,,105.90M,-17.40M,,88.40M,,11.70M,,,-32.70M,,,
1995-12,37.90M,,7.90M,29.20M,29.20M,0.00,,,,-2.40M,-29.60M,,-10.80M,0.80M,-56.00M,,-98.00M,,-23.00M,,-18.50M,-1.60M,-20.10M,-1.30M,,-6.30M,-27.70M,,,,88.20M,-0.30M,-31.40M,-31.70M,,-27.70M,,,28.80M,,127.80M,-21.90M,,105.90M,,-0.30M,,,-31.40M,,,
1995-09,58.80M,,4.60M,26.50M,26.50M,3.30M,,,,93.90M,-3.90M,,-22.60M,1.40M,6.10M,,74.90M,,168.10M,,-12.20M,2.40M,-9.80M,-60.40M,,-15.80M,-86.00M,,,,-47.70M,2.60M,-18.80M,-16.20M,,-27.80M,,,-91.70M,,137.30M,-9.60M,,127.80M,,2.60M,,,-18.80M,,,
1995-06,59.50M,,-1.10M,23.90M,23.90M,6.40M,,,-0.10M,-42.10M,41.90M,,45.40M,-3.80M,15.90M,,57.30M,,145.90M,,-23.40M,0.80M,-22.60M,-43.70M,,-30.20M,-96.50M,,,,65.90M,3.70M,-49.10M,-45.40M,,-25.50M,,0.00,-5.00M,,92.90M,44.40M,,137.30M,,3.70M,,,-49.10M,,,
1995-03,54.00M,,-1.60M,28.60M,28.60M,3.60M,,,-0.10M,-88.10M,-3.50M,,-3.70M,-0.60M,43.70M,,-52.20M,,32.30M,,-10.70M,7.30M,-3.40M,-29.80M,,-6.10M,-39.30M,,,,-9.20M,2.60M,-2.50M,0.10M,,-25.50M,,0.20M,-34.40M,,134.40M,-41.40M,,92.90M,,2.60M,,,-2.50M,,,
1994-12,34.10M,,9.10M,26.10M,26.10M,1.50M,,,0.10M,12.70M,-42.90M,,-10.00M,-0.70M,-38.80M,,-79.70M,,-8.80M,,-17.60M,0.50M,-17.10M,-6.10M,,-9.00M,-32.20M,,,,74.70M,1.20M,-26.70M,-25.50M,,-25.70M,,-0.10M,23.40M,,151.90M,-17.60M,,134.40M,,1.20M,,,-26.70M,,,
1994-09,53.20M,,1.10M,25.30M,25.30M,3.90M,,,,59.20M,-7.20M,,-9.90M,3.20M,-7.40M,,37.90M,,121.40M,,-11.20M,0.10M,-11.10M,-18.10M,,-9.10M,-38.30M,,,,-24.80M,3.30M,,3.30M,,-25.60M,,,-47.10M,,115.90M,36.00M,,151.90M,,3.30M,,,,,,
1994-06,53.60M,,26.00M,23.50M,23.50M,-0.20M,,,-2.90M,30.20M,42.70M,,29.70M,3.80M,-14.00M,,92.40M,-10.60M,181.80M,,-18.70M,4.50M,-14.20M,,,-1.80M,-16.00M,,,,-142.80M,2.60M,0.00,2.60M,,-24.00M,,,-164.20M,,0.00,1.60M,,0.00,,2.60M,,,0.00,,,
1994-03,49.50M,,0.00,24.70M,24.70M,4.50M,,,1.90M,-134.30M,-0.40M,,1.20M,-5.50M,29.50M,,-109.50M,0.00,-28.90M,,-9.60M,1.70M,-7.90M,,,-122.00M,-129.90M,,,,179.50M,0.20M,-17.80M,-17.60M,,-24.10M,,-0.10M,137.70M,,0.00,-21.10M,,0.00,,0.20M,,,-17.80M,,,
1993-12,30.60M,,0.00,22.90M,22.90M,3.90M,,,5.50M,46.00M,-28.70M,,0.80M,-0.60M,-45.50M,,-28.00M,-6.10M,28.80M,,-17.50M,-0.40M,-17.90M,,,-28.90M,-46.80M,,,,15.80M,2.90M,-38.80M,-35.90M,,-24.50M,,0.10M,-44.50M,,0.00,-62.50M,,0.00,,2.90M,,,-38.80M,,,
1993-09,78.40M,,-32.10M,23.00M,23.00M,7.80M,,,-4.50M,39.80M,-7.90M,,-18.20M,4.70M,9.10M,,27.50M,-15.00M,85.10M,,-10.80M,5.50M,-5.30M,,,147.40M,142.10M,,,,-36.80M,4.10M,-43.30M,-39.20M,,-24.50M,,,-100.50M,,71.20M,126.70M,,0.00,,4.10M,,,-43.30M,,,
1993-06,49.70M,,,12.30M,12.30M,16.20M,,,8.70M,-18.30M,30.90M,,16.60M,-6.30M,36.80M,,59.70M,,158.40M,,-22.80M,0.00,-22.80M,,,-8.30M,-31.10M,,,,-78.40M,,,,,-24.60M,,,-103.00M,,0.00,24.30M,,0.00,,,,,,,,
1993-03,45.50M,,,24.50M,24.50M,5.40M,,,2.00M,-97.90M,-6.20M,,21.30M,1.10M,24.60M,,-57.10M,,20.30M,,-15.50M,1.80M,-13.70M,,,-6.30M,-20.00M,,,,10.40M,,,,,-23.00M,,,-12.60M,,0.00,-12.30M,,0.00,,,,,,,,
1992-12,27.20M,,,23.60M,23.60M,4.80M,,,-2.00M,17.20M,-26.00M,,-14.90M,0.10M,-30.70M,,-54.30M,,-0.70M,,-23.70M,1.00M,-22.70M,,,-9.50M,-32.20M,,,,49.70M,,,,,-23.00M,,0.10M,26.80M,,0.00,-6.10M,,0.00,,,,,,,,
1992-09,44.60M,,,23.20M,23.20M,6.00M,,,0.90M,62.70M,-6.60M,,-41.10M,2.20M,-24.40M,,-7.20M,,67.50M,,-15.60M,1.00M,-14.60M,,,-8.50M,-23.10M,,,,-25.10M,,,,,-22.90M,,-0.10M,-48.10M,,69.00M,-3.70M,,0.00,,,,,,,,
1992-06,9.40M,,,23.50M,23.50M,-2.20M,,,9.40M,16.50M,45.50M,,25.10M,-4.60M,18.80M,,101.30M,,168.90M,,-56.40M,0.70M,-55.70M,,,-0.80M,-56.50M,,,,-102.00M,,,,,-22.90M,,0.10M,-124.80M,,0.00,-12.40M,,0.00,,,,,,,,
1992-03,39.20M,,,21.40M,21.40M,6.50M,,,0.40M,-111.70M,-2.50M,,19.20M,1.10M,35.50M,,-58.40M,,9.10M,,-28.90M,1.10M,-27.80M,,,-3.40M,-31.20M,,,,62.10M,,,,,-21.20M,,-0.10M,40.80M,,0.00,18.70M,,0.00,,,,,,,,
1991-12,25.30M,,,23.00M,23.00M,5.40M,,,1.40M,27.90M,-28.80M,,-1.90M,1.00M,-24.10M,,-25.90M,,29.20M,,-22.70M,0.20M,-22.50M,,,-4.50M,-27.00M,,,,13.90M,,,,,-21.20M,,,-7.30M,,0.00,-5.10M,,0.00,,,,,,,,
1991-09,43.90M,,,21.70M,21.70M,3.60M,,,-4.40M,82.20M,-8.30M,,-45.70M,7.30M,-0.80M,,34.70M,,99.50M,,-16.70M,0.30M,-16.40M,,,0.70M,-15.70M,,,,-108.70M,,,,,-21.10M,,,-129.80M,,113.90M,-46.00M,,0.00,,,,,,,,
1991-06,-39.60M,,,23.90M,23.90M,-49.00M,,,-2.60M,-0.20M,37.40M,,26.50M,-4.40M,7.90M,,67.20M,,126.30M,,-21.30M,-9.90M,-31.20M,,,12.20M,-19.00M,,,,-25.30M,,0.00,0.00,,-21.10M,,0.00,-46.40M,,0.00,60.90M,,0.00,,,,,0.00,,,
1991-03,32.50M,,,23.70M,23.70M,4.50M,,,-1.50M,-110.90M,3.30M,,26.70M,-2.30M,47.20M,,-36.00M,,23.20M,,-28.30M,13.20M,-15.10M,,,-6.80M,-21.90M,,,,19.10M,,0.00,0.00,,-19.50M,,0.10M,-0.30M,,0.00,1.00M,,0.00,,,,,0.00,,,
1990-12,20.40M,,,20.90M,20.90M,5.90M,,,-4.20M,13.40M,-19.70M,,-25.30M,0.70M,-17.90M,,-48.80M,,-5.80M,,-27.10M,0.10M,-27.00M,,,-5.20M,-32.20M,,,,44.40M,,-1.00M,-1.00M,,-19.40M,,-0.10M,23.90M,,0.00,-14.10M,,0.00,,,,,-1.00M,,,
1990-09,39.40M,,,18.50M,18.50M,3.10M,,,-3.90M,52.30M,-2.80M,,-10.90M,3.70M,3.60M,,45.90M,,103.00M,,-32.40M,1.00M,-31.40M,,,-479.70M,-511.10M,,,,371.90M,,-3.00M,-3.00M,,-19.50M,,0.10M,349.50M,,124.60M,-58.60M,,0.00,,,,,-3.00M,,,
1990-06,42.30M,,,13.80M,13.80M,10.90M,,,2.90M,26.20M,26.80M,,11.40M,-4.20M,-3.30M,,56.90M,-9.70M,117.10M,,-51.00M,-125.80M,-176.80M,,,123.10M,-53.70M,,,,0.20M,,-22.10M,-22.10M,,-19.50M,,,-41.40M,,0.00,22.00M,,0.00,,,,,-22.10M,,,
1990-03,38.40M,,,12.40M,12.40M,1.90M,,,0.20M,-73.10M,-18.00M,,21.20M,0.20M,32.10M,,-37.60M,0.00,15.30M,,-38.20M,0.10M,-38.10M,,,-6.90M,-45.00M,,,,-34.30M,,-31.30M,-31.30M,,-17.00M,,,-82.60M,,0.00,-112.30M,,0.00,,,,,-31.30M,,,
1989-12,27.00M,,2.10M,11.50M,11.50M,1.60M,,,-3.00M,6.60M,-18.10M,,-23.80M,-0.40M,-45.40M,,-81.10M,0.00,-41.90M,,-38.40M,128.00M,89.60M,,,-2.90M,86.70M,,,,-49.70M,,-14.00M,-14.00M,,-17.20M,,-0.10M,-81.00M,,0.00,-36.20M,,0.00,,,,,-14.00M,,,
1989-09,45.90M,,-2.10M,12.40M,12.40M,1.90M,,,-0.10M,32.80M,-8.00M,,-15.30M,0.80M,3.40M,,13.70M,4.20M,75.90M,,-28.30M,0.80M,-27.50M,,,-3.60M,-31.10M,,,,-10.00M,,,,,-17.20M,,0.10M,-27.10M,,233.30M,17.70M,,0.00,,,,,,,,
