,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2004-03,1.051B,1.051B,584.00M,467.00M,105.00M,162.00M,267.00M,22.00M,3.00M,,,,289.00M,178.00M,,,6.00M,,176.00M,61.00M,115.00M,11.00M,,,126.00M,113.04M,224.00M,46.00M,178.00M,,0.55,0.05,,0.5407,0.60,,0.54,0.05,,0.5308,0.59,,211.21M,213.61M,0.27,,,
2003-12,947.00M,947.00M,535.00M,412.00M,88.00M,129.00M,217.00M,20.00M,2.00M,,,,237.00M,175.00M,,,2.00M,,170.00M,59.00M,111.00M,-2.00M,,,109.00M,109.69M,223.00M,48.00M,175.00M,,0.53,-0.01,,0.5238,0.52,,0.52,-0.01,,0.5139,0.51,,210.50M,212.96M,0.27,,,
2003-09,1.048B,1.048B,591.00M,457.00M,106.00M,122.00M,228.00M,19.00M,-3.00M,,,,247.00M,210.00M,,,-3.00M,,201.00M,71.00M,130.00M,-1.00M,,,129.00M,131.94M,257.00M,47.00M,210.00M,,0.61,0.00,,0.6191,0.61,,0.60,0.00,,0.6090,0.60,,212.65M,214.81M,0.27,,,
2003-06,994.00M,994.00M,576.00M,418.00M,113.00M,126.00M,239.00M,22.00M,6.00M,,,,272.00M,146.00M,,,15.00M,,158.00M,54.00M,104.00M,45.00M,,,149.00M,100.05M,193.00M,47.00M,146.00M,,0.47,0.21,,0.4518,0.68,,0.46,0.21,,0.4420,0.67,,217.11M,219.53M,0.22,,,
2003-03,1.019B,1.019B,555.00M,464.00M,119.00M,150.00M,269.00M,20.00M,4.00M,,,,289.00M,175.00M,,,4.00M,,173.00M,61.00M,112.00M,-2.00M,,,110.00M,109.41M,229.00M,54.00M,175.00M,,0.52,-0.01,,0.5080,0.51,,0.51,-0.01,,0.4982,0.50,,216.41M,218.70M,0.22,,,
2002-12,926.00M,926.00M,496.00M,430.00M,104.00M,131.00M,235.00M,18.00M,-27.00M,,,,253.00M,177.00M,,,-27.00M,,142.00M,55.00M,87.00M,2.00M,,,89.00M,103.54M,222.00M,45.00M,177.00M,,0.40,0.01,,0.4758,0.41,,0.39,0.01,,0.4649,0.40,,218.33M,220.78M,0.22,,,
2002-09,1.047B,1.047B,544.00M,503.00M,111.00M,116.00M,227.00M,15.00M,-9.00M,,,,242.00M,261.00M,,,-9.00M,,244.00M,86.00M,158.00M,-13.00M,,,145.00M,163.83M,304.00M,43.00M,261.00M,,0.71,-0.06,,0.7363,0.65,,0.71,-0.06,,0.7360,0.65,,221.88M,224.05M,0.22,,,
2002-06,1.128B,1.128B,626.00M,502.00M,113.00M,122.00M,235.00M,19.00M,-11.00M,,,,254.00M,248.00M,,,-11.00M,,230.00M,76.00M,154.00M,-9.00M,,,145.00M,161.37M,302.00M,54.00M,248.00M,,0.44,0.19,,0.4723,0.63,,0.43,0.19,,0.4620,0.62,,228.14M,229.88M,0.21,,,
2002-03,1.023B,1.023B,589.00M,434.00M,103.00M,140.00M,243.00M,15.00M,-70.00M,,,,258.00M,176.00M,,,-70.00M,,99.00M,49.00M,50.00M,-4.00M,,,46.00M,92.00M,226.00M,50.00M,176.00M,,0.22,-0.02,,0.4014,0.20,,0.21,-0.02,,0.3890,0.20,,231.51M,234.62M,0.21,,,
2001-12,887.00M,887.00M,505.00M,382.00M,76.00M,133.00M,209.00M,16.00M,-70.00M,,,,225.00M,157.00M,,,-70.00M,,75.00M,33.00M,42.00M,9.00M,,,51.00M,84.00M,193.00M,36.00M,157.00M,,0.18,0.04,,0.3604,0.22,,0.18,0.04,,0.3604,0.22,,232.76M,232.76M,0.21,,,
2001-09,984.00M,984.00M,560.00M,424.00M,99.00M,131.00M,230.00M,16.00M,-10.00M,,,,246.00M,178.00M,,,-10.00M,,156.00M,45.00M,111.00M,-32.00M,,,79.00M,118.12M,227.00M,49.00M,178.00M,,0.47,-0.13,,0.5003,0.34,,0.46,-0.13,,0.4899,0.33,,234.98M,238.10M,0.21,,,
2001-06,1.03B,1.03B,661.00M,369.00M,25.00M,131.00M,156.00M,20.00M,-12.00M,,,,236.00M,133.00M,,,4.00M,,130.00M,48.00M,82.00M,,0.00,,82.00M,89.57M,191.00M,58.00M,133.00M,,0.35,0.00,0.00,0.3820,0.35,,0.34,0.00,0.0000,0.3715,0.34,,236.60M,240.40M,0.21,,,
2001-03,989.00M,989.00M,584.00M,405.00M,118.00M,113.00M,231.00M,16.00M,-33.00M,,,,247.00M,158.00M,,,-33.00M,,103.00M,24.00M,79.00M,,,,79.00M,104.31M,215.00M,57.00M,158.00M,,0.33,0.00,,0.4371,0.33,,0.33,0.00,,0.4356,0.33,,236.41M,239.76M,0.21,,,
2000-12,876.00M,876.00M,524.00M,352.00M,78.00M,128.00M,206.00M,17.00M,-7.00M,,,,223.00M,129.00M,,,-7.00M,,99.00M,35.00M,64.00M,,,,64.00M,68.53M,185.00M,56.00M,129.00M,,0.27,0.00,,0.2892,0.27,,0.27,0.00,,0.2889,0.27,,236.07M,239.09M,0.21,,,
2000-09,985.00M,985.00M,549.00M,436.00M,110.00M,123.00M,233.00M,14.00M,-8.00M,,,,247.00M,189.00M,,,-8.00M,,155.00M,55.00M,100.00M,,-2.00M,,98.00M,105.16M,243.00M,54.00M,189.00M,,0.43,-0.01,0.00,0.4519,0.42,,0.42,-0.01,-0.0085,0.4416,0.41,,235.52M,238.57M,0.20,,,
2000-06,1.059B,1.059B,955.00M,104.00M,,,-13.00M,19.00M,6.00M,,,,-90.00M,194.00M,,,23.00M,,200.00M,75.00M,125.00M,,,,125.00M,121.25M,244.00M,50.00M,194.00M,,0.56,-0.03,,0.5440,0.53,,0.55,-0.03,,0.5343,0.52,,235.09M,238.77M,0.20,,,
2000-03,1.034B,1.034B,453.00M,581.00M,,,309.00M,15.00M,-14.00M,,,,377.00M,204.00M,,,-14.00M,,165.00M,59.00M,106.00M,,,,106.00M,114.99M,257.00M,53.00M,204.00M,,0.45,0.00,,0.4881,0.45,,0.44,0.00,,0.4777,0.44,,235.84M,238.85M,0.20,,,
1999-12,954.00M,954.00M,428.00M,526.00M,,,302.00M,15.00M,-16.00M,,,,367.00M,159.00M,,,-16.00M,,120.00M,44.00M,76.00M,,,,76.00M,86.13M,209.00M,50.00M,159.00M,,0.32,0.00,,0.3629,0.32,,0.32,0.00,,0.3623,0.32,,236.48M,239.74M,0.20,,,
1999-09,942.00M,942.00M,414.00M,528.00M,,,298.00M,14.00M,-8.00M,,,,360.00M,168.00M,,,-8.00M,,137.00M,50.00M,87.00M,,,,87.00M,92.08M,216.00M,48.00M,168.00M,,0.37,0.00,,0.3914,0.37,,0.36,0.00,,0.3811,0.36,,237.02M,240.58M,0.20,,,
1999-06,982.40M,982.40M,937.30M,45.10M,,,-37.20M,18.90M,-55.90M,,,,-103.70M,148.80M,,,-31.90M,,101.90M,51.80M,50.10M,,,,50.10M,83.64M,204.40M,55.60M,148.80M,,0.2112,,,0.3526,0.2112,,0.2112,,,0.3526,0.2112,,237.18M,237.18M,0.18,,,
1999-03,992.00M,992.00M,397.80M,594.20M,,,318.80M,14.50M,-110.50M,,,,408.90M,185.30M,,,-110.50M,,52.40M,30.30M,22.10M,,,,22.10M,88.40M,260.90M,49.40M,185.30M,,0.05,0.00,,0.3309,0.05,,0.045,0.00,,0.3259,0.045,,236.01M,236.01M,0.18,,,
1998-12,947.00M,947.00M,410.00M,537.00M,,,323.00M,15.00M,-7.00M,,,,387.00M,150.00M,,,-7.00M,,118.00M,44.00M,74.00M,,,,74.00M,78.39M,199.00M,49.00M,150.00M,,0.16,0.00,,0.1694,0.16,,0.155,0.00,,0.1642,0.155,,469.18M,479.20M,0.18,,,
1998-09,965.00M,965.00M,410.00M,555.00M,,,306.00M,14.00M,-1.00M,,,,368.00M,187.00M,,,-1.00M,,158.00M,58.00M,100.00M,,,,100.00M,100.63M,235.00M,48.00M,187.00M,,0.21,0.00,,0.2114,0.21,,0.21,0.00,,0.2113,0.21,,468.92M,477.94M,0.18,,,
1998-06,1.129B,1.129B,552.80M,576.20M,,,369.50M,18.70M,47.80M,,,,440.50M,135.70M,,,47.80M,,160.80M,52.10M,108.70M,,-0.10M,,108.60M,76.39M,188.00M,52.30M,135.70M,,0.5242,,0.00,0.3684,0.5237,,0.5242,,-0.0005,0.3684,0.5237,,207.37M,207.37M,0.16,,,
1998-03,967.40M,967.40M,429.90M,537.50M,,,313.20M,14.90M,-1.20M,,,,359.00M,178.50M,,,-1.20M,,150.40M,58.40M,92.00M,,,,92.00M,92.73M,243.20M,64.70M,178.50M,,0.195,0.00,,0.1985,0.195,,0.195,0.00,,0.1985,0.195,,207.76M,207.76M,0.16,,,
1997-12,591.80M,591.80M,229.90M,361.90M,,,223.20M,13.00M,3.10M,,,,264.50M,97.40M,,,3.10M,,81.10M,31.60M,49.50M,,,,49.50M,47.61M,125.70M,28.30M,97.40M,,0.12,0.00,,0.1109,0.12,,0.12,0.00,,0.1109,0.12,,206.81M,206.81M,0.16,,,
1997-09,649.30M,649.30M,242.90M,406.40M,,,221.90M,11.60M,1.40M,,,,270.20M,136.20M,,,1.40M,,121.90M,47.50M,74.40M,,,,74.40M,73.55M,172.90M,36.70M,136.20M,,0.18,0.00,,0.1759,0.18,,0.18,0.00,,0.1759,0.18,,206.67M,206.67M,0.16,,,
1997-06,1.853B,1.853B,961.50M,891.30M,,,571.20M,21.90M,15.60M,,,,668.80M,222.50M,,,15.60M,,207.50M,82.50M,125.00M,,,,125.00M,115.60M,298.20M,75.70M,222.50M,,0.105,0.00,,0.0936,0.105,,0.105,0.00,,0.0938,0.105,,826.51M,842.72M,0.145,,,
1997-03,649.20M,649.20M,255.40M,393.80M,,,219.90M,12.00M,-2.60M,,,,264.40M,129.40M,,,-2.60M,,109.80M,44.20M,65.60M,,,,65.60M,67.16M,161.90M,32.50M,129.40M,,0.08,0.00,,0.0819,0.08,,0.0775,0.00,,0.0794,0.0775,,827.84M,842.37M,0.145,,,
1996-12,530.20M,530.20M,202.50M,327.70M,,,201.30M,11.50M,3.00M,,,,245.90M,81.80M,,,3.00M,,72.90M,29.00M,43.90M,,,,43.90M,42.09M,114.90M,33.10M,81.80M,,0.0525,0.00,,0.0503,0.0525,,0.0525,0.00,,0.0503,0.0525,,826.96M,826.96M,0.145,,,
1996-09,590.80M,590.80M,230.70M,360.10M,,,205.60M,10.50M,2.00M,,,,242.80M,117.30M,,,2.00M,,108.80M,43.30M,65.50M,,,,65.50M,64.30M,144.00M,26.70M,117.30M,,0.08,0.00,,0.0785,0.08,,0.08,0.00,,0.0785,0.08,,824.74M,824.74M,0.145,,,
1996-06,672.40M,672.40M,281.30M,391.10M,,,227.40M,13.30M,-4.30M,,,,266.50M,124.60M,,,-4.30M,,108.20M,42.40M,65.80M,,,,65.80M,68.41M,150.40M,25.80M,124.60M,,0.3209,,,0.3337,0.3209,,0.3209,0.00,,0.3241,0.3209,,205.03M,833.12M,0.1325,,,
1996-03,560.10M,560.10M,220.60M,339.50M,,,182.20M,11.10M,-0.40M,,,,228.30M,111.20M,,,-0.40M,,100.00M,40.40M,59.60M,,,,59.60M,59.84M,146.20M,35.00M,111.20M,,0.0725,0.00,,0.0728,0.0725,,0.0725,0.00,,0.0728,0.0725,,828.27M,828.27M,0.1325,,,
1995-12,466.80M,466.80M,184.00M,282.80M,,,169.00M,11.20M,-2.20M,,,,209.40M,73.40M,,,-2.20M,,63.60M,25.70M,37.90M,,,,37.90M,39.22M,102.60M,29.20M,73.40M,,0.0475,0.00,,0.0491,0.0475,,0.0475,0.00,,0.0491,0.0475,,833.42M,833.42M,0.1325,,,
1995-09,518.50M,518.50M,204.80M,313.70M,,,171.10M,10.20M,0.60M,,,,207.80M,105.90M,,,0.60M,,98.60M,39.80M,58.80M,,,,58.80M,58.44M,132.40M,26.50M,105.90M,,0.07,0.00,,0.0696,0.07,,0.07,0.00,,0.0696,0.07,,837.66M,837.66M,0.1325,,,
1995-06,594.30M,594.30M,248.20M,346.10M,,,200.60M,13.10M,-0.10M,,,,237.60M,108.50M,,,-0.10M,,100.50M,41.00M,59.50M,,,,59.50M,59.56M,132.40M,23.90M,108.50M,,0.2839,,,0.2841,0.2839,,0.2839,0.00,,0.2839,0.2839,,209.61M,852.08M,0.12,,,
1995-03,499.10M,499.10M,197.40M,301.70M,,,167.20M,10.70M,2.30M,,,,206.50M,95.20M,,,2.30M,,90.20M,36.20M,54.00M,,,,54.00M,52.62M,123.80M,28.60M,95.20M,,0.065,0.00,,0.0634,0.065,,0.065,0.00,,0.0634,0.065,,849.33M,849.33M,0.12,,,
1994-12,414.50M,414.50M,157.90M,256.60M,,,159.90M,10.80M,2.20M,,,,196.80M,59.80M,,,2.20M,,56.80M,22.70M,34.10M,,,,34.10M,32.78M,85.90M,26.10M,59.80M,,0.04,0.00,,0.0384,0.04,,0.04,0.00,,0.0384,0.04,,852.38M,852.38M,0.12,,,
1994-09,476.40M,476.40M,184.80M,291.60M,,,160.50M,10.10M,-0.40M,,,,195.90M,95.70M,,,-0.40M,,90.40M,37.20M,53.20M,,,,53.20M,53.44M,121.00M,25.30M,95.70M,,0.0625,0.00,,0.0628,0.0625,,0.0625,0.00,,0.0628,0.0625,,854.53M,854.53M,0.12,,,
1994-06,534.40M,534.40M,227.70M,306.70M,,,183.00M,,-8.70M,,,,206.50M,100.20M,,,-8.70M,,86.30M,32.70M,53.60M,0.00,,,53.60M,59.00M,123.70M,23.50M,100.20M,,0.2511,0.00,,0.2764,0.2511,,0.2511,0.00,,0.2764,0.2511,,213.49M,213.49M,0.1125,,,
1994-03,481.90M,481.90M,187.30M,294.60M,,,180.90M,,-1.30M,,,,205.60M,89.00M,,,-1.30M,,83.40M,33.90M,49.50M,,,,49.50M,50.28M,113.70M,24.70M,89.00M,,0.06,0.00,,0.0637,0.06,,0.06,0.00,,0.0637,0.06,,213.36M,213.36M,0.1125,,,
1993-12,370.80M,370.80M,140.50M,230.30M,,,153.60M,,2.40M,,,,176.50M,53.80M,,,2.40M,,51.50M,20.90M,30.60M,,,,30.60M,29.16M,76.70M,22.90M,53.80M,,0.0375,0.00,,0.0308,0.0375,,0.0375,0.00,,0.0308,0.0375,,214.52M,214.52M,0.1125,,,
1993-09,449.70M,449.70M,170.80M,278.90M,,,173.10M,,6.70M,,,,196.10M,82.80M,,,6.70M,,85.50M,39.20M,46.30M,32.10M,,,78.40M,42.28M,105.80M,23.00M,82.80M,,0.055,0.0375,,0.0364,0.0925,,0.055,0.0375,,0.0364,0.0925,,216.64M,216.64M,0.1125,,,
1993-06,347.20M,347.20M,139.80M,207.40M,,,104.70M,,-4.50M,,,,117.00M,90.40M,,,-4.50M,,81.90M,31.30M,50.60M,,,,49.70M,53.38M,102.70M,12.30M,90.40M,,0.2265,,,0.2392,0.2265,,0.2265,,,0.2392,0.2265,,219.40M,219.40M,0.1125,,,
1993-03,476.50M,476.50M,185.30M,291.20M,,,184.20M,,-2.30M,,,,208.70M,82.50M,,,-2.30M,,74.80M,29.40M,45.40M,,,,45.40M,46.80M,107.00M,24.50M,82.50M,,0.0525,0.00,,0.0589,0.0525,,0.0525,0.00,,0.0589,0.0525,,219.12M,219.12M,0.105,,,
1992-12,369.50M,369.50M,142.50M,227.00M,,,157.90M,,4.10M,,,,181.50M,45.50M,,,4.10M,,44.80M,17.60M,27.20M,,,,27.20M,24.71M,69.10M,23.60M,45.50M,,0.0325,0.00,,0.0211,0.0325,,0.0325,0.00,,0.0211,0.0325,,218.88M,218.88M,0.105,,,
1992-09,440.90M,440.90M,173.70M,267.20M,,,166.30M,,0.40M,,,,189.50M,77.70M,,,0.40M,,73.50M,28.90M,44.60M,,,,44.60M,44.36M,100.90M,23.20M,77.70M,,0.0525,0.00,,0.0514,0.0525,,0.0525,0.00,,0.0514,0.0525,,218.48M,218.48M,0.105,,,
1992-06,492.50M,492.50M,227.00M,265.50M,,,176.70M,,-31.30M,,,,200.20M,65.30M,,,-31.30M,,28.50M,19.10M,9.40M,,,,-9.70M,28.18M,88.80M,23.50M,65.30M,,-0.0445,,,0.0416,-0.0445,,-0.0445,,,0.0416,-0.0445,,218.18M,218.18M,0.105,,,
1992-03,455.30M,455.30M,180.60M,274.70M,,,183.90M,,1.70M,,,,205.30M,69.40M,,,1.70M,,65.20M,26.00M,39.20M,,,,39.20M,38.18M,90.80M,21.40M,69.40M,,0.045,0.00,,0.0403,0.045,,0.045,0.00,,0.0403,0.045,,217.88M,217.88M,0.0975,,,
1991-12,351.60M,351.60M,127.40M,224.20M,,,154.70M,,2.40M,,,,177.70M,46.50M,,,2.40M,,42.90M,17.50M,25.40M,,,,25.40M,23.96M,69.50M,23.00M,46.50M,,0.03,0.00,,0.0234,0.03,,0.03,0.00,,0.0234,0.03,,217.32M,217.32M,0.0975,,,
1991-09,417.60M,417.60M,154.30M,263.30M,,,166.70M,,6.80M,,,,188.40M,74.90M,,,6.80M,,74.40M,30.50M,43.90M,,,,43.90M,39.82M,96.60M,21.70M,74.90M,,0.0525,0.00,,0.0341,0.0525,,0.0525,0.00,,0.0341,0.0525,,221.69M,221.69M,0.0975,,,
1991-06,488.60M,488.60M,224.60M,264.00M,,,290.50M,,-3.10M,,,,314.40M,-50.40M,,,-3.10M,,-61.40M,-21.80M,-39.60M,,,,-39.60M,-37.60M,-26.50M,23.90M,-50.40M,,-0.1827,,,-0.1734,-0.1827,,-0.1827,,,-0.1734,-0.1827,,216.78M,216.78M,0.0975,,,
1991-03,421.00M,421.00M,169.80M,251.20M,,,165.80M,,1.30M,,,,189.50M,61.70M,,,1.30M,,55.50M,23.00M,32.50M,,,,32.50M,31.72M,85.40M,23.70M,61.70M,,0.0375,0.00,,0.0339,0.0375,,0.0375,0.00,,0.0339,0.0375,,216.49M,216.49M,0.09,,,
1990-12,333.90M,333.90M,133.10M,200.80M,,,140.40M,,0.90M,,,,161.40M,39.40M,,,0.90M,,32.00M,11.60M,20.40M,,,,20.40M,19.83M,60.40M,20.90M,39.40M,,0.025,0.00,,0.0223,0.025,,0.025,0.00,,0.0223,0.025,,216.11M,216.11M,0.09,,,
1990-09,403.00M,403.00M,164.40M,238.60M,,,158.10M,,2.50M,,,,176.60M,62.00M,,,2.50M,,60.00M,20.60M,39.40M,,,,39.40M,37.76M,80.50M,18.50M,62.00M,,0.0475,0.00,,0.0399,0.0475,,0.0475,0.00,,0.0399,0.0475,,215.93M,215.93M,0.09,,,
1990-06,434.60M,434.60M,202.90M,231.70M,,,157.70M,,6.20M,,,,171.50M,60.20M,,,6.20M,,66.30M,24.00M,42.30M,,,,42.30M,38.34M,74.00M,13.80M,60.20M,,0.1957,,,0.1774,0.1957,,0.1957,,,0.1774,0.1957,,216.13M,216.13M,0.09,,,
1990-03,386.90M,386.90M,169.00M,217.90M,,,151.50M,,7.80M,,,,163.90M,54.00M,,,7.80M,,61.60M,23.20M,38.40M,,,,38.40M,33.54M,66.40M,12.40M,54.00M,,0.045,0.00,,0.0226,0.045,,0.045,0.00,,0.0226,0.045,,217.36M,217.36M,0.0775,,,
1989-12,295.60M,295.60M,126.20M,169.40M,,,122.00M,,8.20M,,,,133.40M,36.00M,,,8.20M,,42.40M,15.40M,27.00M,,,,27.00M,21.78M,47.50M,11.50M,36.00M,,0.0325,0.00,,0.0088,0.0325,,0.0325,0.00,,0.0088,0.0325,,220.52M,220.52M,0.0775,,,
1989-09,366.90M,366.90M,157.20M,209.70M,,,130.90M,,6.80M,,,,143.30M,66.40M,,,6.80M,,73.20M,27.30M,45.90M,,,,45.90M,41.64M,78.80M,12.40M,66.40M,,0.0525,0.00,,0.0333,0.0525,,0.0525,0.00,,0.0333,0.0525,,221.90M,221.90M,0.0775,,,
1989-06,413.60M,413.60M,,,,,,,,,,,,-736.00M,,,,,,,40.90M,-21.90M,,,19.00M,,-736.00M,,-736.00M,,,-0.0988,,,-0.0988,,,-0.0988,,,-0.0988,,221.59M,221.59M,0.0775,,,
1989-03,340.10M,340.10M,,,,,,,,,,,,340.10M,,,,,,,35.80M,2.60M,,,38.40M,,340.10M,,340.10M,,0.04,0.005,,0.04,0.045,,0.04,0.005,,0.04,0.045,,221.35M,221.35M,0.065,,,
1988-12,272.10M,272.10M,,,,,,,,,,,,272.10M,,,,,,,25.50M,-1.20M,,,24.30M,,272.10M,,272.10M,,0.03,-0.0025,,0.03,0.0275,,0.03,-0.0025,,0.03,0.0275,,221.19M,221.19M,0.065,,,
1988-09,330.50M,330.50M,,,,,,,,,,,,330.50M,,,,,,,43.40M,-0.90M,,,42.50M,,330.50M,,330.50M,,0.05,-0.0025,,0.05,0.0475,,0.05,-0.0025,,0.05,0.0475,,220.98M,220.98M,0.065,,,
1988-06,388.40M,388.40M,,,,,,,,,,,,-664.30M,,,,,,,36.70M,,,,36.70M,,-664.30M,,-664.30M,,,,,,,,,,,,,,216.18M,216.18M,0.065,,,
1988-03,325.50M,325.50M,,,,,,,,,,,,325.50M,,,,,,,34.90M,,,,34.90M,,325.50M,,325.50M,,0.0425,0.00,,0.0425,0.0425,,0.04,0.00,,0.04,0.04,,215.97M,215.97M,0.055,,,
1987-12,243.40M,243.40M,,,,,,,,,,,,243.40M,,,,,,,21.60M,,,,21.60M,,243.40M,,243.40M,,0.025,0.00,,0.025,0.025,,0.025,0.00,,0.025,0.025,,214.21M,214.21M,0.055,,,
1987-09,302.50M,302.50M,,,,,,,,,,,,302.50M,,,,,,,39.40M,,,,39.40M,,302.50M,,302.50M,,0.0475,0.00,,0.0475,0.0475,,0.045,0.00,,0.045,0.045,,214.21M,214.21M,0.055,,,
1987-06,341.70M,341.70M,,,,,,,,,,,,-610.50M,,,,,,,31.60M,,,,31.60M,,-610.50M,,-610.50M,,,,,,,,,,,,,,214.21M,214.21M,0.055,,,
1987-03,295.90M,295.90M,,,,,,,,,,,,295.90M,,,,,,,28.40M,,,,28.40M,,295.90M,,295.90M,,0.0175,0.00,,0.0175,0.0175,,0.0162,0.00,,0.0162,0.0162,,213.57M,213.57M,0.0475,,,
1986-12,214.60M,214.60M,,,,,,,,,,,,214.60M,,,,,,,16.00M,,,,16.00M,,214.60M,,214.60M,,0.01,0.00,,0.01,0.01,,0.01,0.00,,0.01,0.01,,213.57M,213.57M,0.0475,,,
1986-09,273.80M,273.80M,,,,,,,,,,,,273.80M,,,,,,,29.00M,,,,29.00M,,273.80M,,273.80M,,0.0175,0.00,,0.0175,0.0175,,0.0175,0.00,,0.0175,0.0175,,213.37M,213.37M,0.0475,,,
1986-06,317.30M,317.30M,,,,,,,,,,,,-597.70M,,,,,,,29.20M,,,,29.20M,,-597.70M,,-597.70M,,,,,,,,,,,,,,213.37M,213.37M,0.0475,,,
1986-03,279.60M,279.60M,,,,,,,,,,,,279.60M,,,,,,,26.40M,,,,26.40M,,279.60M,,279.60M,,0.0162,0.00,,0.0162,0.0162,,0.015,0.00,,0.015,0.015,,212.47M,212.47M,0.0425,,,
1985-12,207.10M,207.10M,,,,,,,,,,,,207.10M,,,,,,,13.70M,,,,13.70M,,207.10M,,207.10M,,0.0088,0.00,,0.0088,0.0088,,0.0088,0.00,,0.0088,0.0088,,212.14M,212.14M,,,,
1985-09,285.10M,285.10M,,,,,,,,,,,,285.10M,,,,,,,26.40M,,,,26.40M,,285.10M,,285.10M,,0.0162,0.00,,0.0162,0.0162,,0.0162,0.00,,0.0162,0.0162,,211.61M,211.61M,,,,
1985-06,319.20M,319.20M,,,,,,,,,,,,-581.70M,,,,,,,32.70M,,,,32.70M,,-581.70M,,-581.70M,,,,,,,,,,,,,,211.61M,211.61M,,,,
1985-03,267.50M,267.50M,,,,,,,,,,,,267.50M,,,,,,,24.30M,,,,24.30M,,267.50M,,267.50M,,0.015,0.00,,0.015,0.015,,0.015,0.00,,0.015,0.015,,210.61M,210.61M,,,,
1984-12,209.60M,209.60M,,,,,,,,,,,,209.60M,,,,,,,12.10M,,,,12.10M,,209.60M,,209.60M,,0.0075,0.00,,0.0075,0.0075,,0.0075,0.00,,0.0075,0.0075,,210.61M,210.61M,,,,
1984-09,258.50M,258.50M,,,,,,,,,,,,258.50M,,,,,,,23.00M,,,,23.00M,,258.50M,,258.50M,,0.0138,0.00,,0.0138,0.0138,,0.0138,0.00,,0.0138,0.0138,,210.38M,210.38M,,,,
1984-06,294.50M,294.50M,,,,,,,,,,,,-540.60M,,,,,,,22.60M,,,,22.60M,,-540.60M,,-540.60M,,,,,,,,,,,,,,210.38M,210.38M,,,,
1984-03,252.90M,252.90M,,,,,,,,,,,,252.90M,,,,,,,22.20M,,,,22.20M,,252.90M,,252.90M,,0.0138,0.00,,0.0138,0.0138,,0.0138,0.00,,0.0138,0.0138,,209.68M,209.68M,,,,
