,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2020-10,2.34B,2.34B,1.527B,813.00M,208.00M,137.00M,345.00M,20.00M,10.00M,-1.00M,55.00M,0.00,-55.00M,,375.00M,438.00M,0.00,55.00M,-55.00M,23.00M,-55.00M,406.00M,97.00M,309.00M,0.00,,0.00,309.00M,309.76M,537.00M,76.00M,461.00M,,1.02,0.00,,1.023,1.02,,1.02,0.00,,1.023,1.02,,302.00M,304.00M,0.35,,AOR,
2020-07,2.108B,2.108B,1.361B,747.00M,265.00M,186.00M,451.00M,24.00M,10.00M,1.00M,61.00M,1.00M,-60.00M,,485.00M,262.00M,1.00M,61.00M,-60.00M,-95.00M,-60.00M,107.00M,21.00M,86.00M,0.00,,0.00,86.00M,85.20M,255.00M,87.00M,168.00M,,0.28,0.00,,0.2773,0.28,,0.28,0.00,,0.2774,0.28,,302.00M,304.00M,0.35,,AOR,
2020-04,2.238B,2.238B,1.466B,772.00M,239.00M,208.00M,447.00M,25.00M,11.00M,0.00,55.00M,0.00,-55.00M,,483.00M,289.00M,0.00,55.00M,-55.00M,-16.00M,-55.00M,218.00M,52.00M,166.00M,2.00M,,0.00,168.00M,200.24M,352.00M,79.00M,273.00M,,0.55,0.01,,0.6634,0.56,,0.55,0.01,,0.6626,0.55,,302.00M,304.00M,0.35,,AOR,
2020-01,2.162B,2.162B,1.42B,742.00M,237.00M,148.00M,385.00M,22.00M,11.00M,-7.00M,149.00M,3.00M,-146.00M,,418.00M,324.00M,3.00M,149.00M,-146.00M,26.00M,-146.00M,204.00M,33.00M,171.00M,1.037B,,0.00,1.208B,176.87M,434.00M,81.00M,353.00M,,0.57,3.43,,0.5894,4.00,,0.56,3.41,,0.5793,3.97,,302.00M,304.00M,0.35,,AOR,
2019-10,2.183B,2.183B,1.445B,738.00M,206.00M,133.00M,339.00M,22.00M,11.00M,-67.00M,80.00M,0.00,-80.00M,,372.00M,366.00M,0.00,80.00M,-80.00M,-49.00M,-80.00M,237.00M,68.00M,169.00M,-3.00M,,0.00,166.00M,219.62M,398.00M,81.00M,317.00M,,0.56,-0.01,,0.7282,0.55,,0.56,-0.01,,0.7271,0.55,,301.00M,303.00M,0.35,,AOR,Restated
2019-07,1.78B,1.78B,1.174B,606.00M,195.00M,166.00M,361.00M,25.00M,12.00M,-25.00M,85.00M,1.00M,-84.00M,,398.00M,208.00M,1.00M,85.00M,-84.00M,-125.00M,-84.00M,-1.00M,4.00M,-5.00M,-3.00M,,0.00,-8.00M,14.71M,181.00M,97.00M,84.00M,,-0.02,-0.01,,0.0455,-0.03,,-0.02,-0.01,,0.0453,-0.03,,301.00M,302.00M,0.35,,AOR,Restated
2019-04,1.953B,1.953B,1.298B,655.00M,215.00M,178.00M,393.00M,23.00M,13.00M,-2.00M,89.00M,0.00,-89.00M,,429.00M,226.00M,0.00,89.00M,-89.00M,19.00M,-89.00M,156.00M,33.00M,123.00M,-39.00M,,0.00,84.00M,118.27M,353.00M,108.00M,245.00M,,0.41,-0.13,,0.3943,0.28,,0.41,-0.13,,0.3943,0.28,,301.00M,302.00M,0.35,,AOR,Restated
2019-01,2.172B,2.172B,1.466B,706.00M,221.00M,146.00M,367.00M,20.00M,12.00M,-2.00M,91.00M,0.00,-91.00M,,399.00M,307.00M,0.00,91.00M,-91.00M,18.00M,-91.00M,234.00M,58.00M,176.00M,-235.00M,,0.00,-59.00M,176.00M,444.00M,119.00M,325.00M,,0.58,-0.78,,0.58,-0.20,,0.58,-0.78,,0.58,-0.20,,301.00M,302.00M,0.35,,AOR,Restated
2018-10,2.202B,2.202B,1.476B,726.00M,211.00M,148.00M,359.00M,23.00M,11.00M,-18.00M,91.00M,1.00M,-90.00M,,393.00M,333.00M,1.00M,91.00M,-90.00M,-7.00M,-90.00M,236.00M,56.00M,180.00M,14.00M,,0.00,194.00M,200.60M,449.00M,122.00M,327.00M,,0.60,0.05,,0.6684,0.64,,0.60,0.05,,0.6682,0.64,,301.00M,302.00M,0.35,,AOR,Restated
2018-07,872.00M,872.00M,617.00M,255.00M,83.00M,119.00M,202.00M,12.00M,11.00M,-51.00M,76.00M,0.00,-76.00M,,225.00M,30.00M,0.00,76.00M,-76.00M,80.00M,-76.00M,34.00M,0.00,34.00M,60.00M,,0.00,94.00M,94.00M,238.00M,128.00M,110.00M,,0.12,0.20,,0.3193,0.32,,0.12,0.20,,0.3187,0.31,,301.00M,302.00M,0.35,,AOR,Restated
2018-04,1.878B,1.878B,1.263B,615.00M,220.00M,153.00M,373.00M,25.00M,6.00M,-75.00M,44.00M,2.00M,-42.00M,,404.00M,211.00M,2.00M,44.00M,-42.00M,-53.00M,-42.00M,116.00M,43.00M,73.00M,-466.00M,,0.00,-393.00M,120.80M,265.00M,105.00M,160.00M,,0.24,-1.55,,0.3988,-1.31,,0.24,-1.55,,0.3988,-1.31,,301.00M,301.00M,0.35,,AOR,Restated
2018-01,2.18B,2.18B,1.414B,766.00M,228.00M,165.00M,393.00M,27.00M,4.00M,-132.00M,32.00M,0.00,-32.00M,,424.00M,342.00M,0.00,32.00M,-32.00M,-99.00M,-32.00M,211.00M,-74.00M,285.00M,,,0.00,285.00M,375.52M,322.00M,79.00M,243.00M,,0.95,,,1.251,0.95,,0.95,,,1.251,0.95,,301.00M,301.00M,0.35,,AOR,Restated
2017-10,2.161B,2.161B,1.378B,783.00M,219.00M,149.00M,368.00M,30.00M,4.00M,-2.00M,31.00M,1.00M,-30.00M,,402.00M,381.00M,1.00M,31.00M,-30.00M,31.00M,-30.00M,382.00M,107.00M,275.00M,,,0.00,275.00M,282.20M,495.00M,82.00M,413.00M,,0.91,,,0.9339,0.91,,0.91,,,0.9338,0.91,,301.00M,302.00M,0.35,,AOR,Restated
2017-07,-389.00M,-389.00M,-504.00M,115.00M,-7.00M,40.00M,33.00M,13.00M,-14.00M,201.00M,28.00M,-3.00M,-31.00M,,32.00M,83.00M,-3.00M,28.00M,-31.00M,388.00M,-31.00M,440.00M,85.00M,355.00M,,,0.00,318.00M,196.86M,552.00M,84.00M,468.00M,,1.05,,,0.5264,1.05,,1.04,,,0.5198,1.04,,302.00M,304.00M,0.35,,AOR,Restated
2017-04,1.853B,1.853B,1.188B,665.00M,212.00M,142.00M,354.00M,28.00M,5.00M,0.00,29.00M,1.00M,-28.00M,,387.00M,278.00M,1.00M,29.00M,-28.00M,20.00M,-28.00M,270.00M,94.00M,176.00M,,,0.00,176.00M,177.30M,379.00M,80.00M,299.00M,,0.58,,,0.5843,0.58,,0.58,,,0.5843,0.58,,304.00M,306.00M,0.35,,AOR,Restated
2017-01,2.171B,2.171B,1.36B,811.00M,240.00M,141.00M,381.00M,25.00M,5.00M,-211.00M,29.00M,1.00M,-28.00M,,411.00M,400.00M,1.00M,29.00M,-28.00M,-195.00M,-28.00M,177.00M,76.00M,101.00M,,,,101.00M,228.80M,283.00M,77.00M,206.00M,,0.33,,,0.7476,0.33,,0.33,,,0.7436,0.33,,306.00M,309.00M,0.35,,AOR,Restated
2016-10,2.202B,2.202B,1.351B,851.00M,230.00M,125.00M,355.00M,27.00M,5.00M,-1.00M,29.00M,1.00M,-28.00M,,387.00M,464.00M,1.00M,29.00M,-28.00M,-7.00M,-28.00M,429.00M,137.00M,292.00M,,,0.00,292.00M,292.68M,535.00M,77.00M,458.00M,,0.95,,,0.9522,0.95,,0.94,,,0.9422,0.94,,308.00M,310.00M,0.35,,AOR,Restated
2016-07,1.687B,1.687B,993.00M,694.00M,175.00M,119.00M,294.00M,19.00M,,-115.00M,29.00M,1.00M,-28.00M,,333.00M,361.00M,1.00M,29.00M,-28.00M,-398.00M,-28.00M,-65.00M,16.00M,-81.00M,,,0.00,-81.00M,-12.00M,44.00M,80.00M,-36.00M,,-0.26,,,-0.0367,-0.26,,-0.26,,,-0.0381,-0.26,,309.00M,311.00M,0.312,,AOR,Restated
2016-04,1.87B,1.87B,1.21B,660.00M,228.00M,154.00M,382.00M,31.00M,,-2.00M,29.00M,1.00M,-28.00M,,413.00M,247.00M,1.00M,29.00M,-28.00M,21.00M,-28.00M,240.00M,55.00M,185.00M,,,0.00,185.00M,186.54M,345.00M,76.00M,269.00M,,0.60,,,0.6050,0.60,,0.59,,,0.5950,0.59,,309.00M,311.00M,0.312,,AOR,Restated
2016-01,2.201B,2.201B,1.382B,819.00M,223.00M,146.00M,369.00M,23.00M,,-9.00M,28.00M,1.00M,-27.00M,,392.00M,427.00M,1.00M,28.00M,-27.00M,-13.00M,-27.00M,387.00M,122.00M,265.00M,,,0.00,265.00M,271.16M,493.00M,78.00M,415.00M,,0.85,,,0.8699,0.85,,0.85,,,0.8698,0.85,,310.00M,312.00M,0.312,,AOR,Restated
