,OperatingRevenue,Revenue,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,TotalOperatingExpenses,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2017-06,8.978B,8.978B,155.00M,4.685B,4.84B,4.84B,163.00M,751.00M,2.642B,846.00M,1.796B,-5.00M,,-34.00M,170.00M,1.757B,1.762B,455.00M,3.997B,,0.89,0.00,,,0.89,0.89,,0.87,0.00,,,0.87,0.87,,1.791B,1.83B,0.20,,AOR,Restated
2017-03,9.236B,9.236B,136.00M,4.894B,5.03B,5.03B,165.00M,771.00M,2.808B,815.00M,1.993B,-22.00M,,-41.00M,90.00M,1.93B,1.952B,434.00M,4.002B,,1.03,-0.01,,,1.03,1.02,,1.01,-0.01,,,1.01,1.00,,1.801B,1.842B,0.20,,AOR,Restated
2016-12,8.541B,8.541B,169.00M,4.543B,4.712B,4.712B,-19.00M,883.00M,2.246B,566.00M,1.68B,0.00,,-14.00M,157.00M,1.666B,1.666B,379.00M,3.231B,,0.84,0.00,,,0.84,0.84,,0.81,0.00,,,0.81,0.81,,1.807B,1.854B,0.20,,AOR,Restated
2016-09,8.418B,8.418B,130.00M,4.553B,4.683B,4.683B,87.00M,1.003B,2.381B,749.00M,1.632B,8.00M,,-43.00M,79.00M,1.597B,1.589B,478.00M,3.112B,,0.82,0.01,,,0.82,0.83,,0.80,0.01,,,0.80,0.81,,1.838B,1.879B,0.20,,AOR,Restated
2016-06,8.425B,8.425B,154.00M,4.444B,4.598B,4.598B,126.00M,913.00M,2.483B,833.00M,1.65B,-4.00M,,-64.00M,157.00M,1.582B,1.586B,464.00M,3.237B,,0.77,-0.01,,,0.77,0.76,,0.75,-0.01,,,0.75,0.75,,1.866B,1.899B,0.15,,AOR,Restated
2016-03,7.327B,7.327B,134.00M,4.125B,4.259B,4.259B,-34.00M,899.00M,1.738B,578.00M,1.16B,-3.00M,,-23.00M,79.00M,1.134B,1.137B,415.00M,2.586B,,0.56,0.00,,,0.56,0.56,,0.55,0.00,,,0.55,0.55,,1.883B,1.915B,0.15,,AOR,Restated
2015-12,7.281B,7.281B,194.00M,4.117B,4.311B,4.311B,133.00M,1.037B,1.439B,496.00M,943.00M,-7.00M,,-28.00M,155.00M,908.00M,915.00M,410.00M,1.916B,,0.40,0.00,,,0.40,0.40,,0.39,0.00,,,0.39,0.39,,1.888B,1.938B,0.15,,AOR,Restated
2015-09,7.282B,7.282B,158.00M,3.884B,4.042B,4.042B,-119.00M,762.00M,1.474B,423.00M,1.051B,-2.00M,,-31.00M,79.00M,1.018B,1.02B,369.00M,2.163B,,0.49,0.00,,,0.49,0.49,,0.48,0.00,,,0.48,0.48,,1.904B,1.949B,0.15,,AOR,Restated
2015-06,9.256B,9.256B,179.00M,4.843B,5.022B,5.022B,261.00M,698.00M,2.727B,894.00M,1.833B,-2.00M,,-24.00M,142.00M,1.807B,1.809B,333.00M,3.415B,,0.87,0.00,,,0.87,0.87,,0.85,0.00,,,0.85,0.85,,1.919B,1.96B,0.15,,AOR,Restated
2015-03,9.444B,9.444B,150.00M,4.939B,5.089B,5.089B,266.00M,596.00M,2.855B,387.00M,2.468B,-5.00M,,-69.00M,80.00M,2.394B,2.399B,321.00M,3.743B,,1.21,-5.00,,,1.21,1.20,,1.18,-5.00,,,1.18,1.18,,1.924B,1.963B,0.10,,AOR,Restated
2014-12,7.296B,7.296B,186.00M,5.508B,5.694B,5.694B,112.00M,603.00M,-2.931B,-1.353B,-1.578B,-8.00M,,-44.00M,116.00M,-1.63B,-1.622B,413.00M,-2.098B,,0.48,0.00,,,0.48,0.48,,0.47,0.00,,,0.47,0.47,,1.920B,1.974B,0.10,,AOR,Restated
2014-09,8.47B,8.47B,160.00M,4.61B,4.77B,4.77B,138.00M,557.00M,2.22B,463.00M,1.757B,-5.00M,,-59.00M,64.00M,1.693B,1.698B,136.00M,3.047B,,0.85,0.00,,,0.85,0.85,,0.83,0.00,,,0.83,0.83,,1.923B,1.971B,0.10,,AOR,Restated
2014-06,8.15B,8.15B,165.00M,4.611B,4.776B,4.776B,227.00M,267.00M,1.932B,15.00M,1.917B,0.00,,-18.00M,79.00M,1.899B,1.899B,286.00M,2.915B,,0.94,0.00,,,0.94,0.94,,0.92,0.00,,,0.92,0.92,,1.928B,1.970B,0.10,,AOR,Restated
2014-03,8.553B,8.553B,147.00M,4.73B,4.877B,4.877B,359.00M,308.00M,2.37B,785.00M,1.585B,-1.00M,,-79.00M,56.00M,1.505B,1.506B,326.00M,3.405B,,0.75,0.00,,,0.75,0.75,,0.74,0.00,,,0.74,0.74,,1.924B,1.970B,0.05,,AOR,Restated
2013-12,7.434B,7.434B,190.00M,4.439B,4.629B,4.629B,523.00M,282.00M,-202.00M,-386.00M,184.00M,-11.00M,,-89.00M,48.00M,84.00M,95.00M,427.00M,852.00M,,0.08,-0.01,,,0.08,0.07,,0.07,-0.01,,,0.07,0.07,,1.905B,1.970B,0.05,,AOR,Restated
2013-09,7.54B,7.54B,151.00M,4.37B,4.521B,4.521B,728.00M,110.00M,1.365B,363.00M,1.002B,16.00M,,-112.00M,26.00M,906.00M,890.00M,368.00M,2.516B,,0.45,0.01,,,0.45,0.46,,0.44,0.01,,,0.44,0.45,,1.909B,1.965B,0.05,,AOR,Restated
2013-06,8.059B,8.059B,163.00M,4.573B,4.736B,4.736B,188.00M,204.00M,1.796B,574.00M,1.222B,-31.00M,,-211.00M,177.00M,980.00M,1.011B,356.00M,2.86B,,0.44,-0.02,,,0.44,0.42,,0.43,-0.02,,,0.43,0.41,,1.908B,1.951B,0.05,,AOR,Restated
2013-03,7.722B,7.722B,134.00M,4.662B,4.796B,4.796B,338.00M,182.00M,1.583B,333.00M,1.25B,-19.00M,,-269.00M,26.00M,962.00M,981.00M,360.00M,2.789B,,0.50,-0.01,,,0.50,0.49,,0.49,-0.01,,,0.49,0.48,,1.901B,1.940B,0.05,,AOR,Restated
2012-12,6.664B,6.664B,162.00M,4.099B,4.261B,4.261B,304.00M,169.00M,940.00M,86.00M,854.00M,-66.00M,,-194.00M,26.00M,594.00M,660.00M,363.00M,2.219B,,0.29,-0.04,,,0.29,0.25,,0.28,-0.04,,,0.28,0.25,,1.892B,2.024B,0.05,,AOR,Restated
2012-09,4.921B,4.921B,138.00M,4.421B,4.559B,4.559B,290.00M,-155.00M,-1.483B,-525.00M,-958.00M,2.00M,,-67.00M,24.00M,-1.023B,-1.025B,425.00M,51.00M,,-0.55,0.00,,,-0.55,-0.55,,-0.55,0.00,,,-0.55,-0.55,,1.889B,1.889B,0.05,,AOR,Restated
2012-06,6.537B,6.537B,155.00M,4.118B,4.273B,4.273B,63.00M,-160.00M,937.00M,224.00M,713.00M,37.00M,,-159.00M,24.00M,591.00M,554.00M,418.00M,2.42B,,0.28,0.02,,,0.28,0.30,,0.28,0.01,,,0.28,0.29,,1.885B,1.912B,0.05,,AOR,Restated
2012-03,6.521B,6.521B,146.00M,4.889B,5.035B,5.035B,85.00M,-59.00M,202.00M,54.00M,148.00M,-14.00M,,-228.00M,24.00M,-94.00M,-80.00M,375.00M,1.803B,,-0.05,-0.01,,,-0.05,-0.06,,-0.05,-0.01,,,-0.05,-0.06,,1.877B,1.877B,0.05,,AOR,Restated
2011-12,4.003B,4.003B,158.00M,4.248B,4.406B,4.406B,573.00M,268.00M,-446.00M,-295.00M,-151.00M,-33.00M,,-66.00M,,-250.00M,-217.00M,217.00M,947.00M,,-0.20,-0.02,,,-0.20,-0.22,,-0.20,-0.02,,,-0.20,-0.22,,1.850B,1.877B,0.05,,AOR,Restated
2011-09,9.81B,9.81B,143.00M,4.094B,4.237B,4.237B,0.00,145.00M,3.685B,1.415B,2.27B,23.00M,,-94.00M,,2.199B,2.176B,428.00M,5.293B,,1.15,0.01,,,1.15,1.16,,1.14,0.01,,,1.14,1.15,,1.848B,1.869B,0.05,,AOR,Restated
2011-06,9.207B,9.207B,151.00M,5.476B,5.627B,5.627B,0.00,-68.00M,1.97B,538.00M,1.432B,-26.00M,,-213.00M,,1.193B,1.219B,380.00M,3.999B,,-0.36,-0.02,,,-0.36,-0.38,,-0.36,-0.02,,,-0.36,-0.38,,1.464B,1.464B,0.05,,AOR,Restated
2011-03,7.574B,7.574B,142.00M,4.725B,4.867B,4.867B,0.00,6.00M,901.00M,-244.00M,1.145B,-15.00M,,-162.00M,,968.00M,983.00M,379.00M,2.754B,,0.52,-0.01,,,0.52,0.51,,0.51,-0.01,,,0.51,0.50,,1.456B,1.472B,0.05,,AOR,Restated
2010-12,5.999B,5.999B,150.00M,4.301B,4.451B,4.451B,1.825B,286.00M,1.179B,90.00M,1.089B,-23.00M,,-230.00M,,836.00M,859.00M,-418.00M,2.864B,,0.44,-0.02,,,0.44,0.42,,0.44,-0.02,,,0.44,0.42,,1.437B,1.512B,0.05,,AOR,Restated
2010-09,6.78B,6.78B,134.00M,4.097B,4.231B,4.231B,0.00,103.00M,801.00M,-23.00M,824.00M,-183.00M,,-510.00M,,131.00M,314.00M,646.00M,2.549B,,0.07,-0.14,,,0.07,-0.07,,0.05,-0.14,,,0.05,-0.07,,1.377B,1.443B,0.05,,AOR,Restated
2010-06,7.963B,7.963B,153.00M,4.302B,4.455B,4.455B,0.00,141.00M,1.703B,240.00M,1.463B,521.00M,,-24.00M,,1.96B,1.439B,1.037B,3.309B,,0.84,0.36,,,0.84,1.20,,0.80,0.29,,,0.80,1.09,,1.318B,1.748B,0.05,,AOR,Restated
2010-03,9.072B,9.072B,134.00M,4.811B,4.945B,4.945B,0.00,368.00M,2.515B,436.00M,2.079B,-68.00M,,-235.00M,,1.776B,1.844B,154.00M,3.883B,,1.12,-0.05,,,1.12,1.07,,1.03,-0.05,,,1.03,0.99,,1.315B,1.626B,0.05,,AOR,Restated
2009-12,6.838B,6.838B,153.00M,3.382B,3.535B,3.535B,0.00,550.00M,662.00M,43.00M,619.00M,151.00M,,-153.00M,,617.00M,466.00M,395.00M,1.867B,,0.24,0.12,,,0.24,0.36,,0.24,0.12,,,0.24,0.36,,1.297B,1.297B,0.05,,AOR,Restated
2009-09,8.468B,8.468B,118.00M,5.537B,5.655B,5.655B,0.00,497.00M,1.493B,521.00M,972.00M,-179.00M,,-36.00M,,757.00M,936.00M,466.00M,2.847B,,0.51,-0.12,,,0.51,0.39,,0.50,-0.12,,,0.50,0.38,,1.294B,1.300B,0.05,,AOR,Restated
2009-06,5.197B,5.197B,120.00M,4.383B,4.503B,4.503B,0.00,-197.00M,-584.00M,-319.00M,-265.00M,298.00M,,116.00M,,149.00M,-149.00M,208.00M,1.261B,,-1.36,0.26,,,-1.36,-1.10,,-1.36,0.26,,,-1.36,-1.10,,1.138B,1.138B,0.05,,AOR,Restated
2009-03,2.897B,2.897B,110.00M,2.508B,2.618B,2.618B,0.00,-64.00M,-630.00M,-595.00M,-35.00M,-155.00M,,13.00M,,-177.00M,-22.00M,155.00M,1.679B,,-0.41,-0.16,,,-0.41,-0.57,,-0.41,-0.16,,,-0.41,-0.57,,1.012B,1.012B,0.27,,AOR,Restated
2008-11,1.829B,1.829B,218.00M,1.58B,1.798B,1.798B,2.523B,853.00M,-3.35B,-1.155B,-2.195B,,,,77.00M,-2.295B,-2.195B,485.00M,2.648B,,-2.19,-0.10,,,-2.19,-2.29,,-2.19,-0.10,,,-2.19,-2.29,,1.011B,1.186B,0.27,,,
2008-08,8.057B,8.057B,168.00M,3.695B,3.863B,3.863B,453.00M,1.142B,1.956B,531.00M,1.425B,,,,11.00M,1.425B,1.425B,100.00M,10.61B,,1.36,0.00,,,1.36,1.36,,1.32,0.00,,,1.32,1.32,,1.043B,1.072B,0.27,,,
2008-05,6.529B,6.529B,207.00M,2.96B,3.167B,3.167B,939.00M,104.00M,1.465B,439.00M,1.026B,,,,14.00M,1.026B,1.026B,83.00M,11.48B,,0.97,0.00,,,0.97,0.97,,0.95,0.00,,,0.95,0.95,,1.038B,1.067B,0.27,,,
2008-02,8.322B,8.322B,183.00M,4.071B,4.254B,4.254B,3.046B,1.103B,2.216B,665.00M,1.551B,,,,17.00M,1.551B,1.551B,126.00M,15.08B,,1.50,0.00,,,1.50,1.50,,1.45,0.00,,,1.45,1.45,,1.021B,1.058B,0.27,,,
2007-11,-450.00M,-450.00M,271.00M,3.187B,3.458B,3.458B,-6.351B,946.00M,-5.786B,-2.198B,-3.588B,0.00,,,18.00M,-3.588B,-3.588B,-3.00M,9.375B,,-3.59,-0.01,,,-3.59,-3.60,,-3.59,-0.01,,,-3.59,-3.60,,999.45M,1.056B,0.27,,,
2007-08,7.958B,7.958B,190.00M,3.596B,3.786B,3.786B,1.939B,1.133B,2.246B,772.00M,1.474B,69.00M,,,17.00M,1.543B,1.474B,224.00M,15.52B,,1.45,0.07,,,1.45,1.52,,1.38,0.06,,,1.38,1.44,,1.002B,1.057B,0.27,,,
2007-05,10.52B,10.52B,199.00M,4.994B,5.193B,5.193B,5.842B,-271.00M,3.504B,1.141B,2.363B,219.00M,,,17.00M,2.582B,2.363B,50.00M,19.18B,,2.35,0.22,,,2.35,2.57,,2.24,0.21,,,2.24,2.45,,996.54M,1.046B,0.27,,,
2007-02,11.19B,11.19B,294.00M,4.992B,5.286B,5.286B,5.078B,1.329B,3.82B,1.261B,2.559B,113.00M,,,,2.672B,2.559B,204.00M,17.30B,,2.52,0.11,,,2.52,2.63,,2.40,0.11,,,2.40,2.51,,1.009B,1.058B,0.27,,,
2006-11,7.824B,7.824B,221.00M,3.304B,3.525B,3.525B,2.895B,920.00M,2.583B,601.00M,1.982B,224.00M,,,,2.206B,1.982B,338.00M,12.96B,,1.96,0.23,,,1.96,2.19,,1.87,0.21,,,1.87,2.08,,996.48M,1.052B,0.27,,,
2006-08,7.084B,7.084B,147.00M,3.085B,3.232B,3.232B,3.143B,472.00M,2.264B,676.00M,1.588B,263.00M,,,,1.851B,1.588B,173.00M,13.81B,,1.57,0.26,,,1.57,1.83,,1.50,0.25,,,1.50,1.75,,1.010B,1.056B,0.27,,,
2006-05,8.857B,8.857B,297.00M,3.802B,4.099B,4.099B,4.211B,146.00M,2.886B,1.058B,1.828B,13.00M,,,,1.841B,1.828B,186.00M,12.85B,,1.81,0.01,,,1.81,1.82,,1.74,0.01,,,1.74,1.75,,1.013B,1.055B,0.27,,,
2006-02,8.707B,8.707B,238.00M,4.242B,4.48B,4.48B,3.435B,1.083B,2.391B,789.00M,1.602B,-28.00M,,,,1.574B,1.602B,179.00M,11.85B,,1.57,-0.03,,,1.57,1.54,,1.51,-0.03,,,1.51,1.48,,1.020B,1.062B,0.27,,,
2005-11,7.272B,7.272B,331.00M,2.672B,3.003B,3.003B,2.074B,1.046B,2.064B,318.00M,1.746B,719.00M,0.00,,,2.465B,1.746B,125.00M,10.32B,,1.06,1.30,0.00,,1.06,2.36,,1.00,1.30,-0.0000,,1.00,2.28,,1.035B,1.082B,0.27,,,
2005-08,7.171B,7.171B,276.00M,3.165B,3.441B,3.441B,2.253B,1.012B,1.637B,471.00M,1.166B,-1.022B,,,,144.00M,1.166B,212.00M,7.623B,,1.12,-0.98,,,1.12,0.14,,1.09,-0.98,,,1.09,0.13,,1.046B,1.072B,0.27,,,
2005-05,6.24B,6.24B,298.00M,2.622B,2.92B,2.92B,2.02B,474.00M,1.327B,396.00M,931.00M,-3.00M,,,,928.00M,844.71M,247.00M,6.888B,,0.88,0.00,,,0.7981,0.88,,0.86,0.00,,,0.7801,0.86,,1.054B,1.080B,0.27,,,
2005-02,6.90B,6.90B,257.00M,2.854B,3.111B,3.111B,1.999B,1.218B,2.022B,673.00M,1.349B,4.00M,49.00M,,,1.402B,1.398B,231.00M,6.647B,,1.26,0.00,0.00,,1.306,1.31,,1.24,0.00,0.0449,,1.285,1.29,,1.069B,1.090B,0.27,,,
2004-11,5.648B,5.648B,332.00M,1.89B,2.222B,2.222B,1.461B,1.02B,1.613B,412.00M,1.201B,-1.00M,,0.00,,1.20B,1.201B,342.00M,6.326B,,0.35,0.76,,,0.35,1.11,,0.34,0.75,,,0.34,1.09,,1.080B,1.097B,0.25,,,
2004-08,5.638B,5.638B,277.00M,2.34B,2.617B,2.617B,703.00M,1.258B,1.196B,339.00M,857.00M,-20.00M,,,,837.00M,767.43M,169.00M,5.346B,,0.80,-0.02,,,0.7172,0.78,,0.78,-0.02,,,0.6990,0.76,,1.081B,1.106B,0.25,,,
2004-05,6.85B,6.85B,263.00M,2.923B,3.186B,3.186B,2.064B,713.00M,1.722B,498.00M,1.224B,-1.00M,,,,1.223B,1.088B,127.00M,4.672B,,1.13,0.00,,,1.005,1.13,,1.10,0.00,,,0.9777,1.10,,1.082B,1.110B,0.25,,,
2004-02,6.41B,6.41B,254.00M,2.712B,2.966B,2.966B,1.861B,810.00M,1.775B,551.00M,1.224B,2.00M,,-45.00M,,1.226B,1.288B,167.00M,4.747B,,1.14,0.00,,,1.199,1.14,,1.11,0.00,,,1.168,1.11,,1.079B,1.106B,0.25,,,
2003-11,5.574B,5.574B,256.00M,1.782B,2.038B,2.038B,949.00M,987.00M,1.364B,372.00M,992.00M,,,-45.00M,,1.014B,992.00M,79.00M,5.062B,,0.93,0.02,,,0.93,0.95,,0.91,0.02,,,0.91,0.93,,1.076B,1.102B,0.23,,,
2003-08,5.454B,5.454B,197.00M,2.287B,2.484B,2.484B,1.856B,454.00M,1.376B,342.00M,1.034B,1.00M,,-47.00M,,1.035B,1.113B,,4.743B,,0.96,0.00,,,1.033,0.96,,0.94,0.00,,,1.012,0.94,,1.078B,1.101B,0.23,,,
2003-05,5.358B,5.358B,257.00M,2.272B,2.529B,2.529B,1.642B,632.00M,875.00M,276.00M,599.00M,,,-40.00M,,599.00M,599.00M,,3.935B,,0.56,0.00,,,0.56,0.56,,0.55,0.00,,,0.55,0.55,,1.077B,1.097B,0.23,,,
2003-02,5.814B,5.814B,269.00M,2.548B,2.817B,2.817B,1.534B,1.101B,1.404B,499.00M,905.00M,,,-22.00M,,905.00M,905.00M,,4.092B,,0.84,0.00,,,0.84,0.84,,0.82,0.00,,,0.82,0.82,,1.079B,1.100B,0.23,,,
2002-11,4.568B,4.568B,329.00M,1.147B,1.476B,1.476B,431.00M,785.00M,1.135B,403.00M,732.00M,,,-22.00M,,732.00M,732.00M,,4.137B,,0.76,-0.08,,,0.76,0.68,,0.73,-0.08,,,0.73,0.66,,1.081B,1.107B,0.23,,,
2002-08,4.968B,4.968B,291.00M,2.061B,2.352B,2.352B,393.00M,1.185B,948.00M,337.00M,611.00M,,,-21.00M,,611.00M,611.00M,,4.136B,,0.57,0.00,,,0.57,0.57,,0.55,0.00,,,0.55,0.55,,1.082B,1.105B,0.23,,,
2002-05,5.312B,5.312B,259.00M,2.236B,2.495B,2.495B,680.00M,1.033B,1.225B,428.00M,797.00M,,,-22.00M,,797.00M,797.00M,,4.069B,,0.73,0.00,,,0.73,0.73,,0.72,0.00,,,0.72,0.72,,1.085B,1.114B,0.23,,,
2002-02,5.61B,5.61B,254.00M,2.489B,2.743B,2.743B,1.165B,900.00M,1.325B,477.00M,848.00M,,,-22.00M,,848.00M,848.00M,,4.261B,,0.78,0.00,,,0.78,0.78,,0.76,0.00,,,0.76,0.76,,1.082B,1.113B,0.23,,,
2001-11,4.924B,4.924B,290.00M,1.422B,1.712B,1.712B,541.00M,784.00M,1.34B,498.00M,842.00M,,0.00,,4.00M,842.00M,842.00M,,4.672B,,0.84,-0.04,0.00,-0.0001,0.84,0.80,,0.82,-0.04,-0.0001,-0.0001,0.82,0.78,,1.077B,1.108B,0.23,,,
2001-08,5.449B,5.449B,280.00M,2.376B,2.656B,2.656B,1.02B,942.00M,1.158B,423.00M,735.00M,,,,14.00M,705.00M,735.00M,,6.041B,,0.67,-0.03,,-0.0276,0.67,0.64,,0.65,-0.03,,-0.0276,0.65,0.62,,1.085B,1.119B,0.23,,,
2001-05,6.199B,6.199B,331.00M,2.732B,3.063B,3.063B,1.963B,544.00M,1.465B,535.00M,930.00M,,,-7.00M,9.00M,930.00M,930.00M,,7.871B,,0.85,0.00,,,0.85,0.85,,0.82,0.00,,,0.82,0.82,,1.085B,1.121B,0.23,,,
2001-02,6.509B,6.509B,366.00M,2.839B,3.205B,3.205B,1.639B,1.064B,1.693B,618.00M,1.075B,,-59.00M,-7.00M,9.00M,1.016B,1.075B,,7.865B,,0.98,-0.05,0.00,,0.98,0.93,,0.94,-0.05,-0.0542,,0.94,0.89,,1.089B,1.134B,0.23,,,
2000-11,5.52B,5.52B,102.00M,1.735B,1.837B,1.837B,883.00M,883.00M,1.889B,681.00M,1.208B,,,,9.00M,1.208B,1.208B,,6.471B,,1.08,0.00,,,1.08,1.08,,1.03,0.00,,,1.03,1.03,,1.095B,1.145B,0.20,,,
2000-08,6.504B,6.504B,507.00M,2.656B,3.163B,3.163B,1.698B,655.00M,1.91B,664.00M,1.246B,,,,9.00M,1.246B,1.223B,,7.152B,,1.14,0.00,,,1.119,1.14,,1.09,0.00,,,1.070,1.09,,1.098B,1.145B,0.20,,,
2000-05,7.272B,7.272B,502.00M,3.097B,3.599B,3.599B,2.265B,703.00M,2.295B,837.00M,1.458B,,,,9.00M,1.458B,1.458B,,6.715B,,1.32,0.00,,,1.32,1.32,,1.26,0.00,,,1.26,1.26,,1.098B,1.145B,0.20,,,
2000-02,7.634B,7.634B,471.00M,3.408B,3.879B,3.879B,2.708B,817.00M,2.432B,888.00M,1.544B,,,,9.00M,1.544B,1.544B,,6.412B,,1.40,0.00,,,1.40,1.40,,1.34,0.00,,,1.34,1.34,,1.096B,1.146B,0.20,,,
1999-11,5.35B,5.35B,37.00M,1.32B,1.357B,1.357B,1.336B,636.00M,2.635B,1.002B,1.633B,,,,11.00M,1.633B,1.633B,,5.809B,,1.50,0.00,,,1.50,1.50,,1.42,0.00,,,1.42,1.42,,1.067B,1.123B,0.12,,,
