,NetIncome,Gain/LossonSaleBusiness,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2008-03,1.443B,,,,20.00M,1.102B,63.00M,1.165B,1.165B,-137.00M,,,,555.00M,-172.00M,75.00M,,-23.00M,38.00M,-1.095B,346.00M,-831.00M,2.215B,,-907.00M,-907.00M,,75.00M,212.00M,-301.00M,-921.00M,,,,47.00M,468.00M,-2.501B,-2.033B,,-739.00M,,7.00M,-2.718B,,7.307B,-1.424B,,5.883B,,468.00M,,,-2.501B,,,,,
2007-12,2.271B,,,,19.00M,1.108B,63.00M,1.171B,1.171B,-186.00M,,,,417.00M,294.00M,-44.00M,,22.00M,-339.00M,-51.00M,1.16B,1.042B,4.734B,,-1.273B,-1.273B,,-2.00M,-1.055B,168.00M,-2.162B,,,,130.00M,806.00M,-1.501B,-695.00M,,-658.00M,,114.00M,-1.109B,,5.844B,1.463B,,7.307B,,806.00M,,,-1.501B,,,,,
2007-09,1.791B,,,,-169.00M,1.098B,65.00M,1.163B,1.163B,-44.00M,,,,333.00M,-329.00M,582.00M,,157.00M,-489.00M,170.00M,757.00M,848.00M,3.922B,,-1.088B,-1.088B,,-42.00M,-1.115B,77.00M,-2.168B,,,,-84.00M,884.00M,-787.00M,97.00M,,-658.00M,,26.00M,-619.00M,,4.709B,1.135B,,5.844B,,884.00M,,,-787.00M,,,,,
2007-06,1.278B,,,,1.00M,1.153B,60.00M,1.213B,1.213B,-63.00M,,,,301.00M,334.00M,227.00M,,-94.00M,-400.00M,356.00M,-736.00M,-313.00M,2.417B,,-1.278B,-1.278B,,,-1.126B,24.00M,-2.38B,,,,82.00M,776.00M,-100.00M,676.00M,,-652.00M,,94.00M,200.00M,,4.472B,237.00M,,4.709B,,776.00M,,,-100.00M,,,,,
2007-03,1.636B,,,,-29.00M,1.187B,64.00M,1.251B,1.251B,-150.00M,,,,347.00M,17.00M,-65.00M,,17.00M,-201.00M,-723.00M,-548.00M,-1.503B,1.552B,,-1.361B,-1.361B,,,-1.88B,25.00M,-3.216B,,,,-42.00M,586.00M,-400.00M,186.00M,,-650.00M,,44.00M,-462.00M,,6.598B,-2.126B,,4.472B,,586.00M,,,-400.00M,,,,,
2006-12,1.501B,,,,-490.00M,1.166B,61.00M,1.227B,1.227B,18.00M,,,,803.00M,618.00M,147.00M,,-145.00M,-38.00M,551.00M,-21.00M,1.112B,4.171B,,-1.067B,-1.067B,,,-1.119B,-150.00M,-1.584B,,,,-2.00M,279.00M,-150.00M,129.00M,,-576.00M,,-9.00M,-458.00M,,4.469B,2.129B,,6.598B,,279.00M,,,-150.00M,,,,,
2006-09,1.301B,,,,-297.00M,1.193B,63.00M,1.256B,1.256B,20.00M,,,,436.00M,-147.00M,-167.00M,,-77.00M,126.00M,883.00M,-523.00M,95.00M,2.811B,,-1.188B,-1.188B,,,369.00M,219.00M,-600.00M,,,,-382.00M,273.00M,-500.00M,-227.00M,,-577.00M,,8.00M,-1.178B,,3.436B,1.033B,,4.469B,,273.00M,,,-500.00M,,,,,
2006-06,885.00M,,,,-389.00M,1.156B,59.00M,1.215B,1.215B,-364.00M,,,,648.00M,744.00M,-737.00M,,67.00M,43.00M,-524.00M,-46.00M,-453.00M,1.542B,,-1.766B,-1.766B,,,672.00M,668.00M,-426.00M,,,,-227.00M,118.00M,-1.00B,-882.00M,,-582.00M,,63.00M,-1.628B,,3.948B,-512.00M,,3.436B,,118.00M,,,-1.00B,,,,,
2006-03,1.357B,,,,350.00M,1.139B,75.00M,1.214B,1.214B,1.00M,,,,,2.00M,-359.00M,,162.00M,193.00M,-970.00M,146.00M,-826.00M,2.096B,,-1.758B,-1.758B,,,231.00M,-770.00M,-2.297B,,,,-84.00M,376.00M,-2.943B,-2.567B,,-585.00M,,61.00M,-3.175B,,7.324B,-3.376B,,3.948B,,376.00M,,,-2.943B,,,,,
2005-12,2.453B,,,,109.00M,1.05B,58.00M,1.108B,1.108B,-243.00M,,,,,1.44B,-307.00M,,172.00M,-1.129B,460.00M,-334.00M,302.00M,3.729B,,-1.359B,-1.359B,,-88.00M,-2.055B,-70.00M,-3.572B,,,,1.785B,144.00M,-3.137B,-2.993B,,-482.00M,,,-1.69B,,8.857B,-1.533B,,7.324B,,144.00M,,,-3.137B,,,,,
2005-09,1.995B,,,,111.00M,1.055B,59.00M,1.114B,1.114B,-42.00M,,,,,-300.00M,-76.00M,,84.00M,242.00M,836.00M,402.00M,1.188B,4.366B,,-1.282B,-1.282B,,-22.00M,-265.00M,-220.00M,-1.789B,,,,-65.00M,356.00M,-2.50B,-2.144B,,-486.00M,,,-2.695B,,8.975B,-118.00M,,8.857B,,356.00M,,,-2.50B,,,,,
2005-06,2.038B,,,,133.00M,1.051B,66.00M,1.117B,1.117B,-133.00M,,,,,-221.00M,70.00M,,-91.00M,219.00M,-310.00M,150.00M,-183.00M,2.972B,,-1.389B,-1.389B,,-81.00M,827.00M,-27.00M,-670.00M,,,,95.00M,292.00M,-2.50B,-2.208B,,-493.00M,,,-2.606B,,9.279B,-304.00M,,8.975B,,292.00M,,,-2.50B,,,,,
2005-03,2.178B,,,,117.00M,1.189B,67.00M,1.256B,1.256B,5.00M,,,,,-227.00M,-187.00M,,138.00M,668.00M,107.00M,-299.00M,200.00M,3.756B,,-1.788B,-1.788B,,,1.451B,6.00M,-331.00M,,,,34.00M,410.00M,-2.50B,-2.09B,,-497.00M,,,-2.553B,,8.407B,872.00M,,9.279B,,410.00M,,,-2.50B,,,,,
2004-12,2.123B,,,,88.00M,1.144B,67.00M,1.211B,1.211B,76.00M,,,,,267.00M,559.00M,,426.00M,-532.00M,-188.00M,85.00M,617.00M,4.115B,,-1.031B,-1.031B,,0.00,1.088B,-117.00M,-60.00M,,,,-30.00M,101.00M,-2.00B,-1.899B,,-252.00M,,,-2.181B,,6.533B,1.874B,,8.407B,,101.00M,,,-2.00B,,,,,
2004-09,1.906B,,,,108.00M,1.155B,65.00M,1.22B,1.22B,-324.00M,,,,,-83.00M,43.00M,,-5.00M,190.00M,114.00M,1.00M,260.00M,3.17B,,-1.106B,-1.106B,,-20.00M,-131.00M,-19.00M,-1.276B,,,,-2.00M,241.00M,-2.50B,-2.259B,,-253.00M,,,-2.514B,,7.153B,-620.00M,,6.533B,,241.00M,,,-2.50B,,,,,
2004-06,1.757B,,,,132.00M,1.151B,74.00M,1.225B,1.225B,-78.00M,,,,,191.00M,-426.00M,,283.00M,-147.00M,1.273B,-145.00M,1.029B,4.065B,,-1.026B,-1.026B,,-33.00M,-1.702B,-6.00M,-2.767B,,,,-81.00M,166.00M,-1.511B,-1.345B,,-258.00M,,,-1.684B,,7.539B,-386.00M,,7.153B,,166.00M,,,-1.511B,,,,,
2004-03,1.73B,,,,109.00M,1.14B,93.00M,1.233B,1.233B,119.00M,,,,,-414.00M,-277.00M,,-43.00M,21.00M,-904.00M,195.00M,-1.422B,1.769B,,-680.00M,-680.00M,,,-240.00M,-9.00M,-929.00M,,,,106.00M,386.00M,-1.505B,-1.119B,,-259.00M,,,-1.272B,,7.971B,-432.00M,,7.539B,,386.00M,,,-1.505B,,,,,
2003-12,2.173B,,,,785.00M,1.177B,93.00M,1.27B,1.27B,94.00M,,,,,330.00M,-295.00M,,3.00M,-85.00M,-465.00M,158.00M,-354.00M,3.968B,,-707.00M,-707.00M,,-40.00M,-2.58B,-115.00M,-3.442B,,,,-82.00M,255.00M,-2.003B,-1.748B,,-131.00M,,,-1.961B,,9.406B,-1.435B,,7.971B,,255.00M,,,-2.003B,,,,,
2003-09,1.657B,,,,159.00M,1.167B,94.00M,1.261B,1.261B,181.00M,,,,,-481.00M,-73.00M,,53.00M,44.00M,281.00M,106.00M,-70.00M,3.188B,,-1.072B,-1.072B,,-21.00M,-1.203B,-73.00M,-2.369B,,,,-23.00M,359.00M,0.00,359.00M,,-131.00M,,,205.00M,,8.382B,1.024B,,9.406B,,359.00M,,,0.00,,,,,
2003-06,896.00M,,,,161.00M,1.162B,113.00M,1.275B,1.275B,70.00M,,,,,112.00M,11.00M,,-28.00M,-378.00M,424.00M,106.00M,247.00M,2.649B,,-923.00M,-923.00M,,,589.00M,-18.00M,-352.00M,,,,-32.00M,120.00M,-1.006B,-886.00M,,-131.00M,,,-1.049B,,7.134B,1.248B,,8.382B,,120.00M,,,-1.006B,,,,,
2003-03,915.00M,,,,233.00M,1.145B,119.00M,1.264B,1.264B,46.00M,,,,,-391.00M,112.00M,,88.00M,-92.00M,-325.00M,-140.00M,-748.00M,1.71B,,-954.00M,-954.00M,,,20.00M,7.00M,-927.00M,,,,-152.00M,233.00M,-1.003B,-770.00M,,-131.00M,,,-1.053B,,7.404B,-270.00M,,7.134B,,233.00M,,,-1.003B,,,,,
2002-12,1.049B,,,,259.00M,1.244B,142.00M,1.386B,1.386B,-114.00M,,,,,512.00M,202.00M,,-78.00M,-109.00M,475.00M,-61.00M,941.00M,3.521B,,-1.203B,-1.203B,,0.00,-439.00M,-165.00M,-1.807B,,,,84.00M,66.00M,-1.006B,-940.00M,,-132.00M,,,-988.00M,,6.678B,726.00M,,7.404B,,66.00M,,,-1.006B,,,,,
2002-09,686.00M,,,,202.00M,1.136B,132.00M,1.268B,1.268B,-5.00M,,,,,-182.00M,24.00M,,-37.00M,-110.00M,422.00M,123.00M,240.00M,2.391B,,-955.00M,-955.00M,,-7.00M,246.00M,14.00M,-702.00M,,,,-149.00M,204.00M,-1.001B,-797.00M,,-133.00M,,,-1.079B,,6.068B,610.00M,,6.678B,,204.00M,,,-1.001B,,,,,
2002-06,446.00M,,,,309.00M,1.135B,259.00M,1.394B,1.394B,249.00M,,,,,-24.00M,-25.00M,,-267.00M,-19.00M,-151.00M,-223.00M,-709.00M,1.689B,,-1.115B,-1.115B,,-50.00M,44.00M,-14.00M,-1.135B,,,,4.00M,122.00M,-1.002B,-880.00M,,-134.00M,,,-1.01B,,6.524B,-456.00M,,6.068B,,122.00M,,,-1.002B,,,,,
2002-03,936.00M,,,,193.00M,1.161B,135.00M,1.296B,1.296B,-20.00M,,,,,-276.00M,-227.00M,,156.00M,-206.00M,-464.00M,140.00M,-877.00M,1.528B,,-1.43B,-1.43B,,,-526.00M,-165.00M,-2.121B,,,,-3.00M,289.00M,-1.005B,-716.00M,,-134.00M,,,-853.00M,,7.97B,-1.446B,,6.524B,,289.00M,,,-1.005B,,,,,
2001-12,504.00M,,,,790.00M,1.093B,639.00M,1.732B,1.732B,-266.00M,,,,,437.00M,92.00M,,-23.00M,657.00M,540.00M,-1.033B,670.00M,3.43B,,-1.136B,-1.136B,,-4.00M,1.791B,-80.00M,571.00M,,,,133.00M,109.00M,-1.003B,-894.00M,,-134.00M,,,-895.00M,,4.864B,3.106B,,7.97B,,109.00M,,,-1.003B,,,,,
2001-09,106.00M,,,,349.00M,1.054B,609.00M,1.663B,1.663B,-113.00M,,,,,-139.00M,475.00M,,-238.00M,71.00M,-145.00M,30.00M,54.00M,2.059B,,-1.365B,-1.365B,,0.00,2.024B,-66.00M,593.00M,,,,1.904B,243.00M,-3.005B,-2.762B,,-135.00M,,,-993.00M,,3.205B,1.659B,,4.864B,,243.00M,,,-3.005B,,,,,
2001-06,196.00M,,,,179.00M,1.05B,594.00M,1.644B,1.644B,-120.00M,,,,,529.00M,-169.00M,,-344.00M,101.00M,167.00M,-64.00M,220.00M,2.119B,,-2.144B,-2.144B,,-381.00M,1.659B,-82.00M,-948.00M,,,,-1.816B,123.00M,1.001B,1.124B,,-135.00M,,,-827.00M,,2.861B,344.00M,,3.205B,,123.00M,,,1.001B,,,,,
2001-03,485.00M,,,,96.00M,934.00M,585.00M,1.519B,1.519B,-20.00M,,,,,734.00M,-374.00M,,-68.00M,69.00M,-1.356B,96.00M,-899.00M,1.181B,,-2.664B,-2.664B,,-498.00M,2.783B,-167.00M,-546.00M,,,,98.00M,287.00M,-1.001B,-714.00M,,-134.00M,,,-750.00M,,2.976B,-115.00M,,2.861B,,287.00M,,,-1.001B,,,,,
2000-12,2.193B,,,,378.00M,786.00M,459.00M,1.245B,1.245B,-22.00M,,,,-2.00M,455.00M,-294.00M,,22.00M,-814.00M,262.00M,-45.00M,-414.00M,3.378B,,-2.423B,-2.423B,,-215.00M,-2.762B,-458.00M,-5.858B,,,,98.00M,60.00M,-1.001B,-941.00M,,-135.00M,,,-978.00M,,6.434B,-3.458B,,2.976B,,60.00M,,,-1.001B,,,,,
2000-09,2.509B,,,,-672.00M,802.00M,420.00M,1.222B,1.222B,-20.00M,,,,2.00M,-232.00M,-328.00M,,384.00M,207.00M,-60.00M,0.00,-29.00M,3.012B,,-1.925B,-1.925B,,-179.00M,-649.00M,-189.00M,-2.942B,,,,-49.00M,245.00M,-1.005B,-760.00M,,-135.00M,,,-944.00M,,7.308B,-874.00M,,6.434B,,245.00M,,,-1.005B,,,,,
2000-06,3.137B,,,,-2.075B,764.00M,394.00M,1.158B,1.158B,27.00M,,,,,-647.00M,-65.00M,,202.00M,645.00M,512.00M,262.00M,909.00M,3.156B,,-1.252B,-1.252B,,-517.00M,674.00M,-40.00M,-1.135B,,,,23.00M,161.00M,-1.001B,-840.00M,,-100.00M,,,-917.00M,,6.204B,1.104B,,7.308B,,161.00M,,,-1.001B,,,,,
2000-03,2.696B,,,,-372.00M,897.00M,313.00M,1.21B,1.21B,-115.00M,,,,,40.00M,-44.00M,,370.00M,,-845.00M,341.00M,-138.00M,3.281B,,-1.074B,-1.074B,,-1.406B,2.673B,-293.00M,-100.00M,,,,97.00M,331.00M,-1.00B,-669.00M,,-100.00M,,,-672.00M,,3.695B,2.509B,,6.204B,,331.00M,,,-1.00B,,,,,
1999-12,2.108B,,,,-236.00M,848.00M,241.00M,1.089B,1.089B,-3.00M,,,,,-38.00M,152.00M,,-209.00M,,792.00M,32.00M,729.00M,3.687B,,-980.00M,-980.00M,,-1.94B,475.00M,-262.00M,-2.707B,,,,156.00M,50.00M,-903.00M,-853.00M,,-100.00M,,,-797.00M,,3.512B,183.00M,,3.695B,,50.00M,,,-903.00M,,,,,
1999-09,1.458B,,,,211.00M,804.00M,121.00M,925.00M,925.00M,-77.00M,,,,,-152.00M,187.00M,,181.00M,,710.00M,494.00M,1.42B,3.937B,,-982.00M,-982.00M,,-907.00M,-1.178B,-202.00M,-3.269B,,,,28.00M,227.00M,-911.00M,-684.00M,,-99.00M,,,-755.00M,,3.599B,-87.00M,,3.512B,,227.00M,,,-911.00M,,,,,
1999-06,1.749B,,,,-88.00M,760.00M,31.00M,791.00M,791.00M,-58.00M,,,,,96.00M,-55.00M,,-95.00M,,-615.00M,-116.00M,-785.00M,1.609B,,-766.00M,-766.00M,,0.00,1.989B,-167.00M,1.056B,,,,-47.00M,79.00M,-1.501B,-1.422B,,-100.00M,,,-1.569B,,2.503B,1.096B,,3.599B,,79.00M,,,-1.501B,,,,,
1999-03,1.999B,,,,-185.00M,774.00M,18.00M,792.00M,792.00M,-81.00M,,,,,247.00M,-115.00M,,202.00M,,-34.00M,76.00M,376.00M,2.901B,,-675.00M,-675.00M,,-132.00M,-354.00M,-168.00M,-1.329B,,,,50.00M,207.00M,-1.297B,-1.09B,,-67.00M,,,-1.107B,,2.038B,465.00M,,2.503B,,207.00M,,,-1.297B,,,,,
1998-12,2.064B,,,,-7.00M,809.00M,16.00M,825.00M,825.00M,10.00M,,,,,135.00M,-4.00M,,39.00M,,411.00M,513.00M,1.094B,3.986B,,317.00M,317.00M,,,-2.579B,,-3.424B,,,,94.00M,126.00M,-1.537B,-1.411B,,-67.00M,,-40.00M,-1.424B,,2.90B,-862.00M,,2.038B,,126.00M,,,-1.537B,,,,,
1998-09,1.559B,,,,15.00M,1.998B,40.00M,734.00M,734.00M,-38.00M,,,,,-510.00M,125.00M,,113.00M,,1.081B,-91.00M,718.00M,2.988B,,-722.00M,-722.00M,,,301.00M,,-421.00M,,,,38.00M,135.00M,-1.717B,-1.582B,,-50.00M,,40.00M,-1.554B,,1.887B,1.013B,,2.90B,,135.00M,,,-1.717B,,,,,
1998-06,1.172B,,,,61.00M,,,674.00M,674.00M,69.00M,,,,,-27.00M,157.00M,,-232.00M,,-1.47B,,-1.572B,404.00M,,-1.702B,-1.702B,,,-83.00M,,-1.785B,,,,-102.00M,87.00M,-1.739B,-1.652B,,-51.00M,,,-1.805B,,5.073B,-3.186B,,1.887B,,87.00M,,,-1.739B,,,,,
1998-03,1.273B,,,,193.00M,,,630.00M,630.00M,36.00M,,,,,364.00M,-111.00M,,-100.00M,,-216.00M,,-63.00M,2.069B,,-1.45B,-1.45B,,,318.00M,,-1.132B,,,,56.00M,1.819B,-1.792B,27.00M,,-49.00M,,,34.00M,,4.102B,971.00M,,5.073B,,1.819B,,,-1.792B,,,,,
1997-12,1.743B,,,,-26.00M,,,583.00M,583.00M,-82.00M,,,,21.00M,483.00M,-190.00M,,210.00M,99.00M,431.00M,,1.236B,3.475B,,-1.584B,-1.584B,,,-1.95B,,-3.534B,,,,99.00M,126.00M,-1.00B,-874.00M,,-49.00M,,,-824.00M,,4.985B,-883.00M,,4.102B,,126.00M,,,-1.00B,,,,,
1997-09,1.574B,,,,27.00M,,,559.00M,559.00M,7.00M,,,,-21.00M,29.00M,-64.00M,,619.00M,-16.00M,-314.00M,,254.00M,2.40B,,-1.159B,-1.159B,,,-168.00M,,-1.327B,,,,36.00M,174.00M,-251.00M,-77.00M,,-49.00M,,,-90.00M,,4.002B,983.00M,,4.985B,,174.00M,,,-251.00M,,,,,
1997-06,1.645B,,,,0.00,,,529.00M,529.00M,48.00M,,,,,34.00M,-70.00M,,-466.00M,-83.00M,274.00M,,-311.00M,1.911B,,-969.00M,-969.00M,,,656.00M,,-313.00M,,,,-532.00M,98.00M,-945.00M,-847.00M,,-41.00M,,,-1.42B,,3.824B,178.00M,,4.002B,,98.00M,,,-945.00M,,,,,
1997-03,1.983B,,,,23.00M,,,521.00M,521.00M,33.00M,,,,,-261.00M,-80.00M,,75.00M,,-72.00M,,-338.00M,2.222B,,-789.00M,-789.00M,,,-896.00M,,-1.685B,,,,92.00M,247.00M,-1.176B,-929.00M,,-41.00M,,,-878.00M,,4.165B,-341.00M,,3.824B,,247.00M,,,-1.176B,,,,,
1996-12,1.91B,,,,42.00M,,,519.00M,519.00M,21.00M,,,,-250.00M,-235.00M,77.00M,,179.00M,73.00M,921.00M,,1.015B,3.257B,,-790.00M,-790.00M,,,-1.472B,,-2.262B,,,,-3.00M,36.00M,-335.00M,-299.00M,,-41.00M,,,-343.00M,,3.513B,652.00M,,4.165B,,36.00M,,,-335.00M,,,,,
1996-09,1.312B,,,,18.00M,,,496.00M,496.00M,55.00M,,,,376.00M,-588.00M,109.00M,,34.00M,-216.00M,68.00M,,-593.00M,1.664B,,-630.00M,-630.00M,,,-270.00M,,-900.00M,,,,468.00M,111.00M,-598.00M,-487.00M,,-41.00M,,,-60.00M,,2.809B,704.00M,,3.513B,,111.00M,,,-598.00M,,,,,
1996-06,1.041B,,,,32.00M,,,462.00M,462.00M,55.00M,,,,-35.00M,201.00M,65.00M,,-5.00M,211.00M,280.00M,-70.00M,682.00M,2.237B,,-772.00M,-772.00M,,,-317.00M,,-1.089B,,,,-185.00M,59.00M,-135.00M,-76.00M,,-33.00M,,,-294.00M,,1.955B,854.00M,,2.809B,,59.00M,,,-135.00M,,,,,
1996-03,894.00M,,,,28.00M,,,411.00M,411.00M,48.00M,,,,18.00M,15.00M,460.00M,,-103.00M,-75.00M,-181.00M,70.00M,186.00M,1.585B,,-832.00M,-832.00M,,,-185.00M,,-1.017B,,,,80.00M,111.00M,-234.00M,-123.00M,,-33.00M,,,-76.00M,,1.463B,492.00M,,1.955B,,111.00M,,,-234.00M,,,,,
1995-12,867.00M,,,,24.00M,386.00M,-1.00M,385.00M,385.00M,161.00M,,,,22.00M,245.00M,106.00M,,-77.00M,18.00M,115.00M,,407.00M,1.866B,,-980.00M,-980.00M,,,-104.00M,,-1.084B,,,,-580.00M,30.00M,-63.00M,-33.00M,,-33.00M,,,-646.00M,,1.327B,136.00M,,1.463B,,30.00M,,,-63.00M,,,,,
1995-09,931.00M,,,,12.00M,363.00M,0.00,363.00M,363.00M,74.00M,,,,25.00M,-477.00M,-583.00M,,205.00M,-99.00M,164.00M,,-790.00M,615.00M,,-956.00M,-956.00M,,,472.00M,,-484.00M,,,,416.00M,111.00M,-321.00M,-210.00M,,-33.00M,,,173.00M,,1.023B,304.00M,,1.327B,,111.00M,,,-321.00M,,,,,
1995-06,879.00M,,,,8.00M,317.00M,4.00M,321.00M,321.00M,70.00M,,,,69.00M,-544.00M,-203.00M,,22.00M,-23.00M,178.00M,,-570.00M,777.00M,,-821.00M,-821.00M,,,411.00M,,-410.00M,,,,-148.00M,39.00M,-500.00M,-461.00M,,-25.00M,,,-634.00M,,1.29B,-267.00M,,1.023B,,39.00M,,,-500.00M,,,,,
1995-03,889.00M,,,,31.00M,305.00M,5.00M,310.00M,310.00M,41.00M,,,,,-362.00M,-155.00M,,139.00M,-147.00M,12.00M,,-513.00M,758.00M,,-793.00M,-793.00M,,,94.00M,,-699.00M,,,,129.00M,97.00M,-150.00M,-53.00M,,-25.00M,,,51.00M,,1.18B,110.00M,,1.29B,,97.00M,,,-150.00M,,,,,
1994-12,372.00M,,,,16.00M,282.00M,3.00M,285.00M,285.00M,-153.00M,,,,,-69.00M,209.00M,,75.00M,64.00M,226.00M,,505.00M,1.086B,,-760.00M,-760.00M,,,-93.00M,,-853.00M,,,,-126.00M,22.00M,-110.00M,-88.00M,,-25.00M,,,-239.00M,,1.186B,-6.00M,,1.18B,,22.00M,,,-110.00M,,,,,
1994-09,659.00M,,,,8.00M,273.00M,7.00M,280.00M,280.00M,0.00,,,,,-321.00M,-181.00M,,-43.00M,-69.00M,157.00M,,-457.00M,490.00M,,-540.00M,-540.00M,,,37.00M,,-503.00M,,,,183.00M,60.00M,-31.00M,29.00M,,-25.00M,,,187.00M,,1.012B,174.00M,,1.186B,,60.00M,,,-31.00M,,,,,
1994-06,640.00M,,,,12.00M,240.00M,4.00M,244.00M,244.00M,-1.00M,,,,,-57.00M,-208.00M,,19.00M,15.00M,89.00M,,-142.00M,753.00M,,-603.00M,-603.00M,,,-154.00M,,-757.00M,,,,2.00M,78.00M,-465.00M,-387.00M,,-21.00M,,,-406.00M,,1.422B,-410.00M,,1.012B,,78.00M,,,-465.00M,,,,,
1994-03,617.00M,,,,6.00M,233.00M,5.00M,238.00M,238.00M,4.00M,,,,,-83.00M,-151.00M,,97.00M,-67.00M,-53.00M,,-257.00M,608.00M,,-538.00M,-538.00M,,,-208.00M,,-746.00M,,,,-92.00M,66.00M,-52.00M,14.00M,,-21.00M,,,-99.00M,,1.659B,-237.00M,,1.422B,,66.00M,,,-52.00M,,,,,
1993-12,594.00M,,,,14.00M,,,223.00M,223.00M,-58.00M,,,,1.00M,29.00M,-115.00M,,34.00M,-2.00M,157.00M,,103.00M,877.00M,,-629.00M,-629.00M,,,321.00M,-521.00M,-829.00M,,,,-258.00M,9.00M,341.00M,350.00M,,-21.00M,,6.00M,77.00M,,1.533B,125.00M,,1.659B,,9.00M,,,341.00M,,,,,
1993-09,584.00M,,,,22.00M,-317.00M,-8.00M,169.00M,169.00M,54.00M,,,,-2.00M,-157.00M,-112.00M,,58.00M,8.00M,75.00M,,-128.00M,699.00M,,-488.00M,-488.00M,,,-292.00M,-336.00M,-1.116B,,,,194.00M,58.00M,-2.00M,56.00M,,-21.00M,,5.00M,234.00M,,1.717B,-183.00M,,1.533B,,58.00M,,,-2.00M,,,,,
1993-06,569.00M,,,,2.00M,317.00M,8.00M,173.00M,173.00M,7.00M,,,,-1.00M,-80.00M,-84.00M,,11.00M,-6.00M,102.00M,,-57.00M,693.00M,,-448.00M,-448.00M,,,-89.00M,-181.00M,-718.00M,,,,-16.00M,15.00M,-339.00M,-324.00M,,-21.00M,,51.00M,-310.00M,,2.052B,-335.00M,,1.717B,,15.00M,,,-339.00M,,,,,
1993-03,548.00M,,,,15.00M,,,152.00M,152.00M,9.00M,,,,2.00M,-171.00M,8.00M,,43.00M,-68.00M,-6.00M,,-194.00M,532.00M,,-368.00M,-368.00M,,,-184.00M,-122.00M,-674.00M,,,,34.00M,51.00M,,51.00M,,-21.00M,,287.00M,351.00M,,1.843B,209.00M,,2.052B,,51.00M,,,,,,,,
1992-12,429.00M,,,,23.30M,,,141.40M,141.40M,-4.40M,,,,-1.10M,-104.30M,13.20M,,8.50M,36.90M,233.80M,,188.10M,776.30M,,-363.70M,-363.70M,,,-13.30M,-0.10M,-377.10M,,,,36.40M,20.60M,,20.60M,,,,14.30M,50.30M,,0.00,449.50M,,1.842B,,20.60M,,,,,,,,
1992-09,240.80M,,,,14.70M,,,132.90M,132.90M,3.80M,,,,0.10M,-177.70M,-45.10M,,61.20M,-65.50M,107.30M,,-119.80M,272.50M,,-334.30M,-334.30M,,,-368.40M,0.10M,-702.60M,,,,-3.40M,44.30M,,44.30M,,,,-0.70M,40.20M,,0.00,-389.90M,,0.00,,44.30M,,,,,,,,
1992-06,213.10M,,,,19.00M,,,124.30M,124.30M,10.90M,,,,0.10M,-56.00M,-47.30M,,12.70M,-25.60M,73.00M,,-43.20M,324.20M,,-285.60M,-285.60M,,,95.10M,,-190.50M,,,,29.80M,12.50M,,12.50M,,,,27.40M,69.70M,,0.00,203.40M,,0.00,,12.50M,,,,,,,,
1992-03,184.10M,,,,16.00M,,,119.40M,119.40M,2.70M,,,,-0.10M,-33.00M,-33.80M,,29.60M,-6.80M,-16.10M,,-60.10M,262.00M,,-244.40M,-244.40M,,,34.60M,,-209.80M,,,,-53.80M,61.60M,,61.60M,,,,,7.80M,,1.519B,60.00M,,0.00,,61.60M,,,,,,,,
1991-12,188.70M,,,,18.50M,,,112.20M,112.20M,-18.30M,,,,-0.10M,47.80M,24.60M,,-69.50M,22.90M,76.90M,,102.70M,403.70M,,-292.80M,-292.80M,,,-139.50M,,-432.30M,,,,17.30M,3.40M,,3.40M,,,,14.20M,34.90M,,0.00,6.30M,,0.00,,3.40M,,,,,,,,
1991-09,201.70M,,,,7.40M,,,104.80M,104.80M,-6.50M,,,,0.20M,35.20M,-1.20M,,-17.40M,-1.00M,4.80M,,20.40M,328.00M,,-234.40M,-234.40M,,,-228.90M,0.10M,-463.20M,,,,16.30M,30.20M,,30.20M,,,,-0.10M,46.40M,,0.00,-88.80M,,0.00,,30.20M,,,,,,,,
