,NetIncome,Gain/LossonSaleBusiness,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2005-03,254.70M,,,,-4.40M,101.60M,101.60M,-18.90M,,,,,,,,-123.00M,-123.00M,210.00M,-40.60M,,-40.60M,,,1.70M,-38.90M,,,-91.80M,145.40M,-260.30M,-114.90M,,-104.00M,-0.70M,-311.40M,417.40M,-140.30M,-11.80M,265.30M,145.40M,,,-260.30M,,
2004-12,186.40M,,,,25.50M,98.80M,98.80M,50.10M,,,-204.00M,,,,,72.90M,43.10M,199.90M,-109.10M,,-101.20M,,,-0.70M,-101.90M,,,-14.20M,49.80M,-68.20M,-18.40M,,-104.50M,-4.00M,-141.10M,423.00M,-43.10M,37.50M,417.40M,49.80M,,,-68.20M,,
2004-09,247.00M,,,,20.20M,113.30M,113.30M,16.50M,,,126.80M,,,,,15.80M,15.80M,539.60M,-68.40M,,-68.40M,,,0.20M,-68.20M,,,-126.20M,39.80M,-66.50M,-26.70M,,-104.90M,-1.00M,-258.80M,211.30M,212.60M,-0.90M,423.00M,39.80M,,,-66.50M,,
2004-06,237.40M,,,,30.40M,112.40M,112.40M,-16.10M,,,-16.50M,,,,,-111.70M,-111.70M,235.90M,-58.90M,,-58.90M,,,0.40M,-58.50M,,,-91.90M,114.50M,-80.60M,33.90M,,-104.20M,-1.70M,-163.90M,196.10M,13.50M,1.70M,211.30M,114.50M,,,-80.60M,,
2004-03,219.80M,,,,28.40M,85.50M,85.50M,7.20M,,,-110.30M,,,,,23.00M,23.00M,253.60M,-42.20M,,-42.20M,,,0.40M,-41.80M,,,-54.00M,87.70M,-82.20M,5.50M,,-104.00M,,-152.50M,141.20M,59.30M,-4.40M,196.10M,87.70M,,,-82.20M,,
2003-12,188.00M,,,,,100.80M,100.80M,17.30M,,,76.10M,,,,,-54.40M,-194.20M,188.00M,-126.00M,13.80M,-112.20M,,,-7.90M,-120.10M,,,-210.20M,41.20M,-13.70M,27.50M,,-103.60M,-0.60M,-286.90M,341.90M,-219.00M,18.30M,141.20M,41.20M,,,-13.70M,,
2003-09,231.30M,,,,11.70M,88.30M,88.30M,19.60M,,,,,,,,171.70M,171.70M,522.60M,-52.70M,0.00,-52.70M,,,1.80M,-50.90M,,,-201.40M,22.40M,-14.30M,8.10M,,-103.20M,2.50M,-294.00M,160.70M,177.70M,3.50M,341.90M,22.40M,,,-14.30M,,
2003-06,203.90M,,,,-39.70M,98.00M,98.00M,24.50M,,,46.80M,,,,,-61.40M,-61.40M,272.10M,-38.60M,-0.30M,-38.90M,,,5.30M,-33.60M,,,-156.90M,43.30M,0.00,43.30M,,-102.70M,-4.90M,-221.20M,136.80M,17.30M,6.60M,160.70M,43.30M,,,0.00,,
2003-03,163.90M,,,,28.00M,85.70M,85.70M,13.40M,,,-46.80M,,,,,-55.90M,-55.90M,188.30M,-29.90M,14.30M,-15.60M,,,1.20M,-14.40M,,,10.50M,14.70M,-62.00M,-47.30M,,-102.90M,2.40M,-137.30M,100.60M,36.60M,-0.40M,136.80M,14.70M,,,-62.00M,,
2002-12,191.00M,,,,-424.40M,88.00M,88.00M,67.40M,,,,,,,,-257.90M,7.40M,-70.60M,-117.50M,5.90M,-111.60M,0.00,,1.90M,-109.70M,,,-80.60M,9.50M,-18.20M,-8.70M,,-102.60M,,-191.90M,461.20M,-372.20M,11.60M,100.60M,9.50M,,,-18.20M,,
2002-09,203.50M,,,,25.90M,90.60M,90.60M,43.30M,,,,,,,,143.50M,143.50M,506.80M,-50.40M,-4.10M,-54.50M,0.00,,-0.70M,-55.20M,,,0.10M,9.90M,-82.40M,-72.50M,,-103.80M,,-176.20M,196.30M,275.40M,-10.50M,461.20M,9.90M,,,-82.40M,,
2002-06,173.80M,,,,-37.30M,82.80M,82.80M,-10.90M,,,,,,,,67.80M,67.80M,276.20M,-52.70M,65.10M,12.40M,-2.20M,,-0.80M,9.40M,,,-298.60M,39.50M,0.00,39.50M,,-103.30M,,-362.40M,261.00M,-76.80M,12.10M,196.30M,39.50M,,,0.00,,
2002-03,152.60M,,,,-10.10M,87.00M,87.00M,11.40M,,,,,,,,46.60M,46.60M,287.50M,-32.90M,,-32.90M,,,-0.40M,-33.30M,,,-152.60M,42.00M,-0.40M,41.60M,,-102.90M,,-213.90M,231.80M,40.30M,-11.10M,261.00M,42.00M,,,-0.40M,,
2001-12,124.60M,,,,-30.70M,119.00M,119.00M,64.50M,,,,,,,,-259.60M,-0.20M,277.20M,-122.60M,,-112.50M,-0.30M,,-16.40M,-129.20M,,,-146.90M,5.00M,,5.00M,,-101.50M,0.00,-243.40M,327.00M,-95.40M,0.20M,231.80M,5.00M,,,,,
2001-09,150.30M,,,,-18.50M,134.50M,134.50M,27.00M,,,,,,,,142.80M,142.80M,436.10M,-75.10M,,-75.10M,-4.00M,,-3.90M,-83.00M,,,-178.90M,11.80M,,11.80M,,-102.90M,0.00,-270.00M,240.60M,83.10M,3.30M,327.00M,11.80M,,,,,
2001-06,114.60M,,,,-21.40M,114.60M,114.60M,6.00M,,,,,,,,126.00M,126.00M,339.80M,-51.40M,,-51.40M,-10.90M,,2.70M,-59.60M,,,-285.30M,2.00M,,2.00M,,-102.70M,0.00,-386.00M,346.00M,-105.80M,0.40M,240.60M,2.00M,,,,,
2001-03,84.10M,,,,-40.50M,70.50M,70.50M,-26.00M,,,,,,,,-9.20M,-9.20M,78.90M,-27.40M,,-27.40M,-3.843B,,-1.80M,-3.872B,,,4.034B,7.60M,,7.60M,,-102.70M,0.60M,3.940B,204.40M,146.50M,-4.90M,346.00M,7.60M,,,,,
2000-12,93.20M,,,,4.30M,73.30M,73.30M,-35.50M,,,,,,,,88.50M,115.50M,250.80M,-58.40M,,-53.60M,-1.90M,,-11.30M,-66.80M,,,-96.40M,0.00,,0.00,,-102.70M,,-199.10M,216.30M,-15.10M,3.20M,204.40M,0.00,,,,,
2000-09,181.90M,,,,-60.90M,74.10M,74.10M,25.10M,,,,,,,,18.00M,18.00M,238.20M,-45.10M,,-45.10M,-10.60M,,-1.30M,-57.00M,,,-33.50M,0.30M,,0.30M,,-102.40M,,-135.60M,172.30M,45.60M,-1.60M,216.30M,0.30M,,,,,
2000-06,150.90M,,,,67.60M,74.30M,74.30M,-6.30M,,,13.50M,,,,,-106.50M,-106.50M,193.50M,-57.30M,,-57.30M,-32.10M,,-6.40M,-95.80M,,,27.10M,1.20M,,1.20M,,-99.60M,,-71.30M,148.30M,26.40M,-2.40M,172.30M,1.20M,,,,,
2000-03,161.70M,,,,-34.00M,68.90M,68.90M,15.30M,,,-13.50M,,,,,,,198.40M,-70.10M,,-70.10M,-92.60M,,3.00M,-159.70M,,,60.40M,3.00M,,3.00M,,-99.20M,,-35.80M,150.60M,2.90M,-5.20M,148.30M,3.00M,,,,,
1999-12,100.90M,,,,58.30M,72.80M,72.80M,-33.40M,,,,,,,,194.00M,47.20M,245.80M,-386.70M,311.80M,-74.90M,,,-29.80M,-104.70M,,,-47.90M,5.10M,,5.10M,,-98.40M,,-141.20M,150.80M,-0.10M,-0.10M,150.60M,5.10M,,,,,
1999-09,-35.60M,,,,275.20M,74.60M,74.60M,-37.80M,,,167.40M,,,,,-194.00M,-194.00M,249.80M,-62.40M,16.00M,-46.40M,,,13.80M,-32.60M,,,-110.00M,3.40M,,3.40M,,-99.50M,,-206.10M,0.00,11.10M,-0.50M,150.80M,3.40M,,,,,
1999-06,154.20M,,,,29.60M,72.60M,72.60M,-0.10M,,,-106.40M,,,,,,,149.90M,-59.70M,,-59.70M,,,1.60M,-58.10M,,,3.80M,2.00M,,2.00M,,-95.50M,,-89.70M,0.00,2.10M,-2.30M,0.00,2.00M,,,,,
1999-03,118.80M,,,,13.10M,68.00M,68.00M,10.80M,,,-61.00M,,,,,,,149.70M,-55.60M,,-55.60M,,,6.80M,-48.80M,,,2.30M,2.40M,,2.40M,,-95.30M,,-90.60M,136.40M,10.30M,-6.30M,0.00,2.40M,,,,,
1998-12,46.80M,,,,43.00M,73.30M,73.30M,6.60M,,,85.40M,,,,,,,152.80M,-127.60M,,-120.80M,,,-11.50M,-132.30M,,,21.40M,1.60M,-18.20M,-16.60M,,-95.30M,,-90.50M,0.00,-70.00M,2.20M,136.40M,1.60M,,,-18.20M,,
1998-09,141.90M,,,,-10.50M,69.50M,69.50M,1.10M,,,22.20M,,,,,,,224.20M,-80.30M,,-80.30M,,,2.00M,-78.30M,,,55.10M,0.30M,-93.50M,-93.20M,,-95.60M,,-133.70M,0.00,12.20M,-0.60M,0.00,0.30M,,,-93.50M,,
1998-06,143.20M,,,,-47.90M,68.00M,68.00M,36.80M,,,4.10M,,,,,,,204.20M,-114.10M,,-114.10M,,,9.80M,-104.30M,,,86.10M,-0.40M,-66.70M,-67.10M,,-92.00M,,-73.00M,0.00,26.90M,0.50M,0.00,-0.40M,,,-66.70M,,
