,NetIncome,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,CashfromInvesting,,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,EndingCash(Quarterly),ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,SECFilingLinks,AsOriginallyReported,Restated
2018-03,558.00M,-107.00M,,17.00M,-90.00M,330.00M,,330.00M,330.00M,76.00M,,,-44.00M,6.00M,,25.00M,125.00M,,,154.00M,310.00M,1.14B,,2018-03,-1.07B,,-1.053B,-17.00M,,-10.00M,-1.073B,,2018-03,0.00,52.00M,52.00M,,,,,,-227.00M,-73.00M,-248.00M,,2018-03,-181.00M,,134.00M,,2018-03,,,,4.00M,73.00M,,2018-03,AOR,Restated
2017-12,956.00M,110.00M,,22.00M,132.00M,312.00M,,312.00M,312.00M,-394.00M,,,-159.00M,1.00M,,-154.00M,-99.00M,,,-68.00M,-320.00M,527.00M,,2017-12,-1.171B,,-1.144B,-27.00M,,-5.00M,-1.152B,,2017-12,550.00M,340.00M,890.00M,,,,,,-218.00M,-12.00M,660.00M,,2017-12,35.00M,,315.00M,,2017-12,,1.05B,,,116.00M,,2017-12,AOR,Restated
2017-09,395.00M,25.00M,,22.00M,47.00M,303.00M,,303.00M,303.00M,136.00M,,,7.00M,-5.00M,,5.00M,100.00M,,,-10.00M,90.00M,978.00M,,2017-09,-1.126B,,-1.065B,-61.00M,,-1.00M,-1.115B,,2017-09,0.00,202.00M,202.00M,,,,,,-217.00M,0.00,-15.00M,,2017-09,-152.00M,,280.00M,,2017-09,,0.00,,,72.00M,,2017-09,AOR,Restated
2017-06,109.00M,-59.00M,,22.00M,-37.00M,688.00M,,688.00M,688.00M,176.00M,,,-28.00M,0.00,,63.00M,-128.00M,,,-285.00M,-350.00M,558.00M,,2017-06,-933.00M,,-919.00M,-14.00M,,-6.00M,-910.00M,,2017-06,1.125B,-315.00M,810.00M,,,,,,-217.00M,-6.00M,587.00M,,2017-06,235.00M,,432.00M,,2017-06,,1.125B,,,112.00M,,2017-06,AOR,Restated
2017-03,114.00M,4.00M,,23.00M,27.00M,882.00M,,882.00M,882.00M,-85.00M,,,-52.00M,69.00M,,-4.00M,143.00M,,,103.00M,311.00M,1.197B,,2017-03,-1.077B,,-1.062B,-15.00M,,-9.00M,-1.079B,,2017-03,,-73.00M,-73.00M,,,,,,-218.00M,-56.00M,-347.00M,,2017-03,-229.00M,,197.00M,,2017-03,,,,,77.00M,,2017-03,AOR,Restated
2016-12,-98.00M,79.00M,,32.00M,111.00M,846.00M,,846.00M,846.00M,29.00M,,0.00,-70.00M,21.00M,,-72.00M,-199.00M,,,-16.00M,-266.00M,552.00M,,2016-12,-1.236B,,-1.214B,-22.00M,,-7.00M,-1.194B,,2016-12,700.00M,133.00M,833.00M,,,,,,-208.00M,-8.00M,617.00M,,2016-12,-25.00M,,426.00M,,2016-12,,700.00M,,,113.00M,,2016-12,AOR,Restated
2016-09,327.00M,19.00M,,32.00M,51.00M,280.00M,,280.00M,280.00M,111.00M,,102.00M,93.00M,-19.00M,,42.00M,108.00M,,,-56.00M,75.00M,1.039B,,2016-09,-1.055B,,-1.014B,-41.00M,,-10.00M,-1.05B,,2016-09,-228.00M,255.00M,27.00M,,,,,,-207.00M,-7.00M,-187.00M,,2016-09,-198.00M,,450.00M,,2016-09,,425.00M,,,76.00M,,2016-09,AOR,Restated
2016-06,187.00M,169.00M,,31.00M,200.00M,271.00M,,271.00M,271.00M,152.00M,,,-43.00M,0.00,,-42.00M,-50.00M,,,-167.00M,-259.00M,508.00M,,2016-06,-926.00M,,-906.00M,-20.00M,,-10.00M,-923.00M,,2016-06,700.00M,-12.00M,688.00M,,,,,,-208.00M,-9.00M,471.00M,,2016-06,56.00M,,648.00M,,2016-06,,700.00M,,,110.00M,,2016-06,AOR,Restated
2016-03,471.00M,-18.00M,,32.00M,14.00M,282.00M,,282.00M,282.00M,182.00M,,,-98.00M,301.00M,,-4.00M,144.00M,,,-78.00M,363.00M,1.214B,,2016-03,-1.081B,,-1.065B,-16.00M,,-5.00M,-1.081B,,2016-03,679.00M,-352.00M,327.00M,,,,,,-207.00M,-55.00M,65.00M,,2016-03,198.00M,,592.00M,,2016-03,,850.00M,,,66.00M,,2016-03,AOR,Restated
2015-12,309.00M,-92.00M,,40.00M,-52.00M,305.00M,,305.00M,305.00M,455.00M,,0.00,13.00M,-300.00M,,-20.00M,-218.00M,,,199.00M,-339.00M,691.00M,,2015-12,-1.187B,,-1.081B,,,-8.00M,-1.101B,,2015-12,382.00M,344.00M,726.00M,,,,,,-197.00M,4.00M,533.00M,,2015-12,123.00M,,394.00M,,2015-12,,750.00M,,155.00M,116.00M,,2015-12,AOR,Restated
2015-09,439.00M,-59.00M,,40.00M,-19.00M,369.00M,,369.00M,369.00M,60.00M,,0.00,2.00M,18.00M,,73.00M,56.00M,,,-4.00M,143.00M,994.00M,,2015-09,-1.039B,,-1.039B,,,-10.00M,-1.068B,,2015-09,-66.00M,20.00M,-46.00M,,,,,,-198.00M,-8.00M,-252.00M,,2015-09,-326.00M,,271.00M,,2015-09,,0.00,,108.00M,70.00M,,2015-09,AOR,Restated
2015-06,345.00M,-55.00M,,40.00M,-15.00M,368.00M,,368.00M,368.00M,107.00M,,,-27.00M,8.00M,,55.00M,-251.00M,,,-35.00M,-223.00M,555.00M,,2015-06,-996.00M,,-996.00M,,,-4.00M,-994.00M,,2015-06,233.00M,0.00,233.00M,,,,,,-197.00M,-8.00M,28.00M,,2015-06,-411.00M,,597.00M,,2015-06,,600.00M,,184.00M,121.00M,,2015-06,AOR,Restated
2015-03,586.00M,25.00M,,41.00M,66.00M,385.00M,,385.00M,385.00M,63.00M,,,-17.00M,180.00M,,14.00M,322.00M,,,80.00M,596.00M,1.679B,,2015-03,-747.00M,,-747.00M,,,-29.00M,-779.00M,,2015-03,-58.00M,0.00,-58.00M,,,,,,-197.00M,-39.00M,-294.00M,,2015-03,606.00M,,1.008B,,2015-03,,0.00,,,74.00M,,2015-03,AOR,Restated
2014-12,476.00M,-400.00M,,11.00M,-389.00M,357.00M,,357.00M,357.00M,412.00M,,,-18.00M,-65.00M,,151.00M,-283.00M,,,-17.00M,-214.00M,624.00M,,2014-12,-999.00M,,-898.00M,,,-2.00M,-904.00M,,2014-12,183.00M,0.00,183.00M,,,,,,-187.00M,-17.00M,-21.00M,,2014-12,-301.00M,,402.00M,,2014-12,,250.00M,,254.00M,113.00M,,2014-12,AOR,Restated
2014-09,444.00M,-100.00M,,12.00M,-88.00M,371.00M,,371.00M,371.00M,33.00M,,,11.00M,86.00M,,61.00M,73.00M,,,97.00M,317.00M,1.088B,,2014-09,-693.00M,,-693.00M,,,-2.00M,-706.00M,,2014-09,-59.00M,0.00,-59.00M,,,,,,-187.00M,-3.00M,-249.00M,,2014-09,133.00M,,703.00M,,2014-09,,500.00M,,-12.00M,77.00M,,2014-09,AOR,Restated
2014-06,212.00M,37.00M,,13.00M,50.00M,339.00M,,339.00M,339.00M,109.00M,,,-26.00M,11.00M,,27.00M,-219.00M,,,-171.00M,-352.00M,332.00M,,2014-06,-620.00M,,-620.00M,,,-3.00M,-653.00M,,2014-06,443.00M,0.00,443.00M,,,,,,-187.00M,-20.00M,236.00M,,2014-06,-85.00M,,570.00M,,2014-06,,500.00M,,281.00M,113.00M,,2014-06,AOR,Restated
2014-03,386.00M,201.00M,,11.00M,212.00M,360.00M,,360.00M,360.00M,-39.00M,,,-60.00M,-2.00M,,-261.00M,273.00M,,,247.00M,257.00M,1.116B,,2014-03,-609.00M,,-609.00M,,,-12.00M,-629.00M,,2014-03,-54.00M,-60.00M,-114.00M,,,,,,-187.00M,-24.00M,-325.00M,,2014-03,162.00M,,655.00M,,2014-03,,,,15.00M,79.00M,,2014-03,AOR,Restated
2013-12,200.00M,50.00M,,61.00M,111.00M,339.00M,,339.00M,339.00M,28.00M,,,34.00M,,,-60.00M,,,,-29.00M,11.00M,723.00M,,2013-12,-709.00M,,-709.00M,,,-45.00M,-713.00M,,2013-12,161.00M,60.00M,221.00M,,,,,,-182.00M,-4.00M,35.00M,,2013-12,45.00M,,493.00M,,2013-12,,500.00M,,19.00M,111.00M,,2013-12,AOR,Restated
2013-09,390.00M,-46.00M,,60.00M,14.00M,363.00M,,363.00M,363.00M,96.00M,,,6.00M,,,25.00M,,,,198.00M,223.00M,1.092B,,2013-09,-696.00M,,-696.00M,,,37.00M,-709.00M,,2013-09,244.00M,-157.00M,87.00M,,,,,,-182.00M,-4.00M,-99.00M,,2013-09,284.00M,,448.00M,,2013-09,,600.00M,,84.00M,80.00M,,2013-09,AOR,Restated
2013-06,333.00M,-168.00M,,61.00M,-107.00M,328.00M,,328.00M,328.00M,151.00M,,,-38.00M,,,-8.00M,,,,-193.00M,-201.00M,466.00M,,2013-06,-682.00M,,-682.00M,,,10.00M,-646.00M,,2013-06,145.00M,-8.00M,137.00M,,,,,,-182.00M,-31.00M,-76.00M,,2013-06,-256.00M,,164.00M,,2013-06,,500.00M,,135.00M,112.00M,,2013-06,AOR,Restated
2013-03,320.00M,141.00M,,61.00M,202.00M,340.00M,,340.00M,340.00M,-5.00M,,,-267.00M,,,,,,,287.00M,287.00M,877.00M,,2013-03,-724.00M,,-724.00M,,,-13.00M,-733.00M,,2013-03,199.00M,-98.00M,101.00M,,,,,,-182.00M,-22.00M,-103.00M,,2013-03,41.00M,,420.00M,,2013-03,,400.00M,,3.00M,82.00M,,2013-03,AOR,Restated
2012-12,224.00M,-113.00M,,68.00M,-45.00M,301.00M,,301.00M,301.00M,500.00M,,,-19.00M,-227.00M,,,,,,-258.00M,-485.00M,476.00M,,2012-12,-605.00M,,-605.00M,,,-10.00M,-574.00M,,2012-12,-360.00M,263.00M,-97.00M,,,,,,-180.00M,-26.00M,-303.00M,,2012-12,-401.00M,,379.00M,,2012-12,,50.00M,,12.00M,122.00M,,2012-12,AOR,Restated
2012-09,347.00M,121.00M,,69.00M,190.00M,331.00M,,331.00M,331.00M,56.00M,,,-46.00M,16.00M,,,,,,39.00M,55.00M,933.00M,,2012-09,-689.00M,,-689.00M,,,-7.00M,-712.00M,,2012-09,-4.00M,-16.00M,-20.00M,,,,,,-179.00M,-7.00M,-206.00M,,2012-09,15.00M,,780.00M,,2012-09,,350.00M,,-5.00M,83.00M,,2012-09,AOR,Restated
2012-06,211.00M,-97.00M,,66.00M,-31.00M,296.00M,,296.00M,296.00M,153.00M,,,-270.00M,,,,,,,-69.00M,-69.00M,290.00M,,2012-06,-593.00M,,-593.00M,,,-5.00M,-633.00M,,2012-06,375.00M,-13.00M,362.00M,,,,,,-180.00M,-5.00M,177.00M,,2012-06,-166.00M,,765.00M,,2012-06,,500.00M,,111.00M,113.00M,,2012-06,AOR,Restated
2012-03,493.00M,-15.00M,,68.00M,53.00M,299.00M,,299.00M,299.00M,12.00M,,,-22.00M,,,,,,,253.00M,253.00M,1.088B,,2012-03,-687.00M,,-687.00M,,,-12.00M,-706.00M,,2012-03,-115.00M,29.00M,-86.00M,,,,,,-179.00M,-20.00M,-285.00M,,2012-03,97.00M,,931.00M,,2012-03,,0.00,,3.00M,84.00M,,2012-03,AOR,Restated
2011-12,238.00M,,,661.00M,333.00M,,,390.00M,390.00M,182.00M,-114.00M,,-403.00M,361.00M,,,,,,161.00M,522.00M,1.148B,,2011-12,-604.00M,,-604.00M,,0.00,-9.00M,-442.00M,,2011-12,-923.00M,0.00,-923.00M,,,,,,-173.00M,-18.00M,-1.114B,,2011-12,-408.00M,,834.00M,,2011-12,,44.00M,,,479.00M,,2011-12,AOR,Restated
2011-09,294.00M,,,-21.00M,135.00M,,,262.00M,262.00M,657.00M,39.00M,,-50.00M,-281.00M,,,,,,-42.00M,-323.00M,1.014B,,2011-09,-477.00M,,-477.00M,,335.00M,-3.00M,-154.00M,,2011-09,699.00M,-298.00M,401.00M,,,,,,-173.00M,-5.00M,223.00M,,2011-09,1.083B,,1.242B,,2011-09,,750.00M,,-57.00M,-259.00M,,2011-09,AOR,Restated
2011-06,323.00M,,,-19.00M,-38.00M,,,238.00M,238.00M,124.00M,36.00M,,-25.00M,152.00M,,,,,,-457.00M,-305.00M,353.00M,,2011-06,-505.00M,,-505.00M,,352.00M,-3.00M,-518.00M,,2011-06,-656.00M,277.00M,-379.00M,,,,,,-174.00M,-23.00M,-576.00M,,2011-06,-741.00M,,159.00M,,2011-06,,0.00,,49.00M,174.00M,,2011-06,AOR,Restated
2011-03,526.00M,,,-446.00M,-592.00M,,,245.00M,245.00M,-152.00M,39.00M,,80.00M,441.00M,,,,,,455.00M,896.00M,1.042B,,2011-03,-497.00M,,-497.00M,,,-16.00M,-155.00M,,2011-03,-47.00M,-43.00M,-90.00M,,,,,,-173.00M,-4.00M,-267.00M,,2011-03,620.00M,,900.00M,,2011-03,,,,8.00M,85.00M,,2011-03,AOR,Restated
2010-12,282.00M,-61.00M,,798.00M,930.00M,,,380.00M,380.00M,901.00M,-102.00M,,-835.00M,-689.00M,,,,,,-42.00M,-731.00M,825.00M,,2010-12,-643.00M,,-643.00M,,0.00,-432.00M,-573.00M,,2010-12,-273.00M,64.00M,-209.00M,,,,80.00M,80.00M,-173.00M,-2.00M,-304.00M,,2010-12,-52.00M,,280.00M,,2010-12,,120.00M,80.00M,-10.00M,145.00M,,2010-12,AOR,Restated
2010-09,567.00M,-35.00M,,-19.00M,-169.00M,,,265.00M,265.00M,133.00M,34.00M,,-138.00M,0.00,,,,,,127.00M,127.00M,819.00M,,2010-09,-606.00M,,-606.00M,,0.00,260.00M,-341.00M,,2010-09,364.00M,-389.00M,-25.00M,,,,0.00,0.00,-173.00M,-5.00M,-203.00M,,2010-09,275.00M,,332.00M,,2010-09,,414.00M,0.00,435.00M,72.00M,,2010-09,AOR,Restated
2010-06,224.00M,-16.00M,,-188.00M,-127.00M,,,233.00M,233.00M,31.00M,34.00M,,144.00M,0.00,,,,,,-1.091B,-1.091B,-552.00M,,2010-06,-484.00M,,-484.00M,,0.00,50.00M,-437.00M,,2010-06,554.00M,389.00M,943.00M,,,,0.00,0.00,-174.00M,-35.00M,734.00M,,2010-06,-255.00M,,57.00M,,2010-06,,850.00M,0.00,621.00M,148.00M,,2010-06,AOR,
2010-03,491.00M,,,-276.00M,-431.00M,,,232.00M,232.00M,41.00M,34.00M,,-22.00M,0.00,,,,,,727.00M,727.00M,1.072B,,2010-03,-427.00M,,-427.00M,,,98.00M,-318.00M,,2010-03,-1.00M,-530.00M,-531.00M,,,,-80.00M,-80.00M,-173.00M,-8.00M,-792.00M,,2010-03,-38.00M,,312.00M,,2010-03,,344.00M,-80.00M,24.00M,79.00M,,2010-03,AOR,Restated
2009-12,349.00M,,,-20.00M,599.00M,-722.00M,,116.00M,116.00M,117.00M,,,-757.00M,,,,,,,,-31.00M,514.00M,,2009-12,-562.00M,,-562.00M,,,260.00M,-373.00M,,2009-12,-78.00M,323.00M,245.00M,,,,0.00,0.00,-168.00M,2.00M,79.00M,,2009-12,220.00M,,350.00M,,2009-12,,26.00M,0.00,304.00M,156.00M,,2009-12,AOR,Restated
2009-09,488.00M,,,-17.00M,-694.00M,255.00M,,255.00M,255.00M,70.00M,,,488.00M,,,,,,,,-55.00M,552.00M,,2009-09,-416.00M,,-416.00M,,,105.00M,-209.00M,,2009-09,-311.00M,-126.00M,-437.00M,,,,0.00,0.00,-169.00M,0.00,-606.00M,,2009-09,-263.00M,,130.00M,,2009-09,,224.00M,0.00,447.00M,90.00M,,2009-09,AOR,Restated
2009-06,311.00M,,,-128.00M,-346.00M,260.00M,-29.00M,231.00M,231.00M,120.00M,,,-296.00M,,,,,,,,-620.00M,-600.00M,,2009-06,-414.00M,,-414.00M,,,366.00M,-45.00M,,2009-06,-357.00M,333.00M,-24.00M,,,,0.00,0.00,-168.00M,-2.00M,-194.00M,,2009-06,-839.00M,,393.00M,,2009-06,,0.00,0.00,604.00M,178.00M,,2009-06,AOR,Restated
2009-03,444.00M,,,-281.00M,-251.00M,207.00M,29.00M,236.00M,236.00M,19.00M,,,14.00M,,,,,,,,927.00M,1.389B,,2009-03,-402.00M,,-402.00M,,,236.00M,-165.00M,,2009-03,-124.00M,-19.00M,-143.00M,,,,0.00,0.00,-168.00M,-2.00M,-313.00M,,2009-03,911.00M,,1.232B,,2009-03,,209.00M,0.00,9.00M,76.00M,,2009-03,AOR,Restated
2008-12,234.00M,-10.00M,32.00M,-17.00M,-287.00M,,,194.00M,194.00M,70.00M,26.00M,,440.00M,,,,,,,,76.00M,753.00M,,2008-12,-534.00M,,-534.00M,,925.00M,16.00M,-316.00M,,2008-12,-93.00M,-162.00M,-255.00M,,0.00,0.00,,,-163.00M,73.00M,-345.00M,,2008-12,92.00M,,321.00M,,2008-12,,259.00M,0.00,87.00M,182.00M,,2008-12,,Restated
2008-09,656.00M,0.00,5.00M,-92.00M,-83.00M,-387.00M,-48.00M,164.00M,164.00M,-89.00M,75.00M,,-337.00M,,,,,,,,583.00M,969.00M,,2008-09,-498.00M,,-498.00M,,0.00,-34.00M,243.00M,,2008-09,-61.00M,-738.00M,-799.00M,,-92.00M,-92.00M,,,-164.00M,-11.00M,-1.066B,,2008-09,146.00M,-1.00M,229.00M,,2008-09,,-738.00M,-92.00M,411.00M,96.00M,,2008-09,,Restated
2008-06,-150.00M,-1.00M,-16.00M,-6.00M,-37.00M,194.00M,24.00M,218.00M,218.00M,87.00M,,,447.00M,,,,,,,,-985.00M,-420.00M,,2008-06,-416.00M,,-416.00M,,,-13.00M,-441.00M,,2008-06,99.00M,791.00M,890.00M,,,,,,-164.00M,-33.00M,693.00M,,2008-06,-168.00M,1.00M,84.00M,,2008-06,,1.191B,,321.00M,190.00M,,2008-06,,Restated
2008-03,448.00M,,-21.00M,-24.00M,-46.00M,193.00M,24.00M,217.00M,217.00M,3.00M,,,21.00M,,,,,,,,400.00M,1.043B,,2008-03,-323.00M,,-323.00M,,,64.00M,-261.00M,,2008-03,-766.00M,63.00M,-703.00M,,,,,,-164.00M,-44.00M,-911.00M,,2008-03,-129.00M,,251.00M,,2008-03,,363.00M,,133.00M,89.00M,,2008-03,,Restated
2007-12,225.00M,,,,-259.00M,,,,218.00M,74.00M,,,26.00M,,,,,,,143.00M,143.00M,379.00M,,2007-12,-375.00M,0.00,-375.00M,,,,588.00M,,2007-12,,,-850.00M,1.00M,,1.00M,,,,11.00M,-987.00M,,2007-12,-20.00M,-1.00M,381.00M,,2007-12,1.00M,,,218.00M,237.00M,,2007-12,,
2007-09,506.00M,,,,-102.00M,,,,239.00M,-79.00M,,,213.00M,,,,,,,-34.00M,-34.00M,743.00M,,2007-09,-314.00M,3.00M,-311.00M,,,,-328.00M,,2007-09,,,-32.00M,14.00M,,14.00M,,,,2.00M,-165.00M,,2007-09,250.00M,1.00M,421.00M,,2007-09,14.00M,,,240.00M,122.00M,,2007-09,,
2007-06,275.00M,,,,6.00M,,,,219.00M,137.00M,,,-71.00M,,,,,,,-718.00M,-718.00M,-152.00M,,2007-06,-384.00M,40.00M,-344.00M,,,,-28.00M,,2007-06,,,-5.00M,35.00M,,35.00M,,,,9.00M,-109.00M,,2007-06,-289.00M,,170.00M,,2007-06,35.00M,,,135.00M,230.00M,,2007-06,,
2007-03,329.00M,,,,-90.00M,,,,221.00M,-13.00M,,,61.00M,,,,,,,440.00M,440.00M,948.00M,,2007-03,-275.00M,,-275.00M,,,,-233.00M,,2007-03,,,-271.00M,33.00M,,33.00M,,,,5.00M,-381.00M,,2007-03,334.00M,,440.00M,,2007-03,33.00M,,,85.00M,126.00M,,2007-03,,
2006-12,-47.00M,,,,144.00M,,,,229.00M,-84.00M,,,191.00M,,,,,,,73.00M,73.00M,487.00M,,2006-12,-267.00M,2.00M,-265.00M,,,,-190.00M,,2006-12,,,-129.00M,27.00M,,27.00M,,,,-203.00M,-449.00M,,2006-12,-152.00M,1.00M,141.00M,,2006-12,27.00M,,,74.00M,263.00M,,2006-12,,
2006-09,374.00M,,,,-173.00M,,,,259.00M,6.00M,,,-114.00M,,,,,,,66.00M,66.00M,646.00M,,2006-09,-275.00M,3.00M,-272.00M,,,-181.00M,-282.00M,,2006-09,,,-71.00M,22.00M,,22.00M,,,,-5.00M,-198.00M,,2006-09,166.00M,0.00,292.00M,,2006-09,22.00M,,,116.00M,139.00M,,2006-09,,
2006-06,209.00M,,,,154.00M,,,,229.00M,-14.00M,,,-42.00M,,,,,,,-420.00M,-420.00M,-112.00M,,2006-06,-233.00M,,-233.00M,,,181.00M,462.00M,,2006-06,,,-309.00M,17.00M,,17.00M,,,,-6.00M,-441.00M,,2006-06,-91.00M,-1.00M,119.00M,,2006-06,17.00M,,,171.00M,237.00M,,2006-06,,
