,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2020-12,12.51B,12.51B,5.532B,6.982B,,3.086B,5.838B,,-309.00M,,,,,8.924B,-1.942B,,,,-51.00M,,-1.993B,99.00M,-2.092B,,-2.00M,-2.094B,-1.868B,-1.942B,,-1.942B,,-0.8277,,-0.7385,-0.8277,,-0.83,,-0.7412,-0.83,,2.530B,2.54B,0.65,,AOR,
2020-09,12.55B,12.55B,3.481B,9.07B,,2.45B,3.39B,,-114.00M,203.00M,9.00M,-194.00M,,5.84B,3.23B,9.00M,203.00M,-194.00M,392.00M,-194.00M,3.428B,483.00M,2.945B,,-4.00M,2.941B,2.738B,4.483B,852.00M,3.631B,,1.16,,1.080,1.16,,1.16,,1.080,1.16,,2.529B,2.538B,0.61,,AOR,
2020-06,10.87B,10.87B,3.159B,7.713B,,2.378B,2.123B,,-83.00M,209.00M,14.00M,-195.00M,,4.501B,3.212B,14.00M,209.00M,-195.00M,502.00M,-195.00M,3.519B,509.00M,3.01B,,-8.00M,3.002B,2.622B,4.776B,1.048B,3.728B,,1.19,,1.040,1.19,,1.18,,1.030,1.18,,2.527B,2.536B,0.61,,AOR,
2020-03,12.06B,12.06B,3.312B,8.745B,,2.555B,2.209B,,-72.00M,212.00M,25.00M,-187.00M,,4.764B,3.981B,25.00M,212.00M,-187.00M,44.00M,-187.00M,3.838B,619.00M,3.219B,,0.00,3.219B,3.281B,4.871B,821.00M,4.05B,,1.27,,1.295,1.27,,1.26,,1.284,1.26,,2.533B,2.547B,0.61,,AOR,
2019-12,11.87B,11.87B,3.669B,8.199B,,2.889B,2.548B,,-194.00M,219.00M,49.00M,-170.00M,,5.437B,2.762B,49.00M,219.00M,-170.00M,199.00M,-170.00M,2.791B,428.00M,2.363B,,-7.00M,2.356B,2.436B,3.946B,936.00M,3.01B,,0.9283,,0.9599,0.9283,,0.92,,0.9514,0.92,,2.544B,2.559B,0.61,,AOR,
2019-09,12.40B,12.40B,3.99B,8.407B,,2.589B,3.204B,,-232.00M,231.00M,61.00M,-170.00M,,5.793B,2.614B,61.00M,231.00M,-170.00M,-97.00M,-170.00M,2.347B,440.00M,1.907B,,-6.00M,1.901B,2.108B,3.423B,845.00M,2.578B,,0.74,,0.8207,0.74,,0.74,,0.8203,0.74,,2.558B,2.572B,0.55,,AOR,Restated
2019-06,11.76B,11.76B,3.401B,8.359B,,2.712B,2.189B,,-59.00M,233.00M,75.00M,-158.00M,,4.901B,3.458B,75.00M,233.00M,-158.00M,-41.00M,-158.00M,3.259B,615.00M,2.644B,,26.00M,2.67B,2.693B,4.465B,973.00M,3.492B,,1.04,,1.049,1.04,,1.03,,1.039,1.03,,2.574B,2.588B,0.55,,AOR,Restated
2019-03,10.82B,10.82B,3.052B,7.764B,,2.425B,1.931B,,-153.00M,209.00M,89.00M,-120.00M,,4.356B,3.408B,89.00M,209.00M,-120.00M,-221.00M,-120.00M,3.067B,205.00M,2.862B,,53.00M,2.915B,3.175B,4.174B,898.00M,3.276B,,1.13,,1.231,1.13,,1.12,,1.220,1.12,,2.585B,2.603B,0.55,,AOR,Restated
2018-12,11.00B,11.00B,3.289B,7.709B,,2.643B,2.214B,,-138.00M,203.00M,86.00M,-117.00M,,4.857B,2.852B,86.00M,203.00M,-117.00M,-131.00M,-117.00M,2.604B,826.00M,1.778B,,49.00M,1.827B,1.974B,3.805B,998.00M,2.807B,,0.7047,,0.7611,0.7047,,0.69,,0.7460,0.69,,2.616B,2.634B,0.55,,AOR,Restated
2018-09,10.79B,10.79B,3.619B,7.175B,,2.443B,2.068B,,-171.00M,190.00M,92.00M,-98.00M,,4.511B,2.664B,92.00M,190.00M,-98.00M,99.00M,-98.00M,2.665B,707.00M,1.958B,,-8.00M,1.95B,1.961B,3.949B,1.094B,2.855B,,0.73,,0.7341,0.73,,0.73,,0.7341,0.73,,2.662B,2.678B,0.48,,AOR,Restated
2018-06,10.46B,10.46B,3.417B,7.048B,,2.508B,2.274B,,-228.00M,194.00M,81.00M,-113.00M,,4.782B,2.266B,81.00M,194.00M,-113.00M,-67.00M,-113.00M,2.086B,370.00M,1.716B,,-9.00M,1.707B,1.827B,3.57B,1.29B,2.28B,,0.64,,0.6847,0.64,,0.63,,0.6745,0.63,,2.683B,2.696B,0.48,,AOR,Restated
2018-03,10.04B,10.04B,3.184B,6.853B,,2.508B,3.196B,,-95.00M,185.00M,85.00M,-100.00M,,5.704B,1.149B,85.00M,185.00M,-100.00M,296.00M,-100.00M,1.345B,604.00M,741.00M,,-5.00M,736.00M,792.21M,2.667B,1.137B,1.53B,,0.27,,0.2909,0.27,,0.27,,0.2907,0.27,,2.695B,2.71B,0.48,,AOR,Restated
2017-12,10.43B,10.43B,3.44B,6.993B,,2.642B,2.315B,,-306.00M,190.00M,101.00M,-89.00M,,4.957B,2.036B,101.00M,190.00M,-89.00M,-68.00M,-89.00M,1.879B,2.917B,-1.038B,,-8.00M,-1.046B,-1.083B,3.236B,1.167B,2.069B,,-0.3234,,-0.3371,-0.3234,,-0.3234,,-0.3370,-0.3234,,2.715B,2.73B,0.48,,AOR,Restated
2017-09,10.32B,10.32B,3.307B,7.018B,2.459B,2.459B,4.413B,,-153.00M,189.00M,90.00M,-99.00M,,6.872B,146.00M,90.00M,189.00M,-99.00M,153.00M,-99.00M,200.00M,251.00M,-51.00M,,-5.00M,-56.00M,32.20M,1.543B,1.154B,389.00M,,-0.02,,0.0123,-0.02,,-0.02,,0.0123,-0.02,,2.727B,2.727B,0.47,,AOR,Restated
2017-06,9.93B,9.93B,3.116B,6.814B,2.50B,2.50B,1.782B,,-166.00M,193.00M,96.00M,-97.00M,,4.282B,2.532B,96.00M,193.00M,-97.00M,4.00M,-97.00M,2.439B,488.00M,1.951B,,-5.00M,1.946B,2.094B,3.794B,1.162B,2.632B,,0.71,,0.7643,0.71,,0.71,,0.7638,0.71,,2.724B,2.752B,0.47,,AOR,Restated
2017-03,9.434B,9.434B,3.049B,6.385B,2.472B,2.472B,1.83B,,-151.00M,182.00M,97.00M,-85.00M,,4.302B,2.083B,97.00M,182.00M,-85.00M,5.00M,-85.00M,2.003B,447.00M,1.556B,,-5.00M,1.551B,1.662B,3.378B,1.193B,2.185B,,0.56,,0.6005,0.56,,0.56,,0.6002,0.56,,2.745B,2.766B,0.47,,AOR,Restated
2016-12,10.12B,10.12B,3.471B,6.644B,,2.848B,4.786B,,-265.00M,180.00M,84.00M,-96.00M,,7.634B,-990.00M,84.00M,180.00M,-96.00M,-270.00M,-96.00M,-1.356B,-769.00M,-587.00M,,-8.00M,-595.00M,-404.80M,9.00M,1.185B,-1.176B,,0.4282,,0.4972,0.4282,,0.42,,0.4885,0.42,,2.757B,2.775B,0.47,,AOR,Restated
2016-09,10.54B,10.54B,3.409B,7.127B,2.393B,2.393B,1.664B,,-161.00M,170.00M,87.00M,-83.00M,,4.057B,3.07B,87.00M,170.00M,-83.00M,-100.00M,-83.00M,2.887B,699.00M,2.188B,,-4.00M,2.184B,2.308B,4.232B,1.175B,3.057B,,0.79,,0.8350,0.79,,0.78,,0.8246,0.78,,2.765B,2.786B,0.46,,AOR,Restated
2016-06,9.844B,9.844B,3.578B,6.266B,2.458B,2.458B,2.151B,,-134.00M,171.00M,78.00M,-93.00M,,4.609B,1.657B,78.00M,171.00M,-93.00M,-60.00M,-93.00M,1.504B,295.00M,1.209B,,-4.00M,1.205B,1.342B,3.225B,1.55B,1.675B,,0.44,,0.4897,0.44,,0.43,,0.4793,0.43,,2.768B,2.789B,0.46,,AOR,Restated
2016-03,9.312B,9.312B,3.572B,5.74B,2.318B,2.318B,1.659B,,-91.00M,172.00M,79.00M,-93.00M,,3.977B,1.763B,79.00M,172.00M,-93.00M,-46.00M,-93.00M,1.624B,494.00M,1.13B,,-5.00M,1.125B,1.215B,3.357B,1.561B,1.796B,,0.41,,0.4424,0.41,,0.40,,0.4321,0.40,,2.774B,2.795B,0.46,,AOR,Restated
2015-12,10.22B,10.22B,3.85B,6.365B,2.615B,2.615B,1.798B,,-233.00M,169.00M,75.00M,-94.00M,,4.413B,1.952B,75.00M,169.00M,-94.00M,-1.042B,-94.00M,816.00M,-166.00M,982.00M,,-5.00M,977.00M,1.260B,2.545B,1.56B,985.00M,,0.3509,,0.4525,0.3509,,0.35,,0.4506,0.35,,2.789B,2.814B,0.46,,AOR,Restated
