,OperatingRevenue,ExciseTaxes,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,,SharesData(Quarterly),AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2004-07,481.00M,82.00M,399.00M,146.00M,253.00M,62.00M,96.00M,158.00M,,,,,,-1.00M,157.00M,96.00M,,,,,,91.00M,31.00M,60.00M,-9.00M,51.00M,60.00M,110.00M,14.00M,96.00M,0.1045,-0.0149,,0.1045,0.0896,0.1045,-0.0149,,,2004-07,570.44M,573.82M,0.0453,,2004-07,,
2004-04,68.20M,91.10M,-22.90M,-78.80M,55.90M,7.00M,-9.50M,-2.50M,,4.80M,,,,-4.80M,-7.30M,63.20M,,,,4.80M,,58.20M,16.10M,42.10M,,54.10M,38.63M,63.50M,0.30M,63.20M,0.0747,0.00,,0.0686,0.0747,0.0747,0.00,,,2004-04,572.56M,573.42M,0.0453,,2004-04,,
2004-01,695.70M,103.10M,592.60M,249.00M,343.60M,87.50M,131.70M,219.20M,,2.50M,,,,-2.50M,216.70M,126.90M,,,,2.50M,,122.00M,41.50M,80.50M,,80.50M,78.85M,141.20M,14.30M,126.90M,0.1408,0.00,,0.1379,0.1408,0.1408,0.00,,,2004-01,571.73M,571.73M,0.0453,,2004-01,,
2003-10,724.50M,98.10M,626.40M,262.30M,364.10M,95.00M,131.70M,226.70M,,1.40M,,,,-1.40M,225.30M,138.80M,,,,1.40M,,133.70M,45.50M,88.20M,,88.20M,87.28M,153.10M,14.30M,138.80M,0.1557,0.00,,0.1541,0.1557,0.1536,0.00,,,2003-10,566.35M,574.22M,0.04,,2003-10,,
2003-07,531.70M,71.80M,459.90M,188.50M,271.40M,77.60M,127.40M,205.00M,,-14.30M,,,,14.30M,219.30M,52.10M,,,,-14.30M,,47.10M,16.00M,31.10M,,31.10M,40.54M,65.20M,13.10M,52.10M,0.0555,0.00,,0.0723,0.0555,0.0555,0.00,,,2003-07,560.70M,560.70M,0.04,,2003-07,,
2003-04,569.30M,92.00M,477.30M,192.00M,285.30M,68.20M,133.60M,201.80M,,1.10M,,,,-1.10M,200.70M,84.60M,,,,1.10M,,82.20M,27.30M,54.90M,,54.90M,54.17M,98.10M,13.50M,84.60M,0.0608,0.00,,0.0599,0.0608,0.0608,,,,2003-04,822.46M,822.46M,0.04,,2003-04,,
2003-01,635.60M,86.10M,549.50M,241.00M,308.50M,88.10M,119.80M,207.90M,,6.20M,,,,-6.20M,201.70M,106.80M,,,,6.20M,,106.00M,36.00M,70.00M,,70.00M,65.91M,120.60M,13.80M,106.80M,0.1088,0.00,,0.1024,0.1088,0.1088,0.00,,,2003-01,643.38M,643.38M,0.04,,2003-01,,
2002-10,691.60M,84.50M,607.10M,268.30M,338.80M,86.40M,127.90M,214.30M,,,,,,,214.30M,124.50M,,,,,,123.80M,42.70M,81.10M,,81.10M,81.10M,138.40M,13.90M,124.50M,0.1259,0.00,,0.1259,0.1259,0.1259,0.00,,,2002-10,644.33M,644.33M,0.0373,,2002-10,,
2002-07,479.60M,55.50M,424.10M,176.70M,247.40M,78.40M,112.90M,191.30M,,,,,,,191.30M,56.10M,,,,,,55.10M,19.00M,36.10M,,36.10M,36.10M,69.90M,13.80M,56.10M,0.0565,0.00,,0.0565,0.0565,0.0565,0.00,,,2002-07,638.56M,638.56M,0.0373,,2002-07,,
2002-04,339.90M,63.40M,276.50M,190.50M,86.00M,66.60M,122.70M,189.30M,,-3.90M,,,,3.90M,193.20M,-107.20M,,,,-3.90M,,78.40M,27.00M,51.40M,,51.40M,53.96M,-92.60M,14.60M,-107.20M,0.0806,,,0.0846,0.0806,0.0802,,,,2002-04,641.72M,641.72M,0.0373,,2002-04,,
2002-01,575.10M,66.60M,508.50M,226.40M,282.10M,76.60M,118.90M,195.50M,,1.70M,,,,-1.70M,193.80M,88.30M,,,,1.70M,,87.50M,30.20M,57.30M,,57.30M,56.19M,102.10M,13.80M,88.30M,0.0896,0.00,,0.0879,0.0896,0.0896,0.00,,,2002-01,639.51M,639.51M,0.0373,,2002-01,,
2001-10,644.10M,68.30M,575.80M,246.10M,329.70M,83.80M,121.90M,205.70M,,,,,,,205.70M,124.00M,,,,,,122.20M,42.10M,80.10M,,80.10M,80.10M,137.30M,13.30M,124.00M,0.1248,0.00,,0.1248,0.1248,0.1248,0.00,,,2001-10,641.83M,641.83M,0.0352,,2001-10,,
2001-07,473.90M,51.70M,422.20M,173.80M,248.40M,71.70M,115.40M,187.10M,,,,,,,187.10M,61.30M,,,,,,59.80M,20.60M,39.20M,,39.20M,39.20M,74.60M,13.30M,61.30M,0.0608,0.00,,0.0608,0.0608,0.0608,0.00,,,2001-07,644.74M,644.74M,0.0352,,2001-07,,
2001-04,444.10M,,444.10M,171.90M,272.20M,,,181.10M,,,,,,,132.60M,139.60M,,,,,,84.70M,30.60M,54.10M,,54.10M,54.10M,155.10M,15.50M,139.60M,0.0843,0.00,,0.0843,0.0843,0.0843,,,,2001-04,640.95M,641.81M,0.0352,,2001-04,,
2001-01,495.30M,,495.30M,188.90M,306.40M,,,199.50M,,,,,,,215.60M,90.80M,,,,,,88.50M,32.20M,56.30M,,56.30M,56.30M,106.90M,16.10M,90.80M,0.0875,0.00,,0.0875,0.0875,0.0875,0.00,,,2001-01,643.67M,643.67M,0.0352,,2001-01,,
2000-10,574.10M,,574.10M,217.60M,356.50M,,,211.20M,,,,,,,227.70M,128.80M,,,,,,125.90M,45.80M,80.10M,,80.10M,80.10M,145.30M,16.50M,128.80M,0.1248,0.00,,0.1248,0.1248,0.1248,0.00,,,2000-10,641.83M,641.83M,0.0331,,2000-10,,
2000-07,410.40M,,410.40M,139.50M,270.90M,,,187.10M,,,,,,,203.00M,67.90M,,,,,,67.00M,24.40M,42.60M,,42.60M,42.60M,83.80M,15.90M,67.90M,0.0661,0.00,,0.0661,0.0661,0.0661,0.00,,,2000-07,644.15M,644.15M,0.0331,,2000-07,,
2000-04,430.20M,,430.20M,149.20M,281.00M,,,181.60M,,,,,,,198.80M,82.20M,,,,,,81.40M,29.50M,51.90M,,51.90M,51.90M,99.40M,17.20M,82.20M,0.0811,0.00,,0.0811,0.0811,0.0811,0.00,,,2000-04,638.35M,643.38M,0.0331,,2000-04,,
2000-01,495.20M,,495.20M,196.10M,299.10M,,,197.50M,,,,,,,212.00M,87.10M,,,,,,86.30M,31.50M,54.80M,,54.80M,54.80M,101.60M,14.50M,87.10M,0.0853,0.00,,0.0853,0.0853,0.0853,0.00,,,2000-01,642.19M,643.04M,0.0331,,2000-01,,
1999-10,567.20M,,567.20M,229.80M,337.40M,,,206.00M,,,,,,,220.90M,116.50M,,,,,,114.80M,41.90M,72.90M,,72.90M,72.90M,131.40M,14.90M,116.50M,0.1131,0.00,,0.1131,0.1131,0.1131,0.00,,,1999-10,642.28M,642.97M,0.0315,,1999-10,,
1999-07,384.50M,,384.50M,137.10M,247.40M,,,169.80M,,,,,,,185.20M,62.20M,,,,,,60.50M,22.10M,38.40M,,38.40M,38.40M,77.60M,15.40M,62.20M,0.0597,0.00,,0.0597,0.0597,0.0597,0.00,,,1999-07,642.26M,643.12M,0.0315,,1999-07,,
1999-04,421.50M,,421.50M,157.30M,264.20M,,,174.40M,,1.80M,,,,,188.40M,75.80M,,,,1.80M,,75.80M,27.60M,48.20M,,48.20M,47.06M,89.80M,14.00M,75.80M,0.0747,0.00,,0.0729,0.0747,0.0747,0.00,,,1999-04,642.22M,643.61M,0.0315,,1999-04,,
1999-01,459.30M,,459.30M,181.20M,278.10M,,,186.50M,,1.70M,,,,,199.60M,78.50M,,,,1.70M,,77.70M,28.40M,49.30M,,49.30M,48.22M,91.60M,13.10M,78.50M,0.0768,0.00,,0.0751,0.0768,0.0768,0.00,,,1999-01,642.75M,643.85M,0.0315,,1999-01,,
1998-10,505.10M,,505.10M,194.50M,310.60M,,,189.00M,,1.50M,,,,,203.00M,107.60M,,,,1.50M,,105.90M,38.60M,67.30M,,67.30M,66.35M,121.60M,14.00M,107.60M,0.1035,0.00,,0.1020,0.1035,0.1035,0.00,,,1998-10,643.72M,644.39M,0.0299,,1998-10,,
1998-07,390.10M,,390.10M,143.00M,247.10M,,,173.10M,,1.00M,,,,,187.00M,60.10M,,,,1.00M,,58.60M,21.40M,37.20M,,37.20M,36.57M,74.00M,13.90M,60.10M,0.0576,0.00,,0.0566,0.0576,0.0576,0.00,,,1998-07,643.93M,644.53M,0.0299,,1998-07,,
