,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,Liabilities(Quarterly),AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,MinimumPensionLiabilities,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,SECFilingLinks,AsOriginallyReported,Restated
2012-06,4.221B,,4.221B,7.475B,,7.475B,1.222B,887.00M,2.432B,,4.117B,269.00M,562.00M,16.64B,,,,,,,,4.735B,11.84B,2.325B,14.16B,566.00M,,2.164B,1.903B,23.53B,2012-06,4.547B,,4.547B,6.632B,11.18B,,948.00M,685.00M,1.633B,,1.633B,,,,12.81B,,6.342B,,6.342B,681.00M,,90.00M,,6.891B,15.28B,28.09B,958.00M,17.22B,4.201B,8.751B,,,,-1.637B,11.99B,,2012-06,AOR,Restated
2012-03,3.988B,,3.988B,6.723B,545.00M,7.268B,1.215B,990.00M,2.362B,,4.368B,428.00M,501.00M,16.55B,,,,,,,,4.814B,11.91B,2.42B,14.33B,533.00M,,2.061B,2.079B,23.82B,2012-03,4.535B,,4.535B,6.499B,11.03B,,948.00M,684.00M,1.632B,,1.632B,,,,12.67B,,6.269B,,6.269B,707.00M,,99.00M,,7.486B,15.86B,28.53B,958.00M,16.61B,4.156B,8.802B,,,,-1.182B,11.74B,,2012-03,AOR,Restated
2011-12,3.698B,,3.698B,6.926B,555.00M,7.228B,1.222B,958.00M,2.253B,,4.264B,460.00M,484.00M,16.13B,0.00,376.00M,2.897B,9.937B,513.00M,13.72B,-8.919B,4.804B,11.86B,2.477B,14.34B,362.00M,841.00M,2.132B,1.20B,23.67B,2011-12,4.738B,551.00M,5.289B,1.936B,7.225B,670.00M,599.00M,75.00M,674.00M,,674.00M,1.914B,1.914B,237.00M,12.28B,494.00M,6.881B,,6.881B,676.00M,77.00M,96.00M,0.00,1.922B,16.63B,28.91B,958.00M,16.08B,4.157B,8.948B,,,,-1.444B,10.81B,,2011-12,AOR,Restated
2011-09,3.885B,,3.885B,7.316B,,7.316B,1.311B,918.00M,2.306B,,4.369B,867.00M,607.00M,17.04B,,,,,,,,4.725B,11.64B,2.376B,14.02B,465.00M,,1.056B,2.134B,22.40B,2011-09,4.57B,,4.57B,7.014B,11.58B,,700.00M,575.00M,1.275B,,1.275B,,,,12.86B,,6.88B,,6.88B,505.00M,,105.00M,,6.048B,14.82B,27.68B,958.00M,16.69B,4.113B,8.973B,,,,-1.122B,11.66B,,2011-09,AOR,Restated
2011-06,3.548B,,3.548B,,,7.344B,1.225B,861.00M,2.276B,,4.197B,926.00M,545.00M,17.39B,,,,,,,,4.718B,11.49B,2.347B,13.84B,516.00M,,1.115B,2.076B,22.26B,2011-06,4.442B,,4.442B,6.555B,11.00B,,350.00M,582.00M,932.00M,,932.00M,,,182.00M,12.11B,,6.79B,,6.79B,661.00M,,112.00M,,6.493B,15.36B,27.47B,958.00M,16.08B,4.089B,8.524B,,,,-536.00M,12.07B,,2011-06,AOR,Restated
2011-03,3.076B,,3.076B,,,7.201B,1.303B,858.00M,2.298B,,4.29B,882.00M,582.00M,16.03B,,,,,,,,4.832B,11.80B,2.456B,14.26B,476.00M,,1.232B,2.07B,22.87B,2011-03,4.308B,,4.308B,6.587B,10.90B,,300.00M,575.00M,875.00M,,875.00M,,,,11.77B,,6.763B,,6.763B,671.00M,,120.00M,,6.427B,15.32B,27.09B,958.00M,15.54B,4.036B,8.155B,,,,-687.00M,11.69B,,2011-03,AOR,Restated
2010-12,2.65B,,2.65B,,,7.068B,1.158B,810.00M,2.144B,,3.958B,877.00M,458.00M,15.01B,0.00,525.00M,2.669B,10.20B,403.00M,13.80B,-8.961B,4.84B,11.60B,2.574B,14.17B,616.00M,,1.218B,1.978B,22.82B,2010-12,4.344B,,4.344B,6.484B,10.83B,,299.00M,590.00M,889.00M,,889.00M,,,,11.72B,,5.755B,,5.755B,636.00M,,121.00M,,7.462B,15.33B,27.05B,958.00M,15.10B,3.977B,8.299B,,,,-1.067B,10.67B,,2010-12,AOR,Restated
2010-09,2.64B,593.00M,3.233B,,,6.916B,1.148B,852.00M,2.184B,,4.027B,987.00M,,15.16B,,,,,,,,4.738B,11.53B,2.711B,14.24B,601.00M,,1.411B,1.966B,22.96B,2010-09,4.059B,,4.059B,6.502B,10.56B,,897.00M,88.00M,985.00M,,985.00M,,,,11.55B,,6.265B,,6.265B,745.00M,,136.00M,,7.603B,16.11B,27.65B,958.00M,18.13B,3.929B,8.405B,,,,-4.282B,10.33B,,2010-09,AOR,Restated
2010-06,2.451B,1.46B,3.911B,,,6.495B,1.037B,807.00M,1.909B,,3.596B,922.00M,,14.92B,,,,,,,,4.535B,10.32B,2.057B,12.37B,544.00M,,1.776B,1.94B,21.17B,2010-06,3.751B,,3.751B,5.708B,9.459B,,1.148B,80.00M,1.228B,,1.228B,,,,10.69B,,6.254B,,6.254B,576.00M,,120.00M,,7.895B,16.28B,26.96B,958.00M,17.87B,3.913B,8.699B,,,,-5.031B,9.008B,,2010-06,AOR,Restated
2010-03,2.851B,706.00M,3.557B,,,6.184B,1.03B,820.00M,1.874B,1.00M,3.568B,1.024B,,14.33B,,,,,,,,4.697B,10.36B,2.114B,12.48B,586.00M,,1.973B,1.961B,21.69B,2010-03,3.553B,,3.553B,6.233B,9.786B,,1.248B,67.00M,1.315B,,1.315B,,,,11.10B,,6.246B,,6.246B,570.00M,,117.00M,,7.458B,15.82B,26.92B,958.00M,17.64B,3.859B,8.922B,,,,-4.543B,8.987B,,2010-03,AOR,Restated
2009-12,2.801B,,2.801B,,,6.274B,988.00M,796.00M,1.823B,,3.446B,1.034B,381.00M,13.94B,0.00,513.00M,2.621B,9.982B,405.00M,13.52B,-8.674B,4.847B,10.49B,2.174B,12.67B,579.00M,,2.006B,1.957B,22.06B,2009-12,3.633B,,3.633B,6.153B,9.786B,,298.00M,1.063B,1.361B,,1.361B,,,,11.15B,,6.246B,,6.246B,542.00M,,110.00M,,7.493B,15.88B,27.02B,958.00M,14.02B,3.823B,8.995B,,,,-948.00M,8.861B,,2009-12,AOR,Restated
2009-09,2.604B,,2.604B,,,6.464B,1.333B,854.00M,1.554B,,3.576B,900.00M,342.00M,13.89B,,,,,,,,4.828B,10.52B,2.265B,12.78B,471.00M,,1.698B,2.105B,21.89B,2009-09,3.201B,,3.201B,5.865B,9.066B,,696.00M,1.272B,1.968B,,1.968B,,,,11.03B,,6.256B,,6.256B,730.00M,,103.00M,,6.604B,15.14B,26.18B,958.00M,17.02B,3.802B,9.038B,,,,-3.251B,9.492B,,2009-09,AOR,Restated
