,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,LoansReceivable,OtherReceivables,TotalReceivables,TotalCurrentAssets,NetPP&E,OtherIntangibleAssets,GoodwillandIntangibles,NetLoanAssets,LongTermInvestments,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,UnpaidLossReserve,UnearnedPremiumonInsuranceContract,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,UnrealizedGainorLoss-Total,MinimumPensionLiabilities,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2001-06,736.00M,,736.00M,297.00M,,,297.00M,1.033B,474.00M,,,,27.07B,33.75B,38.79B,797.00M,2.177B,,2.974B,2.974B,,,,,2.974B,1.356B,,1.356B,27.47B,348.00M,29.17B,33.36B,65.00M,4.239B,320.00M,1.479B,,,,,2.291B,5.436B
2001-03,1.075B,,1.075B,324.00M,,,324.00M,1.399B,463.00M,,,,25.79B,32.37B,37.64B,417.00M,2.199B,,2.616B,2.616B,,,,,2.616B,1.035B,,1.035B,27.60B,360.00M,29.00B,32.42B,65.00M,4.112B,312.00M,1.45B,,,,,2.179B,5.218B
2000-12,609.00M,,609.00M,300.00M,,,300.00M,909.00M,481.00M,,,,26.05B,32.26B,37.23B,127.00M,1.894B,,2.021B,2.021B,,,,,2.021B,1.079B,,1.079B,27.85B,355.00M,29.28B,32.54B,32.00M,3.956B,336.00M,1.298B,,,,,1.668B,4.694B
2000-09,808.00M,,808.00M,313.00M,,,313.00M,1.121B,491.00M,,,,26.24B,32.68B,37.90B,397.00M,1.66B,,2.057B,2.057B,,,,,2.057B,914.00M,,914.00M,29.59B,361.00M,30.87B,33.80B,6.00M,3.812B,329.00M,1.238B,,,184.00M,985.00M,1.169B,4.104B
2000-06,967.00M,,967.00M,286.00M,,,286.00M,1.253B,497.00M,,,,26.76B,33.39B,38.79B,999.00M,1.705B,,2.704B,2.704B,,,,,2.704B,1.097B,,1.097B,29.60B,362.00M,31.06B,34.63B,32.00M,3.672B,324.00M,1.204B,,,,,1.337B,4.161B
2000-03,692.00M,,692.00M,262.00M,,,262.00M,954.00M,492.00M,,,,25.93B,32.44B,37.39B,340.00M,1.727B,,2.067B,2.067B,,,,,2.067B,1.072B,,1.072B,28.88B,360.00M,30.31B,33.32B,32.00M,3.493B,320.00M,1.167B,,,182.00M,1.207B,1.389B,4.067B
1999-12,616.00M,,616.00M,270.00M,,,270.00M,886.00M,509.00M,,,,25.46B,32.09B,37.04B,,1.511B,,1.511B,1.511B,,,,,1.511B,1.018B,,1.018B,29.24B,361.00M,30.62B,33.17B,32.00M,3.356B,310.00M,1.094B,,,,,1.264B,3.868B
1999-09,,,,262.00M,,,262.00M,262.00M,493.00M,,,,,31.16B,35.22B,,,,,,,,,,,1.079B,,1.079B,1.555B,335.00M,2.969B,31.45B,32.00M,3.274B,300.00M,1.062B,,,,,,3.772B
1999-06,,,,239.00M,,,239.00M,239.00M,449.00M,,,,,27.93B,31.60B,,,,,,,,,,,1.028B,,1.028B,1.37B,304.00M,2.702B,27.95B,32.00M,3.151B,252.00M,1.032B,,,,,,3.651B
1999-03,,,,255.00M,,,255.00M,255.00M,450.00M,,,9.00M,,27.78B,31.35B,,,,,,,,,,,573.00M,,573.00M,1.305B,306.00M,2.184B,27.49B,32.00M,3.04B,241.00M,910.00M,,,,,,3.859B
1998-12,374.00M,,374.00M,272.00M,,,272.00M,646.00M,466.00M,,,,21.74B,27.19B,31.22B,,1.865B,,1.865B,1.865B,,,,,1.865B,596.00M,,596.00M,23.72B,309.00M,24.63B,27.45B,32.00M,2.862B,235.00M,910.00M,,,,,1.551B,3.77B
1998-09,,,,236.40M,,,236.40M,236.40M,372.00M,,,7.90M,,25.21B,28.37B,,,,,,,,,,,502.10M,,502.10M,1.092B,270.60M,1.864B,24.80B,31.80M,2.763B,228.20M,914.60M,,,,,,3.571B
1998-06,,,,244.40M,,,244.40M,244.40M,367.30M,,,7.90M,,23.26B,26.31B,,,,,,,,,,,522.60M,,522.60M,1.028B,263.90M,1.814B,22.77B,31.70M,2.673B,222.30M,849.30M,,,,,,3.535B
