,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,RestrictedCash,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2008-06,735.91M,232.49M,968.40M,1.175B,1.175B,154.45M,213.42M,776.54M,,1.144B,360.40M,,,3.648B,,,,,,,5.845B,-3.104B,2.741B,652.05M,597.12M,1.249B,,490.33M,4.481B,8.129B,,1.262B,,1.262B,,1.262B,,,204.35M,204.35M,,,,1.466B,954.86M,954.86M,181.95M,181.95M,,452.34M,1.589B,3.055B,,332.66M,6.626B,1.312B,3.443B,,,,245.62M,5.074B,,,
2008-03,561.00M,200.36M,761.36M,1.168B,1.168B,151.61M,211.83M,783.47M,,1.147B,346.23M,,,3.423B,,,,,,,5.706B,-3.035B,2.670B,632.94M,595.03M,1.228B,,480.25M,4.379B,7.801B,,1.171B,,1.171B,,1.171B,,,208.25M,208.25M,,,,1.379B,959.95M,959.95M,164.33M,164.33M,,438.90M,1.563B,2.942B,,332.66M,6.398B,1.276B,3.369B,,,,221.06M,4.859B,,,
2007-12,750.76M,168.88M,919.64M,1.021B,1.021B,146.39M,203.65M,729.96M,,1.080B,324.68M,,,3.345B,,,,5.468B,,,5.468B,-2.924B,2.544B,621.59M,589.03M,1.211B,,466.85M,4.221B,7.567B,,1.289B,,1.289B,,1.289B,,,208.21M,208.21M,,,,1.497B,957.63M,957.63M,160.22M,160.22M,,427.61M,1.545B,3.042B,,332.66M,6.191B,1.190B,3.237B,,,,48.05M,4.524B,,,
2007-09,511.48M,158.04M,669.52M,1.083B,1.083B,142.48M,195.16M,714.32M,,1.052B,325.93M,,,3.131B,0.00,79.37M,1.678B,3.597B,,,5.354B,-2.857B,2.497B,621.41M,613.46M,1.235B,,466.59M,4.199B,7.329B,,266.99M,,266.99M,481.43M,748.42M,,,207.63M,207.63M,,,522.75M,1.479B,955.71M,955.71M,88.01M,88.01M,,444.87M,1.489B,2.967B,,332.66M,5.996B,1.125B,3.106B,,237.39M,-223.36M,14.03M,4.362B,,,
2007-06,444.16M,132.31M,576.48M,1.034B,1.034B,134.81M,196.84M,691.70M,,1.023B,327.36M,,,2.961B,,,,,,,5.137B,-2.802B,2.335B,618.76M,606.85M,1.226B,,601.15M,4.162B,7.123B,,1.209B,,1.209B,,1.209B,,,205.77M,205.77M,,,,1.415B,953.11M,953.11M,247.95M,247.95M,,279.10M,1.480B,2.895B,,332.66M,5.796B,1.071B,3.078B,,,,107.07M,4.228B,,,
2007-03,409.66M,170.36M,580.01M,974.07M,974.07M,127.73M,194.84M,653.02M,,975.58M,320.93M,,,2.851B,,,,,,,5.008B,-2.741B,2.266B,615.90M,616.60M,1.232B,,602.50M,4.101B,6.952B,,1.138B,,1.138B,,1.138B,,,208.45M,208.45M,,,,1.347B,956.14M,956.14M,244.86M,244.86M,,274.47M,1.475B,2.822B,,332.66M,5.611B,1.015B,2.898B,,,,69.29M,4.129B,,,
2006-12,533.42M,109.93M,643.35M,928.72M,928.72M,123.19M,180.92M,622.49M,,926.60M,326.45M,,,2.825B,,,,,,,4.889B,-2.682B,2.206B,614.59M,642.64M,1.257B,,522.06M,3.985B,6.811B,,,,,,,,,205.87M,205.87M,,,1.266B,1.472B,956.11M,956.11M,243.52M,243.52M,,207.64M,1.407B,2.880B,,332.66M,5.427B,927.46M,2.803B,,,,46.69M,3.931B,,,
2006-09,1.000B,106.39M,1.107B,885.75M,885.75M,121.60M,156.96M,597.18M,,875.74M,317.09M,,,3.185B,0.00,68.88M,1.435B,3.239B,,,4.743B,-2.609B,2.134B,565.15M,525.67M,1.091B,,414.91M,3.639B,6.825B,,243.60M,,243.60M,490.42M,734.03M,,,427.22M,427.22M,,,415.08M,1.576B,956.97M,956.97M,184.53M,184.53M,,270.50M,1.412B,2.988B,,332.66M,5.346B,873.54M,2.698B,,-13.02M,-4.657M,-17.67M,3.836B,,,
2006-06,721.00M,96.92M,817.91M,889.23M,889.23M,111.34M,159.21M,605.83M,,876.39M,240.72M,,,2.824B,,,,,,,4.570B,-2.555B,2.015B,561.60M,543.09M,1.105B,,266.83M,3.387B,6.211B,,1.058B,,1.058B,,1.058B,,,308.97M,308.97M,,,,1.367B,953.97M,953.97M,106.94M,106.94M,,226.91M,1.288B,2.655B,,332.66M,5.225B,814.48M,2.691B,,,,-123.77M,3.556B,,,
2006-03,776.53M,89.75M,866.28M,864.70M,864.70M,107.34M,153.12M,582.24M,,842.71M,232.92M,,,2.807B,,,,,,,4.429B,-2.473B,1.956B,551.23M,553.12M,1.104B,,256.23M,3.316B,6.123B,,981.30M,,981.30M,,981.30M,,,306.00M,306.00M,,,,1.287B,956.54M,956.54M,165.19M,165.19M,,204.88M,1.327B,2.614B,,332.66M,5.071B,772.68M,2.491B,,,,-176.81M,3.509B,,,
2005-12,1.169B,88.38M,1.257B,853.93M,853.93M,106.55M,144.25M,560.61M,,811.40M,223.78M,,,3.146B,,,,,,,4.341B,-2.414B,1.927B,,572.41M,572.41M,,584.41M,3.084B,6.231B,,1.147B,,1.147B,,1.147B,,,405.65M,405.65M,,,,1.552B,958.88M,958.88M,129.04M,129.04M,,185.20M,1.273B,2.825B,,332.66M,4.969B,687.54M,2.385B,,,,-199.67M,3.405B,,,
2005-09,1.043B,86.81M,1.130B,842.81M,842.81M,93.96M,139.77M,542.21M,,775.95M,226.86M,,,2.975B,0.00,69.03M,1.280B,2.956B,,,4.305B,-2.371B,1.934B,470.05M,496.73M,966.78M,,256.98M,3.157B,6.133B,,1.093B,,1.093B,,1.093B,,,206.51M,206.51M,,,,1.299B,1.061B,1.061B,147.70M,147.70M,,340.94M,1.549B,2.849B,,332.66M,4.806B,615.85M,2.297B,,,,-172.92M,3.284B,,,
2005-06,918.39M,77.48M,995.87M,839.23M,839.23M,103.55M,147.07M,546.75M,,797.37M,256.52M,,56.89M,2.946B,,,,,,,4.235B,-2.362B,1.873B,,992.84M,992.84M,,198.62M,3.064B,6.010B,,1.006B,,1.006B,,1.006B,,,244.53M,244.53M,,,11.00M,1.261B,1.066B,1.066B,97.19M,97.19M,,290.99M,1.455B,2.716B,,332.66M,4.701B,583.18M,2.160B,,,,-163.56M,3.294B,,,
2005-03,825.50M,53.39M,878.89M,885.94M,885.94M,101.38M,148.78M,557.07M,,807.23M,260.75M,,60.36M,2.893B,,,,,,,4.239B,-2.345B,1.894B,,761.88M,761.88M,,454.13M,3.110B,6.003B,,985.82M,,985.82M,,985.82M,,,141.05M,141.05M,,,12.09M,1.139B,1.051B,1.051B,93.80M,93.80M,,302.00M,1.447B,2.586B,,332.66M,4.557B,549.73M,1.982B,,,,-39.82M,3.417B,,,
2004-12,822.04M,51.49M,873.53M,818.15M,818.15M,100.33M,142.37M,553.54M,,796.25M,263.99M,,63.71M,2.816B,,,,,,,4.234B,-2.319B,1.915B,,775.18M,775.18M,,467.52M,3.158B,5.973B,,1.045B,,1.045B,,1.045B,,,108.26M,108.26M,,,11.73M,1.165B,1.061B,1.061B,91.43M,91.43M,,312.97M,1.466B,2.631B,,332.66M,4.414B,491.53M,1.883B,,,,-12.71M,3.342B,,,
2004-09,719.38M,32.12M,751.50M,807.38M,807.38M,96.02M,132.84M,509.92M,,738.78M,279.98M,,63.69M,2.641B,0.00,62.04M,1.231B,2.812B,,,4.104B,-2.223B,1.881B,,755.22M,755.22M,,475.03M,3.111B,5.753B,,206.94M,,206.94M,384.94M,591.88M,,,49.29M,49.29M,,,408.92M,1.050B,1.172B,1.172B,88.91M,88.91M,,374.22M,1.635B,2.685B,,363.80M,4.265B,414.52M,1.817B,31.14M,,,-158.48M,3.068B,,,
2004-06,659.51M,,659.51M,806.67M,806.67M,124.96M,137.78M,505.28M,,768.02M,276.26M,,,2.510B,,,,,,,4.053B,-2.208B,1.846B,,876.37M,876.37M,,485.93M,3.208B,5.718B,,1.000B,,1.000B,,1.000B,,,6.063M,6.063M,,,,1.006B,1.149B,1.149B,126.66M,126.66M,,358.22M,1.634B,2.640B,,364.40M,4.235B,402.42M,1.721B,31.74M,,,-202.48M,3.078B,,,
2004-03,660.47M,,660.47M,801.01M,801.01M,124.39M,151.09M,494.16M,,769.65M,253.20M,,,2.484B,,,,,,,4.038B,-2.184B,1.854B,,652.04M,652.04M,,724.31M,3.231B,5.715B,,884.67M,,884.67M,,884.67M,,,6.782M,6.782M,,,,891.46M,1.183B,1.183B,124.44M,124.44M,,355.51M,1.663B,2.555B,,365.12M,4.164B,373.85M,1.557B,32.46M,,,-185.68M,3.160B,,,
2003-12,534.64M,,534.64M,818.86M,818.86M,131.32M,143.93M,515.40M,,790.65M,223.19M,,,2.367B,,,,,,,3.984B,-2.134B,1.850B,,653.77M,653.77M,,737.37M,3.242B,5.609B,,930.31M,,930.31M,,930.31M,,,10.50M,10.50M,,,,940.82M,1.165B,1.165B,121.00M,121.00M,,337.16M,1.623B,2.564B,,366.25M,4.037B,304.25M,1.490B,33.59M,,,-173.05M,3.045B,,,
2003-09,519.89M,,519.89M,772.07M,772.07M,108.81M,147.69M,519.72M,,776.22M,239.98M,,195.30M,2.503B,0.00,62.44M,1.196B,2.622B,,,3.881B,-2.049B,1.832B,,741.63M,741.63M,,495.37M,3.069B,5.572B,,221.46M,,221.46M,362.86M,584.32M,,,121.92M,121.92M,,,337.13M,1.043B,1.184B,1.184B,119.09M,119.09M,,328.81M,1.632B,2.675B,,367.11M,3.951B,257.18M,1.440B,34.45M,,,-237.99M,2.897B,,,
2003-06,455.22M,,455.22M,825.16M,825.16M,130.47M,152.51M,528.21M,,811.20M,264.99M,,,2.357B,,,,,,,3.846B,-2.031B,1.815B,,648.35M,648.35M,,737.93M,3.202B,5.558B,,849.01M,,849.01M,,849.01M,,,163.63M,163.63M,,,,1.013B,1.218B,1.218B,112.81M,112.81M,,316.60M,1.647B,2.660B,,367.80M,3.822B,252.75M,1.299B,35.14M,,,-245.54M,2.898B,,,
2003-03,285.47M,3.543M,289.01M,792.13M,792.13M,132.04M,149.65M,479.49M,,761.18M,245.79M,,,2.088B,,,,,,,3.677B,-1.897B,1.781B,,901.10M,901.10M,,477.03M,3.159B,5.247B,,829.02M,,829.02M,,829.02M,,,485.23M,485.23M,,,,1.314B,806.28M,806.28M,110.25M,110.25M,,311.32M,1.228B,2.542B,,368.97M,3.718B,206.26M,1.225B,36.31M,,,-363.21M,2.705B,,,
2002-12,226.43M,2.868M,229.30M,743.14M,743.14M,135.65M,146.51M,431.86M,,714.03M,238.21M,,,1.925B,,,,,,,3.685B,-1.915B,1.770B,,627.98M,627.98M,,739.23M,3.137B,5.062B,,844.32M,,844.32M,,844.32M,,,430.73M,430.73M,,,,1.275B,804.32M,804.32M,108.83M,108.83M,,301.22M,1.214B,2.489B,,369.76M,3.601B,188.59M,1.190B,37.09M,,,-397.50M,2.572B,,,
2002-09,243.12M,1.85M,244.96M,746.00M,746.00M,137.69M,132.05M,427.96M,,697.70M,240.05M,,,1.929B,0.00,61.76M,1.129B,2.430B,,,3.621B,-1.856B,1.766B,,902.25M,902.25M,,443.77M,3.112B,5.040B,,224.64M,,224.64M,310.24M,534.88M,,,434.64M,434.64M,,,282.93M,1.252B,802.97M,802.97M,105.46M,105.46M,,391.61M,1.300B,2.552B,,370.61M,3.514B,185.12M,1.138B,37.94M,,,-444.64M,2.488B,,,
2002-06,175.98M,,175.98M,735.46M,735.46M,154.05M,136.47M,433.82M,,724.34M,199.96M,,,1.836B,,,,,,,3.570B,-1.826B,1.744B,,618.70M,618.70M,,725.41M,3.088B,4.923B,,809.26M,,809.26M,,809.26M,,,471.05M,471.05M,,,,1.280B,782.38M,782.38M,93.33M,93.33M,,252.62M,1.128B,2.409B,,371.29M,3.408B,181.35M,1.090B,38.62M,,,-356.29M,2.515B,,,
2002-03,180.13M,1.959M,182.09M,737.39M,737.39M,166.69M,130.59M,399.59M,,696.87M,194.79M,,,1.811B,,,,,,,3.486B,-1.761B,1.725B,,1.144B,1.144B,,165.53M,3.034B,4.845B,,777.31M,,777.31M,,777.31M,,,559.86M,559.86M,,,,1.337B,762.67M,762.67M,88.25M,88.25M,,245.98M,1.097B,2.434B,,372.33M,3.314B,171.45M,1.026B,39.66M,,,-420.38M,2.411B,,,
2001-12,153.54M,1.981M,155.52M,657.33M,657.33M,169.94M,120.65M,413.82M,,704.40M,202.23M,,,1.719B,,,,,,,3.477B,-1.751B,1.726B,460.10M,431.16M,891.26M,,426.67M,3.044B,4.763B,,819.82M,,819.82M,,819.82M,,,489.48M,489.48M,,,,1.309B,766.19M,766.19M,92.77M,92.77M,,240.22M,1.099B,2.408B,,372.69M,3.211B,155.05M,991.60M,40.03M,,,-392.17M,2.355B,,,
2001-09,82.13M,4.571M,86.70M,768.05M,768.05M,160.21M,115.26M,432.28M,,707.74M,200.45M,,,1.763B,0.00,60.75M,1.081B,2.279B,,,3.420B,-1.704B,1.716B,431.45M,469.33M,900.78M,,422.54M,3.039B,4.802B,,205.05M,,205.05M,555.49M,760.54M,,,454.01M,454.01M,50.13M,50.13M,,1.265B,783.00M,783.00M,90.12M,90.12M,,335.73M,1.209B,2.474B,,373.19M,3.137B,148.69M,937.79M,40.53M,,,-392.63M,2.329B,,,
2001-06,71.29M,5.497M,76.79M,735.54M,735.54M,162.54M,120.72M,440.58M,,723.84M,200.81M,,,1.737B,,,,,,,3.330B,-1.671B,1.658B,,910.58M,910.58M,,381.61M,2.951B,4.688B,,716.54M,,716.54M,,716.54M,,,539.36M,539.36M,,,,1.256B,772.70M,772.70M,102.85M,102.85M,,336.15M,1.212B,2.468B,,373.89M,3.064B,137.47M,946.00M,41.22M,,,-409.30M,2.220B,,,
2001-03,79.93M,3.592M,83.52M,722.64M,722.64M,159.34M,119.62M,431.57M,,710.53M,201.34M,,,1.718B,,,,,,,3.272B,-1.649B,1.623B,,937.12M,937.12M,,365.04M,2.925B,4.643B,,687.94M,,687.94M,,687.94M,,,617.31M,617.31M,,,,1.305B,778.14M,778.14M,88.96M,88.96M,,337.24M,1.204B,2.510B,,374.50M,2.965B,130.43M,952.41M,41.84M,,,-383.73M,2.134B,,,
2000-12,79.01M,2.339M,81.35M,738.31M,738.31M,156.82M,108.99M,431.65M,,697.46M,199.19M,,,1.716B,,,,,,,3.224B,-1.621B,1.603B,,938.03M,938.03M,,337.76M,2.879B,4.595B,,703.31M,,703.31M,,703.31M,,,659.18M,659.18M,,,,1.362B,781.01M,781.01M,90.16M,90.16M,,331.48M,1.203B,2.565B,,375.53M,2.871B,96.18M,969.22M,42.86M,,,-343.82M,2.030B,,,
2000-09,49.20M,5.561M,54.76M,,751.72M,,,,,678.68M,,,175.52M,1.661B,,,,,,,3.163B,-1.587B,1.576B,,639.06M,639.06M,,629.30M,2.844B,4.505B,,183.97M,,183.97M,,183.97M,,,637.74M,637.74M,,,531.84M,1.354B,779.57M,779.57M,86.49M,86.49M,,329.50M,1.196B,2.549B,,376.23M,2.836B,75.08M,980.16M,43.57M,,,-351.05M,1.956B,,,
2000-06,76.94M,6.225M,83.16M,,753.23M,,,,,706.56M,,,165.07M,1.708B,,,,,,,3.124B,-1.586B,1.539B,,665.91M,665.91M,,647.99M,2.853B,4.561B,,739.18M,,739.18M,,739.18M,,,701.24M,701.24M,,,,1.440B,787.78M,787.78M,47.06M,47.06M,,330.19M,1.165B,2.605B,,377.06M,2.776B,73.00M,982.70M,44.39M,,,-287.88M,1.955B,,,
2000-03,65.06M,11.31M,76.37M,,768.87M,,,,,685.50M,,,177.48M,1.708B,,,,,,,3.038B,-1.552B,1.487B,,685.50M,685.50M,,650.45M,2.822B,4.531B,,734.91M,,734.91M,,734.91M,,,729.72M,729.72M,,,,1.465B,819.93M,819.93M,44.12M,44.12M,,327.61M,1.192B,2.656B,,377.73M,2.686B,62.21M,988.36M,45.07M,,,-263.19M,1.874B,,,
1999-12,70.90M,0.70M,71.60M,,791.00M,,,,,666.40M,,,173.60M,1.703B,,,,,,,2.969B,-1.526B,1.443B,,1.012B,1.012B,,334.10M,2.789B,4.492B,,743.30M,,743.30M,,743.30M,,,611.30M,611.30M,,,0.10M,1.355B,953.40M,953.40M,41.40M,41.40M,,336.80M,1.332B,2.686B,,378.60M,2.591B,51.90M,993.30M,45.90M,,,-222.70M,1.805B,,,
1999-09,59.90M,4.70M,64.60M,,812.50M,,,,,642.50M,,,164.10M,1.684B,,,,,,,2.933B,-1.502B,1.431B,,1.035B,1.035B,,287.50M,2.753B,4.437B,,209.40M,,209.40M,,209.40M,,,631.30M,631.30M,,,488.60M,1.329B,954.20M,954.20M,40.70M,40.70M,,344.10M,1.339B,2.668B,,379.40M,2.539B,44.60M,997.30M,46.70M,,,-197.00M,1.769B,,,
1999-06,67.00M,,67.00M,,737.00M,,,,,594.00M,,,194.80M,1.593B,,,,,,,2.827B,-1.472B,1.355B,,828.10M,828.10M,,307.70M,2.490B,4.083B,,667.00M,,667.00M,,667.00M,,,592.60M,592.60M,,,-0.10M,1.260B,759.20M,759.20M,60.30M,60.30M,,335.90M,1.155B,2.415B,,47.80M,2.485B,,,47.80M,,,,1.668B,,,
1999-03,73.90M,,73.90M,,754.30M,,,,,599.60M,,,205.80M,1.634B,,,,,,,2.786B,-1.459B,1.327B,,876.70M,876.70M,,295.00M,2.498B,4.132B,,,,,,,,,658.40M,658.40M,,,641.00M,1.299B,760.80M,760.80M,52.20M,52.20M,,335.30M,1.148B,2.448B,,48.20M,2.473B,,,48.20M,,,,1.684B,,,
1998-12,128.60M,,128.60M,,677.70M,,,,,592.20M,,,191.50M,1.59B,,,,,,,2.782B,-1.464B,1.318B,,773.90M,773.90M,,253.40M,2.345B,3.935B,,656.60M,,656.60M,,656.60M,,,465.00M,465.00M,,,,1.122B,761.50M,761.50M,47.90M,47.90M,,337.50M,1.147B,2.268B,,48.60M,2.405B,,,48.60M,,,,1.667B,,,
1998-09,83.30M,,83.30M,,726.60M,,,,,536.80M,,,196.10M,1.543B,,,,,,,2.727B,-1.424B,1.303B,,746.30M,746.30M,,254.20M,2.303B,3.846B,,208.50M,,208.50M,,208.50M,,,385.20M,385.20M,,,498.20M,1.092B,765.20M,765.20M,48.50M,48.50M,,326.60M,1.140B,2.232B,,49.00M,2.351B,,,49.00M,,,,1.614B,,,
1998-06,103.40M,,103.40M,,677.50M,,,,,515.20M,,,193.30M,1.489B,,,,,,,2.669B,-1.400B,1.269B,,730.10M,730.10M,,226.60M,2.226B,3.715B,,631.40M,,631.40M,,631.40M,,,446.90M,446.90M,,,,1.078B,765.90M,765.90M,61.90M,61.90M,,329.20M,1.157B,2.235B,,49.50M,2.298B,,,49.50M,,,,1.480B,,,
1998-03,113.10M,,113.10M,,559.40M,,,,,469.70M,,,171.50M,1.314B,,,,,,,2.613B,-1.355B,1.258B,,389.80M,389.80M,,211.10M,1.859B,3.173B,,520.90M,,520.90M,,520.90M,,,233.80M,233.80M,,,0.10M,754.80M,879.00M,879.00M,51.70M,51.70M,,,930.70M,1.686B,,50.00M,2.326B,,,50.00M,,,,1.487B,,,
1997-12,118.50M,,118.50M,,532.40M,,,,,438.50M,,,191.10M,1.280B,,,,,,,2.584B,-1.330B,1.254B,,356.60M,356.60M,,186.40M,1.797B,3.077B,,569.10M,,569.10M,,569.10M,,,99.30M,99.30M,,,,668.40M,665.00M,665.00M,48.20M,48.20M,,314.10M,1.027B,1.696B,,50.60M,2.255B,,,50.60M,,,,1.382B,,,
1997-09,112.60M,,112.60M,,595.70M,,,,,438.30M,,,166.00M,1.313B,,,,,,,2.550B,-1.299B,1.251B,,331.90M,331.90M,,185.10M,1.768B,3.080B,,128.50M,,128.50M,,128.50M,,,132.40M,132.40M,,,417.30M,678.20M,665.40M,665.40M,44.70M,44.70M,,306.60M,1.017B,1.695B,,51.10M,2.250B,,,51.10M,,,,1.385B,,,
1997-06,121.00M,,121.00M,,580.20M,,,,,444.70M,,,162.10M,1.308B,,,,,,,2.530B,-1.285B,1.244B,,302.50M,302.50M,,183.20M,1.73B,3.038B,,494.20M,,494.20M,,494.20M,,,355.00M,355.00M,,,0.10M,849.30M,472.90M,472.90M,66.50M,66.50M,,307.00M,846.40M,1.696B,,51.60M,2.187B,,,51.60M,,,,1.342B,,,
1997-03,151.30M,,151.30M,,533.10M,,,,,402.80M,,,147.80M,1.235B,,,,,,,2.466B,-1.256B,1.209B,,164.10M,164.10M,,184.90M,1.558B,2.793B,,456.70M,,456.70M,,456.70M,,,201.60M,201.60M,,,0.10M,658.40M,466.40M,466.40M,42.40M,42.40M,,308.20M,817.00M,1.475B,,52.00M,2.164B,,,52.00M,,,,1.318B,,,
1996-12,152.70M,,152.70M,,508.40M,,,,,403.50M,,,159.10M,1.224B,,,,,,,2.483B,-1.249B,1.234B,,168.70M,168.70M,,195.60M,1.598B,2.822B,,514.70M,,514.70M,,514.70M,,,161.50M,161.50M,,,,676.20M,468.20M,468.20M,38.90M,38.90M,,302.80M,809.90M,1.486B,,52.50M,2.159B,,,52.50M,,,,1.336B,,,
1996-09,135.20M,,135.20M,,580.30M,,,,,402.50M,,,158.80M,1.277B,,,,,,,2.462B,-1.218B,1.244B,,175.90M,175.90M,,193.00M,1.613B,2.890B,,128.00M,,128.00M,,128.00M,,,227.40M,227.40M,,,410.70M,766.10M,468.20M,468.20M,35.10M,35.10M,,295.20M,798.50M,1.565B,,52.90M,2.160B,,,52.90M,,,,1.325B,,,
1996-06,187.80M,,187.80M,,555.10M,,,,,400.90M,,,176.70M,1.320B,,,,,,,2.436B,-1.204B,1.232B,,171.80M,171.80M,,185.10M,1.589B,2.910B,,458.80M,,458.80M,,458.80M,,,427.20M,427.20M,,,,886.00M,371.90M,371.90M,45.60M,45.60M,,299.40M,716.90M,1.603B,,53.30M,2.097B,,,53.30M,,,,1.307B,,,
1996-03,156.60M,,156.60M,,552.00M,,,,,394.40M,,,148.20M,1.251B,,,,,,,2.412B,-1.180B,1.232B,,177.60M,177.60M,,201.80M,1.612B,2.863B,,452.20M,,452.20M,,452.20M,,,262.60M,262.60M,,,,714.80M,488.00M,488.00M,38.90M,38.90M,,299.10M,826.00M,1.541B,,53.90M,2.035B,,,53.90M,,,,1.322B,,,
1995-12,199.20M,,199.20M,,527.40M,,,,,410.40M,,,147.30M,1.284B,,,,,,,2.437B,-1.169B,1.268B,,188.00M,188.00M,,200.80M,1.656B,2.941B,,485.10M,,485.10M,,485.10M,,,222.20M,222.20M,,,,707.30M,556.30M,556.30M,35.20M,35.20M,,297.60M,889.10M,1.596B,,54.30M,1.976B,,,54.30M,,,,1.344B,,,
1995-09,198.50M,,198.50M,,573.10M,,,,,408.60M,,,147.30M,1.328B,,,,,,,2.423B,-1.142B,1.281B,,181.50M,181.50M,,209.50M,1.672B,3.000B,,124.20M,,124.20M,,124.20M,,,205.80M,205.80M,,,390.00M,720.00M,557.60M,557.60M,33.80M,33.80M,,289.70M,881.10M,1.601B,,54.70M,1.947B,,,54.70M,,,,1.398B,,,
1995-06,120.70M,,120.70M,,544.60M,,,,,419.30M,,,234.70M,1.319B,,,,,,,2.422B,-1.132B,1.289B,,196.20M,196.20M,,244.10M,1.729B,3.049B,,486.50M,,486.50M,,486.50M,,,233.70M,233.70M,,,,720.20M,565.30M,565.30M,46.30M,46.30M,,301.50M,913.10M,1.633B,,55.10M,1.874B,,,55.10M,,,,1.415B,,,
1995-03,47.60M,,47.60M,,552.20M,,,,,423.70M,,,233.50M,1.257B,,,,,,,2.507B,-1.163B,1.344B,,208.80M,208.80M,,240.60M,1.794B,3.051B,,462.40M,,462.40M,,462.40M,,,232.70M,232.70M,,,0.10M,695.20M,628.80M,628.80M,36.70M,36.70M,,301.10M,966.60M,1.662B,,55.50M,1.822B,,,55.50M,,,,1.389B,,,
1994-12,119.00M,,119.00M,,491.10M,,,,,422.40M,,,203.00M,1.236B,,,,,,,2.456B,-1.116B,1.341B,,211.70M,211.70M,,235.90M,1.788B,3.024B,,464.00M,,464.00M,,464.00M,,,218.70M,218.70M,,,,682.70M,685.50M,685.50M,33.80M,33.80M,,300.30M,1.020B,1.702B,,55.90M,1.771B,,,55.90M,,,,1.322B,,,
1994-09,94.90M,,94.90M,,589.90M,,,,,420.00M,,,221.80M,1.327B,,,,,,,2.480B,-1.104B,1.376B,,217.70M,217.70M,,238.90M,1.833B,3.160B,,118.10M,,118.10M,,118.10M,,,173.20M,173.20M,,,387.00M,678.30M,669.20M,669.20M,32.70M,32.70M,,297.60M,999.50M,1.678B,,56.30M,1.752B,,,56.30M,,,,1.482B,,,
1994-06,51.50M,,51.50M,,525.90M,,,,,447.10M,,,140.30M,1.165B,,,,,,,2.460B,-1.076B,1.385B,,219.10M,219.10M,,290.20M,1.894B,3.059B,,414.20M,,414.20M,,414.20M,,,149.70M,149.70M,,,-0.10M,563.80M,706.60M,706.60M,28.30M,28.30M,,300.10M,1.035B,1.599B,,56.70M,1.680B,,,56.70M,,,,1.460B,,,
1994-03,31.00M,,31.00M,,509.80M,,,,,445.50M,,,94.80M,1.081B,,,,,,,2.372B,-991.50M,1.380B,,208.10M,208.10M,,321.90M,1.910B,2.991B,,380.30M,,380.30M,,380.30M,,,187.10M,187.10M,,,-0.10M,567.30M,704.50M,704.50M,24.00M,24.00M,,298.30M,1.027B,1.594B,,57.80M,1.635B,,,57.80M,,,,1.397B,,,
1993-12,27.70M,,27.70M,,463.30M,,,,,450.70M,,,135.90M,1.078B,,,,,,,2.379B,-991.50M,1.387B,,212.00M,212.00M,,317.70M,1.917B,2.995B,,395.20M,,395.20M,,395.20M,,,183.70M,183.70M,,,,578.90M,702.40M,702.40M,21.00M,21.00M,,295.70M,1.019B,1.598B,,57.80M,1.593B,,,57.80M,,,,1.397B,,,
1993-09,39.10M,,39.10M,,557.80M,,,,,445.90M,,,107.90M,1.151B,,,,,,,2.364B,-960.80M,1.403B,,216.10M,216.10M,,317.70M,1.937B,3.088B,,264.30M,,264.30M,,264.30M,,,206.80M,206.80M,,,165.00M,636.10M,680.60M,680.60M,19.90M,19.90M,,294.10M,994.60M,1.631B,,58.10M,1.581B,,,58.10M,,,,1.457B,,,
1993-06,44.20M,,44.20M,,508.00M,,,,,464.80M,,,119.10M,1.136B,,,,,,,2.321B,-917.50M,1.403B,,207.30M,207.30M,,286.50M,1.897B,3.033B,,382.80M,,382.80M,,382.80M,,,156.60M,156.60M,,,0.10M,539.50M,723.00M,723.00M,205.90M,205.90M,,0.10M,929.00M,1.468B,,58.30M,1.666B,,,58.30M,,,,1.564B,,,
