,NetIncome,Gain/LossonSaleBusiness,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2004-06,110.16M,,,-18.00M,85.57M,85.57M,,,,39.55M,,,,,,64.43M,64.43M,2.127M,283.84M,,-61.66M,,-61.66M,,,-4.541M,-40.36M,-106.57M,,,,-0.715M,29.69M,-175.11M,-145.42M,,-38.79M,,9.344M,-175.58M,,660.47M,1.688M,-2.646M,659.51M,,29.69M,,,-175.11M,,,
2004-03,163.61M,,,0.00,91.11M,91.11M,,,,14.21M,,,,,,-1.724M,-1.724M,7.792M,275.00M,,-63.06M,,-63.06M,,,-0.618M,-19.28M,-82.96M,,,,-3.933M,75.26M,-99.75M,-24.49M,,-76.29M,,39.05M,-65.66M,,534.64M,126.38M,-0.548M,660.47M,,75.26M,,,-99.75M,,,
2003-12,125.40M,,,38.55M,90.32M,90.32M,,,,7.997M,,,,,,-49.08M,-49.08M,,213.18M,,-44.77M,,-44.77M,,,-3.02M,-20.57M,-68.36M,,,,-116.90M,58.75M,-75.14M,-16.40M,,-0.028M,,,-133.33M,,519.89M,11.50M,3.258M,534.64M,,58.75M,,,-75.14M,,,
2003-09,169.23M,,,100.00M,76.13M,76.13M,,,,-24.41M,,,,,,11.40M,67.09M,,392.96M,,-91.04M,,-91.04M,,,-4.399M,-8.755M,-104.19M,,,,-60.03M,5.137M,-144.36M,-139.22M,,-25.31M,,,-224.56M,,455.22M,64.21M,0.457M,519.89M,,5.137M,,,-144.36M,,,
2003-06,130.02M,,,0.00,91.50M,91.50M,,,,1.905M,,,,,,-7.291M,-7.291M,,216.13M,,-59.94M,,-59.94M,,,3.647M,-15.90M,-72.19M,,,,87.80M,55.50M,-99.15M,-43.65M,,-25.81M,,,18.34M,,285.47M,162.28M,7.461M,455.22M,,55.50M,,,-99.15M,,,
2003-03,142.04M,,,0.00,86.05M,86.05M,,,,17.79M,,,,,,-66.67M,-66.67M,,179.21M,,-64.88M,,-64.88M,,,0.676M,-30.58M,-94.78M,,,,53.68M,21.60M,-49.87M,-28.27M,,-52.54M,,,-27.14M,,226.43M,57.30M,1.748M,285.47M,,21.60M,,,-49.87M,,,
2002-12,113.64M,,,-100.00M,82.08M,82.08M,,,,4.715M,,,,,,13.19M,13.19M,,113.62M,,-43.37M,,-43.37M,,,-2.348M,-31.54M,-77.25M,,,,-2.757M,4.383M,-56.62M,-52.24M,,-0.488M,,,-55.48M,,243.12M,-19.11M,2.425M,226.43M,,4.383M,,,-56.62M,,,
2002-09,130.77M,,,22.45M,72.09M,72.09M,,,,-5.189M,,,,,,-34.39M,18.39M,,298.92M,,-92.66M,,-92.66M,,,-7.169M,-15.55M,-115.38M,,,,129.95M,4.089M,-223.96M,-219.87M,,-25.12M,,,-115.05M,,175.98M,68.49M,-1.357M,243.12M,,4.089M,,,-223.96M,,,
2002-06,119.72M,,,1.417M,78.80M,78.80M,,,,1.169M,,,,,,39.15M,39.15M,,240.27M,,-47.88M,-5.233M,-53.12M,,,6.826M,-24.84M,-71.12M,,,,-263.71M,9.846M,103.02M,112.87M,,-25.70M,,,-176.54M,,180.13M,-7.397M,3.251M,175.98M,,9.846M,,,103.02M,,,
2002-03,129.19M,,,5.109M,72.72M,72.72M,,,,8.143M,,,,,,-78.52M,-78.52M,,136.65M,,-65.65M,5.233M,-60.42M,,,-5.343M,-30.69M,-96.46M,,,,70.54M,19.15M,-50.16M,-31.01M,,-51.68M,,,-12.16M,,153.54M,28.03M,-1.451M,180.13M,,19.15M,,,-50.16M,,,
2001-12,99.67M,,,-100.00M,72.96M,72.96M,,,,9.103M,,,,,,73.75M,73.75M,,155.48M,,-49.50M,,-49.50M,,,5.343M,-30.20M,-74.36M,,,,38.74M,4.983M,-52.86M,-47.87M,,0.049M,,,-9.081M,,82.13M,72.04M,-0.629M,153.54M,,4.983M,,,-52.86M,,,
2001-09,98.37M,,,-2.594M,73.26M,73.26M,,,,,,,,,,50.56M,33.08M,,254.14M,,-104.87M,,-104.87M,,0.00,-11.06M,-29.34M,-145.26M,,,,-86.54M,13.55M,,13.55M,,-25.36M,,,-98.35M,,71.29M,10.54M,0.301M,82.13M,,13.55M,,,,,,
2001-06,124.30M,,,8.815M,77.38M,77.38M,,,,,,,,,,-1.97M,-1.97M,,208.52M,,-85.80M,,-85.80M,,0.00,-3.872M,-31.10M,-120.78M,,,,-78.68M,8.659M,,8.659M,,-25.86M,,,-95.88M,,79.93M,-8.129M,-0.506M,71.29M,,8.659M,,,,,,
2001-03,118.36M,,,17.57M,79.74M,79.74M,,,,,,,,,,5.121M,5.121M,,220.79M,,-102.88M,,-102.88M,,-28.38M,-2.365M,-32.93M,-166.55M,,,,-41.30M,39.31M,,39.31M,,-49.46M,,,-51.46M,,79.01M,2.788M,-1.874M,79.93M,,39.31M,,,,,,
2000-12,60.62M,,,12.96M,75.32M,75.32M,,,,,,,,,,-53.71M,-53.71M,,95.19M,,-77.21M,,-77.21M,,-2.575M,-0.544M,-29.02M,-109.35M,,,,23.81M,21.41M,,21.41M,,-0.652M,,,44.56M,,49.20M,30.40M,-0.583M,79.01M,,21.41M,,,,,,
2000-09,84.01M,,,-6.745M,73.50M,73.50M,,,,2.55M,,,,,,6.026M,-14.20M,,176.36M,,-105.08M,,-105.08M,,-0.225M,12.43M,-24.70M,-117.58M,,,,-64.46M,2.888M,,2.888M,,-23.66M,,,-85.23M,,76.94M,-26.44M,-1.30M,49.20M,,2.888M,,,,,,
2000-06,114.42M,,,-21.19M,73.29M,73.29M,,,,-2.55M,,,,,,7.915M,7.915M,,171.88M,,-105.68M,,-105.68M,,0.526M,46.47M,-31.02M,-89.70M,,,,-56.82M,12.50M,,12.50M,,-24.90M,,,-69.22M,,65.06M,12.97M,-1.09M,76.94M,,12.50M,,,,,,
2000-03,119.16M,,,-43.24M,69.07M,69.07M,,,,,,,,,,1.051M,1.051M,,146.05M,,-98.92M,,-98.92M,,-21.57M,31.38M,-12.21M,-101.33M,,,,-15.49M,11.94M,,11.94M,,-46.50M,,,-50.05M,,70.90M,-5.324M,-0.544M,65.06M,,11.94M,,,,,,
1999-12,75.30M,,,-0.50M,72.40M,72.40M,,,,,,,,,,-26.00M,-26.00M,,121.20M,,-66.70M,,-66.70M,,,3.50M,-31.60M,-94.80M,,,,-21.70M,7.40M,,7.40M,,-0.70M,,,-15.00M,,59.90M,11.40M,-0.40M,70.90M,,7.40M,,,,,,
1999-09,76.30M,,,-22.20M,67.60M,67.60M,,,,232.80M,,,,,,,,,125.60M,,-320.50M,,-320.50M,,,,-27.00M,-344.00M,,,,229.10M,1.70M,,1.70M,,-22.10M,,,208.70M,,67.00M,-9.70M,2.70M,59.90M,,1.70M,,,,,,
1999-06,33.10M,,,54.20M,62.80M,62.80M,,,,31.00M,,,,,,,,,181.10M,,-79.20M,,-79.20M,,,,-28.80M,-108.00M,,,,-66.20M,9.70M,,9.70M,,-22.80M,,-0.10M,-79.40M,,73.90M,-6.30M,-0.70M,67.00M,,9.70M,,,,,,
1999-03,90.10M,,,1.50M,65.80M,65.80M,,,,-119.20M,,,,,,,,,38.20M,,-182.60M,,-182.60M,,,,-65.40M,-248.00M,,,,192.60M,9.70M,,9.70M,,-43.20M,,0.10M,159.20M,,128.60M,-50.60M,-4.10M,73.90M,,9.70M,,,,,,
1998-12,76.20M,,,15.30M,62.70M,62.70M,,,,-67.30M,,,,,,,,,86.90M,,-103.50M,,-103.50M,,,,-12.30M,-115.80M,,,,70.50M,5.70M,,5.70M,,,,,76.20M,,83.30M,47.30M,-1.90M,128.60M,,5.70M,,,,,,
1998-09,89.90M,,,-59.30M,59.80M,59.80M,,,,122.20M,,,,,,,,,139.70M,,-58.40M,,-58.40M,,,,5.40M,-56.20M,,,,-95.40M,8.40M,0.00,8.40M,,-18.80M,,0.20M,-105.60M,,0.00,-22.10M,1.90M,83.30M,,8.40M,,,0.00,,,
1998-06,-10.00M,,,89.30M,60.20M,60.20M,,,,-20.10M,,,,,,,,,119.40M,,-504.80M,,-504.80M,,,,-18.60M,-523.40M,,,,407.00M,8.50M,0.00,8.50M,,-19.50M,,-0.10M,395.90M,,0.00,-8.10M,-1.40M,0.00,,8.50M,,,0.00,,,
1998-03,92.40M,,,,55.70M,55.70M,,,,-70.40M,,,,,,,,,77.70M,,-110.70M,,-110.70M,,,,9.50M,-101.20M,,,,34.40M,23.10M,-1.80M,21.30M,,-36.30M,,0.10M,19.50M,,0.00,-4.00M,-1.50M,0.00,,23.10M,,,-1.80M,,,
1997-12,64.30M,,,,53.00M,53.00M,,,,46.70M,,,,,,,,,164.00M,,-44.00M,,-44.00M,,,,-45.00M,-89.00M,,,,-30.60M,6.00M,-42.70M,-36.70M,,-0.70M,,-0.10M,-68.10M,,112.60M,6.90M,-1.10M,0.00,,6.00M,,,-42.70M,,,
1997-09,89.20M,,,,55.60M,55.60M,,,,54.20M,,,,,,,,,126.50M,,-261.70M,24.30M,-237.40M,,,,157.00M,-77.90M,,,,-29.80M,2.50M,-10.80M,-8.30M,,-16.00M,,,-54.10M,,0.00,-5.50M,-2.90M,0.00,,2.50M,,,-10.80M,,,
1997-06,70.10M,,,,53.10M,53.10M,,,,-16.30M,,,,,,,,,106.90M,,-46.80M,-20.90M,-67.70M,,,,-178.50M,-246.20M,,,,150.60M,7.10M,-31.30M,-24.20M,,-17.30M,,-0.10M,109.00M,,0.00,-30.30M,0.00,0.00,,7.10M,,,-31.30M,,,
1997-03,82.70M,,,,51.40M,51.40M,,,,-63.80M,,,,,,,,,70.30M,,-31.80M,0.00,-31.80M,,,,2.40M,-29.40M,,,,42.60M,16.20M,-62.90M,-46.70M,,-33.00M,,0.00,-37.10M,,0.00,3.80M,-5.20M,0.00,,16.20M,,,-62.90M,,,
1996-12,58.10M,,,,49.70M,49.70M,,,,31.20M,,,,,,,,,139.00M,,-30.80M,20.90M,-9.90M,,,,-0.70M,-10.60M,,,,-67.60M,3.60M,-45.00M,-41.40M,,-0.90M,,0.10M,-109.80M,,135.20M,18.60M,-1.10M,0.00,,3.60M,,,-45.00M,,,
1996-09,87.10M,,,,50.70M,50.70M,,,,60.80M,,,,,,,,,161.40M,,-46.30M,,-46.30M,,,27.80M,-4.90M,-23.40M,,,,-100.50M,5.80M,-81.80M,-76.00M,,-14.30M,,,-190.80M,,0.00,-52.80M,0.00,135.20M,,5.80M,,,-81.80M,,,
1996-06,77.20M,,,,48.00M,48.00M,,,,-5.40M,,,,,,,,,119.80M,,-24.50M,-29.70M,-54.20M,,,3.50M,2.80M,-47.90M,,,,50.10M,10.60M,-84.10M,-73.50M,,-16.20M,,,-39.60M,,0.00,32.30M,-1.10M,0.00,,10.60M,,,-84.10M,,,
1996-03,74.80M,,,,50.80M,50.80M,,,,-35.20M,,,,,,,,,90.40M,,-34.00M,29.70M,-4.30M,,,,-6.50M,-10.80M,,,,-25.20M,14.00M,-80.10M,-66.10M,,-30.30M,,-0.10M,-121.70M,,0.00,-42.10M,-0.40M,0.00,,14.00M,,,-80.10M,,,
1995-12,44.50M,,,,51.00M,51.00M,,,,-6.70M,,,,,,,,,88.80M,,-41.10M,,-41.10M,,,,13.30M,-27.80M,,,,16.10M,5.00M,-79.90M,-74.90M,,-0.90M,,0.10M,-59.60M,,198.50M,1.40M,-0.80M,0.00,,5.00M,,,-79.90M,,,
1995-09,86.60M,,,,53.70M,53.70M,,,,0.60M,,,,,,,5.20M,,132.50M,,-52.40M,,27.10M,,,,-37.00M,59.70M,,,,-20.60M,5.10M,-84.40M,-79.30M,,-13.30M,,0.00,-113.20M,,0.00,79.00M,-1.20M,0.00,,5.10M,,,-84.40M,,,
1995-06,66.60M,,,,52.20M,52.20M,,,,12.50M,,,,,27.80M,,27.80M,,159.10M,,-25.10M,,-25.10M,,,,69.70M,44.60M,,,,-70.70M,5.80M,-50.00M,-44.20M,,-15.50M,,0.00,-130.40M,,0.00,73.30M,-0.20M,0.00,,5.80M,,,-50.00M,,,
1995-03,65.00M,,,,51.60M,51.60M,,,,6.80M,,,,,-48.30M,,-48.30M,,75.10M,,-27.20M,,-27.20M,,,,-24.40M,-51.60M,,,,-55.90M,6.30M,-15.20M,-8.90M,,-28.60M,,0.00,-93.40M,,0.00,-69.90M,-1.50M,0.00,,6.30M,,,-15.20M,,,
1994-12,33.50M,,,,50.30M,50.30M,,,,1.20M,,,,,20.50M,,20.50M,,105.50M,,-22.90M,,-22.90M,,,,26.10M,3.20M,,,,64.60M,2.60M,-150.10M,-147.50M,,-0.90M,,-0.10M,-83.90M,,94.90M,24.80M,-0.70M,0.00,,2.60M,,,-150.10M,,,
1994-09,86.30M,,,,55.20M,55.20M,,,,-15.40M,,,,,-20.60M,,54.90M,,144.20M,,-36.20M,,-36.20M,,,,29.10M,-13.10M,,,,-15.70M,21.60M,-80.50M,-58.90M,,-13.10M,,,-87.70M,,0.00,43.40M,0.10M,0.00,,21.60M,,,-80.50M,,,
1994-06,58.10M,,,,48.70M,48.70M,,,,1.90M,,,,,30.40M,,30.40M,,139.10M,,-42.60M,,-42.60M,,,,-7.60M,-50.20M,,,,-42.10M,3.50M,-15.40M,-11.90M,,-15.20M,,0.10M,-69.10M,,0.00,19.80M,0.60M,0.00,,3.50M,,,-15.40M,,,
1994-03,57.10M,,,,50.10M,50.10M,,,,4.10M,,,,,-29.70M,,-29.70M,,81.60M,,-27.40M,,-27.40M,,,,28.10M,0.70M,,,,-2.20M,3.90M,-52.80M,-48.90M,,-27.80M,,-0.10M,-79.00M,,0.00,3.30M,0.10M,0.00,,3.90M,,,-52.80M,,,
1993-12,25.70M,,,,49.70M,49.70M,,,,9.30M,,,,,29.90M,,29.90M,,114.60M,,-29.60M,,-29.60M,,,,-40.20M,-69.80M,,,,4.90M,1.90M,-61.60M,-59.70M,,-0.90M,,,-55.70M,,39.10M,-10.90M,-0.60M,0.00,,1.90M,,,-61.60M,,,
1993-09,69.90M,,,17.00M,49.30M,49.30M,-30.50M,,,-0.10M,-54.00M,18.30M,14.50M,1.40M,-7.40M,,-27.20M,,78.40M,,-55.00M,,-55.00M,,,5.50M,-9.30M,-58.80M,,,,15.50M,0.70M,-30.30M,-29.60M,,-12.30M,,-0.10M,-26.50M,,0.00,-6.90M,1.70M,0.00,,0.70M,,,-30.30M,,,
1993-06,58.30M,,,1.20M,47.00M,47.00M,3.00M,,,-0.20M,-3.00M,-21.40M,5.20M,-6.10M,-5.90M,,-31.20M,,78.10M,,-47.90M,,-47.90M,,,48.20M,-5.80M,-5.50M,,,,-88.50M,1.00M,-23.40M,-22.40M,,-14.40M,,-0.10M,-125.40M,,0.00,-52.80M,0.20M,0.00,,1.00M,,,-23.40M,,,
1993-03,58.90M,,,-1.80M,48.20M,48.20M,3.00M,,,0.10M,-18.60M,-9.40M,8.40M,3.90M,-12.40M,,-28.10M,,80.30M,,-41.00M,,-41.00M,,,-4.00M,-12.20M,-57.20M,,,,29.10M,4.00M,-10.40M,-6.40M,,-26.10M,,0.00,-3.40M,,0.00,19.70M,0.50M,0.00,,4.00M,,,-10.40M,,,
1992-12,25.70M,,,-0.10M,45.30M,45.30M,3.00M,,,,50.90M,-18.70M,-28.30M,-2.10M,7.30M,,9.10M,,83.00M,,-40.30M,,-40.30M,,,-0.50M,-10.80M,-51.60M,,,,-13.90M,7.30M,,7.30M,,-1.00M,,0.10M,-7.50M,,56.60M,23.90M,-3.90M,0.00,,7.30M,,,,,,
1992-09,72.00M,,,0.60M,45.80M,45.80M,-1.90M,,,-0.10M,-61.00M,23.10M,53.80M,1.30M,4.40M,,21.60M,,138.00M,,-57.40M,,-57.40M,,,-5.60M,-15.40M,-78.40M,,,,-41.00M,5.20M,0.00,5.20M,,-12.40M,,0.10M,-48.10M,,0.00,11.50M,1.00M,0.00,,5.20M,,,0.00,,,
1992-06,55.50M,,,2.00M,43.90M,43.90M,3.00M,,,0.20M,-23.50M,-13.80M,19.50M,-7.00M,-5.80M,,-30.60M,,74.00M,,-46.90M,,-46.90M,,,-44.20M,-81.60M,-172.70M,,,,48.10M,4.10M,0.00,4.10M,,-12.30M,,-0.20M,39.70M,,0.00,-59.00M,-0.40M,0.00,,4.10M,,,0.00,,,
1992-03,51.50M,,,-1.90M,40.90M,40.90M,3.00M,,,0.10M,-50.70M,3.00M,-9.80M,12.30M,-2.50M,,-47.70M,,45.90M,,-44.50M,,-44.50M,,,27.80M,-22.20M,-38.90M,,,,57.30M,4.30M,0.00,4.30M,,-23.60M,,0.00,38.00M,,0.00,45.00M,-1.70M,0.00,,4.30M,,,0.00,,,
1991-12,21.80M,,,-1.20M,39.00M,39.00M,3.00M,,,-0.20M,39.10M,-18.50M,-19.60M,-10.20M,-2.90M,,-12.10M,,50.30M,,-36.80M,,-36.80M,,,10.90M,-13.80M,-39.70M,,,,21.50M,2.20M,-3.80M,-1.60M,,-1.00M,,0.10M,19.00M,,30.30M,29.60M,0.30M,0.00,,2.20M,,,-3.80M,,,
1991-09,62.30M,,,-1.70M,38.10M,38.10M,8.70M,,,,-23.80M,7.80M,11.60M,0.80M,-3.00M,,-6.60M,,100.80M,,-59.00M,,-59.00M,,,-59.00M,-22.00M,-140.00M,,,,7.50M,1.20M,0.00,1.20M,,-10.90M,,-0.20M,-2.40M,,0.00,-41.60M,0.40M,0.00,,1.20M,,,0.00,,,
1991-06,49.00M,,,-1.40M,37.40M,37.40M,3.00M,,,,-15.30M,3.60M,-5.00M,-0.20M,4.50M,,-12.40M,,75.60M,,-52.70M,,-52.70M,,,24.10M,-10.70M,-39.30M,,,,-20.10M,3.00M,0.00,3.00M,,-12.90M,,0.20M,-29.80M,,0.00,6.50M,0.60M,0.00,,3.00M,,,0.00,,,
1991-03,49.00M,,,-2.90M,37.40M,37.40M,3.00M,,,0.10M,-63.70M,-5.70M,10.30M,1.00M,0.80M,,-57.30M,,29.30M,,-55.00M,,-55.00M,,,1.80M,-3.80M,-57.00M,,,,72.10M,5.90M,-10.90M,-5.00M,,-22.80M,,-0.20M,44.10M,,0.00,16.40M,0.40M,0.00,,5.90M,,,-10.90M,,,
1990-12,29.50M,,,,37.00M,37.00M,3.00M,,,-0.10M,43.20M,-23.10M,-37.50M,-4.30M,0.70M,,-21.00M,,48.40M,,-44.40M,,-44.40M,,,-17.00M,-1.20M,-62.60M,,,,19.20M,3.40M,,3.40M,,-1.00M,,0.10M,21.70M,,41.70M,7.50M,-1.50M,0.00,,3.40M,,,,,,
1990-09,62.30M,,,8.80M,39.60M,39.60M,2.80M,,,,-46.10M,15.40M,23.50M,7.60M,,,0.40M,,113.90M,,-68.90M,,-68.90M,,,-19.90M,-2.00M,-90.80M,,,,-21.80M,5.00M,0.00,5.00M,,-10.10M,,,-26.90M,,0.00,-3.80M,-3.20M,0.00,,5.00M,,,0.00,,,
1990-06,46.70M,,,-5.90M,33.60M,33.60M,3.00M,,,,2.40M,-18.20M,16.70M,-5.00M,,,-4.10M,,73.30M,,-63.00M,,-63.00M,,,-10.30M,-8.60M,-81.90M,,,,-13.10M,6.30M,0.00,6.30M,,-11.70M,,,-18.50M,,0.00,-27.10M,-0.60M,0.00,,6.30M,,,0.00,,,
1990-03,45.60M,,,-10.30M,31.90M,31.90M,3.00M,,,0.10M,-32.20M,-1.40M,-0.90M,-7.10M,,,-41.60M,,28.70M,,-73.90M,,-73.90M,,,16.40M,1.80M,-55.70M,,,,60.80M,64.90M,-60.00M,4.90M,,-20.70M,,,45.00M,,0.00,18.00M,-2.00M,0.00,,64.90M,,,-60.00M,,,
1989-12,27.70M,,,-8.90M,30.60M,30.60M,3.00M,,,-0.10M,37.90M,-19.80M,-19.10M,-8.20M,,,-9.20M,,43.10M,,-57.80M,,-57.80M,,,-14.10M,14.00M,-57.90M,,,,12.00M,2.40M,,2.40M,,,,,14.40M,,61.00M,-0.40M,-0.20M,0.00,,2.40M,,,,,,
