,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,PrepaidExpenses,TotalCurrentAssets,NetPP&E,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredTaxAssets,TotalLongTermAssets,TotalAssets,,CurrentTaxPayable,TotalPayables,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,SecuritySoldNotYetRepurchased,UnpaidLossReserve,UnearnedPremiumonInsuranceContract,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2001-12,48.00M,,48.00M,732.00M,27.00M,759.00M,28.00M,835.00M,125.00M,,11.50B,,11.73B,13.91B,,,,,183.00M,,183.00M,183.00M,183.00M,426.00M,,426.00M,2.001B,2.001B,,2.887B,1.062B,6.376B,7.916B,,350.00M,1.678B,284.00M,427.00M,4.113B,5.998B,,AOR,Restated
2001-09,137.22M,,137.22M,710.75M,28.77M,739.52M,18.83M,895.57M,129.26M,,11.37B,,11.61B,13.56B,,2.010B,2.010B,2.010B,175.00M,,175.00M,175.00M,2.185B,432.49M,,432.49M,,,,2.625B,1.041B,4.099B,7.633B,,348.99M,1.676B,277.40M,418.07M,4.042B,5.926B,,AOR,Restated
2001-06,42.89M,,42.89M,704.16M,29.56M,733.71M,19.08M,795.69M,132.85M,,11.44B,,11.68B,13.56B,,2.055B,2.055B,2.055B,175.00M,,175.00M,175.00M,2.230B,433.16M,,433.16M,,,,2.591B,1.017B,4.041B,7.545B,,348.15M,1.674B,269.67M,397.55M,4.118B,6.012B,,AOR,Restated
2001-03,67.28M,,67.28M,657.69M,29.81M,687.50M,19.22M,774.01M,121.11M,,10.62B,,10.84B,12.70B,,,,,158.00M,,158.00M,158.00M,158.00M,449.09M,,449.09M,1.798B,1.798B,,2.532B,977.39M,5.756B,7.164B,,345.92M,1.659B,255.13M,389.77M,3.661B,5.531B,,AOR,Restated
2000-12,60.00M,,60.00M,652.00M,31.00M,683.00M,15.00M,758.00M,122.00M,,11.25B,,11.54B,13.29B,,,,,170.00M,,170.00M,170.00M,170.00M,449.00M,,449.00M,2.058B,2.058B,,2.473B,922.00M,5.902B,7.292B,,346.00M,1.62B,254.00M,381.00M,4.156B,5.995B,,AOR,Restated
2000-09,23.87M,,23.87M,225.74M,30.51M,256.25M,26.26M,306.38M,120.65M,0.00,10.44B,,10.64B,11.79B,,1.791B,1.791B,1.791B,158.00M,,158.00M,158.00M,1.949B,450.44M,,450.44M,,,,2.299B,512.71M,3.262B,6.285B,,345.46M,1.692B,251.89M,376.40M,3.592B,5.504B,,AOR,Restated
2000-06,37.25M,,37.25M,195.26M,31.62M,226.88M,24.50M,288.63M,118.25M,0.00,9.360B,,9.591B,10.70B,,1.477B,1.477B,1.477B,173.00M,,173.00M,173.00M,1.650B,451.03M,,451.03M,,,,2.181B,490.75M,3.122B,5.833B,,345.29M,1.717B,250.72M,370.39M,2.926B,4.869B,,AOR,Restated
2000-03,54.47M,,54.47M,184.69M,32.07M,216.76M,24.11M,295.34M,115.41M,,9.573B,,9.785B,10.56B,,1.454B,1.454B,1.454B,137.00M,,137.00M,137.00M,1.591B,455.96M,,455.96M,,,,2.186B,480.88M,3.123B,5.761B,,344.54M,1.673B,245.74M,363.96M,2.904B,4.803B,,AOR,Restated
1999-12,339.55M,,339.55M,522.54M,32.93M,555.47M,24.68M,919.71M,107.78M,0.00,10.13B,,10.36B,11.81B,,,,,118.00M,,118.00M,118.00M,118.00M,456.37M,,456.37M,1.720B,1.720B,,2.154B,836.41M,5.167B,6.386B,,343.72M,1.624B,237.86M,314.29M,3.530B,5.421B,,AOR,Restated
1999-09,,,,182.30M,,182.30M,,182.30M,96.90M,,,,10.07B,10.41B,,,,,,,,,,545.60M,,545.60M,,,,2.127B,473.60M,3.146B,5.364B,,,1.605B,,,,5.042B,,,Restated
1999-06,,,,175.90M,,175.90M,,175.90M,70.40M,,,,10.74B,11.06B,,,,,,,,,,512.70M,,512.70M,,,,2.079B,460.10M,3.052B,5.53B,,,1.575B,,,,5.534B,,,Restated
1999-03,,,,167.00M,,167.00M,,167.00M,50.30M,,,,10.55B,10.86B,,,,,,,,,,480.40M,,480.40M,,,,2.093B,455.90M,3.029B,5.448B,,,1.517B,,,,5.407B,,,Restated
1998-12,58.61M,,58.61M,164.41M,32.11M,196.52M,26.44M,281.56M,53.64M,0.00,10.27B,,10.39B,11.09B,,,,,0.00,,0.00,0.00,0.00,471.52M,,471.52M,1.809B,1.809B,,2.055B,459.70M,4.795B,5.466B,,340.87M,1.481B,218.33M,97.20M,3.678B,5.621B,,AOR,Restated
1998-09,,,,172.00M,,172.00M,,172.00M,55.10M,,,,9.627B,9.939B,,,,,,,,,,472.40M,,472.40M,,,,2.034B,456.70M,2.963B,5.046B,,,1.461B,,,,4.893B,,,
1998-06,,,,172.90M,,172.90M,,172.90M,55.50M,,,,10.17B,10.48B,,,,,,,,,,473.80M,,473.80M,,,,2.027B,448.40M,2.949B,5.216B,,,1.434B,,,,5.268B,,,
1998-03,,,,160.50M,,160.50M,,160.50M,55.10M,,,,9.765B,10.06B,,,,,,,,,,337.80M,,337.80M,,,,1.968B,440.70M,2.747B,4.995B,,,1.400B,,,,5.065B,,,
1997-12,80.17M,,80.17M,158.54M,31.72M,190.25M,23.61M,294.03M,52.56M,0.00,8.750B,,8.834B,9.493B,,,,,280.56M,,280.56M,280.56M,280.56M,58.43M,,58.43M,1.406B,1.406B,,1.937B,443.05M,3.844B,4.776B,,338.78M,1.342B,203.28M,72.58M,2.906B,4.717B,,AOR,Restated
1997-09,,,,162.90M,,162.90M,,162.90M,40.90M,,,,8.271B,8.641B,,,,,,,,,,356.10M,,356.10M,,,,1.927B,440.40M,2.723B,4.496B,,,1.292B,,,,4.144B,,,
1997-06,,,,163.40M,,163.40M,,163.40M,40.80M,,,,7.686B,7.979B,,,,,,,,,,353.60M,,353.60M,,,,1.905B,428.80M,2.687B,4.238B,,,1.238B,,,,3.741B,,,
1997-03,,,,159.20M,,159.20M,,159.20M,39.20M,,,,7.194B,7.480B,,,,,,,,,,343.80M,,343.80M,,,,1.884B,422.10M,2.650B,4.047B,,,1.184B,,,,3.434B,,,
1996-12,59.93M,,59.93M,162.04M,26.86M,188.91M,22.92M,271.77M,50.07M,0.00,6.302B,,6.417B,7.046B,,,,,262.10M,,262.10M,262.10M,262.10M,79.85M,,79.85M,676.89M,676.89M,,1.881B,425.75M,3.064B,3.883B,,111.66M,1.133B,401.86M,11.22M,1.528B,3.163B,,AOR,Restated
1996-09,,,,154.50M,,154.50M,,154.50M,37.70M,,,,6.373B,6.652B,,,,,,,,,,332.80M,,332.80M,,,,1.858B,422.30M,2.613B,3.732B,,,1.090B,,,,2.920B,,,
1996-06,,,,173.90M,,173.90M,,173.90M,35.30M,,,,6.110B,6.406B,,,,,,,,,,332.70M,,332.70M,,,,1.814B,412.70M,2.560B,3.601B,,,1.064B,,,,2.805B,,,
1996-03,,,,162.60M,,162.60M,,162.60M,33.50M,,,,6.130B,6.413B,,,,,,,,,,301.50M,,301.50M,,,,1.786B,406.20M,2.493B,3.577B,,,1.030B,,,,2.836B,,,
1995-12,20.02M,,20.02M,161.12M,20.28M,181.40M,21.84M,223.25M,33.06M,0.00,5.489B,,5.551B,6.109B,,,,,221.00M,,221.00M,221.00M,221.00M,80.00M,,80.00M,487.84M,487.84M,,1.744B,408.62M,2.720B,3.451B,,106.17M,1.157B,237.17M,1.384M,1.159B,2.658B,,AOR,Restated
1995-09,,,,161.80M,,161.80M,,161.80M,32.60M,,,,5.377B,5.657B,,,,,,,,,,277.60M,,277.60M,,,,1.704B,406.50M,2.388B,3.264B,,,1.124B,,,,2.393B,,,
1995-06,,,,145.50M,,145.50M,,145.50M,33.60M,,,,5.108B,5.367B,,,,,,,,,,277.10M,,277.10M,,,,1.660B,389.70M,2.326B,3.110B,,,1.084B,,,,2.257B,,,
1995-03,,,,141.20M,,141.20M,,141.20M,32.60M,,,,4.805B,5.057B,,,,,,,,,,219.60M,,219.60M,,,,1.617B,380.70M,2.217B,2.956B,,,1.047B,,,,2.101B,,,
1994-12,48.25M,,48.25M,141.97M,16.17M,158.14M,24.07M,230.46M,32.67M,0.00,4.173B,,4.232B,4.734B,,,,,129.12M,,129.12M,129.12M,129.12M,80.00M,,80.00M,195.45M,195.45M,,1.552B,382.12M,2.210B,2.794B,,100.87M,1.133B,105.79M,0.914M,601.19M,1.940B,,AOR,Restated
1994-09,,,,138.50M,,138.50M,,138.50M,32.90M,,,,4.530B,4.777B,,,,,,,,,,199.10M,,199.10M,,,,1.509B,380.50M,2.089B,2.782B,,,1.103B,,,,1.996B,,,
1994-06,,,,138.70M,,138.70M,,138.70M,33.00M,,,,4.388B,4.632B,,,,,,,,,,188.80M,,188.80M,,,,1.472B,363.90M,2.025B,2.693B,,,1.072B,,,,1.939B,,,
1994-03,,,,131.50M,,131.50M,,131.50M,32.40M,,,,4.344B,4.580B,,,,,,,,,,168.60M,,168.60M,,,,1.461B,356.50M,1.986B,2.669B,,,1.029B,,,,1.910B,,,
1993-12,48.11M,,48.11M,134.36M,13.01M,147.37M,23.97M,219.45M,31.34M,0.00,4.078B,,4.131B,4.602B,,,,,78.07M,,78.07M,78.07M,78.07M,80.00M,,80.00M,290.90M,290.90M,,1.403B,362.01M,2.135B,2.655B,,100.63M,996.36M,102.24M,0.396M,748.51M,1.947B,,,Restated
1993-09,,,,133.90M,,133.90M,,133.90M,32.70M,,,,4.322B,4.564B,,,,,,,,,,147.30M,,147.30M,,,,1.376B,357.80M,1.881B,2.618B,,,963.40M,,,,1.946B,,,
1993-06,,,,,,,,,33.20M,,,,4.30B,4.404B,,,,,,,,,,147.20M,,147.20M,,,,1.329B,344.50M,1.821B,2.525B,,,941.70M,,,,1.880B,,,
1993-03,,,,183.30M,,183.30M,,183.30M,33.50M,,,,4.010B,4.293B,,,,,,67.10M,67.10M,67.10M,67.10M,80.00M,,80.00M,,,,1.603B,332.40M,2.016B,2.469B,,,893.60M,,,,1.824B,,,
1992-12,,,,,,,,,34.00M,,,,3.884B,4.028B,,,,,,,,,,147.00M,,147.00M,,,,1.485B,306.40M,1.938B,2.315B,,,836.50M,,,,1.714B,,,Restated
1992-09,,,,,,,,,35.00M,,,,3.713B,3.858B,,,,,,,,,,146.80M,,146.80M,,,,1.437B,301.40M,1.885B,2.235B,,,814.00M,,,,1.623B,,,
1992-06,,,,,,,,,35.30M,,,,3.504B,3.645B,,,,,,,,,,146.60M,,146.60M,,,,1.383B,290.80M,1.821B,2.125B,,,792.70M,,,,1.520B,,,
1992-03,,,,,,,,,32.60M,,,,3.44B,3.534B,,,,,,,,,,106.50M,,106.50M,,,,1.339B,285.60M,1.731B,2.054B,,,755.40M,,,,1.480B,,,
1991-12,,,,,,,,,31.70M,,,,3.300B,3.436B,,,,,,,,,,106.60M,,106.60M,,,,1.286B,284.80M,1.678B,1.995B,,,716.70M,,,,1.441B,,,
1991-09,,,,,,,,,26.90M,,,,3.104B,3.240B,,,,,,,,,,106.40M,,106.40M,,,,1.241B,281.80M,1.629B,1.912B,,,698.00M,,,,1.328B,,,
1991-06,,,,,,,,,25.80M,,,,2.880B,3.015B,,,,,,,,,,96.20M,,96.20M,,,,1.178B,268.80M,1.543B,1.782B,,,679.20M,,,,1.233B,,,
1991-03,,,,,,,,,24.60M,,,,2.724B,2.855B,,,,,,,,,,82.90M,,82.90M,,,,1.134B,263.10M,1.480B,1.701B,,,646.50M,,,,1.154B,,,
1990-12,,,,,,,,,23.80M,,,,2.462B,2.590B,,,,,,,,,,72.70M,,72.70M,,,,1.096B,258.40M,1.427B,1.583B,,,615.20M,,,,1.007B,,,
1990-09,,,,,,,,,24.80M,,,,2.296B,2.425B,,,,,,,,,,67.40M,,67.40M,,,,1.066B,255.40M,1.388B,1.512B,,,593.90M,,,,912.30M,,,
1990-06,,,,,,,,,25.00M,,,,2.381B,2.507B,,,,,,,,,,67.00M,,67.00M,,,,1.032B,247.60M,1.346B,1.512B,,,576.20M,,,,995.30M,,,
1990-03,,,,,,,,,24.80M,,,,2.382B,2.507B,,,,,,,,,,86.60M,,86.60M,,,,1.002B,248.30M,1.337B,1.517B,,,551.50M,,,,990.10M,,,
1989-12,,,,,,,,,24.90M,,,,2.429B,2.552B,,,,,,,,,,66.80M,,66.80M,,,,979.00M,248.30M,1.294B,1.532B,,,526.20M,,,,1.020B,,,
1989-09,,,,,,,,,25.70M,,,,2.399B,2.521B,,,,,,,,,,66.30M,,66.30M,,,,948.10M,252.40M,1.267B,1.500B,,,507.60M,,,,1.021B,,,
1989-06,,,,,,,,,26.50M,,,,2.210B,2.331B,,,,,,,,,,65.80M,,65.80M,,,,900.30M,245.20M,1.211B,1.402B,,,497.80M,,,,929.00M,,,
1988-12,,,,,,,,,,,,,,2.117B,,,,,,,,,,0.90M,,0.90M,,,,,,0.90M,1.302B,,,446.80M,,,,815.60M,,,
1987-12,,,,,,,,,,,,,,1.792B,,,,,,,,,,3.90M,,3.90M,,,,,,3.90M,1.159B,,,346.40M,,,,633.90M,,,
1986-12,,,,,,,,,,,,,,1.553B,,,,,,,,,,8.50M,,8.50M,,,,,,8.50M,972.50M,,,316.40M,,,,580.20M,,,
1985-12,,,,,,,,,,,,,,1.255B,,,,,,,,,,8.80M,,8.80M,,,,,,8.80M,784.70M,,,242.50M,,,,470.30M,,,
1984-12,,,,,,,,,,,,,,978.20M,,,,,,,,,,13.70M,,13.70M,,,,,,13.70M,607.60M,,,205.70M,,,,370.60M,,,
