,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,ProvisionforDoubtfulAccounts,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2004-09,39.12B,39.12B,30.96B,8.165B,6.02B,,,,,,,6.02B,2.145B,,,,57.00M,,718.00M,197.00M,459.00M,-193.00M,,-62.00M,50.00M,266.00M,459.00M,2.145B,,2.145B,,0.25,-0.10,,,0.25,0.15,,0.24,-0.10,,,0.24,0.15,,1.829B,1.829B,0.10,,,
2004-06,42.87B,42.87B,33.62B,9.249B,6.094B,-20.00M,,,,,,6.094B,3.155B,,,,64.00M,,1.485B,261.00M,1.152B,13.00M,,-72.00M,48.00M,1.165B,1.168B,3.155B,,3.155B,,0.63,0.01,,,0.6394,0.64,,0.57,0.00,,,0.5784,0.57,,1.745B,1.960B,0.10,,,
2004-03,44.72B,44.72B,34.05B,10.67B,6.172B,,,,,,,6.172B,4.497B,,,,56.00M,,2.863B,819.00M,1.959B,-7.00M,,-85.00M,,1.952B,1.959B,4.497B,,4.497B,,1.07,0.00,,,1.07,1.07,,0.95,-0.01,,,0.95,0.94,,1.824B,2.077B,0.10,,,
2003-12,46.29B,46.29B,38.63B,7.664B,7.004B,,,,,,,7.004B,660.00M,,,,26.00M,,-1.169B,-556.00M,-682.00M,-111.00M,0.00,-69.00M,,-793.00M,-682.00M,660.00M,,660.00M,,-0.53,-0.05,0.00,,-0.53,-0.57,,-0.53,-0.05,-0.0059,,-0.53,-0.57,,1.832B,1.894B,0.10,,,
2003-09,36.74B,36.74B,28.38B,8.361B,6.43B,,,,,,,6.43B,1.931B,,,,-45.00M,,427.00M,140.00M,242.00M,3.00M,-264.00M,-45.00M,,-19.00M,242.00M,1.931B,,1.931B,,0.13,0.00,0.00,,0.13,-0.01,,0.13,0.00,-0.1442,,0.13,-0.01,,1.831B,1.831B,0.10,,,
2003-06,40.67B,40.67B,31.68B,8.986B,6.647B,,,,,,,6.647B,2.339B,,,,72.00M,,718.00M,195.00M,425.00M,-8.00M,,-98.00M,,417.00M,425.00M,2.339B,,2.339B,,0.23,0.00,,,0.23,0.23,,0.22,0.00,,,0.22,0.22,,1.832B,1.895B,0.10,,,
2003-03,40.82B,40.82B,31.06B,9.76B,4.079B,,,,,,2.322B,8.954B,806.00M,,,,21.00M,,1.34B,337.00M,901.00M,-5.00M,,-102.00M,,896.00M,901.00M,3.359B,2.553B,806.00M,,0.49,0.00,,,0.49,0.49,,0.45,0.00,,,0.45,0.45,,1.832B,1.991B,0.10,,,
2002-12,40.52B,40.52B,27.99B,12.54B,18.52B,,,,,,,3.247B,9.288B,,,,6.00M,,305.00M,18.00M,203.00M,,0.00,-84.00M,4.00M,-130.00M,203.00M,9.288B,,9.288B,,1.13,0.36,0.00,,1.13,0.94,,1.06,0.36,0.0018,,1.06,0.94,,1.837B,1.837B,0.10,,,
2002-09,39.34B,39.34B,30.57B,8.77B,4.439B,,,,,,2.543B,9.512B,-742.00M,,,,-17.00M,,-46.00M,81.00M,-244.00M,-82.00M,,-117.00M,4.00M,-326.00M,-244.00M,1.788B,2.53B,-742.00M,,-0.14,-0.04,,,-0.14,-0.18,,-0.14,-0.04,,,-0.14,-0.18,,1.821B,1.821B,0.10,,,
2002-06,42.33B,42.33B,32.32B,10.01B,4.343B,,,,,,,6.99B,3.022B,,,,-19.00M,,947.00M,282.00M,570.00M,,,-95.00M,3.00M,570.00M,570.00M,5.669B,2.647B,3.022B,,0.31,0.00,,,0.31,0.31,,0.29,0.00,,,0.29,0.29,,1.813B,1.955B,0.10,,,
2002-03,39.86B,39.86B,30.07B,9.783B,4.856B,,,,,,2.35B,9.872B,-89.00M,,,,-61.00M,,-46.00M,-26.00M,-92.00M,,-708.00M,-72.00M,4.00M,-800.00M,-92.00M,2.577B,2.666B,-89.00M,,-0.05,-0.40,0.00,,-0.05,-0.45,,-0.05,-0.40,-0.3918,,-0.05,-0.45,,1.807B,1.807B,0.10,,,
2001-12,39.24B,39.24B,36.59B,2.653B,4.996B,,,,,,,7.219B,-4.566B,,,,-170.00M,,-7.036B,-2.098B,-4.962B,,,8.00M,4.00M,-5.068B,-4.962B,-2.343B,2.223B,-4.566B,,-2.71,-0.09,,,-2.71,-2.80,,-2.71,-0.09,,,-2.71,-2.80,,1.811B,1.811B,0.15,,,
2001-09,36.50B,36.50B,27.30B,9.206B,4.697B,,,,,,,7.377B,1.829B,,,,-346.00M,,-977.00M,-285.00M,-692.00M,,,-9.00M,4.00M,-692.00M,-692.00M,4.509B,2.68B,1.829B,,-0.39,0.00,,,-0.39,-0.39,,-0.39,0.00,,,-0.39,-0.39,,1.812B,1.812B,0.30,,,
2001-06,42.31B,42.31B,33.65B,8.666B,4.25B,,,,,,,6.924B,1.742B,,,,-162.00M,,-1.016B,-284.00M,-752.00M,,,-20.00M,3.00M,-752.00M,-752.00M,4.416B,2.674B,1.742B,,-0.42,0.00,,,-0.42,-0.42,,-0.42,0.00,,,-0.42,-0.42,,1.819B,1.819B,0.30,,,
2001-03,42.45B,42.45B,30.82B,11.63B,4.629B,,,,,,3.154B,10.30B,1.329B,,,,-178.00M,,1.633B,571.00M,1.059B,,,-3.00M,4.00M,1.059B,1.059B,3.848B,2.519B,1.329B,,0.58,0.00,,,0.58,0.58,,0.56,0.00,,,0.56,0.56,,1.828B,1.828B,0.30,,,
2000-12,42.60B,42.60B,36.33B,6.268B,-278.00M,-6.00M,,,,,,2.097B,4.171B,,,,-6.00M,,1.583B,506.00M,1.077B,0.00,,-16.00M,4.00M,1.077B,1.081B,6.546B,2.375B,4.171B,,0.52,0.05,,,0.5222,0.57,,0.52,0.05,,,0.5221,0.57,,1.87B,1.941B,0.30,,AOR,
2000-09,40.06B,40.06B,29.67B,10.38B,4.077B,-61.00M,,,,,,6.504B,3.881B,,,,-61.00M,,1.337B,449.00M,888.00M,,,-47.00M,4.00M,888.00M,928.51M,6.308B,2.427B,3.881B,,0.54,0.00,,,0.5646,0.54,,0.53,0.00,,,0.5546,0.53,,1.649B,1.649B,0.3183,,,
2000-06,44.52B,44.52B,33.52B,11.00B,4.118B,29.00M,,,,,,6.516B,4.488B,,,,29.00M,,2.241B,728.00M,1.513B,-2.09B,,-27.00M,3.00M,-577.00M,1.493B,6.886B,2.398B,4.488B,,0.8020,-1.108,,,0.7917,-0.3055,,0.7893,-1.108,,,0.7792,-0.3055,,1.893B,1.939B,0.3183,,,
2000-03,42.89B,42.89B,31.58B,11.32B,3.93B,-32.00M,,,,,,6.138B,5.178B,,,,-32.00M,,2.954B,1.022B,1.932B,147.00M,,-29.00M,,2.079B,1.953B,7.386B,2.208B,5.178B,,1.025,0.0764,,,1.036,1.101,,1.006,0.0764,,,1.017,1.082,,1.895B,1.921B,0.3183,,,
1999-12,43.92B,43.92B,40.25B,3.67B,-1.678B,-6.151B,,,,,,695.00M,2.975B,,,,-6.116B,,2.663B,848.00M,1.815B,95.00M,,-26.00M,4.00M,1.806B,5.903B,5.971B,7.661B,-1.69B,,1.42,0.08,,,4.860,1.50,,1.39,0.08,,,4.755,1.47,,1.219B,1.246B,0.3183,,AOR,Restated
1999-09,37.28B,37.28B,27.88B,9.401B,3.618B,11.00M,,,,,,5.951B,3.45B,,,,11.00M,,1.432B,473.00M,959.00M,155.00M,,-24.00M,4.00M,1.114B,951.63M,5.783B,2.333B,3.45B,,0.79,0.13,,,0.7839,0.92,,0.78,0.12,,,0.7740,0.90,,1.207B,1.233B,0.2928,,,
1999-06,41.91B,41.91B,30.80B,11.11B,3.769B,-12.00M,,,,,,6.16B,4.951B,,,,-12.00M,,3.092B,1.034B,2.058B,280.00M,,-31.00M,3.00M,2.338B,2.066B,7.342B,2.391B,4.951B,,1.70,0.23,,,1.707,1.93,,1.66,0.23,,,1.667,1.89,,1.211B,1.211B,0.2928,,,
1999-03,37.55B,37.55B,27.74B,9.812B,3.165B,34.00M,,,,,,5.322B,4.49B,,,,34.00M,,2.667B,893.00M,1.774B,205.00M,,-23.00M,4.00M,1.979B,1.751B,6.647B,2.157B,4.49B,,1.47,0.17,,,1.451,1.64,,1.44,0.17,,,1.422,1.61,,1.206B,1.237B,0.2928,,,
1998-12,36.84B,36.84B,32.94B,3.894B,925.00M,-7.409B,,,,,,3.099B,795.00M,,,,8.482B,,16.56B,114.00M,16.45B,,,-28.00M,4.00M,1.043B,23.65B,19.08B,7.488B,11.60B,,13.53,-12.31,,,19.98,1.22,,13.19,-12.32,,,19.13,0.87,,1.140B,1.239B,0.2928,,AOR,Restated
1998-09,32.64B,32.64B,25.25B,7.387B,1.971B,345.00M,,,,,,4.191B,3.196B,,,,345.00M,,1.483B,482.00M,1.001B,,,-30.00M,4.00M,1.001B,768.13M,5.416B,2.22B,3.196B,,0.81,0.00,,,0.6208,0.81,,0.80,0.00,,,0.6131,0.80,,1.231B,1.246B,0.2673,,,
1998-06,37.29B,37.29B,27.40B,9.886B,2.43B,336.00M,,,,,,4.588B,5.298B,,,,336.00M,,3.573B,1.192B,2.381B,,,-28.00M,4.00M,2.381B,2.157B,7.456B,2.158B,5.298B,,1.96,0.00,,,1.775,1.96,,1.91,0.00,,,1.730,1.91,,1.213B,1.245B,0.2673,,,
1998-03,36.58B,36.58B,26.94B,9.647B,2.624B,312.00M,,,,,,4.661B,4.986B,,,,312.00M,,2.663B,972.00M,1.691B,,,-66.00M,95.00M,17.65B,1.493B,7.023B,2.037B,4.986B,,1.28,12.95,,8.900,1.169,14.23,,1.28,12.95,,8.900,1.169,14.23,,1.793B,1.793B,0.2673,,,
1997-12,39.95B,39.95B,36.57B,3.381B,-4.189B,-10.59B,,,,,,-2.094B,5.475B,,,,-10.68B,,3.14B,1.066B,2.074B,,,-65.00M,,1.796B,8.789B,5.155B,8.234B,-3.079B,,1.045,,,,4.946,1.045,,1.045,,,,4.946,1.045,,1.793B,1.793B,0.2673,,AOR,Restated
1997-09,36.10B,36.10B,27.41B,8.688B,2.504B,253.00M,,,,,,4.515B,4.173B,,,,253.00M,,1.72B,595.00M,1.125B,,,-84.00M,13.00M,1.125B,959.52M,6.184B,2.011B,4.173B,,0.94,0.00,,,0.8001,0.94,,0.92,0.00,,,0.7831,0.92,,1.183B,1.209B,0.2673,,,
1997-06,40.26B,40.26B,30.23B,10.03B,2.496B,648.00M,,,,,,4.27B,5.762B,,,,648.00M,,3.712B,1.182B,2.53B,,,-70.00M,14.00M,2.53B,2.088B,7.536B,1.774B,5.762B,,2.11,0.00,,,1.740,2.11,,2.06,0.00,,,1.698,2.06,,1.192B,1.221B,0.2673,,,
1997-03,36.20B,36.20B,27.18B,9.019B,2.383B,105.00M,,,,,,4.148B,4.871B,,,,105.00M,,2.367B,898.00M,1.469B,,,-59.00M,14.00M,1.469B,1.404B,6.636B,1.765B,4.871B,,1.23,0.00,,,1.193,1.23,,1.20,0.00,,,1.163,1.20,,1.758B,1.758B,0.2451,,,
1996-12,38.83B,38.83B,34.12B,4.71B,112.00M,-9.011B,,,,,,1.853B,2.857B,,,,-9.017B,,1.97B,585.00M,1.385B,,,-52.00M,14.00M,1.204B,7.539B,3.097B,7.657B,-4.56B,,0.6899,,,,4.294,0.6899,,0.6899,,,,4.294,0.6899,,1.758B,1.758B,0.2451,,AOR,Restated
1996-09,33.96B,33.96B,26.48B,7.475B,2.222B,355.00M,,,,,,3.99B,3.485B,,,,355.00M,,1.16B,474.00M,686.00M,,,-67.00M,16.00M,686.00M,473.00M,5.253B,1.768B,3.485B,,0.57,0.00,,,0.3888,0.57,,0.55,0.00,,,0.3751,0.55,,1.175B,1.218B,0.2451,,,
1996-06,37.94B,37.94B,28.98B,8.961B,2.243B,244.00M,,,,,,3.918B,5.043B,,,,244.00M,,2.597B,694.00M,1.903B,,,-41.00M,16.00M,1.903B,1.724B,6.718B,1.675B,5.043B,,1.61,0.00,,,1.457,1.61,,1.56,0.00,,,1.412,1.56,,1.172B,1.210B,0.2228,,,
1996-03,36.26B,36.26B,28.97B,7.287B,2.048B,132.00M,,,,,,3.739B,3.548B,,,,132.00M,,1.066B,413.00M,653.00M,,,-21.00M,19.00M,653.00M,572.14M,5.239B,1.691B,3.548B,,0.54,0.00,,,0.4931,0.54,,0.54,0.00,,,0.4931,0.54,,1.725B,1.725B,0.2228,,,
1995-12,34.55B,34.55B,31.42B,3.13B,289.00M,-7.76B,,,,,,1.953B,1.177B,,,,-7.914B,,1.028B,181.00M,847.00M,,,-39.00M,104.00M,660.00M,7.054B,1.389B,6.883B,-5.494B,,0.3246,,,,4.031,0.3246,,0.3246,,,,4.031,0.3246,,1.725B,1.725B,0.2228,,AOR,Restated
1995-09,31.42B,31.42B,24.68B,6.737B,1.853B,-19.00M,,,,,,3.568B,3.169B,,,,-19.00M,,514.00M,157.00M,357.00M,,,-48.00M,55.00M,357.00M,370.20M,4.884B,1.715B,3.169B,,0.28,0.00,,,0.2877,0.28,,0.28,0.00,,,0.2877,0.28,,1.713B,1.713B,0.1973,,,
1995-06,36.39B,36.39B,27.80B,8.594B,2.027B,235.00M,,,,,,3.627B,4.967B,,,,235.00M,,2.625B,1.053B,1.572B,,,-59.00M,69.00M,1.572B,1.431B,6.567B,1.60B,4.967B,,1.46,0.00,,,1.374,1.46,,1.30,0.00,,,1.214,1.30,,1.634B,1.634B,0.1973,,,
1995-03,34.78B,34.78B,26.94B,7.842B,1.214B,-195.00M,,,,,,2.735B,5.107B,,,,-195.00M,,2.538B,988.00M,1.55B,,,-41.00M,72.00M,1.55B,1.669B,6.628B,1.521B,5.107B,,1.44,0.00,,,1.519,1.44,,1.28,0.00,,,1.359,1.28,,1.502B,1.502B,0.1655,,,
1994-12,33.64B,33.64B,28.52B,5.119B,508.00M,-6.756B,,,,,,1.928B,3.191B,,,,-6.485B,,2.327B,606.00M,1.721B,,,-44.00M,71.00M,1.569B,6.566B,3.352B,5.846B,-2.494B,,1.462,,,,6.340,1.462,,-0.3138,0.00,,,4.140,-0.3138,,1.024B,1.122B,0.26,,AOR,Restated
1994-09,30.62B,30.62B,23.99B,6.632B,1.592B,210.00M,,,,,,2.982B,3.65B,,,,210.00M,,1.861B,737.00M,1.124B,,,-35.00M,72.00M,1.124B,997.16M,5.04B,1.39B,3.65B,,1.04,0.00,,,0.9146,1.04,,0.94,0.00,,,0.8267,0.94,,1.012B,1.119B,0.2249,,,
1994-06,33.77B,33.77B,26.22B,7.552B,1.821B,205.00M,,,,,,3.018B,4.534B,,,,205.00M,,2.872B,1.161B,1.711B,,,-36.00M,72.00M,1.711B,1.588B,5.731B,1.197B,4.534B,,1.63,0.00,,,1.508,1.63,,1.44,0.00,,,1.332,1.44,,1.006B,1.138B,0.2249,,,
1994-03,30.40B,30.40B,24.18B,6.226B,1.503B,-280.00M,,,,,,2.406B,3.82B,,,,-280.00M,,1.729B,825.00M,904.00M,,,-37.00M,72.00M,904.00M,1.072B,4.723B,903.00M,3.82B,,0.83,0.00,,,0.9976,0.83,,0.83,0.00,,,0.9976,0.83,,1.002B,1.002B,0.20,,,
1993-12,27.84B,27.84B,25.89B,1.947B,189.00M,-5.276B,,,,,,1.046B,901.00M,,,,-5.149B,,1.123B,280.00M,843.00M,,,-18.00M,72.00M,719.00M,4.680B,2.133B,5.261B,-3.128B,,0.6482,,,,4.616,0.6482,,-0.1733,0.00,,,3.579,-0.1733,,998.12M,1.056B,0.20,,,Restated
1993-09,24.50B,24.50B,20.07B,4.428B,1.495B,260.00M,,,,,,2.322B,2.106B,,,,260.00M,,495.00M,32.00M,463.00M,,,-31.00M,72.00M,463.00M,219.81M,2.933B,827.00M,2.106B,,0.40,0.00,,,0.1512,0.40,,0.40,0.00,,,0.1512,0.40,,977.50M,977.50M,0.20,,,
1993-06,29.42B,29.42B,23.99B,5.429B,1.681B,165.00M,,,,,,2.387B,3.042B,,,,165.00M,,1.345B,570.00M,775.00M,,,-49.00M,72.00M,775.00M,676.00M,3.748B,706.00M,3.042B,,0.73,0.00,,,0.6272,0.73,,0.66,0.00,,,0.5671,0.66,,963.01M,1.065B,0.20,,,
1993-03,26.76B,26.76B,21.81B,4.955B,1.491B,132.00M,,,,,,2.165B,2.79B,,,,132.00M,,1.04B,468.00M,572.00M,,,-26.00M,72.00M,572.00M,492.80M,3.464B,674.00M,2.79B,,0.50,0.00,,,0.4208,0.50,,0.49,0.00,,,0.4124,0.49,,1.00B,1.020B,0.20,,,
1992-12,25.41B,25.41B,27.14B,-1.730B,59.60M,-5.239B,,,,,,669.00M,-2.399B,,,,-5.224B,,-1.674B,-570.70M,-1.103B,,,-6.888B,64.10M,-8.066B,-4.613B,-1.195B,5.275B,-6.471B,,-8.304,,,,-4.777,-8.304,,-8.304,,,,-4.777,-8.304,,979.12M,979.12M,0.20,,,Restated
1992-09,23.33B,23.33B,19.85B,3.474B,1.495B,214.70M,,,,,,2.029B,1.445B,,,,214.70M,,-273.20M,-114.30M,-158.90M,,,-26.50M,48.30M,-158.90M,-287.72M,1.979B,534.30M,1.445B,,-0.23,0.00,,,-0.3730,-0.23,,-0.23,0.00,,,-0.3730,-0.23,,900.87M,900.87M,0.20,,,
1992-06,26.84B,26.84B,21.85B,4.989B,1.505B,180.10M,,,,,,1.986B,3.003B,,,,180.10M,,1.139B,636.70M,502.40M,,,-29.50M,48.30M,502.40M,394.34M,3.484B,480.90M,3.003B,,0.47,0.00,,,0.3582,0.47,,0.47,0.00,,,0.3582,0.47,,966.17M,966.17M,0.20,,,
1992-03,24.56B,24.56B,19.96B,4.595B,1.375B,104.30M,,,,,,1.839B,2.756B,,,,104.30M,,681.20M,343.30M,337.90M,,,-18.80M,48.30M,337.90M,275.32M,3.22B,464.40M,2.756B,,0.29,0.00,,,0.2273,0.29,,0.29,0.00,,,0.2273,0.29,,998.62M,998.62M,0.20,,,
1991-12,21.98B,21.98B,14.20B,7.778B,1.746B,157.50M,,,,,,6.426B,1.352B,,,,157.50M,,-663.10M,-187.40M,-475.70M,,,95.80M,,-475.70M,-588.69M,6.032B,4.680B,1.352B,,-0.52,0.00,,,-0.6381,-0.52,,-0.52,0.00,,,-0.6381,-0.52,,956.59M,956.59M,0.20,,,
1991-09,21.12B,21.12B,17.74B,3.380B,1.434B,167.40M,,,,,,1.804B,1.576B,,,,167.40M,,-503.80M,70.60M,-574.40M,,,2.50M,,-574.40M,-674.84M,1.946B,369.90M,1.576B,,-0.61,0.00,,,-0.7167,-0.61,,-0.61,0.00,,,-0.7167,-0.61,,941.64M,941.64M,0.20,,,
1991-06,23.85B,23.85B,20.09B,3.755B,1.524B,107.20M,,,,,,1.886B,1.869B,,,,107.20M,,-307.80M,15.70M,-323.50M,,,-13.40M,,-323.50M,-387.82M,2.231B,361.90M,1.869B,,-0.35,0.00,,,-0.4196,-0.35,,-0.35,0.00,,,-0.4196,-0.35,,924.29M,924.29M,0.20,,,
1991-03,21.34B,21.34B,18.34B,3.003B,1.449B,87.10M,,,,,,1.816B,1.187B,,,,87.10M,,-1.179B,-294.30M,-884.40M,,,-22.40M,,-884.40M,-949.75M,1.554B,366.70M,1.187B,,-0.94,0.00,,,-1.009,-0.94,,-0.94,0.00,,,-1.009,-0.94,,940.85M,940.85M,0.375,,,
1990-12,24.19B,24.19B,18.66B,5.530B,3.128B,1.612B,,,,,,5.648B,-118.20M,,,,1.612B,,-997.40M,-478.90M,-518.50M,,,-30.70M,,-518.50M,-1.486B,2.402B,2.520B,-118.20M,,-0.57,0.00,,,-1.620,-0.57,,-0.59,0.00,,,-1.557,-0.59,,921.06M,1.001B,0.375,,,
1990-09,22.99B,22.99B,18.82B,4.171B,920.10M,-386.50M,,,,,,1.176B,2.995B,,,,-386.50M,,165.10M,63.40M,101.70M,,,-9.50M,,101.70M,339.78M,3.250B,255.40M,2.995B,,0.10,0.00,,,0.3341,0.10,,0.10,0.00,,,0.3341,0.10,,1.017B,1.017B,0.375,,,
1990-06,26.87B,26.87B,21.58B,5.296B,995.50M,-327.60M,,,,,,1.254B,4.042B,,,,-327.60M,,1.336B,565.50M,770.70M,,,-26.70M,,770.70M,967.26M,4.301B,258.20M,4.042B,,0.83,0.00,,,1.042,0.83,,0.83,0.00,,,1.042,0.83,,928.55M,928.55M,0.375,,,
1990-03,23.60B,23.60B,18.91B,4.689B,877.30M,-370.20M,,,,,,1.028B,3.661B,,,,-370.20M,,886.60M,380.40M,506.20M,,,-37.60M,,506.20M,728.32M,3.812B,151.00M,3.661B,,0.55,0.00,,,0.7913,0.55,,0.55,0.00,,,0.7913,0.55,,920.36M,920.36M,0.375,,,
1989-12,24.14B,24.14B,,,,,,,,,,,-58.02B,,,,,,,,313.80M,,,,,313.80M,,-58.02B,,-58.02B,,,,,,,,,,,,,,,,945.71M,945.71M,0.375,,,
1989-09,20.24B,20.24B,,,,,,,,,,,20.24B,,,,,,,,477.10M,,,,,477.10M,,20.24B,,20.24B,,0.52,0.00,,,0.52,0.52,,0.52,0.00,,,0.52,0.52,,947.91M,947.91M,0.375,,,
1989-06,25.89B,25.89B,,,,,,,,,,,25.89B,,,,,,,,1.407B,,,,,1.407B,,25.89B,,25.89B,,1.51,0.00,,,1.51,1.51,,1.51,0.00,,,1.51,1.51,,947.91M,947.91M,0.375,,,
1989-03,25.87B,25.87B,,,,,,,,,,,25.87B,,,,,,,,1.637B,,,,,1.637B,,25.87B,,25.87B,,1.72,0.00,,,1.72,1.72,,1.72,0.00,,,1.72,1.72,,981.72M,981.72M,0.375,,,
1988-12,31.59B,31.59B,,,,,,,,,,,-47.41B,,,,,,,,1.158B,,,,,1.158B,,-47.41B,,-47.41B,,,,,,,,,,,,,,,,981.72M,981.72M,0.30,,,
1988-09,17.73B,17.73B,,,,,,,,,,,17.73B,,,,,,,,856.30M,,,,,856.30M,,17.73B,,17.73B,,0.88,0.00,,,0.88,0.88,,0.88,0.00,,,0.88,0.88,,996.12M,996.12M,0.30,,,
1988-06,22.39B,22.39B,,,,,,,,,,,22.39B,,,,,,,,1.663B,,,,,1.663B,,22.39B,,22.39B,,1.72,0.00,,,1.72,1.72,,1.72,0.00,,,1.72,1.72,,974.51M,974.51M,0.30,,,
1988-03,20.74B,20.74B,,,,,,,,,,,20.74B,,,,,,,,1.623B,,,,,1.623B,,20.74B,,20.74B,,1.66,0.00,,,1.66,1.66,,1.66,0.00,,,1.66,1.66,,1.055B,1.055B,0.2501,,,
1987-12,18.76B,18.76B,,,,,,,,,,,-46.68B,,,,,,,,932.20M,,,,,932.20M,,-46.68B,,-46.68B,,,,,,,,,,,,,,,,1.015B,1.015B,0.2501,,,
1987-09,15.25B,15.25B,,,,,,,,,,,15.25B,,,,,,,,703.20M,,,,,703.20M,,15.25B,,15.25B,,0.69,0.00,,,0.69,0.69,,0.69,0.00,,,0.69,0.69,,1.055B,1.055B,0.1875,,,
1987-06,19.50B,19.50B,,,,,,,,,,,19.50B,,,,,,,,1.498B,,,,,1.498B,,19.50B,,19.50B,,1.46,0.00,,,1.46,1.46,,1.46,0.00,,,1.46,1.46,,1.074B,1.074B,0.1875,,,
1987-03,18.14B,18.14B,,,,,,,,,,,18.14B,,,,,,,,1.492B,,,,,1.492B,,18.14B,,18.14B,,1.44,0.00,,,1.44,1.44,,1.44,0.00,,,1.44,1.44,,971.08M,971.08M,0.1626,,,
1986-12,16.26B,16.26B,,,,,,,,,,,-42.40B,,,,,,,,785.10M,,,,,785.10M,,-42.40B,,-42.40B,,,,,,,,,,,,,,,,1.074B,1.074B,0.1626,,,
1986-09,14.37B,14.37B,,,,,,,,,,,14.37B,,,,,,,,693.30M,,,,,693.30M,,14.37B,,14.37B,,0.66,0.00,,,0.66,0.66,,0.66,0.00,,,0.66,0.66,,986.24M,986.24M,0.1374,,,
1986-06,17.30B,17.30B,,,,,,,,,,,17.30B,,,,,,,,1.078B,,,,,1.078B,,17.30B,,17.30B,,1.01,0.00,,,1.01,1.01,,1.01,0.00,,,1.01,1.01,,1.117B,1.117B,0.1375,,,
1986-03,14.79B,14.79B,,,,,,,,,,,14.79B,,,,,,,,728.30M,,,,,728.30M,,14.79B,,14.79B,,0.68,0.00,,,0.68,0.68,,0.68,0.00,,,0.68,0.68,,1.116B,1.116B,0.1167,,,
1985-12,14.10B,14.10B,,,,,,,,,,,-35.95B,,,,,,,,720.30M,,,,,720.30M,,-35.95B,,-35.95B,,,,,,,,,,,,,,,,1.116B,1.116B,,,,
1985-09,11.63B,11.63B,,,,,,,,,,,11.63B,,,,,,,,313.10M,,,,,313.10M,,11.63B,,11.63B,,0.29,0.00,,,0.29,0.29,,0.29,0.00,,,0.29,0.29,,1.136B,1.136B,,,,
1985-06,13.80B,13.80B,,,,,,,,,,,13.80B,,,,,,,,698.70M,,,,,698.70M,,13.80B,,13.80B,,0.62,0.00,,,0.62,0.62,,0.61,0.00,,,0.61,0.61,,1.116B,1.116B,,,,
1985-03,13.25B,13.25B,,,,,,,,,,,13.25B,,,,,,,,783.30M,,,,,783.30M,,13.25B,,13.25B,,0.69,0.00,,,0.69,0.69,,0.68,0.00,,,0.68,0.68,,1.116B,1.116B,,,,
1984-12,13.42B,13.42B,,,,,,,,,,,-35.53B,,,,,,,,720.80M,,,,,720.80M,,-35.53B,,-35.53B,,,,,,,,,,,,,,,,1.116B,1.116B,,,,
1984-09,11.84B,11.84B,,,,,,,,,,,11.84B,,,,,,,,379.70M,,,,,379.70M,,11.84B,,11.84B,,0.35,0.00,,,0.35,0.35,,0.33,0.00,,,0.33,0.33,,1.116B,1.116B,,,,
1984-06,14.10B,14.10B,,,,,,,,,,,14.10B,,,,,,,,909.10M,,,,,909.10M,,14.10B,,14.10B,,0.83,0.00,,,0.83,0.83,,0.78,0.00,,,0.78,0.78,,1.101B,1.101B,,,,
1984-03,13.01B,13.01B,,,,,,,,,,,13.01B,,,,,,,,897.20M,,,,,897.20M,,13.01B,,13.01B,,0.81,0.00,,,0.81,0.81,,0.76,0.00,,,0.76,0.76,,1.101B,1.101B,,,,
