,NetIncome,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,NetPreferredEquityIssued(Purchased),TotalPreferredDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2018-03,,,,,,,,,,,,,,193.00M,,-60.00M,0.00,-60.00M,-9.00M,-103.00M,-1.00M,-173.00M,,-532.00M,674.00M,142.00M,38.00M,,38.00M,,,,,-50.00M,,130.00M,,1.017B,150.00M,1.00M,1.168B,,38.00M,1.06B,-918.00M,,,AOR,Restated
2017-12,,,,,,,,,,,,,,684.00M,,-79.00M,,-79.00M,-168.00M,-42.00M,,-289.00M,,0.00,-70.00M,-70.00M,6.00M,,6.00M,,,,,-1.00M,-3.00M,-68.00M,,690.00M,326.00M,1.00M,1.017B,,6.00M,-70.00M,0.00,,,AOR,Restated
2017-09,,,,,,,,,,,,,,452.00M,,-60.00M,,-60.00M,0.00,-42.00M,,-102.00M,,-400.00M,240.00M,-160.00M,35.00M,,35.00M,,,,,-2.00M,-12.00M,-139.00M,,476.00M,213.00M,1.00M,690.00M,,35.00M,240.00M,-400.00M,,,AOR,Restated
2017-06,,,,,,,,,,,,,,297.00M,,-68.00M,,-68.00M,-392.00M,-19.00M,,-479.00M,,-691.00M,1.013B,322.00M,11.00M,,11.00M,,,,,-1.00M,0.00,332.00M,,327.00M,148.00M,1.00M,476.00M,,11.00M,2.153B,-1.831B,,,AOR,Restated
2017-03,,,,,,,,,,,,,,-7.00M,,-112.00M,,-112.00M,0.00,-28.00M,,-140.00M,,31.00M,0.00,31.00M,33.00M,,33.00M,,,,,-61.00M,-18.00M,-15.00M,,487.00M,-161.00M,1.00M,327.00M,,33.00M,1.016B,-985.00M,,,AOR,Restated
2016-12,,,,,,,,,,,,,,676.00M,,-167.00M,0.00,-167.00M,-338.00M,-27.00M,,-532.00M,,60.00M,0.00,60.00M,3.00M,,3.00M,,,,,-5.00M,-30.00M,28.00M,,237.00M,172.00M,-3.00M,487.00M,,3.00M,300.00M,-240.00M,,,AOR,Restated
2016-09,,,,,,,,,,,,,,-31.00M,,-71.00M,0.00,-71.00M,-70.00M,-64.00M,,-205.00M,,0.00,0.00,0.00,35.00M,,35.00M,,,,,-1.00M,0.00,34.00M,,438.00M,-202.00M,1.00M,237.00M,,35.00M,290.00M,-290.00M,,,AOR,Restated
2016-06,,,,,,,,,,,,,,421.00M,,-78.00M,-1.00M,-79.00M,0.00,-23.00M,,-102.00M,,-250.00M,0.00,-250.00M,46.00M,,46.00M,,,,,1.00M,-14.00M,-217.00M,,338.00M,102.00M,-2.00M,438.00M,,46.00M,0.00,-250.00M,,,AOR,Restated
2016-03,,,,,,,,,,,,,,116.00M,,-60.00M,30.00M,-30.00M,,-18.00M,,-48.00M,,0.00,,0.00,27.00M,,27.00M,,,,,-57.00M,-21.00M,-51.00M,,319.00M,17.00M,2.00M,338.00M,,27.00M,40.00M,-40.00M,,,AOR,Restated
2015-12,,,,,,,,,,,,,,420.00M,,-85.00M,,-85.00M,-92.00M,6.00M,1.00M,-170.00M,,-195.00M,,-195.00M,17.00M,,17.00M,,,,,-4.00M,-55.00M,-237.00M,,350.00M,13.00M,1.00M,400.00M,,17.00M,-45.00M,-150.00M,,,AOR,Restated
2015-09,,,,,,,,,,,,,,408.00M,,-70.00M,0.00,-70.00M,-1.579B,-69.00M,-1.00M,-1.719B,,749.00M,,749.00M,27.00M,,27.00M,,,,,0.00,-15.00M,761.00M,,903.00M,-550.00M,-3.00M,350.00M,,27.00M,919.00M,-170.00M,,,AOR,Restated
2015-06,,,,,,,,,,,,,,60.00M,,-46.00M,0.00,-46.00M,-63.00M,-140.00M,3.00M,-246.00M,,831.00M,,831.00M,16.00M,,16.00M,,,,,-1.00M,0.00,846.00M,,242.00M,660.00M,1.00M,903.00M,,16.00M,2.226B,-1.395B,,,AOR,Restated
2015-03,,,,,,,,,,,,,,-197.00M,,-46.00M,0.00,-46.00M,,-2.00M,-3.00M,-51.00M,,0.00,,0.00,54.00M,,54.00M,,,,,-61.00M,-87.00M,-94.00M,,587.00M,-342.00M,-3.00M,242.00M,,54.00M,0.00,0.00,,,AOR,Restated
2014-12,,,,,,,,,,,,,,440.00M,,-79.00M,,-79.00M,1.00M,-17.00M,12.00M,-83.00M,,0.00,,0.00,8.00M,0.00,8.00M,,,,,-3.00M,-19.00M,-14.00M,,246.00M,343.00M,-2.00M,587.00M,,8.00M,0.00,0.00,0.00,,AOR,Restated
2014-09,,,,,,,,,,,,,,346.00M,,-56.00M,,-56.00M,-415.00M,0.00,-2.00M,-473.00M,,0.00,,0.00,19.00M,0.00,19.00M,,,,,-1.00M,0.00,18.00M,,357.00M,-109.00M,-2.00M,246.00M,,19.00M,160.00M,-160.00M,0.00,,AOR,Restated
2014-06,,,,,,,,,,,,,,285.00M,,-65.00M,,-65.00M,-64.00M,15.00M,-10.00M,-124.00M,,0.00,,0.00,9.00M,0.00,9.00M,,,,,0.00,-3.00M,6.00M,,191.00M,167.00M,-1.00M,357.00M,,9.00M,365.00M,-365.00M,0.00,,AOR,Restated
2014-03,,,,,,,,,,,,,,198.00M,,-59.00M,,-59.00M,4.00M,-10.00M,,-65.00M,,0.00,,0.00,24.00M,-125.00M,-101.00M,,,,,-47.00M,-12.00M,-160.00M,,217.00M,-27.00M,1.00M,191.00M,,24.00M,285.00M,-285.00M,-125.00M,,AOR,Restated
2013-12,,,,,,,,,,,,,,275.00M,,-84.00M,0.00,-84.00M,-274.00M,-13.00M,8.00M,-363.00M,,0.00,,0.00,15.00M,-225.00M,-210.00M,,,,,-2.00M,-53.00M,-265.00M,,571.00M,-353.00M,-1.00M,217.00M,,15.00M,100.00M,-100.00M,-225.00M,,AOR,Restated
2013-09,,,,,,,,,,,,,,251.00M,,-57.00M,0.00,-57.00M,0.00,-11.00M,-5.00M,-73.00M,,-10.00M,,-10.00M,40.00M,-75.00M,-35.00M,,,,,-1.00M,-92.00M,-138.00M,,530.00M,40.00M,1.00M,571.00M,,40.00M,1.44B,-1.45B,-75.00M,,AOR,Restated
2013-06,,,,,,,,,,,,,,397.00M,,-51.00M,0.00,-51.00M,30.00M,-4.00M,-3.00M,-28.00M,,0.00,,0.00,9.00M,-100.00M,-91.00M,,,,,-1.00M,-15.00M,-107.00M,,268.00M,262.00M,0.00,530.00M,,9.00M,0.00,0.00,-100.00M,,AOR,Restated
2013-03,,,,,,,,,,,,,,187.00M,,-53.00M,53.00M,0.00,0.00,-11.00M,,-11.00M,,0.00,,0.00,10.00M,-100.00M,-90.00M,,,,,-24.00M,,-114.00M,,207.00M,62.00M,-1.00M,268.00M,,10.00M,240.00M,-240.00M,-100.00M,,AOR,Restated
2012-12,,,,,,,,,,,,,,389.00M,,-62.00M,16.00M,-46.00M,-232.00M,5.00M,,-273.00M,,-1.00M,,-1.00M,1.00M,-100.00M,-99.00M,,,,,,-142.00M,-262.00M,,352.00M,-146.00M,1.00M,207.00M,,1.00M,120.00M,-121.00M,-100.00M,,AOR,Restated
2012-09,,,,,,,,,,,,,,272.00M,,-46.00M,0.00,-46.00M,10.00M,-17.00M,,-53.00M,,0.00,,0.00,11.00M,-250.00M,-239.00M,,,,,,0.00,-239.00M,,371.00M,-20.00M,1.00M,352.00M,,11.00M,0.00,0.00,-250.00M,,AOR,Restated
2012-06,,,,,,,,,,,,,,407.00M,,-52.00M,0.00,-52.00M,-134.00M,-1.00M,,-187.00M,,-18.00M,,-18.00M,0.00,-112.00M,-112.00M,,,,,,-1.00M,-131.00M,,284.00M,89.00M,-2.00M,371.00M,,0.00,131.00M,-149.00M,-112.00M,,AOR,Restated
2012-03,,,,,,,,,,,,,,212.00M,,-66.00M,0.00,-66.00M,,0.00,,-66.00M,,0.00,,0.00,9.00M,-138.00M,-129.00M,,,,,,-3.00M,-132.00M,,267.00M,14.00M,3.00M,284.00M,,9.00M,120.00M,-120.00M,-138.00M,,AOR,Restated
2011-12,,,,,128.00M,846.00M,,,,,,,,349.00M,,-83.00M,,-67.00M,24.00M,-8.00M,,-51.00M,,0.00,,0.00,-1.00M,-300.00M,-301.00M,,,,,,,-308.00M,,276.00M,-10.00M,1.00M,267.00M,,-1.00M,140.00M,-140.00M,-300.00M,,AOR,Restated
2011-09,,,,,,,,,,,,,,366.00M,,-69.00M,,-69.00M,9.00M,1.00M,,-59.00M,,0.00,0.00,0.00,13.00M,-192.00M,-179.00M,,,,,,,-179.00M,,154.00M,128.00M,-6.00M,276.00M,,13.00M,175.00M,-175.00M,-192.00M,,AOR,Restated
2011-06,,,,,-32.00M,129.00M,,,,,,,,390.00M,,-83.00M,,-83.00M,0.00,1.00M,,-82.00M,,-750.00M,0.00,-750.00M,0.00,,0.00,,,,,,,-750.00M,,595.00M,-442.00M,1.00M,154.00M,,0.00,0.00,-750.00M,,,AOR,Restated
2011-03,,,,,32.00M,-129.00M,,,,,,,,-97.00M,,-69.00M,,-69.00M,1.037B,,,968.00M,,-500.00M,0.00,-500.00M,9.00M,,9.00M,,,,,,,-491.00M,,213.00M,380.00M,2.00M,595.00M,,9.00M,250.00M,-750.00M,,,AOR,Restated
2010-12,,,,,,,,,,,,,,449.00M,,-63.00M,,-58.00M,-190.00M,-3.00M,,-251.00M,,-600.00M,,-600.00M,3.00M,,3.00M,,,,,,,-609.00M,,624.00M,-411.00M,,213.00M,,3.00M,0.00,-600.00M,,,AOR,Restated
2010-09,,,,,,,,,,,,,,-126.00M,,-78.00M,,-78.00M,-1.00M,0.00,,-79.00M,,0.00,0.00,0.00,14.00M,,14.00M,,,,,,,14.00M,,811.00M,-191.00M,4.00M,624.00M,,14.00M,0.00,0.00,,,AOR,
2010-06,,,,,,,,,,,,,,286.00M,,-61.00M,,-61.00M,-4.00M,1.00M,,-64.00M,,73.00M,0.00,73.00M,0.00,,0.00,,,,,,,73.00M,,519.00M,295.00M,-3.00M,811.00M,,0.00,973.00M,-900.00M,,,AOR,Restated
2010-03,,,,,,,,,,,,,,-284.00M,,-70.00M,,-70.00M,-4.00M,,,-74.00M,,0.00,,0.00,14.00M,,14.00M,,,,,,,14.00M,,864.00M,-344.00M,-1.00M,519.00M,,14.00M,200.00M,-200.00M,,,AOR,Restated
2009-12,,,,,,,,,,,,,,-329.00M,,-137.00M,,-82.00M,35.00M,37.00M,,-60.00M,,-128.00M,,-128.00M,1.00M,,1.00M,,,,,,,-127.00M,,1.381B,-516.00M,-1.00M,864.00M,,1.00M,1.972B,-2.10B,,,AOR,Restated
2009-09,,,,,,,,,,,,,,484.00M,,-91.00M,,-91.00M,-6.00M,4.00M,,-93.00M,,-225.00M,,-225.00M,19.00M,,19.00M,,,,,,,-206.00M,,1.194B,185.00M,2.00M,1.381B,,19.00M,0.00,-225.00M,,,AOR,Restated
2009-06,,,,,,,,,,,,,,419.00M,,-74.00M,,-74.00M,-49.00M,0.00,,-123.00M,,0.00,,0.00,1.00M,,1.00M,,,,,,,1.00M,,897.00M,297.00M,,1.194B,,1.00M,0.00,0.00,,,AOR,Restated
2009-03,,,,,,,,,,,,,,261.00M,,-60.00M,,-60.00M,-507.00M,50.00M,,-517.00M,,-500.00M,,-500.00M,12.00M,,12.00M,,,,,,,-488.00M,,1.641B,-744.00M,0.00,897.00M,,12.00M,0.00,-500.00M,,,AOR,Restated
2008-12,-2.036B,,,,,,,,,,,-8.00M,-77.00M,54.00M,,-210.00M,,-152.00M,21.00M,39.00M,,-148.00M,,0.00,,0.00,3.00M,,3.00M,,,,,,0.00,3.00M,,1.734B,-91.00M,-2.00M,1.641B,,3.00M,,0.00,,,AOR,Restated
2008-09,-420.00M,,,,,,,,,,,-104.00M,-104.00M,638.00M,,-72.00M,,-72.00M,-28.00M,74.00M,,-26.00M,,-1.425B,,-513.00M,20.00M,,20.00M,,,,,,0.00,-493.00M,,1.616B,119.00M,-1.00M,1.734B,,20.00M,,-1.425B,,,,Restated
2008-06,98.00M,,,,,,,,,,,160.00M,160.00M,258.00M,,-79.00M,,-79.00M,-48.00M,5.00M,,-122.00M,,,,-287.00M,22.00M,,22.00M,,,,,,4.00M,-261.00M,,1.739B,-125.00M,2.00M,1.616B,,22.00M,,,,,,
2008-03,322.00M,,,,,,,,,,,-56.00M,-56.00M,266.00M,,-57.00M,,-57.00M,646.00M,31.00M,,620.00M,,,,-625.00M,26.00M,,26.00M,,,,,,,-599.00M,,1.452B,287.00M,,1.739B,,26.00M,,,,,,
2007-12,-458.00M,,,,,,,,,,,-641.00M,-616.00M,308.00M,,-118.00M,,-88.00M,-91.00M,-102.00M,243.00M,-38.00M,,,,0.00,2.00M,,-58.00M,,,,,,,-56.00M,,1.237B,214.00M,1.00M,1.452B,,2.00M,,,,,,Restated
2007-09,-272.00M,,,,,,,,,,,746.00M,746.00M,474.00M,,-59.00M,,-59.00M,-69.00M,143.00M,-49.00M,-34.00M,,,,-750.00M,32.00M,,32.00M,,,,,,,-718.00M,,1.514B,-278.00M,1.00M,1.237B,,32.00M,,,,,,
2007-06,115.00M,,,,,,,,,,,96.00M,96.00M,211.00M,,-90.00M,,-90.00M,-13.00M,-55.00M,56.00M,-102.00M,,,,-4.00M,67.00M,,67.00M,,,,,,,63.00M,,1.34B,172.00M,2.00M,1.514B,,67.00M,,,,,,
2007-03,120.00M,,,,,,,,,,,-179.00M,-179.00M,-59.00M,,-96.00M,,-96.00M,-211.00M,14.00M,-7.00M,-300.00M,,,,,31.00M,,31.00M,,,,,,,31.00M,,1.668B,-328.00M,,1.34B,,31.00M,,,,,,
2006-12,277.00M,,,,,,,,,,,-5.334B,-5.011B,365.00M,,-128.00M,,-110.00M,-137.00M,-8.00M,,-255.00M,,,,0.00,8.00M,,8.00M,,,,,,,14.00M,,1.541B,124.00M,3.00M,1.668B,,8.00M,,,,,,
2006-09,76.00M,,,,,,,,,,,405.00M,405.00M,481.00M,,-84.00M,,-84.00M,-18.00M,-21.00M,,-123.00M,,,,-4.00M,29.00M,,29.00M,,,,,,,25.00M,,1.157B,383.00M,1.00M,1.541B,,29.00M,,,,,,
2006-06,-4.262B,,,,,,,,,,,4.697B,4.697B,435.00M,,-85.00M,,-85.00M,-8.718B,716.00M,,-8.087B,,,,6.242B,1.481B,,1.481B,,,,,,,7.723B,,1.083B,71.00M,3.00M,1.157B,,1.481B,,,,,,
2006-03,332.00M,,,,,,,,,,,232.00M,232.00M,564.00M,,-44.00M,,-44.00M,-210.00M,-593.00M,,-847.00M,,,,650.00M,27.00M,,27.00M,,,,,,,677.00M,,689.00M,394.00M,,1.083B,,27.00M,,,,,,
2005-12,334.00M,,,,,,,,,,,-99.00M,-466.00M,510.00M,,-91.00M,,-72.00M,-8.00M,144.00M,-156.00M,-92.00M,,,,-492.00M,17.00M,0.00,17.00M,,,,,,,-476.00M,,745.00M,-58.00M,2.00M,689.00M,,17.00M,,,0.00,,,
2005-09,-269.00M,,,,,,,,,,,-18.00M,-18.00M,-287.00M,,-62.00M,,-62.00M,-29.00M,-165.00M,141.00M,-115.00M,,,,493.00M,24.00M,-68.00M,-44.00M,,,,,,,449.00M,,698.00M,47.00M,0.00,745.00M,,24.00M,,,-68.00M,,,
2005-06,205.00M,,,,,,,,,,,34.00M,34.00M,239.00M,,-89.00M,,-89.00M,-154.00M,-38.00M,-141.00M,-422.00M,,,,466.00M,21.00M,-429.00M,-408.00M,,,,,,,58.00M,,827.00M,-125.00M,-4.00M,698.00M,,21.00M,,,-429.00M,,,
2005-03,358.00M,,,,,,,,,,,83.00M,83.00M,441.00M,,-99.00M,,-99.00M,-20.00M,197.00M,,78.00M,,,,-780.00M,32.00M,-237.00M,-205.00M,,,,,,,-985.00M,,1.296B,-466.00M,-3.00M,827.00M,,32.00M,,,-237.00M,,,
2004-12,297.00M,,,,,,,,,,,-382.00M,-209.00M,657.00M,,-73.00M,,-73.00M,0.00,313.00M,-183.00M,57.00M,,,,-182.00M,17.00M,,-343.00M,,,,,,,-528.00M,,1.105B,186.00M,5.00M,1.296B,,17.00M,,,,,,
2004-09,258.00M,,,,,,,,,,,315.00M,315.00M,573.00M,,-66.00M,,-66.00M,81.00M,-370.00M,-83.00M,-438.00M,,,,-61.00M,31.00M,,31.00M,,,,,,,-30.00M,,1.00B,105.00M,0.00,1.105B,,31.00M,,,,,,
2004-06,313.00M,,,,,,,,,,,219.00M,219.00M,532.00M,,-53.00M,,-53.00M,-817.00M,-134.00M,-90.00M,-1.094B,,,,869.00M,79.00M,,79.00M,,,,,,,948.00M,,615.00M,386.00M,-1.00M,1.00B,,79.00M,,,,,,
2004-03,194.00M,,,,,,,,,,,-152.00M,-152.00M,42.00M,,-82.00M,,-82.00M,-68.00M,3.00M,,-147.00M,,,,-49.00M,98.00M,,98.00M,,,,,,,49.00M,,671.00M,-56.00M,,615.00M,,98.00M,,,,,,
2003-12,137.00M,,,,,,,,,,,-218.00M,-241.00M,234.00M,,-71.00M,,-70.00M,252.00M,-47.00M,-364.00M,-229.00M,,,,86.00M,76.00M,0.00,76.00M,,,,,,,166.00M,,498.00M,171.00M,2.00M,671.00M,,76.00M,,,0.00,,,
2003-09,124.00M,,,,,,,,,,,75.00M,75.00M,199.00M,,-43.00M,,-43.00M,-10.00M,-121.00M,30.00M,-144.00M,,,,316.00M,58.00M,-326.00M,-268.00M,,,,,,,48.00M,,410.00M,103.00M,2.00M,498.00M,,58.00M,,,-326.00M,,,
2003-06,114.00M,,,,,,,,,,,131.00M,131.00M,245.00M,,-39.00M,,-39.00M,-197.00M,,27.00M,-209.00M,,,,75.00M,58.00M,-55.00M,3.00M,,,,,,,78.00M,,294.00M,114.00M,2.00M,410.00M,,58.00M,,,-55.00M,,,
2003-03,97.00M,,,,,,,,,,,12.00M,12.00M,109.00M,,-35.00M,,-35.00M,-58.00M,,-196.00M,-289.00M,,,,316.00M,68.00M,-189.00M,-121.00M,,,,,,,195.00M,,277.00M,15.00M,2.00M,294.00M,,68.00M,,,-189.00M,,,
2002-12,105.00M,,,,,,,,,,,-272.00M,-308.00M,196.00M,,-25.00M,,-23.00M,124.00M,11.00M,-202.00M,-90.00M,,,,-154.00M,64.00M,,64.00M,,,,,,,-89.00M,,259.00M,17.00M,1.00M,277.00M,,64.00M,,,,,,
2002-09,161.00M,,,,,,,,,,,161.00M,161.00M,322.00M,,-25.00M,,-25.00M,-123.00M,6.00M,,-142.00M,,,,-82.00M,17.00M,,17.00M,,,,,,,-65.00M,,144.00M,115.00M,0.00,259.00M,,17.00M,,,,,,
2002-06,25.00M,,,,,,,,,,,134.00M,134.00M,159.00M,,-23.00M,,-23.00M,-125.00M,14.00M,-9.00M,-143.00M,,,,-88.00M,12.00M,,12.00M,,,,,,,-76.00M,,201.00M,-60.00M,3.00M,144.00M,,12.00M,,,,,,
2002-03,82.00M,,,,,,,,,,,-23.00M,-23.00M,59.00M,,-39.00M,,-39.00M,-63.00M,,9.00M,-93.00M,,,,41.00M,14.00M,,14.00M,,,,,,,55.00M,,180.00M,21.00M,,201.00M,,14.00M,,,,,,
2001-12,65.00M,,232.00M,232.00M,,12.00M,,,,,,-447.00M,-434.00M,162.00M,,-27.00M,,-22.00M,-91.00M,0.00,,-113.00M,,,,14.00M,14.00M,,14.00M,,,,,,5.00M,33.00M,,99.00M,82.00M,-1.00M,180.00M,,14.00M,,,,,,
2001-09,58.00M,-75.00M,-75.00M,-75.00M,,,,,,,,131.00M,131.00M,114.00M,,-27.00M,,-27.00M,-175.00M,12.00M,30.00M,-160.00M,,,,82.00M,10.00M,,10.00M,,,,,,-3.00M,89.00M,,55.00M,43.00M,1.00M,99.00M,,10.00M,,,,,,
2001-06,-172.00M,75.00M,75.00M,75.00M,,-96.00M,,,,,,316.00M,316.00M,123.00M,,-38.00M,,-38.00M,-334.00M,8.00M,-15.00M,-379.00M,,,,221.00M,11.00M,,11.00M,,,,,,-5.00M,227.00M,,84.00M,-29.00M,0.00,55.00M,,11.00M,,,,,,
2001-03,-5.00M,,,,,96.00M,,,,,,,,91.00M,,-29.00M,,-29.00M,-104.00M,,-15.00M,-148.00M,,,,78.00M,7.00M,,7.00M,,,,,,3.00M,88.00M,,54.00M,31.00M,-1.00M,84.00M,,7.00M,,,,,,
2000-12,60.00M,,112.00M,112.00M,,,,,,,,-180.00M,-2.00M,177.00M,,-25.00M,,-21.00M,,0.00,-25.00M,-46.00M,,,,-26.00M,1.00M,-87.00M,-86.00M,,,,,,-10.00M,-122.00M,,45.00M,9.00M,0.00,54.00M,,1.00M,,,-87.00M,,,
2000-09,85.00M,,23.00M,23.00M,,,,,,,,70.00M,70.00M,178.00M,,-18.00M,,-18.00M,,0.00,16.00M,-2.00M,,,,-149.00M,11.00M,-36.00M,-25.00M,,,,,,0.00,-174.00M,,44.00M,2.00M,-1.00M,45.00M,,11.00M,,,-36.00M,,,
2000-06,122.00M,,23.00M,23.00M,,,,,,,,92.00M,92.00M,237.00M,,-17.00M,,-17.00M,,15.00M,-45.00M,-47.00M,,,,-174.00M,8.00M,-42.00M,-34.00M,,,,,,7.00M,-201.00M,,56.00M,-11.00M,-1.00M,44.00M,,8.00M,,,-42.00M,,,
2000-03,106.00M,,23.00M,23.00M,,,,,,,,18.00M,18.00M,147.00M,,-16.00M,,-16.00M,,,4.00M,-12.00M,,,,-98.00M,9.00M,-57.00M,-48.00M,,,,,,5.00M,-141.00M,,64.00M,-6.00M,-2.00M,56.00M,,9.00M,,,-57.00M,,,
1999-12,107.00M,,178.00M,178.00M,,,,,,,,-346.00M,-137.00M,166.00M,,-23.00M,,-2.00M,0.00,0.00,2.00M,0.00,,,,-45.00M,3.00M,,-124.00M,,,,,,0.00,-169.00M,,72.00M,-3.00M,-5.00M,64.00M,,3.00M,,,,,,
1999-09,55.00M,,-46.00M,-46.00M,,,,,,,,278.00M,278.00M,287.00M,,-15.00M,,-15.00M,0.00,5.00M,-3.00M,-13.00M,,,,-251.00M,-22.00M,,-22.00M,,,,,,0.00,-273.00M,,69.00M,1.00M,2.00M,72.00M,,-22.00M,,,,,,
1999-06,109.00M,,23.00M,23.00M,,,,,,,,54.00M,54.00M,186.00M,,-15.00M,,-15.00M,-128.00M,,-4.00M,-147.00M,,,,-725.00M,644.00M,,644.00M,,,,,,-1.00M,-82.00M,,110.00M,-43.00M,2.00M,69.00M,,644.00M,,,,,,
1999-03,100.00M,,23.00M,23.00M,,,,,,,,14.00M,14.00M,137.00M,,-27.00M,,-27.00M,,,2.00M,-25.00M,,,,-99.00M,30.00M,,30.00M,,,,,,,-69.00M,,70.00M,43.00M,-3.00M,110.00M,,30.00M,,,,,,
