,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,CashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,CashfromInvesting,,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,,EndingCash(Quarterly),BeginningCash,ChangeinCash,EndingCash,,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,SECFilingLinks,AsOriginallyReported,Restated
2018-03,1.171B,,,,,,,168.90M,168.90M,53.10M,,0.00,43.40M,,36.10M,-134.00M,2.60M,-121.80M,,,237.60M,1.457B,,2018-03,-204.70M,,-194.70M,-10.00M,-600.00M,2.150B,1.347B,,2018-03,,,,,-250.00M,-250.00M,,-21.20M,2.60M,,2018-03,1.574B,2.535B,4.108B,,2018-03,,,,-250.00M,2018-03,AOR,Restated
2017-12,-166.30M,,,,,,,209.00M,209.00M,131.40M,,,30.60M,,97.90M,-441.80M,75.80M,277.10M,,,1.384B,1.518B,,2017-12,-295.60M,,-230.60M,-65.00M,-300.00M,-168.00M,-769.50M,,2017-12,-557.70M,,-557.70M,,0.00,0.00,,10.70M,-161.10M,,2017-12,1.548B,40.70M,1.574B,,2017-12,,,-557.70M,0.00,2017-12,AOR,Restated
2017-09,1.226B,,,,,,,177.40M,177.40M,-19.20M,,,30.10M,,53.40M,75.40M,-85.00M,-52.20M,,,222.30M,1.628B,,2017-09,-279.20M,,-229.10M,-50.10M,-300.00M,-669.80M,-1.247B,,2017-09,-3.20M,,-3.20M,,0.00,0.00,,7.10M,-23.40M,,2017-09,1.170B,361.90M,1.548B,,2017-09,,,-3.20M,0.00,2017-09,AOR,Restated
2017-06,862.80M,,,,,,,182.60M,182.60M,-96.60M,,,30.30M,,175.40M,-105.50M,-39.10M,231.90M,,,-72.60M,1.169B,,2017-06,-322.80M,,-197.70M,-125.10M,-300.00M,420.90M,-202.50M,,2017-06,,,,,-781.80M,-781.80M,,7.70M,23.10M,,2017-06,924.00M,215.70M,1.170B,,2017-06,,,,-781.80M,2017-06,AOR,Restated
2017-03,747.50M,,,,,,,512.00M,512.00M,76.10M,,,37.00M,,18.10M,-195.70M,-46.20M,-684.20M,,,-229.40M,235.20M,,2017-03,-1.065B,,-210.00M,-855.20M,-300.00M,627.60M,-744.20M,,2017-03,,,,,-583.60M,-583.60M,,-25.50M,-292.30M,,2017-03,2.326B,-1.410B,924.00M,,2017-03,,,,-583.60M,2017-03,AOR,Restated
2016-12,647.90M,,,,,,,177.40M,177.40M,-118.20M,,,37.00M,,58.50M,10.60M,-10.50M,797.80M,,,-147.20M,1.582B,,2016-12,-183.30M,,-182.10M,-1.20M,-300.00M,-88.40M,-581.70M,,2016-12,0.00,,0.00,,-651.10M,-651.10M,,3.90M,-79.30M,,2016-12,2.085B,273.70M,2.326B,,2016-12,,,0.00,-651.10M,2016-12,AOR,Restated
2016-09,1.030B,,,,,,,180.20M,180.20M,-26.60M,,,33.70M,,16.40M,-173.10M,-26.80M,-59.10M,,,16.40M,991.30M,,2016-09,-280.70M,,-170.30M,-110.40M,-300.00M,563.80M,36.20M,,2016-09,-2.70M,,-2.70M,,-348.90M,-348.90M,,9.50M,36.80M,,2016-09,1.362B,722.20M,2.085B,,2016-09,,,-2.70M,-348.90M,2016-09,AOR,Restated
2016-06,1.048B,,,,,,,175.40M,175.40M,-39.10M,,,38.80M,,40.80M,95.00M,-39.70M,20.30M,,,-341.70M,998.20M,,2016-06,-108.20M,,-136.80M,28.60M,-300.00M,-276.40M,-736.10M,,2016-06,,,,,0.00,0.00,,7.70M,-23.50M,,2016-06,1.131B,246.30M,1.362B,,2016-06,,,,0.00,2016-06,AOR,Restated
2016-03,969.20M,,,,,,,149.70M,149.70M,8.90M,,,45.30M,,-11.90M,-160.00M,-88.60M,-136.70M,,,239.90M,1.016B,,2016-03,-155.50M,,-126.90M,-28.60M,-300.00M,-733.30M,-1.203B,,2016-03,,,,,0.00,0.00,,-29.60M,24.60M,,2016-03,1.308B,-192.40M,1.131B,,2016-03,,,,0.00,2016-03,AOR,Restated
2015-12,828.70M,,,,,,,156.30M,156.30M,40.20M,,,29.90M,,128.80M,61.50M,-24.00M,373.80M,,,-307.70M,1.244B,,2015-12,-195.20M,,-186.10M,-9.10M,-300.00M,-1.295B,-1.808B,,2015-12,-0.40M,,-0.40M,,-2.002B,-2.002B,,-116.40M,-83.10M,,2015-12,4.089B,-2.766B,1.308B,,2015-12,,-0.40M,0.00,-2.002B,2015-12,AOR,Restated
2015-09,1.020B,,,,,,,151.60M,151.60M,-95.20M,,,37.80M,,37.40M,-24.70M,-69.10M,-106.60M,,,-55.30M,895.40M,,2015-09,-235.50M,,-229.20M,-6.30M,-300.00M,-437.20M,-990.00M,,2015-09,5.929B,,5.929B,,-2.956B,-2.956B,,10.80M,-76.00M,,2015-09,1.282B,2.813B,4.089B,,2015-09,,5.931B,-2.10M,-2.956B,2015-09,AOR,Restated
2015-06,924.80M,,,,,,,144.60M,144.60M,-107.30M,,,41.60M,,27.10M,89.40M,-59.80M,-16.40M,,,3.30M,1.047B,,2015-06,-129.90M,,-129.90M,,0.00,-1.120B,-1.253B,,2015-06,,,,,-42.20M,-42.20M,,9.10M,29.50M,,2015-06,1.478B,-209.60M,1.282B,,2015-06,,,,-42.20M,2015-06,AOR,Restated
2015-03,820.20M,,,,,,,147.90M,147.90M,16.70M,,,52.10M,,-32.90M,-128.30M,-21.50M,-51.50M,,,-69.70M,733.00M,,2015-03,-97.80M,,-97.80M,,-448.80M,50.60M,-502.80M,,2015-03,,,,,,,,25.60M,55.20M,,2015-03,1.205B,311.00M,1.478B,,2015-03,,,,,2015-03,AOR,Restated
2014-12,882.62M,,,,,,,157.59M,157.59M,-78.93M,,,35.79M,,45.41M,-246.04M,-66.01M,225.02M,,,17.40M,932.85M,,2014-12,-135.15M,,-106.95M,,-200.00M,-68.49M,-378.30M,,2014-12,-0.026M,,-0.026M,,-526.82M,-526.82M,,9.94M,3.613M,,2014-12,1.186B,41.25M,1.205B,,2014-12,,0.00,-0.026M,-526.82M,2014-12,AOR,Restated
2014-09,856.12M,,,,,,,175.41M,175.41M,-82.77M,,,35.65M,,-31.50M,-108.10M,-47.20M,18.47M,,,97.95M,914.03M,,2014-09,-62.55M,,-62.55M,,-150.00M,-325.63M,-540.56M,,2014-09,-2.674M,,-2.674M,,-23.08M,-23.08M,,11.48M,-20.86M,,2014-09,863.20M,338.35M,1.186B,,2014-09,,0.00,-2.674M,-23.08M,2014-09,AOR,Restated
2014-06,723.13M,,,,,,,164.14M,164.14M,-66.95M,,,37.52M,,7.263M,8.724M,-55.71M,190.82M,,,-18.35M,990.59M,,2014-06,-64.00M,,-64.00M,,0.00,-561.38M,-630.13M,,2014-06,,,,,-336.90M,-336.90M,,11.11M,3.431M,,2014-06,828.60M,38.11M,863.20M,,2014-06,,,,-336.90M,2014-06,AOR,Restated
2014-03,479.73M,,,,,,,190.96M,190.96M,-79.56M,,,46.34M,,-71.48M,-197.68M,-16.98M,-190.01M,,,-56.70M,104.63M,,2014-03,-54.31M,,-54.31M,,-25.00M,91.30M,5.993M,,2014-03,,,,,,,,22.36M,92.51M,,2014-03,602.56M,225.49M,828.60M,,2014-03,,,,,2014-03,AOR,Restated
2013-12,457.26M,,,,,,,158.34M,158.34M,-78.91M,,,31.45M,,8.977M,108.86M,-61.09M,330.11M,,,74.23M,869.03M,,2013-12,-78.65M,,-78.67M,0.019M,-15.00M,-639.61M,-710.01M,,2013-12,-0.06M,,-0.06M,,0.008M,0.008M,,10.43M,0.828M,,2013-12,427.81M,170.23M,602.60M,,2013-12,,0.00,-0.06M,0.008M,2013-12,AOR,Restated
2013-09,487.62M,,,,,,,147.48M,147.48M,-48.14M,,,37.46M,,5.918M,-34.17M,-53.64M,126.76M,,,2.638M,671.92M,,2013-09,-80.19M,,-80.19M,0.00,0.00,-235.12M,-324.39M,,2013-09,0.00,,0.00,,-359.28M,-359.28M,,17.36M,23.40M,,2013-09,392.51M,29.01M,427.81M,,2013-09,,,0.00,-359.28M,2013-09,AOR,Restated
2013-06,490.67M,,,,,,,128.43M,128.43M,-51.52M,,,30.63M,,-9.053M,-110.14M,-68.36M,164.94M,,,49.62M,625.21M,,2013-06,-3.317B,,-54.15M,-3.263B,0.00,-382.09M,-726.24M,,2013-06,-202.34M,,-202.34M,,0.00,0.00,,17.18M,14.39M,,2013-06,663.30M,-271.79M,392.51M,,2013-06,,-200.00M,-2.34M,0.00,2013-06,AOR,Restated
2013-03,426.75M,,,,,,,97.45M,97.45M,-66.52M,,,36.76M,,-33.44M,-75.55M,-60.81M,-180.91M,,,35.21M,178.94M,,2013-03,-33.29M,,-33.29M,,0.00,3.169B,155.94M,,2013-03,-250.00M,,-250.00M,,-41.02M,-41.02M,,21.82M,30.78M,,2013-03,570.72M,96.46M,663.30M,,2013-03,,200.00M,-450.00M,-41.02M,2013-03,AOR,Restated
2012-12,292.13M,,,,,,,96.88M,96.88M,-30.04M,,,30.19M,,22.78M,-14.92M,-57.89M,273.37M,,,-77.24M,507.91M,,2012-12,-69.04M,,-69.04M,0.00,0.00,-305.91M,-375.45M,,2012-12,-2.428M,,-2.428M,,-21.54M,-21.54M,,9.215M,-0.767M,,2012-12,451.72M,116.93M,570.72M,,2012-12,,,-2.428M,-21.54M,2012-12,AOR,Restated
2012-09,398.40M,,,,,,,94.20M,94.20M,-43.03M,,,27.91M,,27.11M,29.24M,-38.06M,,,,46.00M,541.78M,,2012-09,-58.06M,,-58.06M,0.00,0.00,-448.96M,-522.39M,,2012-09,0.00,,0.00,,-53.22M,-53.22M,,15.20M,9.773M,,2012-09,456.81M,-8.856M,451.72M,,2012-09,,,0.00,-53.22M,2012-09,AOR,Restated
2012-06,387.14M,,,,,,,90.62M,90.62M,-39.96M,,,28.07M,,8.003M,78.31M,-25.34M,82.03M,,,26.69M,635.58M,,2012-06,-72.90M,,-72.90M,0.00,0.00,22.66M,-53.12M,,2012-06,0.00,,0.00,,-446.78M,-446.78M,,19.00M,10.34M,,2012-06,298.14M,165.02M,456.81M,,2012-06,,,0.00,-446.78M,2012-06,AOR,Restated
2012-03,302.37M,,,,,,,83.94M,83.94M,-3.876M,,,32.40M,,-29.07M,-89.07M,-19.03M,-82.03M,,,-1.009M,194.62M,,2012-03,-54.55M,,-54.55M,,-72.40M,147.34M,0.618M,,2012-03,0.00,,0.00,,-463.17M,-463.17M,,24.08M,22.83M,,2012-03,514.54M,-221.02M,298.14M,,2012-03,,0.00,0.00,-463.17M,2012-03,AOR,Restated
2011-12,300.21M,,,,,,,88.72M,88.72M,37.88M,,,26.38M,,35.65M,-56.04M,-23.45M,90.46M,,,17.41M,473.97M,,2011-12,-70.44M,,-70.44M,,-5.00M,-305.36M,-389.53M,,2011-12,,,,-299.47M,-111.40M,-410.87M,,,-35.13M,,2011-12,575.14M,-58.37M,514.54M,,2011-12,-299.47M,,,-111.40M,2011-12,AOR,Restated
2011-09,353.66M,,,,,,,87.37M,87.37M,67.07M,,,29.23M,,11.29M,37.58M,-35.77M,10.75M,,,9.345M,570.52M,,2011-09,-51.35M,,-51.35M,,0.00,-506.19M,-587.18M,,2011-09,,,,13.58M,0.00,13.58M,,,-112.71M,,2011-09,697.53M,-115.78M,575.14M,,2011-09,13.58M,,,0.00,2011-09,AOR,Restated
2011-06,304.05M,,,,,,,90.30M,90.30M,-23.35M,,,24.28M,,-7.096M,35.80M,,81.58M,,,-75.90M,429.67M,,2011-06,-54.09M,,-54.09M,,0.00,-488.08M,-546.79M,,2011-06,,,,194.73M,-191.29M,3.44M,,,18.47M,,2011-06,790.68M,-95.22M,697.53M,,2011-06,194.73M,,,-191.29M,2011-06,AOR,Restated
2011-03,308.77M,,,,,,,92.54M,92.54M,71.97M,,,33.12M,,-19.69M,-90.71M,,-149.06M,,,6.638M,253.58M,,2011-03,-32.14M,,-32.14M,,0.00,-120.65M,-126.80M,,2011-03,,,,91.16M,-195.29M,-104.13M,,,4.30M,,2011-03,759.60M,26.95M,790.68M,,2011-03,91.16M,,,-195.29M,2011-03,AOR,Restated
2010-12,271.75M,,-1.748M,16.11M,,14.36M,,95.66M,95.66M,-20.17M,-7.511M,,33.23M,-6.852M,-0.709M,-27.35M,-20.84M,113.50M,-12.58M,,-1.437M,431.06M,,2010-12,-48.84M,,-48.84M,0.00,-32.50M,-432.80M,-518.62M,,2010-12,-18.07M,16.18M,-1.891M,-80.45M,0.00,-80.45M,,,124.78M,,2010-12,626.76M,138.36M,759.60M,,2010-12,-80.45M,,-1.891M,0.00,2010-12,,Restated
2010-09,112.18M,,1.748M,-4.813M,,-3.065M,,90.13M,90.13M,-30.93M,-3.566M,,39.22M,-0.686M,235.58M,-77.59M,-5.136M,0.253M,56.35M,,15.49M,428.24M,,2010-09,-38.96M,0.00,-38.96M,0.00,-84.95M,54.16M,-69.75M,,2010-09,14.14M,-16.18M,-2.04M,17.25M,-468.24M,-450.99M,,,-8.228M,,2010-09,720.96M,-102.77M,626.76M,,2010-09,17.25M,,-2.04M,-468.24M,2010-09,AOR,Restated
2010-06,294.65M,,,-6.315M,,-6.315M,,87.45M,87.45M,-38.36M,4.485M,,44.36M,-1.219M,2.876M,8.685M,9.183M,61.94M,-56.35M,,17.10M,428.48M,,2010-06,-47.05M,,-47.05M,0.00,0.00,731.02M,683.96M,,2010-06,-12.13M,,-12.13M,10.38M,-1.032B,-1.021B,,,7.384M,,2010-06,639.56M,86.32M,720.96M,,2010-06,10.38M,,-12.13M,-1.032B,2010-06,AOR,Restated
2010-03,219.99M,,,-4.985M,,-4.985M,,82.51M,82.51M,8.042M,18.40M,,51.01M,-4.379M,43.96M,-31.64M,12.26M,-44.81M,,,-13.46M,336.90M,,2010-03,-38.21M,,-38.21M,0.00,-39.98M,327.92M,249.74M,,2010-03,-2.011M,,-2.011M,52.82M,-577.58M,-524.76M,,,3.313M,,2010-03,581.89M,63.17M,639.56M,,2010-03,52.82M,,-2.011M,-577.58M,2010-03,AOR,Restated
2009-12,306.00M,,0.00,-6.789M,,-6.789M,,93.20M,93.20M,-64.77M,23.24M,,41.00M,-0.242M,-8.462M,-4.737M,-17.58M,-11.21M,,,-70.31M,279.34M,,2009-12,-55.52M,,-55.52M,,0.00,444.21M,382.62M,,2009-12,,,,14.57M,-693.54M,-678.96M,,,10.80M,,2009-12,585.79M,-4.795M,581.89M,,2009-12,14.57M,,,-693.54M,2009-12,AOR,
2009-09,279.60M,,0.00,-1.751M,,-1.751M,,85.88M,85.88M,-29.81M,-0.136M,,41.01M,-0.394M,-3.313M,-27.45M,-10.84M,-60.68M,,,-5.866M,266.26M,,2009-09,-38.41M,,-38.41M,,0.00,-436.53M,-474.43M,,2009-09,,,,8.849M,0.00,8.849M,,,-2.466M,,2009-09,786.80M,-201.79M,585.79M,,2009-09,8.849M,,,0.00,2009-09,AOR,Restated
2009-06,144.88M,,0.00,-11.12M,,-11.12M,,126.73M,126.73M,-35.80M,3.981M,,41.00M,-0.518M,4.909M,-43.45M,-1.633M,142.96M,,,-143.40M,228.55M,,2009-06,-34.68M,,-34.68M,,0.00,-182.40M,-211.51M,,2009-06,,,,7.344M,0.00,7.344M,,,-4.193M,,2009-06,764.10M,20.19M,786.80M,,2009-06,7.344M,,,0.00,2009-06,AOR,Restated
2009-03,246.58M,,,-4.313M,,-4.313M,,122.15M,122.15M,-6.973M,6.021M,,37.89M,-2.282M,-1.026M,-11.68M,-12.72M,-120.01M,,,47.11M,300.75M,,2009-03,-37.04M,,-37.04M,,0.00,-84.66M,-91.71M,,2009-03,,,,17.04M,-57.63M,-40.59M,,,-26.34M,,2009-03,622.38M,142.12M,764.10M,,2009-03,17.04M,,,-57.63M,2009-03,AOR,Restated
2008-12,208.43M,,,-2.696M,,-11.94M,,122.02M,122.02M,-81.96M,30.14M,,41.87M,-0.566M,67.60M,27.39M,-19.83M,362.96M,,,-338.87M,407.24M,,2008-12,-53.99M,-0.016M,-54.01M,,0.00,-559.89M,-465.76M,,2008-12,,0.00,0.00,11.45M,-179.17M,-167.72M,,,-164.08M,,2008-12,1.011B,-390.30M,622.38M,,2008-12,11.45M,0.00,0.00,-179.17M,2008-12,AOR,Restated
2008-09,207.80M,,,9.702M,,9.702M,,127.57M,127.57M,-42.83M,16.05M,,36.69M,-8.976M,-10.80M,-21.36M,-6.189M,54.02M,,,150.51M,512.19M,,2008-09,-64.87M,0.016M,-64.85M,,0.00,-3.43M,-99.47M,,2008-09,,0.00,0.00,77.50M,0.00,77.50M,,,57.33M,,2008-09,466.49M,547.55M,1.011B,,2008-09,77.50M,0.00,0.00,0.00,2008-09,AOR,Restated
2008-06,373.88M,,,-0.661M,,-0.661M,,105.54M,105.54M,-21.94M,15.45M,,33.12M,-10.82M,-165.24M,-56.26M,-21.84M,90.29M,,,-65.50M,276.02M,,2008-06,-71.06M,,-71.06M,,0.00,-156.91M,-250.22M,,2008-06,,-1.512B,-1.512B,61.22M,-319.55M,-258.33M,,,1.521B,,2008-06,688.50M,-224.33M,466.49M,,2008-06,61.22M,0.104M,-1.512B,-319.55M,2008-06,AOR,Restated
2008-03,,,,-5.267M,,-5.267M,,106.93M,106.93M,7.183M,,,34.53M,-7.626M,212.23M,-47.58M,-6.344M,11.12M,,,61.81M,366.98M,,2008-03,-86.03M,,-86.03M,,-25.00M,477.09M,449.58M,,2008-03,,986.88M,986.88M,28.31M,-240.22M,-211.91M,,,-1.562B,,2008-03,659.66M,29.03M,688.50M,,2008-03,28.31M,986.88M,,-240.22M,2008-03,AOR,Restated
2007-12,-437.02M,,,0.935M,,0.935M,,102.26M,102.26M,-41.19M,-26.10M,,31.92M,-38.27M,690.00M,-18.39M,-12.33M,-18.75M,,,112.79M,345.86M,,2007-12,-108.36M,-0.143M,-108.50M,,-3.50M,-296.43M,-616.64M,,2007-12,0.00,0.617M,0.617M,241.74M,-0.001M,241.74M,,,251.29M,,2007-12,437.33M,222.88M,659.66M,,2007-12,241.74M,0.617M,0.00,-0.001M,2007-12,AOR,Restated
2007-09,119.38M,,,-10.67M,,-10.67M,,96.76M,96.76M,-22.19M,5.398M,,31.79M,-21.56M,53.51M,-15.53M,-18.78M,50.70M,,,-58.37M,210.43M,,2007-09,-58.57M,16.81M,-41.76M,,-50.00M,25.11M,-66.65M,,2007-09,0.00,1.496B,1.496B,165.69M,-2.991B,-2.825B,,,11.99M,,2007-09,1.612B,-1.174B,437.33M,,2007-09,165.69M,1.504B,-8.339M,-2.991B,2007-09,AOR,Restated
2007-06,186.14M,,,-7.244M,,-7.244M,,92.46M,92.46M,-23.19M,11.17M,,29.86M,-4.647M,1.047M,-45.07M,-28.89M,-12.98M,,,3.363M,202.02M,,2007-06,-79.85M,,-79.85M,,0.00,643.94M,564.09M,,2007-06,-6.563M,8.133M,1.57M,58.84M,0.00,58.84M,,,4.002M,,2007-06,780.94M,830.52M,1.612B,,2007-06,58.84M,8.133M,-6.563M,0.00,2007-06,AOR,Restated
2007-03,131.50M,,,0.245M,,0.245M,,88.82M,88.82M,5.015M,9.177M,,29.56M,-5.193M,18.84M,10.31M,-23.19M,13.49M,,,-16.25M,262.33M,,2007-03,-37.33M,,-37.33M,,-42.29M,-87.76M,-167.38M,,2007-03,,-3.703M,-3.703M,22.91M,0.00,22.91M,,,5.196M,,2007-03,661.38M,119.35M,780.94M,,2007-03,22.91M,0.00,-3.703M,0.00,2007-03,AOR,Restated
2006-12,-108.96M,,-330.52M,-3.589M,,-306.06M,,87.22M,87.22M,-26.56M,-16.71M,,24.72M,-19.39M,580.51M,-29.55M,-13.66M,91.65M,,,-21.42M,241.80M,,2006-12,-64.47M,98.07M,33.60M,,-59.80M,-37.48M,-63.68M,,2006-12,0.00,-10.23M,-10.23M,60.12M,0.00,60.12M,,,18.67M,,2006-12,414.59M,246.70M,661.38M,,2006-12,60.12M,2.39M,-12.62M,0.00,2006-12,AOR,Restated
2006-09,156.60M,,330.52M,0.662M,,331.18M,,89.73M,89.73M,-33.68M,1.316M,,36.43M,-2.052M,-323.77M,9.579M,-4.316M,2.26M,,,-3.447M,259.84M,,2006-09,-54.12M,0.085M,-54.03M,,0.00,175.52M,121.49M,,2006-09,-15.23M,15.30M,0.073M,12.35M,-319.90M,-307.55M,,,-3.79M,,2006-09,345.10M,70.06M,414.59M,,2006-09,12.35M,0.073M,0.00,-319.90M,2006-09,AOR,Restated
2006-06,-170.61M,,,0.954M,,-32.94M,,75.69M,75.69M,-19.57M,9.985M,,42.00M,4.954M,330.59M,-35.28M,-7.152M,-23.64M,,,9.337M,183.37M,,2006-06,-14.09M,2.006M,-12.09M,,-303.45M,-69.84M,-385.37M,,2006-06,10.79M,0.00,10.79M,18.13M,-0.366M,17.76M,,,-17.92M,,2006-06,535.86M,-191.37M,345.10M,,2006-06,18.13M,10.79M,0.00,-0.366M,2006-06,AOR,Restated
