,NetIncome,Gain/LossonSaleBusiness,Gain(Loss)onInvestmentSecurities,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2018-04,-393.00M,0.00,,-16.00M,-16.00M,105.00M,105.00M,-86.00M,619.00M,16.00M,81.00M,95.00M,-34.00M,-59.00M,36.00M,,,,38.00M,,364.00M,-91.00M,,-91.00M,-6.091B,,-1.00M,-6.183B,6.173B,-145.00M,6.028B,,0.00,0.00,-105.00M,-105.00M,-96.00M,5.827B,196.00M,8.00M,-5.00M,195.00M,,8.959B,-2.931B,0.00
2018-01,285.00M,,,-16.00M,-16.00M,79.00M,79.00M,-95.00M,75.00M,18.00M,18.00M,54.00M,189.00M,-41.00M,-94.00M,,,,108.00M,,472.00M,-74.00M,,-74.00M,-682.00M,,-6.00M,-762.00M,-16.00M,439.00M,423.00M,,0.00,0.00,-105.00M,-105.00M,-1.00M,317.00M,163.00M,27.00M,6.00M,196.00M,,2.996B,-2.573B,0.00
2017-10,275.00M,,,-16.00M,-16.00M,82.00M,82.00M,41.00M,0.00,14.00M,-36.00M,-167.00M,-105.00M,16.00M,84.00M,,,,-172.00M,,188.00M,-58.00M,,-58.00M,0.00,,-5.00M,-63.00M,,-60.00M,-60.00M,,-86.00M,-86.00M,-111.00M,-111.00M,-22.00M,-279.00M,319.00M,-154.00M,-2.00M,163.00M,,2.056B,-2.116B,-86.00M
2017-07,318.00M,,,-223.00M,-223.00M,84.00M,84.00M,82.00M,0.00,12.00M,14.00M,27.00M,-98.00M,-7.00M,68.00M,,,,-10.00M,,277.00M,-143.00M,,-143.00M,0.00,,-16.00M,-159.00M,-203.00M,311.00M,108.00M,0.00,-132.00M,-132.00M,-106.00M,-106.00M,2.00M,-128.00M,313.00M,-10.00M,16.00M,37.00M,0.00,8.458B,-8.416B,-132.00M
2017-04,176.00M,,,-12.00M,-12.00M,80.00M,80.00M,11.00M,0.00,16.00M,-23.00M,96.00M,27.00M,-11.00M,-16.00M,,,,96.00M,,344.00M,-76.00M,,-76.00M,0.00,,-1.00M,-77.00M,-15.00M,-68.00M,-83.00M,0.00,-71.00M,-71.00M,-107.00M,-107.00M,-1.00M,-262.00M,309.00M,5.00M,-1.00M,313.00M,0.00,0.00,-15.00M,-71.00M
2017-01,101.00M,,,-12.00M,-12.00M,77.00M,77.00M,-19.00M,212.00M,18.00M,1.00M,123.00M,144.00M,-3.00M,-196.00M,,,,68.00M,,446.00M,-71.00M,,-71.00M,0.00,,-9.00M,-80.00M,-34.00M,-84.00M,-118.00M,2.00M,-122.00M,-120.00M,-107.00M,-107.00M,0.00,-345.00M,290.00M,21.00M,-2.00M,309.00M,2.00M,,-34.00M,-122.00M
2016-10,292.00M,,,-11.00M,-11.00M,77.00M,77.00M,19.00M,,14.00M,-15.00M,-218.00M,-27.00M,-6.00M,96.00M,,,,-155.00M,,221.00M,-48.00M,,-48.00M,,,-4.00M,-52.00M,-27.00M,86.00M,59.00M,,-112.00M,-112.00M,-100.00M,-100.00M,-20.00M,-173.00M,296.00M,-4.00M,-2.00M,290.00M,,,-27.00M,-112.00M
2016-07,-81.00M,,,150.00M,150.00M,80.00M,80.00M,-34.00M,141.00M,14.00M,28.00M,19.00M,-113.00M,2.00M,74.00M,,,,-18.00M,,280.00M,-116.00M,0.00,-116.00M,,,-4.00M,-120.00M,215.00M,-337.00M,-122.00M,0.00,-25.00M,-25.00M,-96.00M,-96.00M,0.00,-243.00M,383.00M,-83.00M,-4.00M,296.00M,0.00,,-8.923B,-25.00M
2016-04,185.00M,,,58.00M,58.00M,76.00M,76.00M,18.00M,0.00,16.00M,-23.00M,135.00M,39.00M,9.00M,-56.00M,,,,127.00M,,457.00M,-72.00M,1.00M,-71.00M,,,-24.00M,-95.00M,0.00,-173.00M,-173.00M,0.00,-32.00M,-32.00M,-97.00M,-97.00M,-1.00M,-303.00M,306.00M,59.00M,18.00M,383.00M,0.00,,0.00,-32.00M
2016-01,265.00M,,,-24.00M,-24.00M,78.00M,78.00M,21.00M,0.00,21.00M,3.00M,54.00M,189.00M,4.00M,-101.00M,,,,146.00M,,510.00M,-82.00M,2.00M,-80.00M,,,9.00M,-71.00M,0.00,-241.00M,-241.00M,1.00M,-54.00M,-53.00M,-97.00M,-97.00M,0.00,-391.00M,263.00M,48.00M,-5.00M,306.00M,1.00M,,0.00,-54.00M
2015-10,194.00M,,,133.00M,133.00M,74.00M,74.00M,-35.00M,,13.00M,13.00M,-184.00M,-56.00M,-6.00M,98.00M,,,,-148.00M,,244.00M,-71.00M,2.00M,-69.00M,,,1.00M,-68.00M,0.00,-11.00M,-11.00M,1.00M,-32.00M,-31.00M,-100.00M,-100.00M,-20.00M,-162.00M,253.00M,14.00M,-4.00M,263.00M,1.00M,,0.00,-32.00M
2015-07,17.00M,,,109.00M,109.00M,80.00M,80.00M,-77.00M,,11.00M,84.00M,-7.00M,-127.00M,-1.00M,140.00M,,,,5.00M,,235.00M,-138.00M,6.00M,-132.00M,,,1.00M,-363.00M,-9.00M,333.00M,324.00M,0.00,-52.00M,-52.00M,-97.00M,-97.00M,-14.00M,161.00M,230.00M,33.00M,-10.00M,253.00M,0.00,,-309.00M,-52.00M
2015-04,179.00M,,,21.00M,21.00M,74.00M,74.00M,10.00M,,15.00M,-12.00M,144.00M,36.00M,14.00M,-94.00M,,,,100.00M,,387.00M,-99.00M,1.00M,-98.00M,,,1.00M,-97.00M,300.00M,-404.00M,-104.00M,1.00M,-59.00M,-58.00M,-98.00M,-98.00M,-3.00M,-263.00M,201.00M,27.00M,2.00M,230.00M,1.00M,,300.00M,-59.00M
2015-01,222.00M,,,-6.00M,-6.00M,74.00M,74.00M,9.00M,,18.00M,7.00M,50.00M,168.00M,2.00M,-148.00M,,,,72.00M,,396.00M,-81.00M,2.00M,-79.00M,,,0.00,-79.00M,0.00,-181.00M,-181.00M,2.00M,-60.00M,-58.00M,-98.00M,-98.00M,0.00,-337.00M,239.00M,-20.00M,-18.00M,201.00M,2.00M,,0.00,-60.00M
2014-10,248.00M,,,-6.00M,-6.00M,75.00M,75.00M,9.00M,,13.00M,-8.00M,-175.00M,-95.00M,-5.00M,132.00M,,,,-143.00M,,188.00M,-62.00M,6.00M,-56.00M,,,-8.00M,-64.00M,-300.00M,352.00M,52.00M,6.00M,-73.00M,-67.00M,-101.00M,-101.00M,5.00M,-111.00M,232.00M,13.00M,-6.00M,239.00M,6.00M,,-300.00M,-73.00M
2014-07,183.00M,0.00,,,58.00M,83.00M,83.00M,18.00M,,11.00M,-70.00M,17.00M,-184.00M,3.00M,17.00M,,,,-147.00M,,136.00M,-149.00M,3.00M,-146.00M,0.00,,1.00M,-145.00M,-402.00M,511.00M,109.00M,4.00M,0.00,4.00M,-98.00M,-98.00M,2.00M,17.00M,222.00M,8.00M,2.00M,232.00M,4.00M,,-402.00M,0.00
2014-04,183.00M,0.00,,,0.00,74.00M,74.00M,7.00M,,9.00M,42.00M,122.00M,39.00M,-8.00M,-68.00M,,,,85.00M,,400.00M,-71.00M,-1.00M,-72.00M,-14.00M,,0.00,-86.00M,0.00,-299.00M,-299.00M,7.00M,0.00,7.00M,-98.00M,-98.00M,1.00M,-389.00M,293.00M,-75.00M,4.00M,222.00M,7.00M,0.00,0.00,0.00
2014-01,318.00M,-141.00M,,,-141.00M,74.00M,74.00M,-30.00M,,16.00M,15.00M,9.00M,175.00M,8.00M,-119.00M,,,,73.00M,,325.00M,-75.00M,20.00M,-55.00M,534.00M,,-1.00M,478.00M,0.00,-645.00M,-645.00M,3.00M,-74.00M,-71.00M,-98.00M,-98.00M,0.00,-814.00M,305.00M,-11.00M,-15.00M,293.00M,3.00M,,0.00,-74.00M
2013-10,171.00M,,,,,74.00M,74.00M,43.00M,,21.00M,-27.00M,-186.00M,-110.00M,-25.00M,77.00M,,,,-244.00M,,38.00M,-52.00M,0.00,-52.00M,-329.00M,,,-381.00M,-300.00M,641.00M,341.00M,4.00M,-2.00M,2.00M,-97.00M,-97.00M,15.00M,261.00M,333.00M,-82.00M,0.00,305.00M,4.00M,,-300.00M,-2.00M
2013-07,-160.00M,0.00,,,0.00,89.00M,89.00M,-161.00M,,31.00M,45.00M,-8.00M,-94.00M,4.00M,13.00M,,,,-85.00M,,155.00M,-131.00M,1.00M,-130.00M,-248.00M,,-2.00M,-380.00M,0.00,212.00M,212.00M,5.00M,-14.00M,-9.00M,-1.00M,-1.00M,4.00M,206.00M,453.00M,-19.00M,-33.00M,333.00M,5.00M,0.00,0.00,-14.00M
2013-04,179.00M,0.00,,,0.00,99.00M,99.00M,3.00M,,31.00M,29.00M,118.00M,-6.00M,-1.00M,-87.00M,,,,24.00M,,365.00M,-95.00M,1.00M,-94.00M,9.00M,,-4.00M,-89.00M,0.00,-183.00M,-183.00M,28.00M,-76.00M,-48.00M,0.00,0.00,5.00M,-226.00M,410.00M,50.00M,-7.00M,453.00M,28.00M,0.00,0.00,-76.00M
2013-01,187.00M,0.00,,,0.00,121.00M,121.00M,-11.00M,,26.00M,38.00M,100.00M,79.00M,16.00M,-138.00M,,,,57.00M,,418.00M,-69.00M,0.00,-69.00M,0.00,,-2.00M,-71.00M,-400.00M,385.00M,-15.00M,30.00M,-46.00M,-16.00M,-274.00M,-274.00M,4.00M,-301.00M,361.00M,46.00M,3.00M,410.00M,30.00M,0.00,-400.00M,-46.00M
2012-10,243.00M,,,,,98.00M,98.00M,-2.00M,,25.00M,-29.00M,-258.00M,-125.00M,-14.00M,143.00M,,,,-254.00M,,81.00M,-41.00M,3.00M,-38.00M,-1.567B,,-9.00M,-1.614B,1.25B,411.00M,1.661B,20.00M,-17.00M,3.00M,-92.00M,-92.00M,-14.00M,1.558B,335.00M,25.00M,1.00M,361.00M,20.00M,1.25B,0.00,-17.00M
2012-07,125.00M,,,,0.00,73.00M,73.00M,-19.00M,,17.00M,11.00M,5.00M,-48.00M,-3.00M,121.00M,,,,75.00M,,282.00M,-150.00M,0.00,-150.00M,0.00,,-7.00M,-157.00M,0.00,45.00M,45.00M,18.00M,-140.00M,-122.00M,-92.00M,-92.00M,4.00M,-165.00M,383.00M,-40.00M,-8.00M,335.00M,18.00M,0.00,0.00,-140.00M
2012-04,175.00M,,,,,65.00M,65.00M,18.00M,,17.00M,-11.00M,117.00M,74.00M,0.00,-95.00M,,,,96.00M,,360.00M,-76.00M,0.00,-76.00M,0.00,,5.00M,-71.00M,0.00,-111.00M,-111.00M,71.00M,-99.00M,-28.00M,-93.00M,-93.00M,6.00M,-226.00M,322.00M,63.00M,-2.00M,383.00M,71.00M,0.00,0.00,-99.00M
2012-01,201.00M,,,59.00M,59.00M,61.00M,61.00M,19.00M,,23.00M,-37.00M,98.00M,137.00M,15.00M,-171.00M,,,,79.00M,,405.00M,-62.00M,1.00M,-61.00M,0.00,,0.00,-61.00M,0.00,-126.00M,-126.00M,7.00M,-88.00M,-81.00M,-93.00M,-93.00M,,-300.00M,285.00M,44.00M,-7.00M,322.00M,7.00M,0.00,0.00,-88.00M
2011-10,263.00M,,,-59.00M,-59.00M,63.00M,63.00M,27.00M,,22.00M,15.00M,-238.00M,-131.00M,-15.00M,126.00M,,,,-258.00M,,73.00M,-35.00M,0.00,-35.00M,0.00,,1.00M,-34.00M,0.00,-65.00M,-65.00M,16.00M,-85.00M,-69.00M,-95.00M,-95.00M,,-229.00M,484.00M,-190.00M,-9.00M,285.00M,16.00M,0.00,,-85.00M
2011-07,98.00M,,,140.00M,140.00M,74.00M,74.00M,-20.00M,,18.00M,-60.00M,43.00M,-130.00M,-6.00M,127.00M,,,,34.00M,,284.00M,-139.00M,0.00,-139.00M,,,1.00M,-138.00M,-700.00M,671.00M,-29.00M,42.00M,-32.00M,10.00M,-94.00M,-94.00M,4.00M,-109.00M,449.00M,37.00M,-2.00M,484.00M,42.00M,-524.00M,0.00,-32.00M
2011-04,186.00M,,,-5.00M,-5.00M,65.00M,65.00M,-11.00M,,23.00M,3.00M,128.00M,84.00M,16.00M,-114.00M,,,,114.00M,,375.00M,-59.00M,0.00,-59.00M,,,1.00M,-58.00M,500.00M,-527.00M,-27.00M,16.00M,-123.00M,-107.00M,-96.00M,-96.00M,5.00M,-225.00M,325.00M,92.00M,32.00M,449.00M,16.00M,1.024B,-700.00M,-123.00M
2011-01,239.00M,,,-4.00M,-4.00M,64.00M,64.00M,47.00M,,25.00M,18.00M,94.00M,133.00M,17.00M,-121.00M,,,,123.00M,,512.00M,-47.00M,2.00M,-45.00M,,,,-45.00M,,57.00M,57.00M,16.00M,-417.00M,-401.00M,-94.00M,-94.00M,3.00M,-435.00M,291.00M,32.00M,2.00M,325.00M,16.00M,,,-417.00M
2010-10,279.00M,,,-131.00M,-131.00M,65.00M,65.00M,30.00M,,21.00M,14.00M,-280.00M,-101.00M,-8.00M,82.00M,,,,-307.00M,,-29.00M,-27.00M,7.00M,-20.00M,,,,-20.00M,,294.00M,294.00M,22.00M,-156.00M,-134.00M,-94.00M,-94.00M,3.00M,69.00M,254.00M,20.00M,17.00M,291.00M,22.00M,,,-156.00M
2010-07,113.00M,,,281.00M,281.00M,66.00M,66.00M,10.00M,,20.00M,-305.00M,27.00M,-88.00M,-17.00M,91.00M,,,,13.00M,,198.00M,-138.00M,8.00M,-130.00M,,,-1.00M,-131.00M,400.00M,-104.00M,296.00M,64.00M,-157.00M,-93.00M,-95.00M,-95.00M,1.00M,109.00M,80.00M,176.00M,-2.00M,254.00M,64.00M,400.00M,161.00M,-157.00M
2010-04,168.00M,,,-9.00M,-9.00M,63.00M,63.00M,-14.00M,,23.00M,10.00M,141.00M,67.00M,8.00M,-94.00M,,,,122.00M,,363.00M,-74.00M,0.00,-74.00M,,,1.00M,-73.00M,0.00,-169.00M,-169.00M,39.00M,-102.00M,-63.00M,-95.00M,-95.00M,2.00M,-325.00M,113.00M,-35.00M,2.00M,80.00M,39.00M,0.00,-161.00M,-102.00M
2010-01,259.00M,,,-4.00M,-4.00M,62.00M,62.00M,10.00M,,25.00M,8.00M,106.00M,133.00M,6.00M,-73.00M,,,,172.00M,,532.00M,-59.00M,5.00M,-54.00M,,,1.00M,-53.00M,,-261.00M,-261.00M,23.00M,-119.00M,-96.00M,-87.00M,-87.00M,3.00M,-441.00M,76.00M,38.00M,-1.00M,113.00M,23.00M,,,-119.00M
2009-10,304.00M,,,-268.00M,-268.00M,60.00M,60.00M,48.00M,,20.00M,24.00M,-253.00M,-7.00M,-6.00M,42.00M,,,,-224.00M,,-36.00M,-44.00M,,-44.00M,,,1.00M,-43.00M,,269.00M,269.00M,13.00M,-94.00M,-81.00M,-88.00M,-88.00M,1.00M,101.00M,51.00M,22.00M,3.00M,76.00M,13.00M,,,-94.00M
2009-07,69.00M,,,,,69.00M,69.00M,7.00M,,21.00M,5.00M,17.00M,-81.00M,9.00M,177.00M,,,,122.00M,,360.00M,-169.00M,0.00,-169.00M,-66.00M,,0.00,-235.00M,300.00M,-239.00M,61.00M,3.00M,-118.00M,-115.00M,-89.00M,-89.00M,-2.00M,-145.00M,61.00M,-20.00M,10.00M,51.00M,3.00M,300.00M,0.00,-118.00M
2009-04,174.00M,,,,,62.00M,62.00M,84.00M,,19.00M,-13.00M,154.00M,44.00M,-3.00M,-133.00M,,,,62.00M,,388.00M,-78.00M,1.00M,-77.00M,0.00,,-4.00M,-81.00M,0.00,-128.00M,-128.00M,0.00,-114.00M,-114.00M,-90.00M,-90.00M,0.00,-332.00M,80.00M,-25.00M,6.00M,61.00M,0.00,0.00,0.00,-114.00M
2009-01,233.00M,,,,,67.00M,67.00M,24.00M,,19.00M,-12.00M,116.00M,141.00M,11.00M,-166.00M,,,,102.00M,,433.00M,-63.00M,0.00,-63.00M,6.00M,,-2.00M,-59.00M,300.00M,-389.00M,-89.00M,7.00M,-181.00M,-174.00M,-91.00M,-91.00M,-2.00M,-356.00M,63.00M,18.00M,-1.00M,80.00M,7.00M,300.00M,0.00,-181.00M
2008-10,260.00M,,,,,66.00M,66.00M,29.00M,,25.00M,-25.00M,-260.00M,-118.00M,11.00M,-3.00M,,,,-370.00M,,-15.00M,-35.00M,,-35.00M,32.00M,,,-3.00M,-300.00M,436.00M,136.00M,62.00M,-114.00M,-52.00M,-80.00M,-80.00M,15.00M,19.00M,81.00M,1.00M,-19.00M,63.00M,62.00M,,-300.00M,-114.00M
2008-07,89.00M,0.00,,,0.00,86.00M,86.00M,83.00M,,20.00M,-71.00M,15.00M,-172.00M,-8.00M,150.00M,,,,-15.00M,,192.00M,-144.00M,1.00M,-143.00M,-1.00M,,0.00,-144.00M,-131.00M,632.00M,501.00M,17.00M,-468.00M,-451.00M,-83.00M,-83.00M,2.00M,-31.00M,50.00M,17.00M,0.00,81.00M,17.00M,,-131.00M,-468.00M
2008-04,532.00M,-698.00M,,,-681.00M,70.00M,70.00M,-75.00M,,68.00M,76.00M,173.00M,78.00M,-32.00M,-77.00M,,,,142.00M,,132.00M,-64.00M,0.00,-64.00M,820.00M,,5.00M,761.00M,-50.00M,-574.00M,-644.00M,11.00M,-232.00M,-221.00M,-246.00M,-84.00M,2.00M,-947.00M,95.00M,-54.00M,5.00M,50.00M,11.00M,,-50.00M,-232.00M
2008-01,274.00M,,,,9.00M,70.00M,70.00M,14.00M,,,8.00M,18.00M,127.00M,32.00M,-184.00M,,,,-7.00M,,368.00M,-50.00M,2.00M,-48.00M,,,3.00M,-45.00M,,,-93.00M,11.00M,-125.00M,-114.00M,,-85.00M,2.00M,-290.00M,77.00M,33.00M,3.00M,95.00M,11.00M,,,-125.00M
2007-10,270.00M,,,,-26.00M,68.00M,68.00M,7.00M,,,18.00M,-259.00M,-124.00M,-14.00M,134.00M,,,,-263.00M,,74.00M,-40.00M,,-40.00M,,,-1.00M,-41.00M,,,113.00M,8.00M,-78.00M,-70.00M,,-77.00M,2.00M,-32.00M,71.00M,1.00M,5.00M,77.00M,8.00M,,,-78.00M
2007-07,61.00M,,,,176.00M,82.00M,82.00M,-14.00M,,,-229.00M,-2.00M,-91.00M,-7.00M,-8.00M,,,,-108.00M,,51.00M,-147.00M,1.00M,-146.00M,22.00M,,0.00,-124.00M,,,95.00M,16.00M,-166.00M,-150.00M,,-78.00M,0.00,-133.00M,274.00M,-206.00M,3.00M,71.00M,16.00M,,,-166.00M
2007-04,217.00M,,,,-82.00M,69.00M,69.00M,41.00M,,,-50.00M,193.00M,65.00M,10.00M,-168.00M,,,,100.00M,,295.00M,-66.00M,0.00,-66.00M,0.00,,0.00,-66.00M,,,-309.00M,68.00M,-132.00M,-64.00M,,-77.00M,14.00M,-436.00M,483.00M,-207.00M,-2.00M,274.00M,68.00M,,,-132.00M
2007-01,285.00M,,,,-37.00M,68.00M,68.00M,9.00M,,,49.00M,41.00M,129.00M,4.00M,-132.00M,,,,42.00M,,416.00M,-75.00M,22.00M,-53.00M,18.00M,,8.00M,-27.00M,,,-14.00M,44.00M,-91.00M,-47.00M,,-79.00M,6.00M,-134.00M,230.00M,255.00M,-2.00M,483.00M,44.00M,,,-91.00M
2006-10,291.00M,,,,-122.00M,64.00M,64.00M,-51.00M,,,-8.00M,-300.00M,-132.00M,-10.00M,180.00M,,,,-262.00M,,-88.00M,-46.00M,,-46.00M,866.00M,,,820.00M,,,-377.00M,37.00M,-751.00M,-714.00M,,-74.00M,5.00M,-1.16B,657.00M,-428.00M,1.00M,230.00M,37.00M,,,-751.00M
2006-07,44.00M,,,,-183.00M,77.00M,77.00M,24.00M,,,200.00M,44.00M,-129.00M,-6.00M,178.00M,,,,87.00M,,249.00M,-163.00M,1.00M,-162.00M,,,6.00M,-156.00M,,,288.00M,136.00M,-323.00M,-187.00M,,-74.00M,6.00M,33.00M,530.00M,126.00M,1.00M,657.00M,136.00M,,,-323.00M
2006-04,166.00M,,,,-6.00M,75.00M,75.00M,3.00M,,,-18.00M,147.00M,85.00M,-3.00M,-162.00M,,,41.00M,108.00M,,328.00M,-61.00M,0.00,-61.00M,,,7.00M,-54.00M,,,50.00M,62.00M,-56.00M,6.00M,,-74.00M,4.00M,-14.00M,267.00M,260.00M,3.00M,530.00M,62.00M,,,-56.00M
2006-01,254.00M,,,,49.00M,68.00M,68.00M,7.00M,,,-15.00M,71.00M,142.00M,10.00M,-55.00M,,,5.00M,173.00M,,536.00M,-47.00M,1.00M,-46.00M,,,,-46.00M,,,-87.00M,20.00M,-127.00M,-107.00M,,-74.00M,0.00,-268.00M,45.00M,222.00M,0.00,267.00M,20.00M,,,-127.00M
2005-10,302.00M,,,,-33.00M,69.00M,69.00M,-5.00M,,,,-280.00M,-100.00M,-1.00M,207.00M,,,-46.00M,-220.00M,,113.00M,-38.00M,,-38.00M,,,,-38.00M,,,-18.00M,18.00M,,18.00M,,-70.00M,1.00M,-69.00M,40.00M,6.00M,-1.00M,45.00M,18.00M,,,
2005-07,96.00M,,,,42.00M,72.00M,72.00M,24.00M,,,-120.00M,18.00M,-101.00M,-16.00M,93.00M,,53.00M,57.00M,104.00M,,218.00M,-166.00M,3.00M,-163.00M,,,0.00,-163.00M,,,39.00M,30.00M,-44.00M,-14.00M,,-70.00M,,-45.00M,32.00M,10.00M,-2.00M,40.00M,30.00M,,,-44.00M
2005-04,146.00M,,,,34.00M,71.00M,71.00M,19.00M,,,33.00M,175.00M,51.00M,1.00M,-195.00M,,-53.00M,-10.00M,-31.00M,,272.00M,-62.00M,0.00,-62.00M,,,7.00M,-55.00M,,,-120.00M,15.00M,-62.00M,-47.00M,,-70.00M,,-237.00M,51.00M,-20.00M,1.00M,32.00M,15.00M,,,-62.00M
