,OperatingRevenue,Revenue,GeneralandAdministrativeExpense,SG&AExpense,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2010-09,6.482B,6.482B,,837.00M,95.00M,-95.00M,,837.00M,95.00M,-95.00M,35.00M,-95.00M,1.371B,366.00M,1.005B,,,,,1.005B,1.005B,197.00M,1.466B,,2.14,0.00,,2.14,2.14,,2.11,0.00,,2.11,2.11,,465.90M,472.00M,0.36,,AOR,Restated
2010-06,6.179B,6.179B,,832.00M,97.00M,-97.00M,,832.00M,97.00M,-97.00M,32.00M,-97.00M,881.00M,211.00M,670.00M,,,,,670.00M,670.00M,195.00M,978.00M,,1.37,0.00,,1.37,1.37,,1.35,0.00,,1.35,1.35,,484.50M,490.80M,0.36,,AOR,Restated
2010-03,6.119B,6.119B,,847.00M,98.00M,-98.00M,,847.00M,98.00M,-98.00M,32.00M,-98.00M,857.00M,210.00M,647.00M,,,,,647.00M,647.00M,216.00M,955.00M,,1.26,0.00,,1.26,1.26,,1.25,0.00,,1.25,1.25,,508.40M,515.10M,0.33,,AOR,Restated
2009-12,6.456B,6.456B,,856.00M,98.00M,-98.00M,,856.00M,98.00M,-98.00M,39.00M,-98.00M,1.793B,508.00M,1.285B,,,,,1.285B,1.285B,195.00M,1.891B,,2.33,0.00,,2.33,2.33,,2.31,0.00,,2.31,2.31,,534.40M,541.90M,0.33,,AOR,Restated
2009-09,6.327B,6.327B,,889.00M,98.00M,-98.00M,,889.00M,98.00M,-98.00M,42.00M,-98.00M,1.25B,315.00M,935.00M,,,,,935.00M,935.00M,187.00M,1.348B,,1.66,0.00,,1.66,1.66,,1.65,0.00,,1.65,1.65,,558.40M,564.10M,0.30,,AOR,Restated
2009-06,6.162B,6.162B,,839.00M,94.00M,-94.00M,,839.00M,94.00M,-94.00M,49.00M,-94.00M,941.00M,201.00M,740.00M,,,,,740.00M,740.00M,209.00M,1.035B,,1.27,0.00,,1.27,1.27,,1.27,0.00,,1.27,1.27,,575.80M,579.80M,0.30,,AOR,Restated
2009-03,5.735B,5.735B,,782.00M,92.00M,-92.00M,,782.00M,92.00M,-92.00M,33.00M,-92.00M,727.00M,65.00M,662.00M,,,,,662.00M,662.00M,206.00M,819.00M,,1.12,0.00,,1.12,1.12,,1.11,0.00,,1.11,1.11,,584.60M,590.40M,0.30,,AOR,Restated
2008-12,5.805B,5.805B,,800.00M,94.00M,-94.00M,,800.00M,94.00M,-94.00M,32.00M,-94.00M,927.00M,126.00M,801.00M,,,,,801.00M,801.00M,194.00M,1.021B,,1.36,0.00,,1.36,1.36,,1.34,0.00,,1.34,1.34,,583.60M,589.90M,0.30,,AOR,Restated
2008-09,6.145B,6.145B,,1.001B,95.00M,-95.00M,,1.001B,95.00M,-95.00M,31.00M,-95.00M,188.00M,-26.00M,214.00M,,,,,214.00M,214.00M,213.00M,283.00M,,0.36,0.00,,0.36,0.36,,0.36,0.00,,0.36,0.36,,586.70M,594.70M,0.30,,AOR,Restated
2008-06,6.295B,6.295B,,864.00M,91.00M,-91.00M,,864.00M,91.00M,-91.00M,34.00M,-91.00M,1.287B,345.00M,942.00M,,,,,942.00M,942.00M,201.00M,1.378B,,1.56,0.00,,1.56,1.56,,1.54,0.00,,1.54,1.54,,598.20M,607.90M,0.30,,AOR,Restated
2008-03,6.232B,6.232B,,853.00M,90.00M,-90.00M,,853.00M,90.00M,-90.00M,34.00M,-90.00M,1.314B,347.00M,967.00M,,,,,967.00M,967.00M,213.00M,1.404B,,1.56,0.00,,1.56,1.56,,1.54,0.00,,1.54,1.54,,615.40M,624.80M,0.29,,AOR,Restated
2007-12,6.491B,6.491B,,866.00M,91.00M,-91.00M,,866.00M,91.00M,-91.00M,52.00M,-91.00M,1.441B,378.00M,1.063B,,,,,1.063B,1.063B,206.00M,1.532B,,1.64,0.00,,1.64,1.64,,1.63,0.00,,1.63,1.63,,631.30M,633.50M,0.29,,AOR,Restated
2007-09,6.526B,6.526B,,817.00M,94.00M,-94.00M,3.941B,4.758B,94.00M,-94.00M,33.00M,-94.00M,1.674B,476.00M,1.198B,,,,,1.198B,1.198B,197.00M,1.768B,,1.85,0.00,,1.85,1.85,,1.81,0.00,,1.81,1.81,,648.40M,661.90M,0.29,,AOR,Restated
2007-06,6.573B,6.573B,,836.00M,85.00M,-85.00M,4.011B,4.847B,85.00M,-85.00M,1.00M,-85.00M,1.641B,387.00M,1.254B,,,,,1.254B,1.254B,203.00M,1.726B,,1.90,0.00,,1.90,1.90,,1.86,0.00,,1.86,1.86,,658.60M,676.00M,0.29,,AOR,Restated
2007-03,6.427B,6.427B,,833.00M,76.00M,-76.00M,,833.00M,76.00M,-76.00M,38.00M,-76.00M,1.46B,374.00M,1.086B,,,,,1.086B,1.086B,205.00M,1.536B,,1.62,0.00,,1.62,1.62,,1.56,0.00,,1.56,1.56,,669.90M,701.20M,0.26,,AOR,Restated
2006-12,6.469B,6.469B,,929.00M,82.00M,-82.00M,,929.00M,82.00M,-82.00M,98.00M,-82.00M,1.589B,400.00M,1.189B,,,,,1.189B,1.189B,201.00M,1.671B,,1.75,0.00,,1.75,1.75,,1.68,0.00,,1.68,1.68,,679.30M,711.00M,0.26,,AOR,Restated
2006-09,6.316B,6.316B,,869.00M,88.00M,-88.00M,,869.00M,88.00M,-88.00M,36.00M,-88.00M,1.454B,411.00M,1.043B,,,,,1.043B,1.043B,213.00M,1.542B,,1.52,0.00,,1.52,1.52,,1.47,0.00,,1.47,1.47,,685.30M,714.60M,0.26,,AOR,Restated
2006-06,6.255B,6.255B,,866.00M,78.00M,-78.00M,,866.00M,78.00M,-78.00M,37.00M,-78.00M,1.344B,374.00M,970.00M,,,,,970.00M,970.00M,197.00M,1.422B,,1.40,0.00,,1.40,1.40,,1.36,0.00,,1.36,1.36,,691.80M,720.40M,0.26,,AOR,Restated
2006-03,6.05B,6.05B,,794.00M,76.00M,-76.00M,,794.00M,76.00M,-76.00M,40.00M,-76.00M,1.338B,332.00M,1.006B,,,,,1.006B,1.006B,197.00M,1.414B,,1.45,0.00,,1.45,1.45,,1.41,0.00,,1.41,1.41,,692.20M,720.80M,0.23,,AOR,Restated
2005-12,6.181B,6.181B,,838.00M,75.00M,-75.00M,,838.00M,75.00M,-75.00M,40.00M,-75.00M,197.00M,19.00M,178.00M,1.00M,,,,179.00M,178.00M,192.00M,272.00M,,0.25,0.00,,0.25,0.25,,0.25,0.00,,0.25,0.25,,688.30M,717.30M,0.23,,AOR,Restated
2005-09,6.042B,6.042B,,789.00M,70.00M,-70.00M,,789.00M,70.00M,-70.00M,45.00M,-70.00M,-8.00M,-83.00M,75.00M,87.00M,,,,162.00M,75.00M,113.00M,62.00M,,0.11,0.13,,0.11,0.24,,0.11,0.12,,0.11,0.23,,679.20M,683.80M,0.23,,AOR,Restated
2005-06,6.037B,6.037B,,789.00M,70.00M,-70.00M,,789.00M,70.00M,-70.00M,43.00M,-70.00M,1.294B,363.00M,931.00M,138.00M,,,,1.069B,931.00M,236.00M,1.364B,,1.39,0.20,,1.39,1.59,,1.33,0.19,,1.33,1.52,,669.50M,710.30M,0.23,,AOR,Restated
2005-03,6.105B,6.105B,,813.00M,71.00M,-71.00M,,813.00M,71.00M,-71.00M,50.00M,-71.00M,1.188B,311.00M,877.00M,-665.00M,,,,212.00M,877.00M,150.00M,1.259B,,1.31,-1.00,,1.31,0.31,,1.25,-1.00,,1.25,0.31,,668.10M,709.10M,0.22,,AOR,Restated
2004-12,6.228B,6.228B,,822.00M,70.00M,-70.00M,,822.00M,70.00M,-70.00M,43.00M,-70.00M,306.00M,33.00M,273.00M,32.00M,,-2.00M,,303.00M,271.00M,174.00M,376.00M,,0.41,0.05,,0.41,0.46,,0.40,0.04,,0.40,0.44,,667.10M,692.20M,0.22,,AOR,Restated
2004-09,6.129B,6.129B,,792.00M,67.00M,-67.00M,,792.00M,67.00M,-67.00M,56.00M,-67.00M,364.00M,48.00M,316.00M,29.00M,,-5.00M,,340.00M,311.00M,252.00M,431.00M,,0.46,0.05,,0.46,0.51,,0.45,0.05,,0.45,0.50,,665.90M,707.90M,0.22,,AOR,Restated
2004-06,6.06B,6.06B,,864.00M,63.00M,-63.00M,,864.00M,63.00M,-63.00M,93.00M,-63.00M,-541.00M,-239.00M,-302.00M,27.00M,,0.00,,-275.00M,-302.00M,71.00M,-478.00M,,-0.46,0.04,,-0.46,-0.42,,-0.46,0.04,,-0.46,-0.42,,664.80M,664.80M,0.22,,AOR,Restated
2004-03,4.127B,4.127B,,467.00M,36.00M,-36.00M,,467.00M,36.00M,-36.00M,39.00M,-36.00M,817.00M,227.00M,590.00M,0.00,,-3.00M,,587.00M,587.00M,25.00M,853.00M,,1.35,0.00,,1.35,1.35,,1.31,0.00,,1.31,1.31,,434.60M,453.90M,0.29,,AOR,Restated
2003-12,4.041B,4.041B,,436.00M,37.00M,-37.00M,,436.00M,37.00M,-37.00M,31.00M,-37.00M,660.00M,160.00M,500.00M,,,-11.00M,,489.00M,489.00M,30.00M,697.00M,,1.13,0.00,,1.13,1.13,,1.04,0.00,,1.04,1.04,,434.00M,503.10M,0.29,,AOR,Restated
2003-09,3.746B,3.746B,,398.00M,38.00M,-38.00M,,398.00M,38.00M,-38.00M,28.00M,-38.00M,561.00M,132.00M,429.00M,,,-3.00M,,426.00M,426.00M,36.00M,599.00M,,0.98,0.00,,0.98,0.98,,0.98,0.00,,0.98,0.98,,434.30M,436.70M,0.29,,AOR,Restated
2003-06,3.749B,3.749B,,413.00M,40.00M,-40.00M,,413.00M,40.00M,-40.00M,43.00M,-40.00M,601.00M,155.00M,446.00M,,,-5.00M,,441.00M,441.00M,8.70M,641.00M,,1.02,0.00,,1.02,1.02,,1.01,0.00,,1.01,1.01,,434.40M,436.70M,0.29,,AOR,Restated
2003-03,3.603B,3.603B,393.40M,393.40M,51.70M,-51.70M,,393.40M,51.70M,-51.70M,162.00M,-51.70M,407.30M,89.80M,340.00M,,,-22.50M,,340.00M,340.00M,10.30M,459.00M,,0.78,0.00,,0.78,0.78,,0.78,0.00,,0.78,0.78,,434.50M,434.50M,0.29,,AOR,Restated
2002-12,7.295B,7.295B,,507.00M,,,,507.00M,,,241.00M,,-187.00M,-405.00M,224.00M,,,,,-1.00M,-20.00M,-25.00M,-187.00M,,0.0485,,,0.0485,0.0485,,0.0485,,,0.0485,0.0485,,227.00M,227.00M,0.29,,AOR,Restated
2002-09,2.297B,2.297B,,324.00M,,,,324.00M,,,136.00M,,95.00M,26.00M,69.00M,-6.00M,,,,63.00M,69.00M,24.00M,95.00M,,0.29,-0.02,,0.29,0.27,,0.29,-0.02,,0.29,0.27,,221.00M,230.00M,0.29,,AOR,Restated
2002-06,2.344B,2.344B,,281.00M,,,,281.00M,,,134.00M,,-364.00M,-146.00M,-218.00M,-5.00M,,,,-223.00M,-218.00M,22.00M,-364.00M,,-1.07,-0.02,,-1.07,-1.09,,-1.07,-0.02,,-1.07,-1.09,,208.00M,208.00M,0.29,,AOR,Restated
2002-03,2.334B,2.334B,,312.00M,,,,312.00M,,,121.00M,,196.00M,48.00M,142.00M,-9.00M,,,,133.00M,142.00M,21.00M,196.00M,,0.66,-0.04,,0.66,0.62,,0.64,-0.04,,0.64,0.60,,208.00M,220.00M,0.29,,AOR,Restated
2001-12,2.494B,2.494B,,415.00M,,,,415.00M,,,119.00M,,-985.00M,-266.00M,-719.00M,-17.00M,,,,-736.00M,-719.00M,105.00M,-985.00M,,-3.42,-0.09,,-3.42,-3.51,,-3.42,-0.09,,-3.42,-3.51,,209.00M,209.00M,0.28,,AOR,Restated
2001-09,2.225B,2.225B,,250.00M,,,,250.00M,,,157.00M,,-877.00M,-282.00M,-595.00M,-64.00M,,,,-659.00M,-595.00M,26.00M,-877.00M,,-2.86,-0.30,,-2.86,-3.16,,-2.86,-0.30,,-2.86,-3.16,,209.00M,209.00M,0.28,,AOR,Restated
2001-06,2.163B,2.163B,,328.00M,,,,328.00M,,,113.00M,,133.00M,37.00M,96.00M,8.00M,,,,104.00M,96.00M,23.00M,133.00M,,0.43,0.04,,0.43,0.47,,0.41,0.04,,0.41,0.45,,214.00M,227.00M,0.28,,AOR,Restated
2001-03,2.162B,2.162B,,301.00M,,,,301.00M,,,123.00M,,298.00M,89.00M,209.00M,-7.00M,,,,202.00M,209.00M,26.00M,298.00M,,0.95,-0.04,,0.95,0.91,,0.90,-0.04,,0.90,0.87,,217.00M,230.00M,0.28,,AOR,Restated
2000-12,1.557B,1.557B,,239.00M,,,,239.00M,,,-1.642B,,1.401B,72.00M,159.00M,34.00M,,,,193.00M,159.00M,26.00M,1.401B,,0.70,0.17,,0.70,0.87,,0.67,0.16,,0.67,0.82,,220.00M,233.00M,0.27,,AOR,Restated
2000-09,2.031B,2.031B,413.00M,413.00M,,,,413.00M,,,629.00M,,0.00,101.00M,230.00M,1.00M,,,2.00M,231.00M,230.00M,30.00M,0.00,,1.04,0.00,,1.04,1.04,,0.98,0.00,,0.98,0.98,,217.00M,232.00M,0.27,,AOR,
