,NetIncome,GainandLossonSaleofPPE,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2018-03,276.00M,,,,66.00M,5.60M,71.60M,71.60M,4.20M,,,41.00M,,41.00M,91.60M,-8.20M,,23.20M,-6.50M,-58.70M,,41.40M,434.20M,-90.30M,,,0.00,,0.00,,-90.30M,,,,,-113.50M,-113.50M,-58.40M,-58.40M,27.80M,,-144.10M,1.682B,199.80M,1.881B,,,,-113.50M,69.00M,
2017-12,70.40M,,,,63.60M,5.50M,69.10M,69.10M,21.40M,,,25.80M,,25.80M,-4.10M,34.50M,,-105.40M,-20.60M,269.70M,,174.10M,360.80M,-34.20M,,,-6.00M,,0.00,,-34.20M,,,,,-217.20M,-217.20M,-59.10M,-59.10M,14.40M,,-261.90M,1.617B,64.70M,1.682B,,,,-217.20M,7.20M,
2017-09,281.30M,,,,60.40M,5.00M,65.40M,65.40M,-0.60M,,,24.20M,-5.40M,-29.90M,-57.30M,-10.50M,,79.70M,12.60M,29.20M,,53.70M,417.60M,-97.40M,,,-12.10M,0.00,0.00,,-97.40M,,,,,-103.00M,-103.00M,-58.90M,-58.90M,15.80M,-1.30M,-147.40M,1.444B,172.80M,1.617B,,,,-103.00M,31.30M,
2017-06,246.20M,,,,55.60M,7.10M,62.70M,62.70M,1.90M,,,20.60M,-7.20M,13.40M,-28.60M,-37.40M,,14.90M,8.80M,32.20M,,-10.10M,314.10M,-113.00M,,,,0.00,0.00,,-113.00M,,,,-7.20M,-132.20M,-139.40M,-51.60M,-51.60M,21.10M,5.90M,-164.00M,1.407B,37.10M,1.444B,-7.20M,,,-132.20M,49.90M,
2017-03,224.90M,,,,55.90M,7.00M,62.90M,62.90M,-0.30M,,,22.10M,-6.70M,15.40M,-0.50M,-21.90M,,2.30M,-30.40M,-23.70M,,-74.20M,228.70M,-54.90M,,,0.00,0.00,0.00,,-54.90M,,,,7.20M,-95.40M,-88.20M,-51.90M,-51.90M,17.20M,5.50M,-117.40M,1.350B,56.40M,1.407B,7.20M,,,-95.40M,79.50M,
2016-12,257.80M,,,,55.30M,8.50M,63.80M,63.80M,1.20M,,,21.60M,-21.50M,0.10M,49.30M,0.60M,,50.90M,12.30M,59.90M,,173.00M,495.90M,-50.10M,,,0.00,-13.70M,3.20M,,-60.60M,,,,,-150.90M,-150.90M,-52.20M,-52.20M,14.70M,19.80M,-168.60M,1.084B,266.70M,1.350B,,,,-150.90M,2.50M,
2016-09,246.80M,,-11.30M,-11.30M,54.80M,6.40M,61.20M,61.20M,-1.50M,,,19.70M,1.40M,-12.90M,153.40M,13.40M,,-71.30M,-13.20M,38.10M,,120.40M,437.00M,-21.20M,,,,-0.60M,0.00,,-21.80M,,,,,-199.00M,-199.00M,-52.20M,-52.20M,24.00M,-77.90M,-305.10M,973.70M,110.10M,1.084B,,,,-199.00M,2.50M,
2016-06,185.00M,,0.00,0.00,54.60M,10.00M,64.60M,64.60M,1.70M,,,17.90M,-3.50M,14.40M,-31.50M,-94.30M,,0.30M,-2.90M,3.60M,,-124.80M,140.90M,-57.20M,,,,-55.00M,0.00,,-112.20M,,,,,-192.40M,-192.40M,-49.40M,-49.40M,5.80M,3.50M,-232.50M,1.178B,-203.80M,973.70M,,,,-192.40M,56.10M,
2016-03,208.10M,,8.60M,8.60M,53.50M,8.60M,62.10M,62.10M,-2.20M,,,17.10M,-4.30M,12.80M,-3.60M,-47.40M,,-14.30M,-16.10M,-53.50M,,-134.90M,154.50M,-37.40M,,,,0.00,0.00,,-37.40M,,,,,-135.60M,-135.60M,-49.20M,-49.20M,7.70M,4.30M,-172.80M,1.233B,-55.70M,1.178B,,,,-135.60M,98.40M,
2015-12,355.30M,,2.70M,2.70M,51.50M,8.40M,59.90M,59.90M,2.00M,,,23.30M,-37.30M,-14.00M,3.10M,-19.00M,,-96.20M,11.80M,39.70M,,-60.60M,345.30M,-79.50M,,,,0.00,0.00,,-79.50M,,,,,-71.90M,-71.90M,-50.20M,-50.20M,8.60M,37.30M,-76.20M,1.044B,189.60M,1.233B,,,,-71.90M,8.90M,
2015-09,229.20M,,7.80M,7.80M,45.90M,8.30M,54.20M,54.20M,0.80M,,,25.40M,-7.10M,-0.30M,-158.10M,4.60M,,63.10M,-21.20M,34.30M,,-77.30M,232.70M,-150.80M,,,,-0.40M,,,-151.20M,,,,,-111.80M,-111.80M,-49.30M,-49.30M,10.10M,7.10M,-143.90M,1.106B,-62.40M,1.044B,,,,-111.80M,31.50M,
2015-06,207.40M,,1.90M,1.90M,41.90M,8.40M,50.30M,50.30M,-1.00M,,,26.00M,-9.50M,0.10M,-104.60M,3.90M,,-3.00M,5.60M,44.80M,,-53.30M,221.90M,-108.10M,,,,-6.10M,,,-114.20M,,,,,-50.50M,-50.50M,-24.50M,-24.50M,9.60M,9.50M,-55.90M,1.054B,51.80M,1.106B,,,,-50.50M,25.40M,
2015-03,166.50M,,9.40M,9.40M,38.80M,8.30M,47.10M,47.10M,3.50M,,,26.70M,-11.30M,0.50M,-34.80M,-2.20M,,20.00M,-31.60M,-38.80M,,-87.40M,155.00M,-84.00M,,,,-18.10M,,,-102.10M,,,,,-48.50M,-48.50M,-24.70M,-24.70M,13.30M,11.30M,-48.60M,1.050B,4.30M,1.054B,,,,-48.50M,67.10M,
2014-12,195.20M,,1.80M,1.80M,35.70M,8.50M,44.20M,44.20M,-7.20M,,,21.70M,-29.40M,0.20M,75.30M,-2.70M,,10.40M,8.00M,65.70M,,156.70M,383.20M,-87.20M,,,,,,,-87.20M,,,,,-80.70M,-80.70M,-24.60M,-24.60M,24.00M,29.40M,-51.90M,805.80M,244.10M,1.050B,,,,-80.70M,2.10M,
2014-09,174.90M,,6.70M,6.70M,30.30M,7.40M,37.70M,37.70M,2.20M,,,23.60M,-2.50M,0.40M,-53.70M,-36.90M,,36.70M,-1.00M,12.30M,,-42.60M,200.40M,-82.90M,,,,-148.50M,,,-231.40M,,,,,-48.20M,-48.20M,-20.50M,-20.50M,9.70M,2.50M,-56.50M,893.30M,-87.50M,805.80M,,,,-48.20M,19.30M,
2014-06,111.40M,,1.70M,1.70M,24.10M,5.70M,29.80M,29.80M,1.90M,,,22.80M,-14.40M,0.20M,-35.10M,18.20M,,38.20M,-0.20M,24.50M,,45.60M,199.00M,-67.50M,,,,0.00,,,-67.50M,,,,,-42.40M,-42.40M,-20.90M,-20.90M,12.90M,14.40M,-36.00M,797.80M,95.50M,893.30M,,,,-42.40M,20.60M,
2014-03,76.90M,,7.40M,7.40M,21.60M,6.30M,27.90M,27.90M,2.70M,,,20.70M,-12.20M,0.00,50.80M,7.70M,,18.50M,8.80M,5.00M,,90.80M,214.20M,-41.90M,,,,0.00,,,-41.90M,,,,,-62.10M,-62.10M,0.00,0.00,26.80M,12.20M,-23.10M,648.60M,149.20M,797.80M,,,,-62.10M,22.60M,
2013-12,94.50M,,1.30M,1.30M,20.80M,6.50M,27.30M,27.30M,-3.50M,,,18.90M,-11.70M,0.40M,25.60M,4.90M,,-19.20M,-0.30M,20.60M,,31.60M,158.80M,-16.30M,,,,,,,-16.30M,,,,,-35.10M,-35.10M,0.00,0.00,18.40M,11.70M,-5.00M,511.10M,137.50M,648.60M,,,,-35.10M,0.70M,
2013-09,84.20M,,6.60M,6.60M,18.90M,6.70M,25.60M,25.60M,12.80M,,,17.60M,-5.50M,0.10M,-8.80M,2.50M,,11.30M,1.90M,9.20M,,16.10M,157.50M,-38.40M,,,,,0.00,,-38.40M,,,,,-21.70M,-21.70M,0.00,0.00,7.90M,5.50M,-8.30M,400.30M,110.80M,511.10M,,,,-21.70M,6.40M,
2013-06,65.70M,,1.80M,1.80M,18.40M,7.00M,25.40M,25.40M,2.20M,,,18.10M,0.20M,-30.30M,-49.30M,-5.10M,,3.60M,0.80M,0.70M,,-49.30M,64.30M,-33.40M,,,,,0.00,,-33.40M,,,,,-93.30M,-93.30M,0.00,0.00,5.20M,-1.30M,-89.40M,458.80M,-58.50M,400.30M,,,,-93.30M,11.30M,
2013-03,61.70M,,7.50M,7.50M,18.50M,7.20M,25.70M,25.70M,-2.90M,,,18.30M,-2.40M,15.90M,17.60M,2.50M,,0.20M,-2.90M,5.00M,,22.40M,130.30M,-25.60M,,,,,0.00,,-25.60M,,,,,-31.60M,-31.60M,,,5.00M,2.40M,-24.20M,377.50M,80.50M,458.80M,,,,-31.60M,8.00M,
2012-12,66.50M,,1.20M,1.20M,18.50M,8.20M,26.70M,26.70M,1.60M,,,17.70M,-3.10M,14.60M,45.40M,3.50M,,-29.20M,0.00,17.30M,,37.00M,147.60M,-26.40M,,,,,0.80M,,-25.60M,,,,,-56.90M,-56.90M,,,3.00M,3.10M,-50.80M,306.30M,71.20M,377.50M,,,,-56.90M,0.50M,
2012-09,61.50M,,6.90M,6.90M,17.40M,8.50M,25.90M,25.90M,10.60M,,,18.50M,2.10M,0.00,-50.70M,-22.90M,,5.00M,-3.30M,-3.30M,,-75.20M,50.30M,-30.70M,,,,0.00,0.00,,-30.70M,,48.00M,-0.10M,,-2.10M,-2.10M,,,16.80M,-55.00M,-40.40M,327.90M,-20.80M,307.10M,,,-0.10M,-2.10M,0.80M,0.00
2012-06,49.30M,,1.20M,1.20M,17.10M,8.60M,25.70M,25.70M,0.10M,,,18.60M,-3.50M,-5.30M,-34.70M,-13.10M,,-1.10M,-1.80M,5.30M,,-45.40M,40.70M,-31.20M,,,,0.00,0.00,,-31.20M,,0.10M,0.10M,,-1.00M,-1.00M,,,8.40M,3.50M,11.00M,307.40M,20.50M,327.90M,,,0.10M,-1.00M,9.90M,0.00
2012-03,34.07M,,6.989M,6.989M,17.73M,9.415M,27.14M,27.14M,1.876M,,,19.35M,-0.074M,-0.435M,-1.749M,-3.578M,,30.56M,0.869M,1.945M,,28.05M,116.97M,-25.78M,,,,-229.60M,20.90M,,-234.48M,,-33.17M,-33.17M,,-0.14M,-0.14M,,,11.65M,0.224M,-21.44M,445.64M,-138.95M,307.40M,,,-33.17M,-0.14M,8.655M,0.147M
2011-12,57.13M,,1.011M,1.011M,17.27M,6.685M,23.96M,23.96M,0.324M,,,15.75M,-5.326M,0.835M,-22.05M,20.28M,,-19.26M,-5.269M,9.855M,,-16.45M,77.23M,-6.424M,,,,,0.00,,-6.424M,,-14.93M,-14.93M,,-27.76M,-27.76M,,,2.251M,5.176M,-35.26M,410.09M,35.55M,445.64M,,,-14.93M,-27.76M,0.445M,0.053M
2011-09,64.22M,,,,16.68M,9.888M,26.57M,26.57M,5.446M,,,15.61M,-0.426M,-8.247M,8.142M,-9.14M,,-1.308M,,,-31.99M,5.904M,122.78M,-15.23M,,,,0.529M,0.00,,-14.70M,0.00,-5.416M,-5.416M,,-9.971M,-9.971M,,,1.892M,0.426M,-13.07M,309.64M,95.01M,410.80M,,,0.00,-9.971M,4.161M,0.233M
2011-06,51.55M,,,,15.24M,4.367M,19.60M,19.60M,1.749M,,,14.54M,-1.187M,1.781M,12.88M,-15.25M,,-12.97M,,,13.28M,-2.065M,85.97M,-20.09M,,,,-245.37M,0.00,,-265.46M,0.00,-0.05M,-0.05M,,-19.78M,-19.78M,,,3.982M,1.187M,-14.67M,503.80M,-194.16M,309.64M,,,0.00,-19.78M,2.095M,0.004M
2011-03,49.96M,,,,14.29M,2.343M,16.64M,16.64M,-7.585M,-0.35M,,14.86M,-3.852M,5.195M,17.48M,-8.313M,,-8.586M,,,16.70M,17.29M,92.22M,-32.24M,,,,-0.525M,0.00,,-32.77M,-50.00M,50.00M,0.00,,-23.70M,-23.70M,,,14.13M,3.852M,-5.71M,450.05M,53.75M,503.80M,,-5.466M,0.00,-23.70M,9.556M,0.205M
2010-12,60.87M,,,,13.59M,1.602M,15.19M,15.19M,12.79M,0.35M,,13.28M,-7.035M,1.471M,-25.60M,-17.00M,,8.568M,,,2.006M,-32.03M,64.82M,-33.04M,,,,-3.931M,,,-36.97M,0.00,-44.53M,-44.53M,,-36.65M,-36.65M,,,43.09M,7.035M,-31.06M,453.26M,-3.203M,450.05M,,5.466M,-50.00M,-36.65M,0.288M,0.058M
2010-09,137.29M,,,11.44M,12.42M,4.327M,16.74M,16.74M,14.71M,-2.348M,,14.50M,-6.287M,-97.03M,-19.90M,-6.921M,,9.379M,,,0.829M,-15.19M,73.28M,-29.32M,,,,-0.40M,,,-29.72M,0.00,,0.00,,-4.412M,-4.412M,,,19.67M,10.61M,25.87M,383.82M,69.43M,453.26M,,29.60M,-29.60M,-4.412M,1.888M,-0.174M
2010-06,-55.75M,,,0.167M,11.90M,1.501M,13.41M,13.41M,11.40M,0.512M,,9.435M,0.00,91.72M,-47.41M,-13.53M,,25.99M,,,0.263M,-34.68M,36.50M,-25.35M,,,,-5.00M,,,-30.35M,-33.08M,0.00,-33.08M,,0.00,0.00,,,6.098M,-0.751M,-27.74M,405.41M,-21.59M,383.82M,,-14.45M,-18.63M,0.00,1.351M,0.22M
2010-03,27.74M,-0.072M,,0.024M,11.38M,1.50M,12.88M,12.88M,4.136M,0.758M,,8.72M,0.00,4.605M,11.43M,-6.403M,,-0.349M,,,-3.642M,1.038M,60.16M,-19.58M,,,,0.00,,,-19.58M,-40.05M,0.00,-40.05M,,3.466M,3.466M,,,8.658M,-3.574M,-31.50M,396.33M,9.083M,405.41M,,-15.15M,-24.90M,3.466M,11.30M,0.577M
2009-12,28.01M,0.072M,,0.072M,10.87M,1.501M,12.37M,12.37M,8.294M,1.078M,,8.084M,0.00,0.995M,-4.327M,-11.96M,,7.848M,,,2.55M,-5.892M,53.01M,-14.68M,,,,-1.00M,,,-15.68M,-7.574M,0.00,-7.574M,,-3.466M,-3.466M,,,6.078M,-0.265M,-5.227M,364.22M,32.11M,396.33M,,,-7.574M,-3.466M,0.213M,0.092M
2009-09,58.34M,-0.228M,,8.685M,10.42M,2.175M,12.60M,12.60M,-26.06M,-4.169M,3.458M,7.145M,,-4.105M,-3.59M,3.143M,,19.53M,,,5.253M,17.86M,75.54M,-14.91M,,,,-1.297M,,,-16.21M,-32.41M,,-32.41M,,-0.379M,-0.379M,,,25.92M,9.253M,2.384M,302.50M,61.72M,364.22M,,,-32.41M,-0.379M,0.115M,0.812M
2009-06,18.74M,0.181M,,0.181M,11.18M,1.548M,12.72M,12.72M,-0.043M,1.317M,0.00,5.468M,,1.222M,-0.459M,4.166M,,0.115M,,,0.16M,3.982M,43.59M,-5.568M,,,,-7.839M,,,-13.41M,0.00,,0.00,,-0.16M,-0.16M,,,10.43M,0.10M,10.37M,261.95M,40.55M,302.50M,,,0.00,-0.16M,0.384M,0.286M
2009-03,-5.678M,0.046M,,0.046M,11.60M,1.246M,12.85M,12.85M,1.195M,1.298M,5.616M,4.264M,,8.171M,-3.819M,3.006M,,-4.48M,,,-0.53M,-5.823M,21.94M,-5.714M,,,,0.00,,,-5.714M,-0.077M,,-0.077M,,-0.058M,-0.058M,,,2.166M,0.00,2.031M,243.70M,18.26M,261.95M,,,-0.077M,-0.058M,0.285M,0.80M
2008-12,23.58M,0.001M,,0.001M,11.21M,1.149M,12.36M,12.36M,0.044M,1.554M,,6.589M,,1.256M,37.82M,5.363M,,-5.949M,,,-4.883M,32.35M,77.74M,-12.98M,,,,-1.22M,,,-14.20M,-34.05M,,-34.05M,,-1.792M,-1.792M,,,0.149M,-9.253M,-44.94M,225.10M,18.59M,243.70M,,,-34.05M,-1.792M,0.225M,0.425M
2008-09,54.79M,,,0.032M,11.28M,1.832M,13.11M,13.11M,-36.34M,,,,,12.74M,23.14M,-7.655M,,-10.71M,,,2.492M,7.27M,51.60M,-12.99M,,-12.99M,,0.00,0.00,,-12.99M,,,-62.38M,1.192M,-0.336M,0.856M,,,,0.00,-61.53M,248.02M,-22.91M,225.10M,1.192M,,,-0.336M,,
2008-06,20.47M,,,-4.83M,11.44M,1.85M,13.29M,13.29M,-0.013M,,,,,14.24M,-4.396M,-1.697M,,-7.452M,,,-3.405M,-16.95M,26.20M,-14.43M,,-14.43M,,0.00,0.00,,-14.43M,,,0.00,13.85M,-0.108M,13.74M,,,,0.341M,14.09M,222.16M,25.86M,248.02M,13.85M,,,-0.108M,,
2008-03,16.67M,,,5.068M,11.08M,2.591M,13.67M,13.67M,-0.043M,,,,,6.369M,1.744M,-8.31M,,7.464M,,,-2.254M,-1.356M,40.38M,-17.51M,,-17.51M,,-0.01M,0.00,,-17.52M,,,0.00,0.877M,-0.29M,0.587M,,,,0.00,0.587M,198.71M,23.44M,222.16M,0.877M,,,-0.29M,,
2007-12,19.08M,,,0.006M,10.92M,2.413M,13.33M,13.33M,-0.257M,,,,,7.242M,0.73M,1.58M,,12.81M,,,0.976M,16.10M,55.49M,-19.90M,,-19.90M,,-32.62M,2.50M,,-50.02M,,,-49.34M,2.127M,-1.329M,0.798M,,,,0.20M,-48.34M,241.58M,-42.86M,198.71M,2.127M,,,-1.329M,,
2007-09,21.99M,,,0.001M,10.41M,1.047M,11.46M,11.46M,-1.417M,,,,,6.29M,-3.453M,1.742M,,-1.258M,,,-5.336M,-8.305M,30.02M,-12.03M,,-12.03M,,,69.20M,,57.17M,,,0.00,2.113M,-0.917M,1.196M,,,,0.00,1.196M,153.20M,88.38M,241.58M,2.113M,,,-0.917M,,
2007-06,11.42M,,,0.017M,9.999M,1.046M,11.04M,11.04M,0.186M,,,,,8.036M,-5.074M,-7.635M,,-3.023M,,,-1.856M,-17.59M,13.12M,-12.99M,,-12.99M,,,-10.85M,,-23.84M,,,9.929M,1.835M,-0.097M,1.738M,,,,-0.20M,11.47M,152.45M,0.748M,153.20M,1.835M,,,-0.097M,,
2007-03,12.20M,,,0.199M,9.328M,1.515M,10.84M,10.84M,0.146M,,,,,5.974M,2.102M,-4.619M,,4.631M,0.652M,-1.086M,-5.157M,-3.477M,25.88M,-11.29M,,-11.29M,,,-0.95M,,-12.24M,,,60.07M,1.158M,-30.16M,-29.01M,,,,-6.189M,24.88M,113.93M,38.52M,152.45M,1.158M,,,-30.16M,,
2006-12,12.04M,,,0.01M,9.502M,0.847M,10.35M,10.35M,-0.656M,,,,,4.624M,-4.299M,10.26M,,-17.00M,-0.652M,1.086M,,-10.60M,15.76M,-6.284M,,-6.284M,,,-34.95M,,-41.23M,,,,3.16M,-0.503M,2.657M,,,,,2.657M,136.75M,-22.82M,113.93M,3.16M,,,-0.503M,,
2006-09,-96.37M,,,0.662M,10.08M,0.847M,10.93M,10.93M,13.80M,,,,,47.74M,14.76M,20.34M,,-2.732M,,,13.58M,45.95M,22.72M,-12.66M,,-12.66M,,,27.86M,,21.77M,,,0.00,0.146M,-0.085M,0.061M,,,,-0.038M,0.023M,92.24M,44.51M,136.75M,0.146M,,,-0.085M,,
2006-06,3.005M,,,-10.61M,9.708M,0.847M,10.56M,10.56M,0.941M,,,,,16.37M,-31.81M,-9.154M,,1.07M,,,1.297M,-38.60M,-18.34M,-10.64M,,-10.64M,,,4.25M,,-6.392M,,,0.00,0.561M,-0.088M,0.473M,,,,-0.252M,0.221M,116.75M,-24.51M,92.24M,0.561M,,,-0.088M,,
2006-03,0.926M,,,5.609M,9.285M,1.507M,10.79M,10.79M,0.974M,,,,,,-1.774M,-13.77M,,2.437M,0.925M,-3.527M,-1.747M,-17.45M,0.849M,-12.43M,,-12.43M,,,54.71M,,42.29M,,,-50.66M,0.791M,,0.791M,,,,,-49.87M,123.49M,-6.738M,116.75M,0.791M,,,,,
2005-12,4.287M,,,4.414M,9.144M,0.935M,10.08M,10.08M,0.827M,,,,,,0.649M,-0.878M,,0.02M,-0.925M,3.527M,,2.393M,22.00M,-13.63M,,-13.63M,,,-1.645M,,-15.28M,,,,0.248M,,0.248M,,,,,0.248M,116.52M,6.97M,123.49M,0.248M,,,,,
2005-09,3.061M,,,8.498M,9.328M,0.935M,10.26M,10.26M,1.006M,,,,,0.001M,-14.58M,3.788M,,10.15M,-3.243M,-8.529M,,-12.40M,10.42M,-10.50M,,-10.50M,,,-0.799M,,-11.30M,,,,0.454M,,0.454M,,,,,0.454M,116.94M,-0.417M,116.52M,0.454M,,,,,
2005-06,7.389M,,,5.611M,9.04M,0.935M,9.975M,9.975M,-0.339M,,,,,-0.001M,5.02M,-0.593M,,-4.418M,-0.463M,-12.59M,15.87M,2.829M,25.46M,-10.62M,,-10.62M,,,-4.769M,,-15.39M,,,0.782M,0.496M,,0.496M,,,,,1.278M,105.58M,11.35M,116.94M,0.496M,,,,,
2005-03,1.244M,,,7.139M,9.467M,0.944M,10.41M,10.41M,0.634M,,,,,,3.834M,-1.321M,,-7.97M,-0.728M,13.81M,-15.87M,-8.246M,11.18M,-6.98M,,-6.98M,,,-20.16M,,-27.14M,,,-0.782M,0.238M,,0.238M,,,,,-0.544M,122.08M,-16.50M,105.58M,0.238M,,,,,
2004-12,13.92M,,,5.448M,9.442M,1.136M,10.58M,10.58M,1.952M,,,,,,-13.09M,0.298M,,1.105M,0.728M,-13.81M,,-24.77M,7.127M,-10.04M,,-10.04M,,,-2.565M,,-12.60M,,,,4.056M,,4.056M,,,,,4.056M,123.50M,-1.422M,122.08M,4.056M,,,,,
2004-09,14.63M,,,4.109M,9.793M,1.289M,11.08M,11.08M,,,,,,,-1.619M,7.393M,,-15.12M,0.681M,4.191M,,-4.47M,28.41M,-16.64M,,-16.64M,,,-0.134M,,-16.77M,,,0.00,0.582M,,0.582M,,,,0.00,0.582M,111.29M,12.22M,123.50M,0.582M,,,,,
