,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),NetOtherInvestingChanges,CashfromInvesting,,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromFinancing,,EndingCash(Quarterly),BeginningCash,CashForeignExchangeAdjustment,EndingCash,,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,,SECFilingLinks,AsOriginallyReported,Restated
2006-06,76.98M,,,,,-0.299M,,,28.52M,28.52M,-1.41M,,,,,5.808M,2.165M,0.049M,5.754M,,11.43M,20.20M,,129.80M,,2006-06,-16.64M,0.673M,-15.97M,,-0.219M,-405.49M,,2006-06,,,-131.45M,17.48M,,17.48M,,-46.06M,-152.93M,,2006-06,565.27M,,136.66M,,2006-06,17.48M,,,,2006-06,,
2006-03,75.57M,,,,,11.51M,,,27.58M,27.58M,-19.62M,,,,,,-27.39M,-0.385M,32.91M,,14.81M,19.24M,,114.26M,,2006-03,-33.48M,0.522M,-32.96M,,-0.891M,78.30M,,2006-03,,,,32.25M,0.00,32.25M,,-40.50M,215.25M,,2006-03,157.45M,,565.27M,,2006-03,32.25M,,,,2006-03,,
2005-12,40.12M,,,,,8.28M,,,27.08M,27.08M,30.02M,,,,,,8.525M,-4.413M,14.55M,,-4.29M,14.49M,,120.00M,,2005-12,-17.65M,0.275M,-17.38M,,-0.176M,-62.55M,,2005-12,,,,26.88M,-3.32M,23.56M,,-33.64M,-10.08M,,2005-12,110.08M,,157.45M,,2005-12,26.88M,,,,2005-12,,
2005-09,65.65M,,,,,3.959M,,,27.91M,27.91M,2.35M,,,,,,10.11M,-6.387M,11.36M,,-1.099M,9.188M,,109.06M,,2005-09,-10.37M,0.30M,-10.07M,,-0.528M,-134.10M,,2005-09,,,,19.92M,,19.92M,,-26.17M,-6.255M,,2005-09,141.37M,,110.08M,,2005-09,19.92M,,,,2005-09,,
2005-06,61.02M,,,,,5.212M,,,28.11M,28.11M,4.772M,,,,,,-17.53M,-0.111M,13.23M,,-1.668M,-5.118M,,94.00M,,2005-06,-14.79M,0.244M,-14.55M,,-1.00M,-18.26M,,2005-06,,,,16.70M,,16.70M,,-19.80M,-3.096M,,2005-06,68.73M,,141.37M,,2005-06,16.70M,,,,2005-06,,
2005-03,56.40M,,,,,0.743M,,,29.10M,29.10M,-17.66M,,,,,,-8.976M,-5.968M,11.04M,,-3.518M,-11.32M,,57.26M,,2005-03,-7.885M,0.518M,-7.367M,,,-61.24M,,2005-03,,,1.202M,11.03M,-1.203M,9.831M,,-14.51M,-3.473M,,2005-03,76.18M,,68.73M,,2005-03,11.03M,,,,2005-03,,
2004-12,53.14M,,,,,5.366M,,,30.52M,30.52M,3.069M,,,,,,15.25M,-7.845M,17.03M,,-5.742M,18.38M,,110.48M,,2004-12,-21.27M,0.058M,-21.21M,,,-112.79M,,2004-12,,,1.977M,13.99M,-1.951M,12.04M,,-10.75M,3.264M,,2004-12,75.22M,,76.18M,,2004-12,13.99M,,,,2004-12,,
2004-09,60.44M,,,,,-18.79M,,,31.29M,31.29M,9.163M,,,,,,-8.183M,0.66M,0.772M,,7.358M,-1.617M,,80.49M,,2004-09,-20.51M,0.347M,-20.16M,,,-93.47M,,2004-09,,,42.28M,10.82M,-42.30M,-31.48M,,-9.473M,1.318M,,2004-09,86.89M,,75.22M,,2004-09,10.82M,,,,2004-09,,
2004-06,43.80M,,,,,26.75M,,,29.55M,29.55M,22.30M,,,,,,-3.288M,3.939M,-27.66M,,8.816M,-17.93M,,104.48M,,2004-06,-13.55M,0.736M,-12.81M,,,-103.23M,,2004-06,,,,11.39M,-22.82M,-11.43M,,-8.266M,-19.69M,,2004-06,105.33M,,86.89M,,2004-06,11.39M,,,,2004-06,,
2004-03,46.84M,,,,,5.826M,,,28.67M,28.67M,0.06M,,,,,,-16.81M,6.055M,18.48M,,7.708M,13.71M,,95.12M,,2004-03,-23.87M,1.179M,-22.69M,,0.00,1.232M,,2004-03,,,,9.449M,-51.35M,-41.90M,,-7.286M,-49.19M,,2004-03,58.17M,,105.33M,,2004-03,9.449M,,,,2004-03,,
2003-12,40.84M,,,,,45.33M,,,-2.743M,-2.743M,-5.401M,,,,,,-1.388M,6.842M,12.86M,,6.181M,24.84M,,102.86M,,2003-12,-18.45M,0.537M,-17.92M,,0.00,-103.77M,,2003-12,,,,20.84M,0.00,20.84M,,-6.223M,14.62M,,2003-12,44.46M,,58.17M,,2003-12,20.84M,,,,2003-12,,
2003-09,36.10M,,,,,8.519M,,,26.87M,26.87M,-1.208M,,,,,,-2.617M,3.643M,6.239M,0.213M,-1.838M,7.012M,,77.30M,,2003-09,-10.86M,0.613M,-10.24M,,-0.70M,-92.40M,,2003-09,,,,16.84M,0.00,16.84M,,-4.919M,11.92M,,2003-09,47.65M,,44.46M,,2003-09,16.84M,,,,2003-09,,
2003-06,13.47M,,,,,8.718M,,,58.83M,58.83M,-5.639M,,,,,,6.969M,-9.183M,-6.669M,-0.213M,1.521M,-7.575M,,67.80M,,2003-06,-10.33M,,-10.33M,,,-72.68M,,2003-06,,,,6.022M,-2.513M,3.509M,,-4.893M,-1.384M,,2003-06,53.91M,,47.65M,,2003-06,6.022M,,,,2003-06,,
2003-03,33.04M,,,,,1.974M,,,28.18M,28.18M,8.459M,,,,,,-2.027M,-10.22M,-8.691M,,,-14.96M,,56.69M,,2003-03,167.25M,,167.86M,-184.72M,-6.032M,-35.60M,,2003-03,,,,7.60M,-19.05M,-11.45M,,-4.068M,-15.52M,,2003-03,48.34M,,53.91M,,2003-03,7.60M,,,,2003-03,,
2002-12,23.20M,,,,,17.42M,,,27.82M,27.82M,-4.259M,,,,,,-3.471M,-3.073M,13.92M,,,10.79M,,74.98M,,2002-12,-205.52M,,-205.52M,0.00,184.51M,-63.85M,,2002-12,,,,7.013M,-0.023M,6.99M,,-4.061M,2.929M,,2002-12,141.33M,,48.34M,,2002-12,7.013M,,,,2002-12,,
2002-09,10.26M,,,,,47.71M,,,27.84M,27.84M,-12.61M,,,,,,-6.224M,-4.783M,-1.639M,,,-15.95M,,57.26M,,2002-09,-16.85M,,-16.85M,0.00,-184.51M,-86.89M,,2002-09,,,-8.074M,16.92M,-7.45M,9.465M,,,1.391M,,2002-09,62.52M,,141.33M,,2002-09,16.92M,,,,2002-09,,
2002-06,21.73M,,,,,21.50M,,,27.23M,27.23M,-8.692M,,,,,,-1.858M,-1.741M,9.54M,,,9.498M,,71.26M,,2002-06,-25.26M,,-25.26M,-50.67M,,-190.41M,,2002-06,,,8.074M,,,,,,8.074M,,2002-06,173.60M,,62.52M,,2002-06,,,,,2002-06,,
2002-03,26.32M,,,,,3.687M,26.38M,0.075M,26.45M,26.45M,-45.41M,,,,,,-16.26M,3.237M,47.60M,,,56.26M,,67.30M,,2002-03,-8.433M,-0.492M,-8.925M,,,-8.925M,,2002-03,,,-2.138M,6.791M,,-20.99M,,,-23.12M,,2002-03,245.40M,,280.65M,,2002-03,6.791M,,,,2002-03,,
2001-12,23.58M,,,,,6.892M,27.64M,0.329M,27.97M,27.97M,5.553M,,,,,,5.462M,1.132M,-9.107M,,,-6.628M,,57.37M,,2001-12,-5.362M,0.00,-5.362M,,,-5.362M,,2001-12,,,2.138M,20.11M,,20.11M,,,22.25M,,2001-12,171.14M,,245.40M,,2001-12,20.11M,,,,2001-12,,
2001-09,23.15M,,,,,9.012M,27.07M,0.00,27.07M,27.07M,9.378M,,,,,,-2.609M,-0.617M,-0.208M,,,-30.53M,,38.08M,,2001-09,-18.07M,0.206M,-17.86M,,,-17.86M,,2001-09,,,,12.50M,,12.50M,,,12.50M,,2001-09,138.42M,,171.14M,,2001-09,12.50M,,,,2001-09,,
2001-06,21.77M,,,,,4.209M,27.36M,0.184M,27.54M,27.54M,2.172M,,,,,,9.147M,-1.807M,-38.34M,,,-39.62M,,16.08M,,2001-06,-12.83M,0.823M,-12.00M,,,-12.00M,,2001-06,,,,4.438M,,4.438M,,,4.438M,,2001-06,129.91M,,138.42M,,2001-06,4.438M,,,,2001-06,,
2001-03,12.22M,,,,,37.18M,26.80M,0.295M,27.10M,27.10M,-3.52M,,,,,,8.052M,-22.16M,-73.03M,,,-101.40M,,-28.42M,,2001-03,-35.22M,0.514M,-34.71M,-1.33M,,-35.04M,,2001-03,,,0.00,87.52M,,87.52M,,,87.52M,,2001-03,193.73M,,129.91M,,2001-03,87.52M,,,,2001-03,,
2000-12,42.25M,,,,,2.862M,26.51M,0.512M,27.02M,27.02M,1.561M,,,,,,10.97M,-15.13M,37.27M,,,29.85M,,103.54M,,2000-12,-144.43M,1.63M,-142.80M,1.33M,,-142.80M,,2000-12,,,0.00,2.264M,,2.264M,,,2.264M,,2000-12,230.73M,,193.73M,,2000-12,2.264M,,,,2000-12,,
2000-09,46.24M,,,,,9.55M,26.30M,0.602M,26.90M,26.90M,-3.676M,,,,,,3.458M,-7.924M,8.056M,,,6.399M,,85.41M,,2000-09,-157.03M,0.093M,-156.94M,-1.33M,,-158.27M,,2000-09,,,0.00,25.14M,,25.14M,,,25.14M,,2000-09,278.44M,,230.73M,,2000-09,25.14M,,,,2000-09,,
2000-06,42.13M,,,,,7.533M,22.37M,0.927M,23.30M,23.30M,-2.367M,,,,,,-16.65M,-2.237M,34.75M,,,23.23M,,93.83M,,2000-06,-104.46M,0.055M,-104.41M,,,-104.41M,,2000-06,,,-9.00M,3.617M,,3.617M,,,-5.383M,,2000-06,294.41M,,278.44M,,2000-06,3.617M,,,,2000-06,,
2000-03,43.70M,,,,,9.706M,22.15M,1.252M,23.40M,23.40M,7.508M,,,,,,-7.424M,-0.216M,-0.30M,,-14.75M,-0.223M,,84.09M,,2000-03,-74.24M,,-72.73M,,,-69.00M,,2000-03,,,-9.696M,123.36M,,118.59M,,,108.89M,,2000-03,68.49M,,206.52M,,2000-03,123.36M,,,,2000-03,,
1999-12,28.18M,,,,,0.587M,47.55M,0.225M,16.47M,16.47M,0.688M,,,,,-0.10M,-0.848M,3.774M,1.941M,,10.95M,15.82M,,61.65M,,1999-12,-64.73M,,-64.73M,,,-64.73M,,1999-12,,,14.88M,12.67M,,12.67M,,,27.65M,,1999-12,43.90M,,68.49M,,1999-12,12.67M,,,,1999-12,,
1999-09,23.10M,,,,,1.30M,,,15.60M,15.60M,0.10M,,,,,0.00,-3.80M,-0.80M,24.20M,,3.80M,21.40M,,61.50M,,1999-09,-51.70M,,-51.70M,,,-51.70M,,1999-09,,,-16.10M,6.20M,,6.20M,,,-10.00M,,1999-09,44.20M,,43.90M,,1999-09,6.20M,,,,1999-09,,
1999-06,20.20M,,,,,0.20M,,,15.70M,15.70M,1.00M,,,,,0.10M,-3.60M,5.40M,-1.30M,,,2.50M,,39.70M,,1999-06,-23.30M,,-23.30M,,,-23.30M,,1999-06,,,-12.10M,9.00M,,9.00M,,,-3.10M,,1999-06,30.80M,,44.20M,,1999-06,9.00M,,,,1999-06,,
1999-03,-1.659M,,,,,34.53M,70.10M,0.30M,21.20M,21.20M,5.513M,,,,,,-5.952M,4.166M,-9.649M,,1.70M,-17.28M,,42.29M,,1999-03,-15.76M,,-15.76M,,,-13.29M,,1999-03,,,-18.55M,9.467M,-17.14M,-7.67M,,,-26.22M,,1999-03,25.00M,,44.88M,,1999-03,9.467M,,,,1999-03,,
1998-12,17.86M,,,,,0.507M,-32.34M,-0.15M,16.71M,16.71M,-1.337M,,,,,,7.706M,-1.037M,-17.00M,,-2.525M,-12.86M,,20.89M,,1998-12,-5.543M,,-5.543M,,,-5.543M,,1998-12,,,-6.203M,0.462M,-12.41M,-11.95M,,,-18.15M,,1998-12,27.80M,,25.00M,,1998-12,0.462M,,,,1998-12,,
1998-09,17.56M,,,,,0.905M,16.58M,0.075M,16.65M,16.65M,-2.026M,,,,,,-6.082M,-2.549M,-0.963M,,0.825M,-7.921M,,25.17M,,1998-09,-12.19M,,-12.19M,,,-12.19M,,1998-09,,,-12.33M,3.239M,0.00,3.239M,,,-9.093M,,1998-09,23.91M,,27.80M,,1998-09,3.239M,,,,1998-09,,
1998-06,12.77M,,,,,1.088M,15.76M,0.075M,15.83M,15.83M,-1.237M,,,,,,-1.724M,-3.814M,2.067M,,,-4.319M,,24.14M,,1998-06,-11.96M,,-11.96M,,,-11.96M,,1998-06,,,33.64M,3.799M,-57.89M,-54.09M,,,-20.46M,,1998-06,32.19M,,23.91M,,1998-06,3.799M,,,,1998-06,,
