,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding
2002-09,722.00M,722.00M,211.00M,511.00M,249.00M,87.00M,19.00M,89.00M,,,,-90.00M,265.00M,246.00M,,,,89.00M,,235.00M,74.00M,161.00M,,161.00M,100.03M,265.00M,19.00M,246.00M,0.2,0.0,,0.1243,0.2,0.195,0.0,,0.1211,0.195,805.00M,825.64M
2002-06,708.00M,708.00M,225.00M,483.00M,246.00M,85.00M,17.00M,-71.00M,,,,8.00M,356.00M,127.00M,,,,-71.00M,,54.00M,29.00M,25.00M,,25.00M,67.60M,144.00M,17.00M,127.00M,0.03,0.0,,0.0811,0.03,0.03,0.0,,0.0811,0.03,833.33M,833.33M
2002-03,675.00M,675.00M,207.00M,468.00M,241.00M,76.00M,17.00M,-5.00M,,,,9.00M,343.00M,125.00M,,,,-5.00M,,117.00M,35.00M,82.00M,,82.00M,85.50M,142.00M,17.00M,125.00M,0.1,0.0,,0.1043,0.1,0.1,0.0,,0.1043,0.1,820.00M,820.00M
2001-12,677.00M,677.00M,215.00M,462.00M,274.00M,-201.00M,31.00M,-249.00M,,,,,76.00M,386.00M,,,,-249.00M,,96.00M,31.00M,65.00M,,65.00M,233.59M,417.00M,31.00M,386.00M,0.085,0.0,,0.2638,0.085,0.085,0.0,,0.2638,0.085,943.08M,943.08M
2001-09,670.00M,670.00M,214.00M,456.00M,232.00M,82.00M,30.00M,-9.00M,,,,10.00M,354.00M,102.00M,,,,-9.00M,,87.00M,29.00M,58.00M,,58.00M,64.00M,132.00M,30.00M,102.00M,0.07,0.0,,0.0772,0.07,0.07,0.0,,0.0772,0.07,828.57M,828.57M
2001-06,672.00M,672.00M,268.00M,404.00M,230.00M,71.00M,52.00M,-201.00M,,,,9.00M,362.00M,42.00M,,,,-201.00M,,-166.00M,6.00M,-172.00M,,-172.00M,-51.40M,94.00M,52.00M,42.00M,-0.215,0.0,,-0.0642,-0.215,-0.215,0.0,,-0.0642,-0.215,800.00M,800.00M
2001-03,654.00M,654.00M,222.00M,432.00M,225.00M,56.00M,23.00M,-87.00M,,,,9.00M,313.00M,119.00M,,,,-87.00M,,27.00M,32.00M,-5.00M,,-5.00M,47.20M,142.00M,23.00M,119.00M,-0.005,0.0,,0.0472,-0.005,-0.005,0.0,,0.0472,-0.005,1.00B,1.00B
2000-12,638.00M,638.00M,112.00M,526.00M,223.00M,53.00M,,-42.00M,,,,,388.00M,138.00M,,,,-42.00M,,82.00M,22.00M,60.00M,,60.00M,90.73M,250.00M,112.00M,138.00M,0.075,0.0,,0.1132,0.075,0.075,0.0,,0.113,0.075,804.52M,808.07M
2000-09,652.00M,652.00M,200.00M,452.00M,216.00M,48.00M,,-30.00M,,,,,287.00M,165.00M,,,,-30.00M,,119.00M,34.00M,85.00M,,85.00M,106.43M,188.00M,23.00M,165.00M,0.105,0.0,,0.1315,0.105,0.105,0.0,,0.1315,0.105,809.52M,809.52M
2000-06,695.00M,695.00M,217.00M,478.00M,214.00M,49.00M,,-3.00M,,,,,286.00M,192.00M,,,,-3.00M,,170.00M,48.00M,122.00M,,122.00M,124.15M,215.00M,23.00M,192.00M,0.15,0.0,,0.1526,0.15,0.15,0.0,,0.1526,0.15,813.33M,813.33M
2000-03,679.00M,679.00M,213.00M,466.00M,214.00M,49.00M,,-3.00M,,,,,286.00M,180.00M,,,,-3.00M,,156.00M,50.00M,106.00M,,106.00M,108.04M,203.00M,23.00M,180.00M,0.13,0.0,,0.1325,0.13,0.13,0.0,,0.1325,0.13,815.38M,815.38M
1999-12,717.00M,717.00M,83.00M,634.00M,211.00M,51.00M,,-10.00M,,,,,440.00M,194.00M,,,,-10.00M,,162.00M,55.00M,107.00M,,107.00M,113.60M,194.00M,,194.00M,0.14,0.0,,0.1488,0.14,0.13,0.0,,0.138,0.13,751.09M,822.78M
1999-09,691.00M,691.00M,306.00M,385.00M,220.00M,48.00M,,-7.00M,,,,,268.00M,117.00M,,,,-7.00M,,84.00M,29.00M,55.00M,,55.00M,59.58M,117.00M,,117.00M,0.065,0.0,,0.0704,0.065,0.065,0.0,,0.0704,0.065,846.15M,846.15M
1999-06,726.00M,726.00M,235.00M,491.00M,204.00M,49.00M,,-16.00M,,,,,276.00M,215.00M,,,,-16.00M,,165.00M,56.00M,109.00M,,109.00M,119.57M,238.00M,23.00M,215.00M,0.135,0.0,,0.1483,0.135,0.135,0.0,,0.148,0.135,795.37M,813.49M
1999-03,708.00M,708.00M,230.00M,478.00M,207.00M,49.00M,,-13.00M,,,,,279.00M,199.00M,,,,-13.00M,,151.00M,51.00M,100.00M,,100.00M,108.61M,222.00M,23.00M,199.00M,0.125,0.0,,0.1358,0.125,0.125,0.0,,0.1358,0.125,800.00M,800.00M
1998-12,717.00M,717.00M,166.00M,551.00M,231.00M,57.00M,,-14.00M,,,,,390.00M,161.00M,,,,-14.00M,,105.00M,34.00M,71.00M,,71.00M,80.47M,263.00M,102.00M,161.00M,0.09,0.0,,0.1023,0.09,0.09,0.0,,0.1023,0.09,768.67M,768.67M
1998-09,576.00M,576.00M,206.00M,370.00M,191.00M,49.00M,,-680.00M,,,,,251.00M,119.00M,,,,-680.00M,,-575.00M,-113.00M,-462.00M,,-462.00M,84.37M,130.00M,11.00M,119.00M,-0.59,0.0,,0.1077,-0.59,-0.59,0.0,,0.1077,-0.59,783.05M,783.05M
1998-06,488.00M,488.00M,149.00M,339.00M,174.00M,49.00M,,6.00M,,,,,231.00M,108.00M,,,,6.00M,,107.00M,40.00M,67.00M,,67.00M,63.24M,116.00M,8.00M,108.00M,0.1,0.0,,0.0944,0.1,0.1,0.0,,0.0944,0.1,670.00M,670.00M
