,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,TotalCurrentAssets,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,GrossLoans,AllowforLoan/LeaseLoss,UnearnedIncome,NetLoanAssets,LongTermInvestments,TotalLongTermAssets,TotalAssets,,AccountsPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,TotalDeposits,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2018-06,1.368B,8.038B,9.659B,17.70B,4.888B,4.888B,22.59B,,,,,,,,637.81M,4.593B,58.57M,4.652B,88.06B,1.019B,-261.94M,86.78B,13.43B,105.50B,118.43B,,1.954B,1.954B,,1.954B,3.239B,3.239B,3.239B,5.193B,8.382B,,8.382B,89.27B,97.65B,102.85B,,1.313B,10.76B,6.579B,2.560B,1.232B,-517.94M,15.58B,,AOR,Restated
2018-03,1.292B,7.427B,10.30B,17.72B,5.009B,5.009B,22.74B,,,,,,,,628.71M,4.593B,64.96M,4.658B,87.71B,1.020B,,86.69B,14.21B,106.19B,118.62B,,1.749B,1.749B,,1.749B,1.626B,1.626B,1.626B,3.375B,8.591B,,8.591B,90.95B,99.54B,102.91B,,1.313B,10.40B,6.572B,2.097B,1.232B,-483.24M,15.71B,,AOR,Restated
2017-12,1.421B,6.500B,10.90B,17.40B,5.013B,5.013B,22.41B,98.08M,454.61M,694.70M,,239.96M,1.487B,-840.90M,646.45M,4.593B,71.59M,4.665B,88.24B,1.017B,-253.90M,86.97B,14.80B,107.08B,118.59B,,1.594B,1.594B,,1.594B,,,,2.191B,7.720B,,7.720B,92.43B,100.15B,102.34B,,1.313B,10.16B,6.591B,1.454B,1.232B,-363.81M,16.25B,,AOR,Restated
2017-09,1.368B,7.675B,11.42B,19.09B,5.242B,5.242B,24.33B,,,,,,,,656.71M,4.593B,78.61M,4.672B,87.93B,1.013B,,86.91B,15.24B,107.48B,120.40B,,1.792B,1.792B,,1.792B,,,,1.993B,8.578B,,8.578B,93.51B,102.09B,104.08B,,1.313B,9.909B,6.598B,1.255B,1.232B,-247.92M,16.32B,,AOR,Restated
2017-06,1.344B,6.368B,11.93B,18.30B,5.111B,5.111B,23.41B,,,,,,,,673.55M,4.593B,86.42M,4.680B,89.08B,1.008B,,88.07B,15.99B,109.42B,120.90B,,1.727B,1.727B,,1.727B,1.50B,1.50B,1.50B,3.423B,7.650B,,7.650B,93.54B,101.19B,104.61B,,1.313B,9.685B,6.605B,1.050B,1.232B,-270.08M,16.28B,,AOR,Restated
2017-03,1.287B,8.232B,12.63B,20.86B,5.176B,5.176B,26.04B,,,,,,,,672.77M,4.593B,94.54M,4.688B,89.31B,1.001B,,88.31B,16.14B,109.82B,123.22B,,1.695B,1.695B,,1.695B,,,,1.880B,8.088B,,8.088B,97.04B,105.13B,107.01B,,1.313B,9.437B,6.603B,849.47M,1.232B,-291.57M,16.21B,,AOR,Restated
2016-12,1.321B,6.321B,13.33B,19.65B,5.323B,5.323B,24.98B,104.67M,448.44M,651.07M,,232.94M,1.437B,-761.85M,675.26M,4.593B,97.66M,4.691B,91.10B,989.00M,-248.26M,89.86B,16.57B,111.80B,123.45B,,1.811B,1.811B,,1.811B,163.44M,163.44M,163.44M,3.060B,8.409B,,8.409B,95.49B,103.90B,106.96B,,1.314B,9.222B,6.677B,431.80M,1.232B,-294.64M,16.49B,,AOR,Restated
2016-09,1.332B,12.11B,11.86B,23.97B,5.478B,5.478B,29.45B,,,,,,,,660.38M,4.593B,106.74M,4.700B,89.65B,976.12M,,88.67B,15.22B,109.25B,126.84B,,1.938B,1.938B,,1.938B,0.00,0.00,0.00,2.152B,10.21B,,10.21B,98.14B,108.35B,110.50B,,1.314B,9.022B,6.690B,569.94M,1.232B,-114.56M,16.34B,,AOR,Restated
2016-06,1.284B,9.759B,11.92B,21.68B,5.673B,5.673B,27.35B,,,,,,,,658.22M,4.593B,116.53M,4.710B,88.52B,970.50M,,87.55B,15.47B,108.39B,123.82B,,1.963B,1.963B,,1.963B,200.18M,200.18M,200.18M,2.370B,10.33B,,10.33B,94.65B,104.98B,107.35B,,1.314B,8.801B,6.691B,233.12M,1.232B,-101.02M,16.47B,,AOR,Restated
2016-03,1.178B,10.72B,12.20B,22.92B,5.673B,5.673B,28.60B,,,,,,,,662.89M,4.593B,127.95M,4.721B,87.87B,962.75M,,86.91B,15.94B,108.23B,124.63B,,1.948B,1.948B,,1.948B,1.560B,1.560B,1.560B,3.715B,10.34B,,10.34B,94.21B,104.56B,108.27B,,1.314B,8.597B,6.683B,88.67M,1.232B,-150.19M,16.36B,,AOR,Restated
2015-12,1.368B,8.962B,12.24B,21.21B,5.962B,5.962B,27.17B,105.44M,444.62M,626.61M,,229.92M,1.407B,-739.90M,666.68M,4.593B,140.27M,4.733B,87.72B,955.99M,-229.74M,86.53B,15.93B,107.86B,122.79B,,1.871B,1.871B,,1.871B,1.982B,1.982B,1.982B,5.902B,8.755B,,8.755B,91.96B,100.71B,106.61B,,1.314B,8.431B,6.681B,0.00,1.232B,-251.63M,16.17B,,AOR,Restated
2015-09,1.250B,5.963B,11.16B,17.12B,5.279B,5.279B,22.40B,,,,,,,,581.98M,3.513B,18.18M,3.532B,68.54B,933.80M,,67.61B,14.84B,86.56B,97.80B,,1.583B,1.583B,,1.583B,,,,1.756B,10.17B,,10.17B,72.94B,83.12B,84.88B,,1.300B,8.274B,3.511B,,1.232B,-163.47M,12.92B,,AOR,Restated
2015-06,1.348B,5.394B,11.25B,16.64B,5.327B,5.327B,21.97B,,,,,,,,590.57M,3.513B,22.27M,3.536B,68.13B,929.99M,,67.20B,15.03B,86.36B,97.08B,,1.453B,1.453B,,1.453B,,,,1.607B,10.18B,,10.18B,72.63B,82.81B,84.41B,,1.300B,8.108B,3.478B,,1.232B,-217.50M,12.67B,,AOR,Restated
2015-03,1.270B,7.561B,10.70B,18.26B,5.630B,5.630B,23.99B,,,,,,,,602.10M,3.525B,28.23M,3.553B,67.10B,921.37M,,66.18B,14.76B,85.09B,98.38B,,1.553B,1.553B,,1.553B,,,,1.746B,10.51B,,10.51B,73.59B,84.10B,85.85B,,1.300B,7.935B,3.446B,,1.232B,-152.49M,12.53B,,AOR,Restated
2014-12,1.290B,7.761B,9.157B,16.92B,5.618B,5.618B,22.62B,82.34M,407.65M,605.28M,,219.15M,1.314B,-701.44M,612.98M,3.525B,35.03M,3.560B,66.90B,919.56M,-230.41M,65.75B,13.30B,83.22B,96.69B,,1.568B,1.568B,,1.568B,,,,3.161B,7.607B,,7.607B,73.58B,81.19B,84.35B,,1.300B,7.807B,3.410B,,1.232B,-180.99M,12.34B,,AOR,Restated
2014-09,1.446B,9.122B,9.384B,18.51B,5.551B,5.551B,24.13B,,,,,,,,612.08M,3.525B,42.20M,3.567B,65.57B,918.63M,,64.65B,13.65B,82.48B,97.23B,,1.328B,1.328B,,1.328B,,,,1.492B,9.061B,,9.061B,74.34B,83.40B,84.90B,,1.300B,7.643B,3.378B,,1.232B,12.47M,12.33B,,AOR,Restated
2014-06,1.827B,4.860B,8.009B,12.87B,5.422B,5.422B,18.38B,,,,,,,,625.01M,3.525B,49.56M,3.574B,64.75B,917.67M,,63.83B,12.43B,80.46B,90.84B,,1.283B,1.283B,,1.283B,,,,1.445B,7.392B,,7.392B,69.83B,77.22B,78.67B,,1.300B,7.481B,3.347B,,1.232B,40.31M,12.17B,,AOR,Restated
2014-03,1.671B,4.970B,6.192B,11.16B,5.359B,5.359B,16.61B,,,,,,,,627.97M,3.525B,58.79M,3.583B,64.14B,916.77M,,63.22B,10.68B,78.11B,88.53B,,1.463B,1.463B,,1.463B,,,,1.693B,6.251B,,6.251B,68.70B,74.95B,76.64B,,1.300B,7.310B,3.302B,,1.232B,-25.26M,11.89B,,AOR,Restated
2013-12,1.573B,3.224B,4.532B,7.756B,5.282B,5.282B,13.14B,84.22M,403.20M,565.53M,,208.95M,1.262B,-628.37M,633.52M,3.525B,68.85M,3.593B,64.33B,916.68M,-252.62M,63.16B,9.173B,76.56B,85.16B,,1.369B,1.369B,,1.369B,,,,3.029B,3.709B,,3.709B,67.12B,70.83B,73.86B,,949.67M,7.188B,3.232B,,881.50M,-64.16M,11.31B,,AOR,Restated
2013-09,1.942B,3.868B,4.692B,8.560B,4.799B,4.799B,13.48B,,,,,,,,614.80M,3.525B,79.29M,3.604B,63.66B,916.37M,,62.74B,8.681B,75.64B,84.43B,,1.492B,1.492B,,1.492B,,,,1.738B,5.121B,,5.121B,66.55B,71.67B,73.41B,,947.00M,7.074B,3.193B,,879.01M,-198.06M,11.02B,,AOR,Restated
2013-06,1.350B,3.905B,3.085B,6.990B,4.356B,4.356B,11.47B,,,,,,,,595.54M,3.525B,89.92M,3.615B,65.97B,927.06M,,65.04B,5.589B,74.84B,83.23B,,1.421B,1.421B,,1.421B,,,,1.729B,5.122B,,5.122B,65.66B,70.78B,72.51B,,944.36M,6.887B,3.113B,,876.80M,-227.77M,10.72B,,AOR,Restated
2013-03,1.231B,2.536B,4.401B,6.937B,4.386B,4.386B,11.92B,,,,,,,,589.57M,3.525B,102.42M,3.627B,65.92B,927.12M,,65.00B,6.081B,75.29B,82.81B,,1.530B,1.530B,,1.530B,,,,1.905B,5.395B,,5.395B,65.09B,70.48B,72.39B,,941.93M,6.645B,3.062B,,874.63M,-225.95M,10.42B,,AOR,Restated
2012-12,1.984B,2.114B,4.739B,6.853B,4.449B,4.449B,11.30B,84.54M,394.66M,483.03M,,198.50M,1.161B,-566.08M,594.65M,3.525B,115.76M,3.640B,66.79B,925.86M,-219.23M,65.65B,6.563B,76.44B,83.01B,,1.513B,1.513B,,1.513B,,,,3.987B,3.208B,,3.208B,65.61B,68.82B,72.81B,,940.06M,6.477B,3.026B,,872.50M,-240.26M,10.20B,,AOR,Restated
2012-09,,2.035B,,2.035B,4.465B,4.465B,6.500B,,,,,,,,589.04M,3.525B,129.63M,3.654B,64.11B,921.22M,,63.19B,7.151B,74.58B,81.09B,,1.571B,1.571B,,1.571B,0.00,0.00,0.00,2.163B,4.970B,,4.970B,64.01B,68.98B,71.14B,,937.57M,6.287B,2.951B,,870.42M,-230.08M,9.946B,,AOR,Restated
2012-06,,2.492B,,2.492B,4.518B,4.518B,7.010B,,,,,,,,592.50M,3.525B,143.71M,3.668B,62.85B,917.03M,,61.93B,7.602B,73.80B,80.81B,,1.965B,1.965B,,1.965B,0.00,0.00,0.00,2.941B,5.688B,,5.688B,62.55B,68.24B,71.18B,,935.16M,6.098B,2.875B,,868.43M,-277.85M,9.630B,,AOR,Restated
2012-03,,2.626B,,2.626B,4.571B,4.571B,7.197B,,,,,,,,580.03M,3.525B,159.62M,3.684B,60.92B,909.01M,,60.01B,7.713B,71.99B,79.19B,,1.857B,1.857B,,1.857B,50.00M,50.00M,50.00M,2.369B,6.477B,,6.477B,60.91B,67.39B,69.76B,,933.15M,5.969B,2.858B,,866.49M,-331.26M,9.429B,,AOR,Restated
2011-12,1.450B,1.605B,6.229B,7.833B,4.612B,4.612B,12.45B,86.12M,366.22M,445.61M,,198.38M,1.096B,-514.89M,581.44M,3.525B,176.39M,3.701B,60.38B,908.29M,-281.87M,59.19B,8.235B,71.71B,77.92B,,1.790B,1.790B,,1.790B,50.02M,50.02M,50.02M,3.972B,5.286B,,5.286B,59.39B,64.68B,68.65B,,931.50M,5.867B,2.829B,,864.58M,-356.44M,9.271B,,AOR,Restated
2011-09,,3.576B,,3.576B,4.659B,4.659B,8.240B,,,,,,,,569.50M,3.525B,257.66M,3.782B,58.40B,908.52M,,57.49B,7.779B,69.62B,77.86B,,1.563B,1.563B,,1.563B,142.93M,142.93M,142.93M,2.258B,6.749B,,6.749B,59.48B,66.23B,68.49B,,929.59M,5.824B,2.814B,0.00,862.72M,-192.53M,9.375B,,AOR,Restated
2011-06,,3.573B,,3.573B,4.743B,4.743B,8.731B,,,,,,,,567.11M,3.525B,275.06M,3.800B,58.54B,907.59M,,57.63B,6.995B,69.00B,77.73B,,,,1.558B,1.558B,115.05M,115.05M,115.05M,2.125B,7.129B,,7.129B,59.23B,66.36B,68.48B,,923.68M,5.745B,2.800B,0.00,860.90M,-228.77M,9.244B,,AOR,Restated
2011-03,,1.072B,,1.072B,4.593B,4.593B,5.676B,,,,,,,,431.29M,3.525B,113.60M,3.638B,52.12B,903.70M,,51.21B,6.921B,62.21B,67.88B,,1.015B,1.015B,,1.015B,63.48M,63.48M,63.48M,1.520B,7.305B,,7.305B,50.55B,57.85B,59.37B,,807.47M,5.535B,2.368B,4.898M,743.38M,-197.52M,8.508B,,AOR,Restated
2010-12,,1.010B,,1.010B,4.138B,4.138B,5.173B,64.73M,281.42M,367.61M,,172.64M,886.40M,-450.56M,435.84M,3.525B,125.92M,3.651B,52.32B,902.94M,-325.56M,51.09B,7.674B,62.85B,68.02B,,,,1.071B,1.071B,80.88M,80.88M,80.88M,2.018B,7.840B,,7.840B,49.81B,57.65B,59.66B,,805.04M,5.427B,2.399B,67.44M,740.66M,-205.22M,8.358B,,AOR,Restated
2010-09,,1.472B,,1.472B,4.149B,4.149B,6.065B,,,,,,,,421.35M,3.525B,139.19M,3.664B,50.79B,894.72M,,49.90B,8.199B,62.18B,68.25B,,,,1.157B,1.157B,69.58M,69.58M,69.58M,2.369B,8.992B,,8.992B,48.65B,57.65B,60.02B,,802.32M,5.319B,2.409B,105.93M,737.98M,-192.55M,8.232B,,AOR,Restated
2010-06,,1.164B,,1.164B,4.128B,4.128B,5.302B,,,,,,,,422.56M,3.525B,152.71M,3.677B,51.06B,894.67M,,50.17B,8.585B,62.85B,68.15B,,,,1.115B,1.115B,99.30M,99.30M,99.30M,3.274B,9.256B,,9.256B,47.52B,56.78B,60.05B,,799.62M,5.224B,2.410B,134.02M,735.35M,-197.20M,8.102B,,AOR,Restated
2010-03,,1.155B,,1.155B,4.093B,4.093B,5.258B,,,,,,,,427.88M,3.525B,167.54M,3.692B,51.80B,891.26M,-356.78M,50.55B,8.508B,63.18B,68.44B,,,,1.048B,1.048B,130.70M,130.70M,130.70M,2.919B,10.07B,,10.07B,47.54B,57.60B,60.52B,,797.04M,5.132B,2.411B,169.17M,732.77M,-255.18M,7.916B,,AOR,Restated
2009-12,,1.360B,,1.360B,4.132B,4.132B,5.511B,63.96M,272.31M,345.42M,,165.11M,846.80M,-410.96M,435.84M,3.525B,182.42M,3.707B,52.31B,878.02M,-369.77M,51.06B,8.168B,63.37B,68.88B,,,,995.06M,995.06M,230.89M,230.89M,230.89M,3.438B,10.24B,,10.24B,47.45B,57.69B,61.13B,,790.43M,5.077B,2.443B,225.70M,730.24M,-336.00M,7.753B,,AOR,Restated
2009-09,,1.411B,,1.411B,3.942B,3.942B,5.370B,,,,,,,,436.59M,3.525B,199.15M,3.724B,52.56B,867.87M,-357.08M,51.34B,8.131B,63.63B,69.00B,,,,1.242B,1.242B,629.24M,629.24M,629.24M,4.169B,10.35B,,10.35B,46.86B,57.22B,61.39B,,792.24M,5.036B,2.449B,245.24M,727.75M,-419.29M,7.612B,,AOR,Restated
2009-06,,1.208B,,1.208B,4.010B,4.010B,5.220B,,,,,,,,442.16M,3.525B,216.07M,3.741B,53.08B,855.36M,-360.75M,51.86B,8.651B,64.69B,69.91B,,,,1.239B,1.239B,2.050B,2.050B,2.050B,4.190B,11.57B,,11.57B,46.75B,58.32B,62.51B,,789.91M,5.004B,2.449B,261.40M,725.47M,-580.76M,7.400B,,AOR,Restated
2009-03,,1.145B,,1.145B,3.515B,3.515B,4.786B,,,,,,,,386.16M,3.192B,168.13M,3.360B,49.27B,845.97M,-347.54M,48.07B,8.279B,60.10B,64.88B,,,,1.327B,1.327B,1.077B,1.077B,1.077B,3.968B,11.54B,,11.54B,42.48B,54.01B,57.98B,,628.48M,5.044B,2.845B,997.18M,568.28M,-622.41M,6.902B,,AOR,Restated
2008-12,,1.557B,583.18M,2.140B,3.633B,3.633B,5.885B,55.08M,260.89M,312.70M,,142.46M,771.13M,-382.27M,388.86M,3.192B,183.50M,3.376B,49.00B,787.90M,,48.21B,8.537B,60.51B,65.82B,,,,1.365B,1.365B,2.039B,2.039B,2.039B,4.375B,12.08B,,12.08B,42.58B,54.66B,59.03B,,632.28M,5.063B,2.898B,1.071B,567.46M,-736.88M,6.785B,,AOR,Restated
2008-09,,1.383B,,1.383B,3.275B,3.275B,4.676B,,,,,,,,374.18M,,,3.391B,49.04B,780.68M,-350.96M,47.91B,8.804B,60.57B,65.25B,,918.03M,918.03M,,918.03M,1.216B,1.216B,1.216B,3.847B,12.48B,,12.48B,42.50B,54.98B,58.83B,,60.20M,5.038B,2.861B,1.085B,,-457.42M,6.417B,,,
2008-06,,1.630B,,1.630B,3.143B,3.143B,4.787B,,,,,,,,368.54M,,,3.406B,49.46B,774.08M,-342.08M,48.34B,8.992B,61.11B,65.89B,,917.02M,917.02M,,917.02M,1.939B,1.939B,1.939B,4.679B,12.77B,,12.77B,41.93B,54.70B,59.37B,,60.20M,5.024B,2.854B,1.090B,,-328.32M,6.519B,,,
2008-03,,1.770B,,1.770B,2.960B,2.960B,4.744B,,,,,,,,366.06M,,,3.422B,49.62B,773.62M,-336.61M,48.51B,9.048B,61.34B,66.09B,,1.197B,1.197B,,1.197B,1.884B,1.884B,1.884B,7.392B,10.67B,,10.67B,41.53B,52.21B,59.60B,,60.20M,4.941B,2.849B,1.107B,,-254.96M,6.488B,,,Restated
2007-12,,1.738B,506.39M,2.244B,2.769B,2.769B,5.061B,55.12M,249.43M,302.43M,,124.18M,731.15M,-360.39M,370.76M,3.196B,248.56M,3.445B,48.02B,759.44M,,47.26B,9.243B,60.32B,64.88B,,,,984.35M,984.35M,1.471B,1.471B,1.471B,6.806B,10.32B,,10.32B,41.27B,51.58B,58.39B,,64.97M,4.816B,2.849B,1.129B,,-114.82M,6.485B,,,Restated
2007-09,,1.304B,,1.304B,2.582B,2.582B,4.286B,,,,,,,,332.20M,,,3.109B,45.10B,680.50M,-325.57M,44.10B,8.183B,55.72B,60.01B,,859.85M,859.85M,,859.85M,647.44M,647.44M,647.44M,5.781B,9.516B,,9.516B,38.47B,47.99B,53.77B,,60.20M,4.828B,2.897B,1.465B,,-81.86M,6.238B,,,
2007-06,,1.309B,,1.309B,2.560B,2.560B,4.204B,,,,,,,,329.74M,,,3.125B,44.05B,668.14M,-307.28M,43.08B,7.135B,53.66B,57.87B,,897.25M,897.25M,,897.25M,540.04M,540.04M,540.04M,3.830B,8.445B,,8.445B,39.42B,47.86B,51.69B,,60.20M,4.703B,2.895B,1.421B,,-62.03M,6.175B,,,
2007-03,,1.446B,,1.446B,2.466B,2.466B,4.342B,,,,,,,,331.43M,,,3.141B,43.79B,659.76M,-278.07M,42.85B,7.181B,53.50B,57.84B,,938.29M,938.29M,,938.29M,500.29M,500.29M,500.29M,4.987B,7.664B,,7.664B,38.94B,46.60B,51.59B,,60.20M,4.554B,2.888B,1.217B,,-31.43M,6.253B,,,
2006-12,,1.612B,,1.612B,2.154B,2.154B,3.885B,,,,,,,,335.01M,,,3.159B,43.21B,649.95M,-259.66M,42.30B,7.388B,53.18B,57.06B,,888.35M,888.35M,,888.35M,562.53M,562.53M,562.53M,3.983B,6.891B,,6.891B,39.91B,46.80B,50.78B,,60.20M,4.443B,2.889B,1.063B,,-48.51M,6.281B,,,
2006-09,,1.347B,,1.347B,2.136B,2.136B,3.607B,,,,,,,,332.50M,,,3.180B,42.35B,646.32M,-252.99M,41.45B,7.803B,52.77B,56.37B,,1.002B,1.002B,,1.002B,634.46M,634.46M,634.46M,5.420B,5.723B,,5.723B,39.08B,44.80B,50.22B,,60.20M,4.297B,2.890B,1.013B,,-81.86M,6.151B,,,
2006-06,,1.588B,,1.588B,2.303B,2.303B,3.907B,,,,,,,,334.87M,,,3.200B,41.82B,645.85M,-220.88M,40.95B,8.111B,52.60B,56.51B,,953.86M,953.86M,,953.86M,771.02M,771.02M,771.02M,6.259B,5.735B,,5.735B,38.51B,44.25B,50.51B,,60.20M,4.153B,2.887B,957.67M,,-142.69M,6.000B,,,
2006-03,,1.292B,,1.292B,2.055B,2.055B,3.356B,,,,,,,,329.21M,,,3.019B,41.07B,638.83M,-213.13M,40.22B,8.495B,52.06B,55.42B,,885.09M,885.09M,,885.09M,528.65M,528.65M,528.65M,5.236B,6.093B,,6.093B,38.17B,44.26B,49.50B,,60.20M,4.007B,2.883B,913.08M,,-117.79M,5.919B,,,
2005-12,,1.488B,,1.488B,2.013B,2.013B,3.512B,,,,,,,,337.12M,,,3.012B,40.55B,637.66M,-223.05M,39.69B,8.592B,51.63B,55.15B,,819.98M,819.98M,,819.98M,940.89M,940.89M,940.89M,5.973B,6.197B,,6.197B,37.10B,43.30B,49.27B,,60.20M,3.854B,2.886B,831.67M,,-92.57M,5.876B,,,
2005-09,,1.412B,,1.412B,1.929B,1.929B,3.362B,,,,,,,,340.09M,,,3.025B,40.55B,637.82M,-217.97M,39.70B,8.417B,51.48B,54.84B,,742.44M,742.44M,,742.44M,661.77M,661.77M,661.77M,4.941B,6.855B,,6.855B,37.20B,44.05B,48.99B,,60.20M,3.700B,2.883B,756.04M,,-39.85M,5.847B,,,
2005-06,,1.483B,,1.483B,1.821B,1.821B,3.309B,,,,,,,,345.46M,,,3.039B,40.15B,637.34M,-237.86M,39.27B,8.515B,51.17B,54.48B,,735.50M,735.50M,,735.50M,640.10M,640.10M,640.10M,5.020B,6.318B,,6.318B,37.31B,43.62B,48.64B,,60.20M,3.560B,2.879B,628.92M,,-32.27M,5.838B,,,
2005-03,,1.358B,,1.358B,1.824B,1.824B,3.204B,,,,,,,,356.62M,,,3.053B,39.32B,631.99M,-247.12M,38.44B,8.832B,50.68B,53.89B,,756.22M,756.22M,,756.22M,542.59M,542.59M,542.59M,5.638B,6.282B,,6.282B,36.29B,42.58B,48.21B,,60.20M,3.414B,2.884B,628.59M,,-55.99M,5.674B,,,
