,NetIncome,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2018-06,3.208B,6.00M,,6.00M,-2.599B,,2.403B,2.403B,425.00M,,211.00M,96.00M,-145.00M,,-319.00M,,,1.178B,714.00M,,7.063B,,-2.761B,,,-511.00M,40.00M,-399.00M,151.00M,-3.014B,,-2.846B,925.00M,-1.921B,,,,-878.00M,-878.00M,-1.269B,-316.00M,-4.384B,,6.177B,-335.00M,0.00,5.842B,,,236.00M,-3.082B,,,AOR,Restated
2018-03,3.176B,-74.00M,,-74.00M,2.599B,,2.599B,2.599B,389.00M,,199.00M,75.00M,85.00M,,200.00M,,,-1.175B,-890.00M,,5.474B,,-2.392B,,,-419.00M,-131.00M,-139.00M,429.00M,-2.292B,,2.778B,-902.00M,1.876B,,,,-738.00M,-738.00M,-1.729B,15.00M,-576.00M,,3.571B,2.606B,0.00,6.177B,,,4.043B,-1.265B,,,AOR,Restated
2017-12,15.05B,-61.00M,,-61.00M,,,2.609B,2.609B,-11.33B,,157.00M,85.00M,-992.00M,,193.00M,,,-311.00M,-1.11B,,5.404B,,-3.18B,,,-469.00M,23.00M,-348.00M,-12.00M,-3.61B,,-1.337B,902.00M,-435.00M,,,,-736.00M,-736.00M,-1.223B,-57.00M,-2.451B,,4.228B,-657.00M,,3.571B,,,6.00M,-1.343B,,,AOR,Restated
2017-09,2.674B,-20.00M,,-20.00M,,,2.104B,2.104B,204.00M,,203.00M,65.00M,46.00M,,127.00M,,,-295.00M,-122.00M,,5.108B,,-2.799B,,,-365.00M,-49.00M,-176.00M,583.00M,-2.516B,,2.443B,-1.112B,1.331B,,,,-743.00M,-743.00M,-1.736B,-38.00M,-1.186B,,2.822B,1.406B,,4.228B,,,2.497B,-54.00M,,,AOR,Restated
2017-06,2.542B,-40.00M,,-40.00M,,,2.507B,2.507B,208.00M,,218.00M,64.00M,-445.00M,,47.00M,,,23.00M,-375.00M,,5.124B,,-2.713B,,,-386.00M,-211.00M,-757.00M,147.00M,-3.654B,,1.555B,198.00M,1.753B,,,,-747.00M,-747.00M,-1.48B,-2.32B,-2.794B,,4.146B,-1.324B,,2.822B,,,5.463B,-3.908B,,,AOR,Restated
2017-03,2.655B,-73.00M,,-73.00M,,,2.468B,2.468B,269.00M,,173.00M,58.00M,522.00M,,-194.00M,,,-253.00M,75.00M,,5.625B,,-2.463B,,,-385.00M,-216.00M,-1.011B,67.00M,-3.753B,,2.441B,-1.893B,548.00M,,,,-657.00M,-657.00M,-996.00M,-36.00M,-1.141B,,3.415B,731.00M,,4.146B,,,3.50B,-1.059B,,,AOR,Restated
2016-12,2.40B,178.00M,-122.00M,56.00M,,,2.364B,2.364B,449.00M,,145.00M,58.00M,-334.00M,,332.00M,,,232.00M,230.00M,,5.702B,,-2.962B,,,-389.00M,171.00M,-1.267B,70.00M,-4.113B,,-58.00M,1.18B,1.122B,0.00,,0.00,-657.00M,-657.00M,-1.291B,-283.00M,-1.109B,,2.807B,480.00M,,3.415B,,0.00,0.00,-58.00M,,,AOR,Restated
2016-09,2.324B,-33.00M,50.00M,17.00M,,,2.395B,2.395B,367.00M,,164.00M,59.00M,-487.00M,,150.00M,,,-794.00M,-1.131B,,4.195B,,-2.832B,,,-426.00M,-3.778B,12.00M,-1.634B,-8.324B,,4.035B,405.00M,4.44B,4.00M,,4.00M,-663.00M,-663.00M,-1.425B,-85.00M,2.271B,,4.665B,-1.858B,,2.807B,,4.00M,4.478B,-443.00M,,,AOR,Restated
2016-06,2.08B,0.00,45.00M,45.00M,,,2.389B,2.389B,401.00M,,178.00M,58.00M,-390.00M,,-116.00M,,,-250.00M,-756.00M,,4.395B,,-2.63B,,,-359.00M,-102.00M,-104.00M,-212.00M,-3.119B,,-1.073B,743.00M,-330.00M,7.00M,,7.00M,-670.00M,-670.00M,-1.209B,-37.00M,-2.239B,,5.628B,-963.00M,,4.665B,,7.00M,1.43B,-2.503B,,,AOR,Restated
2016-03,2.224B,-126.00M,27.00M,-99.00M,,,2.278B,2.278B,217.00M,,153.00M,55.00M,562.00M,,12.00M,,,-3.00M,571.00M,,5.399B,,-2.263B,,,-378.00M,-24.00M,-338.00M,56.00M,-2.709B,,3.275B,-538.00M,2.737B,12.00M,,12.00M,-611.00M,-611.00M,-1.427B,-68.00M,643.00M,,2.295B,3.333B,,5.628B,,12.00M,3.323B,-48.00M,,,AOR,Restated
2015-12,2.056B,26.00M,152.00M,178.00M,,,2.27B,2.27B,891.00M,,137.00M,58.00M,-386.00M,,215.00M,,,253.00M,82.00M,,5.672B,,-3.091B,,,-454.00M,-1.487B,-72.00M,-48.00M,-4.76B,,1.465B,355.00M,1.82B,1.00M,5.77B,5.771B,-614.00M,-614.00M,,-312.00M,-510.00M,,1.893B,402.00M,,2.295B,,1.00M,1.49B,-25.00M,5.77B,,AOR,Restated
2015-09,2.041B,93.00M,86.00M,179.00M,,,2.183B,2.183B,-44.00M,,136.00M,52.00M,385.00M,,60.00M,,,-13.00M,432.00M,,4.979B,,-2.481B,,,-316.00M,-82.00M,-440.00M,86.00M,-2.968B,,-687.00M,-83.00M,-770.00M,3.00M,-2.185B,-2.182B,-623.00M,-623.00M,,-29.00M,-3.604B,,3.486B,-1.593B,,1.893B,,3.00M,0.00,-687.00M,-2.185B,,AOR,Restated
2015-06,2.175B,-316.00M,266.00M,-50.00M,,,2.161B,2.161B,230.00M,,159.00M,44.00M,-826.00M,,-263.00M,,,-41.00M,-1.13B,,3.589B,,-2.298B,,,-327.00M,36.00M,-240.00M,1.00M,-2.542B,,1.239B,13.00M,1.252B,4.00M,-1.585B,-1.581B,-628.00M,-628.00M,,-541.00M,-1.498B,,3.937B,-451.00M,,3.486B,,4.00M,3.996B,-2.757B,-1.585B,,AOR,Restated
2015-03,2.141B,-121.00M,-11.00M,-132.00M,,,2.066B,2.066B,-119.00M,,135.00M,51.00M,119.00M,,372.00M,,,612.00M,1.103B,,5.245B,,-1.999B,,,-273.00M,180.00M,-32.00M,181.00M,-1.694B,,-909.00M,-150.00M,-1.059B,28.00M,-2.00B,-1.972B,-572.00M,-572.00M,,79.00M,-3.524B,,3.91B,27.00M,,3.937B,,28.00M,,-909.00M,-2.00B,,AOR,Restated
2014-12,1.996B,28.00M,23.00M,51.00M,,,2.09B,2.09B,807.00M,,127.00M,48.00M,-122.00M,,34.00M,,,-388.00M,-476.00M,,4.643B,,-2.611B,,,-387.00M,44.00M,-46.00M,-25.00M,-2.653B,,-3.00M,-67.00M,-70.00M,2.00M,-2.001B,-1.999B,-578.00M,-578.00M,,20.00M,-2.627B,,4.547B,-637.00M,,3.91B,,2.00M,0.00,-3.00M,-2.001B,,AOR,Restated
2014-09,2.633B,89.00M,-12.00M,77.00M,,,1.959B,1.959B,380.00M,,120.00M,45.00M,29.00M,,287.00M,,,-775.00M,-459.00M,,4.755B,,-2.208B,,,-258.00M,70.00M,-68.00M,32.00M,-2.192B,,1.986B,-94.00M,1.892B,4.00M,-750.00M,-746.00M,-584.00M,-584.00M,,-107.00M,455.00M,,1.529B,3.018B,,4.547B,,4.00M,1.995B,-9.00M,-750.00M,,AOR,Restated
2014-06,2.025B,-54.00M,10.00M,-44.00M,,,2.00B,2.00B,204.00M,,147.00M,45.00M,-135.00M,,-250.00M,,,-931.00M,-1.316B,,3.061B,,-2.058B,,,-260.00M,-225.00M,-40.00M,-50.00M,-2.383B,,-903.00M,21.00M,-882.00M,9.00M,-750.00M,-741.00M,-584.00M,-584.00M,,4.00M,-2.203B,,3.054B,-1.525B,,1.529B,,9.00M,0.00,-903.00M,-750.00M,,AOR,Restated
2014-03,1.938B,-59.00M,-14.00M,-73.00M,,,1.97B,1.97B,-226.00M,,119.00M,42.00M,195.00M,,82.00M,,,439.00M,716.00M,,4.486B,,-1.665B,,,-217.00M,300.00M,-37.00M,-103.00M,-1.505B,,-73.00M,-364.00M,-437.00M,20.00M,-750.00M,-730.00M,-508.00M,-508.00M,,30.00M,-1.645B,,1.718B,1.336B,,3.054B,,20.00M,2.187B,-2.26B,-750.00M,,AOR,Restated
2013-12,1.968B,70.00M,21.00M,91.00M,,,1.998B,1.998B,68.00M,,107.00M,45.00M,-866.00M,,-559.00M,,,-371.00M,-1.796B,,2.481B,,-2.318B,,,-315.00M,371.00M,-46.00M,151.00M,-2.187B,,-2.00M,950.00M,948.00M,5.00M,-500.00M,-495.00M,-510.00M,-510.00M,,-122.00M,-179.00M,,1.603B,115.00M,,1.718B,,5.00M,0.00,-2.00M,-500.00M,,AOR,Restated
2013-09,1.778B,-148.00M,147.00M,-1.00M,,,1.916B,1.916B,-139.00M,,99.00M,41.00M,87.00M,,-21.00M,,,234.00M,300.00M,,3.994B,,-1.976B,,,-250.00M,544.00M,-536.00M,-5.00M,-2.367B,,-247.00M,47.00M,-200.00M,11.00M,-500.00M,-489.00M,-512.00M,-512.00M,,-212.00M,-1.413B,,1.389B,214.00M,,1.603B,,11.00M,0.00,-247.00M,-500.00M,,AOR,Restated
2013-06,1.744B,41.00M,26.00M,67.00M,-1.967B,-1.972B,18.00M,18.00M,460.00M,,111.00M,39.00M,-407.00M,,194.00M,,,1.09B,877.00M,,3.316B,,-1.768B,,,-262.00M,-5.00M,-553.00M,-17.00M,-2.197B,,-384.00M,-143.00M,-527.00M,11.00M,-500.00M,-489.00M,-513.00M,-513.00M,,-40.00M,-1.569B,,1.839B,-450.00M,,1.389B,,11.00M,0.00,-384.00M,-500.00M,,AOR,Restated
2013-03,1.645B,-132.00M,12.00M,-120.00M,1.967B,1.972B,3.939B,3.939B,-373.00M,,102.00M,42.00M,465.00M,,-281.00M,,,-1.05B,-866.00M,,4.369B,,-1.543B,,,-182.00M,74.00M,-88.00M,105.00M,-2.763B,,1.122B,491.00M,1.613B,13.00M,-500.00M,-487.00M,-429.00M,-429.00M,,-11.42B,-10.72B,,10.95B,-9.112B,,1.839B,,13.00M,2.933B,-1.811B,-500.00M,,AOR,Restated
2012-12,1.807B,9.00M,1.00M,10.00M,-5.815B,-7.295B,-5.312B,-5.312B,-182.00M,,93.00M,35.00M,42.00M,,-187.00M,,,7.309B,7.164B,,3.615B,,-1.989B,,,-318.00M,12.00M,-106.00M,6.00M,-1.996B,,1.92B,11.00M,1.931B,18.00M,-750.00M,-732.00M,-432.00M,-432.00M,,-334.00M,433.00M,,8.899B,2.052B,,10.95B,,18.00M,2.296B,-376.00M,-750.00M,,AOR,Restated
2012-09,2.978B,-1.044B,-875.00M,-1.919B,1.96B,3.139B,5.099B,5.099B,280.00M,,89.00M,53.00M,-849.00M,,442.00M,,,-2.749B,-3.156B,,3.424B,,-1.773B,,,-191.00M,2.936B,-83.00M,-15.00M,3.339B,,1.435B,-1.00M,1.434B,31.00M,-750.00M,-719.00M,-435.00M,-435.00M,,-245.00M,35.00M,,2.101B,6.798B,,8.899B,,31.00M,2.248B,-813.00M,-750.00M,,AOR,Restated
2012-06,1.633B,47.00M,40.00M,87.00M,1.925B,2.003B,3.928B,3.928B,100.00M,,100.00M,57.00M,44.00M,,-123.00M,,,-2.404B,-2.483B,,3.422B,,-1.517B,,,-230.00M,29.00M,-46.00M,47.00M,-1.48B,,-567.00M,-147.00M,-714.00M,34.00M,-750.00M,-716.00M,-437.00M,-437.00M,,-181.00M,-2.048B,,2.207B,-106.00M,,2.101B,,34.00M,0.00,-567.00M,-750.00M,,AOR,Restated
2012-03,1.447B,-74.00M,70.00M,-4.00M,1.93B,2.153B,4.083B,4.083B,-59.00M,,89.00M,48.00M,-60.00M,,234.00M,,,-1.385B,-1.211B,,4.393B,,-1.358B,,,-184.00M,35.00M,-62.00M,36.00M,-1.349B,,-1.125B,-407.00M,-1.532B,150.00M,-750.00M,-600.00M,-304.00M,-304.00M,,-21.00M,-2.457B,,1.62B,587.00M,,2.207B,,150.00M,0.00,-1.125B,-750.00M,,AOR,Restated
2011-12,1.585B,-74.00M,78.00M,4.00M,1.998B,2.018B,4.016B,4.016B,288.00M,,84.00M,35.00M,-717.00M,,222.00M,,,-1.378B,-1.873B,,4.139B,,-1.971B,,,-449.00M,123.00M,-50.00M,20.00M,-1.847B,,-403.00M,-1.098B,-1.501B,31.00M,-491.00M,-460.00M,-306.00M,-306.00M,,-211.00M,-2.478B,,1.806B,-186.00M,,1.62B,,31.00M,0.00,-403.00M,-491.00M,,AOR,Restated
2011-09,1.166B,204.00M,98.00M,302.00M,5.638B,4.769B,6.702B,6.702B,77.00M,-2.889B,86.00M,33.00M,13.00M,,-88.00M,,,-2.152B,-2.227B,,3.25B,,-1.617B,,,-209.00M,-709.00M,-39.00M,-16.00M,-2.375B,,-1.049B,901.00M,-148.00M,46.00M,-600.00M,-554.00M,-881.00M,-309.00M,,-55.00M,-1.066B,,1.997B,-191.00M,,1.806B,,46.00M,0.00,-1.049B,-600.00M,,AOR,Restated
2011-06,1.367B,-22.00M,35.00M,13.00M,,,1.863B,1.863B,563.00M,1.705B,90.00M,38.00M,-448.00M,,-23.00M,,,-1.68B,-2.151B,,3.488B,,-1.444B,,,-173.00M,96.00M,-30.00M,-21.00M,-1.399B,,-5.00M,-936.00M,-941.00M,77.00M,-525.00M,-448.00M,,-311.00M,,-214.00M,-1.914B,,1.822B,175.00M,,1.997B,,77.00M,,-5.00M,-525.00M,,AOR,Restated
2011-03,1.039B,-85.00M,135.00M,50.00M,,,1.842B,1.842B,130.00M,1.184B,84.00M,40.00M,725.00M,,-131.00M,,,-1.495B,-901.00M,,3.468B,,-1.229B,,,-123.00M,-5.64B,-16.00M,-2.00M,-6.887B,,-1.759B,1.677B,-82.00M,129.00M,-525.00M,-396.00M,,-261.00M,,-4.00M,-743.00M,,5.984B,-4.162B,,1.822B,,129.00M,,-1.759B,-525.00M,,AOR,Restated
2010-12,1.033B,-189.00M,43.00M,-146.00M,,,1.89B,1.89B,790.00M,-99.00M,74.00M,36.00M,14.00M,,-20.00M,,,-125.00M,-131.00M,,3.447B,,-1.696B,,,-164.00M,99.00M,-227.00M,-209.00M,-1.843B,,496.00M,0.00,496.00M,,-308.00M,-274.00M,,-264.00M,,-120.00M,-162.00M,,4.542B,1.442B,,5.984B,,,1.00B,-504.00M,-308.00M,,AOR,Restated
2010-09,870.00M,-67.00M,40.00M,-27.00M,,,1.624B,1.624B,-216.00M,46.00M,73.00M,36.00M,-24.00M,,55.00M,,,-37.00M,-6.00M,,2.40B,,-1.501B,,,-135.00M,-15.00M,-1.00M,204.00M,-1.313B,,-12.00M,0.00,-12.00M,,-292.00M,-292.00M,,-265.00M,,-4.00M,-573.00M,,4.028B,514.00M,,4.542B,,,-1.00M,-11.00M,-292.00M,,AOR,Restated
2010-06,886.00M,56.00M,26.00M,82.00M,,,1.659B,1.659B,-25.00M,28.00M,71.00M,34.00M,-264.00M,,73.00M,,,-115.00M,-306.00M,,2.429B,,-1.258B,,,-120.00M,3.00M,-8.00M,-36.00M,-1.299B,,-13.00M,0.00,-13.00M,,-300.00M,-300.00M,,-267.00M,,-5.00M,-585.00M,,3.483B,545.00M,,4.028B,,,13.00M,-26.00M,-300.00M,,AOR,Restated
2010-03,879.00M,-67.00M,32.00M,-35.00M,,,1.63B,1.63B,0.00,25.00M,82.00M,35.00M,143.00M,,-71.00M,,,215.00M,287.00M,,2.903B,,-1.042B,,,-117.00M,-171.00M,-24.00M,-19.00M,-1.256B,,1.796B,0.00,1.796B,,-300.00M,-300.00M,,-268.00M,,-63.00M,1.165B,,671.00M,2.812B,,3.483B,,,2.408B,-612.00M,-300.00M,,AOR,Restated
2009-12,960.00M,-55.00M,20.00M,-35.00M,1.335B,257.00M,1.592B,1.592B,260.00M,,65.00M,35.00M,-73.00M,,-63.00M,,,-185.00M,-321.00M,,2.556B,,-1.748B,,,-139.00M,-83.00M,-102.00M,37.00M,-1.896B,,-308.00M,,-308.00M,,-327.00M,-326.00M,,-193.00M,,-24.00M,-851.00M,,862.00M,-191.00M,,671.00M,,,-279.00M,-29.00M,-327.00M,,AOR,Restated
2009-09,934.00M,-123.00M,17.00M,-106.00M,1.362B,253.00M,1.615B,1.615B,178.00M,,71.00M,44.00M,38.00M,,39.00M,,,-201.00M,-124.00M,,2.612B,,-1.369B,,,-142.00M,22.00M,-91.00M,7.00M,-1.431B,,-3.621B,,-3.621B,,-330.00M,-330.00M,,-193.00M,,-164.00M,-4.308B,,3.989B,-3.127B,,862.00M,,,-679.00M,-2.942B,-330.00M,,AOR,Restated
2009-06,956.00M,-38.00M,13.00M,-25.00M,1.406B,254.00M,1.66B,1.66B,180.00M,,67.00M,37.00M,-192.00M,,-18.00M,,,-64.00M,-274.00M,,2.601B,,-1.229B,,,-108.00M,-20.00M,-11.00M,6.00M,-1.254B,,1.087B,,1.087B,,-108.00M,-108.00M,,-195.00M,,-21.00M,763.00M,,1.879B,2.11B,,3.989B,,,2.502B,-1.415B,-108.00M,,AOR,Restated
2009-03,778.00M,15.00M,14.00M,29.00M,1.38B,253.00M,1.633B,1.633B,214.00M,,54.00M,44.00M,143.00M,,-94.00M,,,-289.00M,-240.00M,,2.512B,,-1.293B,,,-133.00M,-7.00M,-40.00M,24.00M,-1.316B,,-332.00M,,-332.00M,,0.00,0.00,,-180.00M,,,-512.00M,,1.195B,684.00M,,1.879B,,,20.00M,-352.00M,0.00,,AOR,Restated
2008-12,390.00M,321.00M,39.00M,633.00M,1.364B,249.00M,1.613B,1.613B,-114.00M,,258.00M,-150.00M,35.00M,,-17.00M,,,210.00M,228.00M,,2.858B,,-1.864B,,4.413B,-527.00M,-38.00M,-815.00M,-30.00M,-2.747B,,925.00M,,-1.445B,0.00,0.00,0.00,,-180.00M,,-5.00M,-1.63B,,2.714B,-1.519B,,1.195B,,0.00,3.535B,-2.61B,0.00,,AOR,Restated
2008-09,778.00M,234.00M,-39.00M,-78.00M,1.332B,235.00M,1.567B,1.567B,206.00M,,-123.00M,227.00M,11.00M,,48.00M,,,-191.00M,-132.00M,,2.445B,,-1.437B,,-4.413B,245.00M,-369.00M,106.00M,15.00M,-1.685B,,-1.178B,,1.192B,11.00M,-821.00M,-810.00M,,-182.00M,,-13.00M,187.00M,,1.767B,947.00M,,2.714B,,11.00M,-2.009B,831.00M,-821.00M,,,
2008-06,619.00M,82.00M,4.00M,86.00M,1.371B,230.00M,1.601B,1.601B,171.00M,,61.00M,75.00M,-169.00M,,75.00M,,,150.00M,56.00M,,2.669B,,-1.419B,,,-119.00M,-302.00M,256.00M,-37.00M,-1.502B,,1.204B,,1.204B,32.00M,-979.00M,-947.00M,,-185.00M,,-107.00M,-35.00M,,635.00M,1.132B,,1.767B,,32.00M,1.817B,-613.00M,-979.00M,,,Restated
2008-03,738.00M,-316.00M,35.00M,-281.00M,1.39B,229.00M,1.619B,1.619B,232.00M,,62.00M,57.00M,162.00M,,-144.00M,,,-186.00M,-168.00M,,2.259B,,-1.557B,,,-126.00M,-29.00M,23.00M,20.00M,-1.543B,,-26.00M,,-26.00M,10.00M,-1.00B,-990.00M,,0.00,,-28.00M,-1.044B,,963.00M,-328.00M,,635.00M,,10.00M,192.00M,-218.00M,-1.00B,,,Restated
2007-12,602.00M,,,-70.00M,1.339B,285.00M,1.624B,1.624B,87.00M,,,85.00M,-49.00M,,165.00M,,,240.00M,356.00M,,2.684B,,-1.667B,,-1.667B,,-42.00M,-1.977B,16.00M,-3.67B,,,,231.00M,8.00M,-1.25B,-1.242B,,,,11.00M,-1.00B,,2.949B,-1.986B,,963.00M,,8.00M,,,-1.25B,,,
2007-09,560.00M,,,2.00M,1.291B,247.00M,1.538B,1.538B,-37.00M,,,117.00M,-123.00M,,90.00M,,,-429.00M,-462.00M,,1.718B,,-1.61B,,-1.61B,,-507.00M,237.00M,3.00M,-1.877B,,,,2.811B,70.00M,-600.00M,-530.00M,,,,-1.00M,2.28B,,828.00M,2.121B,,2.949B,,70.00M,,,-600.00M,,,
2007-06,588.00M,,,392.00M,1.252B,292.00M,1.544B,1.544B,94.00M,,,84.00M,-140.00M,,-131.00M,,,-6.00M,-277.00M,,2.425B,,-1.715B,,-1.715B,,-761.00M,460.00M,-1.00M,-2.017B,,,,-29.00M,116.00M,-752.00M,-636.00M,,,,48.00M,-617.00M,,1.037B,-209.00M,,828.00M,,116.00M,,,-752.00M,,,
2007-03,837.00M,,,-634.00M,1.225B,277.00M,1.502B,1.502B,103.00M,,,51.00M,212.00M,,51.00M,,,-157.00M,106.00M,,1.965B,,-1.572B,,-1.572B,,-9.00M,349.00M,44.00M,-1.188B,,,,-701.00M,218.00M,-500.00M,-282.00M,,,,4.00M,-979.00M,,1.239B,-202.00M,,1.037B,,218.00M,,,-500.00M,,,
2006-12,390.00M,,,20.00M,1.219B,296.00M,1.515B,1.515B,-237.00M,,,98.00M,-221.00M,,175.00M,,,-259.00M,-305.00M,-78.00M,1.403B,,-1.423B,,-1.423B,,-1.271B,-2.122B,1.00M,-4.815B,,,,1.71B,277.00M,-465.00M,-188.00M,,,,18.00M,1.54B,,3.111B,-1.872B,,1.239B,,277.00M,,,-465.00M,,,
