,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,IncomeStatementDepreciation,AmortizationExpense,RentandLandingExpense,InvestmentWriteOff,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2004-06,848.84M,867.82M,,,31.14M,,31.14M,67.46M,,29.09M,,,-241.41M,,,,,246.89M,374.58M,493.24M,,,,-241.41M,,243.99M,70.10M,173.90M,0.00,,,173.90M,345.95M,538.56M,45.32M,493.24M,0.2333,0.0,0.0,0.4642,0.2333,0.2233,0.0,0.0,0.4443,0.2233,745.27M,778.64M,0.0283
2004-03,859.68M,879.00M,,,31.94M,,31.94M,68.41M,,29.40M,,,-233.29M,,,,,255.98M,385.73M,493.27M,,,,-233.29M,,252.18M,79.38M,172.79M,0.00,,,172.79M,332.64M,540.38M,47.12M,493.27M,0.23,0.0,0.0,0.4428,0.23,0.2233,0.0,0.0,0.4299,0.2233,751.27M,773.69M,0.0283
2003-12,792.10M,809.67M,,,21.23M,,21.23M,69.65M,,26.85M,,,-228.54M,,,,,220.35M,338.08M,471.59M,,,,-228.54M,,235.94M,68.42M,167.52M,4.779M,,,172.30M,329.78M,516.60M,45.01M,471.59M,0.2267,0.0067,0.0,0.4464,0.2333,0.2167,0.0067,0.0062,0.427,0.2233,738.41M,771.47M,0.0283
2003-09,714.52M,729.63M,,,23.25M,,23.25M,70.87M,,25.50M,,,-197.77M,,,,,190.94M,310.56M,419.07M,,,,-197.77M,,214.20M,62.12M,152.08M,0.00,,,152.08M,292.50M,463.88M,44.81M,419.07M,0.2033,0.0,0.0,0.3923,0.2033,0.2,0.0,0.0,0.3851,0.2,743.25M,758.72M,0.025
2003-06,659.62M,683.91M,,,22.28M,,22.28M,70.46M,,23.40M,,,-184.66M,,,,,191.32M,307.46M,376.45M,,,,-184.66M,,185.05M,53.67M,131.39M,0.00,,,131.39M,262.49M,421.13M,44.69M,376.45M,0.1733,0.0,0.0,0.3463,0.1733,0.1733,0.0,0.0,0.3463,0.1733,758.01M,758.01M,0.025
2003-03,597.37M,613.14M,,,24.23M,,24.23M,71.40M,,21.28M,,,-157.51M,,,,,183.45M,300.36M,312.77M,,,,-157.51M,,152.23M,42.62M,109.60M,0.00,,,109.60M,223.01M,357.20M,44.43M,312.77M,0.1433,0.0,0.0,0.2916,0.1433,0.1433,0.0,0.0,0.2916,0.1433,764.67M,764.67M,0.025
2002-12,585.40M,605.45M,,,22.64M,,22.64M,72.60M,,20.28M,,,-156.54M,,,,,181.63M,297.15M,308.30M,,,,-156.54M,,148.73M,38.97M,109.76M,0.00,,,109.76M,225.29M,351.80M,43.50M,308.30M,0.1433,0.0,0.0,0.2942,0.1433,0.1433,0.0,0.0,0.2942,0.1433,765.77M,765.77M,0.025
2002-09,668.44M,612.68M,,,,,,,,,,,,,,,,,,1.537B,,,,,,,,68.50M,,,,68.50M,68.50M,1.537B,,1.537B,0.09,0.0,,0.09,0.09,0.09,0.0,,0.09,0.09,769.79M,786.05M,0.0233
2002-06,646.97M,666.05M,,,29.27M,,29.27M,75.57M,,21.92M,,,-173.57M,,,,,193.86M,320.61M,345.44M,,,,-173.57M,,168.71M,43.02M,125.69M,,,,125.69M,255.00M,392.81M,47.37M,345.44M,0.16,0.0,,0.3246,0.16,0.16,0.0,,0.3246,0.16,785.56M,785.56M,0.0233
2002-03,611.34M,625.97M,,,25.48M,,25.48M,73.20M,,21.30M,,,-162.54M,,,,,180.64M,300.62M,325.35M,,,,-162.54M,,159.99M,40.00M,120.00M,,,,120.00M,241.91M,371.08M,45.74M,325.35M,0.1533,0.0,,0.3091,0.1533,0.1533,0.0,,0.3091,0.1533,782.58M,782.58M,0.0233
2001-12,596.15M,618.21M,,,26.42M,,26.42M,74.59M,,21.12M,,,-153.94M,,,,,180.94M,303.08M,315.13M,,,,-153.94M,,158.03M,39.51M,118.52M,,,,118.52M,233.97M,360.53M,45.40M,315.13M,0.15,0.0,,0.2961,0.15,0.15,0.0,,0.2961,0.15,790.13M,790.13M,0.0233
2001-09,590.55M,603.88M,,,32.39M,,32.39M,76.19M,,36.70M,,,-146.43M,,,,,198.68M,343.96M,259.92M,,,,-146.43M,,110.35M,26.48M,83.87M,,,,83.87M,195.16M,321.94M,62.02M,259.92M,0.1033,0.0,,0.2444,0.1033,0.1033,0.0,,0.2441,0.1033,788.72M,790.58M,0.0217
2001-06,597.02M,609.47M,,,27.31M,,27.31M,70.58M,,33.03M,,,-128.28M,,,,,190.88M,321.80M,287.67M,,,,-128.28M,,157.50M,37.80M,119.70M,,,,119.70M,217.19M,346.29M,58.62M,287.67M,0.1533,0.0,,0.2782,0.1533,0.1533,0.0,,0.2782,0.1533,780.67M,780.67M,0.0217
2001-03,570.26M,577.41M,,,24.43M,,24.43M,59.00M,,27.69M,,,-130.08M,,,,,159.68M,270.81M,306.61M,,,,-130.08M,,173.27M,41.58M,131.68M,,,,131.68M,230.55M,359.49M,52.88M,306.61M,0.18,0.0,,0.3151,0.18,0.18,0.0,,0.3151,0.18,731.58M,731.58M,0.0217
2000-12,558.37M,564.07M,,,22.13M,,22.13M,57.53M,,28.14M,,,-95.73M,,,,,161.61M,269.41M,294.66M,,,,-95.73M,,196.66M,47.20M,149.46M,,,,149.46M,222.22M,345.00M,50.33M,294.66M,0.2033,0.0,,0.3023,0.2033,0.2033,0.0,,0.3023,0.2033,735.07M,735.07M,0.0217
2000-09,586.30M,593.05M,,,27.48M,,27.48M,59.89M,,29.73M,,,-126.58M,,,,,160.64M,277.74M,315.32M,,,,-126.58M,,185.32M,44.50M,140.82M,,,,140.82M,237.01M,366.06M,50.75M,315.32M,0.19,0.0,,0.3198,0.19,0.19,0.0,,0.3198,0.19,741.17M,741.17M,0.02
2000-06,564.13M,568.90M,,,25.28M,,25.28M,50.71M,,30.26M,,,-122.85M,,,,,151.13M,257.38M,311.52M,,,,-122.85M,,184.67M,44.30M,140.37M,,,,140.37M,233.75M,360.86M,49.34M,311.52M,0.1933,0.0,,0.3219,0.1933,0.1933,0.0,,0.3219,0.1933,726.05M,726.05M,0.02
2000-03,609.34M,612.53M,,,25.90M,,25.90M,51.44M,,30.88M,,,-157.12M,,,,,155.35M,263.57M,348.95M,,,,-157.12M,,188.65M,45.28M,143.37M,,,,143.37M,262.79M,399.74M,50.79M,348.95M,0.1933,0.0,,0.3544,0.1933,0.1933,0.0,,0.3525,0.1933,741.59M,750.12M,0.02
1999-12,560.04M,565.67M,,,22.54M,,22.54M,51.63M,,29.91M,,,-126.49M,,,,,150.77M,254.86M,310.80M,,,,-126.49M,,180.95M,43.43M,137.52M,,,,137.52M,233.65M,359.56M,48.76M,310.80M,0.1833,0.0,,0.3115,0.1833,0.1833,0.0,,0.3115,0.1833,750.12M,750.12M,0.02
1999-09,569.13M,573.97M,,,25.92M,,25.92M,58.08M,,33.65M,,,-133.67M,,,,,143.26M,260.91M,313.06M,,,,-133.67M,,174.26M,41.82M,132.44M,,,,132.44M,234.03M,363.10M,50.04M,313.06M,0.1733,0.0,,0.3059,0.1733,0.1733,0.0,,0.3059,0.1733,766.29M,766.29M,0.0183
1999-06,562.01M,566.78M,,,26.38M,,26.38M,53.83M,,32.88M,,,-139.13M,,,,,145.82M,258.92M,307.86M,,,,-139.13M,,163.86M,40.55M,123.31M,,,,123.31M,228.00M,343.76M,35.90M,307.86M,0.1633,0.0,,0.302,0.1633,0.1633,0.0,,0.302,0.1633,754.94M,754.94M,0.0183
1999-03,548.59M,554.07M,,,25.39M,,25.39M,52.11M,,32.25M,,,-138.81M,,,,,159.90M,269.65M,284.42M,,,,-138.81M,,140.83M,38.36M,102.47M,,,,102.47M,203.47M,346.94M,62.52M,284.42M,0.1367,0.0,,0.2714,0.1367,0.1367,0.0,,0.2714,0.1367,749.79M,749.79M,0.0183
1998-12,564.71M,567.68M,,,28.24M,,28.24M,48.48M,,34.39M,,,-152.51M,,,,,202.76M,313.87M,253.81M,,,,-152.51M,,95.13M,26.64M,68.49M,,,,68.49M,178.30M,305.36M,51.55M,253.81M,0.09,0.0,,0.2343,0.09,0.09,0.0,,0.2343,0.09,761.02M,761.02M,0.0183
1998-09,535.79M,556.58M,,,33.54M,,-385.18M,,,,,,,,,,,,2.062B,-1.505B,,,,,,151.69M,39.44M,112.25M,,,,112.25M,112.25M,-1.453B,51.90M,-1.505B,0.1467,0.0,,0.1467,0.1467,0.1467,0.0,,0.1467,0.1467,758.09M,758.09M,0.0167
1998-06,688.03M,688.03M,,,33.78M,152.69M,186.47M,,,,,,,-504.38M,,,,,-317.91M,1.006B,,,,,,177.13M,46.12M,131.01M,,,,131.01M,131.01M,1.057B,50.59M,1.006B,0.1733,0.0,,0.1733,0.1733,0.1733,0.0,,0.1733,0.1733,758.58M,759.28M,0.0167
