,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),NetOtherInvestingChanges,,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,,EndingCash(Quarterly),BeginningCash,ChangeinCash,EndingCash,,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,InterestPaidSupplementalData,,SECFilingLinks,AsOriginallyReported,Restated
2006-12,35.64M,,,-0.311M,7.32M,2.063M,9.383M,9.383M,-1.853M,,,,,1.364M,3.762M,-3.608M,-4.638M,,10.48M,0.111M,6.107M,49.90M,,2006-12,-5.213M,1.913M,-3.30M,,-239.64M,0.347M,,2006-12,,,194.27M,2.938M,,2.938M,,-8.036M,,0.014M,,2006-12,78.53M,-3.98M,77.94M,,2006-12,2.938M,,,,,,2006-12,,
2006-09,46.00M,,,-11.63M,5.634M,1.026M,6.66M,6.66M,23.43M,,,,,5.693M,-5.118M,-2.82M,-3.22M,,-14.74M,-2.40M,-28.30M,41.11M,,2006-09,-6.282M,1.848M,-4.434M,,-0.022M,-1.748M,,2006-09,,,-31.86M,0.933M,,0.933M,,-8.027M,,-0.66M,,2006-09,51.06M,27.29M,78.53M,,2006-09,0.933M,,,,,,2006-09,,
2006-06,34.96M,,,-2.149M,6.845M,1.117M,7.962M,7.962M,-25.74M,,,,,3.68M,3.31M,2.904M,0.414M,,18.36M,,24.98M,44.48M,,2006-06,-5.688M,,-5.688M,,-92.93M,0.248M,,2006-06,,,31.71M,7.18M,,7.18M,,-8.009M,,2.62M,,2006-06,71.11M,-21.13M,51.06M,,2006-06,7.18M,,,,,,2006-06,,
2006-03,30.08M,,,,6.026M,0.381M,6.407M,6.407M,5.477M,,,,,-5.831M,-16.38M,-3.679M,6.72M,,1.744M,,-11.59M,24.52M,,2006-03,-4.015M,,-4.015M,,-27.26M,,,2006-03,,,-0.599M,6.163M,,6.163M,,-6.321M,,2.039M,,2006-03,77.29M,-5.571M,71.11M,,2006-03,6.163M,,,,,,2006-03,,
2005-12,28.71M,,,,6.065M,0.419M,6.484M,6.484M,-2.781M,,,,,0.669M,5.292M,2.342M,-5.179M,,6.718M,0.744M,9.917M,42.99M,,2005-12,-5.742M,0.086M,-5.656M,,-0.766M,-0.042M,,2005-12,,,-0.852M,11.93M,,11.93M,,-6.289M,,2.332M,,2005-12,33.66M,43.55M,77.29M,,2005-12,11.93M,,,,,,2005-12,,
2005-09,28.52M,,,0.727M,6.112M,0.322M,6.434M,6.434M,8.243M,,,,,-1.829M,5.904M,-2.206M,-5.93M,,10.14M,-0.599M,7.314M,48.70M,,2005-09,-5.088M,,-5.088M,,0.00,0.013M,,2005-09,,,-26.65M,16.90M,,16.90M,,-6.182M,,-3.917M,,2005-09,8.787M,24.88M,33.66M,,2005-09,16.90M,,,,,,2005-09,,
2005-06,28.93M,,,-1.465M,6.411M,0.328M,6.739M,6.739M,-4.317M,,,,,3.997M,-16.10M,-2.744M,9.426M,,6.563M,4.437M,1.584M,36.93M,,2005-06,-5.995M,-0.025M,-6.02M,,0.00,0.029M,,2005-06,,,-29.50M,4.668M,,4.668M,,-6.148M,,2.094M,,2005-06,8.191M,0.595M,8.787M,,2005-06,4.668M,,,,,,2005-06,,
2005-03,23.64M,,,0.738M,6.958M,0.325M,7.283M,7.283M,3.171M,,,,,,-13.32M,-0.736M,1.721M,,-1.798M,-4.437M,-18.57M,16.27M,,2005-03,-5.707M,0.025M,-5.682M,,-0.425M,,,2005-03,,,-4.781M,4.004M,,4.004M,,-6.07M,,-2.396M,,2005-03,7.274M,0.917M,8.191M,,2005-03,4.004M,,,,,,2005-03,,
2004-12,22.66M,,,-4.239M,6.746M,1.013M,7.759M,7.759M,4.532M,,,,,4.266M,12.26M,-0.266M,-1.694M,,-2.09M,,13.14M,48.12M,,2004-12,-6.292M,,-5.765M,,0.237M,-0.345M,,2004-12,,,-42.30M,4.409M,,4.409M,,-6.07M,,2.633M,,2004-12,6.36M,0.914M,7.274M,,2004-12,4.409M,,,,,,2004-12,,
2004-09,23.22M,,,4.239M,7.184M,0.911M,8.095M,8.095M,3.293M,,,,,-1.501M,-1.024M,-4.077M,-2.393M,,12.16M,,4.669M,42.01M,,2004-09,-5.046M,,-5.046M,,-9.75M,-0.047M,,2004-09,,,-19.33M,1.155M,,1.155M,,-6.048M,,-2.578M,,2004-09,5.989M,0.371M,6.36M,,2004-09,1.155M,,,,,,2004-09,,
2004-06,22.83M,,,,7.092M,0.81M,7.902M,7.902M,1.814M,,,,,5.139M,-7.464M,-3.273M,9.167M,,-3.414M,,-4.984M,32.70M,,2004-06,-4.411M,,-4.411M,,-120.82M,0.062M,,2004-06,,,84.68M,9.267M,,9.267M,,-4.669M,,1.347M,,2004-06,7.832M,-1.843M,5.989M,,2004-06,9.267M,,,,,,2004-06,,
2004-03,17.69M,,,,6.976M,0.797M,7.773M,7.773M,1.143M,,,,,-7.904M,-9.729M,-1.668M,6.817M,,5.336M,,0.756M,19.46M,,2004-03,-5.348M,,-5.348M,,-40.65M,0.33M,,2004-03,,,24.65M,8.017M,,8.017M,,-4.628M,,-2.55M,,2004-03,8.552M,-0.72M,7.832M,,2004-03,8.017M,,,,,,2004-03,,
2003-12,16.20M,,,,6.17M,0.564M,6.734M,6.734M,4.809M,,,,,-5.418M,15.57M,4.816M,-5.718M,,-7.45M,-8.139M,-0.924M,21.41M,,2003-12,-6.704M,3.436M,-3.268M,,0.209M,-3.326M,,2003-12,,,-13.22M,2.323M,,2.323M,,-4.605M,,0.871M,,2003-12,8.163M,0.389M,8.552M,,2003-12,2.323M,,,,,,2003-12,,
2003-09,16.51M,,,,6.877M,0.787M,7.664M,7.664M,2.056M,,,,,,9.90M,3.964M,-3.433M,,5.284M,1.284M,17.00M,43.23M,,2003-09,-5.207M,,-5.207M,,-3.787M,0.132M,,2003-09,,,-31.18M,6.284M,,6.284M,,-4.577M,,-2.586M,,2003-09,5.856M,2.307M,8.163M,,2003-09,6.284M,,,,,,2003-09,,
2003-06,16.94M,,,,6.817M,0.785M,7.602M,7.602M,2.22M,,,,,0.495M,-11.86M,-2.612M,6.06M,,4.493M,6.855M,2.932M,30.19M,,2003-06,-4.615M,-3.037M,-7.652M,,-10.38M,3.194M,,2003-06,,,-18.33M,4.021M,,4.021M,,-4.551M,,1.588M,,2003-06,7.772M,-1.916M,5.856M,,2003-06,4.021M,,,,,,2003-06,,
2003-03,12.70M,,,,7.282M,0.773M,8.055M,8.055M,1.402M,,,,,-0.495M,-6.736M,-1.544M,3.302M,,0.181M,,-4.797M,16.86M,,2003-03,-3.792M,3.037M,-0.755M,,-8.00M,,,2003-03,,,-0.70M,0.548M,,0.548M,,-4.551M,,-2.582M,,2003-03,6.952M,0.82M,7.772M,,2003-03,0.548M,,,,,,2003-03,,
2002-12,12.17M,,,,6.161M,0.719M,6.88M,6.88M,4.077M,,,,,,10.90M,3.111M,-2.601M,,-13.07M,,-1.661M,22.10M,,2002-12,-6.221M,,-2.287M,,-5.392M,,,2002-12,,,-11.56M,0.006M,,0.006M,,-4.544M,,2.543M,,2002-12,6.088M,0.864M,6.952M,,2002-12,0.006M,,,,,,2002-12,,
2002-09,14.79M,,,2.928M,6.921M,0.666M,7.587M,7.587M,2.44M,,,,,,2.122M,1.951M,-1.895M,,1.872M,,4.05M,31.79M,,2002-09,-4.069M,,-4.069M,,-64.00M,,,2002-09,,,41.23M,0.538M,,0.538M,,-4.542M,,-2.558M,,2002-09,7.692M,-1.604M,6.088M,,2002-09,0.538M,,,,,,2002-09,,
2002-06,15.61M,,,-1.347M,6.982M,0.806M,7.788M,7.788M,2.825M,,,,,,-9.038M,-1.807M,6.543M,,10.10M,,5.795M,30.67M,,2002-06,-4.66M,,-4.66M,,-5.538M,,,2002-06,,,-72.18M,54.57M,,54.57M,,-4.332M,,2.448M,,2002-06,6.721M,0.971M,7.692M,,2002-06,54.57M,,,,,,2002-06,,
2002-03,11.54M,,,-1.581M,7.039M,0.811M,7.85M,7.85M,0.25M,,,,,,-2.973M,2.991M,4.978M,,0.787M,,5.783M,23.85M,,2002-03,-4.385M,,-4.385M,,,,,2002-03,,,-12.00M,1.48M,,1.48M,,-4.303M,,-2.891M,,2002-03,4.972M,1.749M,6.721M,,2002-03,1.48M,,,,,,2002-03,,
2001-12,4.304M,,,-5.661M,5.772M,4.602M,10.37M,10.37M,-3.586M,,,,,,16.19M,8.755M,-5.138M,,3.335M,,23.14M,22.53M,,2001-12,-5.348M,,-3.54M,,-2.533M,,,2001-12,,,-16.82M,0.845M,,0.845M,,-4.296M,,2.435M,,2001-12,6.352M,-1.38M,4.972M,,2001-12,0.845M,,,,,,2001-12,,
2001-09,8.184M,,,0.00,7.158M,4.545M,11.70M,11.70M,1.191M,,,,,,2.151M,2.485M,2.531M,,4.196M,,11.36M,32.44M,,2001-09,-5.181M,,-5.181M,,-0.125M,,,2001-09,,,-27.06M,3.161M,,3.161M,,-4.272M,,-2.458M,,2001-09,9.85M,-3.498M,6.352M,,2001-09,3.161M,,,,,,2001-09,,
2001-06,12.99M,,,0.00,6.526M,4.412M,10.94M,10.94M,1.719M,,,,,,2.406M,8.211M,-5.48M,,-0.767M,,4.37M,30.02M,,2001-06,-5.807M,,-5.807M,,-23.13M,,,2001-06,,,-0.832M,2.915M,,2.915M,,-4.257M,,2.625M,,2001-06,8.317M,1.533M,9.85M,,2001-06,2.915M,,,,,,2001-06,,
2001-03,7.229M,,,5.661M,6.898M,4.384M,11.28M,11.28M,0.524M,,,,,,3.26M,2.781M,0.88M,,-11.12M,,-4.199M,20.50M,,2001-03,-5.303M,,-5.303M,,-106.51M,,,2001-03,,,95.69M,2.08M,,2.08M,,-4.236M,,-2.318M,,2001-03,8.415M,-0.098M,8.317M,,2001-03,2.08M,,,,,,2001-03,,
2000-12,13.54M,,,,,,8.726M,8.726M,1.081M,,,,,-3.96M,4.054M,-1.167M,0.082M,,5.82M,,8.789M,28.17M,,2000-12,-6.914M,,-5.367M,,-0.144M,,,2000-12,,,-20.52M,1.169M,0.00,1.169M,,-4.215M,,2.47M,,2000-12,6.851M,1.564M,8.415M,,2000-12,1.169M,,,0.00,,,2000-12,,
2000-09,16.56M,,,,,,9.472M,9.472M,-0.025M,,,,,,7.888M,1.917M,-8.088M,,-1.078M,,0.639M,26.65M,,2000-09,-5.258M,,-5.258M,,0.00,,,2000-09,,,-13.67M,0.50M,0.00,0.50M,,-4.211M,,-2.667M,,2000-09,5.508M,1.343M,6.851M,,2000-09,0.50M,,,0.00,,,2000-09,,
2000-06,17.53M,,,,,,9.485M,9.485M,0.488M,,,,,4.904M,-7.487M,-3.163M,1.718M,,-10.99M,,-19.92M,12.48M,,2000-06,-4.219M,,-4.219M,,-34.37M,,,2000-06,,,28.01M,0.761M,0.00,0.761M,,-4.203M,,2.626M,,2000-06,4.414M,1.094M,5.508M,,2000-06,0.761M,,,0.00,,,2000-06,,
2000-03,15.81M,,,,,,9.021M,9.021M,-0.463M,,,,,-4.904M,-4.564M,0.003M,4.688M,,4.281M,,4.408M,23.88M,,2000-03,-4.348M,,-4.348M,,,,,2000-03,,,-11.65M,0.432M,-0.046M,0.386M,,-4.152M,,-2.596M,,2000-03,2.895M,1.519M,4.414M,,2000-03,0.432M,,,-0.046M,,,2000-03,,
1999-12,13.90M,,,,,,8.60M,8.60M,0.60M,,,,,0.30M,6.30M,-0.30M,-0.30M,,6.10M,,10.70M,34.10M,,1999-12,-3.80M,,-3.80M,,,,,1999-12,,,-30.50M,0.00,0.00,0.00,,-4.10M,,2.40M,,1999-12,4.90M,-1.90M,2.90M,,1999-12,0.00,,,0.00,,,1999-12,,
1999-09,14.50M,,,,,,9.20M,9.20M,0.40M,,,,,-0.20M,0.70M,1.50M,-1.40M,,0.60M,,1.40M,25.30M,,1999-09,-5.90M,,-5.90M,,,,,1999-09,,,-16.10M,1.40M,0.00,1.40M,,-4.10M,,-2.60M,,1999-09,0.00,-2.00M,4.90M,,1999-09,1.40M,,,0.00,,,1999-09,,
1999-06,14.10M,,,,,,8.40M,8.40M,2.80M,,,,,1.10M,-2.40M,-0.10M,-0.10M,,-3.90M,,-6.50M,19.90M,,1999-06,-53.00M,,-53.00M,,,,,1999-06,,,36.70M,1.50M,0.00,1.50M,,-4.20M,,2.10M,,1999-06,0.00,3.00M,0.00,,1999-06,1.50M,,,0.00,,,1999-06,,
1999-03,11.90M,,,,,,8.60M,8.60M,-0.10M,,,,,-1.00M,-5.50M,3.70M,-1.30M,,0.60M,,-2.50M,16.90M,,1999-03,-4.10M,,-4.10M,,,,,1999-03,,,-4.80M,,-0.10M,-0.10M,,-4.10M,,-2.60M,,1999-03,2.70M,1.20M,0.00,,1999-03,,,,-0.10M,,,1999-03,,
1998-12,11.70M,,,0.00,,,7.90M,7.90M,1.10M,,,,,0.20M,4.70M,-1.00M,6.00M,,-3.50M,,2.30M,22.90M,,1998-12,-4.50M,0.00,-4.50M,,,,,1998-12,,,-24.50M,3.30M,,3.30M,,-3.90M,,2.50M,,1998-12,0.00,-4.20M,2.70M,,1998-12,3.30M,,,,,,1998-12,,
1998-09,14.30M,,,-0.60M,,,8.80M,8.80M,0.60M,,,,,0.10M,5.70M,1.90M,-3.70M,,1.20M,,5.10M,28.10M,,1998-09,-3.80M,17.40M,13.60M,,,,,1998-09,,,-33.90M,-0.90M,,-0.90M,,-4.00M,,-1.80M,,1998-09,0.00,1.10M,0.00,,1998-09,-0.90M,,,,,,1998-09,,
1998-06,23.90M,,,-8.80M,,,8.70M,8.70M,1.80M,,,,,-0.20M,0.40M,1.50M,-2.50M,,-2.50M,,-3.10M,26.50M,,1998-06,-123.50M,22.30M,-101.20M,,,118.10M,,1998-06,,,-47.80M,0.90M,,0.90M,,-4.00M,,6.60M,,1998-06,0.00,-0.90M,0.00,,1998-06,0.90M,,,,,,1998-06,,
