,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,,DilutedEPS(Quarterly),NormalizedDilutedEPS,EPSDiluted,,AverageDilutedSharesOutstanding,DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2003-03,6.043B,6.043B,4.067B,1.976B,,897.00M,947.00M,,,218.00M,,,,-61.00M,1.783B,193.00M,,,,218.00M,,257.00M,88.00M,169.00M,,25.65M,626.00M,433.00M,193.00M,,0.00,0.0559,0.49,,2003-03,0.0584,0.49,,332.16M,0.28,,2003-03,,
2002-12,8.146B,8.146B,5.415B,2.731B,,1.272B,919.00M,,,-204.00M,,,,6.00M,2.197B,534.00M,,,,-204.00M,,280.00M,106.00M,174.00M,,300.77M,1.04B,506.00M,534.00M,,,1.067,0.6769,,2002-12,1.062,0.5600,,329.39M,0.28,,2002-12,,
2002-09,6.371B,6.371B,4.126B,2.245B,,1.017B,961.00M,,,40.00M,,,,-85.00M,1.893B,352.00M,,,,40.00M,,215.00M,104.00M,111.00M,,87.00M,854.00M,502.00M,352.00M,,0.00,0.2768,0.35,,2002-09,0.2772,0.35,,329.74M,0.28,,2002-09,,
2002-06,6.741B,6.741B,4.518B,2.223B,,2.05B,944.00M,,,-2.419B,,,,,2.994B,-771.00M,,,,-2.419B,,-3.29B,-969.00M,-2.321B,,-614.47M,-228.00M,543.00M,-771.00M,,0.00,-1.894,-7.140,,2002-06,-1.894,-7.140,,325.31M,0.28,,2002-06,,
2002-03,6.021B,6.021B,4.248B,1.773B,,1.042B,892.00M,,,-382.00M,,,,3.00M,1.937B,-164.00M,,,,-382.00M,,-651.00M,-202.00M,-449.00M,,-185.53M,393.00M,557.00M,-164.00M,,0.00,-0.5816,-1.400,,2002-03,-0.5816,-1.400,,321.93M,0.28,,2002-03,,
2001-12,7.925B,7.925B,5.817B,2.108B,,1.343B,980.00M,,,-1.53B,,,,537.00M,2.86B,-752.00M,,,,-1.53B,,-1.853B,-616.00M,-1.237B,,-215.62M,-119.00M,633.00M,-752.00M,,,-0.3738,-3.617,,2001-12,-0.4236,-3.850,,319.87M,0.28,,2001-12,,
2001-09,7.392B,7.392B,5.476B,1.916B,,1.121B,1.037B,,,-1.837B,,,,1.408B,3.566B,-1.65B,,,,-1.837B,,-2.219B,-811.00M,-1.408B,,-242.39M,-1.06B,590.00M,-1.65B,,0.00,-0.7998,-4.480,,2001-09,-0.7998,-4.480,,316.73M,0.28,,2001-09,,
2001-06,7.522B,7.522B,5.434B,2.088B,,989.00M,1.086B,,,-170.00M,,,,,2.664B,-576.00M,,,,-170.00M,,-848.00M,-89.00M,-759.00M,,-606.84M,82.00M,658.00M,-576.00M,,0.00,-1.966,-2.450,,2001-06,-1.966,-2.450,,314.70M,0.28,,2001-06,,
2001-03,7.683B,7.683B,6.117B,1.566B,,1.187B,1.172B,,,263.00M,,,,72.00M,2.431B,-865.00M,,,,263.00M,,-591.00M,-58.00M,-533.00M,,-770.19M,-194.00M,671.00M,-865.00M,,0.00,-2.437,-1.680,,2001-03,-2.437,-1.680,,313.43M,0.28,,2001-03,,
2000-12,9.83B,9.83B,8.33B,1.50B,,2.059B,1.144B,,,,,,,,2.002B,-502.00M,,,,,,413.00M,278.00M,135.00M,,135.00M,302.00M,804.00M,-502.00M,,,0.3605,0.3605,,2000-12,0.14,0.3605,,321.69M,0.28,,2000-12,,
2000-09,9.493B,9.493B,6.13B,3.363B,,768.00M,1.171B,,,,,,,,2.531B,832.00M,,,,,,758.00M,227.00M,531.00M,,531.00M,1.424B,592.00M,832.00M,,0.00,1.680,1.680,,2000-09,1.610,1.610,,323.71M,0.28,,2000-09,,
2000-06,9.255B,9.255B,5.513B,3.742B,,1.598B,1.107B,,,,,,,,3.268B,474.00M,,,,,,420.00M,216.00M,204.00M,,204.00M,1.037B,563.00M,474.00M,,0.00,0.6300,0.6300,,2000-06,0.6300,0.6300,,321.39M,0.28,,2000-06,,
2000-03,8.768B,8.768B,5.195B,3.573B,,1.308B,1.015B,,,,,,,,2.886B,687.00M,,,,,,640.00M,192.00M,448.00M,,448.00M,1.25B,563.00M,687.00M,,0.00,1.470,1.470,,2000-03,1.400,1.400,,324.28M,0.28,,2000-03,,
1999-12,9.086B,9.086B,6.019B,3.067B,,994.00M,1.032B,,,,,,,,2.589B,478.00M,,,,,,458.00M,135.00M,323.00M,,323.00M,1.158B,680.00M,478.00M,,,1.573,1.573,,1999-12,1.120,1.120,,284.57M,0.28,,1999-12,,
1999-09,8.223B,8.223B,5.281B,2.942B,,1.295B,913.00M,,,,,,,,2.745B,197.00M,,,,,,164.00M,50.00M,114.00M,,114.00M,734.00M,537.00M,197.00M,,0.00,0.35,0.35,,1999-09,0.35,0.35,,325.71M,0.28,,1999-09,,
1999-06,8.03B,8.03B,4.744B,3.286B,,1.46B,842.00M,,,,,,,,2.867B,419.00M,,,,,,372.00M,117.00M,255.00M,,255.00M,989.00M,570.00M,419.00M,,0.00,0.8400,0.8400,,1999-06,0.8400,0.8400,,313.11M,0.28,,1999-06,,
1999-03,7.736B,7.736B,4.592B,3.144B,,1.471B,773.00M,,,,,,,,2.817B,327.00M,,,,,,289.00M,90.00M,199.00M,,199.00M,900.00M,573.00M,327.00M,,0.00,0.6300,0.6300,,1999-03,0.6300,0.6300,,315.87M,0.28,,1999-03,,
1998-12,10.28B,10.28B,4.416B,5.863B,,1.86B,,,,151.00M,,,,,5.631B,232.00M,,,,151.00M,,321.00M,107.00M,214.00M,,113.33M,961.00M,729.00M,232.00M,,,0.4968,0.8892,,1998-12,0.6460,0.8892,,413.86M,0.28,,1998-12,,
1998-09,7.152B,7.152B,5.153B,1.999B,,1.359B,,,,,,,,,1.898B,101.00M,,,,,,39.00M,12.00M,27.00M,,27.00M,640.00M,539.00M,101.00M,,0.00,0.14,0.14,,1998-09,0.07,0.07,,256.84M,0.28,,1998-09,,
1998-06,7.023B,7.023B,4.315B,2.708B,,1.329B,722.00M,,,-1.98B,,,,,2.572B,136.00M,,,,-1.98B,,-1.897B,-569.00M,-1.328B,,58.10M,657.00M,521.00M,136.00M,,0.00,0.2266,-5.180,,1998-06,0.2266,-5.180,,256.37M,0.28,,1998-06,,
