,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,IncomeStatementDepreciation,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2002-10,455.72M,455.72M,213.08M,242.63M,69.20M,109.30M,,14.21M,-7.888M,,,,8.405M,201.12M,41.52M,,,,-7.888M,,46.36M,11.59M,34.77M,,,,34.77M,40.69M,104.26M,62.74M,41.52M,0.1,0.0,,0.1163,0.1,0.1,0.0,,0.1157,0.1,364.02M,377.28M,
2002-07,445.45M,445.45M,208.18M,237.27M,67.14M,107.04M,,14.33M,-12.82M,,,,12.84M,201.34M,35.92M,,,,-12.82M,,39.66M,8.249M,31.41M,,,,31.41M,41.57M,95.60M,59.67M,35.92M,0.09,0.0,,0.1178,0.09,0.08,0.0,,0.1067,0.08,365.06M,380.77M,
2002-04,413.37M,413.37M,192.54M,220.83M,62.35M,102.82M,,14.23M,-27.20M,,,,27.25M,206.66M,14.17M,,,,-27.20M,,20.04M,5.61M,14.43M,,,,14.43M,34.01M,73.12M,58.95M,14.17M,0.04,0.0,,0.0937,0.04,0.04,0.0,,0.0911,0.04,364.54M,383.46M,
2002-01,392.97M,392.97M,189.18M,203.80M,58.36M,104.71M,,14.10M,1.091M,,,,,177.17M,26.62M,,,,1.091M,,34.29M,9.602M,24.69M,,,,24.69M,23.90M,83.26M,56.63M,26.62M,0.07,0.0,,0.0678,0.07,0.06,0.0,,0.058,0.06,363.15M,383.47M,
2001-10,423.31M,423.31M,203.43M,219.88M,57.45M,106.05M,,14.49M,-20.97M,,,,20.85M,198.84M,21.04M,,,,-20.97M,,32.71M,8.506M,24.20M,,,,24.20M,39.71M,76.56M,55.51M,21.04M,0.07,0.0,,0.113,0.07,0.06,0.0,,0.1006,0.06,361.11M,381.78M,
2001-07,479.89M,479.89M,226.01M,253.88M,66.58M,112.10M,,14.01M,-25.94M,,,,26.16M,218.85M,35.03M,,,,-25.94M,,49.68M,10.38M,39.30M,,,,39.30M,59.83M,88.52M,53.48M,35.03M,0.11,0.0,,0.1671,0.11,0.1,0.0,,0.1537,0.1,359.54M,381.90M,
2001-04,601.44M,601.44M,206.43M,395.02M,77.56M,124.82M,52.21M,14.00M,1.173M,,,,-52.21M,216.38M,178.64M,,,,1.173M,,147.17M,44.68M,102.50M,,,,102.50M,101.68M,244.84M,52.21M,178.64M,0.29,0.0,,0.2877,0.29,0.27,0.0,,0.2679,0.27,358.74M,380.78M,
2001-01,772.27M,772.27M,320.02M,452.25M,85.55M,121.71M,,10.31M,18.62M,,,,,217.57M,234.68M,,,,18.62M,,277.68M,87.30M,190.38M,,,,190.38M,177.61M,283.97M,49.28M,234.68M,0.53,0.0,,0.4943,0.53,0.5,0.0,,0.4667,0.5,357.07M,383.39M,
2000-10,805.62M,805.62M,333.73M,471.89M,80.57M,123.42M,,,-1.732M,,,,,203.99M,267.90M,,,,-1.732M,,285.34M,85.47M,199.87M,,,,199.87M,201.09M,314.12M,46.23M,267.90M,0.56,0.0,,0.5634,0.56,0.52,0.0,,0.5232,0.52,356.38M,384.31M,
2000-07,700.66M,700.66M,300.52M,400.14M,77.20M,103.43M,,,44.02M,,,,,180.63M,219.51M,,,,44.02M,,278.94M,86.74M,192.20M,,,,192.20M,161.87M,256.64M,37.13M,219.51M,0.54,0.0,,0.4546,0.54,0.5,0.0,,0.4209,0.5,355.02M,383.54M,
2000-04,581.00M,581.00M,257.18M,323.81M,71.07M,90.70M,,,12.32M,,,,,161.78M,162.04M,,,,12.32M,,174.36M,52.31M,122.05M,,,,122.05M,113.43M,199.45M,37.42M,162.04M,0.35,0.0,,0.3255,0.35,0.32,0.0,,0.2974,0.32,352.71M,382.32M,
2000-01,490.30M,490.30M,225.10M,265.20M,64.50M,83.00M,,,9.40M,,,,,147.50M,117.70M,,,,9.40M,,127.10M,34.10M,93.00M,,,,93.00M,86.12M,153.60M,35.90M,117.70M,0.27,0.0,,0.2503,0.27,0.25,0.0,,0.2316,0.25,349.35M,374.46M,
1999-10,431.10M,431.10M,170.10M,261.00M,59.70M,75.40M,,,-9.90M,,,,,170.90M,90.10M,,,,-9.90M,,97.60M,24.40M,73.20M,,,,73.20M,80.62M,125.90M,35.80M,90.10M,0.21,0.0,,0.2307,0.21,0.2,0.0,,0.2207,0.2,358.66M,358.66M,
1999-07,378.80M,378.80M,154.60M,224.20M,54.60M,67.10M,,,5.30M,,,,,157.60M,66.60M,,,,5.30M,,71.80M,17.20M,54.60M,,,,54.60M,50.57M,102.50M,35.90M,66.60M,0.16,0.0,,0.1483,0.16,0.15,0.0,,0.139,0.15,345.42M,366.96M,
1999-04,340.07M,340.07M,140.70M,199.37M,49.20M,61.90M,,,1.40M,,,,,146.80M,52.57M,,,,1.40M,,50.70M,11.60M,39.10M,,,,39.10M,38.02M,88.27M,35.70M,52.57M,0.12,0.0,,0.1168,0.12,0.11,0.0,,0.107,0.11,334.02M,361.40M,
1999-01,300.50M,300.50M,127.60M,172.90M,46.20M,52.60M,,,-1.50M,,,,,134.00M,38.90M,,,,-1.50M,,37.40M,7.50M,29.90M,,,,29.90M,31.10M,74.10M,35.20M,38.90M,0.1,0.0,,0.104,0.1,0.09,0.0,,0.0936,0.09,299.00M,332.22M,
1998-10,297.70M,297.70M,130.70M,167.00M,46.60M,53.10M,,,19.00M,,,,,134.00M,33.00M,,,,19.00M,,31.00M,4.70M,26.30M,,0.0,,26.30M,10.18M,67.30M,34.30M,33.00M,0.08,0.12,0.0,0.0267,0.2,0.075,0.12,-0.0024,0.0378,0.185,302.59M,433.00M,
1998-07,295.70M,295.70M,129.50M,166.20M,48.20M,55.10M,,,-19.80M,,,,,135.60M,30.60M,,,,-19.80M,,10.80M,1.70M,9.10M,,,,9.10M,25.78M,62.90M,32.30M,30.60M,0.03,0.0,,0.085,0.03,0.03,0.0,,0.085,0.03,303.33M,303.33M,
