,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2006-12,252.00M,252.00M,5.648B,,5.648B,747.00M,257.00M,832.00M,,1.784B,1.599B,9.283B,,,,,,8.527B,-4.497B,4.03B,6.00B,795.00M,6.795B,,2.088B,12.91B,22.20B,,3.969B,,,3.969B,1.00B,4.969B,634.00M,634.00M,,,2.433B,8.036B,4.255B,4.255B,,,,131.00M,,2.196B,6.451B,14.49B,,,,,,,7.578B,7.578B,,,
2006-09,293.00M,293.00M,5.697B,,5.697B,655.00M,294.00M,834.00M,,1.731B,1.543B,9.264B,0.00,295.00M,1.794B,5.787B,589.00M,8.465B,-4.497B,3.968B,5.91B,799.00M,6.709B,463.00M,1.517B,12.66B,21.92B,,4.216B,229.00M,,4.445B,,4.445B,577.00M,577.00M,,,2.205B,8.146B,4.166B,4.166B,,,349.00M,129.00M,,1.776B,6.291B,14.44B,,8.00M,5.715B,1.273B,7.00M,,366.00M,7.355B,,AOR,Restated
2006-06,380.00M,380.00M,5.686B,,5.686B,661.00M,303.00M,825.00M,,1.74B,1.538B,9.344B,,,,,,7.987B,-4.017B,3.97B,5.758B,779.00M,6.537B,,2.205B,12.71B,22.06B,,4.315B,,,4.315B,1.258B,5.573B,833.00M,833.00M,,,2.277B,8.683B,4.18B,4.18B,,,,136.00M,,2.148B,6.328B,15.01B,,,,,,,6.909B,6.909B,,,
2006-03,154.00M,154.00M,5.671B,,5.671B,626.00M,283.00M,738.00M,,1.598B,1.497B,8.92B,,,,,,7.967B,-4.017B,3.95B,5.672B,784.00M,6.456B,,1.866B,12.27B,21.19B,,4.27B,,,4.27B,1.078B,5.348B,1.028B,1.028B,,,2.10B,8.476B,4.185B,4.185B,,,,138.00M,,1.998B,6.183B,14.66B,,,,,,,6.395B,6.395B,,,
2005-12,167.60M,167.60M,5.691B,,5.691B,651.00M,259.90M,716.10M,,1.579B,1.496B,8.934B,,,,,,7.989B,-4.017B,3.971B,,6.413B,6.413B,,1.829B,12.21B,21.15B,,4.096B,,,4.096B,1.031B,5.127B,1.325B,1.325B,,,2.269B,8.721B,4.002B,4.002B,,,,167.70M,,2.113B,6.115B,14.84B,,,5.071B,,,,1.073B,6.144B,,,
2005-09,171.00M,171.00M,4.987B,,4.987B,497.00M,158.00M,378.00M,,983.00M,998.00M,7.139B,0.00,249.00M,1.784B,5.086B,479.00M,7.598B,-4.017B,3.581B,3.733B,289.00M,4.022B,445.00M,957.00M,9.005B,16.14B,,3.938B,44.00M,,3.982B,,3.982B,765.00M,765.00M,,,1.39B,6.841B,1.577B,1.577B,,,159.00M,196.00M,,1.313B,3.049B,9.89B,,8.00M,4.905B,1.092B,7.00M,,60.00M,6.058B,,AOR,Restated
2005-06,385.20M,385.20M,4.229B,300.50M,4.529B,466.70M,143.60M,332.90M,,915.00M,895.20M,6.725B,,,,,,7.090B,-3.797B,3.294B,,3.944B,3.944B,,1.199B,8.436B,15.16B,,3.544B,,,3.544B,774.40M,4.319B,613.60M,613.60M,,,1.350B,6.282B,1.632B,1.632B,,,,142.90M,,1.327B,2.959B,9.241B,,,4.670B,,,,1.107B,5.777B,,,
2005-03,350.20M,350.20M,4.346B,320.20M,4.666B,497.30M,144.50M,306.60M,,920.20M,970.70M,6.908B,,,,,,7.308B,-3.797B,3.511B,,3.974B,3.974B,,1.126B,8.611B,15.52B,,3.731B,,,3.731B,687.80M,4.419B,601.40M,601.40M,,,1.311B,6.331B,1.665B,1.665B,,,,289.70M,,1.541B,3.206B,9.537B,,,4.463B,,,,1.228B,5.692B,,,
2004-12,240.70M,240.70M,3.995B,362.00M,4.357B,498.50M,138.10M,341.10M,,949.80M,1.309B,6.856B,,,,,,7.411B,-3.797B,3.614B,,4.055B,4.055B,,1.151B,8.820B,15.68B,,3.529B,,,3.529B,623.90M,4.152B,1.119B,1.119B,,,1.352B,6.623B,1.668B,1.668B,,,,294.80M,,1.508B,3.177B,9.800B,,8.00M,4.356B,95.30M,14.50M,,1.136B,5.582B,,,
2004-09,99.20M,99.20M,3.816B,271.80M,4.088B,462.70M,139.10M,291.30M,,858.30M,725.50M,6.350B,0.00,249.00M,1.558B,4.781B,382.00M,6.971B,-3.637B,3.334B,3.566B,290.90M,3.857B,447.60M,769.30M,8.408B,14.76B,,3.425B,48.60M,197.20M,3.671B,,3.671B,1.04B,1.04B,,,1.117B,6.421B,1.631B,1.631B,,,164.10M,121.50M,,1.215B,3.010B,9.431B,,8.00M,4.188B,953.00M,14.50M,,71.90M,5.206B,,AOR,Restated
2004-06,120.80M,120.80M,3.815B,330.90M,4.146B,467.50M,117.10M,320.90M,,878.70M,767.30M,5.912B,,,,,,6.628B,-3.420B,3.208B,,3.637B,3.637B,,1.215B,8.06B,13.97B,,3.563B,,,3.563B,673.80M,4.236B,437.40M,437.40M,,,1.101B,5.775B,1.835B,1.835B,,,,251.80M,,1.194B,3.028B,8.803B,,,,,,,4.918B,4.918B,,,
2004-03,226.40M,226.40M,3.780B,349.60M,4.130B,453.10M,116.90M,303.00M,,846.40M,799.80M,6.002B,,,,,,6.625B,-3.420B,3.205B,,3.676B,3.676B,,1.235B,8.116B,14.12B,,3.58B,,,3.58B,628.70M,4.209B,690.10M,690.10M,,,1.087B,5.986B,1.889B,1.889B,,,,245.70M,,1.228B,3.117B,9.103B,,,,,,,4.769B,4.769B,,,
2003-12,302.60M,302.60M,3.491B,318.70M,3.809B,461.00M,108.70M,302.60M,,845.60M,792.60M,5.750B,,,,,,6.546B,-3.420B,3.126B,,3.615B,3.615B,,1.180B,7.921B,13.67B,,3.253B,,,3.253B,577.80M,3.831B,848.50M,848.50M,,,1.052B,5.732B,1.831B,1.831B,,,,229.50M,,1.298B,3.128B,8.860B,,,,,,,4.582B,4.582B,,,
2003-09,136.10M,136.10M,3.539B,323.00M,3.862B,435.50M,105.80M,310.90M,,825.90M,796.20M,5.620B,0.00,238.20M,1.605B,4.204B,336.20M,6.383B,-3.420B,2.963B,3.163B,316.90M,3.480B,408.10M,655.90M,7.507B,13.13B,,3.329B,58.70M,,3.388B,,3.388B,578.30M,578.30M,,,1.072B,5.584B,1.777B,1.777B,,,167.80M,221.80M,,1.116B,3.060B,8.644B,,112.20M,3.541B,748.00M,9.50M,97.10M,-106.90M,4.261B,,AOR,Restated
2003-06,253.70M,253.70M,3.446B,269.40M,3.715B,428.10M,139.50M,339.00M,,877.60M,773.60M,5.620B,,,,,,5.772B,-2.911B,2.861B,,3.394B,3.394B,,1.025B,7.280B,12.90B,,3.17B,,,3.17B,604.30M,3.774B,1.195B,1.195B,,,1.225B,6.194B,1.295B,1.295B,,,,215.50M,,1.075B,2.370B,8.564B,,,,,,,4.120B,4.120B,,,
2003-03,278.10M,278.10M,3.194B,279.60M,3.473B,388.10M,131.30M,314.70M,,804.70M,688.10M,5.244B,,,,,,5.545B,-2.911B,2.634B,,3.330B,3.330B,,822.50M,6.786B,12.03B,,2.935B,,,2.935B,549.50M,3.485B,840.80M,840.80M,,,1.204B,5.530B,1.526B,1.526B,,,,215.20M,,952.90M,2.479B,8.009B,,,,,,,3.806B,3.806B,,,
2002-12,351.60M,351.60M,3.026B,311.70M,3.338B,402.10M,105.50M,303.70M,,781.20M,680.30M,5.151B,,,,,,5.525B,-2.911B,2.614B,,3.252B,3.252B,,759.40M,6.625B,11.78B,,2.676B,,,2.676B,580.00M,3.256B,943.40M,943.40M,,,1.289B,5.489B,1.526B,1.526B,,,,212.00M,,884.80M,2.411B,7.900B,,,,,,,3.664B,3.664B,,,
2002-09,262.00M,262.00M,3.064B,333.40M,3.398B,361.20M,80.40M,242.50M,,653.60M,632.90M,4.946B,0.00,231.30M,1.349B,3.508B,267.90M,5.357B,-2.911B,2.446B,2.755B,243.50M,2.998B,347.40M,428.10M,6.219B,11.17B,,2.789B,182.70M,,2.972B,,2.972B,145.20M,145.20M,,,1.183B,4.806B,1.827B,1.827B,,,170.50M,189.00M,,673.30M,2.670B,7.477B,,118.70M,2.994B,690.00M,12.00M,103.80M,-246.40M,3.500B,,AOR,Restated
2002-06,206.80M,206.80M,3.000B,330.70M,3.331B,352.10M,102.00M,231.30M,,650.10M,649.20M,4.837B,,,,,,5.025B,-2.589B,2.436B,,2.955B,2.955B,,686.10M,6.077B,10.91B,,2.673B,,,2.673B,570.20M,3.243B,189.90M,189.90M,,,1.217B,4.650B,1.936B,1.936B,,,,196.70M,,786.60M,2.723B,7.372B,,,2.834B,,,,511.10M,3.345B,,,
2002-03,216.10M,216.10M,2.783B,332.30M,3.115B,340.80M,90.50M,237.60M,,634.50M,633.90M,4.599B,,,,,,4.996B,-2.589B,2.407B,,2.762B,2.762B,,623.40M,5.793B,10.39B,,2.491B,,,2.491B,519.60M,3.011B,249.70M,249.70M,,,1.171B,4.431B,1.909B,1.909B,,,,201.60M,,716.30M,2.625B,7.056B,,,2.690B,,,,444.40M,3.134B,,,
2001-12,261.00M,261.00M,2.777B,264.10M,3.041B,368.00M,104.40M,222.60M,,659.70M,636.90M,4.599B,,,,,,5.035B,-2.589B,2.446B,,2.836B,2.836B,,619.00M,5.901B,10.50B,,2.417B,,,2.417B,487.60M,2.905B,399.60M,399.60M,,,1.269B,4.574B,1.927B,1.927B,,,,203.10M,,739.90M,2.667B,7.241B,,,2.606B,,,,449.20M,3.056B,,,
2001-09,374.60M,374.60M,2.673B,254.90M,2.928B,331.30M,77.20M,203.80M,,577.60M,663.50M,4.544B,0.00,223.80M,1.243B,3.191B,310.70M,4.968B,-2.589B,2.380B,2.247B,135.90M,2.383B,300.50M,304.00M,5.368B,9.912B,,2.437B,137.80M,,2.575B,,2.575B,425.20M,425.20M,,,1.143B,4.580B,1.395B,1.395B,,,162.50M,207.30M,,581.80M,2.139B,6.719B,,138.00M,2.518B,646.10M,25.60M,123.20M,-227.70M,2.985B,,,Restated
2001-06,298.80M,298.80M,2.524B,213.40M,2.737B,293.30M,80.40M,201.70M,,545.00M,723.60M,4.304B,,,,,,4.680B,-2.269B,2.412B,,2.236B,2.236B,,777.70M,5.425B,9.730B,,2.336B,,,2.336B,531.60M,2.868B,297.10M,297.10M,,,1.214B,4.378B,1.443B,1.443B,,,,280.10M,,822.20M,2.266B,6.644B,,129.00M,2.393B,,,129.00M,283.40M,2.806B,,,
2001-03,272.70M,272.70M,2.457B,265.10M,2.722B,316.90M,91.40M,192.10M,,569.80M,748.60M,4.313B,,,,,,4.635B,-2.269B,2.366B,,2.134B,2.134B,,776.90M,5.277B,9.59B,,2.265B,,,2.265B,537.90M,2.803B,362.10M,362.10M,,,1.188B,4.354B,1.465B,1.465B,,,,263.30M,,787.10M,2.252B,6.606B,,129.00M,2.287B,,,129.00M,305.20M,2.721B,,,
2000-12,355.20M,355.20M,2.312B,231.70M,2.544B,345.40M,83.50M,186.90M,,585.10M,753.20M,4.238B,,,,,,4.632B,-2.269B,2.363B,,2.159B,2.159B,,782.60M,5.305B,9.542B,,2.095B,,,2.095B,544.10M,2.640B,703.30M,703.30M,,,1.245B,4.588B,1.262B,1.262B,,,,246.20M,,797.20M,2.060B,6.648B,,129.00M,2.233B,,,129.00M,286.70M,2.648B,,,
2000-09,275.60M,275.60M,,,2.578B,,,,,569.50M,854.40M,4.277B,,,,,,4.574B,-2.269B,2.305B,,2.133B,2.133B,,712.50M,5.151B,9.428B,,2.309B,,,2.309B,,2.309B,507.50M,507.50M,,,1.694B,4.51B,1.315B,1.315B,,,,,,1.027B,2.342B,6.852B,,143.70M,2.160B,593.10M,33.20M,129.00M,-287.00M,2.576B,,,
2000-06,234.10M,234.10M,,,2.502B,,,,,505.40M,663.30M,3.905B,,,,,,4.067B,-2.037B,2.030B,,2.01B,2.01B,,648.10M,4.688B,8.593B,,2.130B,,,2.130B,,2.130B,259.00M,259.00M,,,1.708B,4.098B,1.232B,1.232B,,,,,,810.00M,2.042B,6.140B,,,,,,,2.453B,2.453B,,,
2000-03,244.20M,244.20M,,,2.618B,,,,,502.90M,682.50M,4.048B,,,,,,4.080B,-2.037B,2.043B,,2.058B,2.058B,,632.50M,4.734B,8.782B,,2.132B,,,2.132B,,2.132B,519.10M,519.10M,,,1.684B,4.335B,1.229B,1.229B,,,,,,816.00M,2.045B,6.380B,,,,,,,,2.402B,,,
1999-12,315.90M,315.90M,,,2.289B,,,,,532.00M,850.60M,3.988B,,,,,,4.073B,-2.037B,2.036B,,2.082B,2.082B,,687.80M,4.806B,8.793B,,2.006B,,,2.006B,,2.006B,626.70M,626.70M,,,1.724B,4.357B,1.249B,1.249B,,,,,,828.30M,2.077B,6.434B,,,1.866B,,,,493.70M,2.359B,,,
1999-09,276.20M,276.20M,,,2.356B,,,,,524.60M,691.50M,3.848B,,,,,,4.033B,-2.037B,1.996B,,2.097B,2.097B,,672.80M,4.766B,8.614B,,1.998B,,,1.998B,,1.998B,571.80M,571.80M,,,1.696B,4.267B,1.283B,1.283B,,,,,,794.30M,2.078B,6.344B,,149.30M,1.793B,576.10M,38.50M,134.70M,-210.00M,2.27B,,,
1999-06,248.60M,248.60M,,,2.305B,,,,,474.20M,619.80M,3.648B,,,,,,3.921B,-1.992B,1.929B,,2.086B,2.086B,,637.70M,4.653B,8.301B,,1.946B,,,1.946B,,1.946B,522.00M,522.00M,,,1.592B,4.060B,1.294B,1.294B,,,,,,736.10M,2.03B,6.090B,,140.10M,1.810B,,,140.10M,,2.210B,,,
1999-03,268.80M,268.80M,,,2.216B,,,,,469.30M,644.10M,3.598B,,,,,,3.902B,-1.921B,1.981B,,2.126B,2.126B,,666.70M,4.774B,8.372B,,1.936B,,,1.936B,,1.936B,721.80M,721.80M,,,1.515B,4.172B,1.292B,1.292B,,,,,,767.50M,2.060B,6.232B,,140.10M,1.593B,,,140.10M,,2.140B,,,
1998-12,329.20M,329.20M,,,2.332B,,,,,470.50M,768.30M,3.900B,,,,,,3.820B,-1.867B,1.954B,,2.166B,2.166B,,697.10M,4.817B,8.718B,,1.863B,,,1.863B,,1.863B,1.576B,1.576B,,,1.481B,4.920B,937.80M,937.80M,,,,,,780.70M,1.718B,6.638B,,138.70M,1.519B,,,138.70M,,2.079B,,,
1998-09,134.00M,134.00M,,,2.013B,,,,,428.20M,829.20M,3.404B,,,,,,3.652B,-1.769B,1.883B,,2.084B,2.084B,,570.50M,4.538B,7.942B,,1.625B,,,1.625B,,1.625B,1.329B,1.329B,,,1.334B,4.288B,997.50M,997.50M,,,,,,714.80M,1.712B,6.001B,,140.10M,1.463B,,,140.10M,,1.941B,,,
1998-06,139.10M,139.10M,,,1.835B,,,,,389.00M,445.80M,2.809B,,,,,,3.356B,-1.759B,1.597B,,1.533B,1.533B,,447.40M,3.577B,6.386B,,1.480B,,,1.480B,,1.480B,452.90M,452.90M,,,1.052B,2.986B,963.30M,963.30M,,,,,,590.60M,1.554B,4.539B,,140.90M,1.353B,,,140.90M,,1.846B,,,
1998-03,161.70M,161.70M,,,1.837B,,,,,389.20M,437.10M,2.825B,,,,,,3.254B,-1.690B,1.564B,,1.543B,1.543B,,443.60M,3.551B,6.376B,,1.486B,,,1.486B,,1.486B,580.60M,580.60M,,,986.30M,3.053B,962.60M,962.60M,,,,,,580.10M,1.543B,4.596B,,141.90M,1.291B,,,141.90M,,1.780B,,,
1997-12,248.10M,248.10M,,,1.844B,,,,,390.00M,402.10M,2.884B,,,,,,3.182B,-1.633B,1.548B,,1.558B,1.558B,,418.50M,3.525B,6.408B,,1.428B,,,1.428B,,1.428B,672.80M,672.80M,,,1.015B,3.116B,964.80M,964.80M,,,,,,579.50M,1.544B,4.660B,,142.80M,1.261B,,,142.80M,,1.748B,,,
1997-09,111.80M,111.80M,,,1.685B,,,,,373.40M,359.50M,2.529B,,,,,,3.100B,-1.567B,1.533B,,1.560B,1.560B,,426.00M,3.519B,6.049B,,1.342B,,,1.342B,,1.342B,656.20M,656.20M,,,974.60M,2.973B,806.40M,806.40M,,,,,,581.60M,1.388B,4.361B,,143.40M,1.218B,,,143.40M,,1.688B,,,
1997-06,200.50M,200.50M,,,1.683B,,,,,359.90M,361.10M,2.604B,,,,,,3.196B,-1.707B,1.489B,,1.581B,1.581B,,398.80M,3.469B,6.073B,,1.325B,,,1.325B,,1.325B,768.70M,768.70M,,,1.012B,3.105B,819.70M,819.70M,,,,,,515.80M,1.336B,4.441B,,148.80M,1.143B,,,148.80M,,1.632B,,,
1997-03,176.60M,176.60M,,,1.743B,,,,,378.00M,335.50M,2.633B,,,,,,2.922B,-1.458B,1.464B,,1.590B,1.590B,,404.70M,3.459B,6.092B,,1.263B,,,1.263B,,1.263B,1.042B,1.042B,,,961.40M,3.266B,666.70M,666.70M,,,,,,579.50M,1.246B,4.512B,,151.10M,1.09B,,,151.10M,,1.580B,,,
1996-12,139.40M,139.40M,,,1.809B,,,,,381.20M,756.10M,3.086B,,,,,,3.226B,-1.707B,1.520B,,1.627B,1.627B,,382.60M,3.529B,6.614B,,1.225B,,,1.225B,,1.225B,1.594B,1.594B,,,883.90M,3.703B,718.60M,718.60M,,,,,,637.80M,1.356B,5.059B,,152.90M,1.043B,,,152.90M,,1.555B,,,
1996-09,164.10M,164.10M,,,1.676B,,,,,421.10M,331.80M,2.594B,,,,,,3.386B,-1.707B,1.679B,,602.70M,602.70M,,247.30M,2.529B,5.123B,,1.273B,,,1.273B,,1.273B,285.50M,285.50M,,,743.80M,2.302B,756.50M,756.50M,,,,,,556.10M,1.313B,3.615B,,154.60M,1.011B,,,154.60M,,1.508B,,,
1996-06,164.30M,164.30M,,,1.692B,,,,,429.80M,358.30M,2.645B,,,,,,3.245B,-1.644B,1.601B,,586.70M,586.70M,,266.70M,2.454B,5.099B,,1.264B,,,1.264B,,1.264B,268.60M,268.60M,,,825.60M,2.358B,767.30M,767.30M,,,,,,535.10M,1.302B,3.661B,,156.00M,945.90M,,,156.00M,,1.438B,,,
1996-03,125.10M,125.10M,,,1.596B,,,,,422.60M,346.80M,2.491B,,,,,,3.216B,-1.600B,1.616B,,592.40M,592.40M,,251.60M,2.460B,4.950B,,1.159B,,,1.159B,,1.159B,307.50M,307.50M,,,769.00M,2.236B,762.10M,762.10M,,,,,,544.10M,1.306B,3.542B,,157.10M,896.80M,,,157.10M,,1.408B,,,
1995-12,112.70M,112.70M,,,1.532B,,,,,398.10M,345.50M,2.388B,,,,,,3.152B,-1.554B,1.598B,,606.30M,606.30M,,291.80M,2.496B,4.885B,,1.057B,,,1.057B,,1.057B,325.80M,325.80M,,,811.80M,2.195B,775.30M,775.30M,,,,,,535.90M,1.311B,3.506B,,158.60M,880.30M,,,158.60M,,1.379B,,,
1995-09,103.80M,103.80M,,,1.288B,,,,,355.50M,317.10M,2.064B,,,,,,3.042B,-1.523B,1.519B,,519.10M,519.10M,,219.10M,2.257B,4.321B,,983.50M,,,983.50M,,983.50M,197.90M,197.90M,,,728.10M,1.910B,630.00M,630.00M,,,,,,441.20M,1.071B,2.981B,,160.10M,853.30M,,,160.10M,,1.340B,,,
1995-06,111.60M,111.60M,,,1.317B,,,,,359.40M,264.50M,2.052B,,,,,,3.004B,-1.504B,1.500B,,530.80M,530.80M,,219.00M,2.25B,4.302B,,930.40M,,,930.40M,,930.40M,238.80M,238.80M,,,753.10M,1.922B,639.60M,639.60M,,,,,,441.40M,1.081B,3.003B,,160.80M,802.00M,,,160.80M,,1.299B,,,
1995-03,129.20M,129.20M,,,1.243B,,,,,368.50M,263.80M,2.004B,,,,,,2.891B,-1.441B,1.450B,,513.00M,513.00M,,210.30M,2.173B,4.177B,,917.00M,,,917.00M,,917.00M,278.10M,278.10M,,,671.40M,1.866B,631.90M,631.90M,,,,,,433.40M,1.065B,2.932B,,162.10M,765.90M,,,162.10M,,1.245B,,,
1994-12,151.00M,151.00M,,,1.094B,,,,,336.70M,246.70M,1.829B,,,,,,2.770B,-1.391B,1.380B,,489.80M,489.80M,,198.40M,2.068B,3.896B,,804.40M,,,804.40M,,804.40M,105.90M,105.90M,,,686.20M,1.596B,666.00M,666.00M,,,,,,419.80M,1.086B,2.682B,,164.10M,752.80M,,,164.10M,,1.214B,,,
1994-09,132.60M,132.60M,,,1.067B,,,,,304.70M,274.20M,1.778B,,,,,,2.669B,-1.336B,1.333B,,493.80M,493.80M,,201.20M,2.028B,3.807B,,814.90M,,,814.90M,,814.90M,44.00M,44.00M,,,657.50M,1.516B,670.30M,670.30M,,,,,,417.40M,1.088B,2.604B,,162.10M,730.70M,,,162.10M,,1.203B,,,
1994-06,93.10M,93.10M,,,1.028B,,,,,308.20M,262.60M,1.691B,,,,,,2.445B,-1.153B,1.291B,,418.40M,418.40M,,207.50M,1.917B,3.608B,,774.80M,,,774.80M,,774.80M,69.80M,69.80M,,,636.30M,1.481B,573.80M,573.80M,,,,,,399.30M,973.10M,2.454B,,168.10M,688.80M,,,168.10M,,1.154B,,,
1994-03,63.30M,63.30M,,,984.00M,,,,,289.00M,244.90M,1.581B,,,,,,2.381B,-1.153B,1.228B,,318.20M,318.20M,,160.90M,1.707B,3.288B,,686.40M,,,686.40M,,686.40M,98.70M,98.70M,,,571.60M,1.357B,453.10M,453.10M,,,,,,365.30M,818.40M,2.175B,,168.10M,661.10M,,,168.10M,,1.113B,,,
1993-12,99.00M,99.00M,,,917.80M,,,,,294.00M,249.70M,1.560B,,,,,,2.368B,-1.153B,1.214B,,318.40M,318.40M,,167.90M,1.701B,3.261B,,630.10M,,,630.10M,,630.10M,137.20M,137.20M,,,561.30M,1.329B,459.10M,459.10M,,,,,,368.00M,827.10M,2.156B,,168.10M,653.50M,,,168.10M,,1.105B,,,
1993-09,87.70M,87.70M,,,912.10M,,,,,281.30M,250.90M,1.532B,,,,,,2.367B,-1.153B,1.214B,,321.50M,321.50M,,163.70M,1.699B,3.231B,,695.10M,,,695.10M,,695.10M,51.60M,51.60M,,,538.20M,1.285B,500.40M,500.40M,11.10M,11.10M,,,,355.40M,866.90M,2.152B,,168.10M,633.30M,,,168.10M,,1.079B,,,
1993-06,141.80M,141.80M,,,862.60M,,,,,295.80M,189.40M,1.490B,,,,,,2.101B,-968.60M,1.132B,,320.70M,320.70M,,172.60M,1.625B,3.115B,,628.90M,,,628.90M,,628.90M,43.40M,43.40M,,,517.70M,1.19B,489.00M,489.00M,54.50M,54.50M,,,,186.90M,730.40M,1.920B,,171.00M,728.60M,,,171.00M,,1.195B,,,
1993-03,122.20M,122.20M,,,847.90M,,,,,293.00M,190.00M,1.453B,,,,,,2.088B,-968.60M,1.119B,,323.00M,323.00M,,173.20M,1.615B,3.068B,,566.60M,,,566.60M,,566.60M,140.90M,140.90M,,,470.10M,1.178B,492.90M,492.90M,57.70M,57.70M,,,,183.00M,733.60M,1.911B,,171.00M,668.80M,,,171.00M,,1.157B,,,
1992-12,64.80M,64.80M,,,897.20M,,,,,305.40M,192.40M,1.460B,,,,,,2.083B,-968.60M,1.114B,,305.30M,305.30M,,175.30M,1.595B,3.054B,,549.50M,,,549.50M,,549.50M,130.20M,130.20M,,,500.60M,1.180B,471.80M,471.80M,59.20M,59.20M,,,,178.70M,709.70M,1.89B,,171.00M,699.00M,,,171.00M,,1.164B,,,
1992-09,96.20M,96.20M,,,899.40M,,,,,316.00M,212.70M,1.524B,,,,,,2.126B,-968.60M,1.157B,,323.70M,323.70M,,174.20M,1.655B,3.180B,,586.20M,,,586.20M,,586.20M,174.50M,174.50M,,,484.50M,1.245B,503.30M,503.30M,63.50M,63.50M,,,,173.30M,740.10M,1.985B,,171.00M,740.10M,,,171.00M,,1.194B,,,
1992-06,8.80M,8.80M,,,837.10M,,,,,282.20M,199.30M,1.327B,,,,,,1.840B,-805.90M,1.034B,,240.50M,240.50M,,248.50M,1.523B,2.851B,,480.20M,,,480.20M,,480.20M,122.30M,122.30M,,,430.90M,1.033B,461.80M,461.80M,71.10M,71.10M,,,,155.70M,688.60M,1.722B,,174.00M,632.90M,,,174.00M,,1.129B,,,
1992-03,6.70M,6.70M,,,781.20M,,,,,285.60M,223.50M,1.297B,,,,,,1.825B,-805.90M,1.019B,,242.60M,242.60M,,241.80M,1.504B,2.801B,,458.10M,,,458.10M,,458.10M,156.90M,156.90M,,,397.30M,1.012B,461.90M,461.90M,74.60M,74.60M,,,,151.30M,687.80M,1.700B,,174.00M,653.20M,,,174.00M,,1.101B,,,
1991-12,32.10M,32.10M,,,802.10M,,,,,279.20M,231.70M,1.345B,,,,,,1.807B,-805.90M,1.001B,,244.00M,244.00M,,241.80M,1.487B,2.832B,,449.60M,,,449.60M,,449.60M,145.80M,145.80M,,,455.30M,1.051B,467.50M,467.50M,77.70M,77.70M,,,,145.50M,690.70M,1.741B,,174.00M,632.50M,,,174.00M,,1.091B,,,
1991-09,91.70M,91.70M,,,780.90M,,,,,287.40M,216.10M,1.376B,,,,,,1.792B,-805.90M,985.80M,,243.20M,243.20M,,235.90M,1.465B,2.841B,,466.30M,,,466.30M,,466.30M,242.00M,242.00M,,,397.00M,1.105B,490.60M,490.60M,81.10M,81.10M,,,,100.00M,671.70M,1.777B,,174.00M,620.00M,,,174.00M,,1.064B,,,
1991-06,44.60M,44.60M,,,766.90M,,,,,280.70M,164.90M,1.257B,,,,,,1.762B,-805.90M,956.50M,,246.60M,246.60M,,243.20M,1.446B,2.703B,,412.80M,,,412.80M,,412.80M,220.00M,220.00M,,,348.50M,981.30M,489.60M,489.60M,86.90M,86.90M,,,,95.80M,672.30M,1.654B,,174.40M,600.20M,,,174.40M,,1.050B,,,
1991-03,48.80M,48.80M,,,712.40M,,,,,308.20M,154.80M,1.224B,,,,,,1.785B,-805.90M,978.90M,,253.80M,253.80M,,245.20M,1.478B,2.702B,,379.60M,,,379.60M,,379.60M,256.50M,256.50M,,,344.60M,980.70M,490.20M,490.20M,89.70M,89.70M,,,,95.20M,675.10M,1.656B,,174.40M,548.60M,,,174.40M,,1.046B,,,
1990-12,74.80M,74.80M,,,749.50M,,,,,324.10M,142.70M,1.291B,,,,,,1.802B,-805.90M,996.00M,,254.60M,254.60M,,253.20M,1.504B,2.795B,,401.90M,,,401.90M,,401.90M,304.40M,304.40M,,,375.80M,1.082B,474.20M,474.20M,91.70M,91.70M,,,,94.40M,660.30M,1.742B,,174.40M,582.10M,,,174.40M,,1.052B,,,
1990-09,54.30M,54.30M,,,765.60M,,,,,319.00M,151.70M,1.291B,,,,,,1.654B,-675.30M,978.80M,,255.60M,255.60M,,273.80M,1.508B,2.799B,,444.40M,,,444.40M,,444.40M,297.20M,297.20M,,,357.80M,1.099B,483.00M,483.00M,90.20M,90.20M,,,,90.70M,663.90M,1.763B,,174.40M,582.10M,,,174.40M,,1.036B,,,
